,cid,votes,含watch,含watch中文翻译
51854,UgwKD9UDfi6zrZFZQzt4AaABAg,0,"i don't know chinese, but i watch these videos always.
i want to try everything, and you still want to feed the puppies and stroke the lamb.","我不知道中文，但我总是看这些视频。
我想尝试一切，您仍然想喂养幼犬并抚摸羔羊。"
51764,UgysBVb4zvFB3NwroC54AaABAg,0,i love u sister. ..i don't understand ur language. ...ur life....and of course ur food. i am vegetarian ...bt watching ur vedios. ....i feel like living a life with u....lots of love from india,我爱你姐姐。 ..我不懂你的语言。 ...你的生活....当然还有你的食物。我是素食主义者... BT看着您的Vedios。 ....我觉得自己和你一起生活....来自印度的很多爱
51728,UgxYasu9FDqzWgUHqsl4AaABAg.8qlSxysCabu8rQPQp6-EX_,0,"@d3x5t4r i first heard that vietnam has a history of 5000 years... although all vietnamese history is recorded in chinese characters, hahaha, this video will tell you how long vietnamese history in internationally recognized.stop your boring nationalist history.
https://www.youtube.com/watch?v=ymi5uv5cgu4&t=3s","@d3x5t4r我首先听说越南有5000年的历史……尽管所有越南历史都记录在汉字，哈哈哈，但该视频将告诉您在国际上认可的越南历史多长时间。
https://www.youtube.com/watch?v=ymi5uv5cgu4&t=3s"
51665,UgznUine7FCwBT_KbIV4AaABAg,0,i watch every youtube you had i like you do,我看着你喜欢你的每一个youtube
51577,UgzEHkoH-D-r3lAEtYh4AaABAg,0,"watch for quite a long time but never left a comment. i really like scenery, mountains and forests, dishes made from the things i planted, .... it feels like the real writing novels that really appear before my eyes. thanks for everything!",注意相当长的时间，但从未发表评论。我真的很喜欢风景，山脉和森林，由我种植的东西制成的菜肴。...感觉就像是真正出现在我眼前的真正写作小说。谢谢你的一切！
468,UgxzZHIGvdYMyF9tsqR4AaABAg,0,"three retreats of good wake -up, three retreats return human nature, three retreats right and wrong, three surrender insurance!
https://www.youtube.com/watch?v=nqgq6- vcwnk
https://www.youtube.com/watch?v=dtk6mwdxdje","三退良知醒，三退人性归，三退是非明，三退保平安！
https://www.youtube.com/watch?v=NQGQ6-VCWNk 
https://www.youtube.com/watch?v=DtK6mWDxdJE"
51488,UgzA8CpJqEjZXaX7UNl4AaABAg,0,"i love to watching your video,",我喜欢看你的视频，
470,UgxBwgtoZYMFHaBFy2d4AaABAg,0,liziqi is amazing. try also watch ms cynthia of the philippines they both made videos from the heart,Liziqi很棒。还尝试观看菲律宾的辛西娅女士
51420,UgxE2Uop1ola8SODEI14AaABAg,0,i like watching your cannel,我喜欢看你的喜欢
51249,UgzhjfSV5U-dfFEXdSF4AaABAg,0,y did d video end it's like heaven to watch,y做了视频结束，就像天堂一样
52086,UgxB74URUyKr2iZidxF4AaABAg,0,ur vedios are something out of this world.. ur village is beautiful... and u are such a talented person.. want to watch more and more vedios from u... love from india,ur vedios是这个世界之外的东西.. ur村很美……你是一个才华横溢的人。
52190,Ugwizbc2-u1NVKkP81Z4AaABAg,0,"thanks for the ten-minute twelve-second video. i like it ❤ and i am satisfied to watch the video 

always waiting your next video

sending ❤ from indonesia","感谢您的十二秒视频。我喜欢它❤，我很高兴观看视频

一直在等待下一个视频

从印度尼西亚发送❤"
51071,Ugwj_C1QqsRQZ5ElDU94AaABAg,0,"after watching weibo, come to the oil pipe and watch it again",微博看了再来油管看一遍
52201,UgxReXq6hokAktS3u554AaABAg,0,everything looks so yummy and she is so skilled its like watching an artist create a masterpiece everytime.,一切看起来都很好吃，她非常熟练，就像看着艺术家每次创作杰作一样。
102,UgwOK1_e2L27XM_HSi94AaABAg,0,looking forward to watching your new video,期待观看您的新视频
52910,UgxGbQBl4aCn8Z5Xuhl4AaABAg,0,another video to watch! thanks!,另一个视频要观看！谢谢！
172,Ugy509sXd4V8QTTUFJF4AaABAg,0,who all are still watching in 2023❤,谁仍在2023年仍在观看
52883,UgzH694a7H81zKzhTwV4AaABAg,0,"im a great fan of you
every day i will watch your videos
from kerala","我是你的忠实粉丝
每天我都会看你的视频
来自喀拉拉邦"
52768,UgyMdCetFUid4myZYN94AaABAg,0,i'm a last watching this video..,我是最后一个观看这部视频。
52732,UgyngbrZJhj_XykTDqx4AaABAg,0,i've watched all your videos and always wait for your latest video . loves from padang (indonesia),我已经观看了您的所有视频，并始终等待您的最新视频。来自帕登（印度尼西亚）的爱
184,UgxJ1rkpd1NFkZX-S7B4AaABAg,0,i love to watch your video so much,我喜欢看你的视频
52687,UgyD8nxobW2bSidEfX94AaABAg,0,watching this video made me so happy,观看这段视频让我很高兴
52578,Ugy0E193eZ-CSfHOYQ94AaABAg,0,"i always enjoy watching your video. i'm rooting for you. keep up the good work!

from japan. °ʚ(*´˘`*)ɞ°","我总是喜欢看你的视频。我在为你加油。保持良好的工作！

来自日本。 °ʚ（*´€*）ɞ°"
52533,UgwVWk4wDHku1zpeAJB4AaABAg,0,love to watch ur video's,喜欢看你的视频
257,Ugy_4XFWrUhSzKAUNn14AaABAg,0,where did you go? when will you have a clip for us to watch again?,你去哪里？什么时候有剪辑供我们再次观看？
52488,UgwQoh6aRkTgkfmaBLh4AaABAg,0,watching your videos just make me want to move somewhere in the mountains and leave my life in the city behind.,观看您的视频只会让我想搬到山上的某个地方，然后将我的生活留在城市。
52472,UgwCRAIqsnhHFQrswM94AaABAg,0,best video ever sis. always wait for the notification to watch your videos.,有史以来最好的视频。始终等待通知观看视频。
340,UgzyNbzKcWM6Vn3fCOV4AaABAg,0,why am i watching this video in sahur?,我为什么在萨赫（Sahur）观看此视频？
52456,UgzIkocUqDCf_GXCHER4AaABAg,0,"best video of the month i watchd
tooo gud ❤","我观看本月的最佳视频
tooo gud❤"
52351,UgzQqFcM3JTUkjmG-QN4AaABAg,0,watching her video is really relaxing for me. they showcase the beauty of living simply.,观看她的视频真的让我放松。他们展示了简单的生活之美。
52278,UgxtUn7iyyWTInZbVf14AaABAg,0,"i feel nostalgic when watching the video, i miss my simple life in my country, my village our life was simple like this....",观看视频时，我感到怀旧，我想念我在我的国家中的简单生活，我的村庄我们的生活很简单。
52261,UgxKg0-Ym6OXq13OoDR4AaABAg,0,"i like it. follow every clip. because i feel that it looks fun when cooking, i like to open it. still ask to keep the clip to watch. i like it. from thailand",我喜欢它。遵循每个剪辑。因为我觉得它看起来很有趣烹饪时，我喜欢打开它。仍然要求保持剪辑观看。我喜欢。
52226,UgzoezDrzCEUJ5AYqwh4AaABAg,0,"in recent years, i feel that i don't feel much chinese new year,
i don't know why i really feel that the new year is coming after watching ziqi's video, and i am looking forward to this new year this year","最近几年都觉得没什么过年的感觉，
不知道为什么看完子柒的影片后才真的觉得过年快到了，也很期待这次的过年"
51206,UgwKSC5wBLV9oozRa5p4AaABAg,0,"if you watch the video, you will be motivated to make the housekeeping. thank you for the pretty video ~",如果您观看视频，您将有动力进行管家。谢谢你的漂亮视频〜
51064,UgwVR_NDvoSXVUgmiDZ4AaABAg,0,i always hit like before watching... i can predict that i'm going to like it anyways. youtube needs a love button,我总是像看之前一样打击...我可以预测我还是会喜欢它。 YouTube需要一个爱按钮
49757,Ugx3vU1h9LEkUlN89Ut4AaABAg,0,wow. i m from bangladesh. i thought there is huge difference between bangladeshi food and chinese food. after watching her video i found there are lots similarities between this two food culture. this video are quite relaxing.,哇。我来自孟加拉国。我认为孟加拉国食品和中国食品之间存在巨大差异。观看了她的视频后，我发现这两种饮食文化之间有很多相似之处。该视频非常轻松。
50180,Ugyt_11b9DByMAimI4l4AaABAg,0,"she is so cute :<3... watching this video makes me turn back the time i was in the countryside. love ya, sis",她是如此可爱：<3 ...观看这段视频使我回到了我在乡下的时间。爱你，姐姐
50172,UgzphmOIH5FP18nRRU54AaABAg,0,"actually i watched this channel for a long time, this channel gives me a sense of peace",实际上，我很长一段时间都看着这个频道，这个频道给了我和平感
50159,UgxV8nr6ycW_cIW-IUd4AaABAg,0,it's different video. i'm so excited too watch till end,这是不同的视频。我也很兴奋直到结束
50133,UgxzzYVDoafPIAl0UIJ4AaABAg,0,even if i don't understand chinese i will stil watch your videos! it is just so relaxing and i feel so peaceful thank you! happy lunar new year!,即使我不了解中文，我也会观看您的视频！真是太放松了，我感到非常宁静，谢谢！农历新年快乐！
50132,UgyGSVnXkTQC5-yTArx4AaABAg,0,"witam wszystkie filmy, które oglądałdałem są wspaniałe jested wielkim wrażeniem wszystkiego co robisz od dań po budowędzystkich urzą do domu a teen i okolica jest pi kna nawet w zimie są owoce na drzewach. ciekawy jestem jaki to rejon chin?. pozdrawiam iż yyczę szczęśliwei nowegogogo roku ksioycowego :))))) hello, all the movies i have watched are very exciting. i am very impressed by all you made. from dishes to all electrical home buildings, there are fruits on the trees even in winter. i want to know what is china's area? greetings, happy lunar new year :)))))).
nǐ hǎo wǒ guānkà innkuò de suǒu diànyǐng dū hěn jīngcǎi, wǒ duì nǐ suǒ zuò de yìnxiàng fēicháng shēnkè, cóng càiyáo diànqì jiājū di. e jiànshè, jíshǐ zài dōngtiān, shùmù shàng yěyǒu shuǐguǒ. wǒ xiǎng zhōngguó dìqū shénhòu? wènhòu , zhù nǐ nónglì xīnnián kuàilè :)))))).","Witam wszystkie filmy , które oglądałem są wspaniałe jestem pod wielkim wrażeniem wszystkiego co robisz od dań po budowę wszystkich urządzeń do domu a teren i okolica jest piękna nawet w zimie są owoce na drzewach. Ciekawy jestem jaki to rejon Chin ?. Pozdrawiam i życzę Szczęśliwego Nowego Roku Księżycowego :))) . 你好我观看过的所有电影都很精彩，我对你所做的一切印象非常深刻，从菜肴到所有电器家居的建设，即使在冬天，树木上也有水果。我想知道中国的地区是什么？问候，祝你农历新年快乐:)））。
Nǐ hǎo wǒ guānkànguò de suǒyǒu diànyǐng dū hěn jīngcǎi, wǒ duì nǐ suǒ zuò de yīqiè yìnxiàng fēicháng shēnkè, cóng càiyáo dào suǒyǒu diànqì jiājū de jiànshè, jíshǐ zài dōngtiān, shùmù shàng yěyǒu shuǐguǒ. Wǒ xiǎng zhīdào zhōngguó dì dìqū shì shénme? Wènhòu, zhù nǐ nónglì xīnnián kuàilè:)))."
50104,UgwVam58lbgbDLkDrMB4AaABAg,0,like to watch dogs and sheep,喜欢看狗狗和羊
50099,UgyGHCykQFkEWY_mWx94AaABAg,0,vietnam has anyone watching the attendance goii❤,越南让任何人都在观看出勤率goii❤
50077,UgzTFeN46NIceL3Ox3N4AaABAg.8qlpzlgQ2g68r2K_WTNTMn,0,also watch many videos of this type but the feeling of dislike of tu that,还观看了许多这种类型的视频，但对Tu的不喜欢的感觉
901,Ugy_hHQXBg0whJQM8iR4AaABAg,0,https://www.youtube.com/watch?v=mhi-roqlvk8,https://www.youtube.com/watch?v=mhi-roqlvk8
50039,UgzSC1CHdNTT5ql2IMR4AaABAg,0,"i don't know why, but i watch all your films. i have theories confirmed in practice that they are too relaxing.",我不知道为什么，但是我看着你所有的电影。实际上，我有理论证实他们太放松了。
50029,UgzUzLF3MpMpwyAmp_h4AaABAg,0,so fun watch your videos! love all of them!,很有趣，请观看您的视频！爱他们所有！
49915,UgxtTTFGRqGBuoXPfrB4AaABAg,0,"woah!!! she’s just amazed me, how awesome she is. watching from laos",哇！！！她只是让我惊讶，她真是太棒了。从老挝看
49877,UgzGcqGIfQ879XR9G3Z4AaABAg.8qlvIj2w3V58qmEjaQDIEp,0,"she took it up when she picked it up. one step one after the other step and then took a picture. it was impossible to finish it for a day, but the video could be watched throughout the process in a short time.",她这先前捡拾时拍起来，一个步骤接一个步骤接着做接着拍，手做的东西要一天完全做完是不可能的，但视频可以在短时间看尽全程。
937,UgxHKNTzhmhCXpfVMNt4AaABAg,0,i watched youtubex lg to treat my longing for liziky๐ฅบ๐ฅบ๐ฅบ๐ข,我看着youtubex lg对待我对liziky
49834,UgxHceoUQ9ey9fCplrB4AaABAg.8qlwZ90GI_S8qm6JLerCj_,0,@solerhongkong thank u! i'll watch it,@solerhongkong谢谢你！我会看
980,Ugwgh2se08mk-Jdrygd4AaABAg,0,i love you to watch |,我爱你看|
49804,Ugx0RlmFn7vExpsCkqd4AaABAg,0,"thanks for uploading, opened a few minutes late, and the number of watching changed from 360,000 to 370,000. more than two million subscriptions, 5 hours of 370,000 views ...",感谢上传，晚开了几分钟，观看数量从36万变成了37万。两百多万订阅，5个小时37万的观看量...
49784,Ugy0W0UCgFDq8hOEv354AaABAg,0,i really liked this one! very fun to watch!,我真的很喜欢这个！非常有趣！
983,Ugzwg_xTggRL6lqJ_m54AaABAg,0,where are u? i miss your videos so much! iโ€ve re-watched your videos multiple times because i love your videos so much! please come back soon!,你在哪里？我非常想念您的视频！我多次重新观看您的视频，因为我非常喜欢您的视频！请快点回来！
49759,UgxizEqj_8IwSudzuDV4AaABAg,0,"whenever i am irritable, i feel that you will follow the precipitation after watching your film, and sometimes you will smile unconsciously, because that is my dream of life, i have the opportunity to fly over and see the good mountains there. water.",每当心浮气躁的时候，看了妳的影片心情就会跟着沉淀，有时候还会不自觉会心一笑，因为那是我梦想的生活，有机会希望能飞过去看看那边的好山好水。
50178,Ugwoq-vlqwKQazKQYTt4AaABAg,0,i am happy to watch you. thank you.,我很高兴看着你。谢谢。
885,Ugxi4EHTmerarG28YAJ4AaABAg,0,"hi liziqi, i miss your old video so much. lt's so beautiful. i watch every video ๐โ€โ€๏ธ๐ฅฐ๐’ฏ๐’๐’๐น๐ญ๐’๐จ๐ณ",嗨，liziqi，我非常想念您的旧视频。 LT是如此美丽。我观看了每个视频
51051,UgwDsJ8bgvB5aGW5rwp4AaABAg,0,"hello beautiful sister, watching from philippines",你好美丽的姐姐，从菲律宾看
50318,UgxHsjp7V7SkPS62QHZ4AaABAg,0,i'm watching well. it looks great to be with my grandmother.,我看着很好。和我的祖母在一起看起来很棒。
51025,UgwIslpU5nF3Y2WS75Z4AaABAg,0,gk ang indonesian watch this anyway,GK Ang印度尼西亚人无论如何都要注意这一点
51013,UgxkBtbmTec3qQMf_cF4AaABAg,0,i am watching i am happynies,我看着我是快乐的
597,UgzBBzOHF7Q481hKllh4AaABAg,0,"near tet 2023, i will come in to watch her tet videos
looking forward to her back","在TET 2023附近，我会来观看她的Tet视频
期待她的背"
609,UgyJvuz6D9qpzlt2YpR4AaABAg.9l3dH9R69-T9l5i02kFhfh,0,@vixymix101 sorry about this. i just checked the news 5 minutes ago and found out she reached a settlement with her company in court 10 days ago. maybe we'll watch her new video soon.,@vixymix101对此很抱歉。我刚刚检查了5分钟前检查了这一消息，发现她10天前在法庭上与公司达成和解。也许我们很快就会观看她的新视频。
666,UgxWiJh22O-3YVTztrN4AaABAg,0,https://www.youtube.com/watch?v=ui0hugrqbuu&t=4s,https://www.youtube.com/watch?v=ui0hugrqbuu＆t = 4s
50892,Ugx7g6RU96apZ-nhO-14AaABAg,0,i like to watch every clip,我喜欢看每个剪辑
772,UgwjOifnk_DHc8D_RH54AaABAg,0,i watched this video three years ago and when i foung a youtuber that did something that you did i quicky rememberd you i would watvh this video all the time sometimes with my father he liked your video to by the way i still do and love your content then i was in 2nd grade now i am in 5th grade,我三年前看了这段视频，当我为您做的事情做的事情时，我很快就记得您，有时我会一直与我的父亲一起使用这个视频然后我当时是二年级，现在我五年级
50860,Ugxc9DUH3q-i9rjertB4AaABAg,0,the tet holiday watches this video of women even more vomiting,Tet Holiday观看了这段女性的视频，甚至更多
50830,UgyVjNuGiR6eW0HGlv54AaABAg,0,a wish of luna newyear....... please! upload your old videos onto youtube! i cannot watch it beacause im form driffrent region,Luna Newear的愿望.......请！将旧视频上传到YouTube上！我看不到它的beacue im form driffrent区域
50704,UgwEH468DVaKbT6giO14AaABAg,0,so lovely to watch your video,很高兴观看您的视频
50553,Ugwzdtsi6QxRUYlGIGh4AaABAg,0,i am sad to see the puppies watching what you eat and i see that at any time you give you food i like your videos your meals that you prepare,我很遗憾看到幼犬看着你吃的东西，我看到你在给你食物的任何时候都喜欢你准备的饭菜
50520,UgxbH2T4WQSlJbuWeLN4AaABAg,0,thank you for uploading! i feel like watching harvest moon because of the bgm,谢谢您上传！由于BGM
50488,UgxCwMotyTcOj9Xs7yJ4AaABAg,0,it is interesting to watch you,看着你很有趣
50484,UgyPAQFjp9Oq50_dIhJ4AaABAg,0,"your videos are such a joy to watch. rather you have captions, or not i'm always caught up in the magic of it.",您的视频非常有趣。相反，您有字幕，还是我总是陷入它的魔力。
50473,Ugyn-2vuuoKLJCFz9-94AaABAg,0,super women is back! i am sniping my coffee and get ready to work. perfect timing to watch this beautiful talented lady,超级女人回来了！我正在抢咖啡，准备工作。看这位美丽的才华横溢的女士的完美时机
865,UgwGuKdqG3KMC6hL1mZ4AaABAg,0,"i was watching her days for corona ... a period in which we were isolated, yasser bint, really icon and an example for a persistent woman, a psychological comfort with her. her personality. i hope her return soon.",我正在看她为Corona的日子...我们被孤立的时期，Yasser Bint，真正的偶像和一个持续的女人的榜样，对她的心理安慰。她的个性。我希望她能尽快回来。
50386,UgzxsBlm69CMKXWMttN4AaABAg,0,i watch what you did and all i can say is you are so amazing.,我看着你做了什么，我只能说你真是太神奇了。
50368,Ugy30mvmJf3hQOjf60Z4AaABAg.8qlkQlOyBQd8qm9QL6qDuP,0,you can also watch ziyi's film to do it by yourself,你们也可以看子柒的影片自己做
50323,Ugz17zKkeQ7aydKzzN94AaABAg,0,"when i watch you, even i was full, i get hungry.",当我看着你时，即使我已经满了，我也饿了。
47042,UgxESqzmSf6CNj5BC8t4AaABAg,0,i swear really to see this video ... try indonesians make this kind of kya ... our culture is a lot ... where is the sound of indonesian people who like to watch this vlog kya me,我真的发誓要看这段视频...尝试印度尼西亚人使这种kya ...我们的文化很多...印尼人喜欢看这个视频博客kya me的声音在哪里
47033,UgyShztBbsKWzVXpmMV4AaABAg,0,"actually i am a little bit afraid of these kind of snack, especially watched by my family and expected to eat all of them, you never say that 
you don’t like snacks","实际上，我有点害怕这种小吃，尤其是我的家人看着所有的小吃，你永远不会说
你不喜欢小吃"
46946,Ugw9WieYA7Uo9KWtn9J4AaABAg,0,"aaaafter watching this video, im certain that almost of specialities of the world come from china . pommes d'amour of france or nouggat of italie or je sais pas quoi , spaghettis... all come from china.",Aaaafter观看了这段视频，我确定世界上几乎来自中国。法国或意大利的牛gat或意大利面的牛an牛肉，意大利面...全部来自中国。
44003,UgxE19VmcOXlmwA9DPt4AaABAg,0,at fst i thought i won't watch this till the end but then i was really enjoying the sounds/colors like if this is the sound and colors of life! what a video!!,在FST，我以为直到最后才看着它，但是后来我真的很喜欢声音/颜色，就像这是生活的声音和色彩一样！什么视频！
43976,Ugw-iHEvVFeSaIkW0Jx4AaABAg,0,first time watching.. she's the best! subscribing.,第一次观看..她是最好的！订阅。
43969,UgwvVzoFut5My2vv3Jt4AaABAg.8rH4svF_-9C8rHFbA-znYc,0,"she started uploading her videos in 2016, and in may 2017 she hired a photographer who worked on tv and an assistant for her team, you can watch her early videos (all by herself)in weibo.
her original channel http://weibo.com/u/2970452952","她于2016年开始上传视频，并于2017年5月聘请了一位摄影师，他在电视上工作并为她的团队助理，您可以在微博中观看她的早期视频（全部）。
她的原始频道http://weibo.com/u/2970452952"
2870,UgzsLpXB1kqpJ9p6jS14AaABAg,0,i watch your videos very fondly and you too .specially watch your video on led,我也非常亲切地观看您的视频。特别是在LED上观看您的视频
43915,Ugwf6-V6yxW_z_gpcYV4AaABAg,0,the most authentic and beautiful video i’ve ever watched. not sure how i got here.. but i love it,我看过的最真实和最美丽的视频。不知道我是怎么来这里..但是我喜欢它
43914,UgyJMclordPOKJCeeGh4AaABAg,0,"so cute little animals following her, i enjoy watching her making things and cooking hard working girl.",如此可爱的小动物跟着她，我喜欢看着她做东西并烹饪努力工作的女孩。
43862,UgwSfT44Cquaq0r9TnV4AaABAg,0,i don't understand how anyone could not like this...love watching this woman cook,我不明白有人不喜欢这样...喜欢看着这个女人做饭
43846,Ugwy6Ee2PIQOLiw9ho14AaABAg,0,"a few days ago when i watched the bamboo rat at station b and looked at the barrage, i realized that li ziyi was still a commercial elite. taobao's turnover of more than one billion yuan a year.",几天前在B站上看竹鼠看弹幕时才知道李子柒还是个商业精英啊，淘宝一年一个多亿的营业额。
2873,UgzMC-1bQtCRL0FzM6B4AaABAg,0,i'm laughing so hard watching the part of opening the corn popper! xd,我笑着看打开玉米流浪汉的一部分！ XD
43816,UgxVjnvLUNU2LqR4JzJ4AaABAg,0,i’m a chinese who is from sichuan province. first time i watched her video i thought she was an actor who living in big city only go to the countryside for those videos. actually there are some people who is doing those stuff even some companies bcz they can earn money from this. but now i don’t think so. her video makes me want to go back to china and live in a countryside.,我是四川省的中国人。我第一次看她的视频时，我以为她是一个演员，住在大城市，只去乡村看这些视频。实际上，有些人即使有些公司也可以从中赚钱。但是现在我不这么认为。她的视频让我想回到中国并住在乡村。
2875,UgxlZorhs6otjhW1PpR4AaABAg,0,i like to watch my channel too. it looks like in a fairy tale.,我也喜欢看我的频道。看起来像是一个童话故事。
43785,UgyGfKbrab5M_m8bbsh4AaABAg,0,i want to eat and watch the rice you make,我想吃吃看 您做的饭
43779,UgzU_nnOq2eym3i1d0p4AaABAg,0,i could easily watch this daily. so soothing!,我每天都可以轻松观看。如此舒缓！
43731,UgzNaBIxMm3kP30PexF4AaABAg,0,waaau i don't know how i end up watching this video but i loved it ... i think music and food etc.,waaau我不知道我最终如何看这部视频，但我喜欢它...我认为音乐和食物等。
43686,UgyYxevpF3Sq-tmTobB4AaABAg,0,hi. your way of life is so inspiring and very relaxing to watch since my day is full of stress from studying and exams. thank you for sharing this. i aspire to live a life this peaceful and wholesome,你好。您的生活方式是如此的鼓舞人心，非常放松，因为我的一天充满了学习和考试的压力。感谢您分享这一点。我渴望过上这种和平和有益健康的生活
43670,UgxH-BGvnaOl9y3d0m54AaABAg,0,"we love it, we also invite you to watch and subscribe on our channel. greetings from argentina",我们喜欢它，我们还邀请您在我们的频道上观看和订阅。来自阿根廷的问候
43652,UgwXl9U1Lx4cA8mbj0p4AaABAg,0,how do you pit feminist western liberals in a catatonic state and nervous breakdown...have them watch this series.,您如何将女权主义的西方自由主义者处于一种息息相关状态和神经崩溃状态...让他们观看这个系列。
43617,Ugzw30nzs_9NmW5rrCV4AaABAg,0,"i would love to spend a day with this lady and just watch and learn. hard working, but living simply.",我很想和这位女士共度一天，只是看和学习。努力工作，但过着简单的生活。
43616,Ugxfv1u3AmL1gA6IW8h4AaABAg,0,"i dont know why, but this feels like watching gibli studio anime",我不知道为什么，但这感觉就像看吉布利工作室动漫
3040,Ugy4LOuPWy8ISdnkCRZ4AaABAg,0,entertainment show.. i have always love to watch this girl video whenever my mind told me to take rest.,娱乐节目..每当我的想法告诉我休息时，我一直很喜欢看这个女孩的视频。
43982,UgzpdmV6ugONM3DFK054AaABAg,0,"this video is so pleasant to watch, it is like watching a waterfall or crackling fire in a fireplace.",该视频非常愉快，就像观看瀑布或在壁炉里crack啪作响一样。
2866,Ugy_ZTeswmvGWTdCFvB4AaABAg,0,i really like to watch lam's channel ❤️,我真的很喜欢看Lam的频道❤️
43548,UgxSx1TPZ4zFdVJBVZd4AaABAg,0,"this is a beautiful video... as a pastry chef, i always want to do things (baking and cooking) in the most unadulterated and most basic method. i enjoyed watching this!",这是一个美丽的视频...作为糕点厨师，我总是想以最纯净，最基本的方法做事（烘烤和烹饪）。我喜欢看这个！
44035,UgzhOqAr-KtwvWQ9Z6x4AaABAg,0,"i don't know how i came to stop here, but what a nice video to watch, wow ..",我不知道我是怎么来这里停在这里的，但是观看的视频真是太好了，哇。
44469,Ugyq24bYcYDjOEnx64Z4AaABAg,0,"when i watch her,i think her work is so easy...but when i do my own work its realy not easy its so hard for me",当我看着她时，我认为她的工作很容易...但是当我自己做的工作时，这真的并不容易，这对我来说很难
44468,Ugyzjw6k3IGZ6pi721h4AaABAg,0,i really enjoy watching her videos !!! who is thinking the same as me????,我真的很喜欢看她的视频！！！谁和我一样的想法？？？？
44424,Ugxs1piXjbwzw-t5u-B4AaABAg,0,"this film is what i saw on facebook. life is very fortunate to see ziyi, deeply falling in love with every picture and fragment, and then after watching one after another 
this film is my favorite in all, at least once a day to see it to be willing.","这一部影片是我在facebook看到的，人生很庆幸有看到子柒，深深爱上每一个画面和片段，然后就一部接着一部都看完了
这部影片是全部里面我最喜欢的，每天至少要看一次才甘愿"
44423,UgwfbbgEn9al3otrjuZ4AaABAg,0,wtf did i just watch,wtf我只是看着
44368,UgyK_ob_C929I-wlBsB4AaABAg,0,llc there is no poor kitten without an ears and in such poor condition i can’t watch this,有限责任公司没有耳朵没有可怜的小猫，在这种情况下，我看不到这个
44340,UgxEGu5V_me0iUj-iDJ4AaABAg,0,was this a real life studio ghibli short i just watched?,这是我刚刚看过的现实生活工作室吉卜力短片吗？
44321,UgxVW-wSv4mPqN_1rpd4AaABAg,0,her food always looks so amazing ..... and good ....something cooked not raw ...can't stop watching her,她的食物总是看起来很棒.....好.....煮熟的东西不是原始的...不能停止看着她
44313,Ugy0GzgYlfy-wBRLXMd4AaABAg,0,i watched almost every her clip via facebook and loved it.,我几乎通过Facebook观看了她的每个剪辑，并喜欢它。
44309,UgzPczGQgPrdSJk2bll4AaABAg,0,this is so satisfying to watch❣️,这真是令人满意地观看❣️
2839,UgyP6DG36yUTJVw7_x14AaABAg,0,love to watch all her video,喜欢看她所有的视频
44284,Ugz1pYrmjTOLOizb5O14AaABAg,0,rich watch movies,丰富的手表电影
44281,UgzmSieNTF446GIPMVF4AaABAg,0,"it felt like i was watching a movie, wow.",感觉就像我在看电影，哇。
44279,UgyBznN2Ce4fjW_QxZB4AaABAg,0,idk what the fuck i’m watching exactly but i’m pleased,idk我到底是什么他妈的，但我很高兴
44175,UgwE5VxMDMY227XRVm94AaABAg,0,i become very emotional while im watching your videos... well done... greetings from serbia,当我看着你的视频时，我变得非常激动...做得好...塞尔维亚的问候
44167,UgxjLDUR9Cf6XlptfDF4AaABAg,0,i really enjoy watching all ur videos. u r like an angel,我真的很喜欢观看所有视频。你喜欢天使
44143,Ugx5Bk65HSZaZKpFA-N4AaABAg,0,"its so satisfying to watch, and i love the nature scene its so beautiful love it ,already subscribe!!",它是如此令人满意的观看，我喜欢自然界，它是如此美丽的爱，已经订阅了！
44095,UgzIQ488Zj37JfpyfL14AaABAg,0,i feel so utterly satisfied to watch her do all these chores...just love the village life,我很满意看着她做所有这些琐事...只是爱乡村生活
44083,UgyvOUN1vY-82UJQhKl4AaABAg,0,somewhere in this crazy world ..a beautiful human being ..i feel so relaxed by watching you ❤❤,在这个疯狂的世界中的某个地方..一个美丽的人..我看着你感到很放松❤❤
2854,UgxP4-KparSryoKS1Od4AaABAg,0,looking at you really feel at ease (its so soothing to watch you ...),看着你真让人安心 (Its so soothing to watch you..)
