,cid,votes,含watch,含watch中文翻译
13705,UgzhoiH2-D-oC8SGwhx4AaABAg,3,are the indonesians watching this?,印尼人在看这个吗？
7703,UgxkZv0KwOYdFVwM6Hh4AaABAg,3,you know life is good when you watch this in midnight while procrastinating school assignments lol,您知道当您在午夜观看时，生活是美好的，而拖延学校作业大声笑
31490,UgwUyESYva-00YZisfx4AaABAg.8yVCxkFMJj18ymHz51PJbo,3,"franz peters the videos are also uploaded on many china website,such as bilibili and weibo, there are also many chinese viewers to watch her video.",弗朗兹·彼得斯（Franz Peters）也将视频上传到了许多中国网站，例如比利比利（Bilibili）和微博（Weibo），也有许多中国观众可以观看她的视频。
22320,UgxvOcsgSWOIVbVyCsB4AaABAg,3,i love that when this channel started she did everything so gracefully and now we get to watch her aggressively rip things from the ground.,我喜欢这个频道开始时，她做得如此优雅地做了一切，现在我们可以看着她从地面上积极地撕开东西。
34630,UgwkKV7pLF1BKUn-bOB4AaABAg,3,i watched 18k view 3k like .but now ? just do comment,我看着18k的3k，但是现在呢？只是发表评论
29052,UgyxBFiqpKDryhlhXr14AaABAg,3,"what a smart woman she is! i just love to watch liziqi video. such a calm, kind atmosphere.",她是一个聪明的女人！我只是喜欢看Liziqi视频。如此平静，友善的氛围。
32058,UgxdEhj-cZs-wEm9c4x4AaABAg.8yV0EYhRV0B8yVRt1OFXDw,3,"lynne, she comes from an impoverished background, by her own account she once lived under a bridge. she has become wealthy through her films and her food company. if you you watch her older films you can see how her grandparents farm looked a few years ago. all the more inspirational!",林恩（Lynne），她凭借自己曾经住在桥下的账户，来自贫穷的背景。她的电影和食品公司已经变得富有。如果您看着她的年长电影，您会看到她的祖父母农场几年前的样子。更具启发性！
21896,UgwcX9YQRp7-GIicFyh4AaABAg,3,"omg as soon as i start watching her videos i cant stop myself watching for more,makes me think how i miss my simple life in the village,,,girl you inspire me a lot,,one day gonna go back to the island where i was born,cant wait to go back home and cook like your videos,i learn a lot from your video,god bless you girl,",天哪，一旦我开始观看她的视频，我就不能停止自己观看更多，让我想到我如何想念我在村庄的简单生活，你会激发我的灵感很多，有一天会回到岛上出生了，迫不及待地想回家像你的视频一样做饭，我从你的视频中学到了很多东西，上帝保佑你的女孩，
21861,Ugx0s0ob1pWVxMz3gh94AaABAg,3,"i am living precariously through her, i really wish i could have her lifestyle but i'll be happy just distressing watching her videos",我过着她的生活，我真的希望我能拥有她的生活方式，但我会很高兴看她的视频
34955,UgxLYTzzwAI1RrXdE0F4AaABAg,3,"thank you for this beautiful video lizy, i really enjoy watching your videos ♥️ im from méxico",谢谢您的这个美丽的视频lizy，我真的很喜欢看您的视频♥来自墨西哥的IM
28679,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g92mKnzDRp-e,3,"aaron zhang, so why do she live in china why she wants to speak english, just upload the video here for more people to see it. if you like it, you do n’t need to watch it silently. you do n’t need to laugh at others. essence",Aaron Zhang 是的 她生活在中国为什么要讲英文，只是把视频上传到这里给更多人看到罢了，喜欢的自然喜欢不喜欢就无需看默默走开就好，没必要嘲笑人家不会讲英文。
15538,Ugym95lIZzwQdXifoVh4AaABAg,3,that amazing and beautiful to see this it's like watching the old school moives of china the ancestors would be proud and happy to see this would bring tears,看到这一点的令人惊叹和美丽
32914,Ugz3FH_-93t-gEqVUdx4AaABAg.8yUkS5gmmql8yV6NVrn4LD,3,watching her video really makes people feel that the self -sufficient life of people in ancient times is really beautiful,看了她视频真的让人感觉到古时候的人自给自足的生活真的很美好
15788,UgyA7sRLdVrROsamTEZ4AaABAg,3,it feels like i am watching a movie.,感觉就像我在看电影。
6370,UgyC1hGuDLeLskoc7h54AaABAg,3,"i love watching these videos!! i feel so relaxed, and i learn something!!",我喜欢看这些视频！我感到很放松，我学到了一些东西！
24955,UgyaTjxoACKk7bEsENR4AaABAg,3,watching a movie will not yield this much happiness to see this video,看电影不会带来这部视频的幸福
19137,UgznS5wTSCsYoDe3kZ14AaABAg,3,that is the most delicious video i’ve ever watched,那是我看过的最美味的视频
6324,UgyqJ-dwJ0rbNemgb194AaABAg,3,"damn, well, do i have such tears of joy, or from such a video, the creators of a big respect just super i watch in one breath. .",该死的，好吧，我有如此喜悦的眼泪，或者从这样的视频中，我一口气地观看了一个非常尊重的创作者。 。
6584,Ugy92fLMyLJ7yYHUoIp4AaABAg,3,"my first impression was watching .. i felt calm .. the atmosphere was so comfortable it was really beautiful. makes me interested in watching it again

๏ฟผ","我的第一印象是看着..我感到镇定。气氛非常舒适，真的很漂亮。让我有兴趣再次观看

￼"
24873,Ugztyhladsn-4Os-RXR4AaABAg.8zCPoRecLit8zNvVsv5tBX,3,"nuoo, well, i think bamboo forrest is just really suitable for snake kingdom, ifk, i watch news about people found about 80 snake in bamboo forrest, i just traumatized with that",nuoo，好吧，我认为Bamboo Forrest真的适合蛇王国，IFK，我看了有关人们在Bamboo Forrest中发现大约80条蛇的消息，我只是对此造成了创伤
11505,Ugy1KGHSxEj1ZboL-A54AaABAg.97VIv7Cq5HJ98RAHJy4ioI,3,its 4am where i live and i've been binge watching her videos for 5 hrs :'),我住的凌晨4点，我一直在狂欢观看她的视频5个小时：'）
16116,Ugx94zBdE7iwE14d_854AaABAg,3,"here again a day later. just discovered her and trying ""chew slowly"" so to speak. have watched a few. delightful. inspiring. best here on yt. when its over i realize ive been grinning like crazy throughout.",一天后再次在这里。可以这么说，刚刚发现她并尝试“慢慢咀嚼”。看过几个。愉快。鼓舞人心。最好在这里。当它结束时，我意识到我一直在疯狂地咧着嘴笑。
6405,Ugzf70cPsPH67pHqP_d4AaABAg,3,"this is one of the nicest channels i have ever watched. seems perfect, almost like a video game.",这是我看过的最好的频道之一。看起来很完美，几乎就像电子游戏。
26418,UgwduJVk4jCUuh7Y7s94AaABAg,3,always amazes me watching your videos would you take an american and show them,总是惊讶我看你的视频，你会带一个美国人并向他们展示
19108,UgyFuH1ls9KNp14423h4AaABAg,3,my all time favorite series of videos to watch. the food looks amazing and the scenery is breathtaking.,我一直以来最喜欢观看的视频系列。食物看起来很棒，风景令人叹为观止。
25721,UgwER2qnmVJ7VmOqujl4AaABAg.8yzGOMxnfp88z5tZNpRAVc,3,"bro i also want to say the same thing, for survival we need job but we are deprived of awesomeness of life.realising watching this that life is beautiful but we need to have a beautiful mind to observe things around.",兄弟，我也想说同样的话，为了生存，我们需要工作，但我们被剥夺了生命的敬畏。
5332,UgwfzR1Wxt6ralOi9q14AaABAg,3,idk but this is satisfying and calming to watch โค๏ธ,idk，但这是令人满意和平静的观看❤️
15498,UgxpSmJXGUdxsrqLpTx4AaABAg,3,"it is very calming and relaxing to watch. i like how she preserved traditional craftsmanship and many more. but it is impossible to live like this. you will need to hire a team of gardener, makeup artist, chef, and housekeeper...",观看这是非常平静和放松的。我喜欢她保留传统工艺的方式等等。但是不可能这样生活。您需要雇用一支由园丁，化妆师，厨师和管家组成的团队...
10108,UgyzguPXPf7_0CiPWXZ4AaABAg,2,it's 2.03 am and i'm watching her to feel the taste of satisfaction,现在是上午2.03，我看着她感到满意的味道
30905,UgzwGoc9tWSZUi0myDV4AaABAg.8yVQSrHBeQZ8yzKV4YekrM,2,"bramha's astra do you actually watch any food network chefs? ina garten/barefoot contessa frequently uses fresh ingredients, either grown herself or from her local shops. alton brown (who recently started brand new episodes of good eats) does the same. even on those cooking competition shows (e.g. chopped), they pick fresh fruits and vegetables from the pantry, not from a can. 


the only show where the food was consistently canned/boxed was ""semi-homemade"" with sandra lee and that terrible show was cancelled in 2011, thank god. 


i feel like you are just so obstinately anti-american, you refuse to acknowledge anything positive about the us. and don't say it isn't true. i can tell by the way you falsely described food network shows and american cooking in general.","布拉姆（Bramha）的阿斯特拉（Astra）您实际上看过任何食品网络厨师吗？ Ina Garten/Barefoot Contessa经常使用新鲜食材，无论是自己还是从当地的商店种植。奥尔顿·布朗（Alton Brown）（最近开始了全新的《好吃》剧集）也是如此。即使在那些烹饪比赛中（例如切碎），他们也从储藏室中挑选新鲜的水果和蔬菜，而不是从罐头中挑选。


唯一与桑德拉·李（Sandra Lee）一起罐装/盒装食物的唯一表演是“半摩托马”，而这场可怕的表演在2011年被取消了，感谢上帝。


我觉得您是如此顽固的反美，您拒绝承认对美国的任何积极。而且不要说这不是真的。我可以通过错误地描述食品网络节目和美国烹饪的方式来分辨。"
29423,UgyWG-M7X18eJTbzR0R4AaABAg,2,"let me send you your welfare, about li ziqi. the clothes she made appeared here. she and her grandmother said that she came back two days later and it was originally here.. https://www.youtube.com/watch?v=kvmgatmn9uq",让我向您发送有关Li Ziqi的福利。她做的衣服出现在这里。她和她的祖母说她两天后回来了，最初是在这里.. https://www.youtube.com/watch?v=kvmgatmn9uq
2625,UgwrETUOcPfI-a0vdrJ4AaABAg,2,please leave the descriptions on a few seconds longer to read. i love watching her. as life should be. thank you,请在几秒钟内将描述留出更长的阅读。我喜欢看着她。就像生活一样。谢谢
18214,UgyOznfVGU9pTlTB6BF4AaABAg,2,grass! intersection i watched the video and immediately took a snail powder.,草！！看了视频立马外卖订上螺蛳粉了
3810,UgzBJUj_crFSDTBbzc94AaABAg,2,"to be honest, i love watching her videos. i believe that she worked hard for it and every single bit of her works proved it. while scrolling through the comments, i saw a lot of malicious comments criticizing her. i mean, i know most people wouldn’t know whether this is true or not. but you can at least support her for this beautiful video? well maybe if you hate to support then don’t watch it. i love watching her videos and that is it for me. writing such awful comments made me think of how cruel can a mouth/mind be? please, she never disturbs any of you. so please, don’t hurt her.",老实说，我喜欢看她的视频。我相信她为此而努力，她的每一部分都证明了这一点。在浏览评论时，我看到了许多恶意评论批评她。我的意思是，我知道大多数人都不知道这是真的。但是您至少可以为她提供这个美丽的视频支持她吗？好吧，也许如果您不喜欢支持，那就不要看它。我喜欢看她的视频，就是我。写如此可怕的评论使我想到了嘴/思想的残酷性？拜托，她从不打扰你们中的任何一个。所以请不要伤害她。
31601,Ugy--PN1s4FVZVfupUF4AaABAg,2,"when i'm watching her i feel the contentment in life no tensions,pressure just go with the flow make a simple life",当我看着她时，我感到生活中的满足不紧张，压力只会随着流程而变得简单的生活
18150,UgyScNAfARBTKwVi7ex4AaABAg,2,"i have n’t watched li ziyi's video before, but i saw a lot of criticism about her on the internet, but i did n’t know what to do tonight, so i pushed it to her video. after watching it, i just want to say that she is really good. for for peers, even for most people, and for me, these videos taught me to be in awe of life and live well",之前并没有看过李子柒的视频，只是在网上看到很多关于她的非议，但是今晚不知怎么的，就推送到了她的视频，看完之后我只想说，她真的很优秀，对于同龄人来说，甚至对于大多数人来说，而对于我来说，这些视频教会了我应该敬畏生活，并且好好生活
20991,Ugz-pHV-jnoDkMowumR4AaABAg,2,when i watch her videos it fills me about the beautiful nature of this world where we lived,当我观看她的视频时，它充满了我们这个世界的美丽本质
12120,Ugycot3CMQWR-70E9ZR4AaABAg,2,watching this video simply gives soothing effect to the mind....create lots of positive energy...,观看此视频只是给人带来舒缓的效果。...创造了许多积极的能量...
11159,UgzFN0qw640bddW6qbl4AaABAg,2,this is pure joy to watch❤️,这是观看❤️的纯粹乐趣
18535,Ugz7vX27tY0R8YBBwyB4AaABAg.92TOl30agtK92_huSFDhvK,2,hahaha i was thinking about chinese/taiwanese rpgs when i was watching it. it fits the dreamy imagination of a different life.,哈哈哈，当我看着它时，我正在考虑中国/台湾RPG。它适合对不同生活的梦幻般的想象。
20384,Ugw7pGsUEzc0By-mJlx4AaABAg,2,this is so satisfying..i need to do this in my channel too. so beautiful to watch,这是如此令人满意..我也需要在我的频道中执行此操作。如此美丽看
31280,UgzKbjbciWq_U6Pq7yF4AaABAg,2,"after watching this episode, my tears are almost falling. i was also a person who could eat snail powder before! however, after moving abroad, the appetite gradually faded due to conditions and environmental reasons. a year ago, i flew back to china while holidays, thinking about eating snail powder, but once, i was spicy enough to use half of the box to draw paper + diarrhea. now there is no condition to eat (whether it is objective or subjective). wow wow wow wow, making sad crying.",看完这一集我眼泪都快落下来，之前我也是能吃螺蛳粉的人！但在搬到国外后因为条件和环境原因胃口渐渐变淡，现在连辛拉面(方便面)都吃不了。一年前趁放假飞回中国，心心念念想着要吃螺蛳粉，结果就那么一次，我被辣到用完大半盒抽纸＋拉肚子。现在想吃也没条件了(不管是客观还是主观的原因)。呜哇哇哇哇哇，发出悲痛的哭嚎声。
18864,UgwQx7dQMoxV-tObwDR4AaABAg,2,the people who watched it at night showed that people were not good.,大晚上看的表示人都不好了。
2620,UgxytXKidEWNJ9KsbUZ4AaABAg,2,"not an once of hesitation in her moves..
it's fluid, no interruption, one task after another in a single continuity... i feel like watching wushu practice.
this is mastery... in the art of life.
very impressive.
shie shie sifu liziqi","她的举动曾经没有犹豫。
它是流畅的，没有中断的，在一个连续性中又一次接一个的任务……我觉得自己想看武士练习。
这是掌握的...在生活的艺术中。
非常令人印象深刻。
shie shie sifu liziqi"
3245,UgzEp0FVwYGUxD5OU-J4AaABAg.9PMwMuFsvmp9PTRA8yxhjA,2,"the style is different, you like to watch the little brother in western yunnan yunnan",风格不一样，你喜欢热闹可以看 滇西小哥
19236,UgwiAiSytG6Lt0iXR6l4AaABAg,2,i really enjoy watching her. she is so skilled and the video has a peaceful quality about it.,我真的很喜欢看她。她是如此熟练，视频具有和平品质。
17615,UgwY0Ip_r-XSBBllrzJ4AaABAg,2,i miss my hometown after watching this video huhu,我想念我的家乡，看这段视频后
19615,UgzYnvxewu4S3f8iRs54AaABAg.91m1gByzw1B92VyZVA5GyJ,2,"there are other good stuffs, but the problem is you won't understand there content. but watching her videos, you don't need to understand chinese.",还有其他好东西，但问题是您不会理解那里的内容。但是观看她的视频，您不需要了解中文。
11801,Ugz_kLB1OMW1leRRuCR4AaABAg,2,it's so good. i think i'm watching a movie on the other hand.,它是那么好。我想另一方面我正在看电影。
3209,Ugx-98vFZdtFNg1PMrl4AaABAg,2,i watch her videos every night before sleeping,我每天晚上睡觉前观看她的视频
14873,UgyA8a9wJns_VZQwmE54AaABAg,2,"i am so hungry after watching this vedio, i wish i could go back to china immediately and my mother will prepare many delicious food",看着这个吠陀之后，我很饿，我希望我能立即回到中国，母亲会准备许多美味的食物
8887,UgxOBgD3fQC8I59-Qdl4AaABAg.9Ah38njXB5I9BFMfHxvPrK,2,"fortunately, i have watched the video of the girl in vietnam. i really feel that the style is imitating, but after all, the content is different. it can also be understood as a tribute to the fans of li ziyi. if her video is good enough and can do it as well as li ziyi, then it is also a good thing that everyone can watch for the oil pipe audience. quality is not as good as in all aspects. even if it is really plagiarism, i believe that li ziyi is really gold and is not afraid of refining. this degree of plagiarism is not a threat.",也还好吧，越南的那个姑娘的视频我也看过，确实感觉风格有在模仿但是毕竟内容不一样，也可以理解为李子柒粉丝的一种致敬。如果她视频做的足够好，能跟李子柒做的一样好，那么对于油管观众也是件好事大家又多了能看的内容，不过就目前而言个人觉得她的视频是比不上李子柒的质量的，各方面都不如，就算真的是抄袭相信李子柒也是真金不怕火炼，这种程度的抄袭根本构不成什么威胁
14662,UgzRhk8lXZQh4vf0BOd4AaABAg,2,she gives me some kind of relaxing when i watch her videos,当我观看她的视频时，她给我某种放松
14351,Ugz8N3OK0QLpRqYYWSN4AaABAg,2,"feel like i'm watching a studio ghibli movies, gotta love this channel",感觉就像我正在看吉卜力录音室电影一样，必须喜欢这个频道
35095,UgwPtAXmqIr9ZzbM-NF4AaABAg.8yUS2-MVzry8yUUfb37djP,2,same tau .. i've been watching all his videos,同样的tau ..我一直在看他的所有视频
31187,UgwKSnU6fuOJ1v0dwgd4AaABAg,2,your work seems very calming although sometimes very strenuous. everything you make us so fresh. love watching you perform your talents.,您的工作似乎很平静，尽管有时很艰巨。你让我们如此新鲜的一切。喜欢看着你表演自己的才华。
19896,UgxsgDUfFOXexeX_Yx54AaABAg,2,i'm feeling healthy just by watching all this,我只是通过观看所有这些
10300,UgydG1J7d1u8VRTeHcN4AaABAg,2,"who even watched the nick name nek.,.",谁甚至看过Nick Nek。，。
19990,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq95Xghtdkcdz,2,"my wife spend more than 3.00 hrs day watching her videos . she is very strong girl , peace , talented and hope of everyone . let’s inspire her for more videos .",我的妻子花了3.00多小时的日子观看她的视频。她是非常坚强的女孩，和平，才华横溢，所有人的希望。让我们激发她的更多视频。
17635,UgxW81R99cPbf3bu0s54AaABAg.92iL8s-QtKf92phpawW0vL,2,"hahaha, i really watched her video for the first time, or in youtube",哈哈哈 我还真是第一次看她视频，还是在YouTube
29846,UgwfwvB96GBNaz2nVm54AaABAg,2,"me: i dont think i can eat snails like ever
me to me watching this video: i want to try her dishes","我：我认为我不能像以往一样吃蜗牛
我看着这个视频：我想尝试她的菜肴"
5772,Ugya9Pon61oQjonTOBh4AaABAg,2,"2020 anyone??? i canโ€t stop watching her video 
welcome to my village too..","2020有人？？？我不能停止观看她的视频
也欢迎来到我的村庄。"
28301,UgyB4PQ5TmL1C1BlAuh4AaABAg,2,"i watch this channel to heal myself. the best channel there is, on youtube. love the sound of the spatula on the wok. peaceful cuisine comes a close second.",我看着这个频道以治愈自己。最好的频道是YouTube上的。喜欢炒锅上的刮刀的声音。和平美食紧随其后。
23844,Ugx0Xwxh8Z9qiT0ho4B4AaABAg,2,"i want to be with you, so i watch you make delicious food",我想和你在一起，所以我看着你做美味的食物
6625,Ugw9SwzajepfY0Y4oXd4AaABAg,2,everybody watches but no one tries....๐๐since all the ingredients are unavailable,每个人都看着，但没人尝试....
1117,UgzEGSixnIgPqWcJtAx4AaABAg,2,love to watch her respect for her grand mother,喜欢看着她尊重她的大母亲
32846,Ugz9nO0djMDCf-YhFZV4AaABAg,2,"i'm watching well these days,
can you raise korean subtitles?","这些天我看的很好，
您可以提出韩国字幕吗？"
11028,UgzxCAS0Jrwg6fsStv54AaABAg.984qUe8j7ci99JFtZLPcrH,2,"i think it should be because he is a virtuous chinese woman, marry a wife like li ziqi, this is the emotion after we watch her vido.",我认为应该是因为他是一位贤惠的中国女人，嫁给了像李齐（Li Ziqi）这样的妻子，这是我们看着她的视频之后的情感。
33495,UgxWyav1Owc9BRSUWxV4AaABAg,2,why am i always hungry after watching her videos?????,看她的视频后，为什么我总是饿？
15409,UgxM6M0zpu3k7SD32RR4AaABAg.93FjALA-hss98XaaFmAZ6B,2,"strait arrow it’s a ‘propaganda’ if you wish it. it’s also a high-value production , staged ( for ken rascon) piece of entertainment that teaches simple and good value ( i.e. respect and love for your grandma) if you wish it. no one dies in make this well crafted film. all ( including messieurs arrow and rascon i suspect and hope) are entertained watching this in the time of a pandemic. so i decide to ‘wish’ the latter in this instance.",海峡箭头，如果您愿意，这是一个“宣传”。这也是一部高价值的作品，为肯·拉斯康（Ken Rascon）演出，如果您愿意的话，它教授简单而良好的价值（即尊重和对祖母的爱）。没有人死于制作精良的电影。在大流行时期，所有人（包括Messieurs Arrow和Rascon）都很有趣。因此，我决定在这种情况下“希望”后者。
24307,Ugw37F4_N0tODenZMgJ4AaABAg.8zOoczXETeU8zo1_Xo7_Q5,2,afronaut if it makes you feel better i’m eating fast food why watching this as well lol,非洲人如果让您感觉更好，我正在吃快餐，为什么也要看这个
26448,Ugw_jrzPSWa7kM4cpJd4AaABAg,2,"every time i watch her cook, i fall in love with her 
then reality wakes me up
#feelsbadman","每当我看她做饭时，我都爱上了她
然后现实唤醒我
#feelsbadman"
16280,Ugy0kCO-C8c4ew6Z5aZ4AaABAg,2,"when you watch this video its like your in a haze, so relaxing and calm. good break from the hustle and bustle of working in the city! gotta visit china soon and learn about my cultural heritage, right now my perspective is muddled by western culture, so harsh and abbrrasive specially for my children. keep up the videos!",当您观看此视频时，它就像您的阴霾一样，令人放松和镇定。从城市工作的喧嚣中度过了良好的休息！要尽快参观中国并了解我的文化遗产，现在我的观点被西方文化所困扰，这对我的孩子们来说是如此苛刻和宽容。保持视频！
26224,UgyZb8kCOL9qBR67lDd4AaABAg,2,"i love watch this channel 
everything she cook looks delicious","我喜欢看这个频道
她煮的一切看起来很美味"
33154,UgwIVhHTtYXrZhZe23V4AaABAg,2,i feel comfortable when watching this picturesque nature is the most wonderful,看着这种风景如画的天性是最美妙的
33079,UgweRq2qsqqC7uIoVNN4AaABAg,2,"watching this video : i have to eat healthy foods
the real : i don""t have time to cook, i want to eat junk food :-)","观看此视频：我必须吃健康食品
真实：我没有时间做饭，我想吃垃圾食品:-)"
827,UgxTmj_ofeSXahyJ8RF4AaABAg,2,"i am very happy for the enthusiastic audience of this channel. i'm watching this li ziyi channel, from 5 million subscribers to 17 million now .. it's great

i am your fan five years ago","我为这个频道的热情观众感到非常高兴。我在看这个李子柒频道，从订阅人数还是500万到现在1700万..太棒了 

我是你五年前的粉丝"
6498,Ugxqq4Jtj5emLHSf_0d4AaABAg,2,very beautifully shot. but the conclusion from the watches of the watches- the chinese have all food.,非常漂亮的射击。但是手表的结论 - 中国人都有所有食物。
14469,UgwC1BG8OG690PtX4iB4AaABAg.94C3z5UoImQ95XgKXFGVLj,2,"my wife spend more than 3.00 hrs day watching her videos . she is very strong girl , peace , talented and hope of everyone . let’s inspire her for more videos .",我的妻子花了3.00多小时的日子观看她的视频。她是非常坚强的女孩，和平，才华横溢，所有人的希望。让我们激发她的更多视频。
32945,UgyKxDG2sweyla-S9Rd4AaABAg,2,nice your videos. watch your videos continuosly,很好的视频。连续观看视频
25301,UgxR_DtKa6iSD_I_L6Z4AaABAg,2,"ziyi, your video is very comfortable to watch, inspire me a lot, let me find the meaning of life, it also makes people understand a lot of things, and your video reveals that the ancients of our han nationality are revealed culture! where can i find the truth of life.",子柒，你的视频让人看了很舒服，给我的启发很大，让我找到了生活的意义，也让人理解了很多事，还有你的视频里透露着一股咱们汉族的古文化！哪里才能找到人生的真理。
10805,UgzQIlArdM3-I71mRb54AaABAg,2,"tbh im addicted to watching her video, like it motivates me to be productive and do household choirs. and damn she so beautiful!",TBH我沉迷于观看她的视频，就像它激励着我变得富有成效并做家务合唱团。该死的她真漂亮！
10822,Ugyl3d_LVvdGWhYXrP54AaABAg.98KcxOySBVt98P8s-ut1DH,2,"i watched a video about this lady who is a hermit and the interviewer asked her the same thing and she said that since she doesn't have a 9-5, 8 hours a day job, she has plenty of time to do all these other things she needs to do to live. :) maybe it is the same way",我看了一个关于这个女士的视频，他是隐士，面试官问她同样的事情，她说，由于她每天没有9-5、8小时的工作，因此她有足够的时间去做所有其他这些其他这些她需要做的事情。 :)也许是一样的
16075,UgxBUwnLLJrcwBD4ll54AaABAg,2,im just proud that i have been watching since her videos are randomly placed all over youtube,我只是为我一直在观看而感到自豪，因为她的视频被随机放置在YouTube上
15912,UgzVqPigM6ybho-0FcN4AaABAg,2,watching her cook is so relaxing,看着她的厨师是如此放松
25679,UgyCs3gk2R3ZvlqwblZ4AaABAg,2,i don't understand wht r these ingredients bt ur videos r so satisfying..i watch ur videos whenever im not feeling so good it gave me good vibes,我不了解这些成分的bt ur videos r如此令人满意..我看着你的视频，每当我感觉不太好时，这给了我好的氛围
10886,Ugx73LE_CE4ZPKonTOl4AaABAg,2,"i'm from north east india and my village looks like this place. also the food we eat is similar which is why most of the brown indian to be exact discriminate us as chinese. but after watching her, i'm proud that they call me chinese.",我来自印度东北部，我的村庄看起来像这个地方。同样，我们吃的食物也相似，这就是为什么大多数棕色印度人要确切地将我们歧视为中国人的原因。但是看着她后，我为他们称我为中国人感到自豪。
33701,UgzrqFOEY6fRRvU0G_B4AaABAg,2,who watches this because of the way she cooks? who watches this because it brings relaxing feelings to you?,谁是因为她的烹饪方式观看了这一点？谁看这是因为它给您带来了轻松的感觉？
26843,UgwPsqh0UqLzFY5BOH54AaABAg,2,"hello, i am an american, i am using a translation application. if it is a bit messy, i'm sorry. i really like your video, even if i can't understand it, they always calm me down. they let me calm down, and i emphasized from the school, so i watch your video now. you are a surprising chef, i like your embroidery skills! you are so talented, so maintain a good job!",你好，我是美国人，我正在使用翻译应用程序，如果它有点凌乱，那就很抱歉。我真的很喜欢你的视频，即使我不能理解它，它们总能让我冷静下来。他们让我冷静，并且我从学校强调，所以我现在看你的视频。你是一个令人惊讶的厨师，我喜欢你的刺绣技巧！你是如此有才华，所以保持良好的工作！
23124,Ugx36mmuXyMakzfJm954AaABAg,2,happy mid -autumn festival ~ people watching your videos overseas are really a kind of enjoyment and want to return to china to eat chinese food,中秋节快乐呀～人在海外看你的视频真的是种享受 好想回国吃中国美食
27267,UgxSafRcwqP8Y38qfml4AaABAg.8ygezvYh5k68yiv166oAQ2,2,the video she used to make furniture with bamboo is also impressive. that is the first video i watched.,她用竹子做家具的视频更impressive. 那是我看的第一个她的视频
16584,Ugzof-ZEETSgqYnkO7B4AaABAg.92tGvkUZlEb92zUFXzzq7B,2,for real.i even went back at some moment to rewatch some parts clearly,对于Real。我什至回过一会儿以清楚地重新观看了一些部分
34677,UgwCXB7IeRaVuWmJiPV4AaABAg.8yUTO2laqA88yUUsFcnCEf,2,i can't afford it. i can only cry while watching while watching,我一个都吃不起。只能边看边默默流泪
22371,UgxaM_0wHJwmPrlFmFZ4AaABAg,2,i love all your videos. i watch them at the end of my long day as it helps me relax and de-stress. thank you for sharing your life with the world. i'd love to come visit!,我喜欢你所有的视频。我在漫长的一天结束时看着它们，因为它可以帮助我放松和减轻压力。感谢您与世界分享生活。我很想来参观！
34461,UgwVoQ7NPLJKuQPCMcd4AaABAg,2,"i'm always healing and watching ♡♡♡
it's an emotional beautiful video ^^","我一直在康复和看♡♡♡
这是一个情感上的美丽视频^^"
32311,UgwvN1AcW7Ba8AOSg8d4AaABAg.8yUwZGMC4HT8yV726PxnKi,2,what is preparing and from which is not clear. but watching is interesting.,准备什么，从中尚不清楚。但是观看很有趣。
34821,Ugw0CMVQS3oHyZjZxzZ4AaABAg,2,i always click the notification fast. i pull over to the nearest mcd to watch the video hahaha,我总是快速单击通知。我拉到最近的MCD观看视频Hahaha
16796,UgxjySQyWB6VBun_lLt4AaABAg.92qrT3Z16hI934Vx_ZbpIz,2,@lhommemystere3938 ok boomer. now f*ck off and watch kardashians instead,@lhommemystere3938 OK Boomer。现在f*ck离开，看着卡戴珊人
15138,Ugzhr2Nm-xdfDhehU9R4AaABAg,2,i've just became more spiritual after watching this,看完这个后，我刚刚变得更加精神
22923,UgweE_2RMtXK9GuZQWR4AaABAg,2,"she looks well trained, not just girl-next-door, who makes some meal. video quality is excellent. whole conception is well built. congratulation. it’s glad to watch your vids.",她看上去训练有素，而不仅仅是女孩隔壁，她做饭。视频质量非常好。整个概念都很好。恭喜。很高兴观看您的视频。
27013,UgyJKoqLhmxxXRuA0W14AaABAg,2,"it's good to see the chinese way of life the old traditions of cooking and that super large garden called the jungle the scenery is breathtaking nearly as much as liziqi i have never seen such a beautiful , stunning , radiant and graceful looking woman as her even in her wellington boots when she walks through the jungle. she is china's snow white and i do not mean to offend you if you've seen the cartoon movie you know what i mean i love watching your videos it shows a life alot different to mine the film footage is clear and sharp to the eye.",很高兴看到中国的生活方式烹饪的古老传统以及那个被称为丛林的超级大花园，风景的刺耳景色几乎和liziqi一样令人叹为观止，我从未见过一个如此美丽，迷人，令人惊叹，辐射和优雅的女人，甚至像她一样当她穿过丛林时，她的惠灵顿靴子。她是中国的白雪公主，如果您看过卡通电影，我并不是要冒犯你，你知道我的意思是我喜欢看你的视频，它显示出与摄影镜头不同的生活，这对眼睛清晰而敏锐。
17651,UgxW81R99cPbf3bu0s54AaABAg.92iL8s-QtKf92svkDlGVgG,1,how interesting i use the philippine network to watch a person who uses a canadian network to leave a message to see a person who uses a german network to watch a message using a us network to watch a message on a video published on the us website. i do not know either,how interesting我用菲律宾网络正在看一个用加拿大网络的人留言看一个用德国网络的人留言看一个用美国网络的人留言在看一个中国人发布在美国网站上的视频的留言，到底谁看谁我自己也不知道
