,cid,votes,time,含skill,含skill中文翻译
546,UgyHFn5k4so1h35fWAB4AaABAg,1,4 months ago,"all of this is provided, the earth ... the sun ... heaven ... everything. amazed with actor who has the skills to produce art in video? but not amazed by those who provide everything on earth that humans need? of course, what makes everything in this universe must be unbeaten, there will be no rival, it will not resemble it because it is so stuck. to give an example to humans a good way of life, it only needs to send a similar creature, the best human (prophet). so that there is no more reason not to recognize the truth by saying ""what is sent by angels, we humans will not be able to emulate it"".

where did the fish come from?","所有这些都提供了，地球...太阳...天堂...一切。对在视频中有艺术技能的演员感到惊讶？但是，那些提供人类需要的一切的人都不会惊讶吗？当然，使这个宇宙中的一切都必须保持不败，不会有竞争对手，因为它被卡住了。为了为人类提供一个良好的生活方式，它只需要发送类似的生物，最好的人（先知）即可。因此，没有更多的理由通过说“天使发送的内容，我们人类将无法效仿”来认识到真相。

鱼是从哪里来的？"
25794,UgzcP7WNhgPrFn-J4qJ4AaABAg,1,3 years ago,i like you pets a lot and your cooking skills,我非常喜欢你的宠物和你的烹饪技巧
34682,UgwaYZo_EKzjnLA91H14AaABAg,1,4 years ago,"itโ€s really amazing to see you doing all these things in one video. thank you for sharing your skills with us. i love how you also take care of your grandmother. like you covered her ears from the big noise of the popcorn machine even though you jumped yourself. please, take care !",看到您在一个视频中做所有这些事情真是太神奇了。感谢您与我们分享您的技能。我喜欢您也如何照顾祖母。就像您跳了起来，爆米花机的大噪音遮住了她的耳朵。请保重！
16444,UgzHEI0B8FiAAp-b1bh4AaABAg.98ge8f78l8C99Nl8v8OiDe,1,3 years ago,"yeah it's a real chinese girl, her parents got a divorce when she was little, her stepmother treated her badly, so she lived with her grandparents. her grandpa taught her all the skills but he past away. she couldn't find a good job and was very poor. now she lives with her grandma and does all the things on her own, she earns some money but still lives this way, it's her daily life",是的，这是一个真正的中国女孩，她的父母小时候离婚了，继母对她的治疗不好，所以她与祖父母住在一起。她的爷爷教她所有的技能，但他过去了。她找不到一份好工作，非常贫穷。现在她和祖母一起生活，自己做所有的事情，她赚了一些钱，但仍然生活，这是她的日常生活
39452,UgxQpbdGjyRqqrFzKQx4AaABAg,1,4 years ago,"righteousness, utter righteousness. blessed with necessary skills. heaven smiles upon thee.",公义，完全公义。有必要的技能。天堂对你微笑。
12228,UgyXCNIXnfQVgIxi9r94AaABAg,1,2 years ago,skilled cook,熟练的厨师
2330,UgzrIieYvi9TfmsoGi94AaABAg,1,1 year ago,"amazing skills with great production value. 
she could easily live over 100yrs with all the natural elements.","惊人的技能具有良好的生产价值。
她可以轻松地使用所有自然元素生活100岁以上。"
33232,UgxZz1pTb3rcCQJ7AA54AaABAg.8vOil57dxRE8vRb3JPRmmV,1,4 years ago,"she is chinese, her home is in sichuan, china, and it is also the hometown of giant pandas. the girlโ€s childhood was very unfortunate, and the teenager left the school to work in a foreign land. after her father died, she returned to the beautiful and poor countryside to accompany her grandmother. her grandfather was a country banquet chef who inherited her grandfather's traditional cooking techniques and learned her grandmother's sewing and fabric skills. 
filming helped her financial situation, and now she has a great team. 
we wish this beautiful girl and wish her grandmother health.","她是中国人，她的家在中国四川，也是巨型熊猫的家乡。女孩的童年很不幸，这名少年离开学校在异国工作。父亲去世后，她回到美丽而贫穷的乡村陪伴祖母。她的祖父是一位乡村宴会厨师，她继承了祖父的传统烹饪技巧，并了解了祖母的缝纫和面料技巧。
拍摄有助于她的财务状况，现在她拥有一支出色的团队。
我们希望这个美丽的女孩并祝她祖母健康。"
49415,Ugwc2G9zgVIeMLRaiRB4AaABAg.8qm7ZLnWwLu8r_EYBL58FB,1,4 years ago,"@mick1937 sorry, but you look like the stupid troll here. going under someone's video and saying things like it's ""just the edit"" implying the person doesn't have any skill whatsoever, that's what a troll does.",@mick1937对不起，但是您看起来像愚蠢的巨魔。在某人的视频下，说这是“只是编辑”之类的话，这意味着该人没有任何技能，这就是巨魔的作用。
35075,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8w-0AnhrGTV,1,4 years ago,therewasnochill to be honest i donโ€t think you would need an education if you are living her life. you just learn from your elders and do it yourself and then teach the skills you learned on to the next generation and so on. i think all the education we need is 6th grade education and then live in her life. but you do have a point on her may or may not having an education.,老实说，我认为如果您过着她的生活，我不需要教育。您只需向长辈学习，然后自己做，然后教您在下一代中学到的技能，依此类推。我认为我们需要的所有教育都是六年级的教育，然后生活在她的生活中。但是，您确实有一个观点，也可能没有教育。
7185,Ugy1pHYzCPBSOUWymON4AaABAg,1,2 years ago,"i love your lifestyle as cultivation of your food and the cosina look delicious the dishes you must admire for all your skills continues to do it from el salvador, san miguel greets you blanca",我喜欢您的生活方式，因为您对食物的种植，而cosina看起来很美味，您必须欣赏所有技能，继续从El Salvador做到这一点，San Miguel向您致意。
7536,Ugz33gk2n58Ad39Ysvt4AaABAg.9JfTa1DwsQJ9LSqmNnoz07,1,2 years ago,truth and i am so jealous of her. i wish i have that kind of skills.,真相，我很嫉妒她。我希望我有这种技能。
7884,Ugw1TZW-s8jgOQWNj854AaABAg,1,2 years ago,"li ziyi is a lucky person. fortunately, it encountered the protection of strong political forces. that is to be discovered by bole. otherwise, li ziyi has genius acting skills, and it is impossible for a long time to show his personal talent as a documentary. li ziyi has actually become a hard work that has finally become the protagonist who belongs to a company's performance team. you can position li ziyi as a branch owner or a member of the branches under the strong political umbrella or a member of the strong political forces behind it. therefore, the local bully hooligan did not dare to bully her. as soon as the chinese state policy is now like a social custom environment, once it is aimed at by the bad guys and gangsters, it will have been difficult to be plundered and destroyed until they die until they die. li ziyi was not guilty, and many democratic movements overseas scolded li ziyi to be fair. which star must not be obedient after a cannon to keep his life be obedient? are you talented? it is the boss or the director, and the investment boss by your stage! otherwise, your shit is not! after you occasionally appealing in the water margin society, you are a little bit ignorant, and you wo n’t go to the dock to invest in the bully hooligan and corrupt officials in various industries in various regions of various classes. one thousand -child wife ion sanbilin is still miserable! it's lucky to live in china. the bad guys are painful without doing bad things. but the bad guys are happy to do bad things. this is china's folk customs and folk customs, and people who are simple in china are painful. the person who saw the unharmed helping hands belonged to the government's severe blow. a good man who cares about it is the target of destroying social stability. therefore, people who are simple and kind have to do bad things and have to lack virtue, so they blame their regrets daily and suffer from endocrine disorders to die early. after the death of chinese mao, the winner of the cultural revolution incidentiality determined the theory of destiny. you are killed by the revolutionary people, and you have a bad personality. your family is beaten as an anti -revolution. you are hateful. you can not be used by me. if you have money without giving me a little money, i will make trouble. this is china's national conditions, and it is also the revolutionary strategic deployment of china ’s triad to spread the world. li ziyi is just a strange product that was excavated by the big boss. the warring states ceremony lu buwei was a model and learning in the bones of the chinese. this also belongs to the use of chinese characteristics. the chinese have not invented and created since ancient times. there are always shortcuts speculative. stealing and imitation of turmoil is used. it is found that talent is the first object to get rich. lu bowei found that it was not what ordinary people could do. the people who found that li ziyi could not protect li ziyi. a rich boss holds a red actor, finds a good script, screenwriter, and the director organizes an excellent team. the official pen and pen of the people who buy the water and margin society are all capable. ordinary people live in china, you put a small stall on the street, and you must also be very knowledgeable. buy the street bully and local industrial and commercial tax urban management underworld. if you miss a link, you ca n’t make it! don't bully li ziqi overseas. there is a ability to go with the chinese government to ask an official hat. the june 4th riots were a group of red guards yu ni, who failed to speculate in the cultural revolution. this is the characteristic of chinese culture. no rescue. li ziyi, the social system of the communist wife, is very lucky.

before the reform and opening up after the cultural revolution, the urban and rural areas of china always retained the buildings and production and living models and status left by manqing. deng xiaoping sent water ghosts to taiwan's lianlian lin yifu from golden gate, and lin yifu broke the trick to subvert the world. since then, the chinese government has printed banknotes to exchange banknotes day and night. foreign trade subsidies are lower than cost -effective global economic aggression to destroy the european and american family industry light industry and become the world's richest ruling group. the dictatorship of 1.4 billion people has become the world hegemon. europe has been controlled by china today. the united states has died. china has been allowed to enter the city for a meager income forty years ago from forty years ago. the government ’s intentional day and night tofu residue project has accumulated the original agricultural workers’ blood -sweat. by now, the stock market housing market controlled by zhu rongji ’s son has repeatedly absorbed the hard -sweat of the national slave! high -speed transportation throughout the high -speed building everywhere, flicker inexplicable high -end consumption! excuse me, which brick tile belongs to you? you are just alive!

li ziyi is a lucky person. fortunately, it encountered the protection of strong political forces. that is to be discovered by bole. otherwise, li ziyi has genius acting skills, and it is impossible for a long time to play the personal talent as freely as a documentary. li ziyi has actually become a hard work that has finally become the protagonist who belongs to a company's performance team. you can position li ziyi to become a branch owner of the branch under the strong political umbrella or a member of the strong political forces behind it. it is really fate. therefore, the local bully hooligan did not dare to bully her. as soon as the chinese state policy is now like a social custom environment, once it is aimed at by the bad guys and gangsters, it will have been difficult to be plundered and destroyed until they die until they die. li ziyi was not guilty, and many democratic movements overseas scolded li ziyi to be fair. which star must not be obedient after a cannon to keep his life be obedient? are you talented? it is the boss or the director, and the investment boss by your stage! otherwise, your shit is not! after you occasionally appealing in the water margin society, you are a little bit ignorant, and you wo n’t go to the dock to invest in the bully hooligan and corrupt officials in various industries in various regions of various classes. one thousand -child wife ion sanbilin is still miserable! it's lucky to live in china. the bad guys are painful without doing bad things. but the bad guys are happy to do bad things. this is china's folk customs and folk customs, and people who are simple in china are painful. the person who saw the unharmed helping hands belonged to the government's severe blow. a good man who cares about it is the target of destroying social stability. therefore, people who are simple and kind have to do bad things and have to lack virtue, so they blame their regrets daily and suffer from endocrine disorders to die early. after the death of chinese mao, the winner of the cultural revolution incidentiality determined the theory of destiny. you are killed by the revolutionary people, and you have a bad personality. your family is beaten as an anti -revolution. you are hateful. you can not be used by me. if you have money without giving me a little money, i will make trouble. this is china's national conditions, and it is also the revolutionary strategic deployment of china ’s triad to spread the world. li ziyi is just a strange product that was excavated by the big boss. the warring states ceremony lu buwei was a model and learning in the bones of the chinese. this also belongs to the use of chinese characteristics. the chinese have not invented and created since ancient times. there are always shortcuts speculative. stealing and imitation of turmoil is used. it is found that talent is the first object to get rich. lu bowei found that it was not what ordinary people could do. the people who found that li ziyi could not protect li ziyi. a rich boss holds a red actor, finds a good script, screenwriter, and the director's excellent team, and officials who buy all aspects of the society of the water and margin are all the skills. ordinary people, you have a small stall on the street, and you must also be very conscious. buy the street bully and local industrial and commercial tax urban management underworld. if you miss a link, you ca n’t make it! don't bully li ziqi overseas. there is a ability to go with the chinese government to ask an official hat. the june 4th riots were a group of red guards yu ni, who failed to speculate in the cultural revolution. this is the characteristic of chinese culture. no rescue.","李子柒是很幸运的人。很幸运的遇到了强大的政治势力的保护。也就是被伯乐发现。不然，李子柒天具有天才演技，也不可能长久地这样如纪录片展示自由自在的发挥个人的天分。李子柒实际已经被成为一个辛勤努力终于强大到了属于某企业演出团队的主角。可以定位李子柒成为一个在强大政治保护伞之下的分公司老板或者是背后强大政治势力的一员真的是命运使然。因此当地恶霸流氓也不敢欺负她。在中国国策现在那样的水浒一摸一样社会风俗的环境，一旦被坏人歹徒瞄准，那就被掠夺被摧残早就寸步难行，直至死亡。李子柒无罪，海外许多民运分子骂李子柒实在有失公允。试问哪一个明星不是在一炮打响之后必须乖乖依靠贿赂保住性命的呢？你有天份？是老板是导演，是投资老大被你的舞台！不然，你狗屁不是！你在水浒社会偶然机会暂露头角之后，稍微不懂事，不会拜码头投靠各个阶层的各个地区的各个行业的恶霸流氓以及贪官污吏，分分钟把你弄进监狱害死你。一落千丈妻离子散比林冲还要凄惨！在中国能活下去已经很幸运。坏人不做坏事心里很痛苦。但是坏人干坏事才快乐。这是中国的民风民俗，在中国单纯心善的人很痛苦。路见不平施予援手的人属于政府严厉打击对象。好管闲事的人属于破坏社会稳定的打击对象。因此单纯心善的人不得不干坏事不得不缺德，因此每日自责悔恨而罹患内分泌失调得怪病早死。中国毛死以后，文革利益获得者发明性格决定命运理论。你被革命群众弄死，是你性格不好。你全家被打成反革命是你有可恨之处。你有才能不被我所用，你有钱不给我一点钱，我就给你捣乱。这是中国国情，也是中国千方百计传播世界的革命战略部署。李子柒不过是一个被大老板挖掘囤积培育的奇货而已。战国策吕不韦是中国人骨头里的楷模和学问。这也属于中国特色的拿来主义。中国人自古不发明创造。投机取巧总有捷径。偷窃仿造捣乱为己所用。发现人才是第一可以拿来发财的物件。吕不韦发现嬴政那可不是一般人能做到的。发现李子柒的人非大鳄也做不到保护李子柒。一个有钱老板捧红一个演员，找好的剧本，编剧，导演组织优秀的团队，恰到好处的买通水浒社会各环节的官吏笔笔都是大本领。普通人活在中国，你就在街边摆一个小摊子，也必须很识相，买通街道恶霸，当地工商税务城管黑社会。缺一个环节就搞不成器！海外民运不要欺负李子柒了。有本事去和中国政府要官帽去。六四暴动就是文革余孽投机中国政治要官失败的一群红卫兵余孽。这是中国文化的特色。没救。共产共妻的社会制度李子柒是很幸运的。

文革后改革开放之前，中国城乡始终保留停留在满清留下来的建筑以及生产生活模式以及状态。邓小平派水鬼从金门接来台湾连长林毅夫，林毅夫一语道破颠覆世界的诀窍。从此中国政府日夜印刷钞票兑换欧元美金。外贸补贴低于成本全球经济侵略摧毁欧美家族工业轻工业从而成为世界最富有的统治集团。独裁集中十四亿人的血汗成为世界霸主。如今欧洲早已经被中国控制。美国已经亡国。中国遍地从四十年前开始，许可农奴进城用命换取微薄的收入。政府故意日夜豆腐渣工程积累最初的农工血汗，到如今朱镕基儿子管控的股市房市，反复猛烈吸纳国奴的血汗！遍地高楼大厦高速交通，忽悠莫名其妙的各类高端消费！试问，哪一块砖瓦属于你的呢？你仅仅是苟活而已！

李子柒是很幸运的人。很幸运的遇到了强大的政治势力的保护。也就是被伯乐发现。不然，李子柒具有天才演技，也不可能长久地这样如纪录片展示的那样自由自在的发挥个人的天分。李子柒实际已经被成为一个辛勤努力终于强大到了属于某企业演出团队的主角。可以定位李子柒成为一个在强大政治保护伞之下的分公司老板或者是背后强大政治势力的一员，真的是命运使然。因此当地恶霸流氓也不敢欺负她。在中国国策现在那样的水浒一摸一样社会风俗的环境，一旦被坏人歹徒瞄准，那就被掠夺被摧残早就寸步难行，直至死亡。李子柒无罪，海外许多民运分子骂李子柒实在有失公允。试问哪一个明星不是在一炮打响之后必须乖乖依靠贿赂保住性命的呢？你有天份？是老板是导演，是投资老大被你的舞台！不然，你狗屁不是！你在水浒社会偶然机会暂露头角之后，稍微不懂事，不会拜码头投靠各个阶层的各个地区的各个行业的恶霸流氓以及贪官污吏，分分钟把你弄进监狱害死你。一落千丈妻离子散比林冲还要凄惨！在中国能活下去已经很幸运。坏人不做坏事心里很痛苦。但是坏人干坏事才快乐。这是中国的民风民俗，在中国单纯心善的人很痛苦。路见不平施予援手的人属于政府严厉打击对象。好管闲事的人属于破坏社会稳定的打击对象。因此单纯心善的人不得不干坏事不得不缺德，因此每日自责悔恨而罹患内分泌失调得怪病早死。中国毛死以后，文革利益获得者发明性格决定命运理论。你被革命群众弄死，是你性格不好。你全家被打成反革命是你有可恨之处。你有才能不被我所用，你有钱不给我一点钱，我就给你捣乱。这是中国国情，也是中国千方百计传播世界的革命战略部署。李子柒不过是一个被大老板挖掘囤积培育的奇货而已。战国策吕不韦是中国人骨头里的楷模和学问。这也属于中国特色的拿来主义。中国人自古不发明创造。投机取巧总有捷径。偷窃仿造捣乱为己所用。发现人才是第一可以拿来发财的物件。吕不韦发现嬴政那可不是一般人能做到的。发现李子柒的人非大鳄也做不到保护李子柒。一个有钱老板捧红一个演员，找好的剧本，编剧，导演优秀的团队，买通水浒社会各环节的官吏都是大本领。普通人，你就在街边摆一个小摊子，也必须很识相，买通街道恶霸，当地工商税务城管黑社会。缺一个环节就搞不成器！海外民运不要欺负李子柒了。有本事去和中国政府要官帽去。六四暴动就是文革余孽投机中国政治要官失败的一群红卫兵余孽。这是中国文化的特色。没救。"
7902,UgzTEsabNINf5ytz2d14AaABAg,1,2 years ago,she good person keep your cerrier that can change your life and your family we all love your channel your skill all you can if i can i want to be like you cause not all can be like you me your fans from malaysia,她的好人保持您的serier更能改变您的生活和家人，我们都爱您的频道您的技能，如果我想像您一样，您会像您一样，因为您都不会像我一样，您的粉丝来自马来西亚的粉丝
31931,UgzoX6Qt-N0QuwZn3f14AaABAg,1,4 years ago,liziqi = skill collector.,liziqi =技能收集器。
35188,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-97TrYOT6czX,1,3 years ago,"@therewasnochill8997 sorry, but you have a typical misunderstanding of modern china. here we all need to get 9 years education, yes every single kids(boys &girls ).and after the 9years senior free-charge national education, we all have options to choose a university or go abroad or learn a lifetime skill . i am a freshman of a university, a chinese gril myself,and grils like me can all get very well education . and modern china is an interesting place very welcome for you to explore. liziqi 'vlog is unrealstic even in china now , although i had to say it is beautiful.",@thenwasnochill8997对不起，但是您对现代中国有典型的误解。在这里，我们都需要接受9年的教育，是的，每个孩子（男孩和女孩）。在9年的高级自由收费全国教育之后，我们所有人都有选择大学或出国或学习终身技能的选择。我是一所大学的新生，我本人是中国人，像我这样的疯狂都可以接受很好的教育。现代中国是一个有趣的地方，非常欢迎您探索。 Liziqi的视频博客即使在中国也是不切实际的，尽管我不得不说它很漂亮。
11401,UgzwEjcZZMS4bLGJx8d4AaABAg.9EfOkNzvS7A9FMwGBkpBQf,1,2 years ago,"agreed. a man can't just want that though, he needs to have equal skill, resolve, and determination to be her equal.",同意。一个人不仅想要这一点，他需要具有平等的技能，决心和决心使她平等。
12715,UgwWCHWN-u-UvxCoPPZ4AaABAg.9Cs9ZXNXmvg9EQWGBgl49B,1,2 years ago,"ever thought about becoming a
voluntar
new skills and make new friendships","曾经考虑过成为一个
自愿您接很多
新技能并建立新的友谊"
30598,UgxZRGEUfCHlRdf3EvJ4AaABAg,1,3 years ago,this woman is so skilled at everything~,这个女人在一切方面都很熟练〜
19407,UgwASpsKhNJl-ZHBerV4AaABAg,1,3 years ago,i wish i had her skills,我希望我有她的技能
17210,UgyA4B9z-Ku1opIOjI54AaABAg,1,3 years ago,how amazing! she's very skillful,多么惊人！她很熟练
16427,Ugy5bDisC5RYZoviSHF4AaABAg,1,3 years ago,i burnt my cast iron skillet..... making hashbrowns..... how the crap do you do all that and all i do is burn skillets!!!!???? i didnt even know burning a skillet was possible!!!! i'm 14 and learning to cook so pls don't hate me,我燃烧了铸铁煎锅.....制作悬面.....您如何做所有这些，我所做的就是燃烧的煎锅！我什至不知道燃烧煎锅是可能的！我14岁，学习做饭，所以请不要恨我
28016,UgyHC8u6y-BM1T3iyCl4AaABAg,1,3 years ago,i think i can't learn these skills in the countryside for a lifetime! this girl is crossing!,我觉得我在农村呆一辈子都学不会这些技能！这姑娘是穿越的吧！
14878,UgxslwWMfMQvLRoHH9V4AaABAg,1,2 years ago,this younger sister's cooking skills are so well,这个小姐姐厨艺真是了得
30631,UgymasEcWc9Clw6DSz94AaABAg,1,3 years ago,what a skillful lady she is !,她是一位熟练的女士！
35114,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8zpcuGf7Qwn,0,3 years ago,"she said in a recent interview that โ€someoneโ€s skill is othersโ€ instinctโ€. itโ€s her miserable childhood that forced her to learn all these seemingly innate skills, whereas itโ€s also her โ€fortunateโ€ childhood that endowed her with present happiness.",她在最近的一次采访中说：“某人的技能是别人的本能”。正是她痛苦的童年迫使她学习所有这些看似天生的技能，而她的“幸运”童年也使她拥有现在的幸福。
36106,UgxWLQqOypKBhIPLKtN4AaABAg,0,4 years ago,"donโ€t be fooled of her kindness and angelic appearance, she is a highly skilled undecover assasin.",不要欺骗自己的善良和天使般的外表，她是一位高技能的未经十足的刺客。
38103,Ugz6_1dlF4PpVHXnKCF4AaABAg,0,4 years ago,such a beautiful nature. skillful girl. i really liked her video.,如此美丽的天性。熟练的女孩。我真的很喜欢她的视频。
35507,Ugw0G0NNW93Rq3CBwkN4AaABAg,0,4 years ago,and who taught her all these amazing skills? she looks 14 years young. lol! i'm so glad i found her videos!,谁教她所有这些惊人的技能？她看起来14岁。哈哈！我很高兴找到她的视频！
35063,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8vb3k9n85Jn,0,4 years ago,@bfbvouabeorbvoaervure963 that's because we don't need to know these things on a daily basis modern society has destroyed any need or even desire for people to live off the land and sadly over time these skills get lost ๐”,@bfbvouabeorbvoaervure963是因为我们不需要每天都知道这些事情现代社会已经破坏了任何需求，甚至渴望人们在土地上生活，而可悲的是随着时间的流逝，这些技能迷失了
36707,Ugzg5QjRsSwbsH9i6Hh4AaABAg,0,4 years ago,iโ€m thinking of building a shrine dedicated to her! ๐คฃ how stupendous is she?! such skill and hard work.,我正在考虑建造一个致力于她的神社！
40069,UgzpQdNP_aRK7aBSkV54AaABAg,0,4 years ago,she amazes me ! she knows how to do everything! i wish schools would teach our kids survival skills ! we all depend on many other like her to do all the things we need! i know if i had my own house with a garden i could do so many things! all want is a small garden to plant herbs so far! i dont even have that!,她惊讶我！她知道如何做一切！我希望学校能教我们的孩子的生存能力！我们都依靠许多其他像她一样做我们需要的所有事情！我知道如果我有自己的房子和花园，我可以做很多事情！所有想要的都是一个小花园来种植草药！我什至没有那个！
40112,Ugz_S6n00xxG8QOK9ad4AaABAg,0,4 years ago (edited),"she cannot be real, it’s impossible for one person to have so many high level skills. she appears too pampered looking to qualify as someone living in a rural area who would do the types of odd jobs she is shown doing. for example, she has no scars on her hands or any other visible malignancies that would arise from being outside, working with fire, knives, sharp objects etc. her skin condition doesn’t align with what is proposed in these videos. aside from the overtly professional shots, multi cuts, multiple camera angles and an obviously healthy editing process. i wonder if this is some sort of “mocumentary”...?",她不可能是真实的，一个人不可能拥有这么多高级技能。她看起来太宠爱了，希望有资格成为生活在农村地区的人，他们会从事她所表现出的奇怪工作类型。例如，她手上没有疤痕，也没有任何其他明显的恶性肿瘤，这些恶性肿瘤会因在外面，使用火，刀，锋利的物体等。她的皮肤状况与这些视频中提出的内容不符。除了公开的专业镜头，多切割，多个相机角度以及明显健康的编辑过程。我想知道这是否是某种“ mocumentary” ...？
38052,UgwnW9f5Ee3arvH4pDd4AaABAg,0,4 years ago,the mysterious skills and the rich environment of nature are so good ~ fresh.,神秘的技能和丰富的自然环境是如此美好。
34894,Ugz3nwiNJNRU2_D-hYR4AaABAg,0,4 years ago,"the owner of the up should register the copyright for all the skills he has made, a kind proposal!",Up主应该为自己所做的一切技艺注册版权，一个善意的提议！
40113,UgzU7pPz_G4Qw0Fxi2B4AaABAg,0,4 years ago,golden hands of the girl immediately visible to automatism brought skills,女孩的金色手立即可见自动化带来技能
36379,UgxgxDvZrs4Twuf5COx4AaABAg,0,4 years ago,"he plows like cinderella. crasson and fragility. from nowhere, so much knowledge and skills, i watched more than one video. diches to take where the men?",他像灰姑娘。克拉森和脆弱性一样耕种。从无处乱逛，这么多知识和技能，我看了一个以上的视频。迪克斯要把男人带到哪里？
385,UgzAHbuTJqXEJBDJVI14AaABAg,0,2 months ago (edited),"words to describe a bit of her life: organized, abundant, fresh, clean and healthy, beautiful, great habits, skilled, respect, playful, natural, loving....",言语描述了她的生活：有组织的，丰富的，新鲜的，清洁的，健康的，美丽的习惯，熟练，尊重，嬉戏，自然，爱心...。
40389,UgxawakbutDKL0m8RMV4AaABAg,0,4 years ago,"how skilled, excellent .. !!!",多么熟练，很棒.. !!!
40701,UgxKQXWLYAePrtbIvgl4AaABAg,0,4 years ago,what kind of skills are you can't? marry your life full of infinite possibilities,有什么样的技能是妳不会的吗？娶到妳人生充满无限可能
45147,UgyLPk_nBy9HxpkSRGV4AaABAg,0,4 years ago,i love your video n your food making skill but i have never seen anything you are making for your pets they always rome aroung you want to eat what you are eating but you never serve them or never made anything for them,我喜欢您的视频和您的食物制作技巧，但我从未见过您为自己的宠物做的任何东西，他们总是想吃您要吃的东西，但您从不为他们服务或从未为他们提供任何东西
45152,UgxWfgeUdR1c5ECQOcZ4AaABAg,0,4 years ago,you are a very hard worker a good cook and skilled alroud.bless you and your gran mother!is it posible that you can edit your vidoe's with english sub titels?.i really enjoy our video's.have a blessed weekend.,您是一个非常勤奋的厨师和熟练的alroud。让您和您的Gran妈妈都可以，您可以用英语sub Titels编辑Vidoe？。我真的很喜欢我们的视频。有一个幸福的周末。
45680,Ugz5dDmCtf3Wi2xQUd54AaABAg,0,4 years ago,i really don't know your name but dear you have magical skill ..good bless you,我真的不知道你的名字，但亲爱的你有神奇的技巧..好祝福你
46482,UgznZcBxbXqbv3qqUCN4AaABAg,0,4 years ago,"love this ...was the cooking skills self taught or through school..omg shes amazing, she will get many blessings from grandma",爱这个...是自学或通过学校的烹饪技巧。
46656,UgzX5faLvqIzaaqo8Bh4AaABAg,0,4 years ago,wow... you are such a beauty... you got a beautiful skill.,哇...你真是个美...你有一项美丽的技能。
46702,Ugw4M2CwwIJOnk_gWVB4AaABAg,0,4 years ago (edited),wow nice do you know how to make those stuff no way omg you are really good at this and you have a good skill its that a popcorn,哇，你知道如何做这些东西，不要让你真的很擅长，而且你拥有一项富有爆米花的技能
46859,Ugy3IdDhg3u4qJakMG94AaABAg,0,4 years ago,i like your videos and cooking skill but one thing i dont like that you necglect your pupies and you eating in front of that pls share your food with them.thanks,我喜欢您的视频和烹饪技巧，但我不喜欢您的一件事
47207,UgxTFMmuzxGmrpRsEPF4AaABAg,0,4 years ago,young girl like that is so extremely talented in her traditional skills of these beautiful recipes.. so hard working .. hope her hard work will pay off financially.,这样的年轻女孩在这些美丽的食谱的传统技能中非常有才华。
47304,UgwoE4vc_b6IRDbn-0R4AaABAg,0,4 years ago,"you seems to be living in an area that provides everything you need, or you have set it to be so. 
maybe you and your family has been working for years to make it possible. 
i fall in love with your abilities and skills. your videos feels very harmonious. 
thank you and happy new year. from denmark.
peter.","您似乎生活在提供所需的一切的领域，或者您已经将其设置为这样。
也许您和您的家人已经工作了多年以使其成为可能。
我爱上了您的能力和技能。您的视频感觉非常和谐。
谢谢你，新年快乐。来自丹麦。
彼得。"
48279,UgxH_JtbknvVqAbBwxx4AaABAg,0,4 years ago,i very love her cooking skill,我非常喜欢她的烹饪技巧
48317,Ugy7YJlQHa1Qg9Eh6bl4AaABAg,0,4 years ago (edited),"she is so skillful and hard -working, i really like her lifestyle",她是如此熟练和努力，我真的很喜欢她的生活方式
48633,UgwKAe85O2fT5a6I3XV4AaABAg,0,4 years ago,how i wish i have skills like you. i really admire you a lot,我希望我有像你这样的技能。我真的很佩服你
48809,UgyBEwhFBa-MMyE9vM54AaABAg,0,4 years ago,your cooking skills are amazing,您的烹饪技巧很棒
50056,Ugxp9dhZaRthzLbrDBx4AaABAg,0,4 years ago,"my wife is so skillful, guys",我的妻子是如此熟练，伙计们
50358,Ugwq5JcP_iS2yWHMrV54AaABAg.8qlk_qbGlqs8qlrHHneDWD,0,4 years ago,yes no yeah her vids are awesome. and i wanted to know who she is. like she is an actress who demonstrates life in the village in china & makes it look like her life (but in reality she doesnt live there). but she seems to cook very well like its her own skills and not just acting. so i was confused and curious haha. thank u!!,是的，她的视频很棒。我想知道她是谁。就像她是一位女演员，她在中国村里展示了生活，并使它看起来像她的生活（但实际上她并不住在那里）。但是她似乎像自己的技能一样做得很好，而不仅仅是表演。所以我很困惑和好奇哈哈。感谢你！！
50663,Ugyk53t4nlJNiFpgnil4AaABAg,0,4 years ago,"one of the best, survival skills cough i mean, video blush",我的意思是最好的生存技巧之一，视频腮红
51636,UgyYH65HP7kIb3hMj2t4AaABAg,0,4 years ago,so skillful,如此熟练
52201,UgxReXq6hokAktS3u554AaABAg,0,4 years ago,everything looks so yummy and she is so skilled its like watching an artist create a masterpiece everytime.,一切看起来都很好吃，她非常熟练，就像看着艺术家每次创作杰作一样。
52299,UgyTdf04_uGAXHx0SMN4AaABAg,0,4 years ago,"so skillful, dear",如此熟练，亲爱的
