,cid,votes,time,含festival,含festival中文翻译
11685,Ugxh6w5TN17SJnQ8eOt4AaABAg,0,2 years ago,"thank you, liziqi! your video let me remember my childhood back to 40 years ago. every chinese spring festival, whole family made fried peanuts, sunflower seeds, cakes, popcorns (exact same way in your video). although we were poor, but that was the happiest time of the year! my parents are still living in china now. but i have not calibrated the chinese new year with them for 20 years since i moved in na.๐ญ๐ญ๐ญ i will do it for next chinese new year! thanks again!",谢谢，利兹奇！您的视频让我记住我的童年，可以追溯到40年前。每个中国春节，全家人都制作了炸花生，葵花籽，蛋糕，爆米花（视频中的方式完全相同）。尽管我们很穷，但这是一年中最快乐的时刻！我的父母现在仍住在中国。但是自从我搬到Na以来，我没有与他们一起校准中春节。再次感谢！
6374,UgzQ8C5sFO53i61srB14AaABAg.9MDpUshS9Vy9MMuEEmWfM3,0,2 years ago,how this video shows the idea of 'everything is from china'. i'm overseas chinese. i ate all food that she made for spring festival in my home.,该视频如何展示“一切都来自中国”的想法。我是海外的中国人。我吃了她为我家中春节做的所有食物。
21910,UgxCQg79lqqmFJHZfI14AaABAg,0,3 years ago,festivals are great. ๐,节日很棒。
22203,Ugyis4EHBVeLQgnuD5t4AaABAg,0,3 years ago,chinese new year should not be said to be spring festival,Chinese new year 不应该说成 spring festival
22633,UgyNtoEik4MxwMKEOl54AaABAg,0,3 years ago,"it reminds me so many memories while i am still a child living in a small chinese village. those scenes, fruits, traditional food and equipment could be seen in that time. people carries them walk through villages to earn little money for a simple living, send their children to school with the money, they sell sugar, popcorn to kids play on the open ground, feel like spring festival.......but now, we are surrounded by enormous commodities, yet we never feel that kind of happiness when we put a small sugar into our mouth",当我还是一个住在一个中国小村庄的孩子时，它使我想起了很多回忆。在那个时候，可以看到这些场景，水果，传统食品和设备。人们带着他们走过村庄，赚了很少的钱来以简单的生活，将孩子们送去上学，他们出售糖，爆米花给孩子们在开放的地面上玩，感觉就像春节........但现在，我们被巨大的商品所包围，但是当我们将小糖放入嘴里时，我们永远不会感到幸福
22762,Ugw1P9ormw0Daw6FzcB4AaABAg,0,3 years ago,you sure make an awful lot for the festival. :o does everyone?,您肯定会为音乐节做很多事情。 ：o大家吗？
36788,UgwRFo-eaYSHbYMC5yR4AaABAg.8uPQ7pNVLHx9-AnCw90nFq,0,3 years ago,"omg. your comment reminds me of that game. hahaha..the festival, 4 seasons, the calm music and everything !. reminiscing the child hood day with the ps2/1. hope to play that game again in android version.",我的天啊。您的评论使我想起了那场比赛。哈哈哈..节日，四个季节，平静的音乐和一切！用PS2/1回忆起儿童罩日。希望能在Android版本中再次玩该游戏。
35854,Ugzlh3XZbD5G826wD6R4AaABAg.8u_7DXN1aqe8u_ePJ1pRL2,0,4 years ago,"no, these treats are prepared for family in traditional festival, i think",不，这些零食是在传统节上为家庭做好准备的，我认为
35817,Ugxk3mJ5SFGn7TacFvt4AaABAg,0,4 years ago,where does my sister live? i want to see your home! feeling your spring festival snacks are delicious!,姐姐住在哪里？我想看你家！感觉你的春节小吃品好吃呀！
34361,UgzjZoDva9TosXJ2Q154AaABAg,0,4 years ago,is this a festival? prepare a lot of delicious food,这是要过节吗 准备好多好吃的
33532,Ugy6E7b2NiKOO21dzQR4AaABAg,0,4 years ago (edited),spring festival you say?! only possible on stardew valley...t_t,你说的春节？！只能在星尘谷... T_T
33157,UgyhTCqY2xCNpsBe5oV4AaABAg,0,4 years ago (edited),"super internet red -li ziyi liziqi

peanut and melon seds, dried meat, dried fruit, snowflake cake -snacks for spring festival | liziqi
https://www.youtube.com/watch?v=fwmipukvdsq
peanut melon seeds, sugar gourds, stems of jerky fruits, crispy cinnamon of new year's goods","超级网红 - 李子柒 Liziqi 

Peanut and melon seeds, dried meat, dried fruit, snowflake cake - snacks for Spring Festival|Liziqi
https://www.youtube.com/watch?v=FWMIPukvdsQ
花生瓜子糖葫芦，肉干果脯雪花酥——年货小零食"
6069,UgxXqdM2V83R_MDtFz14AaABAg.9MyL9NAM7QC9Omty8G5nvf,0,1 year ago,"yeah! chinese festivals feel similar to christmas, lots of family gatherings, warm and cozy...and this is new years which is close in time",是的！中国的节日感觉与圣诞节相似，许多家庭聚会，温暖而舒适...这是新的岁月
28073,UgymJRB-TqOX8_DybPR4AaABAg,0,3 years ago,"if you have food, a roof and a family you are prosperous indeed. i hope she had a happy new year and spring festival!",如果您有食物，屋顶和家庭，那么您确实会很繁荣。我希望她度过了新的一年和春节！
26788,Ugw07mwOdV94J5n19T54AaABAg.8zguSwAhEDE8zhDXfDykhm,0,3 years ago,"yes. 
she has an online shop to sell her self-made farm products including jam, pickles, dried fruit, dried meat, festival snacks, candies, sauces, seasoning powder etc.","是的。
她有一家在线商店出售自己的自制农产品，包括果酱，泡菜，干果，干肉，节日小吃，糖果，调味料，调味粉。"
26045,UgybJNVan0VX9_uNH1R4AaABAg.8zqkyXL4Nfp8ztIHSdXSRz,0,3 years ago,chinese spring festival customs,中国春节习俗
25075,Ugz0xc5EIKQJZx3-58h4AaABAg,0,3 years ago,it's fake than the spring festival gala!,比春晚还假！
23575,UgwtZdzfsYSEc5-SFpx4AaABAg,0,3 years ago,"i think of the rural spring festival when i was a kid, a beautiful and peaceful childhood",想起了小时候的农村春节，美好宁静的童年
23428,Ugy5QJJmd7Hbh1wJlAN4AaABAg.92MjwF8fEQK92ZFaJoqQ4L,0,3 years ago,you can arrive in china in spring festival.,您可以在春节到达中国。
23400,Ugw5Tx3sKeKJl7wsVmd4AaABAg.92OZbS7UJFb92OZqXSkfDD,0,3 years ago,and it happens on the popcorn festival,它发生在爆米花节上
23173,UgxH7ZK6_vOLnOq9r8Z4AaABAg,0,3 years ago,chinese spring festival is coming๏ผ๏ผ๏ผ,中国春节即将到来。
52948,UgxEsEcoHc80fjDN3zh4AaABAg,0,4 years ago,"like đầu cmt đầu xem đầu nè việt nam điểm danh đi. sister, i wish you a spring festival happy and lucky blessing :)))",like đầu cmt đầu xem đầu nè việt nam điểm danh đi. 姐姐祝 你 有 一 个 春 节 快 乐 和 幸 福 :)))
