,cid,votes,time,含fresh,含fresh中文翻译
48025,Ugy07VPDRPWK1KD5o-F4AaABAg,0,4 years ago,"each of your videos represents the natural beauty and beautiful side of the rural life, depicts fresh food cooking in the village. but all the villagers have not been able to live like there. if all the rural life was beautiful like there then i did not need so called heaven. looking at your video, i'm in crush with you...",您的每个视频都代表着乡村生活的自然美景和美丽的一面，描绘了村里的新鲜食物烹饪。但是所有的村民都无法像那里一样生活。如果所有的农村生活都像那里一样美丽，那么我就不需要这样称为天堂。看你的视频，我和你迷恋...
47773,UgytsTHpI_hgTuiNWTJ4AaABAg.8qo-p13rGp38qo5SEoRdAP,0,4 years ago,"@user-ke6mq3fs4h, i haven't seen fresh mountain residue, i sell dry here.",@user-ke6mq3fs4h 原来，我没看过新鲜的山渣，我这里都卖晒干的
47757,UgytsTHpI_hgTuiNWTJ4AaABAg,0,4 years ago,"seeing that the new year's goods snacks, i look very delicious. i have a chance. i also do it. the most curious is the rock sugar gourd. is it a fresh red dates?",见识到了中国的年货小吃
47691,UgzO5XM2XZ0OL5g2Rxl4AaABAg,0,4 years ago,i love this really fresh life..with out voilence.ummaahh,我喜欢这个真正的新鲜生活..不露面。
47410,Ugz0DjIcpLXWz747vtN4AaABAg,0,4 years ago,so many delicious treats from fresh naturally grown real foods by a very creative and able person. thank you for another interesting and calming vid. happy lunar new year to all involved in the creation of this vid and to those who watch it!,如此富有创造力和能力的人会从新鲜的天然食物中获得如此多的美味佳肴。谢谢您的另一个有趣而平静的视频。所有参与创建这个vid的人以及观看它的人！
46668,UgxZQ_sCy-aBNG61oZR4AaABAg,0,4 years ago,"i want to live here,every thinks fresh :-) :-)",我想住在这里，每个人都想到新鲜:-) :-)
46418,Ugxi_uyypSTcLOop-Nh4AaABAg,0,4 years ago,we would appritiate if u show only vegetarian.. plz prevent from killing... the scene and programme is refreshing so killing and non veg dosent ♣ suits in such programme,如果您仅显示素食主义者，我们将批准。
45241,Ugzew06V1QQ3Q2Ra0NN4AaABAg,0,4 years ago,that fresh fruits!!!,那个新鲜的水果！！！
44954,UgxMcV2oRIdRspW6eg94AaABAg,0,4 years ago,the freshly made peanut brittle is more tasty than store bought. the taste and smell is heavenly.,新鲜制作的花生脆性比商店购买的更美味。味道和气味是天上的。
44889,Ugzb_Oo6uqFeAkpR4ot4AaABAg,0,4 years ago,why do she have fresh mango in winter?,为什么在冬天她会有新鲜芒果？
44385,UgwZtS0tNraZH_srgo14AaABAg,0,4 years ago,wow... this is fresh content. asmr-calming and just satisfying? how do i describe this. it's like a high quality movie production! this is better than a documentary! is this like a calming vlog-cumentary??? i love this but idk how to describe it,哇...这是新鲜的内容。 ASMR镇压和令人满意？我如何形容这个。就像一部高质量的电影制作！这比纪录片好！这就像一个平静的视频博物馆纪录片吗？？？我喜欢这个，但是idk如何形容它
44005,UgzZjViZTiZZWuMjCn14AaABAg,0,4 years ago,"i recently found this and i just can't seem to get enough of it, i'm hooked! everything she creates looks so mouth watering, everything is fresh, and i love how she's so close to nature and her family!",我最近发现了这一点，我似乎无法得到足够的东西，我迷上了！她创造的一切看起来都令人垂涎，一切都是新鲜的，我喜欢她与大自然和家人如此亲密！
38432,Ugwr4VJm1WB1MUtqClZ4AaABAg,0,4 years ago,the food is so fresh and she's taking good care of all the blessed provisions.,食物是如此新鲜，她正在很好地照顾所有有福的食物。
43519,UgwpbF56ihkN2LsmBQl4AaABAg,0,4 years ago (edited),"watching these videos sometimes makes me wish we all live like this
and wish we all enjoyed a simple, peaceful and joyful life in the comfort of our small cozy homes (without electricity, internet...even vehicles and especially money) surrounded by the beauty and resources nature has to offer
imagine how much healthier and happier we would all be, physically, spiritually and mentally from the fresh and natural food and the physical activities in that daily life","观看这些视频有时会让我希望我们都这样生活
并希望我们所有人都舒适地享受着简单，和平与快乐的生活
想象一下，从新鲜和天然食物以及日常生活中的身体活动中，我们在身体，精神上和精神上都会变得更健康和快乐"
43398,UgwL3DJ7dk08ACKjfNt4AaABAg,0,4 years ago,"like this way of life, feeling peaceful, not busy, happy, fresh, independent, in the midst of abundant nature",就像这种生活方式一样，在丰富的大自然中感到和平，不忙，快乐，新鲜，独立
43171,Ugxdp7ueCukveYo-zdV4AaABAg,0,4 years ago,so clean and fresh... i am amazed.,如此干净，新鲜...我很惊讶。
42355,UgxqBv4GamO26TpQwYV4AaABAg,0,4 years ago,"what a lovely day! share a spring warm with family, and all made by self, and pick it up freshly in your gardens.. love from indonesia!",多么美好的一天！与家人共享一个温暖的春天，全部由自我制造，然后在您的花园里刚捡起它..来自印度尼西亚的爱！
38686,UgyC0Vf39FchUCE1Iwh4AaABAg,0,4 years ago,"this kind of life is really refreshing, all of them are given by nature. although it is hard, the deliciousness is all relying on your own strength โค",这种生活真是心旷神怡，全是大自然的赋予。虽然辛苦，但活的好吃的好全是靠自己的力量❤
31746,Ugy0cV04UDkIc6dn9_Z4AaABAg,0,4 years ago,"no, did she accept me as an e. i like in a quiet place but the material of self -greening fresh air is fresh.",不，她接受我为e。我喜欢在一个安静的地方，但是自我缩放的新鲜空气的材料是新鲜的。
38329,UgxRO5bKef3vE61DP4l4AaABAg,0,4 years ago,everything in this video looks so fresh and clean,该视频中的所有内容看起来都是如此新鲜
12611,Ugz8rnnrTe9_8yCdGdB4AaABAg,0,2 years ago,what doesn't grow in this land ? like it looks like the promised land. like everything grows fresh from the soil. like everything !!!!,在这片土地上不会生长什么？就像它看起来像应许的土地一样。就像一切都从土壤中生长出来一样。喜欢一切！！！
18281,Ugz_geZrxUc3uVLQZTd4AaABAg,0,3 years ago,"she's a cook really, you will see it to how she knife and movements. . .i really love her videos so refreshing and amazing. . .i'm craving",她真的是厨师，您会看到她的刀和动作。 。我真的很喜欢她的视频，令人耳目一新。 。我渴望
17995,UgweJYbpEVm5iCLuPfh4AaABAg,0,3 years ago,so satisfying and refreshing...,如此令人满意和刷新...
17005,UgymtMNfEEH2ydH7mnJ4AaABAg,0,3 years ago,everything looks so fresh omg,一切看起来都很新鲜
16834,UgwOzs7NRN9Z2bZTU014AaABAg,0,3 years ago,"peaceful life, fresh food, nature, dogs....and sheep",和平的生活，新鲜的食物，自然，狗……和绵羊shaun？是​​你吗？
16437,Ugyl1yWI2ybmoCdWZ5x4AaABAg,0,3 years ago,fresh feeling,新鲜的感觉
16280,UgwEpvzNG9pfZpDVIGJ4AaABAg.98ndc0PJl9a98oInIw3fgx,0,3 years ago,"what subtitles are needed for food, the food looking so fresh and tasty is best.",美食需要什么字幕，The food looking so fresh and tasty is best.
15490,UgzFvXpT7Vv8ydWk8NF4AaABAg,0,3 years ago,i feel something fresh while watching her videos,看她的视频时，我感到有些新鲜
15446,UgzJau8XCGB2M4uJWS54AaABAg,0,3 years ago,mind refreshing video,智力令人耳目一新的视频
15363,UgzQjCBrpXiPuge6oKx4AaABAg,0,3 years ago (edited),"can you make this video for download
oh and you must be very lucky your living in a fresh natural place with fresh air and trees full of fruits i wish i could live there with no problems no pollution etc
and with animals,birds etccc","你可以让这个视频下载吗
哦，您一定很幸运，您的生活在一个新鲜的自然地方，新鲜的空气和充满水果的树木，我希望我能住在那里，没有问题，没有污染等
鸟类ETCCC有动物"
15160,UgwJ1TjuMNoMDZPD-FJ4AaABAg.99pBRkxnDmq99u5awTYgEx,0,3 years ago,@user-nx1vv4hv9n and to what is refreshed in the world?,@user-nx1vv4hv9n，到世界上刷新的内容？
13982,UgwkJAraiqONTIl1tBd4AaABAg,0,2 years ago,"i really need lots of delicious fresh strawberries, some sweet apples, pistachios, and sunflower seeds but i do not want to go buy the plastic bags that they sell. whenever i see liziqui preparing food or eating her home cook meals i feel hungry",我真的需要很多美味的新鲜草莓，一些甜苹果，开心果和向日葵种子，但我不想去买他们出售的塑料袋。每当我看到Liziqui准备食物或吃她的家庭厨师餐时，我都会感到饥饿！
13337,UgwzWjX-J4wkfOPx5mZ4AaABAg,0,2 years ago,"amazing 
i like the place,
nice food very fresh","惊人的
我喜欢这个地方，
美味的食物非常新鲜"
13142,UgybBUX-OZiEl7z2DMd4AaABAg,0,2 years ago,"where she is from, she is rich but by western standards, she is not. i'd rather be rich in skill, fresh produce, and care, then have a chef cook for me, it looks like her and her family help the village a lot, lovely video.",她来自哪里，她很富有，但按照西方标准，她不是。我宁愿富有技巧，新鲜的农产品和关怀，然后为我提供厨师厨师，看起来她和她的家人对村庄有很多帮助，可爱的视频。
10082,UgzBl4NRrqXV_ebfFZN4AaABAg,0,2 years ago,soo refreshing! love it๐ฅฐ,SOO令人耳目一新！爱它
38295,Ugwvx6fJl868LGdVd6h4AaABAg,0,4 years ago,"this our dream place, living in calm with animals, enjoying the fresh air and beautiful sight โค",这个我们梦dream以求的地方，与动物保持平静，享受新鲜空气和美丽的景象❤
10062,Ugx3US6k6ve-xbwFaId4AaABAg,0,2 years ago,"hi ,if you read some of the comments, it is so fascinating, that we share so many methods of cooking ,we use as well same vegetables yet cook it in many different styles .i'm west african, when you fried the fresh peanut with the sand i was screaming, it is just unbelievable, humans are just human i m born in the city but have a rural upbringing, my parents were very conservative despite our western learning, with your channel i get so nostalgic.i even get emotional like i want to stand by your side and share the moment.thank you yt aslo deeply appreciating you li ziqi.truly thank you.",嗨，如果您阅读了一些评论，它是如此有趣，我们分享了很多烹饪方法，我们也使用相同的蔬菜，但要以许多不同的样式烹饪。有了沙子，我尖叫着，这真是令人难以置信，人类只是我在这座城市出生的人，但有一个农村的成长，尽管我们的西方学习，我的父母还是很保守，因为您的频道我变得如此怀旧。我甚至变得情绪激动。就像我想站在你身边并分享时刻一样。谢谢你深深地欣赏你李zqi。非常感谢。
9772,Ugwals9qraimKblasW54AaABAg,0,2 years ago,"yes it is afairytale,and the fairy os liziqi,she is so lucky to be born on such land which is full of fresh fruits,fresh vegetables,fresh non veg,she is blessed with all these,we can only imagine",是的，它是Afairytale，而童话OS Liziqi，她很幸运能在那个充满新鲜水果，新鲜蔬菜，新鲜蔬菜的土地上出生，她拥有所有这些，我们只能想象
8245,UgyrwmmVVXG19-i9YNd4AaABAg,0,2 years ago (edited),"most incredible thing is,everything is pure,fresh,unadulterated, fragnant.life is so peaceful there.
she is really strong and enthusiastic.actually, she is wonder woman 2.0","最令人难以置信的是，一切都是纯净的，新鲜的，纯净的，脆弱的。
她真的很坚强和热情。实际上，她是《神奇女侠》2.0"
7739,UgxMrKai7_2wtGsJrtV4AaABAg,0,2 years ago,make fresh my sight,让我的视线新鲜
7034,UgwTlzHSe0NRDmNwqrx4AaABAg,0,2 years ago,your videos made me fresh,你的视频让我新鲜
6613,Ugx0stuuY0-mSMc9h2B4AaABAg,0,2 years ago,chestnut very expensive in my country..luckily she can collect by herself..fresh chestnut..yummy,栗子在我的国家非常昂贵。
6590,Ugwc-RstJuSFPvlW7hF4AaABAg,0,2 years ago,i like this nice place and fresh air,我喜欢这个不错的地方和新鲜空气
5366,UgwQJAx5_82kN9odjxR4AaABAg,0,1 year ago,i feel so refreshing after watching this,看完这个后，我感到非常清爽
4618,UgxTc6KPbndBBDTFrQR4AaABAg,0,1 year ago,mind refreshing video.. i love it & she is really beautiful,智力令人耳目一新的视频..我喜欢它
4144,UgzEy2HNlv9yUB21cBt4AaABAg,0,1 year ago,fresh and tasty food can only be found in a village. i also live in a village,只有在一个村庄才能找到新鲜美味的食物。我也住在一个村庄
2867,UgxqZ1Vmb2IEsrSJTYN4AaABAg,0,1 year ago,"like the food you made carefully, the fresh and natural environment that you live in, the bird's fragrance, the neighborhood is harmonious, and the family is happy and healthy. one day when i retired from the jewelry industry, it will definitely fly myself like you. come on! come on!",喜欢你精心制作的美食，喜欢你身处的清新自然、鸟语花香的自然环境，邻里和睦，阖家幸福安康❤很憧憬。有朝一日等我从珠宝行业中退出来，定会像你一样，全身心的放飞自我。加油加油！
2693,UgwqagK-01OurxUF1XB4AaABAg,0,1 year ago (edited),your videos refresh my mind,您的视频刷新我的想法
1082,UgxVCNYlZfU4o9xVWFB4AaABAg,0,8 months ago,why dont u upload new vedio.!! i miss ur refreshing nature. please come back.um wating still 1 years,你为什么不上传新的vedio。我想念您的清爽大自然。请回来。
18611,Ugx3Bkbt_uk4Hv_81I54AaABAg,0,3 years ago,"thank you for making a clip for us to watch. i like this way of life. stay with nature eat fresh food thank you from the heart
from thailand ❤️","感谢您制作剪辑供我们观看。我喜欢这种生活方式。与大自然保持联系吃新鲜食物谢谢你
来自泰国❤️"
18979,UgxzT6NVzAji3aQIo-x4AaABAg,0,3 years ago,i love me some fresh popcorn,我爱我一些新鲜的爆米花
19235,Ugz4IY01zJLsM54Vtg14AaABAg,0,3 years ago,"you are a show, i follow you and you are a breath of fresh air, peace of the spirit! thank you! i would like to be able to live with you for a while, helping you in the collections, it would be a great experience .❤",你是一个节目，我跟随你，你是新鲜空气，精神的安宁！谢谢你！我希望能够与您同住一段时间，帮助您参与收藏，这将是一次很棒的体验。
19646,UgzGunt87o6b0BpzoFJ4AaABAg,0,3 years ago,i love the place so refreshing.,我喜欢这个地方。
38216,Ugxd5e3YQO82RgeeASN4AaABAg,0,4 years ago,everything looks so fresh and neat.,一切看起来都是如此新鲜和整洁。
38052,UgwnW9f5Ee3arvH4pDd4AaABAg,0,4 years ago,the mysterious skills and the rich environment of nature are so good ~ fresh.,神秘的技能和丰富的自然环境是如此美好。
37726,UgxqBOWaGtL179fByRt4AaABAg,0,4 years ago,i'm surprised by the fresh life and diligence again ^^ i envy that life ~,我再次对新鲜生活和勤奋感到惊讶^^我羡慕生活〜
36592,UgywLK5Gn2ge0HD0_DZ4AaABAg,0,4 years ago (edited),the way how the puppies and lambs follow her is super cute and i love how hardworking she is. people should live this way for a while with no wifi and tv or phones just for a little bit to refresh our brains,幼犬和羔羊跟随她的方式非常可爱，我喜欢她的勤奋。人们应该以这种方式生活一段时间，而没有wifi和电视或电话，只是为了刷新我们的大脑
35964,UgxFaDufUnT2p9w0vDl4AaABAg,0,4 years ago,iโ€m too lazy to just make a sandwich...but she made a whole fresh meal ๐ฉ๐ฉ,我太懒了，不能做一个三明治...但是她做了一顿新鲜的饭菜
35604,Ugxsy2WfDe8KT3ysHdp4AaABAg,0,4 years ago,i like to eat chestnuts fresh uncooked thank you for the video,我喜欢吃新鲜的栗子，谢谢你的视频
35572,UgxdGBS7l6eP9bMeTOl4AaABAg,0,4 years ago,duty is god !!!! duty is running with beautiful fresh daily 's world !!! life 's pride,职责是上帝！责任正在以美丽的新鲜日常世界运行！！！生活的骄傲
34277,UgzwHpXckRMNqRRLGEN4AaABAg,0,4 years ago,"i want to live on this farm! i love the ovens, i love the trays, i love the abundance of fresh fruits and vegetables. i go to live there!",我想住在这个农场！我喜欢烤箱，我喜欢托盘，我喜欢丰富的新鲜水果和蔬菜。我去那里住在那里！
1071,UgwduWJpPYPnjVIhz-Z4AaABAg,0,8 months ago,i can't stop to watching your video .. it make me fresh during my stress..,我不能停止观看您的视频..这使我在压力下新鲜。
31607,Ugy5SpxFlNcgwKyUDWJ4AaABAg,0,4 years ago,is she living in heaven?looks incredibly unreal. no difficulty in doing anything. no human limitations and specially for a fragile girl like her. everything on earth is available. and she is always so fresh and energetic as she she has just come out of a spa. simply unbelievable!anyways videos have been made incredibly good. hardly look unreal.,她住在天堂吗？看起来令人难以置信的不真实。做任何事情都没有困难。没有人类的局限性，特别是像她这样的脆弱女孩。地球上的一切都可用。而且她总是很新鲜和充满活力，因为她刚从水疗中心出来。简直令人难以置信！无论如何，视频已经变得非常好。看上去几乎不真实。
31442,Ugyqpt98RL8b1MFW32V4AaABAg,0,4 years ago,imagine if u saw this when u order fresh popcorn before movie,想象一下，如果您在电影前订购新鲜爆米花时，您是否看到了
31335,UgxbLqwUIl3uYK4Vny14AaABAg,0,3 years ago,ninhao!i came from the countryside and i miss childhood days.it is so simple but life is so fresh!greetings from the philippines,忍者！我来自乡村，想念童年时代。这是如此简单，但生活是如此新鲜！
28666,UgwYyiOIhWUkiRhMmsJ4AaABAg.8yNBUX6tjtv8yV0zyQ9SfO,0,3 years ago,"love the video. 
about mango, itโ€s autumn in the video. mango is summer fruit, anyone explain how a country girl get fresh mangoes like that???","喜欢视频。
关于芒果，这是视频的秋天。芒果是夏天的水果，任何人都解释了一个乡村女孩如何得到这样的新鲜芒果？？？"
28433,UgyR3lBcGQ2kZxtlyj14AaABAg,0,3 years ago,wow very amazing the fruits and vegetables is very fresh ...watching from philippines,哇，很棒的水果和蔬菜非常新鲜...从菲律宾看
28432,Ugz7czQhlv9uFsXKmLF4AaABAg,0,3 years ago (edited),wow very amazing the fruits and vegetables are very fresh ...watching from philippines,哇，非常新鲜的水果和蔬菜很新鲜...从菲律宾观看
28006,UgwvjZ_mdJXrg2521AR4AaABAg,0,3 years ago,how could she cooked like that? still looking gorgeous and fresh! ๐,她怎么能这样做？仍然看起来华丽又新鲜！
26603,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy9J6UkLilop0,0,2 years ago (edited),"see the room clean and fresh, feel like reborn right? same feeling with u ๐ and yr simple change also inspired many other people. great job man! proud for u from china ๐จ๐ณ",看到房间干净整洁，感觉像重生对吗？您和您的简单变化也同样启发了许多其他人。好人！从中国为你感到骄傲
26572,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy9DpQmdUizzm,0,2 years ago,"makes me wonder who pays your bills? in my world you need to be fresh and ready for work, organized to get roof under your head and something in the fridge....",让我想知道谁支付您的账单？在我的世界中，您需要新鲜并准备好上班，并组织起来，以使屋顶在您的头部下方，并在冰箱里放东西。
25691,UgzFLeO5AgDXzPOM6Zp4AaABAg,0,3 years ago,it's such a nice feeling waking in a place like that where everything is fresh. her grandmother is so lucky to have her. โค๏ธ,在像一切新鲜的地方一样，这真是一种醒来的感觉。她的祖母很幸运能拥有她。 ❤️
24694,UgyJhRBSpSxgB_JaDg94AaABAg,0,3 years ago,"it literally heaven, its fresh fruit everywhere !!!! :o",它实际上是天堂，到处都是新鲜的水果！ ：o
24467,Ugwk9BZV_p0IVZMjww54AaABAg,0,3 years ago,very organic fresh life ๐ฅฐ,非常有机的新鲜生活
23170,UgwsVp3ji-_bbYi3t1x4AaABAg,0,3 years ago,wow i want to go here..all fresh....,哇，我想去这里..所有新鲜....
21657,UgwQUCFH8fgWkpPIyLt4AaABAg,0,3 years ago,watching first week of 2020 i love the way i see because full of relaxing and also they can refresh the stress .,看着2020年的第一周，我喜欢我的看法，因为充满了放松，他们也可以刷新压力。
20620,UgySZgti40b2dFva_Hh4AaABAg,0,3 years ago,she have so many delicious food. i feel refresh watching this video. so good to relieve stress.,她有很多美味的食物。我感到刷新观看此视频。很好地减轻压力。
20527,UgwOFxwlvSq1s_XQiTZ4AaABAg.94RXQDsetyV94chuEObqbf,0,3 years ago,"haha, like this in the countryside, just eat the freshest ones",哈哈，在乡村里都是这样呀，就吃最新鲜的
20525,UgzuzeNeoiLMLgrnGVV4AaABAg,0,3 years ago,chestnuts are the bomb and even better fresh,栗子是炸弹，甚至更好
20028,UgwKGZ95R36mV-Oye5p4AaABAg.95-oZca4Gvc95-ox1J6RDK,0,3 years ago,nature fresh meals๐,大自然新鲜餐
52891,UgyMTzz-9AnpUZwnTUN4AaABAg,0,4 years ago,always refreshing and mind blowing videos,总是令人耳目一新
