,cid,votes,time,含fresh,含fresh中文翻译
33811,UgxApkQNIDqvkdsVnZF4AaABAg,0,3 years ago,"after so many videos i have seen on her gathering and cooking, i am still impressed each time of her garden that grows so many kinds of vegetable, fruits, herbs and gather nearby so many other fresh produce. simply amazing.",在她的聚会和烹饪上看到了这么多视频之后，每次在她的花园里，我仍然给我留下了深刻的印象，它们种植了许多种类的蔬菜，水果，草药，并在附近收集了许多其他新鲜农产品。简直太神奇了。
29820,UgxLk34Is_WtDEOyL1d4AaABAg,0,3 years ago,"so beautiful, all from her garden and growing fresh around her. i saw she used purslane, too! i love it.",如此美丽，全都来自她的花园，周围新鲜。我看到她也用了马推！我喜欢它。
24044,UgxG58v9EZs0pXbGrS54AaABAg,0,3 years ago,is she living in heaven garden....?where she can find all her cooking needs..... i jst luv.... and jst dream of living in that garden.... with fresh...... air...... food....,她住在天堂花园....？她在哪里可以找到她所有的烹饪需求.....我jst luv ....而JST梦想着住在那个花园里....新鲜.....空气...食物...
33578,UgwyLoPN5QBelTo4Ik94AaABAg,0,3 years ago,omg from start end how come ur so fresh,OMG从起点开始如何如此新鲜
34505,Ugz3rE48j3awa3UD1PV4AaABAg,0,3 years ago,wish i could eat fresh bamboo shoots... another great video!,希望我可以吃新鲜的竹芽...另一个很棒的视频！
28443,Ugy7zT9fwzLOtgsMRsh4AaABAg,0,3 years ago,"inspirational to my daughter and myself.she is twelve and probably a lot taller than you.felt so connected when we finally see you're amazing talent- the silk threads! then i prefer the tree ear fresh myself...°×° our thanks for introduction to your cultural cuisine, as well as some beauty of your country. her name is beth so we feel so connected .much love to grandma! ps!!! so happy that you keep your videos so natural and use so little technology that is not hand made! very very cool...and the food really entices inspires. fell in love with steamed buns!!!!!!",她和我自己的鼓舞人心。她十二岁，可能比你高很多。当我们终于看到你很棒的才华时，他们的联系如此紧密 - 丝绸线！然后，我更喜欢自己新鲜的树耳朵...°×°我们感谢您介绍您的文化美食以及您所在国家的一些美丽。她的名字叫贝丝（Beth），所以我们感到如此联系。与奶奶相爱！ PS ！！！很高兴您保持视频如此自然，并使用不手工制作的技术很少！非常非常酷...食物确实引起了启发。爱上了蒸的面包！
24532,UgxRTR6pZ1vTEtyRavJ4AaABAg,0,3 years ago,"ah they don't cook fresh, wow to much vegetables",啊，他们不煮新鲜，哇，很多蔬菜
22837,UgxE8w91dXUpmG6Nz8N4AaABAg,0,3 years ago,"new fan here from saudi, glad i found your channel.. its so refreshing and it gives me new direction in life!! city is not for everybody and coutryside sometimes gives healing to a dying soul.. kudos!!",沙特的新粉丝，很高兴我找到了您的频道。它令人耳目一新，它给了我生活中的新指导！城市并不适合所有人，Cotryside有时会为垂死的灵魂提供康复。
22634,UgwpCeST8O8p7xZ-Pi14AaABAg,0,3 years ago,sound of the animals in the forest so refreshing.,森林中动物的声音如此清爽。
22617,UgwimTwcUfkgJDA9Y714AaABAg,0,3 years ago,luckily we also have these vegetables garden... it's so fresh.. n bamboo shoot.. just delicious,幸运的是，我们也有这些蔬菜花园...太新鲜了.. n竹芽。
22381,UgwxffrvnZoApDNVmNB4AaABAg,0,3 years ago,"wow! everything is so fresh and also a whole days of work/prepping!! simple and yet delicate in a way....so mesmerizing watching video, i had to subscribe for more!!",哇！一切都是如此新鲜，也整整几天的工作/预备！！简单而又细腻的方式...................观看视频令人着迷，我不得不订阅更多！
22321,UgxpXV4BEcvLf2ZDipJ4AaABAg,0,3 years ago (edited),"i think i want to live a life like her, healthy and delicious foods, an organic way of planting fruits and vegetables, peaceful place, beautiful views and fresh air",我想我想像她一样生活，健康可口的食物，一种种植水果和蔬菜的有机方式，宁静的地方，美丽的景色和新鲜空气
22267,UgwZHOpZcI7gp-HIZ414AaABAg,0,3 years ago,hello bamboo shoots so delicious to look this fresh bamboo shoots are delicious.,你好的竹芽非常美味，看起来很美味。
22244,Ugz4LC23PwoUJuNlMHR4AaABAg,0,3 years ago (edited),"wow fresh ingredients alongwith that countryside is a picture perfect (video perfect) 
such a joy to watch the days' proceedings go by.
i wish i could still find such simple days","哇，新鲜食材与乡村是一幅完美的图片（视频完美）
观看日子的诉讼经历的乐趣。
我希望我仍然可以找到如此简单的日子"
30120,UgyIXdG6dRpgxdcUBUJ4AaABAg,0,3 years ago,the food looks so fresh and delicious. my mouth is watering,食物看起来很新鲜和美味。我的嘴正在浇水
21968,UgxJ5ki2qllgExobLPZ4AaABAg,0,3 years ago,the familiar name of the headlines turned out to be so famous and very fresh. i think there is no need for too much language. many self -media people on youtube have a lot of expressions and lost the importance of content.,头条熟悉的名字，原来这么有名，非常清新，我觉得很好的地方就是不用太多的语言，youtube上很多自媒体人有很多的表达，失去了内容的重要性。
30312,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw392vADf9RPUF,0,3 years ago,yeah no gmo for them or no go to the big x walmart all that s*** their grocery store is right outside their door that's their grocery store everything's fresh with no chemicals and no additives no wonder they live such long alive especially the women an asia the elderly are respected and taken care of no rest home for them when they take their final rest it'll be in their own bed in their own house. that's how it works over there no senior citizen care center,是的，他们没有转基因或没有转到大X沃尔玛，他们的杂货店就在他们的门外，这是他们的杂货店，一切都是新鲜的，没有化学物质，也没有添加剂，难怪她们活着很长的活着，尤其是女人，尤其是女人亚洲老年人受到尊重，当他们最后休息时，他们没有得到任何休息家，这将在自己的房子里躺在自己的床上。这就是它在那儿的工作方式
31943,Ugz5SQzSVIB9U4-q1np4AaABAg.8yV2HUWJ-2e8zI4cjNZAMY,0,3 years ago,"walter wen i ate fresh bamboo shoots in the bamboo sea of ​​nanshan in the past two months! it's really delicious! counting the marinating time is almost the same, fresh bamboo shoots are delicious!",walter wen 我前两个月才在南山竹海那里吃了新鲜的笋 ！真的很好吃啊！算上腌制的时间也差不多啦 新鲜的竹笋好好吃啊！
30807,UgyVessnaT5yjqavU-N4AaABAg,0,3 years ago,"these bamboo shoots are too old, and the fresh tender bamboo shoots buried below taste better",这些笋太老了，埋在底下的新鲜嫩笋味道更好
31252,UgyYqMcUIwgbjnGuknN4AaABAg,0,3 years ago,it is so refreshing..,真是令人耳目一新。
35147,Ugy95a34nl3WCb_0Ewt4AaABAg,0,3 years ago (edited),sooo refreshing,令人耳目一新
33559,UgzCPjf6ImlK7WZqGW14AaABAg,0,3 years ago,i can see how you and your family are so healthy the fresh food is beautiful and so much variety !! i wish americans had more variety unfortunately we eat very simple.,我可以看到您和您的家人如何健康，新鲜食物很美，种类繁多！！我希望不幸的是，美国人的饮食很简单。
24812,UgzVwhl4Q8IhiUpBAwp4AaABAg,0,3 years ago,her videos are so soothinh and pure...everything so fresh,她的视频是如此的舒适和纯净...一切都如此新鲜
33554,Ugzwta0WVPZkmjndRN54AaABAg,0,3 years ago,"snail jelly powder is a kind of snack rice flour in liuzhou city, guangxi zhuang autonomous region. it has the unique flavor of hot, refreshing, fresh, sour and hot. [1] it is the most famous snack with local characteristics in liuzhou",Snail Jelly Powder是一种在广西Zhuang自治区Liuzhou City的零食米粉。它具有热，清爽，新鲜，酸和热的独特风味。 [1]这是最著名的零食
21616,UgxQCqf1s0AmxyNadAp4AaABAg,0,3 years ago,such fresh vegetables,这样的新鲜蔬菜
27880,UgwknMiqMlSSddnnDr14AaABAg,0,3 years ago (edited),"tai sao trung cuoc lai co rau muong nhi? her land is too far away from the sea so she can only eat freshwater snails. send her to the coast so she can cook seafu. i love seafu. she goes everywhere no scare of snakes, i can't even stand near brushes, worrying snakes coming out and attack.",Tai Sao Trung Cuoc Lai Co Rau Muong Nhi？她的土地离大海太远了，因此她只能吃淡水蜗牛。将她送到海岸，以便她可以烹饪Seafu。我爱Seafu。她到处都不吓到蛇，我什至无法站在刷子附近，担心蛇出来并攻击。
32443,UgzhVvf8IS0q-PEU9954AaABAg.8yUtygVzGmh8yVClNajhdV,0,3 years ago,if you put fresh ones it won't give that much smell although will still be too much for those who don't consume on a daily basis,如果您放新鲜的人，那不会给那些不多的人带来太多的气味
27700,UgzRGaRseAeN7AzLJLF4AaABAg,0,3 years ago,"salam,
i falling in love with ur life, all of view looks so fresh..greting from indonesia","萨拉姆，
我爱上了你的生活，所有的视野看起来都是如此新鲜。"
28457,Ugy7I0t_jqtk-avGuZt4AaABAg,0,3 years ago,"wow, my hometown countryside life of china guangdong is very same as hers, except the spicy. lol. lol. lol
i am from shaoguan, guangdong, everything is very similar to our rural life, but we have no peppers. the dried bamboo shoots and bean horn are my favorite, as well as fresh bamboo shoots fried bacon, the more hungry. essence essence essence essence","wow, my hometown countryside life of China GuangDong is very same as hers, except the spicy. LOL
我是广东韶关的，一切都很像我们家农村的生活，只是我们没有辣椒。那个笋干和豆角干是我的最爱，还有鲜笋炒腊肉，越看越饿。。。。。"
27544,UgzAZjJKw_o8AI7YzX94AaABAg.8ydt4Y210zF8ypddu4AAB1,0,3 years ago (edited),"please tell me. i didn't think chinese could own enough land to live this lifestyle. her place is so clean, pretty and fresh. how can she live this way? she has resources all around her. is she working for the chinese elite at some grand resort? do such expansive places and people with so much domestic talent and beauty (all-in-one) exist on their own in china?",请告诉我。我认为中国人没有足够的土地来过这种生活方式。她的地方是如此干净，漂亮和新鲜。她怎么能这样生活？她周围有资源。她在一些大度假胜地为中国精英工作吗？如此广阔的地方和拥有如此多的国内人才和美丽（多合一）的人们在中国是否存在？
27443,UgxqRJaO1Tk7t3SfnKd4AaABAg,0,3 years ago,"here in northeast india we also eat fresh, fermented",在印度东北部，我们还吃新鲜的发酵
32222,Ugy_BrZiErqaY4dOOmt4AaABAg,0,3 years ago,did she just pick fresh black fungus?,她只是选择新鲜的黑真菌吗？
29198,Ugxw8g3LpDbaotmraRd4AaABAg,0,3 years ago,all fresh. . i love to eat with one of your cooking how i wish,都是新鲜的。 。我喜欢和你的烹饪之一一起吃饭
27033,UgwGlXbdzgnihHJfG094AaABAg.8yixt2ZyQb28ypgK0yyjZx,0,3 years ago,"tell me please. when you say ""there,"" do you mean to say there is a region in china this pretty, so clean, very natural, lacking congested roads and filled with fresh air? i don't see her using plastics or wearing disposable clothing. her skin is white and clear. her world is too nice. not even martha stewart could present like this and ms. 
stewart had a team of helpers off camera. tell me this is very real. i would love to go to china and live like that. i don't care about religion and could give up discussing politics for that lifestyle. of course, it would take me a few years to learn the basics of chinese language.","请告诉我。当您说“那里”时，您是说中国有一个美丽，如此干净，非常自然的，缺乏拥挤的道路并且充满新鲜空气的地区？我看不到她使用塑料或穿着一次性服装。她的皮肤是白色的。她的世界太好了。甚至玛莎·斯图尔特（Martha Stewart）也无法像这样呈现。
斯图尔特（Stewart）有一个助手团队。告诉我这是非常真实的。我很想去中国生活。我不在乎宗教，可以放弃讨论这种生活方式的政治。当然，我花了几年的时间才能学习中文的基础知识。"
26968,UgyX2978Ni5p5xT7t254AaABAg,0,3 years ago,so fresh,好新鲜
26789,UgzOQfGEa-TZobP-dvx4AaABAg,0,3 years ago,"wooow. you are an amazing cook! i really loved what you're doing, i mean the ""lowkey-ness"" of it yet very interesting way of making & preparing the dishes. it's all fresh and healthy! this makes me wanna be your assistant, like, i can chop the veggies and all for you tbh.",哇。你是一个了不起的厨师！我真的很喜欢您在做的事情，我的意思是它的“低调”，但非常有趣的制作和准备菜肴的方式。一切都是新鲜和健康的！这让我想成为你的助手，就像，我可以切碎蔬菜，全都为你tbh。
29265,UgyWfiaHwnmgvO4wmPV4AaABAg,0,3 years ago,"bamboo shoots are savory/sweet, crunchy with a texture and taste similar to asparagus and artichoke hearts. however, fresh bamboo shoots often contain a toxin, hydrocyanic acid, which can be easily removed by par-boiling them. vegetarians treasure bamboo shoots for their flavor and texture.",竹芽是咸/甜的，松脆的，质地和味道类似于芦笋和朝鲜蓟心。但是，新鲜的竹芽通常含有毒素，氢烯酸，可以通过煮沸来轻松去除它们。素食主义者为其风味和质地珍惜竹芽。
26784,UgxXjgu6gvb8Aov7V4d4AaABAg,0,3 years ago (edited),"what place is this? i want to live in there coz the environment is so clean and fresh with greeny vegetables, trees and its a peaceful place to live in.",这是什么地方？我想住在那里，因为环境是如此干净，新鲜，绿色的蔬菜，树木和宁静的生活场所。
26768,UgweF83KQYt96uHZbTR4AaABAg,0,3 years ago,true people this fresh bamboo shoot,真馋人这新鲜的笋子
26567,UgwffpcanqK3nVdKnWl4AaABAg,0,3 years ago,i love that foods my mom use to cook for me and now very hard to find the fresh one in europe,我喜欢我妈妈用来为我做饭的食物，现在很难在欧洲找到新鲜的食物
26427,UgzbcCG07g4J3fj_4454AaABAg,0,3 years ago,"wow clean, fresh, free and i know very yummy! i need to move here!!!!",哇，清洁，新鲜，免费，我非常好吃！我需要搬到这里！
31121,UgyUf6QlfUw3DbFNkN54AaABAg,0,3 years ago,love all your fresh vegetables!!!,爱你所有的新鲜蔬菜！！！
26321,UgzS2NaNNYCPeKgqutZ4AaABAg,0,3 years ago,"very nice place to live, fresh food",非常好的居住地，新鲜食物
32031,UgxiVUC-gkHZsAE65Gh4AaABAg,0,3 years ago,"soo young and beautiful, and soo skilled! your videos are a breeze of fresh hair in this hot summer! eng. sub would be very nice! thanks!",SOO年轻而美丽，Soo熟练！在这个炎热的夏天，您的视频轻而易举！工程。 sub会非常好！谢谢！
25838,UgwzXbFJnWRkvmoEOJB4AaABAg,0,3 years ago,"everything is fresh picked, beautiful presentation, lovely animals too! nice to see your grandma enjoying your cooking, wish her well and happy day ❤️",一切都是新鲜的，美丽的演讲，也是可爱的动物！很高兴看到您的奶奶喜欢做饭，祝她一切顺利，快乐的一天❤️
29315,UgzUiLcHKpAehoj__7N4AaABAg,0,3 years ago,freshy bamboo,新鲜竹子
25688,UgwnaF5RyWsmEp3KAiV4AaABAg,0,3 years ago,i do eat non veg but your video which shows fresh veggies from your farm making me think i should quit non veg food ... its slow process but i m sure i ll be pure vegetarian... love from me .. this is gentle way to show world how one can live in country side in cool calm way ... best way of life,我确实吃了非蔬菜，但是您的视频显示了您农场的新鲜蔬菜，使我认为我应该放弃非素食食品...这很慢，但我敢肯定我会纯粹是素食主义者...这是我的爱。展示世界如何以凉爽平静的方式生活在乡村方面...最佳生活方式
25309,Ugwe1gmYWMqeVhcaG6R4AaABAg,0,3 years ago,everything is fresh wow,一切都是新鲜的哇
25125,Ugy-attR8ywpA_Dskpt4AaABAg,0,3 years ago,"oh i really loved what she made the best part is everything is so fresh, i would love to live with her , is this real where she's living everything too nice and beautiful to be real...",哦，我真的很喜欢她所做的最好的部分，一切都是如此新鲜，我很想和她一起生活，这是她的生活，她过着一切美好而美丽，无法真实的东西...
29800,UgzjellAlDKj5uVx5PR4AaABAg,0,3 years ago,this channel is beyond amazing. i am so glad i found it. i really wish american food was this fresh. its sad really! keep maling videos please :),这个频道令人惊叹。我很高兴找到它。我真的希望美国的食物如此新鲜。真的很伤心！请保留Maling视频:)
24972,UgyPz9-SSqNdvHIDJtd4AaABAg,0,3 years ago,so fresh,好新鲜
24887,Ugynhnxznnd0LuXiRrd4AaABAg,0,3 years ago,"everything is fresh, what is the sweetest nature",一切都是新鲜的，最甜的自然是什么
28167,UgwLLPCV_ATHtpZrEaJ4AaABAg,0,3 years ago,"frankly, eating fresh and natural is wonderful",坦率地说，吃新鲜和自然是很棒的
886,UgzlSsYiQWKhkxQjHfp4AaABAg,0,11 months ago,nature here is peaceful and fresh,这里的大自然是和平与新鲜的
21543,UgzQyYnfIRq3DiOCg7V4AaABAg,0,3 years ago,"wow how i wish i can live here.. your place is very peaceful, the vagetables are all fresh.. i really love this place..",哇，我希望我能住在这里..您的住所非常和平，偏ingables都是新鲜的..我真的很喜欢这个地方。
9070,UgwpsSBPhEortBRxDDB4AaABAg,0,2 years ago,the rice noodles made of fresh bamboo shoots are really fresh,鲜嫩的竹笋做的米粉真鲜啊
9123,Ugx5rVDXsFhimU6pJfR4AaABAg,0,2 years ago,this bamboo shoot field could feed the whole country and export worldwide. the shoots are very big and healthy. i love fresh bamboo shoots,这个漫步场可以养活整个国家并在全球范围内出口。拍摄非常大健康。我喜欢新鲜的竹芽
9266,Ugy7T-69SjIpvpo3wUF4AaABAg,0,2 years ago,it so nice to eat foods that comes natural.. without preservatives. very fresh,吃天然的食物真是太好了..没有防腐剂。非常新鲜
9554,UgzNgMTi9HtqvBWnE7x4AaABAg,0,3 years ago,all plants are fresh,所有植物都是新鲜的
9681,UgzggX9Q4WQE2ILvpV54AaABAg,0,3 years ago,"i bet the food she cooks tastes incredible, watching her is a breath of fresh air in this crazy, mixed up world of today",我敢打赌，她烹饪的食物味道令人难以置信，看着她在这个疯狂的，混杂的世界中呼吸新鲜空气
9873,Ugy_Efdq-ky_zgN0-6F4AaABAg,0,3 years ago,"iolence, drugs, sex... she is like a light in a dark forest, a breath of fresh air amidst all the pollution of modern life.",伊隆，毒品，性爱……她就像一片黑暗的森林中的光，在现代生活的所有污染中呼吸新鲜空气。
9935,UgzpoqWR6c5Y5hk4QGt4AaABAg,0,3 years ago,"just imagine drinking fresh water from the mountain and cooking such natural and delicious food with it, the energy, the vibe, it all sounds so healthy and healing",试想一下，从山上喝淡水，用它，能量，氛围烹饪如此自然而美味的食物，听起来如此健康和康复
9940,Ugy8mmCO7UBKQVbH-eF4AaABAg,0,3 years ago,is this fresh bamboo?),这是新鲜的竹子吗？）
10298,UgzwH0jx7CdzSvC3Oyl4AaABAg,0,3 years ago,if i eat that fresh everyday. im going to live up yo 120 yrs old.,如果我每天吃那个新鲜。我要活到120岁。
10405,Ugwnca7GSKR6W5PL3kp4AaABAg,0,3 years ago (edited),i will love to stay in the province and do this kind of thing gardening and farming.. 100% fresh food,我很想留在该省，做这种事情园艺和耕种。.100％新鲜食物
10450,Ugxxv58kbziLHgl2DZd4AaABAg,0,3 years ago (edited),she always eat the healty and fresh vege and another all from her garden..,她总是在花园里吃healty和新鲜的蔬菜，另一个全部。
10908,UgyOunSdEVLr3mr6Xzt4AaABAg,0,3 years ago,"this is the best place for quarantine..
lots of fresh foods and ingredients are abundant in this place...mother nature...","这是隔离的最佳场所。
许多新鲜食物和成分在这个地方很丰富...大自然..."
10927,UgzFFLPk5U9G-v3C76l4AaABAg,0,3 years ago,"hi guys, the bonus is here!


drink

tao yuanming



the knot is in the people's realm without the noise.
ask jun he nenger, his heart is far away.
under the east fence of cai ju, see nanshan leisurely.
the mountains and winds are good, and the birds are paid back.
there is a true meaning, and you have forgotten the words.

drinking
by tao yuanming

translated by xu yuanchong



among the haunts of men i built my cot;
there's noise of whenels and hoofs, but i hear not.
how can it leave upon my mind no trace?
seluded heart creates seluded place.
i pick fenceside chrysanthemums at will
and leisurely i see the soundhouse hill,
where mountain air is fresh both day and night,
and where i find home-going birds in flight.
what is the revelation at this view?
words fail me even if i try to talk you.","Hi guys, the bonus is here!


饮酒

陶渊明 



结庐在人境，而无车马喧。 
问君何能尔，心远地自偏。
采菊东篱下，悠然见南山。 
山气日夕佳，飞鸟相与还。
此中有真意，欲辨已忘言。

Drinking
By Tao Yuanming 

Translated by Xu Yuanchong



Among the haunts of men I build my cot;
There's noise of wheels and hoofs, but I hear not.
How can it leave upon my mind no trace?
Seluded heart creates seluded place.
I pick fenceside chrysanthemums at will
And leisurely I see the southern hill,
Where mountain air is fresh both day and night,
And where I find home-going birds in flight.
What is the revelation at this view?
Words fail me even if I try to tell you."
11222,Ugy7fT6QlpUPLONk2n14AaABAg,0,3 years ago,"please give the recipe of chinese stir bamboo shoot, with detail... your dish looks fresh",请给出中国搅拌竹芽的食谱，细节...您的菜看起来很新鲜
11322,Ugz_bMUKu4ccNtvQMG54AaABAg,0,3 years ago,no covid-19 there!! looks very secluded and fresh! i would probably get a headache from breathing such pure oxygen.,那里没有Covid-19！看起来非常僻静和新鲜！我可能会因呼吸如此纯净的氧气而头疼。
11453,Ugwr15KIQ8xKKsjQyNt4AaABAg,0,3 years ago,i like how everything she needs is available fresh. this is like a fairy tale life but a real one.,我喜欢她需要的一切新鲜的东西。这就像童话的生活，但真实的生活。
11537,UgyoxEy16-rWeEVY_jV4AaABAg,0,3 years ago,she didnt have refrigerator to save the food keep fresh. how amazing,她没有冰箱来节省食物。多么惊人
12075,UgxSo-Akeh7okgpnA7l4AaABAg,0,3 years ago,"fresh bamboo shoots and four seasons are extravagant enough, bacon is exempted",鲜笋、四季豆就够奢侈了、腊肉就免了
12145,UgyXZB5SLw_DMG7Fqv54AaABAg,0,3 years ago,how rich is to eat everything fresh,吃新鲜的东西多么富有
12273,UgxY6xz4Ys6KfINK00t4AaABAg,0,3 years ago,"life in country side is the best, it requires a lot of parience and hard work but less stress. i was once a farm girl moved to different country, if only i could turn back time, i’d like to live the life she is living. i like to pick fresh vegetables and cook them.",乡村生活是最好的，需要大量的偏好和辛勤工作，但压力减轻了。我曾经是一个农场女孩搬到不同的国家，如果我能回来的时间，我想过她的生活。我喜欢挑选新鲜蔬菜并烹饪。
9122,UgzdFRdhVLaVDj1rZ2l4AaABAg,0,2 years ago,"omg, the snails soup. i like fresh water snails.",天哪，蜗牛汤。我喜欢淡水蜗牛。
8870,UgyymQgMyr98R8kpCL54AaABAg,0,2 years ago,doing farmers' work in a metropolitan attire and with a hygienic-looking appearance is so fresh.,在大都会服装和外观卫生的外观上做农民的工作是如此新鲜。
21099,UgyyTsm8dt0mgf2VRg14AaABAg,0,3 years ago,"i haven't had bamboo shoots for decades yet still remember that delicate fresh taste in my dreams, simply longing for it. i am drooling!",几十年来，我还没有竹拍，但仍然记得我梦中的那种精致的新鲜味道，只是渴望。我在流口水！
8735,UgzO1rzDC4msIK0ikSx4AaABAg,0,2 years ago,so refreshing ๐’•,令人耳目一新
1786,UgwnOLHxaWllwiieEKZ4AaABAg,0,1 year ago,"this is the first time i watch your video. you are very pretty and also cook very well, peaceful villages, fresh air",这是我第一次观看您的视频。您非常漂亮，也很好做饭，宁静的村庄，新鲜空气
2829,UgwEpvL9TmWX53q-gjx4AaABAg,0,1 year ago,what a busy girl and the meals are so fresh and healthy.,多么忙碌的女孩和饭菜是如此新鲜和健康。
3039,Ugxi1UVBmtoyzbXTwbR4AaABAg,0,1 year ago,"in vietnam, people prepared bamboo shoots, boiled several times to produce all toxins before stir -frying. and this girl is fresh and fried.",在越南，人们准备了竹芽，煮了几次以产生所有毒素，然后搅拌。这个女孩是新鲜的。
4756,UgyzCEMy2hgsPP77HJ54AaABAg,0,2 years ago,i've only ever eaten the instant noodle version of this dish. the freshly made version looks much tastier mmmmm,我只吃了这道菜的即时面条版。新鲜制作的版本看起来更美味的mmmmm
