,cid,votes,含nature,含nature中文翻译
21772,Ugxhknag0litIL-n8Gd4AaABAg.93L7zOCdC9f93Yax1LWKWq,2,i am moroccan and i discovered this channel a few days ago. i feel comfortable when watching the atmosphere of nature and a different culture from us,我是摩洛哥，几天前我发现了这个频道。看着自然气氛和与我们不同的文化时，我感到很自在
33870,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd4935tJbdEtlt,2,"imagine living like this with a community of people who all value each other, nature, and this kind of lifestyle? it would be amazing!",想象一下，与一个彼此珍视的人，自然和这种生活方式的社区生活在一起？这将是惊人的！
5202,UgzS2G7Kmw7EqUJJQAt4AaABAg,2,the dogs and the sheep are luckiest animals of the world .. who got chance to live in nature .. with liziqi,狗和绵羊是世界上最幸运的动物。
14207,Ugw_BYyXC7jU0Lc2FI94AaABAg,2,"beautiful, i am an indian, i love you, there is amazing nature",美丽我是印度人我爱你那里大自然惊人
17521,UgxC0AyT9PU_ME2BPOd4AaABAg,2,"the fairy tale is simple |
everything is beautiful: girl, dogs, sheep, nature, jewelry, plants, sky, house, interior, stove, hearth, dishes, shooting is impeccable, cooking, not a single channel about food is nearby, granny, warming by the fire, like all this is all not enough in the gray jungle, the same type of days ..
i'm just in a wild aesthetic orgasm !!! low bow to the girl, for such hard work","童话很简单|
一切都很漂亮：女孩，狗，绵羊，自然，珠宝，植物，天空，房屋，内饰，炉子，炉灶，炉灶，射击，射击是无可挑剔的，烹饪，没有关于食物的单个渠道在附近，奶奶，在火上变暖，就像所有这些一样，在灰丛林中还不够，也是一样的。
我只是在狂野的美学性高潮中！！！低弓对女孩，这么辛苦"
25560,Ugy3GEoyqZdDBwAiRQV4AaABAg,2,"i love too live like this, everything from nature, thank you god!!!",我也喜欢这样的生活，大自然的一切，谢谢上帝！！！
42441,Ugy4sv1Vyarvgaq9hnJ4AaABAg.8reMh7hZi0A8rso8NRv0Fe,2,"and my lord, you are like me, if they choose me here and do not shorten nature",和我的主，你就像我一样，如果他们在这里选择我而不缩短大自然
24022,UgxjRChl8LVq-LnTV994AaABAg,2,"the beauty of nature, elegance, and arrangement for the girl
a great psychological comfort","大自然，优雅和安排的美丽
极大的心理舒适"
5820,UgwYguB2IxuCXlyNvUd4AaABAg,2,the videos i sawn from previous day's .......i learned a good thing from u....and the one wish to see u ....siss but the nature the way of doing agriculture...is osmmmmm. there is no social networks there awesome ....my mom is die hard fan of u..... plz reply me akka,我从前一天中锯了的视频.......我从你那里学到了一件好事。 。那里没有社交网络很棒。...我妈妈是你的狂热粉丝..... plz回答我akka
26354,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy940Y4ZREpL3,2,so proud of you! keep going and take it one day at a time. spend time in nature and take walks. blessings to you ๐,为你骄傲！继续前进一次。花时间在大自然中散步。祝福你
32751,UgyXwsAeYegCw1UAMqd4AaABAg,2,"la, and to eat the sabachki? she herself only dates to throw everything into his mouth, poor dogs. only tears! i look there a closet clogged with food to the ceiling. here you have japan, people are of course insanely smart. even the girl is able to collect a bed of non -hijah! and what i like they live with nature, some kind of roots, bast shoes are edible. i watch a few videos, the first thing that she cares about her mother or grandmother is not important. it is just what kind of upbringing! and the second, how hardworking they are, now i understand why they are in such a small country, an order of magnitude higher than other countries live, their head works like a good swiss watch. surprised their work, and especially the mind",洛杉矶，吃萨巴奇（Sabachki）吗？我看着一个壁橱，上面堵塞了天花板上的食物。在这里，您有日本，人们当然是疯狂的。我喜欢他们与大自然生活在一起，根源，冰棍可以食用。我看了一些视频，她关心的母亲或祖母的第一件事并不重要。这就是什么样的成长！第二，他们的勤奋程度，现在我明白了为什么他们在如此小的国家，比其他国家生活高的数量级，他们的头部像一只好瑞士手表一样工作。使他们的工作感到惊讶，尤其是头脑
1609,UgyzcLgfHodd9G5Ne3F4AaABAg,2,l love nature,l爱大自然
500,Ugwtv3KGvqjt0h4LxPB4AaABAg,2,i think 2/3years back am watching this women.... i feel she's in heaven of nature like all fruits veggies raw flesh i envy her's leàding it's so healthy it never look like she's one among us...... with all so much stuff around her.,我认为2/3年的回头看着这个女人。...我觉得她像所有水果一样在大自然中，就像所有的蔬菜生肉一样，我羡慕我的肉，但她的生活真是太健康了，看起来永远不会像我们中间一样。 .....周围有很多东西。
29767,Ugz4uV6RbbHfsXJ93G94AaABAg,2,i swear nature at its best.breathtaking,我最好发誓自然。
28857,UgwOq7hvfbFrgTmapN94AaABAg,2,you are blessed with talent and nature .heavenly place .serene,您拥有才华和自然的祝福。
51862,UgzsGdmE5xRhRytz8mJ4AaABAg,2,"all is naturel .....like your life style 
but we need translation.....
wish u happy chinese year from algeria.....","一切都是自然的.....就像你的生活方式一样
但是我们需要翻译.....
祝您从阿尔及利亚获得中国的一年快乐....."
41302,UgwQOrG7TjhdbBH3hDh4AaABAg,2,"living with nature in harmony, so satisfying.",与自然和谐相处，如此令人满意。
9622,UgwiUKs9CznPh4uh4AJ4AaABAg.9H1aNavRHpS9HU5D8CYG4y,2,@enchantedcastle you are empty in empathy for nature's creatures.,@enchantedcastle，您对自然生物的同理心是空的。
20567,UgwgXzAc1AwQ6EyFqRN4AaABAg,1,no more meat and animal cruelty. enjoy your coronavรญrus now from your cooked dogs and bat soup. nature is the best revenge for this cruel society.,没有更多的肉和动物残酷。现在可以从熟食狗和蝙蝠汤中享受冠心大战。大自然是这个残酷社会的最佳报仇。
33795,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48xXGdYZlE4a,1,@4leolux nothing wrong with doing all the different work and chores you mentioned! they are all work in nature and have visible and direct results in your own life.,@4leolux做您提到的所有不同工作和琐事都没有错！它们都是自然界的工作，在您自己的生活中具有可见和直接的结果。
39731,Ugz7jZTGvnlkB_rhPq94AaABAg.8slSxGTrJb38sr4ZFLl_ny,1,"well, this is the project, the same commercial. smart people do. this is not a way of life now. everything is staged. but with such respect for the traditions, skills of ancestors and nature. well done and they themselves earn money and people are the pleasure of only every minute of viewing. well, you carefully look at every frame, everything is thought out both a bouquet and dogs and cleanliness from snow -white napkins for a simple stove ... but do not tear the eye .... charm. these are specially re -tinkers. i am also delighted with their work.",好吧，这是一个项目，同一广告。聪明的人做。这不是现在的生活方式。一切都上演了。但是，尊重祖先和自然的传统，技能。做得好，他们自己赚钱，人们只是每分钟观看的乐趣。好吧，您仔细查看每个框架，一切都被认为是一束花束和狗，以及雪 - 白色餐巾纸的清洁度，用于简单的炉子...但是不要撕开眼睛....魅力。这些是特别的调整器。我也对他们的工作感到高兴。
42345,UgwfTBsKbiORRSfI6Oh4AaABAg,1,"oh god .. what is this creativity and beauty
nature is wonderful and ways to make food.","哦，上帝..这种创造力和美丽是什么
大自然是美好的，是做食物的方法。"
18702,Ugz8VO3hcdxy4sPsXVZ4AaABAg,1,"hello . god willing, this is bright ideas. i am one of your followers from morocco. all that i have been satisfied with enjoying nature and life. i see your hands. god willing, you will give me positive energy.",你好 。上帝愿意，这是光明的想法。我是您来自摩洛哥的追随者之一。我对享受自然和生活感到满意的一切。我看到了你的手。上帝愿意，你会给我积极的能量。
33044,UgwHaQlp8KVn8CiyQSJ4AaABAg,1,this is perfection the wild the nature the food the colors the hard work and all that deliciousness while being so neat ad clean is just everything i could ever desire in this life...,这是完美的野外大自然，食物的颜色是艰苦的工作和所有美味，而如此整洁的广告清洁只是我一生中想要的一切...
40334,UgzTNOeophkJCvY0Clp4AaABAg,1,what beautiful simple life far away from technoligie what beautiful chinese woman in this beautiful nature omg i want chinese wife,远离技术的美丽的简单生活，在这个美丽的大自然中，什么美丽的中国女人我想要中国妻子
40351,UgxdqJuA-KfNI5VxsNZ4AaABAg,1,"is she mary has alittle lamb,and it follows her wherever she goes....i'm just loving her videos,soso beautiful and mind blowing,all that nature.i'm going nuts,get it nuts lol.",她是玛丽的羔羊，无论她走到哪里，都会跟随她。...我只是喜欢她的视频，soso美丽而震惊，所有的大自然。我很疯狂，让它发疯。
33249,Ugys1d2elCxYTxQ4RDB4AaABAg,1,she is living perfectly with natural stuff... no chemicals no plastic no pollution..... that's why they live longer.... her hair.. skin.... looks perfect it's all because of mother nature....... she don't have time to think about it her life if it's bad or not....... she is doing everything from heart and soul....... lambs and puppies.... landscape allll perfection,她与自然的东西完美地生活...没有化学物质没有塑料没有污染.....这就是为什么他们寿命更长的头发..她的头发..皮肤。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。 ....她没有时间考虑自己的生活，如果这是不好的.......她正在从内心和灵魂中做一切……羔羊和小狗....景观完美
17900,UgxdQzlScuXYH9AVGvx4AaABAg,1,online nature feels,在线大自然感觉
41033,UgzAChcoaKzyHM5_sFh4AaABAg,1,"the atmosphere and nature are my superstitious
if you live your whole life, you feel bored","气氛和自然是我的迷信
如果您一生都生活，您会感到无聊"
32255,UgyP3mwtIbUPchfyKVh4AaABAg,1,"i just love the way she cooks everything, the nature, the music. so much peace.",我只是喜欢她烹饪一切，大自然，音乐的方式。这么多的和平。
18987,UgwmDkXJ8-o2q-bLfe94AaABAg,1,love you liziqi... you really are an inspiration.. i wonder why i chose to come to england living behind the beautiful life in nature i had in mauritius....,爱你liziqi ...你真的是一个灵感..我想知道为什么我选择来到我在毛里求斯拥有的美丽生活的英格兰。
41517,UgyxLHSN04Bo4o_Uo6x4AaABAg,1,i love the peaceful and beautiful views in this video . i love the nature itself . i always dream to live at place like that . please do more video like this,我喜欢这部影片中宁静而美丽的景色。我爱大自然本身。我总是梦想着这样的地方。请做更多这样的视频
31247,UgwC5qDWyuspVj4d64Z4AaABAg.8wOZyjqpnXI8wfcrO6hevh,1,"harith lee dirts, hassles,windy, dusts, sweat, rough,crude, bend curved back, sunburn, which all the beautiful elements in the nature , i donโ€t see in these videos",哈里斯·李（Harith Lee）污垢，麻烦，大风，尘土，汗水，粗糙，粗糙，弯曲，弯曲，晒伤，大自然中所有美丽的元素，我在这些视频中看不到
32144,Ugxn11JOJwq48DaCw4Z4AaABAg,1,my god .... where is this place that stops a paradise ... where everything is taken from nature. curious that she does all this and the clothes get clean ...... kkkk,我的上帝....这个地方在哪里停止天堂...一切都从大自然中夺走了。好奇她做所有这一切，衣服变得干净……KKKK
31961,UgzY3oqo4gdav1iPHSl4AaABAg,1,i just want a life like this very close to nature eat only what mother earth gives no stress no thinking about money nor future,我只希望像这样的生活很近，只会吃地球母亲给不思考金钱和未来的压力
28622,UgwdQhKOr8qCHW3rYHJ4AaABAg,1,"cute sheep ๐๐๐
very traditional ๐ i love nature โค๐","可爱的绵羊
非常传统的"
29351,UgyqdC6MV3vBSyDi4d14AaABAg,1,"very beautiful! puppies, lambs, pretty girl, amazing nature, cute old people and delicious food. it is a pity that 90% of the chinese in the village do not live like that. but i liked it!",很漂亮！幼犬，羔羊，漂亮的女孩，惊人的大自然，可爱的老人和美味的食物。遗憾的是，村里有90％的中国人不会那样生活。但是我喜欢它！
26515,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy9ATQn0nJccJ,1,i used to be very depressed. learned that the people and your environment change your energy. keep watching positive and nature filled videos. blessings โค๏ธ,我曾经很沮丧。得知人民和您的环境改变了您的能量。继续观看积极和自然的视频。祝福❤️
29466,UgzZzJbuNnUNCMBVlIR4AaABAg.8xjFGku-_Z_8yojVT_eoiA,1,"@paulchen1067 i don't know if it is your understanding of your understanding or not to see it carefully. what i said is ""actually protecting taiwanese netizens and beneficial to taiwan"", not ""to protect taiwan"". although the research and development of firewalls, although it is not subjective to protect taiwan, it objectively protects taiwan and protects taiwan. as for the reasons for the research and development of firewalls, many domestic forums have discussions, which are mainly summarized as:
first, because there are many yellow adult websites outside the wall, these pornographic websites do not have any protection, and children can open it at will. these primary school students who are still studying are not seen. the two children should see these pornographic adult websites when they should not see these things, so it protects my children at least. i am very grateful;
second, many fake news of rumoring and discredited chinese demons outside the wall flies. some people who are not mature are not enough to distinguish. it is easy to be misleading. it is the same as the brainwashing sun flowers in taiwan. the united states. the country is very good at using tools such as the internet and traditional media to combine the right to speak and subvert other countries in combination with the right to speak in the hand. the spring of arabia, which occurred in a series of countries in a series of countries in the middle east, is the united states and other use of the internet hegemony to incite and subvert other countries. the big ""masterpiece"", the current violent turmoil that occurs in hong kong is the same. as long as those who have a little mind and a little international insight can see clearly. assuming that the middle east countries also had comprehensive internet protection measures at that time, they would not be by the united states. using social media such as the internet to easily incite their domestic fighting and turmoil, it ultimately leads to the tragic situation of war, the people's non -talk, refugee flowing, and economic collapse. the history of traditional colonial countries such as the united states and britain used the internet to infiltrate and subvert the country in one day or two. the intelligence department uses the internet and other tools to conduct as many as 39 countries that have infiltrated and subverted other countries. this is what the united states is said in hillary's mouth. china's firewall to a certain extent has a certain blocking effect on this intelligence agency using the internet to incite public opinion and cause social turmoil to ultimately achieve the ""ingenious strength"" of subverting the country's regime. the entire exposure of the eyelids of the anti -chinese countries will be manipulated by the information departments such as the united states, which leads to the chaos in hong kong today. the purpose of trump is to use hong kong as a bargaining chip to the extreme of china to pressure china. in order to eventually occupy more cheap china in the trade war negotiations.
third, in fact, for the consideration of national security, many countries have walls, south korea, and germany, usa, and germany. india envy china to have bat, and it is ready to engage in the wall. after all foreigners, snowden exposed the prism door, especially after the german chancellor merkel's mobile phone was listened to the cia, germany was also building a wall. it seems that this is a trend. the internet has now become a new battlefield. the major countries are developing network troops and building walls crazy, but the forms are different. the united states has long been set off the world in the world. in addition to prism doors, there are also five -eye alliances. the internet world has long been reduced to the colonies in the united states without knowing it. the ability to be capable of capable of has a wall. only those who are unable to build it are going. the american wall is much more advanced than the chinese wall technology. it is difficult to find that this is really a bit embarrassing. in fact, the background is also recording cross -border traffic and even secretly analyzing the content of the mail package. similar words such as ""production"" and ""buying suicide bombs"", and soon, fbi agents came to your house to search. these are keywords and sensitive words monitoring techniques. obviously haha, the chinese wall is a pediatric department compared to the american wall. chinese technology can only monitor itself, and even the technology can not completely make it unable to turn the wall. however, lao and american technology can monitor the world. the gap is really not a little or two, but a generation and two generations.
some people say that china is engaged in net walls to be afraid that domestic people will know what the so -called truth, and the actual situation is exactly the opposite. if you are really afraid of people in the country to know what the so -called ""truth"" and why do you put so more than 100 million domestic in china a year people go out to see ""truth""? can you stop it? are you afraid that more than 100 million people will go out to see the ""truth""? obviously this is conflict. china has more than 150 million people every year, and 130 million foreigners entering china have become the world's largest in the world. one of the tourist destinations, as many as 10 million foreigners living in china, as many as 60 million chinese people living abroad, hundreds of foreign embassies and consulates in china, more than 100,000 foreign media resident reporters, there are more than 10 million international multinational companies and foreign trade companies are held in hundreds of international conferences and large -scale activities in china each year. after 40 years of opening up, china has already been integrated into the world in all aspects. in the era of information such in information, everyone can spread through the global era when everyone picks up a mobile phone, saying that the idea of โ€โ€being afraid of people know what ""truth"" is really naive, and it also proves how ridiculous the guessing people who want to eat melon for granted. essence
the fourth is to protect the growth and growth of its own internet industry. do not want to be occupied by american companies like the same domestic internet as the world. the top ten important network industries in the world are either the united states or in mainland china, and they have begun to enter the global market. the top ten internet companies in the world, each of which each country and the united states are half. other countries are zero. some people once said that there are only two world internet countries. the united states and china (this is permanently set in wuzhen, zhejiang, zhejiang, china. to. mainland china โ€s internet strength is second in the world. although the overall strength is still far behind the united states, it is the only country that is comparable to the united states in the internet field. the european union, india, russia, canada, japan, australia cannot do it, because of the degree of pain, the market, the market, the population, the population, the funds, the language, the policy, the technology, culture, etc. when we laughed at this firewall, we did not know that only from politics, the vision of thinking was so narrow, and the sour people's vision was like a rat, foolish. the internet achievement of the walls of the wall in china is: we have created a set of our own network industry chain, the second largest in the world. and when netizens all over the world brush fb and yt every day, when google's hou, they did not realize that their countries, including some european countries, have become ""colonies"" in the united states of the united states, not only the online market and public opinion were facebook, but they were facebook. foreign network power control dominates other foreign network power control, and the people of their domestic companies must also pay expensive advertising fees and usage fees. and all the personal data of their national and enterprises, all of which are stored in the server of the us internet company giants, have long been safe. in the past two years, fackbook has repeatedly gone out the incidents of leakage of their personal information information and selling. it is one of the proof.
the fifth is to facilitate the management of the network and crack down on cyber crimes. the internet is the same as a real society. every day, a lot of criminal activities are filled with criminal activities. some of them have subverted the country, illegal operations, and criminal criminals, such as online fraud, money laundering, online gambling, mlm, cult transmission ... and police officers in a country it can only be enforced in its own country because of the multinational nature of the internet. if criminals set up the server abroad, and criminal activities such as fraud on ordinary people in the country, the police can only watch them implement criminal crimes against domestic abroad. there is no way to manage it. this is not a good thing for the interests of ordinary people. this wall can filter most of this kind of overseas fraud, gambling, money laundering, etc. most filtering can increase the difficulty of crime of overseas criminal criminals, which is valuable. ordinary people do nโ€t care about turning over the wall, and they do nโ€t touch the law. for example, college students write papers to check foreign language information, etc., and 99%of chinese resources are on the internet in the country. the chinese content outside the wall is added. there are more than 1%. compared to those who do not understand foreign languages, the wall is the real sea. it is just a small puddle on the wall. i am not proficient in foreign languages. individuals are proficient in a foreign language, so there is no great impact on the wall. besides, this firewall does not block all foreign websites outside, but just block part of the content of the country and the people. many foreign websites can be accessed directly. domestic ipv6 users, and some campus networks. education network can directly access foreign websites. many domestic websites, including apps, can also be accessed directly from abroad, such as weibo, douyin, and douyin, douyin, douyin, and douyin, douyin, and douyin, douyin, and douyin, and douyin, and douyin, and douyin, and douyin, and douyin, and douyin, and douyin, and douyin, and douyin, and douyin, and douyin, and douyin, and douyin, and douyin, and douyin, and douyin, and douyin. douban ... you can access it directly from abroad, and the firewall is not intercepted by a knife. there are so many embassies, multinational companies, foreign trade companies, foreign -related institutions, universities, and research institutions. this number is an astronomical figure. so many people are legally used to use external networks for daily work and business. even the official cctv in china is on yt. with the official channel, it can be seen that the role of the firewall is not to block the network and outside the network. the function is obviously filtering, filtering out those things that are harmful to national security and the interests of the people, and retaining beneficial things. a person is sick alone. everyone knows to go to the hospital to see a doctor. when you take medicine and take medicine, you have to remove the germs that endanger your body to keep your body healthy. why can't the internet be filtered out of those bad things and keep the internet be healthy. in short, weighing the advantages and disadvantages and comprehensive considerations, li yuan is more than disadvantaged.
the above just means that i am not ""refuted for refutation."" everyoneโ€s iq, eq, experience, observation, and international vision are different. the depth and breadth of thinking are different, but one thing must be remembered. that is, don't float in the appearance, don't want to be cloudy, but get rid of prejudice and settings, think independently, and approach the essence and truth. in this way, you can truly achieve ""not confused"" without being stupid. break and use.","@paulchen1067 不知道是你的理解力问题还是看得不仔细，我说的是“实际上保护了台湾网民，对台湾有利”，不是说“为了保护台湾”。研发防火墙，主观上虽然不是为了保护台湾，但客观上保护了台湾，既“实际上”保护了台湾。 至于研发防火墙的原因，国内很多论坛上都有讨论，主要归纳为几点： 
一是因为墙外很多黄色成人网站，这些色情网站没有任何防护，小朋友都可以随意点开，这些总不能让那些还在念书的小学生初中生等小朋友看到才对吧，反正我是不希望我家的两个小朋友在不该看到这些东西的年龄看到这些色情成人网站的，所以它至少保护了我家的小孩，我是很感激的； 
第二，墙外很多造谣抹黑妖魔化中国的假新闻满天飞，有些年纪不大还不成熟的人思考力分辨力还不够，很容易被误导就跟台湾那些被洗脑的太阳花觉青一样，美国等国家非常擅长利用互联网和传统媒体等工具结合手中控制的舆论话语权对他国进行意识形态的渗透和颠覆，发生在中东一系列国家的阿拉伯之春就是美国等利用互联网霸权煽动颠覆它国的一大“杰作”，目前发生在香港的暴力动乱也是如此，只要稍微有点脑子有点国际洞察力的人都看得一清二楚，假设当时中东国家也拥有完善的互联网保护措施，也就不会被美国等利用互联网等社交媒体轻易就煽动其国内的内斗和动乱，最终导致如今这些国家战火纷飞、民不聊生、难民流离、经济崩溃的惨状。美英等传统殖民国家利用互联网对它国进行渗透颠覆的历史可不是一天两天了，从乌克兰到摩洛哥，从利比亚到叙利亚，从埃及再到委内瑞拉，据维基解密统计，冷战结束后，美国CIA等情报部门利用互联网等工具对它国进行渗透颠覆搞掉的国家多达39个，这就是希拉里口中所说的美国的“巧实力""吧，毕竟美国掌握着全球互联网霸权和舆论话语权，而中国的防火墙在一定程度上对这种情报机关利用网络进行舆论煽动和造成社会动荡最终达到颠覆别国政权的“巧实力”有一定的阻挡作用，而香港正是因为互联网过于开放，毫不设防，整个暴露在反中国家的眼皮底下，才会被美国等情报部门随意操弄，导致今日香港乱局，而特朗普的目的正是要将香港搞乱作为向中国极限施压的一个筹码，以便于最终在贸易战谈判中占到中国更多便宜。 
第三，实际上出于国家安全的考虑，很多国家都有墻，韩国有，美国俄国德国都有，印度羡慕中国有BAT，也准备要搞墙了，泰国防部建立“天网” 追踪境内全部外国人，斯诺登曝光棱镜门后，尤其是德国总理默克尔的手机被美国中情局监听后，德国也在筑墙，看来这是趋势，网路现在已经成了一个全新的战场，各大国都在发展网络部队，疯狂筑墙，只是形式不一样而已，而美国，早就在全世界布下了天罗地网，除了棱镜门，还有五眼联盟，监视全世界，完全没设防的国家，网络世界早就沦为了美国的殖民地而不自知，有能力的国家基本都有墻，没能力建设的就只有随它去了，而美国的墻比中国的墻技术先进多了，一般人都很难发现，这个确实有点屌，其实后台一样在记录跨境流量甚至暗中抓取邮件包内容自动分析，发邮件人一点感觉都没有，在美国境内上网发表“刺杀特朗普”""轰炸白宫""或“制作”“购买自杀式炸弹”等类似字眼，很快就有FBI的探员来你家敲门搜查了，这些都是关键词、敏感词的监听技术，不像中国的墙简单粗暴，太明显了哈哈，中国墻跟美国墻相比就是小儿科，中国的技术只能监控自己，甚至技术还达不到完全让网民无法翻墙哈，但老美的技术却能监控全世界，中美的技术水平差距真的不是一点两点，而是一代两代。 
有人说中国搞网墙是为了怕国内的人知道什么所谓的真相，实际情况正好相反，如果真是怕国内的人知道什么所谓的“真相”，那干嘛每年还放那么多一亿多国内的人出去看“真相""？挡得住么？不怕这一亿多人出去看到“真相”么，显然这是自相矛盾的，中国每年出国人数一亿五千多万人次，入境中国的外国人1.2亿人次，中国已成为全球最大的旅游目的国之一，在中国生活的外国人高达一千多万，居住在国外的华人高达六千多万，中国常驻有数百个外国使领馆，十多万国外媒体常驻记者，有一千多万家国际跨国公司和外贸公司，每年在中国有数百场国际会议和大型活动召开，历经40年的开放，中国早已全方位深度融入了全球，每年这么多与世界的联系与互动，在资讯这么发达，人人拿起手机随手一拍就能传遍全球的时代，说怕人知道什么“真相”的想法真的极其幼稚，也证明国内那些想当然的吃瓜群众的猜测显得多么荒谬。 
第四，是为了保护国内自己的互联网產业的成长壮大，不希望跟全世界一样国内的互联网全被美国公司佔领。全世界排名前十的重要网络产业，不是美国的就是中国大陆的，而且开始进军全球市场。全球十大互联网公司，中美各占一半，其它国家为零，有人曾言，世界互联网大国只有两个，美国和中国（这点从世界互联网大会会址永久定在中国浙江乌镇就不难看出）。中国大陆互联网实力全球第二，虽然整体实力仍远远落后于美国，却是唯一在互联网领域有机会媲美美国的国家。欧盟，印度，俄罗斯，加拿大，日本，澳大利亚都做不到，因为痛合度，市场，幅员，人口，资金，语言，政策，技术，文化，等等各种因素。当我们在嘲笑这个防火墙的时候，殊不知，只从政治看问题，眼界思维如此之狭隘，酸民眼光如鼠、愚不可及。在中国这设墙的二十多年的互联网成果是：我们打造了一套属于自己的网络产业链，全球第二大。而当全世界的网民每天在刷着FB、YT，谷歌的时侯，他们完全没有意识到自己国家包括一些欧洲国家已经沦为网络经济强国美国的“殖民地”，不仅网络市场和舆论被Facebook、Yahoo、Google等外来网络强权控制主导，其本国企业要接触自己的民众还必须支付昂贵的广告费和使用费等等费用。而把自己国家国民和企业的个人资料，隐私等全部储存在美国互联网公司巨头的服务器里，早已毫无安全可言，过去两年Fackbook公司多次暴出将其用户个人信息资料泄漏出卖的事件便是明证之一。 
第五，是为了便于网络的管理，打击网络犯罪。网络和现实社会一样，每天充斥着大量的犯罪活动，有颠覆国家的，非法营运的，还有刑事犯罪的，比如网络诈骗，洗钱，网络赌博，传销，邪教传播这些……而一个国家的警察只能在其本国境内执法，因为网络的跨国性，如果刑事犯罪分子把服务器架设在国外，而对国内的普通民众进行诈骗等犯罪活动，警察只能眼睁睁看着他们在境外实施对国内的犯罪，却没办法管得到，这对普通百姓的利益绝非好事，而这堵墙能过滤掉大部分这种境外诈骗、赌博、洗钱等针对国内民众的犯罪，虽然不能完全百分百过滤，但过滤大部分，能增加境外跨境刑事犯罪分子的犯罪难度，已经难能可贵了。普通人没事翻翻墙不会管，而且也不触法，比如 大学生写论文翻墙查外文资料等，而99%的中文资源都在境内的互联网上，墻外的中文內容加起來也沒有墻內的1%多，相對于不懂外语的人來說，墻內才是真正的大海，墻上只是一個小水坑而已，不熟练掌握外语，你翻出來也是來到了一片沙漠，因为并不是每个人都精通一门外语的，所以翻不了墙并没有什么太大的影响，况且这个防火墙并不是把所有外国网站全部挡在外面，而只是把一部分的对国家和百姓利益有害的内容拦在外面，国外很多网站是可以直接访问的，国内IPV6用户，还有一些校园网，教育网都是可以直接访问国外网站的，国内很多网站包括APP也可以从国外直接访问，比如微博、抖音、豆瓣......等都可以从国外直接访问，防火墙并没有一刀切地拦截。国内那么多大使馆、跨国公司、外贸公司，涉外机构、高校、研究机构，这数字是个天文数字，这么多人都在合法地使用外网进行日常工作和业务，连国内官方的央视都在YT上开了官方频道，可见防火墙的作用并不是要阻断网内和网外，其功能显然在于过滤，过滤掉了那些对国家安全和百姓利益有害的东西，保留了有益的东西，一个人生病了都知道去医院看医生，打针吃药甚至做手术都要除掉危害身体的病菌让身体保持健康，为什么互联网就不能过滤掉那些坏的东西让网络保持良性健康呢。 总之，权衡利弊，综合考虑的话，利远大于弊。 
以上，只是说明我并不是“为反驳而反驳”，每个人的智商、情商、阅历、观察力、国际视野都不一样，思维的深度、广度也不一样，但有一点是必须记住的，即不要浮于表象，不要人云亦云，而是摆脱成见和定势，独立思考，接近本质与真相，这样，才能真正达到“不惑”，且不会被愚蠢的自以为是绑架，更不会被他人的言辞蛊惑和利用。"
25792,UgzNgLI3NsGXB292pZ14AaABAg,1,"generous nature, natural food, but what a hard work for this cane",慷慨的大自然，天然食物，但对于这个甘蔗来说是一件艰苦的工作
25695,Ugyw3mSIw8T9WNaWwE14AaABAg,1,"i have never seen in my life anyone like her, who can do so many things with nature and work as much as she does! great skills ! everything she does looks delicious and pretty. awesome! keep it up!",我从未见过像她这样的人，他们可以像她一样做很多事情，并且像她一样工作！伟大的技能！她所做的一切看起来都很美味可爱。惊人的！继续努力吧！
25513,UgwP6wIlywiVEl8E6Hx4AaABAg,1,what is eating ? what is eating ..this is what i learned yesterday .. eating is the most natural way of connecting with nature ..what we eat comes from various places ..nature makes them ..and we need to know how and from where they come ..she is showing that exactly ..where the food comes from ..what process its going through ..and how it finally becomes a delicious food on our plate ..most of other youtubers does not show that ..they just show how to make food..but thats not the whole thing ..she is showing the nature ..she is representing the nature ..thats the reason people feel calm when they watch her content ..i feel the same ..cos i am not watching her .. iam watching the nature through her and connecting back where i belong ..thanks ..,吃什么？吃什么..这是我昨天学到的。饮食是与自然联系的最自然的方式。我们吃的东西来自各个地方。 ..她正在表明，完全是什么。做食物..但这并不是整个事情..她正在显示自然..她代表了自然。看着她.. iam通过她看着大自然，然后将我属于的地方连接起来..谢谢..
29570,UgwcimMX3RjuNNO7OG54AaABAg,1,"the weather, nature, sound, hygeine gives me lulls",天气，大自然，声音，卫生员使我张开
29680,UgyVEe5HuRYjR7WmFqt4AaABAg,1,your video is calming me. i love the nature around you. i have a dream to live in this kind of place. i like planting and i love vegetables than meat. i'm so glad i found your channel youtube. i agreed with all the people's comments. you're deserve when we call you princess. stay healthy and you can continue making videos for us.,你的视频使我平静。我爱你周围的大自然。我有一个梦想在这种地方生活。我喜欢种植，我喜欢蔬菜，而不是肉。我很高兴找到您的YouTube频道。我同意所有人的评论。当我们称您为公主时，您应该得到。保持健康，您可以继续为我们制作视频。
