,cid,votes,time,含nature,含nature中文翻译
12376,UgxA4-_1-Z8H_bQ6eTR4AaABAg,4,3 years ago,"i came to know this video recently and i am in love in it. the nature ,greenary , village life , way of visuals , grandma and herself everything so pure and soothing to watch",我最近认识了这个视频，我爱上了它。大自然，格林尼，乡村生活，视觉效果，奶奶和她自己如此纯洁而舒缓的一切
22343,UgzUeNT1nVNQVnYodUN4AaABAg,4,3 years ago,my love for nature deepens every time i watch her videos,每次我观看她的视频时，我对自然的热爱都会加深
33327,Ugyh88H29SYkYDuT5YV4AaABAg,4,3 years ago (edited),"beautyful nature, ,love too watch this videos,,,",美丽的大自然，爱也观看此视频，
2894,UgzyqbFoZHH2w-6icnp4AaABAg,4,1 year ago,life is beautiful n peaceful when we connect with nature.. so relaxing..,当我们与大自然建立联系时，生活是美丽的和平。
33534,Ugy2wgwteNfK09oVhih4AaABAg,4,3 years ago,"love those veggies picking sound, cutting sound, the beetles, insects nature’s happy laughter amidst such beautiful climate",喜欢那些蔬菜采摘声音，剪裁声，甲虫，昆虫大自然在如此美丽的气候中的笑声
3896,Ugx_NcPcKBlYcyCeUtV4AaABAg.9Lo-UhkEMIm9OA4UBrM0fR,4,2 years ago,"humanity has stray from nature with our modernization and materialism. our spirit was born from nature so we feel joy and peace when we are surrounded by nature. but when we are separated from nature too long, we feel empty inside.",人类与我们的现代化和唯物主义相偏离自然。我们的精神是从大自然诞生的，因此当我们被自然包围时，我们会感到喜悦与和平。但是，当我们与自然分离太长时，我们会感到内心空虚。
23891,Ugz5VVNjAvtGED9UzlN4AaABAg,3,3 years ago,wow nice vedio i'love the nature hope someday i came that pls pls sponsor me,哇，尼斯·韦迪奥，我爱大自然，有一天我来了，请赞助我
25802,UgwKoiT4vIVqpqlYTel4AaABAg,3,3 years ago,you are living a life so connected to nature and it's inspiring me so much! thank you for creating your channel!,您过着与自然有联系的生活，这激发了我的激励！感谢您创建频道！
30543,UgwWXLtdOOwGqk72CvF4AaABAg.8yVczaElyLQ8yVzInUkWf1,3,3 years ago,this nature is fascinating the girl preparing the gifts of flora and fauna as an artificial cooking is beautiful !!!,这种性质令人着迷，因为人造烹饪是美丽的女孩，准备了动植物的礼物的女孩！！！
28394,UgwUIpxwSyasjhBUl9h4AaABAg,3,3 years ago,beauty coming out of the inside. i respect you who live in nature. i thought it was nice.,美丽从内部出来。我尊重你生活在大自然中的人。我以为很好。
6602,Ugy3xkTYxlTAID94IdJ4AaABAg.9EeYlTw0XI49EiLR8OFVHU,3,2 years ago,"live in asia mr. this is what our life is alhamdulillah ๐๐...fresh fruits, fresh vegetables, fresh cut animals, fresh air....and beautiful nature...at least try to go visit asia...like philippines, china, thailand, taiwan, singapore, malaysia, cambodia and vietnam...this is mostly the life we have......... especially in provinces....๐‘โ๐๐",住在亚洲先生。这就是我们的生活是Alhamdulillah
19042,UgzCIsvjP7T0N5d3O-54AaABAg,3,3 years ago,wow that lifestyle is so beautiful i wish i could live that life surrounded by beautiful nature and beautiful wife away from all the negativity of the world,哇，这种生活方式是如此美丽，我希望我能过着被美丽的自然和美丽的妻子所包围的生活，远离世界的所有消极情绪
19918,UgxtiWBQ1RO8mwSh3ct4AaABAg,3,3 years ago,i love how you work with nature. god bless your soul,我喜欢你如何与大自然合作。上帝保佑你的灵魂
10682,UgxqSpb3Gk81b3ZvGH54AaABAg.98VupjufjU799bhs_TkVlm,3,3 years ago (edited),"@kobebryantt237 i never said sex is wrong. i simply believe we've distorted and diminished it into something completely base and meaningless. sex can be a beautiful thing, but modern society has objectified it, turned it into a commodity devoid of any notion of love or romance. we take it for granted, just like we take everything else for granted. nothing is held sacred anymore: not nature, not animals, not communities, not people, not love, not life itself. everything now is expendable, and can be turned into an item and exploited to make a quick profit. we have collectively abandoned the pursuit of higher spiritual values for the sake of base materialistic desires. and it's only when we're lying on our deathbeds that we truly realize the tragedy of seeing things this way. have a nice day.",@kobebryantt237我从没说性行为是错误的。我只是相信我们已经扭曲并将其减少到了完全且毫无意义的东西中。性可能是一件美丽的事物，但是现代社会已经对其进行了客观化，将其变成了没有任何爱或浪漫概念的商品。我们认为这是理所当然的，就像我们把其他一切都视为理所当然一样。再也没有神圣的人：不是自然，不是动物，不是社区，不是人，不是爱，而不是生命本身。现在的一切都是可以消耗的，可以变成一个物品并被利用以快速获利。为了基本的唯物主义欲望，我们共同放弃了对更高精神价值的追求。只有当我们躺在死床上时，我们才真正意识到这种方式看到事物的悲剧。祝你今天过得愉快。
10661,UgxqSpb3Gk81b3ZvGH54AaABAg.98VupjufjU799ZWtlELJKQ,3,3 years ago,"@xe2893 ur right in some parts , n wrong in some parts also.
liziqi in her younger age actually had followed some trainings to become a chinese ninja
but later after her grandpa has passed away , she chose to go back to her village& grandma... rather than working as a ccps ninja
then after returning home, she started to make vids to sell/commercial her ""natural homemade"" products , to earn some money for living!
surprisingly , its her vids that actually only for commercial purposes, that turns out to be a big success & gives her much money n fame n sponsors 
thus her village has become a nature s friendly company☺️ many people get jealous to her ever since...","@xe2893您在某些地方正确，在某些部分也是错误的。
Liziqi年轻时实际上是经过一些培训，成为CCP的中国忍者...只要看看她的速度+力量，她的刀技巧+攀爬技巧
但是在爷爷去世后的后期，她选择回到她的村庄和祖母……而不是当CCPS忍者嗯，好吧...那对女人来说肯定是一件艰难的工作。她的祖母，她的最后一个家庭
然后回到家后，她开始制作vids出售/商业她的“天然自制”产品，以赚取一些生活！
令人惊讶的是，实际上仅出于商业目的，这是她的视频，事实证明这是一个很大的成功，并给了她很多钱。
因此，她的村庄已成为大自然的友好公司☺️从那以后，许多人嫉妒她..."
32880,UgxN7NFGjJrEc7efRWd4AaABAg.8yUkoNRrTzC8yV4232nhzq,3,3 years ago,"yes , that is the real deal , we should all live like this , it is hard work but the nature and her way of cooking is relaxing and amazing ..",是的，这是真正的交易，我们都应该像这样生活，这是艰苦的工作，但是她的性质和烹饪方式是放松和惊人的。
3507,Ugytb-zQBlngE45-UYt4AaABAg,2,2 years ago,i have seen good food preservation and the nature is so beautiful.,我已经看到了保存美好的食物，大自然是如此美丽。
11161,UgzatEHdyqsbcpu_p-t4AaABAg,2,3 years ago,nature sounds,大自然听起来
9561,Ugx0WRGjt0H9DzC20UR4AaABAg,2,3 years ago,i love the songs of the vidios gives the feeling that we are in nature is already like is a moving is beautiful to live like that i love a lot of vidios teaches the living life,我喜欢vidios的歌曲给人一种感觉，我们在自然界已经像一个动人的生活一样美丽，就像我爱很多vidios一样，教导生活生活
33154,UgwIVhHTtYXrZhZe23V4AaABAg,2,3 years ago,i feel comfortable when watching this picturesque nature is the most wonderful,看着这种风景如画的天性是最美妙的
29289,UgwdnbdnQOsBbGXRuDN4AaABAg,2,3 years ago,"you can live happily next to nature that seems to love you, not damage the earth in any way, be thankful girl..",您可以幸福地生活在似乎爱您的大自然旁边，而不是以任何方式损害地球，要感谢您。
9380,UgxVdr_m755Z1yYJ3n54AaABAg,2,2 years ago,i think she is so lucky to be leaving so close to nature.picking out everything with her own hands to eat i would trade my nyc life with her any day who else agrees?,我认为她很幸运能离开大自然。用自己的双手吃东西，我会和她交易我的纽约人的生活。
13635,UgxCNjipQN20tLmq4nJ4AaABAg,2,3 years ago (edited),"organized -matured, transmitted from generations, recipes, many blanks., respect for the elders speaks of many and also the blessing of the elders
do they have the main thing? and nature?","有组织的 - 从几代人，食谱，许多空白中传播，尊重长者的尊重，也是许多长者的祝福
他们有主要的事情吗？和自然？"
14422,UgyqtiQkbdLplxUFWhp4AaABAg,2,3 years ago,"nature gives us all even without our asking 
but humans just kills the roots of everything","大自然也给了我们所有人，即使我们没有问
但是人类只是杀死了一切的根源"
27637,UgzhVH4VcZ2FcnTbNqd4AaABAg,2,3 years ago (edited),"hello, how are you? well now here in brazil it's 18:51, and as always your videos are splendid, i especially liked the nature where everything seems to be in perfect harmony, once again i leave here my gratitude for another great video, that's all for now. congratulations and good luck ...,",你好吗？好吧，现在在巴西是18:51，一如既往，您的视频很棒，我特别喜欢一切似乎都处于完美和谐状态的本性，我再次在这里留下了我对另一个很棒的视频的感激之情。恭喜，祝你好运...，
29441,UgzSke45zDzA_f0zEHB4AaABAg,2,3 years ago,"wow, a picturesque nature, god willing",哇，风景如画的天性，上帝愿意
25622,UgxHsgRpANCCm8gOQEx4AaABAg.8z01C08josy8zDqNZ6aLDU,2,3 years ago,no ones life is peaceful and easier as you think. it depends on people nature can they make it easy or not! everyone has to struggle a lot in daily life. and some people are very strong who have slient tears behind the their heart stealing smile,您想象的是，没有人的生活更加和平，更容易。这取决于人的大自然，他们是否可以使它变得容易！每个人都必须在日常生活中挣扎很多。有些人非常强壮，他们的心脏偷走了微笑的泪水，
15269,Ugxtcs8mulRwErKHwjx4AaABAg,2,3 years ago,"good stuttering
it is wonderful to be compassionate about nature.","口吃好
对大自然有同情心真是太好了。"
18773,UgwXLyqJiScjXUxRJYl4AaABAg.92J4lxqGoxN92RLTF8qyX0,2,3 years ago,@user-du5ig2we6j material life isn't it better to return to nature?,@user-du5ig2we6j 物质生活回归自然的感觉不是更好？
23832,UgzfQet9ebzdoKH0WPZ4AaABAg,2,3 years ago,ur video makes me feel peace everything is from nature nothing is made everything is natural....i feel the sound of nature the wind water trees fire...all these elements take me away from my polluted life... i really wannz back to nature,您的视频让我感到和平，一切都来自大自然，这一切都是自然的。...我觉得自然的声音是风水开火...所有这些元素使我摆脱了污染的​​生活...我真的很想知道回到大自然
20098,UgwGIYwqEEdVeFgpvHN4AaABAg,2,3 years ago,in love with her beautiful nature house,爱上了她美丽的自然之家。.我的愿望是有这样的人。
20310,UgyNHNcsM93cbpeg9V14AaABAg,2,3 years ago,"ma sha allah, how beautiful the nature is, i wanna go there to visit the place & stay there'm a tree loving person & love to eat fresh food",马沙阿拉（Ma Sha Allah），大自然多么美丽，我想去那里参观这个地方并留在那里
20991,Ugz-pHV-jnoDkMowumR4AaABAg,2,3 years ago,when i watch her videos it fills me about the beautiful nature of this world where we lived,当我观看她的视频时，它充满了我们这个世界的美丽本质
22420,Ugxf0U_unXMMBm4_65F4AaABAg.9-44izPIuzi9SJQhCH9IUp,2,1 year ago,we can do both things and enjoy it. being in nature and being comfortable at home.,我们可以做这件事并享受它。在大自然和在家舒适。
22050,UgyWsWFWJwShely4YQB4AaABAg,2,3 years ago,"nature is really beautiful ...
after work ...
sit down and see the beautiful women ...
it's a kind of enjoyment ...
it is also a kind of supplement to refined food ...

thank you…
love you ...","大自然真美…
工作之余…
坐下来看看美女子之做…
是种享受…
也是种补充精食粮…

谢谢你…
爱你…"
22410,Ugxf0U_unXMMBm4_65F4AaABAg.9-44izPIuzi95JYxojFjus,2,3 years ago,@lichina5639 may i ask if you are saying that your own quality and inferiority should be changed? i am sure that only what i pointed out is her life style and reality on the film. what is the inferior root nature? is your own quality and inferiority? maybe your english level cannot understand what i mean?,​ @lichina5639 请问你是在说你自己的素质和劣根性该改改了吗? 我非常确定我指出的只有她在影片上的生活风格和现实应该有很大的分别想问一下你说的素质和劣根性到底是什么?你自己的素质和劣根性还是? 可能你的英语水平无法理解我所表达的意思吗?
9241,UgyiNUY9ElRSNXAR4_x4AaABAg,2,2 years ago,amazing beautiful nature living bamboo very famous in thailand too some of thai cuisine also the same as chinese cuisine and we have also china town in thailand alot of chinese people live in thailand i really love your video and it look so beautiful nature living god bless you,令人惊叹的美丽大自然活着的竹子在泰国也很有名的泰国美食也与中国美食相同，我们在泰国也有中国小镇，很多中国人都住在泰国
11771,UgwH05W__UfiWoQVRJt4AaABAg,2,3 years ago,i bet she can live without any money because she has all foods from the nature,我敢打赌她可以没有任何钱，因为她拥有大自然的所有食物
6417,UgzgF1xkhroFoJjei054AaABAg,2,2 years ago,"you have such a oneness with nature and life,my god bless you and your household. i would love to visit you and maybe get first hand knowledge from you your amazing",您与自然和生命有如此统一，我的上帝保佑您和您的家人。我很想拜访您，也许从您那里获得第一手知识
6270,UgwyzW3-IjFllMQcKS14AaABAg,2,2 years ago,the cameraman seems from another world. nature beauty and her lifestyle are so lovely.. loved this content,摄影师似乎来自另一个世界。大自然美女和她的生活方式是如此可爱..喜欢这个内容
8897,UgxOBgD3fQC8I59-Qdl4AaABAg.9Ah38njXB5I9BPtQlWNQc-,1,2 years ago,"@yong lu, what are you living in the dark and vicious national environment, you have been developed, ignorance, stupid and ridiculous nature?",@Yong Lu 你究竟生活在什么阴暗恶毒的国家环境下养成了，满嘴无知愚蠢可笑阴狠的本性?
27057,UgzfOdQXR-kL9LG-pdt4AaABAg.8yiuN41pbwu8yot7gZfWDJ,1,3 years ago,"it's about nature, traditional ! plz don't mention the fucking country or policy ! (i'm chinese)",这是关于自然的，传统的！请不要提及他妈的国家或政策！ （我是中国人）
5723,UgxwnPjgNo_i1g2fDhF4AaABAg,1,2 years ago,"nature tourism of the swift currents of pariangan village, loksaso, upstream of the southern river of south kalimantan, visiting cousins โ€โ€in the upstream of the central river, we are served. fire wood, it feels maknyoooss๐ and this only exists in the village, let's watch out the excitement of the latest fnt fams video, don't forget to like, share, comment and subscribe, free, free

https://youtu.be/13zzieywmsk","Loksaso帕里安根村（Pariangan Village）的迅速潮流的自然旅游，让我们注意最新的FNT FAMS视频的兴奋，别忘了喜欢，分享，评论和订阅，免费，免费

https://youtu.be/13zzieywmsk"
2802,UgyjokKB5kT-vLggUk54AaABAg.9RPpxXlXsf_9UpqwEB2i2N,1,1 year ago,"@edwardwongliupepelutivrusk1262 you just said liziqi shows her mountain life ""in a beautiful way"". what else were you implying other than in real life life in the mountains is unattractive??? the problem is people come in the comments to appreciate her hard work, manual labor and the beauty of bein so close to nature but yall just looooove to go ahead and treat em like they're dumb saying ""that's fake"" we cant even appreciate her vlogs in peace without politically correct people like you coming in damn",@Edwardwongliupepelutivrusk1262您刚刚说Liziqi“以美丽的方式展示了她的山生活”。除了在山区的现实生活中，您还暗示什么是没有吸引力的？？？问题是人们会在评论中欣赏她的辛勤工作，体力劳动和Bein的美丽，但是你们只是loo looove继续前进，对待他们愚蠢地说“那是假的”，我们甚至不能欣赏她像你这样的政治上正确的人和平的视频博客，像你那样
32182,UgxAdovHWVT23RTo0s94AaABAg,1,3 years ago,you are staying here. you are places sooo beautiful nature,你住在这里。你是如此美丽的自然
6478,Ugyqp4Jh5zIYUdG7IRV4AaABAg.9Eldftor0qM9ErBmWdjTEC,1,2 years ago,yes take from nature https://youtu.be/wtbcawnybzs,是的，从大自然中https://youtu.be/wtbcawnybzs
33331,UgxhZ8oVXu4D0SHSxA54AaABAg,1,3 years ago,mesmerized by their hard work and love towards the nature,他们的辛勤工作和对大自然的爱使人着迷
27049,Ugy9T7GOBigTWHVFs9l4AaABAg,1,3 years ago,she just makes you want to appreciate nature so much,她只是想让你如此欣赏大自然
13253,Ugzwbs37JX3DsM1W29h4AaABAg,1,3 years ago,i want to be in a place surrounded by nature.,我想在一个被大自然包围的地方。
13269,Ugzwbs37JX3DsM1W29h4AaABAg.95pfR3UZRcW95ua844kLXU,1,3 years ago,"@kwan5740 if you have the chance, you can experience the basin climate of sichuan. especially spring and summer, it is very beautiful, and we are willing to share the beautiful nature. good night, friends living in thailand.",@kwan5740如果有机会，您可以体验四川的盆地气候。尤其是春季和夏季，它非常美丽，我们愿意分享美丽的天性。晚安，住在泰国的朋友。
13819,UgwzEu7pbuLCUtcJLA94AaABAg,1,3 years ago,"you are a super woman amiga !!!!. your videos chapó. this specifically has wonderful music. thank you. a hug for you and your family from spain. how happy there in nature, how good !!!!!",你是一个超级女人的amiga !!!!您的视频Chapó。这特别有很棒的音乐。谢谢。从西班牙和您的家人拥抱。大自然有多幸福，有多好!!!!!
6435,Ugyg4tTODJKJaNhi6QV4AaABAg,1,2 years ago,oh no..! what a beautiful nature.im only interested the natural beauty people living there.,不好了..！多么美丽的大自然。
13014,Ugwl6sRonzHw35234nV4AaABAg.963I9wQO_pk96FSnjhjWkU,1,3 years ago,nature providing everything for us? lol,大自然为我们提供一切？哈哈
3437,Ugx1iD2Gxv0edNnBP5N4AaABAg,1,2 years ago,like nature,像大自然
12822,UgxCmFb60SEswzq8PbZ4AaABAg,1,3 years ago,"i would love to live with nature as well, im so tired of city life",我也很想和自然生活在一起，我对城市生活感到厌倦
1280,UgzD2nC4dC8Wli0em654AaABAg,1,1 year ago,"but why there is no more woman like that with us. in france, she prefers money has a simple life in harmony with nature. personally, if i find a woman like that in my life, i will make the effort to leave everything to live with her. i will even leave my country for this kind of woman.",但是，为什么不再有这样的女人。在法国，她更喜欢金钱与自然和谐相处。就个人而言，如果我在生活中找到这样的女人，我将努力离开一切与她同住。我什至会离开我的国家做这种女人。
26672,UgzZwhu4hUvTmQdKU0N4AaABAg,1,3 years ago,like this nature fertility,像这样的性质生育
18323,Ugy_EMV8KqE4DojDvBB4AaABAg,1,3 years ago,i am tamilnadu. i like tamil nadu. i like nature. i like nature.,我是泰米尔纳德邦。我喜欢泰米尔纳德邦。我喜欢大自然。我喜欢大自然。
20034,UgwiMcIzBnJ1xRFEe3h4AaABAg,1,3 years ago,"take a min and showing respect to the camera man it's was peaks and editor with nature's pleasent music 's beautiful 
and her skills awesome 
literally i don't know what is she cooking but i love it it's finnaly superb","花一分钟，表现出对摄影师的尊重，这是高峰和编辑，大自然的音乐愉快的音乐
她的技能很棒
从字面上看，我不知道她在做什么，但我喜欢它，这是芬纳利的精湛"
25608,UgyhXwMCkAt-Q2ApWvB4AaABAg,1,3 years ago,this woman knows how to make use of nature and her skills. id love to live with her for a week and eat her cooking using only fresh ingredients! it’s so different from the life in sf!,这个女人知道如何利用自然和她的技能。我喜欢和她一起生活一个星期，只使用新鲜食材吃饭！它与SF的生活如此不同！
34154,Ugyz-5WDktCOvNFLaI14AaABAg,1,3 years ago,"god willing, nature takes the mind",上帝愿意，大自然
15325,UgysODKsovrT1mW_pUR4AaABAg,1,3 years ago,"the best, living with nature",最好的，与大自然生活
15292,UgzRI_LiNDvwGNGJc5B4AaABAg,1,3 years ago,"i’m confused with the thumbs down emoji 
this is the epitome of natural, raw and mother nature’s product.","我对表情符号的大拇指感到困惑
这是自然，原始和大自然产品的缩影。"
5784,Ugy5JmlyP78m22q0qx14AaABAg,1,2 years ago,"everything what we need to survive is here , i'm lucky i onced experienced this as a kid ,i'd like to go back & experience this again but our place is not like this anymore, one day i will find a place like this again & leave peacefully with nature until i die โค",我们需要生存的一切都在这里，我很幸运，我小时候就经历过这种经历，我想回去再体验一下，但是我们的地方不再像这样了，有一天我会找到这样的地方再次和和平地与大自然离开，直到我死了❤
16543,UgyaDG1H4k867vSZ9rZ4AaABAg,1,3 years ago,that's the best live i could imagine .. just living in harmony with the nature . no traffic no noise no pollution no twisted poeple :( life in cities sucks compared to that,那是我能想象的最好的生活..只是与自然和谐相处。没有交通没有噪音没有污染没有扭曲的poeple :(与此相比，城市的生活很糟糕
25366,Ugz38EA5dToJR4R-RF94AaABAg.8z3Wxum9ywB8zBIVjlYv0r,1,3 years ago,"even if it is a propoganda it is a beautiful one . at least it is not hurting anyone . it shows the beauty of nature not a propoganda for human hatred , genocide and bigotry",即使是一个宣传，它也是一个美丽的象征。至少它不会伤害任何人。它显示了自然的美丽，而不是人类仇恨，种族灭绝和偏执的象征
1404,UgymJjJ7vgN7G-k5CMl4AaABAg,1,1 year ago,what is the most beautiful nature and simplicity living a greeting from the iraqi people to the chinese people,从伊拉克人民向中国人民致意的最美丽的天性和简单是什么
13856,Ugy46jRHbBzVA42TbaR4AaABAg,1,3 years ago,nature is beautiful that's what i call living a healthy life,大自然很美，这就是我所说的健康生活
24257,Ugx5_wfQRE3CrYtUzTd4AaABAg,1,3 years ago,"and uru is the sweetest place and nature, but so far, what do you understand?",乌鲁是最甜蜜的地方和自然，但是到目前为止，您了解什么？
32543,UgwUCy1Q3w4d2HF3QPp4AaABAg.8yUrwM7wn338yVBcCGhCVl,1,3 years ago,bamboo is the best gift form nature mother～,竹子是自然母亲最好的礼物。
25896,UgxSMAHEkgkmk6ujsM54AaABAg,1,3 years ago,"i wish there where more often people like her, not like the uk or usa because they don't think about nature and think of new things e.g if there's a apocolips she will know what to do why are nobody like this like her she's smart disciplined and lovely and all the people care is that money, getting married, getting everything and not thinking about what is in front of their eyes and toes and future in life of survival in life of life in age in nearly anything that is possible to them.
this is how much love we give to her
|
|
♡","我希望在那里人们经常喜欢她，不喜欢英国或美国，因为他们不考虑大自然，并想到新事物，例如，如果有一个apocolips，她会知道该怎么办可爱的和所有人都在乎的是，钱，结婚了，结婚，得到一切，没有思考他们眼前的事物，脚趾和未来的生活，在年龄的生活中生存的生命几乎所有可能对他们来说是可能的。
这就是我们给她的爱
|
|
♡"
14392,Ugw5Uii8F7m94SmDaG14AaABAg,1,3 years ago,"i love this home, utensil , stove ,nature. i wish my place was like that",我喜欢这个家，餐具，火炉，自然。我希望我的位置就是这样
26060,UgySaLil275VV7TQ0z14AaABAg,1,3 years ago,magli this livestock in the midst of the picturesque nature,马格里这个牲畜在风景如画的大自然中
13900,UgzA2UIUAQHwVT3mgGl4AaABAg,1,3 years ago,what kind of paradise has all those food available ?? where is she living ? is it nature or her garden ?,所有这些食物都有什么样的天堂？她住在哪里？是自然还是她的花园？
34436,UgwptJI-ghDrSyrpmMN4AaABAg.8yUUFOJa2Xg8yU_zDdRCrF,1,3 years ago,come here in northeast the nature food style everything is the same.....fresh n all natural,在东北部来这里自然食品风格一切都是一样的.....新鲜n所有自然
16008,UgyCNlvkgnwsUlQYEPt4AaABAg,1,3 years ago,healing video dealing with wisdom in nature ah ~~~ i am also healing.,治愈自然界涉及智慧的视频啊~~~我也正在康复。
30685,UgxPSsxq0IKGefbXq-Z4AaABAg,1,3 years ago (edited),"if everyone starts harvesting and cooking bamboo shoots in the quantity you are doing, there will be no bamboo left.

irresponsible way of harvesting things.

kindly promote living in sync with nature and growing your own food.","如果每个人都开始以您所做的数量收获和烹饪竹芽，那将不剩下竹子。

不负责任的收获方式。

请促进与自然同步的生活并种植自己的食物。"
31418,UgwwtwcVcQQfG1qBZK54AaABAg,1,3 years ago,their nature opens the soul,他们的天性打开了灵魂
20666,Ugxe3zz0nsJJq96kDi54AaABAg,1,3 years ago,"you are a magical existence. i yearn for nature, but now i have to fight for the future. how i hope that the future can be as ordinary and rich as you. come on!",你是个神奇的存在。我向往大自然，可现在得为未来所拼搏，多么希望未来可以像你一样平凡而丰富的生活。 加油！
792,UgzT-lz3J_aiu1_KGMJ4AaABAg,1,10 months ago,i really liked the nature there. i wish i can go there someday,我真的很喜欢那里的大自然。我希望我有一天能去那里
28160,UgyRuXFaEuCR9SgqlXZ4AaABAg,1,3 years ago,what a pure nature around you.,你周围多么纯净的天性。
21319,UgxqdkMOshtjNn7x6hh4AaABAg,1,3 years ago,"eat everything that grows and everything that moves. like nature, and the fact that you are not dependent on europe. the dishes are natural and it is not enough. good luck in your work!",吃一切生长和移动的一切。像大自然一样，以及您不依赖欧洲的事实。这些菜是自然的，还不够。祝您工作好运！
22901,Ugy5ph_QVIdKJd98GiN4AaABAg,1,3 years ago,played your video every morning i feel like nature come to me,每天早上播放您的视频，我觉得大自然来找我
10565,UgyRxID5z8R9i4IIBhJ4AaABAg,1,3 years ago,"harvest moon in real life

back to nature","现实生活中的收获月亮

回归大自然"
8503,UgzAdo5a7PzVIMBRXTR4AaABAg,1,2 years ago,"enough to eat a simple way of life understand the dharma nature will understand us. very beautiful, your home atmosphere",足以吃一种简单的生活方式了解佛法大自然会理解我们。非常美丽，你的家庭气氛
9990,UgysJBRkFffqB7nmKAB4AaABAg,1,3 years ago,"what nature and what calm, and what a beautiful girl, and what kind of golden hands she has.
just a treasure for men, that is, for the future husband.
i wish her all that is on earth, the best !!!","什么天性，什么平静，一个美丽的女孩，她拥有的金色手。
只是男人的宝藏，即对未来丈夫的宝藏。
我祝她一切顺利，一切最好！！！"
21839,UgwMBquNUCtc8PrUrq14AaABAg,1,3 years ago,"what a peaceful way to live in the heart of mother nature where everything is provided for! i'd live here in simplicity, quietness and oneness with all that",在提供一切的地方，是一种生活在大自然中心的宁静方式！我会以简单，安静和统一的方式生活在这里
21893,UgxnCA94kjNl2p9Rd594AaABAg,1,3 years ago,"i am an indonesian but i salute, i really like this content because it uses the natural nature. continued success.",我是印尼人，但我致敬，我真的很喜欢这种内容，因为它使用了自然性质。继续成功。
5028,UgzNqvBWu6LgE9rq6Rp4AaABAg.9HwTh4DjVZe9I0hTyGxQsF,1,2 years ago,"encourage me for more nature videos like, share, subscribe to my channel friends .. natural bird sounds https://youtu.be/ezfmbkjcevy",鼓励我制作更多自然视频，例如，分享，订阅我的频道朋友。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。
22430,Ugxf0U_unXMMBm4_65F4AaABAg.9-44izPIuzi9UoSpCto1wv,1,1 year ago,"what is wrong with all you guys? her video is simple. she just want to show that even in this modern world, we should appreciate the coulture, the nature without technology. so her video is just like tutorial and she want to show the lifestyle. simple. i hope all of you enjoy your lifetimes.",你们所有人怎么了？她的视频很简单。她只想表明，即使在这个现代世界中，我们也应该欣赏没有技术的库尔特，大自然。因此，她的视频就像教程一样，她想展示生活方式。简单的。希望大家都喜欢您的一生。
9532,UgwzyOlCNXXWXcM8VBt4AaABAg,1,3 years ago,"her contents, background music, beautiful nature, the camera man capturing perfect angles all are doing great job!",她的内容，背景音乐，美丽的大自然，捕捉完美角度的相机人都做得很好！
9503,UgzbcEX8ysbNds2A9v54AaABAg,1,2 years ago,it's a nature...,这是一种自然...
35128,Ugzfs4xjpJC6w74HjLZ4AaABAg,1,3 years ago,god is on nature and simplicity is wonderful. the hands are wonderful,上帝是自然的，简单是很棒的。手很棒
6191,UgwbIpkF4HwIftYroll4AaABAg,1,2 years ago,the beauty of nature without being damagedโน,自然的美丽而没有受到破坏☹
32662,UgzOlEDNG7x4nitvzb14AaABAg,1,3 years ago,"aside from the skill and beauty that ziqi possess, i really admire her hardwork and the love she has for her grandma. we all say that she's like a princess because of her beauty and the way she connects with nature and her hardworking attitude but really, what makes her the most princess like is the love that she has for her family. and with that, she must be protected at all cost ♡",除了Ziqi拥有的技巧和美丽之外，我还非常佩服她的辛勤工作和对祖母的爱。我们都说她就像一位公主，因为她的美丽以及她与自然和勤奋的态度的联系方式，但实际上，让她最主要的公主是她对家人的爱。因此，她必须不惜一切代价保护她
34954,Ugy5fQvlOVCWXePT3N54AaABAg,1,3 years ago,i like you'r content and vidio very nature,我喜欢你满足于和vidio非常自然
28755,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g96_XI_mTT0m,1,3 years ago,"@llhg an improper diet can lead to memory problems. this includes exclusing meat protine and other ways of getting vitamin d and b vitamins via diet, and most people these days due to the nature of their jobs require dietary vitamin d... found in... animal products.",@LLHG饮食不当会导致记忆问题。这包括排除肉类的蛋白质和其他饮食中维生素D和B族维生素的方法，如今大多数人由于工作的性质需要饮食中的维生素D ...在...动物产品中发现。
3898,Ugx_NcPcKBlYcyCeUtV4AaABAg.9Lo-UhkEMIm9OAmqTm-gVQ,1,2 years ago,@walden6272 we didn't even realise when did we got so used to the city life. i am afraid if i ever get so close to nature i might like break down due to joy,@walden6272我们甚至没有意识到什么时候我们习惯了城市生活。恐怕如果我接近大自然，我可能会因为喜悦而崩溃
28185,UgwPo6l1zaLMIMmVLe54AaABAg,1,3 years ago,many people want to be with this nature. i believe so.,许多人想与这种性质保持联系。我相信。
28389,Ugygp78xVWBriKIpRpl4AaABAg.8yYpQT84TRl8ydIWSRGMZT,1,3 years ago,it seems that all human beings lived the same way in the past. nature is the mother of all of us. i miss china.,似乎所有人类过去都以同样的方式生活。大自然是我们所有人的母亲。我想念中国。
20046,Ugy6kc_P-tB_dRWnZdF4AaABAg,1,3 years ago,beautiful lady with a beautiful nature and,美丽的女士，具有美丽的自然和
