,cid,votes,time,含want,含want中文翻译
12405,UgwGsUGLDOxHW25a63p4AaABAg,1,3 years ago,does she really do it herself? i really want to eat her meal. i won't do that she lives like this?,她真的自己做吗？ 我很想吃她的饭
23282,UgxOLqCoVPoXz-_wmiV4AaABAg,1,3 years ago,wow so organic.....i really want to live like this,哇好有机.....我真的很想这样生活
33832,Ugz3gdJmPBQbpHK4RLZ4AaABAg,1,3 years ago,"hi from indonesia! i want to be there soon, i hope! love you!!! ❤️❤️❤️",来自印度尼西亚！我希望很快就在那里！爱你！！！ ❤️❤️❤️
27363,UgxUKzEbI6f5N7KBy254AaABAg,1,3 years ago,"i'm from ksa, i'm very interested in anime, and i want to visit japan someday.",我来自KSA，我对动漫非常感兴趣，我想有一天去日本。
23376,UgyH8B4qmBisIlPgo3t4AaABAg,1,3 years ago,"oh i wanted to live there, there is all good !!!",哦，我想住在那儿，一切都很好！！！
12639,Ugx5_BQJze3Idw16NUt4AaABAg,1,3 years ago,i want to be your brother so i can help you everyday and also can eat lots delicious and healthy foods,我想成为你的兄弟，所以我每天都能为您提供帮助，还可以吃很多美味和健康的食物
23377,UgyPjiNHEObW-62LUxR4AaABAg,1,3 years ago,i want to start,我想开始
10735,UgwRARf6l0C1lMx_FlN4AaABAg,1,3 years ago,i'm pretty sure this is what feeling smitten is like. i'm absolutely in love and i want to live there and help her with all the things she does <3,我很确定这就是感觉的感觉。我绝对恋爱了，我想住在那里，并帮助她做她所做的所有事情<3
28466,UgyYDemtVlYtqyfquGh4AaABAg,1,3 years ago,i want to live with u for somedays,我想和你一起生活
447,Ugx4nfNOUM9sNODnzb14AaABAg,1,5 months ago,"wow, a great video, i am an indian, but i like china, i want to go to china, this is my dream",哇，多棒的视频啊，我是印度人，但我喜欢中国，我想去中国，这是我的梦想
16145,UgwQmwt3bLXwye3i6Xp4AaABAg.92zkaLDVV4u93CNHwTce3q,1,3 years ago,"i agree, with farms like liziqi the kids will learn a lot of lessons, i also want to visit her garden.",我同意，与Liziqi这样的农场，孩子们会学到很多课，我也想参观她的花园。
20022,Ugw5CRZQKwkBzON3PDt4AaABAg,1,3 years ago,whoever wants to go back to my hometown,谁想回到我的家乡
436,Ugzh0AR_sZPNZGa-5yF4AaABAg,1,5 months ago,i want this life,我想要这一生
5968,UgxBZlK643skj4gvMxZ4AaABAg.9FF-ZvuKkMT9FK5T0TISDm,1,2 years ago,"wanting true โค๏ธ love to share happiness๐น
""seeking for someone who wants to share true love & happy life together""
hope to find, out nice warm heart, honesty, faithful, respectful, and sweet partner. ๐น๐’–๐’โ๐•","想要真正的❤️爱分享幸福
“寻求想要共享真正的爱与幸福生活的人”
希望能找到，诚实，忠实，尊重和甜蜜的伴侣，找到美好的心脏，诚实，忠实。"
22430,Ugxf0U_unXMMBm4_65F4AaABAg.9-44izPIuzi9UoSpCto1wv,1,1 year ago,"what is wrong with all you guys? her video is simple. she just want to show that even in this modern world, we should appreciate the coulture, the nature without technology. so her video is just like tutorial and she want to show the lifestyle. simple. i hope all of you enjoy your lifetimes.",你们所有人怎么了？她的视频很简单。她只想表明，即使在这个现代世界中，我们也应该欣赏没有技术的库尔特，大自然。因此，她的视频就像教程一样，她想展示生活方式。简单的。希望大家都喜欢您的一生。
21924,Ugx6FWM-T9bAlv9WLVR4AaABAg.9-OWMw7VpAm90TpqZ1UT9v,1,3 years ago,i want to visit vietnam so much. to eat different food 。,我想这么多访问越南。吃不同的食物。
34963,Ugy0icpBFE6xcCd5UKd4AaABAg.8yUSThEJYE08yUY7xzAj5L,1,3 years ago (edited),"my wife often go back, i want to be a vegetable garden, rarely go back, hahaha",我老婆经常回去，我要頋菜园，很少跟回去，哈哈哈
33526,UgzTOh4iikFll-fIuoF4AaABAg,1,3 years ago,she is so pretty i want to look like that,她是如此漂亮，我想看起来像
22431,Ugy1kKD8N_74PGQAcS54AaABAg.9-3jSt4Dier9-5FpEirWtK,1,3 years ago,"the people's liberation army is in hong kong. if you want to revolutionize the army camp, don't shout nice, okay!",解放军就在香港，要革命去炸军营啊，别光喊着好听，行吗！
7245,UgwhW1BbiVwrclowdTN4AaABAg,1,2 years ago,i want this life so badly,我非常想要这个生活
15168,UgxXIvGMyqY9_YoXmbh4AaABAg,1,3 years ago,omg i want to live there,天哪，我想住在那里
33531,UgyL5kpb4OEEgO2FgzR4AaABAg,1,3 years ago,"i love snail lion powder 螺
the dishes made by ziyi are very special. if you want to learn, the materials are basically not ...","超爱螺狮粉
子柒做的菜都很特别，想学，材料基本都没有……"
19237,UgxJK1IPrTuanKjTnJp4AaABAg,1,3 years ago,"you know at a glance at your hands, you are usually not a hands that are working on farming. do you want to be famous? still filming like doing it!",你的一双手一看就知道平常不是在干农活的一双手，想出名？在做做样子还拍片！
25410,UgxsiAwMM4_RH24L5u94AaABAg,1,3 years ago,"it's so disgusting that half of men comments are about ""oh i want to live with her blah blah""",真是令人作呕，一半的人评论是关于“哦，我想和她的等等”
21894,Ugy4mM2OJp041Nh20GV4AaABAg,1,3 years ago,"if you continue like this they will live over 150 years, you will eat healthy so far away, i want to try it, pate a delight.",如果您继续这样做，他们将生活150年以上，您将在这么远的地方吃健康，我想尝试一下，很高兴。
3198,Ugz11scR6K6YzLHW55h4AaABAg,1,1 year ago,"i want try for a month her life style
lol before sleeping , 
i used my imagination doing her style life 


any one wants to try?","我想尝试一个月她的生活风格
大声笑睡觉前，
我利用自己的想象力做她的风格生活


有人想尝试吗？"
25462,UgzuLZq936O3CCFN6n54AaABAg,1,3 years ago,"when i am watching this videio, i just want to go to a chinese supermarket and buy a luosifen.",当我观看此视频时，我只想去一家中国超市购买luosifen。
7784,Ugyp-ThYUQWQBP4519p4AaABAg,1,2 years ago,i want to go there. ๐โ€โ๏ธ,我想去那里。
2837,UgzPQMgrfg4P3N2ODe54AaABAg.9RHiRgt1C7v9URD7v7CTwd,1,1 year ago,"if you want to know, it's called a tutut snail in my area, indonesia. usually they like to be in the fields",如果您想知道，它被称为我所在地区印度尼西亚的Tutut Snail。通常他们喜欢在田野里
15974,Ugw-3gHeuMzpwgnKECB4AaABAg,1,3 years ago,"i want to live a life like this. peace, quiet, calm, i have to hunt and search for my daily meals.",我想过这样的生活。和平，宁静，镇定，我必须狩猎和寻找我的日常用餐。
30979,UgyO8280ftF4Qn5JOIt4AaABAg.8yVPSboV9tf8yWb6vx5M_p,1,3 years ago,"i know who voted against it, falun gong and those who want taiwan independence.",我知道谁对此投了反对意见，法轮功和那些想要台湾独立的人。
15225,UgyMLbUuQvOEOI0Gk-l4AaABAg,1,3 years ago,please tell me music of this ep. i want to known please please,请告诉我此EP的音乐。我想知道，请
21944,Ugxd88FaSwEhV9dLqxJ4AaABAg,1,3 years ago,"this girl has experienced so many snail powder, and it looks too cool. i really want to take her home!",这妹子做一份螺蛳粉经历这么多工序，看起来太爽了，真想把她抱回家！
3150,UgzrjraHLGx09U9AIrN4AaABAg.9PdVfWKMuEZ9StllFJScNW,1,1 year ago,i wish america had open markets like the rest of the world does. i wish it wasn't about fast food and the same chain restaurants every 3 miles. i try to eat healthy but i want to eat this healthy,我希望美国像世界其他地区一样拥有公开市场。我希望每3英里都与快餐和相同的连锁餐厅有关。我尝试健康吃，但我想吃这个健康的
33434,UgzYXv9FK9xtvbBMpQJ4AaABAg,1,3 years ago,i also want to live a peaceful cs like that ✔,我也想过像这样的和平的CS✔
19597,UgxVVi-nyNGRpdmLs8x4AaABAg,1,3 years ago,"the food looks so delicious. i do really want to eat, hahaha",食物看起来很美味。我真的很想吃饭，哈哈哈
24715,UgzVAY9HNUW0W4jzUy14AaABAg,1,3 years ago,want to know what you photographed in china. essence,想知道你在中国的那边拍的。。
30137,UgyWXJ06DKx-LOs2Znt4AaABAg.8yVi9OOkJYD8yW2JJDyURe,1,3 years ago,"i have been being a chinese for 56 years, i also want to know what they talking about.",我一直是中国人已有56年了，我也想知道他们在说什么。
6898,UgzpkfTjw84ttsFcKR54AaABAg,1,2 years ago,click to see because the cover and click to follow because i want to see the girl who doesn't want to watch other things at all win each time you want the camera to pan to go to the face.,点击查看，因为封面然后点击跟随每次您希望相机摇摆到脸上时赢。
8101,Ugw8w2NKc_W9zmlO00V4AaABAg,1,2 years ago,i forgot what i suppose to look for on youtube! you are incredible! i really want to meet you in person! love from indonesia,我忘记了我想在YouTube上寻找的东西！你太不可思议了！我真的很想亲自见到你！来自印度尼西亚的爱
30081,UgzShmrxL19ZeFQwgM54AaABAg,1,3 years ago,"i want a woman like you in my life, greetings. from the united states new mexico",我想要一个像你这样的女人，问候。来自美国新墨西哥州
30048,UgwSQF45jkXtt6uY5uJ4AaABAg,1,3 years ago,"who are chongqing people here ?? i want to learn chongqing dialect
(i know li ziyi is sichuan ... but i want to learn chongqing dialect)","这里有谁是重庆人??我想学重庆话
(我知道李子柒是四川。。但是我想学重庆话)"
19501,UgyQVZPqKJw-3bpXUWN4AaABAg,1,3 years ago,"if i can really want to stay with her deep in the mountains, hunting and picking farming ...",如果可以我真想和她同宿青山深处，打猎采摘耕种……
15528,UgxEeTe5sJ3vTasKOvV4AaABAg,1,3 years ago,"6:57 loool"" we don't want fermented finger tips and nails""",6:57 LOOOL“我们不想要发酵的指尖和指甲”
16036,UgyXafn9bVSZA4iMQ5J4AaABAg,1,3 years ago,"she's beautiful, i want to marry her.",她很漂亮，我想嫁给她。
6803,UgzCnA9hddUZ91IqMO94AaABAg,1,2 years ago,"everytime everything is happen because of god, it's a god gifted thing she have.
i want to learn by u.","每当一切都因为上帝而发生，这都是她拥有的上帝的天赋。
我想学习你。"
8812,UgwB4v5FcsFKihalqeJ4AaABAg.9AtFvvXQeTp9BNqKjpyJGQ,1,2 years ago,"i myself wanted to try, smart girl",我自己想尝试，聪明的女孩
19446,UgzK5PgSqcJJrwm12HJ4AaABAg,1,3 years ago,i really want to live such a life,我也好想过这样的生活
16038,UgyqUu1d5BxE2viidGN4AaABAg,1,3 years ago,"do you want to win the savings label lottery ???
interesting","您想赢得储蓄标签彩票吗？？？
有趣的"
395,UgwzAmNwsK7pK2h4rvB4AaABAg,1,5 months ago,and the place you live is very beautiful even i want to leave to go,即使我想离开去的地方，你住的地方也很漂亮
16057,UgwFrylfvHWY1UJYKhF4AaABAg,1,3 years ago,"i want to ear so so much
i want to eat that snail powder! intersection","I want to eat that so so much
我超想吃那个螺蛳粉！！"
24670,UgydREOszKEsHJvlcBJ4AaABAg,1,3 years ago,wonderful...i love you... i want ... i can not... i know...,太好了...我爱你...我想要...我不能...我知道...
33219,UgwPZ0yt6zqMWhnn7hd4AaABAg,1,3 years ago,"your videos make me want to move to the mountains, to have a simpler, more meaningful and fulfilled life. i hate the city. thank you for the few minutes of peace. 

ps. it would be great to have the english subtitles again. but i’ll take what i can get.","您的视频使我想搬到山上，拥有更简单，更有意义和充实的生活。我讨厌这座城市。谢谢您的和平几分钟。

PS。再次拥有英文字幕将是很棒的。但是我会拿走我能得到的。"
30162,UgwWM9IhmV8tDVFywNx4AaABAg,1,3 years ago,"when i saw the moment with a frog, i wanted to shout the runners run. =)",当我看到青蛙那一刻时，我想大喊跑步者跑步。 =）
29036,UgzVX1s3HdmhWmmILgN4AaABAg.8yXyAuH9Z1Y8ybCLHMOgOU,1,3 years ago,"@martishakryll4937 i, honestly, did not think about it, do you think they eat them all the same ??? i don't want to think about it, but still the video is beautiful, thanks for the clarification !!! it was nice to talk, good luck !!",@martishakryll4937 i，老实说，我没有考虑过，你认为他们都吃了一样吗？？？我不想考虑它，但是视频仍然很漂亮，谢谢您的澄清！
868,Ugy2MmNzOr0L1lKRZMB4AaABAg,1,11 months ago,is your beloved? i really want to 見 where are you?,心爱的人妳好吗？我真的很想見妳在哪里呢？
14501,Ugx43G7-sHJHxIN5BTR4AaABAg,1,3 years ago,i'm getting tired of her work.if i got chance i want to help her.,我对她的工作感到厌倦。如果有机会帮助她。
28775,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g97Cnv7RbQ2Y,1,3 years ago,"hi . i want to marry you،
i'm moslem and i'm from 
saudi arabia.","你好 。我想和你结婚，
我是穆斯林，我来自
沙特阿拉伯。"
25116,Ugyu100yc_UWXEErAhV4AaABAg.8z81w0-jNYd8zEskSVV7zb,1,3 years ago,"hi, achio khiam
actually if we want to check why it is haram.
then check medically, pork meat can carry some germs which can be transfer to your brain and that germ will start increasing its size in there.
sorry to bother you, it's not someone can force you to eat or not eat something, it is just to share info to secure everyone from any pain.","嗨，Achio Khiam
实际上，如果我们想检查为什么是Haram。
然后检查医疗，猪肉可以携带一些细菌，这些细菌可以转移到您的大脑中，并且该细菌将开始增加其大小。
抱歉打扰您，没有人可以强迫您吃东西或不吃东西，而是为了分享信息以保护所有人免于任何痛苦。"
21052,Ugwb5Gp9E8xSuHYF_Z94AaABAg,1,3 years ago,mother! i want to eat snail powder! intersection intersection,妈妈！我想吃螺蛳粉！！！
10401,UgyEs1o7148wB15m5eF4AaABAg,1,3 years ago,you have great ideas to make anything you want out in the forest n that's awesome work you do honey as a friend,您有很棒的主意可以在森林中做任何您想要的东西，这是很棒的工作，您作为朋友做亲爱的
3234,Ugz59VnM0ndOZvabv6t4AaABAg,1,1 year ago,i want to merry you,我想让你快乐
10233,UgxJAOf1EnQQz0H8zld4AaABAg,1,3 years ago,beautiful! i want you to marry me ... i'm confident that this person will be happy!,美丽的！我要你嫁给我...我相信这个人会很高兴！
3539,Ugy5eGUZU9RJvMazudF4AaABAg.9NvtqVXNXHX9NxSDXuyX6f,1,2 years ago,"@eocosmos, i have also thought about what you said, but as far as my personal understanding may be related to her personal video positioning. in this fast -paced life, the video is too long, and not many people will spend time watching. if you just teach you how to cook and make handmade products, there are a lot of teaching videos for handicrafts and handicrafts on the internet. and, this kind of video often shows the content of the assembly line, which can be seen in poor appreciation. if you do n’t just want to learn to make a certain dish or a certain handmade product, you may not want to watch this video.
其实看了这么多她的视频，我觉得她视频更多的是展示每个视频主题的内在的文化属性，比如小麦的一生，她不是教你怎么种小麦，也不是教你怎么做菜，而it is the process of displaying wheat sowing, irrigation, growth, mature harvesting, to the use of wheat in the end, etc., showing the entire cultural attributes of wheat. through this video display method, almost all of the people are very friendly, the audience is also wider, it is more helpful for personal video promotion","@eocosmos 你所说的情况我也有想过，但就我个人的理解，或许跟她个人的视频定位有关。在这快节奏的生活里，视频做的太长，没多少人会花时间去看，如果只是单纯的要教大家如何做菜做手工品，网上有大把的做菜做手工品的教学视频，而且，这类视频往往展示的是流水线的内容，可观赏性会比较差，如果你不是刚好想学习做某个菜或某个手工品，可能你都不想看这个视频。
其实看了这么多她的视频，我觉得她视频更多的是展示每个视频主题的内在的文化属性，比如小麦的一生，她不是教你怎么种小麦，也不是教你怎么做菜，而是展示小麦的播种，灌溉，生长，成熟收割，到最后小麦的用途等等过程，展示的是小麦的整个文化属性。通过这种视频展示方式，几乎对所有人群都非常友好，受众也更广，对于个人的视频推广也是更有助益的"
15779,UgybHhTG9zDr1OhWNXx4AaABAg,1,3 years ago,"jieyu is in the people, but no car and horse noise
ask jun he nenger, he is far away from his heart
under the east fence of cai ju, see nanshan leisurely
the mountains and the day are good, and the birds are still
there is a true meaning here, forgot to say that you want to distinguish

living in the world, but with the noise of horses and chariots. ask me why i can be so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so, the is long as the high-minded, naturally will feel that the places select d. under the east hedge picking chrysanthemum, leisurely, that distant nanshan into view. the size of the mountains and the science is very good, with birds, with a companion to return. this contains the true of life , want to identify, but do not know how to express.","结庐在人境，而无车马喧
问君何能尔，心远地自偏
采菊东篱下，悠然见南山
山气日夕佳，飞鸟相与还
此中有真意，欲辨已忘言

Living in the world, but without the noise of horses and chariots. Ask me why I can be so, as long as the high-minded, naturally will feel that the place is secluded. Under the east hedge picking chrysanthemum, leisurely, that distant Nanshan into view. The smell of the mountains and the scenery of the evening is very good, with birds, with a companion to return. This contains the true meaning of life, want to identify, but do not know how to express."
30488,UgzNguPINaQxJA8jtWN4AaABAg.8yVeMJpA51Y8yVzVHK556J,1,3 years ago,i already want to japan,我已经想去日本
4141,Ugx2Bn8O1FroGaCiTYp4AaABAg.9Kg2fh5IS3A9aIvWMNhnk2,1,1 year ago,i want to know are bamboo sprouts?,我想知道竹芽吗？
7280,UgzbbSEavKtOOj5wZb54AaABAg,1,2 years ago (edited),"us mexicans like to eat snail soup too. so yummy! i want to try the sichuan version as well. maybe i can observe and make the recipe just by watching.
edit: certain regions of mexico","美国墨西哥人也喜欢吃蜗牛汤。很好吃！我也想尝试四川版本。也许我可以通过观看来观察并制作食谱。
编辑：墨西哥的某些地区"
4121,UgzvF3TstQ6o6glu-u54AaABAg,1,2 years ago,look so yummy~~~want to try this delicacy~~~,看起来好吃~~~想尝试这个美味~~~
21042,UgxkrObHOijL99TcRXV4AaABAg,1,3 years ago,"i want to marry this fairy as a wife, how good should it be haha",我要能娶这位仙子做妻子该多好 哈哈
9994,UgzgBLwdlBaQW9t5BrN4AaABAg,1,3 years ago,just after eating two bowls of rice now i want to come to a bowl of powder again,刚吃完两碗饭 现在又想来碗粉
28757,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g96aai6fgXxo,1,3 years ago,"@franzpeters3824 she has a company to sell her products as as as as billionaire. she doesnot need to speak a radicaloulous foreign language. and same you yon nursing 懂 懂 说 你 你 你 你 你 你 你 个 个 间 间 间 间 间 间 间 间 间 间 间 间 间 间table two skins. what is the problem with not speaking english? i speak four languages, do you want you? คุณ ่ อ อ.",@franzpeters3824她有一家公司可以出售自己的产品，就像亿万富翁。间间间间间间表两个皮。不说英语的问题是什么？我说四种语言，你想要你吗？ คุณ่อ。
3340,UgwckWf_xOYkr64eNKl4AaABAg,1,1 year ago,"on the fairyland of the world, the shooting is very popular. i still want to see it after seeing it. i just smell the fragrance, and i have no bothering my brain in an instant. thank you!",人间仙境，拍的令人摄受，看了还想再看，光看都闻到香味似的，瞬间也没了烦脑。谢谢妳！
25638,UgzfXwRxbydrN61QcMh4AaABAg,1,3 years ago,it looks so peaceful and you want to stay with this c,它看起来很宁静，您想和这个C在一起
22583,UgwOmhNcXJUluURnR6B4AaABAg.9--5CrdeP009-BRhULN5JA,1,3 years ago,"@kateydid18 she can be whatever she want,she is li ziqi...for me she is amazing ...even if she is bi,gay,or straight she could have the possibility to be mother in the way she want to be by natural way,or adoption ...we have so much love and admiration for her that we dont want her amazing skills to be forgotten or stop with her...just that...we just want more from her...
she is free and wise...and we need to respect who she is,and her choices... no matter what...
(sorry about my bad english :) )","@kateydid18她可以成为自己想要的一切，她是李齐（Li Ziqi）...对我来说，她很棒...即使她是双性恋，同性恋或直率，她也可以像她想成为母亲一样成为母亲自然的方式或收养...我们对她充满爱心和钦佩，我们不希望她的惊人技能被遗忘或与她停下来...只是……我们只希望从她那里得到更多...
她是自由和明智的...我们需要尊重她是谁，以及她的选择...无论如何...
（对不起，我的英语不好:)）"
31273,UgwxuTLnKLMMRNIcK-14AaABAg,1,3 years ago,"thank you!
here is the life that each person should build now.

despite the seasons in japan, there is no discomfort in my current life.
i'm used to it.

let's change little by little.

there is a way, just because you do not notice yourself.
i will teach you.
please comment to those who want to change quickly.
how rich is this person?
know yourself.

i want to be rich!
if you want to incorporate a life that is not swayed by money, please comment.","谢谢你！
这是每个人现在应该建立的生活。

尽管在日本有季节，但我目前的生活没有不适。
我习惯了。

让我们一点一点地改变。

有一种方法，只是因为您没有注意到自己。
我会教你。
请给那些想快速改变的人发表评论。
这个人有多富有？
认识你自己。

我想变得富有！
如果您想结合不受金钱影响的生活，请发表评论。"
5969,UgxBZlK643skj4gvMxZ4AaABAg.9FF-ZvuKkMT9FK5UUKQCvp,1,2 years ago,"i am a simple people who want to meet a serious partner, polite and calm. i hate lies, hypocrisy and stupidity. i want a good life with my partner for her who will respect me and love me for who i am. if you are interested here is my whatsapp. 491782570178",我是一个简单的人，想见一个认真的伴侣，礼貌而镇定。我讨厌撒谎，虚伪和愚蠢。我想要与我的伴侣一起度过美好的生活，她会尊重我并爱我的身份。如果您感兴趣的话，这是我的WhatsApp。 491782570178
6297,UgwXFUVWzG2US_K6TjF4AaABAg,1,2 years ago (edited),delicious <<<โ€”โ€”โ€”like if you want eat the same :d,美味<<< - - - 如果您想吃同样的东西：D
30629,UgxGOimLQx4hSU_RHeZ4AaABAg,1,3 years ago,that looks really good makes me want to cook bamboo for supper but i have to wait another 6 months before the bamboo starts to shoot.,看起来真的很好，我想煮竹子吃晚饭，但是我必须再等6个月才能开始射击。
31140,Ugw2WElkzBoP_jXGvpJ4AaABAg.8yVLRYLxVO89-BdGz17bfM,1,3 years ago,@marshabarnes5935 you can make it less spicy if you want if you're the one cooking you can control the heat,@Marshabarnes5935，如果您愿意的话，您可以减少辣味
28544,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g8yzBgzkl-jb,1,3 years ago,"@derekzou1977 obviously you understand what i want to say, hahahahahahahaha!","@derekzou1977 很明显你明白我要说的是什么意思,哈哈哈哈哈哈哈哈!"
29569,UgyWgmgkpwig_oG_ynV4AaABAg,1,3 years ago,"whoever wants to see if you want to turn off the subtitles, read the subtitles and lose interest",谁想看看您是否想关闭字幕，阅读字幕并失去兴趣
18732,Ugx-u5XZRFdFibjFAEx4AaABAg,1,3 years ago (edited),i want to marry a mother -in -law like a room,我想娶一房这样的婆姨
21719,UgypmOWCJIqicRBC5w14AaABAg,1,3 years ago,what you want is actually not that much,您想要的实际上不是那么多
23969,Ugwh4der2eqSx_-Hs854AaABAg.8zYsBoxpIri8z_Sxu9kVes,0,3 years ago,if we want ，we could climb the wall to surf the foreign network like me. hahaha,如果愿意，我们可以爬墙像我一样冲浪外国网络。哈哈哈
24719,UgyG3effq21gODtyYUN4AaABAg,0,3 years ago,"hearing that insects sound, watching the relaxing place and smell of that place i can feel it here.. i want to be there. its so satisfying",听到昆虫的声音，看着那个地方的放松场所和气味，我在这里感觉到。我想在那里。它是如此令人满意
24115,UgyII603hkYaPygkB4Z4AaABAg,0,3 years ago,i want to ask what song name is the name of the background music. essence ask for answering,我想问背景音乐叫什么歌曲名字。。求回答
34437,UgwptJI-ghDrSyrpmMN4AaABAg.8yUUFOJa2Xg8yUdPhEERjY,0,3 years ago,i want to be with her ❤,我想和她在一起❤
21168,UgyaZdgElevDtC8CESB4AaABAg,0,3 years ago,i'm wondering why i want to live in the city,我想知道为什么我想住在这座城市
24050,UgzRS6xKK6VikJxPMjh4AaABAg,0,3 years ago,i really want to take a bite of guangxi snail powder when studying abroad,在国外留学真的好想嗦一口广西螺蛳粉
24110,UgxMUUIMU-w2wB3X7Tp4AaABAg,0,3 years ago,"sweet, halbnah, i want to go",甜蜜，哈尔纳，我想去
25033,Ugw2pno11ceWzmrdwjN4AaABAg,0,3 years ago,paradize i want to mary her,Paradize我想让她玛丽
24773,UgzBEREz1fF1iTP0pll4AaABAg,0,3 years ago,now i want to come to a bowl of snails (• ̥́ ˍ • ̀ू) so hungry,现在就想来碗螺蛳粉( •̥́ ˍ •̀ू )好饿
24022,UgwmBNgFETK-NPx7eE14AaABAg,0,3 years ago,i think if the video without music will be better because we want to hear the nature sound.,我认为，如果没有音乐的视频会更好，因为我们想听听自然声音。
24990,UgykG-Yypb4EG6iBiI54AaABAg.8zA389pIhAV8zPTE4Prgzf,0,3 years ago,"@user-pk2uv1nz4c, do you want me to go to my house to find her? hehe.",@user-pk2uv1nz4c 你要我去我家找她吗？呵呵。
24985,UgykG-Yypb4EG6iBiI54AaABAg.8zA389pIhAV8zH_f_BvzyB,0,3 years ago,"zhonghua zai does not want a big team, even these ingredients are uncertain. you think the plant is so rich in her house near her house. think too much. do you think the mushroom fungus grows out?",中华仔 不要大团队，连这些食材都搞不定。种地砍树你以为物产真这么丰富都在她家附近啊。想多了。你以为蘑菇木耳丢哪就长出来啊？
24026,UgyUlBeOZ8BW4LT0QXJ4AaABAg,0,3 years ago,i just want to be your daughter,我只想成为你的女儿
24047,UgyQUHbkpp2DNuHbV-54AaABAg,0,3 years ago,"one of the most talented women ever i have seen,,,, i want to marry her",我见过的最有才华的女人之一，我想嫁给她
21204,Ugz4zOkYX7X-qokGwTp4AaABAg,0,3 years ago,i love you video i want to live like this..,我爱你的视频，我想这样生活。
24090,UgzphOSjm98I5Y6EeKp4AaABAg,0,3 years ago,i really want to eat snail powder,好想吃螺蛳粉
24787,Ugys9O3K4Ea7T5K3Vk54AaABAg,0,3 years ago,i want her to be my wife,我希望她成为我的妻子
24078,UgzeDMBiWsCnMTHVfUJ4AaABAg,0,3 years ago,want to cry,想哭了
24436,UgyZmZVBaCMkUVHLR6d4AaABAg,0,3 years ago,"i want to go there, your place was so nice and quiet.",我想去那里，你的住所是如此安静。
24133,Ugx7ShhID6IWEDI9oE54AaABAg,0,3 years ago,"want to live in a village like this. take care of nature, don't hurt nature",想住在这样的村庄。照顾自然，不要伤害大自然
24523,UgxJ2jFdC7szh7HQ-YB4AaABAg,0,3 years ago,i want a wife like her,我想要一个像她这样的妻子
24618,UgxBRyiWEUchJ7iJ-zd4AaABAg,0,3 years ago,"i do not know what she cooks, but my saliva is flowing. explain to me what it is. i want it to try it.",我不知道她煮了什么，但是我的唾液正在流动。向我解释它是什么。我希望它可以尝试。
24362,UgxE6vdyZWOo4SHECMB4AaABAg,0,3 years ago,i want to live there,我想住在那里
24372,UgyRXcxgn7KvR1a5qVt4AaABAg,0,3 years ago,too good ...i real want u dish made from your hand,太好了...我真正想要你用你的菜
24596,Ugxllho9pEtoAPwTz1p4AaABAg,0,3 years ago,wow. i want to marry this girl,哇。我想嫁给这个女孩
24587,UgzsZbMzj1QpupFjNp14AaABAg,0,3 years ago,want to eat straps roll into the kitchen,想要吃皮带滚入厨房
24544,UgzeC1L2u_dIsOoBeO14AaABAg,0,3 years ago,liziqui i wanted to eat nuts so much,丽兹基，我想吃很多坚果
24496,UgyZzfULeBw4VopV7vt4AaABAg,0,3 years ago,i want to eat,好想吃
21266,UgzUccf3Yo3I--Hq5794AaABAg,0,3 years ago,it looks delicious. someday i want to try your food,看起来很好吃。总有一天，我想尝试你的食物
24394,UgxrowgkVbbCcojQtJ54AaABAg,0,3 years ago,i want to have children with you,我想和你一起生孩子
24395,UgwOicg0YZfugoXiQOx4AaABAg,0,3 years ago,i want to marry you princess,我想嫁给你公主
24408,UgxWyDPCqqaNZu1AAPp4AaABAg,0,3 years ago,"really heaven of the earth your home town 
i also want to live this life","真的是地球上的天堂，您的家乡
我也想过这辈子"
24479,UgyY6wN2-izrGRfIbKV4AaABAg,0,3 years ago,"it's so spicy, i want to eat such spicy otitis media",太辣了吧，我要吃这么辣一定中耳炎的
24410,UgycoeW63j7r5vKNyD14AaABAg,0,3 years ago,tao yuanming’s taohuayuan is not this kind of life that i want away from fanchen to live a carefree life.,陶渊明的桃花源何尝不是想要的这种生活 远离凡尘 过着无忧无虑的生活 哪像现在的我们
34480,UgyfeyjRnf-tPVssCoR4AaABAg,0,3 years ago,"today i went back to school and found that c came out more than 10 minutes ago, unfortunately i couldn't see it sooner. always supporting c ❤️ e is vietnamese, recording my mother tongue may not understand but i still want to write to express my heart. love",今天，我回到学校，发现C出现了10分钟以上，不幸的是，我再也看不到它。总是支持c❤️E是越南人，写我的母语可能不理解，但我仍然想写信来表达我的心。爱
24624,UgwJU5q3E4QgHiACOSR4AaABAg,0,3 years ago,vietsub reads and wants to die =)))),vietsub读取并想要死=））））））
21222,UgxEXsHb5_OPvs7Xo5h4AaABAg,0,3 years ago,do you want to buy crickets ?,你想买板球吗？
24143,UgzqCrNIl_p8zUCMo-p4AaABAg,0,3 years ago,liziqi do you keep disciples? i want to be taught by you,liziqi你保留门徒吗？我想被你教
