,cid,votes,time,含want,含want中文翻译
11021,Ugz9iZYm-ruPe5R8D1F4AaABAg,6,2 years ago,"i too want to live a life where there is no one to interfere in my life where i could grow vegetables myself before my meal in my small farm and there is no needless peeping around. i get irritated by people who peep at me. they do not believe in living life peacefully, but spend their lives in mischiefs of others.",我也想过上一种生活，在我的生活中没有人可以干扰我在小农场用餐前可以种蔬菜，而且无需窥视。偷看我的人感到恼火。他们不和平地相信生活，而是在他人的恶作剧中度过一生。
16855,UgwQ5pUnA9teppT8xC14AaABAg,6,3 years ago,i guess they're making it and selling it. i want to eat it. it looks delicious.,我想他们正在做并出售它。我想吃。看起来很好吃。
4775,UgwRzIHHiutWhLhsNSp4AaABAg,6,1 year ago,"me watching this: i want to live in the rural side also

then i realize that i lived in the rural side","我看着这个：我也想住在农村

然后我意识到我住在农村"
27588,UgzQwnmjnXh7tNb6x3V4AaABAg,6,3 years ago,"thatโ€s it. iโ€m moving to china or idk where the heck this place is....



when iโ€m done w college or going to college. 
i want this lifestyle.","就是这样。我要搬到这个地方到处的中国或IDK。



当我完成大学或上大学时。
我想要这种生活方式。"
1729,UgyPBtl1WQcovNWYrzV4AaABAg.9bSj7v8JG7c9iR9PiWjaXD,6,7 months ago,"she can't post the video now, it's not that she doesn't want to come back, it is the company that belongs to the company.",她现在发不了视频了，不是她不想回来，是这个帐号是属于公司的，不让她发她也发不了
33139,UgyT2raurSU4kK8bWeF4AaABAg,6,4 years ago,"japanese hands
i like this video, so i want you to stay in japan (*ยดโ€`) โช","日本手
我喜欢这个视频，所以我希望你留在日本（*´∀`）♪"
25662,UgzsuyYqpWh-NROlzkF4AaABAg.9-6D8C6Q_lL9-yP0VMnW0T,6,3 years ago,"world oา“ ส€ึ…สษplay what else do you know except tiananmen?? how many years passed, you guys canโ€t say anything but tiananmen, cuz there are too many great things in china but little wrong thing and you always clung to it. even an developing country canโ€t explore their road? why canโ€t see yourself country? why you always are biased to the government of china ? my uncle has been experienced with tiananmen . he told us the truth is similar as the document that government openness. before you talk about this why canโ€t you go to see the website of government, they have public six pages documentation about the tiananmen . every media has its own ideology . should our media make efforts to propagate the tiananmen??cant understand you. your media have your ideology, so you can see too many fake and negative things about china .but however they resort , china is just be there, and the people here are happy for their live,they are freedom to learn what they interest in, travel where they love to and buy what they want to buy ,and they have a understand and contain and dialectical heart.",世界oғғ ^播放除了天安门，你还知道什么？多少年过去了，除了天安门，你什么也没说，因为中国有太多伟大的事情，但不错的事情，你总是坚持不懈。即使是发展中国家也无法探索他们的道路？为什么看不到自己的国家？为什么您总是偏向中国政府？我的叔叔与天安门经历过。他告诉我们，事实与政府开放的文件类似。在您谈论这件事之前，为什么您不能去看政府网站，他们有关于Tiananmen的公开六页文档。每个媒体都有自己的意识形态。我们的媒体应该努力传播天安门吗？您的媒体有您的意识形态，因此您可以看到有关中国的假冒和负面事情。但是，他们求助，中国只是在那里，而这里的人们为自己的生活感到高兴，他们可以自由地了解他们对什么兴趣，他们喜欢去的地方旅行并购买他们想要购买的东西，并且他们有理解和围绕辩证的心。
26070,UgwbcBgUdIfXWeQE-SZ4AaABAg.8zpxgw6y6kQ8zuoSIwmJtX,6,3 years ago,@minjeonglee3953 you think you want it now because it's cute. what about taking care of it or when it gets older and not so cute anymore? โบ,@Minjeonglee3953您认为您现在想要它，因为它很可爱。照顾好它或不再那么可爱的时候如何？ ☺
13416,Ugy1r1ukYlGOCEX02C94AaABAg.9BoMps1mmw-9CVlbj6i-Tw,6,2 years ago,@writeinchinese i wanted to friend with you. and with other peaceful chinese people❤️ my country dont like china also me but only on the ccp and its supporters. i love peaceful chinese cuz i have chinese classmates and friends too ij my school hehe. they are christian chinese.,@writeinchinese我想和你成为朋友。与其他和平的中国人民❤️我的国家也不喜欢中国，但仅在CCP及其支持者身上。我喜欢宁静的中国，因为我也有中国同学和朋友，我的学校也是如此。他们是基督教中国人。
13430,Ugy1r1ukYlGOCEX02C94AaABAg.9BoMps1mmw-9D42--H2r7c,6,2 years ago,"kapil singh there are no social media being banned in china , they decided to pull out fb google etc because they don’t want to comply with chinese law , fair enough i suppose but china has the right to impose their local law too wether u think is right or wrong so it’s just not correct that western media say china banned this and banned that",卡皮尔·辛格（Kapil Singh）在中国没有被禁止的社交媒体，他们决定撤出FB Google等是对还是错，所以西方媒体说中国禁止这一点并禁止
33819,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48yTYnQj1TXo,6,3 years ago,"@cessdejesus620 - hi, i'm sorry that it made you cry. i have seen all of her videos since, but this particular video made me miss my childhood. you see my family lived in l.a., california and at 11 we moved up to washington state. we moved around a few times until we found the community that suited us and we became strawberry farmers. we had 1 milk cow and a handful of chickens, but the acres upon acres of strawberries made us farmers. lol. i was a pre-teen and i wanted money to have nicer things, so my parents gave me an acre to tend and all benefits were mine.
the hard work and solitary times allowed me to grow up intellectually. i miss those days because everything i did yielded the effort i put into it and i had physical proof of my efforts. that is to say the first year yeilded poor results because i only wanted to be a teenager, yet the second year produced beautiful premium strawberries because i didn't want the worth of my efforts to be so unsavory. i learned and did a lot of different farming activities as we expanded to a year around farm, but having the best strawberries at 13 made the life style a landmark in my maturity and gave me my best ""self"" at the age of 13.
i am reaching my elderly years now and i have lived my life in many different places, but i am once again in washington state and deep down, i know that this is how life is actually suppose to be. we yeild from life what we put into life.","@cessdejesus620-嗨，很抱歉它使您哭泣。从那以后，我看到了她所有的视频，但是这个特殊的视频使我想念我的童年。您会看到我的家人住在加利福尼亚州洛杉矶，我们搬到了华盛顿州。我们大约几次，直到找到适合我们的社区，并成为草莓农民。我们有1只奶牛和少量鸡，但是英亩的草莓上的英亩使我们成为了农民。哈哈。我是青春期前的，我希望钱能拥有更好的东西，所以我的父母给了我一英亩的趋势，所有的好处都是我的。
艰苦的工作和孤独的时期使我能够在智力上成长。我想念那些日子，因为我所做的一切都付出了我所做的努力，并且我有身体上的努力证明。也就是说，第一年的成绩不佳，因为我只想成为一个少年，但是第二年就生产出了美丽的优质草莓，因为我不希望自己的努力如此不愉快。当我们扩展到农场周围的一年时，我学习并做了许多不同的农业活动，但是在13岁时拥有最好的草莓使生活方式成为我的成熟度中的地标，并在13岁时给了我我最好的“自我”。
我现在已经到达了我的老年，我已经在许多不同的地方过着自己的生活，但是我再次在华盛顿州和深处，我知道这就是生活实际上应该是的。我们从生活中付出的一切。"
21791,Ugy7hAlrhiGOW4UxzV94AaABAg,6,3 years ago,i want to know whoโ€s the videographer? because video and camera lens are perfect.,我想知道谁是摄影师？因为视频和相机镜头非常完美。
48609,UgwDDg4p6jvMWDfV3SV4AaABAg,6,4 years ago,"there are many grapefruit on the ground, i really want to help you pick it up ...",地上好多柚子，好想帮你去捡...
18202,UgzJBhuaA5svpXUcve94AaABAg,6,3 years ago (edited),"i love how that puppy at the beginning was watching her do that like ""ooh maybe i learn something. wait what was that?"" hahaha

edit: also the stuff she is cooking looks sooo good. it makes me hungry.

edit #2: meanwhile i'm still growing potatoes.

edit #3: that puppy near the end was like: ""awww i want some "" haha he/she is so cute.","我喜欢那只小狗一开始看着她做的，就像“哦，也许我学到了一些东西。等等？”哈哈哈

编辑：她正在烹饪的东西看起来很好。这让我饿了。

编辑＃2：与此同时，我仍在种土豆。

编辑＃3：末尾的那只小狗就像：“噢，我想要一些"
50175,UgxDhnbX6jG1lxjbTTB4AaABAg,6,4 years ago,dog want love too.....this is asian meth,狗也想要爱.....这是亚洲冰毒
17626,UgzNv4azBWM4KY1hR414AaABAg.97m90yxmeTh98AQIr4XPqn,6,3 years ago,"her parents divorced when she was a kid. after her stepmother abused her, she went back to grandma and grew up with them. due to poverty, she dropped out of school at 14 and went to big city and tried to make a living. she moved back to village to take care of her sick grandma and started filming her life in rural. i wouldn’t argue whether it’s fake or not. she created a life that many ppl wants to own. given her background, what an achievement!",她的父母小时候离婚。继母虐待她后，她回到奶奶，和他们一起长大。由于贫困，她在14岁时辍学，去了大城市，试图谋生。她搬回村庄照顾自己的奶奶，并开始在农村拍摄自己的生活。我不会争论是否是假的。她创造了许多人想要拥有的生活。鉴于她的背景，这是一项成就！
2983,UgxNvbg3jVHWU7L27AB4AaABAg.9VNt_6ullwN9_JgD_hbAHC,6,1 year ago,"i like you too. her life is hard, but i want to live in it",我也喜欢你。她的生活很艰难，但我想活在其中
27205,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB8zeKc8tvMX6,6,3 years ago,"she is pretty girl, how we can find her in facebook? maybe somebody want help her?",她是漂亮的女孩，我们如何在Facebook中找到她？也许有人要帮助她？
37555,UgypSsAyPvklZn9t2fR4AaABAg.8tzM12v9aMP8uD9cW883gl,5,4 years ago,of course you can ๐ anyone can be anything they want right? just takes dedication.,当然，您可以
28152,UgxV6wwjOWPppmiiUF54AaABAg.8ylbPgnyalM8zTy-dhCFmE,5,3 years ago,"for thousands of years, human beings have been interested in other cultures. that is why trade has been so important. japanese and koreans learned a lot from the chinese and then built on that. sometimes, we love too much and want to take over, rule and take the resources that make the culture thrive. so, please think about that. it gives you a reason to learn something ancient and preserve it for future generations, even if it's a simple poem or song.",数千年来，人类一直对其他文化感兴趣。这就是为什么贸易如此重要的原因。日本人和韩国人从中国人那里学到了很多东西，然后以此为基础。有时，我们太喜欢了，想接管，统治和夺走使文化蓬勃发展的资源。所以，请考虑一下。它使您有理由学习一些古老的东西并为子孙后代保存它，即使这是一首简单的诗或歌曲。
10991,UgzVXwN2Sk-mZ8X4ecJ4AaABAg,5,2 years ago,"if you are new here, here is absolutely everything you need to know about liziqi ( li ziyi ): 

in 1990, li ziyi fell to the ground in mianyang, sichuan. her parents divorced when she was very young. later, her father died, and li ziyi became an orphan. his stepmother didnโ€t treat her well. li zizhen mentioned on weibo that he had had a half-dead experience when his stepmother dragged her hair into the gutter and was beaten. 

grandpa and grandma distressed granddaughter, and finally decided to take li ziyu home and live. when li ziyi was in fifth grade, his grandfather died again, and it was difficult for his grandma to raise her to continue school. at the age of 14, li ziyi had to drop out of school and go to the city alone to work hard, and began an 8-year wandering life. her first life was very hard. she slept in a park chair and scratched her head for two months. 

li ziyi has also worked as a waiter in a hotel, with a monthly salary of 300 yuan. in order to earn more income, she went to learn to play discs and sang in the bar. later, when talking about the matter, li zizhen frankly said: โ€i didnโ€t say that i liked music at that time, just to live, i felt that it was well paid.โ€ 

in 2012, because grandma was ill once, li ziyi was worried that she would regret it later, throwing away all work and returning to grandma. โ€being closer, i feel more at ease.โ€ 

after returning, li ziyi opened a taobao shop, but the business has been up and running, and he barely eats. in 2015, under the influence of his younger brother, li ziyi was exposed to the short video platform meipai. until 2016, seeing that his younger brother had some fans on meipai, and holding more fans can improve the mentality of taobao business, li ziyi re-entered meipai to prepare for his own video program. 

the reason why she chose to shoot videos in this style is closely related to her childhood environment. 

in an interview with the living room of sina club, li ziyi mentioned, โ€all these things that are self-sufficient in the countryside, for me, they are jealous. in the short video, she chose to start from the most familiar places. 

in the beginning, li ziyi gave himself a topic called โ€four seasons change, eat while you eatโ€. after the suggestion of meipai editor, it became โ€ancient foodโ€ and it is still used today. 

in september 2016, a new opportunity came quietly, which also became an important promoter for li ziyu to get more attention in the future. sina weibo began to openly search for more outstanding short video creators for resource support. 

as mentioned at the beginning of the article, liu tongming brought her weibo resources support. 

one day in september 2016, li feng, an ancient short video blogger, accidentally received a private weibo message from โ€mr. lโ€. mr. l expressed his love for li ziyuโ€s video content, felt that he had fulfilled his taoyuan dream, and hoped to meet her. 

for a long time after that, li ziyi received mr. lโ€s private letter. โ€it would be a shame for such a good video to let this person see it. this is uschinaโ€s proud traditional culture should be seen by people in china and around the world. โ€mr. l said in a private message. 

at first, after seeing these private messages, li ziyi didnโ€t care too much, even worrying about encountering a liar. until one day, mr. l came to the city where li zizhen was, and wanted to ask her to have a meal and talk. mr. lโ€s politeness and clear logical thinking made li slowly drop his initial alert. 

this accidental meeting has completely changed the life trajectory of li zizhen. not long after the meal was over, with the help of mr. l, li zizheng was supported by a large wave of resources on sina weibo, accelerating her popularity and allowing li zizhen to rush into the queue of the net influencer on the head. 

this experience is partly recorded in a diary of li zizheng that year. some insiders close to the senior executives of weinian technology confirmed to tencentโ€s โ€shenwangโ€ that the โ€mr. lโ€ is actually liu tongming, and his pseudonym was publicly reported. daxiong liu, the founder of wei nian technology, an mcn company to which li zizhen now belongs. 

on december 8th, the reading volume of a weibo topic labeled โ€is li ziyi a cultural outputโ€ climbed to 800 million. li zizheng was once again on the hot search list. 

the video created by li ziyi and her has become a phenomenon worthy of study now. 

extensive overseas communication is an important reason for li zihuanโ€s renewed attention. some people say that she has filmed a desirable rural life and spread the charm of traditional chinese culture and cuisine. others think that her video is not completely true to reflect chinaโ€s rural life. 

even the queries that have been popular since the explosion have been brought up again, such as being a dj, being a rich second generation, whether the video is from my own hands, is there a strong push behind it, and the video is true for rural life itโ€s still just a fiction for character setting. 

an insider of weinian technology told tencentโ€s โ€deep webโ€ that li ziyi was of ordinary origin, and the relevant video content was produced by li ziyi himself. the popularity was not the initiative of the company and himself. in fact, both li zihuan and the micro-reading team behind him were quite low-key, and they were very enthusiastic and declined all the current interview needs. 

until august 17, 2018, li ziyiโ€s eponymous tmall store officially opened. six days after going online, the store with only five products at that time had sales of over 150,000 and sales of over 10 million. a year later, the total sales of 21 products displayed in the li zizhen flagship store exceeded 1.3 million, with total sales reaching 71 million. 
the value behind li ziyiโ€s ip is being quickly tapped. 

li ziyi started from scratch and gained the first fans with his own strength. but now the popularity and gains of fame and fortune are obviously no longer just her achievements. 
according to tianyan search, โ€deep webโ€ shows that mcn hangzhou weinian technology co., ltd., which li ziyi belongs to, was established on february 28, 2013, with a registered capital of rmb 5.208 million. according to the introduction, wei nian is an entertainment entertainment company that incubates kol into ip through short videos and extends to consumer brands. 

the information of qixinbao shows that there are more than 100 pieces of intellectual property information of the trademark โ€li zihuanโ€. the applicant companies are hangzhou weinian technology co., ltd. the product categories include food, clothing, shoes and hats, dyes and fats, beer and beverages, financial property management, catering and accommodation. 

not only that, wei nian also has inextricable links with li ziyuโ€s companies. 

according to the eye inspection, li jiajia (should be the original name of li ziyu) established sichuan ziyu culture communication co., ltd. on july 20, 2017, and wei nian is its shareholder, holding 51% of the shares. supervisor, li jiajia holds 49% of the shares. 

according to other data, there are as many as 50 beneficiary companies behind hangzhou weinian technology co., ltd., including greenland holdings, zte, xinhua media, vanke, light media, etc. . 
among the shareholders of weinian technology, sina weibo is particularly eye-catching. 

from wei nian technology to sina weibo, li ziyi gradually has the best cards that internet celebrities are looking forward to. 
in her own words, she changed from โ€a little transparent to a person who is so useless to societyโ€. after entering the public view and being noticed by more people, li ziyiโ€s sense of responsibility has also become heavier. 
โ€i want to do what i can to do more things that are good for society, such as the spread of traditional culture, non-heritage cultural craftsmen, and i want to show these old things to everyone so that more people know. li ziyi said. 

source: https://www.ww01.net/en/archives/33757","如果您在这里是新手，那么这绝对是您需要了解的有关Liziqi（Li Ziyi）的一切：

1990年，李齐伊（Li Ziyi）跌倒在四川米扬（Mianyang）。她的父母很小的时候就离婚了。后来，她的父亲去世了，李齐伊成为孤儿。他的继母对她不好。李·齐兴（Li Zizhen）在微博上提到，当他的继母将头发拖入排水沟并被殴打时，他有半死的经历。

爷爷和奶奶使孙女感到沮丧，最后决定带李Ziyu回家。当李齐伊（Li Ziyi）五年级时，他的祖父再次去世，他的祖母很难抚养她继续上学。李齐（Li Ziyi）在14岁时不得不辍学，独自去城市努力工作，并开始了八年的流浪生活。她的第一人生非常艰难。她睡在公园椅上，挠头两个月。

Li Ziyi还曾在酒店担任服务生，每月薪水为300元。为了赚取更多的收入，她去学习演奏唱片并在酒吧里唱歌。后来，在谈论此事时，李·齐兴（Li Zizhen）坦率地说：“我不是说当时我喜欢音乐，只是为了生活，我觉得这是付出的。”

2012年，由于奶奶曾经生病，李齐伊（Li Ziyi）担心她后来会后悔，扔掉所有工作并返回奶奶。 “靠近，我感到更加放松。”

返回后，李Ziyi开了一家淘宝商店，但业务一直在运行，他几乎没有吃饭。 2015年，在他的弟弟的影响下，李齐伊（Li Ziyi）接触了短视频平台Meipai。直到2016年，看到他的弟弟在Meipai上有一些粉丝，并且拥有更多的粉丝可以改善淘宝业务的心态，Li Ziyi重新进入Meipai，为自己的视频节目做准备。

她之所以选择以这种风格拍摄视频与她的童年环境密切相关的原因。

李·齐（Li Ziyi）在接受西那俱乐部（Nina Club）的客厅采访时说：“所有这些在农村自给自足的事情，对我来说，它们嫉妒。在简短的视频中，她选择从最熟悉的地方开始。

一开始，李齐伊（Li Ziyi）称自己为“四个季节变化，吃饭时吃饭”。在Meipai编辑的建议之后，它变成了“古老的食物”，并且今天仍然使用。

2016年9月，一个新的机会悄悄地出现了，这也成为李Zyu将来更加关注的重要推动者。 Sina Weibo开始公开寻找更多出色的简短视频创建者以获得资源支持。

正如文章开头所述，刘·汤明（Liu Tongming）为她带来了微博的资源支持。

2016年9月的一天，古老的简短视频博客作者Li Feng意外收到了“先生先生的私人微博消息”。 L”。 L先生表达了对李Ziyu的视频内容的热爱，觉得他已经实现了他的作陶王的梦，并希望与她见面。

此后很长一段时间，Li Ziyi收到了L先生的私人信。 “这样一个好视频让这个人看到它是可惜的。这是中国和世界各地的人们应该看到USCHINA骄傲的传统文化。 “先生。我在一条私人消息中说。

起初，在看到这些私人消息后，李Ziyi并不在乎太多，甚至不必担心遇到骗子。直到一天，L先生来到了李·齐兴（Li Zizhen）所在的城市，并想请她吃饭和聊天。 L先生的礼貌和清晰的逻辑思维使李慢慢地放弃了最初的警报。

这次偶然的会议彻底改变了李·齐兴（Li Zizhen）的生活轨迹。用餐结束后不久，在L先生的帮助下，李·Zizheng（Li Zizheng）得到了Sina Weibo的大量资源的支持，加快了她的知名度，并允许Li Zizhen赶到头部网络影响者的排队。

这种经历部分记录在那年的李Zizheng日记中。一些与温尼安技术高级管理人员接近的内部人士证实了腾讯的“申旺”，即“先生先生L”实际上是刘·汤明（Liu Tongming），他的化名是公开报道的。 Wei Nian Technology的创始人Daxiong Liu是Li Zizhen现在属于的MCN公司。

12月8日，一个标有“是文化产出”的微博主题的阅读量攀升至8亿。李Zizheng再次在热门搜索列表中。

Li Ziyi和她创建的视频现在已成为一个值得研究的现象。

广泛的海外沟通是李齐伊安（Li Zihuan）重新关注的重要原因。有人说她已经拍摄了理想的乡村生活，并传播了中国传统文化和美食的魅力。其他人则认为她的视频并非完全正确地反映中国的乡村生活。

自从爆炸再次提出以来一直很受欢迎的疑问，例如成为DJ，成为富人的第二代，无论是我自己的视频，是否有强烈的推动力，视频是真的对于农村生活，这仍然是角色环境的小说。

Weinian Technology的一位内部人士告诉Tencent的“ Deep Web”，Li Ziyi是普通的，相关的视频内容是由Li Ziyi本人制作的。受欢迎程度不是公司和他本人的倡议。实际上，他背后的李·齐伊安（Li Zihuan）和微读团队都非常低调，他们非常热情，拒绝了当前的所有采访需求。

直到2018年8月17日，Li Ziyi的同名TMALL商店正式开业。上网六天后，当时只有五种产品的商店的销售额超过150,000，销售额超过1000万。一年后，李Zizhen旗舰店展示的21种产品的总销售额超过130万，总销售额达到7100万。
Li Ziyi的IP背后的价值正在迅速挖掘。

Li Ziyi从头开始，并以自己的力量获得了第一批粉丝。但是现在，声名和财富的受欢迎程度和收益显然不再只是她的成就。
根据Tianyan Search的说法，“ Deep Web”表明，Li Ziyi属于的McN Hangzhou Weinian Technology Co.，Ltd。于2013年2月28日成立，其注册资本为5.208亿元。根据引言，Wei Nian是一家娱乐娱乐公司，通过简短的视频将KOL孵化为IP，并扩展到消费者品牌。

Qixinbao的信息表明，商标“ Li Zihuan”有100多种知识产权信息。申请人公司是Hangzhou Weinian Technology Co.，Ltd。产品类别包括食品，服装，鞋子和帽子，染料和脂肪，染料和脂肪，啤酒和饮料，金融物业管理，餐饮和住宿。

不仅如此，Wei Nian还与Li Ziyu的公司建立了不可忽视的联系。

根据眼睛检查，李亚吉亚（应该是李祖的原始名称）于2017年7月20日成立了四川Ziyu文化传播公司有限公司。主管Li Jiajia持有49％的股份。

根据其他数据，Hangzhou Weinian Technology Co.，Ltd。的背后有多达50家受益公司，包括Greenland Holdings，ZTE，新华社媒体，Vanke，Light Media等。
在Weinian技术的股东中，Sina Weibo特别引人注目。

从Wei Nian Technology到Sina Weibo，Li Ziyi逐渐拥有互联网名人期待的最佳卡片。
用她自己的话说，她从“有点透明变成了一个对社会无用的人”。在进入公众观点并被更多人注意到之后，李齐的责任感也变得更加重。
“我想尽我所能，做更多对社会有益的事情，例如传统文化，非遗产文化工匠的传播，我想向所有人展示这些旧事物，以便更多的人知道。李Ziyi说。

资料来源：https：//www.ww01.net/en/archives/33757"
6882,Ugw-GiaDBPg5A3cQPyN4AaABAg,5,2 years ago,"i want to see this way of survival, only in russia: ddddddddd",我想看到这种生存方式，只有在俄罗斯：ddddddddd
35054,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8vVsHdTUO8t,5,4 years ago,"if you all feel like you want to do something productive, pick up hobbies instead of being glued to a screen. i think a great hobby to pick up is to learn a musical instrument. i got a violin recently and i feel great learning something new; and i'm sure you can too :)
have a nice day ^^/","如果大家都觉得自己想做一些富有成效的事情，请拿起爱好而不是被粘在屏幕上。我认为要捡到的一个伟大的爱好是学习乐器。我最近得到了小提琴，学习新东西感到很高兴。我敢肯定你也可以:)
祝你有美好的一天^^/"
30062,UgyGvyzMo1bu0qqzCp54AaABAg,5,3 years ago,"who doesn't have korean subtitles, i'm watching on the weekend. i definitely want to go there,,",谁没有韩国字幕，我在周末看着。我绝对想去那里，
30132,UgwuZpYWUJmsZqmhdLh4AaABAg.8xJbLxxntd79N0qrVRd5wA,5,2 years ago,the people who want to comment about her eating her pets because she's chinese. life must suck for you. this girl is making tons of money off these videos and here you are getting drowned in spit from her fans.,想评论她吃宠物的人，因为她是中国人。生活必须为你吮吸。这个女孩从这些视频中赚了很多钱，在这里，您的粉丝被吐口水淹没了。
51960,UgySE0Jn9j9q1VXpWR54AaABAg,5,4 years ago,"oops ~ i look like it, i really want to live in ziyi’s house",哎呀～我看着都馋，好想住在子柒家
46572,UgyZKLANMDq2uctGTll4AaABAg,5,4 years ago (edited),"how can there be such a virtuous woman, looking at her figure with one hand, there is a sense of happiness and the atmosphere of the chinese new year. ... is it most of the girls in the country? i want to go to the end such a wife, if, everything in front of me is true ... a inexplicable movement",怎么会有如此贤慧的女人，看着她一手一作的身形，就很有种幸福感与过年的气氛了，…乡间的女孩，大多是这样吗？这样的老婆，打死我也要到底，如果，眼前所看一切都是真的……一种莫名的感动
33799,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48x_iz1ytxD6,5,3 years ago,"not a fan of the simple country life, isabella hidalgo? 
it is present in every culture and country. 

born and bred city dwellers want it, and people from the country who have lived in the city for years, long to go back.

we live in cities, but they're not our natural habitat","不喜欢简单的乡村生活，伊莎贝拉·伊达尔戈（Isabella Hidalgo）？
它存在于每个文化和国家。

出生和繁殖的城市居民想要它，来自该国生活了多年的人们，渴望回去。

我们住在城市，但它们不是我们的自然栖息地"
27228,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB8zwrfYhxrZq,5,3 years ago,it's really inspiring. her videos makes me really want to meet her in person and visit her hometown. love from india โค๏ธ,这真的很鼓舞人心。她的视频使我真的想亲自见她并参观她的家乡。来自印度的爱❤️
48528,UgyklUqYt3lQKlQVPNZ4AaABAg.8qmpdK4kzrT8qnesDZU4u4,5,4 years ago,"i really want to see how you pick dung and pour vegetables. do you think that behind these beautiful work is not hard work? there will be no stuffing cakes in the sky. if you do n’t pay, you will not gain!",很想看看你挑粪浇菜的样子，你以为这些美好的背后，不是辛苦的劳作吗，天上不会掉馅儿饼，没有付出，就没有收获！
23991,UgynpgWK5YQwiH8rkyx4AaABAg,5,3 years ago,whenever i watch her videos it makes me want to live there for ever,每当我观看她的视频时，都会让我想永远住在那里
17617,UgzNv4azBWM4KY1hR414AaABAg.97m90yxmeTh983zUWghqzH,5,3 years ago,"heardistance i feel that i am talking about cows and pysteria and ducks. i feel that you don't understand what is the time of the years that many young people are yearning for many young people in china. you even lack some basic respect and education of foreign culture. what do you want to show here and what people want to show here to share the idyllic life. you talk to me here about me, japan and south korea ... does it have anything to do with me? is it related to this video?",heardistance 我感觉我在对牛谈琴 鸡同鸭讲 我感觉你根本就不懂什么叫意境 中国很多年轻人向往的岁月静好 你甚至缺乏一些基本的对外来文化的尊重和教养 还有这个姑娘在这里想表现什么和你想在这里表现什么 人家分享田园生活 你在这里跟我谈美国日本韩国...跟我有关系吗？跟这个视频有关系吗？
44522,UgzBma7N-nUO0OJU7t54AaABAg,5,4 years ago,"friends want to eat your food, but you can get it",朋友想要吃你的食物，但你可以得到它
