,cid,votes,含culture,含culture中文翻译
2460,UgxEssLRgO4gML-qjup4AaABAg,4,"Chinese food culture is extensive and profound ❤ Sichuan people said that people are in a foreign country, and the most nostalgic is the taste of rotten meat cowpeuts made by mothers when she was a child! Intersection I miss it so much",中国食文化博大精深❤四川人表示，人在异乡，最怀念的还是小时候妈妈做的烂肉豇豆
18232,UgzsHZsR0J2sPs3rcJV4AaABAg.92Z2Qf802hp92hpt4TuVUT,4,@sometimesitdown food of north is absolutely not what you called garbage.If you want respected then show your respect to other culture and different lifestyle.,@Sometimesitdown北部的食物绝对不是您所说的垃圾。如果您想受到尊重，然后表现出对其他文化和不同生活方式的尊重。
10676,UgxqSpb3Gk81b3ZvGH54AaABAg.98VupjufjU799_77-l3-eY,3,"@mohammedharoon8453 i dont have sth against moslem. But i dislike that everybody tend to associate chinese & the culture with CCP while theyre NOT... Just like the name Mohammad gets associated with terrorist. Boy! What a world! Even u Mr. Mohammad Haroon... U know how it feels to be bullied by western people just bc of ur name. .. But u do that also to the chinese! Its u who had started to say bad things about Liziqi... Despite her AWESOME work & talents !!
Its useless to speak to someone like u. Byeee!","@Mohammedharoon8453我没有STH对阵穆斯林。但是，我不喜欢每个人都倾向于将中国和文化与CCP联系在一起，而他们却没有……就像穆罕默德这个名字与恐怖分子相关。男生！真是个世界！甚至你，穆罕默德·哈伦（Mohammad Haroon）先生...你知道只有你名字的西方人被西方人欺负的感觉。 ..但是你也对中国人做到了！它开始对利兹基说坏话...尽管她的工作和才华很棒！！
与像你这样的人说话是毫无用处的。 byeee！"
17384,UgzpONnO8ysIUopexzB4AaABAg.92knIKq5sJf92myMfVHydV,3,"China government is suck, but the Chinese people and culture is great.",中国政府很糟糕，但中国人民和文化很棒。
9030,UgzhzWVbJJOaHS4REKt4AaABAg.9AX5_LiL_FU9AhVhlsJb9J,3,"Rl Rwngle 
Good points thank you. Honestly I havenโ€t been to India or Russia and my observations were totally based on my personal impressions. What I really wanted to present was an interesting difference in attitudes towards life, and my own understanding to a traditional Chinese lifestyle. And I understand there are such differences and similarities between every two cultures. Thank you for pointing out.","rl rwngle
好点谢谢你。老实说，我没有去过印度或俄罗斯，我的观察完全是基于我的个人印象。我真正想提出的是对生活的态度和对中国传统生活方式的理解的有趣差异。我知道每两种文化之间存在这种差异和相似之处。谢谢您指出的。"
15411,UgxM6M0zpu3k7SD32RR4AaABAg.93FjALA-hss99Im5pKMniy,3,"@straitarrow5784 She started this totally on her own. She used to shoot and edit all by herself. Now I think she has a team. After she became famous, the government also noticed her and praised her for showing the Chinese culture to the world. But I think she is doing a better job to show the Chinese culture to the world than the Chinese government.",@straitarrow5784她完全自己启动了这一点。她曾经自己拍摄和编辑。现在我认为她有一个团队。出名后，政府还注意到她，并称赞她向世界展示了中国文化。但是我认为她比中国政府做得更好，向世界展示中国文化。
100,UgzIX6v6qNFz5C4zBx94AaABAg.9qE0PYZQ1zp9qHvyoC-3vA,3,"She has terminated her contract with her company due to some issues. They took too much of the royalties out of her videos when she did all the job. They couldn't convinced her anymore so she just stop making any videos. I heard she's now doing some tour around other countries to demonstrate China's culture. She pretty much doing fine. I miss her videos as well, but she had chose her right. I always come back to her old videos whenever I feel pretty stress out. Probably hope one day she'll come back again .",由于某些问题，她已终止与公司的合同。当她完成所有工作时，他们从她的视频中取出了太多的特许权使用费。他们再也无法说服她了，所以她停止制作任何视频。我听说她现在正在其他国家进行一些巡回演出，以展示中国的文化。她几乎很好。我也想念她的视频，但她选择了她的正确性。每当我感到非常压力时，我总是回到她的旧视频。可能希望有一天她会再次回来。
11482,UgzR0OW8k9dCN0m1oNJ4AaABAg,3,Wow...I'm new to this channel and you are so beautiful and talented. I enjoy your videos and food. I love your culture and country. So so beautiful !,哇...我是这个频道的新手，您是如此美丽和才华。我喜欢你的视频和食物。我爱你的文化和国家。如此美丽！
28217,UgzvUXzlx4Hpc_AfBAB4AaABAg.8yZtNJOZ_7p8yhM8M9i6UG,3,"those who believe in disney princesses gonna tell you that she's doing all by herself and a borther and an assistant; but the truth is, this is the tourism department of the gvt of china producing high quality vlogs to promote its culture. its monitized with a huge production team behind it.",那些相信迪士尼公主的人会告诉你，她自己是自己做的，一个鲍瑟和助手。但事实是，这是中国GVT的旅游局，生产高质量的视频博客来促进其文化。它在其背后的一支庞大的生产团队中进行了监视。
10673,UgxqSpb3Gk81b3ZvGH54AaABAg.98VupjufjU799_3glC_4LY,2,"@mohammedharoon8453 im not a CCP... But im an overseas chinese...
Thats why i know that it is vids about 5.000 years of Chinese Village Culture... Not about CCP
Actually Liziqi only needs CCP support for security guards
I feel very proud that Chinese has the most advanced culinary& farming culture in the world
A peaceful culture , not a civilization/culture that based on guns bombs / robberies
Ur just jealous. Shame on u","@Mohammedharoon8453我不是CCP ...但是我是海外的中国人...
这就是为什么我知道这是中国乡村文化约5。000年的视频...与CCP
实际上，利兹奇（Liziqi）只需要CCP支持安全警卫
我为中国人拥有世界上最先进的烹饪和农业文化而感到自豪。
一种和平的文化，而不是基于枪支炸弹 /抢劫的文明 /文化
你只是嫉妒。对u"
14065,UgwMMchXSHiNr6Dp4714AaABAg.94X-OXeU5p894qzmPhTPjM,2,"Hi, im a filipino but admire this kind of living, specially Chinese culture.. I believed we should not blame any one..",嗨，我是菲律宾人，但欣赏这种生活，特别是中国文化..我相信我们不应该责怪任何人。
18525,UgwFsgKBe50sBFkQ9xF4AaABAg.92TZpu48m6092_kl483hi0,2,"How to say, boring or not, the most important thing is your mood.
Behind Li Ziyi's video is definitely a very professional video team. It can have more than 7 million fans on overseas media, which has always been revenge, and most of them are foreigners. I think this is enough, which is worthy of our support. The most lacking in China is more cultural exporters, allowing more foreigners to understand Chinese culture instead of being guided by false negative reports of anti -Chinese media all day. By this point alone, it is worth supporting! Intersection Intersection","怎么说呢，枯燥与否，最重要的是你的心境。
李子柒的视频背后肯定是一个相当专业的视频团队来做的。能在一向仇华的海外媒体上拥有七百多万粉丝，而且大部分是外国人。我觉得这就够了，这就非常值得我们去支持她。当前的中国最缺少的就是更多的文化输出者，让更多的外国人了解中国文化，而不是整天被反华媒体的虚假负面报道所引导。单凭这一点，就值得支持！！！"
20641,Ugz0HdTG-Kc9Bd9JOFZ4AaABAg.90frsqbFNBE913ffVhocuG,2,"Jacky Phantom I am speechless. Know part of a country's history and attack people from there for that reason because it has to be their fault! You, wherever you are from, please stop insulting your origin by talking to me like that. I had no ill intentions replying to you in the first place, but I don't like how you brought our conversation to this end. What does this piece of information has to do with what I said or what Ziqi posted? This is not somewhere you want to brag about you newly-learned knowledge towards someone's homeland and come up showing off with them because it gets personal. Many ethnic minorities are not driven out, but the people choose to convert because that fits the modern lifestyle better. Plus, many southern ethnic minorities are getting awareness from the government and given protection by helping them booming tourism so that they can make a living withholding their traditions and customs. On the other hand, the U.S. undoubtedly invaded the indigenous people on N.A. and Hawaii islands, and try talk to Americans with that piece of information and see if they would think you so genius or the other way around. If you happen to be American, perfect, seems like my country isn't hardly as bad as yours speaking of invading, oh no, killing, indigenous people, let alone the culture. I know that I won't be able to overturn your negativity towards China and I don't want to leave you even more downside impressions on us, but I sincerely hope that you would one day drop that bias and look slightly more into the positive side -- because every country is more than what you can read in the media.",Jacky Phantom我无语。知道一个国家历史的一部分，并因此从那里攻击人们，因为这必须是他们的错！无论您来自哪里，请不要再与我交谈，不要再侮辱您的来源。首先，我对您没有任何不良意图，但是我不喜欢您将我们的谈话带到这一目标。这条信息与我所说的内容或Ziqi发布的内容有什么关系？这不是您想吹牛的地方，因为您是个人的，因为它是个人的，因此对某人的家园进行了新的知识并与他们一起炫耀。许多少数民族并没有被驱逐出境，但是人们选择convert依，因为这更适合现代生活方式。另外，许多南部少数民族正在从政府中获得认识，并通过帮助他们蓬勃发展的旅游业来保护他们，以便他们可以谋生自己的传统和习俗。另一方面，美国无疑入侵了北卡罗来纳州和夏威夷群岛的土著人民，并尝试用这片信息与美国人交谈，看看他们是否会认为您是如此天才或相反的方式。如果您碰巧是美国人，那么完美，看来我的国家并不像您说入侵的人那样糟糕，哦，不，杀人，土著人，更不用说文化了。我知道我将无法推翻您对中国的消极情绪，我不想让您对我们有更多的下行印象，但我真诚地希望您有一天会放弃这种偏见，并使您更加偏向积极方面 - 因为每个国家都比您在媒体上阅读的内容还要多。
16280,Ugy0kCO-C8c4ew6Z5aZ4AaABAg,2,"When you watch this video its like your in a haze, so relaxing and calm. Good break from the hustle and bustle of working in the city! Gotta visit China soon and learn about my cultural heritage, right now my perspective is muddled by western culture, so harsh and abbrrasive specially for my children. Keep up the videos!",当您观看此视频时，它就像您的阴霾一样，令人放松和镇定。从城市工作的喧嚣中度过了良好的休息！要尽快参观中国并了解我的文化遗产，现在我的观点被西方文化所困扰，这对我的孩子们来说是如此苛刻和宽容。保持视频！
15829,Ugz9yIW0_sTfOVZcda54AaABAg.933dWSf5Viy936hC-8Dy95,2,shelly G old Chinese culture spirit for this in fact，so we do really for peace ，friendly and hardworking . hello from a 5000years’ country . nice day lady.,雪莉·古老的中国文化精神实际上是为了，所以我们确实为和平，友好而勤奋而做。您好，来自5000年的国家。美好的一天女士。
18657,Ugzji7WoQS6IgFJIOvh4AaABAg.92QI8efM4zn92WlOdQPWPq,2,Chinese farming culture is not as comfortable and clean as her picture,中国农耕文化可没不像她画面里这样惬意与干净
19971,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq92OfFvu5vAB,2,"@xiwang9653 no I think they are from chinese as well. there are a lot of chinese people that try to discredit her and what she does. it's sad because people from other countries generally support her, it's always the chinese comments that try to defame her. instead of supporting her for sharing our culture and heritage with the world, they choose to attack her. so shame on them",@xiwang9653不，我认为它们也来自中文。有很多中国人试图抹黑她和她的工作。这很可悲，因为来自其他国家的人们通常会支持她，这总是中国的评论试图诽谤她。他们选择攻击她，而不是支持她与世界分享我们的文化和遗产。所以对他们感到羞耻
7854,UgzbZsdwFVGgHSA12yl4AaABAg.9CNVtbLkub_9DywGBXEKcb,2,I guess we the North east Indians inherits the same culture as China...esp. food habits....,我猜我们东北印度人继承了与中国相同的文化...尤其是。食物习惯...
22792,UgwbW0QYhT8cIrfODzh4AaABAg.8zvknA9f6wx9-7tbVooHHO,2,Many asians cultures don't hug,许多亚洲文化不拥抱
28364,Ugw4oagRSrnkZ2PMqUR4AaABAg.8yZ1XUUU0pf8yduaog1-KE,2,"Chad hk Your tribe and culture is beautiful, one of India’s best part our lovely Northeast! Happy Independence Day girl",乍得香港您的部落和文化很美，这是印度最好的东北地区之一！独立日快乐的女孩
33106,Ugx8FE089Sxi_DFEwzV4AaABAg,2,"I really like your videos - the aesthetic, the rustic ambience, the culture, the cinematography, the music, the variety of knowledge and skills you display - everything is just perfection. You make countryside lifestyle romantic, calming, and dare I say much better than urban lifestyle. ❤",我真的很喜欢您的视频 - 美学，乡村氛围，文化，摄影，音乐，您展示的知识和技能的多样性 - 一切都是完美的。您使乡村的生活方式浪漫，镇定和敢于说，我说的要比城市生活方式好得多。 ❤
32918,Ugz3FH_-93t-gEqVUdx4AaABAg.8yUkS5gmmql8yVBV-4_Soo,2,"@Richubai3863 Every small detail you raised, Miss Li will make people feel Chinese culture, the kind of peaceful, quiet and quiet beauty!",@richubai3863 你举的每个小细节，李小姐都会让人感受到中华文化，那种传承那种祥和，幽雅宁静的美好!
31092,UgxD4M4eN8wTeVGPihB4AaABAg,2,Love your cooking and wonderful culture love from the Philippines,爱你的烹饪和菲律宾的美妙文化爱情
29532,Ugw7pdGvQF_fd0s96zJ4AaABAg.8yWiBLps9B58yc05Qz4AXj,2,"Actually this place she is in is likely somewhat similar to the terrains you speak of. It is the rural part of china where everything is still rather underdeveloped. But if its the cities, I'm sure you've seen pictures of Beijing and shanghai. It is quite different so it actually ranges from place to place. Every city has its own culture. Forgive the rude asshats above.",实际上，她所在的地方可能与您所说的地形有些相似。它是中国的农村地区，那里的一切仍然不发达。但是，如果是城市，我敢肯定，您已经看过北京和上海的照片。它完全不同，因此实际上范围从地点到地点不等。每个城市都有自己的文化。原谅上面的粗鲁混蛋。
4487,Ugzj2Yk28J8Y2fosqYR4AaABAg.9JVbXgTfIBn9N4hv0Fuqy7,2,"to be honest it’s kind of understandable. i wouldn’t want to people adopt my culture and call it themselves. we as turkish people have been facing the same thing as greeks call yoğurt greek yoghurt, armenians call lahmacun as armenian pizza and say that baklava is theirs.",老实说，这是可以理解的。我不想让别人收养我的文化并自己称呼它。作为土耳其人，我们一直面临着与希腊人称Yoğurt希腊酸奶的同一件事，亚美尼亚人将拉哈马湖称为亚美尼亚披萨，并说巴克拉瓦是他们的披萨。
29292,UgyEs_NiFKuIkvZ-kmF4AaABAg,2,I am tired of this corporate culture. Please adopt me.,我厌倦了这种企业文化。请收养我。
4640,UgyqlJVXVRBt5hYfviJ4AaABAg.9JC7ArXt6XW9JKqww4Kk2E,2,"@User-SG8CW1UH1H is sober, you are brainwashed. There is only one South Korea in the country where the president is a criminal ~ hahaha ~ Every time the Koreans call the whole world, the world is not polite, rude, no culture",@user-sg8cw1uh1h 清醒点吧，你们才是被洗脑的。总统是罪犯的国家全世界只有韩国一个吧～哈哈哈～每次都是韩国人叫嚷着全世界都是你们的，没有礼貌、粗鲁、没有文化
28788,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g97Sr7M7uNl8,2,@Franzpeters3824 China’s culture is profound! Why learn English? hehe,@franzpeters3824 中国的文化博大精深！为什么学英文？呵呵
28734,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g954XVx_cVCs,2,@franzpeters3824 People who always associate something with politics are very disgusting. You hate her because you can't be like her. U dont have culture like china.,@franzpeters3824始终将某件事与政治联系在一起的人非常令人恶心。你恨她，因为你不能像她一样。你没有像中国这样的文化。
4887,UgwBdL8RFnlKoh0KJ0V4AaABAg.9INZ0ibBT3R9LPLlQAdpov,2,"China ruled korea for some years, so the chinese culture and food must have influenced the korean culture and food too. But they refuse to admit it",中国统治了韩国多年，因此中国文化和食品也一定也影响了韩国文化和食物。但是他们拒绝承认
28365,Ugw4oagRSrnkZ2PMqUR4AaABAg.8yZ1XUUU0pf8yf2lMXKUsC,2,"Everything is everything. Leave people to describe their own culture and identity, don't try and define it for them. Listen! And learn.",一切都是一切。让人们描述自己的文化和身份，不要尝试为他们定义它。听！并学习。
5557,UgyPfQVCmcMRazmFZ414AaABAg,2,"Chinese food culture is great and colorful
Various tools for wooden bowls are","中国饮食文化很棒
各种木碗工具是"
15412,UgxM6M0zpu3k7SD32RR4AaABAg.93FjALA-hss99ImNEhdYvA,2,@straitarrow5784 Are you serious?? Do you know the fact?? Is this your culture which you can just judge people on your own assumption?? You have a bad culture.,@straitarrow5784你是认真的吗？你知道事实吗？这是您的文化，您可以按照自己的假设来评判人们？你的文化不好。
25301,UgxR_DtKa6iSD_I_L6Z4AaABAg,2,"Ziyi, your video is very comfortable to watch, inspire me a lot, let me find the meaning of life, it also makes people understand a lot of things, and your video reveals that the ancients of our Han nationality are revealed culture! Where can I find the truth of life.",子柒，你的视频让人看了很舒服，给我的启发很大，让我找到了生活的意义，也让人理解了很多事，还有你的视频里透露着一股咱们汉族的古文化！哪里才能找到人生的真理。
7680,UgySRDc3K_wBYeTYAo54AaABAg,2,It's can be stored for future used . that was so amazing..we used it that was part of our culture,它可以存储以供将来使用。真是太神奇了..我们用它是我们文化的一部分
15560,Ugzs0OFClBd2ZixVge54AaABAg,2,Very feeling of pastoral culture,很有感觉的田园文化
17936,UgwjnMK5FF3RTD_992V4AaABAg,1,"Chinese culture, vast and profound, especially for thousands of years, have never stopped studying",中国文化，博大精深，特别是在吃的方面几千年来，从未停过钻研
34445,UgzJtbKqrW6y5ln2dwt4AaABAg,1,This beauty and creativity deserve a billion subscribers Very cool. Greetings channel world agriculture,这种美丽和创造力值得十亿个订户非常酷。问候频道世界农业
33641,Ugx5AA0ahm_fK4wqCH54AaABAg,1,i wish chinese resturants served food like this in the u.s. it makes you miss out of true culture.,我希望中国餐馆在美国提供这样的食物它使您错过了真正的文化。
24267,UgylFFxjSQizSBSjFap4AaABAg,1,such a beautiful culture,如此美丽的文化
25115,Ugyu100yc_UWXEErAhV4AaABAg.8z81w0-jNYd8zDGJKDZqZi,1,@abc_cba respect every religion and culture buddy. Don't be too rude.,@ABC_CBA尊重每个宗教和文化好友。不要太粗鲁。
32453,UgxEq822L4qbt6rHv114AaABAg,1,"Pretty similar culture with my home town, Indonesia, Jogjakarta",与我的家乡，印度尼西亚，jogjakarta
19393,UgygYJ-UKI8MgPfQ3dh4AaABAg,1,"Not only are your videos interesting but beautifuly done, it's a pleasure to learn your culture with such good videos. Thank you very much for that.",您的视频不仅有趣，而且完成了精美的效果，而且很高兴通过如此好的视频来学习您的文化。非常感谢你。
19366,UgxWWLZSky29EJsezpp4AaABAg.91x8OZLdB6P92EhCx2zPsU,1,no，its not ghibli，its Chinese traditional culture,不，它不是吉卜力，它的中国传统文化
18653,UgypQZCQXma8Eja0LMh4AaABAg,1,"oh，her videos are the best of Chinese traditional food ，i promise.Not only because of her beauty,but also her videos let me know so much about traditional food and traditional culture in countryside,which i hardly heard before.As you can see im a chinese.",哦，她的视频是中国传统食物中最好的，我保证。不仅是因为她的美丽，而且她的视频也让我知道了很多关于乡村的传统食物和传统文化的信息，我以前几乎听不到。我是中国人。
28220,UgzvUXzlx4Hpc_AfBAB4AaABAg.8yZtNJOZ_7p8yiMraPlMKb,1,"@StarGirl-up2zr I didn't say it wasn't beautiful, otherwise I would have stoped watching these videos. But I love them. 

I love chinese I culture, and I love the idea of using vloging in this smart sharp way to promote it, I hope my country does the same.","@stargirl-up2zr我不是说它不是美丽的，否则我会停止观看这些视频。但是我爱他们。

我喜欢中国文化，我喜欢以这种聪明的敏锐方式使用视频博客来推广它的想法，我希望我的国家也这样做。"
26619,UgxI7K9WUToTuV3rr2l4AaABAg,1,I love your videos! So much tradition and culture to see and appreciate. Thank you!,我爱你的视频！如此多的传统和文化，可以看到和欣赏。谢谢你！
28833,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g98myv_6v1Bn,1,"@franzpeters3824 Since when speaking English becomes a symbol of 'upper class? I can speak 4 different languages from different language families and cultures, and I never think I m a 'upper class' because of it. You are over-proud of what you can do possibly because u can do it ONLY.",@franzpeters3824自从说英语时，英语成为上层阶级的象征？我可以说来自不同语言家庭和文化的4种不同语言，因此我从不认为我是“上层阶级”。您可能会做些什么，因为您只能做到这一点。
27137,Ugwmtjh9VsGhhbjO5B14AaABAg.8yhcoZfdDkT8yjO389-DBT,1,Japanese people do not need to have subtitles and understand video content. This is because the source of Japanese culture is Chinese culture.,日本人不需要具有字幕并了解视频内容。这是因为日本文化的来源是中国文化。
28638,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g91IsCpIhfbw,1,@franzpeters3824 we have a happy life without speaking English and all we need is these. (Northeast India) and these is my culture,@franzpeters3824我们没有说英语，我们过着幸福的生活，我们需要的只是这些。 （印度东北部），这是我的文化
28135,UgxFE3hfl0iNTd205554AaABAg,1,Thank you for promoting Chinese culture; it is difficult to find a Chinese comments,谢谢你推广中华文化；找个中文评论好难
28219,UgzvUXzlx4Hpc_AfBAB4AaABAg.8yZtNJOZ_7p8yhbDV4PRHb,1,"@MendezMirango iam not against your view ..lets consider that china is promoting their culture ... but jst see how beautiful it is ....how pure these ingridinets are and chinese culture is 

(Not being rude though)

Utube is a free platform ..even u can promote ur culture","@mendezmirango iam不反对您的观点。

（虽然不是粗鲁）

utube是一个免费的平台..即使您可以促进您的文化"
22797,UgwCtrn85QVsgIbXxiZ4AaABAg,1,This girl came out of a fairy tale ........ Very beautiful culture,这个女孩来自一个童话故事........非常美丽的文化
18626,Ugw-4ZcCGQMb7Of6XvF4AaABAg.92QSySm3B1D92hqHzdfnqQ,1,"Pedro c interesting, even the process of ""tearing down"" our culture is still a part of our culture, history is always looping tearing down and building up. 
the point is who can define right and wrong? obviously not u","佩德罗（Pedro C）有趣的是，即使是“拆除”我们的文化的过程仍然是我们文化的一部分，历史总是在摇摆并建立。
关键是谁能定义对与错？显然不是你"
18600,Ugw-4ZcCGQMb7Of6XvF4AaABAg.92QSySm3B1D92WP11-2TpC,1,"@Weisong4402 The good poems written by Mao Zedong are all a cultural symbol. The original intention of breaking the old four is good, but there is indeed a disadvantage of a knife. Also, they know the good side of Chinese culture, and the bad side has not been manifested.",@weisong4402 毛泽东写的一手好诗，全是一种文化符号吧。破除四旧的初衷是好的，但确实有一刀切的弊端。还有，他们了解的是中国文化好的一面，坏的一面并没有得到表现。
17917,UgwunEBEht1UwcutFGt4AaABAg.92eJivXhhyf92tAKvrhyKN,1,In Chinese cultures there is no apoclypse. Everything will be balanced by Yin and Yang,在中国文化中，没有启示录。一切都会与阳和阳平衡
34812,Ugzn7GEQyTJdnfDNNsN4AaABAg.8yUSx7aAF-O8yU_ERYwlTY,1,"@Hardkornmax yes very much)! Just fantastic, so many troubles, a whole culture.",@hardkornmax是非常）！真是太棒了，如此多的麻烦，整个文化。
2046,Ugw9vGy6HAWWwk6jU3J4AaABAg,1,"Communist chives cannon fodder
Evil Evil Contempt Democracy
Slave culture creates tyrants
The Chinese Communist Party has continued disaster
Communist slave history common business
Appeasement of the CCP human disaster! Intersection Intersection Intersection Intersection ""","共产极权 韭菜炮灰
秉性邪恶 轻蔑民主
奴性文化 造就暴君
中共存在 灾难不断
共产民奴 历史共业
绥靖中共 人类灾难！ ！ ！ ！ ！ !"
11913,UgySjG6ZTfduvjMMgM94AaABAg,1,"Use YouTobe to learn about foreign culture, thank you",用一下youtobe了解一下外国文化， thank you
4119,UgwsYMchjOqpzL2xtTR4AaABAg.9Kmejve8dOx9WQ7D5rVHRa,1,"Kimchi is the only Korean dish worth showing off. Li's message is Chinese culture. China has a longer history than Korea, and Korea was a Chinese city-state in ancient times",泡菜是唯一值得炫耀的韩国菜。李的信息是中国文化。中国的历史比韩国更长，韩国是古代的中国城市国家
10670,UgxqSpb3Gk81b3ZvGH54AaABAg.98VupjufjU799_1PmOu6qC,1,"@mohammedharoon8453 im a female ...yeah whatever... Its vids about chinese 5000 years cultural village heritage... Not about CCP culture! Pls just try not to be hypocrite , Mr. Mohammad
Bye2!","@Mohammedharoon8453我是一位女性...是的，无论如何...关于中国5000年文化村庄遗产的视频...与CCP文化无关！请尽量不要做伪君子，穆罕默德先生
bye2！"
9641,UgwsFV9cxgvP5uRBXmZ4AaABAg.99mkur8G6R69B5WXajCWpR,1,"โ€ @titavaughns7698 In China, Sichuan is called Tianfu because of its fertile land, rich products and pleasant climate

In history, the ""land of abundance"" mainly refers to the Sichuan Basin, not including the present western Sichuan Plateau and southwest Sichuan mountains. The Sichuan Basin is rich in land, mild climate and abundant rainfall. Especially after the Dujiangyan water conservancy project was built in the Qin Dynasty, the Chengdu plain became the ""land of heaven"" in which ""water and drought follow people's will, and they don't know the famine"". Therefore, Chengdu Plain has become a very developed area of agriculture and handicraft industry in Chinese history, and has become the main food supply base and the main source of Taxation in the central dynasty ""Tianfu""","@titavaughns7698在中国，四川之所以被称为田富

在历史上，“丰富的土地”主要指的是四川盆地，不包括现在的西川高原和西南四川山。四川盆地富含土地，温和的气候和丰富的降雨量。尤其是在杜吉安（Dujiangyan）的水保护协会项目建于秦朝之后，成都平原成为“天堂之地”，“水和干旱遵循人们的意志，他们不知道饥荒”。因此，成都平原已成为中国历史上农业和手工业的一个非常发达的领域，并已成为中央王朝“天富”的主要食品供应基础和主要税收来源"
7316,UgyxwcjfN3ryzRJt7Xh4AaABAg,1,"Bamboo ๅฎ is all the bamboo culture of Bamboo Cultural and Environmental Protection โป๏ธ Healthy and long foods can be made countless things, solid, durable, insects, https://youtu.be/tzm6lhao2H8",竹芛浑身是宝 中国的竹文化 环保 ♻️ 健康 易长 可食 可做无数东西 坚固耐用 不长虫https://youtu.be/TzM6lhaO2H8
8886,UgxOBgD3fQC8I59-Qdl4AaABAg.9Ah38njXB5I9BAboSvHq3O,1,"In fact, I think her original intention is not afraid of plagiarism at all. She just spreads a culture. And the production of the show can also be done by a team. Like Chinese programs on the tip of the tongue. It is another kind of brainwashing show, just to promote the mountains and the countryside.",其实我觉得她的本意根本不怕别人抄袭。她只是传播一种文化。而且节目的制作也可得出是一个团队在做。就像舌尖上的中国一样的节目。是另一种洗脑节目，宣传上山下乡而已。
7646,Ugx30lKBDObtWJOoXvd4AaABAg,1,"I do not disagree, each with its culture; They would never eat Sรฃo Paulo.",我不同意，每个人都有其文化；他们永远不会吃圣保罗。
11714,UgzJBX10zNucM5CpBYJ4AaABAg,1,"I heard that she was very red. I came in and took a look. I was still dealing with bamboo shoots in the spring in the last second, and the next second went to pick the long beans in the summer, looked at a few, picked the peaches in the south on the left, turned my head to pick the northern part of the north. Apple, she should be filming all over the country and then editing. What she has daily life with her mother -in -law, don’t bully me without culture",听人说她很红，进来看看，上一秒还在春天处理竹笋，下一秒就去了夏天摘长豆角，看了几条，左边摘着南方的桃子，转头又去摘北方的苹果，她应该是全国各地去拍片然后剪辑，什么她跟婆婆的日常生活，不要欺负我没文化
8571,UgwaV-7drv24zLWVCL14AaABAg,1,Bamboo forest bamboo culture Chinese national treasure edible available for tree environmental protection health https://youtu.be/pbzwtezd6vu,竹林 竹文化 中国国宝 可食可用 节省树木 环保健康https://youtu.be/pBzWTEZD6VU
7980,UgxrwShvNt5GhgvzX3t4AaABAg,1,"OMG. All those poor garden gnomes. Why would they bury them and then cut off their hats like that? It's so inhumane. I try not to judge other cultures, but this has gone to far. Garden Gnomes Lives Matter. ""GGLM",我的天啊。所有那些可怜的花园侏儒。他们为什么要埋葬他们，然后切断他们的帽子？这是如此的不人道。我尽量不要判断其他文化，但这已经走了很远。花园侏儒生活很重要。 “ GGLM
7805,Ugx6sVyKbx_lKLs_OzR4AaABAg.9COMX-1pHNr9CRJu3YGiCe,0,@aravindnxmusic thai culture and indic cultures do have cultural similarities.,@aravindnxmusic泰语文化和表明文化确实具有文化相似之处。
5649,UgwpUI0m8Mk-QT1ICNl4AaABAg.9G4tMmRfxew9HAkvmFqqLp,0,"@facelessdrone First of all, ethics and morality are relative and subjective in terms of culture and environment. Second of all, this guy wasn't mentioning about pigs? His original statement mentioned about the consumption of a large quantities of water snails. This clearly refutes your first assumption that within context, he is referring to pigs. Then, you made the hasty generalization fallacy that no one cares about creatures who aren't self-cognitive. This is clearly wrong too since nothing is definitive and there are people who own spiders as pets.",@facelessdrone首先，在文化和环境方面，道德和道德是相对和主观的。其次，这个家伙没有提到猪？他的原始陈述提到了消耗大量水蜗牛。这显然驳斥了您的第一个假设，即在上下文中，他指的是猪。然后，您使仓促的概括谬论没有人关心那些不自我认知的生物。这显然也是错误的，因为没有什么是确定的，有些人将蜘蛛作为宠物。
