,cid,votes,含culture,含culture中文翻译
8655,UgxyYu7WsGnsddDW2iV4AaABAg,3,"李子柒, Liziqi!!, You know, You have a ""Thief's Heart."" 

You insulted the pride and heart of the culture of the people around China.
Apologize to them and ask for forgiveness.","李子柒，Liziqi !!，您知道，您有“小偷的心”。

您侮辱了中国各地人民文化的骄傲和心脏。
向他们道歉，要求宽恕。"
8199,UgxGBiTxjTtqLT-Na8h4AaABAg,3,"Kimchi and Hanbok are Korea's unique culture.
Don't tell me that it's in China
In Korea, there is a kimchi refrigerator for each house
I wore hanbok every holiday","Kimchi和Hanbok是韩国的独特文化。
不要告诉我在中国
在韩国，每个房屋都有一个泡菜冰箱
我每个假期都穿汉伯克"
7721,UgxLN2BFqtqOnfBOrF94AaABAg,3,"it's like a movie vlog. so cool, nostalgic, and mostly, touch of culture",就像电影视频博客。如此酷，怀旧，大部分是文化的触摸
22503,Ugw93MiOcqW02pI7bJx4AaABAg.92v2O1F4NaK92wyaqBhJg0,3,"Tian right. watching this makes me want to farm lol. i hope i could. anyway, good for China developing their culture",天右。看着这个让我想耕种。我希望我可以。无论如何，对中国发展他们的文化有益
48392,UgzWRYXgVqoDqwQ1CSx4AaABAg,2,"MATEP ..
I am Chinese descent but not all of them I understand. This is Miss again preparation for welcoming the Chinese New Year. The tradition of making cakes and snacks ahead of the Chinese New Year is super busy. Yep ... all the culture of other parts of the world will also be busy if it is approaching or welcoming the day of the celebration according to their respective traditions.
Specifically in this video, traditions and recipes are indeed innate from our ancestors. But of course not all we can make in my beloved Indonesia, because not all the materials used in our ancestors are in the land of Indonesia. So we replace it with local materials. And it turns out it doesn't feel like it is worse. And more importantly is the essence that is ...
In our country Indonesia even has more variety of traditions and culture, our land also produces extraordinary variety of agricultural products. We can be proud as Asian nations and of course especially Indonesia.
I admit that Miss Li is very extraordinary to show the world how beautiful the country, tradition, culture, etc.
I really hope there is a figure like Miss Li in Indonesia, so that the world will see the way we make rendang, chicken opor, bamboo lemang, etc. .. certainly will make the world amazed.
Greetings from Pekanbaru.","matep ..
我是中国血统，但我了解的不是所有人。这再次是为欢迎农历新年的准备。在农历新年之前制作蛋糕和小吃的传统非常忙。是的...如果根据各自的传统接近或欢迎庆祝活动的那一天，世界其他地区的所有文化也将很忙。
特别是在此视频中，传统和食谱确实是我们祖先的天生。但是，当然，我们在我心爱的印度尼西亚并不是所有的东西，因为并非祖先中使用的所有材料都在印度尼西亚之地。因此，我们用当地材料代替它。事实证明，它并没有更糟。更重要的是...的本质是...
在我国，印度尼西亚甚至拥有更多种类的传统和文化，我们的土地也生产出非凡的农产品。我们可以为亚洲国家，尤其是印度尼西亚而感到自豪。
我承认，李小姐非常非同寻常，向世界展示国家，传统，文化等多么美丽。
我真的希望有一个像印度尼西亚的李小姐这样的人物，这样世界将看到我们制作鸡，鸡肉，竹子莱蒙等的方式。肯定会让世界惊讶。
佩坎巴鲁的问候。"
36685,UgylTM1tk7rRFvWtYkJ4AaABAg.8uRIOVFo2EQ8ucLHxBdAji,2,TianXing Yuan she is just take more cares about hers skin and good culture๏ผactually she shows how a perfect traditional Chinese girl should be,天王者她只是对她的皮肤和良好的文化更加关心，实际上她展示了一个完美的传统中国女孩应该是什么
6674,UgyljWAvdvquG3Hs-954AaABAg,2,"Love your video, love your country's culture, let's talk about I love",爱你的视频，爱你国家的文化，再说我爱
6015,UgyT713ZnKpyPduvwqV4AaABAg,2,"Her works are all about promoting Chinese culture. As a Chinese,I'm so proud of her！",她的作品都是关于促进中国文化的。作为中国人，我为她感到骄傲！
35756,UgzUk3PA71ypx16dBZZ4AaABAg,2,I like this very much am from india and i love china and chinese culture very much its wonderful and i like also chinese dish and method of cooking beautiful๐โบ,我非常喜欢来自印度的人，我非常喜欢中国和中国文化，它也很棒，我也喜欢中国菜肴和烹饪的烹饪方法
5820,UgwYguB2IxuCXlyNvUd4AaABAg,2,The videos I sawn from previous day's .......I learned a good thing from u....and the one wish to see u ....siss but the nature the way of doing agriculture...is osmmmmm. There is no social networks there awesome ....my mom is die hard fan of u..... plz reply me akka,我从前一天中锯了的视频.......我从你那里学到了一件好事。 。那里没有社交网络很棒。...我妈妈是你的狂热粉丝..... plz回答我akka
35064,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8ve2WSRp6Eb,2,I'm gonna start a homestead. Tired of modern capitalist culture. It's nothing but soul-sucking.,我要开始一个宅基地。厌倦了现代资本主义文化。不过是吸引灵魂。
21772,Ugxhknag0litIL-n8Gd4AaABAg.93L7zOCdC9f93Yax1LWKWq,2,I am Moroccan and I discovered this channel a few days ago. I feel comfortable when watching the atmosphere of nature and a different culture from us,我是摩洛哥，几天前我发现了这个频道。看着自然气氛和与我们不同的文化时，我感到很自在
22507,Ugw93MiOcqW02pI7bJx4AaABAg.92v2O1F4NaK92y0kig7Icz,2,"@suiren5272 I dont think this account is operated by Chinese government but more than likely a commercial team. Regardless who is behind it, her vedios promoted Chinese culture to foreigners and even Chinese citizens living in metropolis or urban region which broadens everyone's mind, and brings peace and happiness to people. Dats most important. 
Also from economic and/or political perspective, nothing wrong with a government promotes culture or ideology of its countury to others. Hope it helps.","@suiren5272我不认为这个帐户是由中国政府运营的，而是一个商业团队。不管是谁，她的韦迪奥斯都将中国文化推广到居住在大都市或城市地区的外国人，甚至是中国公民，从而扩大了每个人的思想，并为人们带来了和平与幸福。 DATS最重要。
同样从经济和/或政治角度来看，政府没有任何错误将其伯爵内的文化或意识形态促进其他人。希望能帮助到你。"
4266,UgybaqlaPDXgQ89PPld4AaABAg.9Re070FLoFc9UfyFmwf9Me,2,"So if she gets rich before this and her point is to show people the rural life which she chose so whats the problem you said it yourself there alot of millionaires out of poverty so whats the difference with her videos. Her videos showing culture, old style cooking a lifestyle. Lol... fake? Why would you call fake if she can really do all those things you said it yourself even if you did not finish highschool you can still be millionaire and she did that",因此，如果她在此之前变得富有，而她的观点是向人们展示她选择的乡村生活，那么您自己说的问题是什么，这是有贫穷的很多百万富翁，所以与她的视频有何不同。她的视频显示文化，旧式烹饪生活方式。大声笑...假吗？如果她真的可以做所有这些事情，即使您没有完成高中，为什么还可以打电话给假货，您仍然可以成为百万富翁
32237,Ugx1LXTsr5AkRIsGb_p4AaABAg.8vxXfi2tVWf8wCqjrhvAj9,2,China has most beautiful places & culture in the world. Damn I love ittw,中国在世界上拥有最美丽的地方和文化。该死的我爱ittw
29447,UgzZzJbuNnUNCMBVlIR4AaABAg.8xjFGku-_Z_8yFltDRri95,2,Power of culture,文化的力量
44060,UgycNSkJt1wQbPlIH414AaABAg.8rGHT9GJz-M8rTZjdyLqOL,2,@ygfalcao2570 that and vdd. Always good to know new cultures and this paradise she lives then.,@ygfalcao2570和vdd。总是很高兴了解新的文化以及她那时所生活的这个天堂。
43675,UgxmzWi-Smlo518ei0R4AaABAg,2,Congratulations on this very beautiful video. Your culture is simply wonderful.,恭喜这个非常漂亮的视频。您的文化真是太好了。
28358,UgzKhC45H4weq5MwpKR4AaABAg,2,"Great cameraman, great sound technicien, great video editor technicien, good video storyline writters, amazing team behind the beautiful recepies, amazing new traditional tools in every video, and good beautiful actress Lisiqi mastering her angles. Huge production. hat off to using vlogging to promote chinese culture.",Great Cameraman，Great Sound Technicien，出色的视频编辑Technicien，出色的视频故事情节编写者，美丽的Recepies背后的出色团队，每个视频中令人惊叹的新传统工具以及优秀的漂亮女演员Lisiqi掌握了她的角度。巨大的生产。使用视频博物馆来促进中国文化。
8710,UgxTrdQpB5pxOySrAHt4AaABAg.9IK5l71vneV9JagvlxrjZc,2,"@Windychung can't have a great impact on the Chinese cultural circle. Moreover, China's volume is so large, and other small countries similar to Chinese culture will naturally want to preach their cultural independence, otherwise it is easy to be annexed by culture. But I just can't see that the whole world is the people of their family ...",@WINDYCHUNG 没办法中华文化圈的影响太大了。而且中国体量那么大，其他和中国文化相似的小国家自然会想要宣扬自己的文化独立性，不然很容易就被文化吞并。但是我就是看不惯说全世界都是他们家的人…
30470,UgyXNQPk6xTUEdX74uB4AaABAg,2,"Seeing that your work has a feeling of seeing each other and hate, it is really as treasured! In the influence of the philosophical thoughts of yin and yang five elements in traditional Chinese culture education, Confucian ethical and moral concepts, traditional Chinese medicine nutritional photography, and cultural and artistic achievements, diet aesthetic style, and many factors of national characteristics, they created the Chinese cooking skills of the Book of History. Form a broad and profound Chinese food culture. Your profound understanding of the traditional Chinese diet and culture is perfectly presented with the beautiful Chinese style that is so beautiful! As a native of China, the Chinese are also amazing, and they are intoxicated! Under the influence of the world's multiculturalism, many excellent cultures have been forgotten, the outlook on life, and values โ€โ€have also changed in the long -term subtle way. Whether it is Chinese or the people of the world, there are always things in common in the hearts of human beings. They all advocate true, good, and beautiful. They like tranquility and peace, and they are eager to happiness and happiness. The environment of your life is like a paradise, the mountains and rivers are beautiful, and the ecological environment that people and nature live in harmony are enviable. Your work can help us calm down the impetuous heart, re -think about life, and find the most precious beauty in the original memory of human beings!",看到您的作品有种相见恨晚的感觉，真的如获至宝！在中国传统文化教育中的阴阳五行哲学思想，儒家伦理道德观念，中医营养摄生学说，还有文化艺术成就，饮食审美风尚，民族性格特征诸多因素的影响下，创造出彪炳史册的中国烹饪技艺，形成博大精深的中国饮食文化。您对中华传统饮食和文化的深刻理解并用美到令人窒息的唯美中国风完美呈现出来！作为土生土长的中国人也都叹为观止，如痴如醉！在世界多元文化的影响下，好多优秀的曾经引以为荣的文化已经被淡忘，人生观，价值观也在长久的潜移默化中改变。无论是中国人还是世界人民，在人类心灵深处，总有一些东西是共通的，都崇尚真善美，都喜欢宁静与祥和，都渴望幸福与快乐。您生活的环境犹如世外桃源，山青水秀，人与自然和谐相处的生态环境让人羡慕不已。您的作品能帮助我们静下浮躁不安的心，重新思考人生，找寻人类最初的记忆中最珍贵的美好！
11226,Ugy6UhDVa6q_Z_24YMd4AaABAg.9ErMD7cVAOz9F1AxaRnRcY,2,"@ethanjia6576 Obviously itโ€s not the same thing. But this video was especially interesting to me because a lot of the food looked like something youโ€d see in the South US. Especially the carmelized pork ribs. I just find it interesting when two completely different cultures intersect in unexpected places; in this case itโ€s because parts of China have very similar food resources as the US South, so the cuisine is different but still relatively similar. Iโ€m not trying to say that theyโ€re exactly the same; far from it.",@Ethanjia6576显然不是同一回事。但是这段视频对我来说特别有趣，因为很多食物看起来像您在我们南部看到的东西。尤其是焦糖猪排骨。当两种完全不同的文化在意外的地方相交时，我只是发现很有趣。在这种情况下，这是因为中国的部分食品资源与美国南部非常相似，因此美食不同，但仍然相对相似。我不是要说它们完全一样。离得很远。
22427,UgzWB-UJXYq-oh2gWlR4AaABAg,2,"As a Chinese, I feel so proud of our food๏ผ our unique culture๏ผ๏ผ",作为中国人，我为我们的食物，我们独特的文化感到骄傲！！
35059,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8v_AGcJ13XD,2,"@merncat75 
Your comments are a joke. Modern society requires to learn a lot. We learn at school a lot of things which other humans have never heard of.
Our culture has an immense cultural capital build on centuries of scholary work and millenias of civilisation.","@merncat75
您的评论是个玩笑。现代社会需要学习很多东西。我们在学校学习了许多其他人从未听说过的许多事情。
我们的文化具有巨大的文化资本，建立在几个世纪的学者工作和文明的千年中。"
29452,UgzZzJbuNnUNCMBVlIR4AaABAg.8xjFGku-_Z_8yMp6cCn80q,1,"Zheng Lin doesn't care, it can be publicized by China, and Chinese culture can be promoted",郑林 无所谓，宣传了中国，宣传了中国文化即可
23333,UgzdFH6LEELs6AoFwdR4AaABAg,1,Agriculture is a hundred industry,农业是百业
33798,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48xYkXqg6cql,1,"Deep down? Really, u donโ€t need to question urself, IT IS HOW ITS SUPPOSED TO BE! but this is just one culture, ur life, even without modernization would probably be different considering ur from the west,",深处？确实，您不需要质疑自己，这是应该的！但这只是一种文化，即使没有现代化的情况，考虑到您的西方，也可能会有所不同
22682,UgwgJ2qbEbQLZdATFpR4AaABAg,1,"CHINESE FOOD MAYBE NOT THE BEST,buT cooking culture is longest of human history",中国食品也许不是最好的，但是烹饪文化是人类历史上最长的
33312,UgzyNfKbjFQQ3vpLftd4AaABAg,1,"I woke up in the morning to see Li Ziyi's video on Weibo, and then went to Bilibili to watch it all morning. Now I found that YouTube see more people. Chinese culture is profound, and Chinese cuisine is coveted.",早上醒来在微博看到李子柒的视频，然后去哔哩哔哩看了一早上，现在发现YouTube看得人更多。中华文化博大精深，中华美食令人垂涎三尺。
34481,Ugy24qk0KvlOptUVVYN4AaABAg,1,I have always wanted to marry someone of a different culture. So they can expand my mind and show me how to do things like this. And have a different way of life.,我一直想嫁给一个不同文化的人。这样他们就可以扩大我的思想，并向我展示如何做这样的事情。并有不同的生活方式。
5531,Ugxr9GG1_-vH47dmwmB4AaABAg,1,"I am from India and I love Chinese food and culture ❤️

我 来自 印度 ， 我 喜欢 喜欢 中国 的 食物 和 ❤ ❤️

I'm from India and I Love Chinese Food and Culture ❤️","我来自印度，我喜欢中国的食物和文化❤️

我我来自，我我喜欢中国❤❤️

我来自印度，我喜欢中国的食物和文化❤️"
22913,Ugy4QKtD9cbzrOoUVFd4AaABAg.92dymxS8pg192t_imW1VQb,1,"Jongson ho Because I donโ€t respect people who eat dogs, so I donโ€t want to be a part of that. He said โ€Chinese people eat dogsโ€ when Iโ€ve never met another person in my life who has (Chinese). Regarding the place you said that has a tradition of eating them, thatโ€s fine, but still that is only of 0.1% of Chinese people. Dogs evolved along with humans as friends, so it is taboo to think that a culture of eating them was created. But thatโ€s fine, itโ€s their choice, but not mine. It is not my part of China, I can accept it, but nothing more.",Jongson Ho是因为我不尊重吃狗的人，所以我不想成为其中的一部分。当我一生中从未见过另一个人（中国人）时，他说“中国人吃狗”。关于您所说的那个地方，那具有食用它们的传统，这很好，但仍然只有0.1％的中国人。狗与人类一起演变为朋友，因此认为创造了一种食用它们的文化是禁忌。但这很好，这是他们的选择，但不是我的。这不是我在中国的一部分，我可以接受，但仅此而已。
22985,UgxsdVLdbVYEPdXqgbl4AaABAg,1,"Regardless of whether these videos are suspected of hype, the video does spread traditional Chinese culture. The Chinese do not need to admire Yangmei. A country's own culture is the root. For a chestnut, taekwondo can become Olympic sports. Why can't Chinese kung fu, why did China have only Bruce Lee and Jackie Chan, no succession? Because the flow star vase is full of the current entertainment industry, is it that the inheritance has a fault in the inheritance? First of all, if you like the culture of others, you must first love your own culture. If a country ignores its own culture and vigorously promote foreign culture. This country, this nation will lose the soul, and will not get it in the future. The respect of others, too many excellent culture in China for 5,000 years is worthy of promoting. The thoughts in Guang Confucianism and Taoism are enough for you to dig. China is actually unique.",不管这些视频是否有炒作嫌疑，但视频确确实实在传播中国传统文化，中国人不需要崇洋媚外，一个国家自己的文化才是根，邻国日本韩国确实比我们做的好，而且做到了文化输出，举个栗子，跆拳道可以成为奥运体育项目，为什么中国功夫不可以，为什么中国只出了李小龙和成龙，后继无人？因为流量明星花瓶充斥着现在的娱乐圈，是不是功夫在传承方面有迹象已经出现断层了？国内首先你喜欢别人的文化，你就要先爱自己的文化，一个国家如果连自己的文化都忽视，去大力弘扬外来的文化，这个国家，这个民族是失了魂的，将来也不会得到别人的尊重，中华上下五千年太多优秀的文化值得弘扬了，光儒释道里的思想就够你挖掘的了，中国其实是独一无二的.
32698,Ugy800mmFiW5Y1YrP-N4AaABAg.8vhRnJy5uF092PSFzgRuyF,1,"it's not only her talent,more are Chinese people's talent!this is china-----an old and beautiful country. The traditional Chinese culture is rich, extensive and profound.I love her.",不仅是她的才华，还有中国人民的才华！这是中国-----一个古老而美丽的国家。中国传统的文化丰富，广泛而深刻。我爱她。
32570,UgytyapThfOuan9_rXB4AaABAg,1,Very good. Chinese people like culture.,很好。中国人喜欢文化。
23176,UgxgSlIixKFEG5taIZR4AaABAg.92WKzV4ohPy92dkLm22hUy,1,Ignorant comment. Not everyone wants to eat chinese food. Other people have culture and traditions too. Dont be ignorant!,无知的评论。并非每个人都想吃中国菜。其他人也有文化和传统。不要无知！
23351,UgyiYrw1NFY6kzp74vN4AaABAg,1,"It is not easy to be moved to make this kind of picture. It is necessary to pack a mountain with various fruit trees and agricultural agriculture first, and then rent an old grandma with a rural sound. After the director of the photography artist is edited, these are also required.",感动感动，能拍出这种画面实属不易，要先包下一座有各种果树、农产的山，再租一个有乡音的老奶奶，导演摄影美工剪辑后制这些也是要请。
