,cid,votes,time,含nice,含nice中文翻译
19096,Ugxx0C0wczLWx2DIaoJ4AaABAg.928Ic4g69m392WwEs105vv,1,3 years ago,"korea is very very nice! people, food, heritage~ everything is wonderful! but now winter! very cold~",韩国非常非常好！人，食物，遗产〜一切都很棒！但是现在冬天！很冷〜
30030,UgzLwzHtzrVkM2FQjEB4AaABAg.8yVqoJo7C7f8yk6M4zXLzS,1,3 years ago,oh hell no in guessing your a trump support i know lol i guess you don't like lizi qi shes not white but asian anyways like i said have nice rascit life,哦，在猜测你的特朗普支持时，我知道你知道你不喜欢lizi qi不是白人，而是像我所说的那样的亚洲人。
14988,UgzreL_CFNmIjvF4gzp4AaABAg,1,3 years ago,the camera angles are really nice. great cinematography!,相机角度真的很好。很棒的摄影！
24458,UgySrzyUPnHwc8NC-OZ4AaABAg,0,3 years ago,wow ...nice cooking and using huge indigenous knowledge,哇...烹饪不错，并使用庞大的土著知识
24459,UgxYo6rikmRlaPL-85t4AaABAg,0,3 years ago,wow ...nice cooking and using huge indigenous knowledge,哇...烹饪不错，并使用庞大的土著知识
24563,UgyshRR30Lqm2zyYEt94AaABAg,0,3 years ago,video taking super very nice,视频拍摄超级很好
24709,Ugyh2HXs9gQaHZ-NlZB4AaABAg,0,3 years ago,"nice video ! i want to live in this countryside.
where is it (even roughly said)?","不错的视频 ！我想住在这个乡村。
它在哪里（甚至粗略地说）？"
19600,UgzY15GkOneiWuMmgRV4AaABAg,0,3 years ago,nice,很好
24845,UgwG4XpIRIAq1wQm3At4AaABAg,0,3 years ago,what a nice view,好美
24885,UgzJK48HiiIeImapuk54AaABAg,0,3 years ago,nice one,好一个
23834,Ugz57HIge11k1Wq9Uxh4AaABAg,0,3 years ago,very nice,很不错
23831,Ugyn4QcjpJyNpSM8W-l4AaABAg,0,3 years ago,so nice cooking,很好的烹饪
23781,UgzYGeGNyXnplwchYsZ4AaABAg,0,3 years ago,nice good chican,不错的奇奇
23757,UgwIOBYKi7nyzlRMuC54AaABAg,0,3 years ago,"i marry her , if she agrees ,cute nice cooking",我嫁给她，如果她同意，很可爱的烹饪
23756,Ugy6RoRxYTr0258YVut4AaABAg,0,3 years ago,"nice hard work lady , i seen ever",辛勤工作的女士，我见过
23736,Ugy70G8rj5jxDmVGHvl4AaABAg,0,3 years ago,nice video,不错的视频
23728,UgwiqJL_SJD5NW40jq14AaABAg,0,3 years ago,nice madam,好夫人
23577,UgxX1MKDT7B0IWzMaf14AaABAg.8zfpS_f3W7x90pJDzlKJc6,0,3 years ago,@ michko6114 nice one,@ michko6114很好一个
24934,UgysVlyn2EG2etXxlnB4AaABAg,0,3 years ago,nice video friend,不错的视频朋友
19624,UgyvEWRyjLgZILzWStt4AaABAg,0,3 years ago,very nice,真好
24436,UgyZmZVBaCMkUVHLR6d4AaABAg,0,3 years ago,"i want to go there, your place was so nice and quiet.",我想去那里，你的住所是如此安静。
19389,UgwxqDCXnIPPWHl-jdR4AaABAg,0,3 years ago,very nice,很不错
23996,UgwUkEhGI08L1iA-5r94AaABAg,0,3 years ago,very nice,非常好
24275,Ugx5Tc9Za2xrcA9_qP14AaABAg,0,3 years ago,nice,好的
24258,UgyzWpbNJsb-hC9Lw2p4AaABAg,0,3 years ago,very nice,很不错
24298,UgybWaGgLs9XB8SN5kp4AaABAg,0,3 years ago,i love it nice food,我喜欢它不错的食物
24341,UgwSEn_mc-sk1PlxdeN4AaABAg,0,3 years ago,looks niceeeee,看起来不错
24218,UgxPJlgWlGg8aZjWqUp4AaABAg,0,3 years ago,i don know ur language but i like it ur videos dr ur cooking very nice one day i stay to ur village,我不知道你的语言，但我喜欢你的视频，有一天我待在你的村庄
19427,UgwSAcorGy23yfXTx1N4AaABAg,0,3 years ago,nice,好的
24217,UgxlhspND87wI75VaPp4AaABAg,0,3 years ago,"the film and music are nice, beautiful, haha.",影片和音乐都好听，好看，呵呵。
19432,Ugw6_PVK6T79wWynX_V4AaABAg,0,3 years ago,what a nice view,好美
19434,UgyJxN8B_AsJ9b91p-l4AaABAg,0,3 years ago,nicely video,很好的视频
19627,UgwgK-9A4i8yF4YrvNN4AaABAg,0,3 years ago,very nice,很不错
19082,Ugxx0C0wczLWx2DIaoJ4AaABAg.928Ic4g69m392GdYkSDY5i,0,3 years ago (edited),people in the philippines are nice but i dont think it'll be the same with other asian country. i've been in china and south korea and people there are,菲律宾的人们很好，但我认为与其他亚洲国家不一样。我去过中国和韩国，那里有
24364,Ugw9pLLZdoZblx8aBtZ4AaABAg,0,3 years ago,nice,很好
24172,UgwgPas9EH8HV4MmM8N4AaABAg,0,3 years ago,nice acting,表演不错
24171,UgzsUkNwo878COF7CEJ4AaABAg,0,3 years ago,nice,好的
24073,UgxAGMBUsep4gzQzZ5R4AaABAg,0,3 years ago,"i happened to saw one video. and just keep on waching one after another......really good to see you plucking up the vegetable from own yard and cooking the same..as well as the old style of cooking...in old types of vessels.....without touching or harming the nature...
one small question do you really do it yourself or have some servants at home? 
do you sell the vegetables in market ?
nice channel....love from india.","我碰巧看了一个视频。然后继续互相打磨……真是太好了，看到您从自己的院子里拔出蔬菜并烹饪相同的蔬菜。 ...没有触摸或伤害自然...
一个小问题，您真的自己做还是在家有一些仆人？
您在市场上出售蔬菜吗？
不错的频道....来自印度的爱。"
24054,Ugxj4JoMoraHO6gbXfd4AaABAg,0,3 years ago,hi i'm india my name is prasad nice to meet you.u r so nice u r video s,嗨，我是印度，我叫Prasad很高兴认识您。
24373,UgxHG7EkjVPS7FA43qV4AaABAg,0,3 years ago,"very nice 't eat poke it's not good for human being 
hope you don't mind and english language also use for us we not much new what you making food and what you added in the cooking 
please do easy for us thanks","非常好
希望您不介意和英语也用于我们，我们没有什么新鲜的东西，您在做饭和烹饪中添加的东西
请为我们做轻松，谢谢"
19486,UgxIiN1QWC4qRgCMN4l4AaABAg,0,3 years ago,nice video..'entertaining to watch..'..love it,不错的视频..'娱乐观看..'..喜欢它
24428,UgwH6fpqIIZJi3p7sih4AaABAg,0,3 years ago,nice,好的
24051,UgxtNO4IzsJQZOtcEjZ4AaABAg,0,3 years ago,"very nice didh
great recipe:","非常好
很好的食谱："
21282,Ugzw66wLPLv3OPa-9m54AaABAg,0,3 years ago,nice,好的
22848,UgyYutRyLrd4wCCn-Fp4AaABAg,0,3 years ago,very nice cook,很好的厨师
23473,Ugxqu-kyUI8C7zrW_4x4AaABAg,0,3 years ago,wow nice,喔不错哟
21101,UgydVxzunkDT7kN1hUV4AaABAg,0,3 years ago,bun yaka is nice.,bun yaka很好。
20095,Ugzxy25Dxvno9EhcQEV4AaABAg,0,3 years ago,"this is nice, anybody knows those snail name ?",这很好，有人知道那些蜗牛的名字吗？
21797,UgwHHw9NsEGyLXeYM3F4AaABAg.9-WlF9BrJ_t9nvPiwjogM9,0,2 months ago,"hello everyone, i'm frome cambodia and have a nice day everyone",大家好，我是柬埔寨，祝大家愉快
20250,UgzlUzEmvuPLIia8UdN4AaABAg,0,3 years ago,wawww nice l love youuuuu somt.,wawww nice l love youuuuu somt。
20534,Ugy62CU9V0Fu8x0eSuh4AaABAg,0,3 years ago,nice,好的
20801,UgxETmSzYJNa5pOjUPt4AaABAg,0,3 years ago,nice sis ♥,不错的姐姐♥
25026,UgzkwKMBRu6zxSzo2194AaABAg,0,3 years ago,"i don’t understand, if you have such nice foods, why would you wanna have dog meat?",我不明白，如果您有这么好的食物，为什么要吃狗肉？
20898,UgxmhSrEIf0OnCA7hYt4AaABAg,0,3 years ago,nice video. enjoyable.,不错的视频。愉快。
20952,Ugzfd5QiP4NNnhqbnLp4AaABAg,0,3 years ago,nice,好的
21060,Ugw0DTLwRTqxmYSlTUl4AaABAg,0,3 years ago,nice video,不错的视频
21709,UgwBRxLOi-ZesieYcjN4AaABAg.9-_KlQ8-Npx90hse0E0cCx,0,3 years ago,@rbproducoes5675 u are u nice when u are going to send ur address,@rbproducoes5675 u当你要发送地址时你很好
21117,UgyiF3bmXCoiNfIYaXh4AaABAg,0,3 years ago,very nice,非常好
21858,UgzPhKPPhzsk8C2pNkl4AaABAg,0,3 years ago,very nice tecnikes,非常好的tecnikes
21125,UgyJHAbW_TVEeqFKEnx4AaABAg,0,3 years ago,i like the atmosphere around her .. very nice to eat. there are all around.,我喜欢她周围的气氛..非常好吃。周围有很多。
21600,Ugyhvog76Wr9plFzD154AaABAg,0,3 years ago,"nice video
im from indonesia
i like you","不错的视频
我来自印度尼西亚
我喜欢你"
21155,UgwEXhvneR81dwRZvDt4AaABAg,0,3 years ago,nice vlog,不错的视频博客
21596,UgwqrY9otjWLiIVgExB4AaABAg,0,3 years ago,"nice production, as far as chinese-trying-to-channel-japanese goes, but this is simply not the ""rural china"" is like. no one - and i mean, no one - in china keeps their place their rural kitchen and places this clean.",就中国的渠道 - 日本人而言，这是不错的制作，但这根本不是“中国农村”。没有人 - 我的意思是，没有人 - 在中国将他们的乡村厨房保留下来，并将其整洁。
21538,UgxReyHAU15NaEF7W7p4AaABAg,0,3 years ago,very very nice,非常非常棒
21483,Ugz6VeYiZsGVPn0JDDR4AaABAg,0,3 years ago,"pure beautiful peace is my feeling 
thank you give me nice moments","纯美丽的和平是我的感觉
谢谢你给我美好的时刻"
21467,UgyY5ZfO6LIkkUP_2Nd4AaABAg,0,3 years ago,nice,好的
21377,Ugz8T1QaAQFD-y2x1HZ4AaABAg,0,3 years ago,nice rasape,不错的rasape
21171,Ugwsyr-z3y-2WiZoRUR4AaABAg,0,3 years ago,very nice everything this woman does and more that background melody is something magical,这位女人所做的一切都很好，而背景旋律是神奇的
21213,UgzsiUiHB0katCfrUSl4AaABAg,0,3 years ago,so nice,很好
20075,UgyxpwBXhM-WUeolMQh4AaABAg,0,3 years ago,i'm vietnam: nice,我是越南：很好
20056,UgyiyDhiMley5J745Ah4AaABAg,0,3 years ago,nice job,不错的工作
23378,UgwALNgodNu6jdYMmJd4AaABAg,0,3 years ago,"nice......so relaxed


another wow ! video here...watch till end...


https://www.youtube.com/watch?v=4mr3mv8jong
https://www.youtube.com/watch?v=8xfhtjnpyaa","很好......很放松


另一个哇！视频在这里...观看直到结束...


https://www.youtube.com/watch?v=4Mr3mv8jong
https://www.youtube.com/watch?v=8xfhtjnpyaa"
22494,Ugx8Kcp1KHSQ53W92p94AaABAg,0,3 years ago,finally i know her name now.... nice videos,终于我知道她的名字。...不错的视频
23359,UgyCZHOjOe8eSlEydrF4AaABAg,0,3 years ago,she's so pretty...her cutting style is very nice..bamboo shoot looks crunchy..all are great recipe,她真漂亮...她的剪裁风格非常好.. bamboo拍摄看起来松脆..所有的食谱都很棒
19657,Ugyg3vdzEWZAZ7R8Rul4AaABAg,0,3 years ago,a very nice garden,一个非常好的花园
23162,UgylAkWYlUm2NNNYP4Z4AaABAg,0,3 years ago,thats very nice. without words,这是非常好的。没有言语
19671,UgxrtHNeHG7WXf7ZRVZ4AaABAg,0,3 years ago,too beautiful and cook wonderfully well. i married you! nice to meet you! i love your youtube channel.,太漂亮了，煮得很好。我嫁给了你！很高兴见到你！我爱你的YouTube频道。
23004,Ugwx5unlXYFfa7VWpZ14AaABAg,0,3 years ago (edited),"wow so nice and beautiful 
watch my channel please","哇好漂亮
请观看我的频道"
21303,UgzvB9-yuCxhury9wTt4AaABAg,0,3 years ago,nice video greetings from argentina,来自阿根廷的好视频问候
22800,UgzszbIDHXvcxmpBo0J4AaABAg,0,3 years ago,what a nice view,好美
22660,UgwEDQroO1c_uXMoEBF4AaABAg,0,3 years ago,i love your life style very nice one,我爱你的生活方式非常好
19691,UgyCmxslq3IjvQiMmZ94AaABAg.91b9Iwityop92P8pvZCYgs,0,3 years ago,@mmwang9124 wow... its nice to hear.... let her to live in peace of mind and healthy wealthy life..,@mmwang9124哇...很高兴听到....让她过着安心和健康的富裕生活。
22508,UgzoI1ygZdt_Y3ycHbV4AaABAg,0,3 years ago,i respect you.thank you for your nice hurt girl.,我尊重你。谢谢你的好伤害女孩。
19705,UgwaJrxSM5LuI7oYFwB4AaABAg,0,3 years ago,what a nice view,好美
21947,Ugz8U1xS1QVWPvMCwSZ4AaABAg,0,3 years ago,nice video,不错的视频
22337,Ugzrk0-cvaHW5gvONH94AaABAg,0,3 years ago,so nice your cooking,很好的烹饪
19748,UgyRNsbqkd7celERbal4AaABAg,0,3 years ago,"nice video, i like this",不错的视频，我喜欢这个
19760,UgzphqoG5Wn1saABGUt4AaABAg,0,3 years ago,very nice how to contact them,很好如何联系他们
19791,UgwEN-E34yWGYdTXXa94AaABAg,0,3 years ago,everything looks very nice/pictire preaty i don't know if i would like it will take a while to get used it.,一切看起来都非常好/pictire preaty，我不知道我是否愿意将其使用一段时间才能使用它。
22291,Ugyu7vDnIbq4r_7HpU94AaABAg,0,3 years ago,very nice,很不错
22231,Ugx0bmX64j8zCKP1OIZ4AaABAg,0,3 years ago,very nice,很不错
22127,Ugxe2lKEDyjpFJOdB4V4AaABAg,0,3 years ago,"love the design of the fermentation vessel. nothing can get in, but gasses can still escape. very nice craftsmanship too.",喜欢发酵容器的设计。没有什么可以进入的，但是气体仍然可以逃脱。也非常好的工艺。
19855,Ugy5jSw0pfuCO87fKRF4AaABAg,0,3 years ago,very nice u r cooking .good,很好做饭。
19860,UgxIMqi8XqHtC8Mg-PF4AaABAg,0,3 years ago,how nice there i want to live greetings from guatemala,我想从危地马拉那里过来的问候真好
22057,UgzA9DE1HS0Mn-ZkAmd4AaABAg,0,3 years ago,"so good, so nice",很好，好吧
24995,UgxJsRZf2yo8BYXHNol4AaABAg,0,3 years ago,nice girls,很好的女孩们
34483,UgzNhJ2mD8QlSOLtWKV4AaABAg,0,3 years ago,"nice place , i want to come here to live a month <3",好地方，我想来这里一个月<3
25056,UgwhTW3R6-R3xa4glux4AaABAg,0,3 years ago,nice,好的
29043,UgxrxlDmInXxSqPwncJ4AaABAg.8yXxwnokw6P8yeZ-_vrJPG,0,3 years ago,"@user-zn7y1cw9g can be later, i will write, although we have half the eleventh, i'm tired of household chores. you know, i look at the channels in non -russian, i write comments, knowing that no one will answer. but you will not believe how nice it is when people write in russian. i have been watching the asian channels for a long time, i leave comments, no one answers, i am calm. and then the comments went, i'm surprised !!!",@user-zn7y1cw9g可以稍后写，我会写信，尽管我们有一半，但我厌倦了家务。你知道，我看着非俄罗斯人的渠道，我写评论，知道没有人会回答。但是，当人们用俄语写作时，您不会相信它是多么的好。我很长一段时间以来一直在观看亚洲频道，我发表评论，没有人答案，我很镇定。然后评论发表了，我很惊讶！！！
30250,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw38zXdli7gWbC,0,3 years ago,nice,好的
30289,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw392HPuCiW93Y,0,3 years ago,"she takes care of her grandma so well, such a nice person. every time i think about li ziqi it’s all pleasant thoughts",她很好地照顾了奶奶，一个很好的人。每当我想到李Ziqi时，这都是令人愉快的想法
30347,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw3984QcoHv3pm,0,3 years ago,hi .l am form bangladesh .so very nice video.,HI .L AM Form Bangladesh。非常好的视频。
30395,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw39CkgmgKLW6s,0,2 years ago,wao verry nice so sweet,wao verry很好
30494,UgwNelYL8F5uVC0RErp4AaABAg,0,3 years ago,nice,好的
30551,Ugyjtfo9QitmGt2azJR4AaABAg,0,3 years ago,nice,好的
30572,Ugys20cvLbgwi-gVIQN4AaABAg,0,3 years ago,very nice,很不错
30583,UgwKM6eK6R3KYs2n_yl4AaABAg,0,3 years ago,wwaaww nice video..god bless you ☺️,wwaaww不错的视频..上帝保佑你☺️
30606,UgxIB2A22dK54RS3iLl4AaABAg,0,3 years ago,nice tv,不错的电视
34803,UgyYRbz5VFUaM0u_l354AaABAg,0,3 years ago (edited),li zi qi has been uploading a lot of vids lately i'm really happy for that but i'm a bit worried that she might be forcing herself from doing a lot of work and also how she leaves the bamboo's roots so that they can grow again is really nice of her,Li Zi Qi最近在上传了很多视频，我真的很高兴，但我有点担心她可能会强迫自己做很多工作，也有他们如何离开竹子的根源，以便他们能够成长同样，她真的很好
30809,Ugy2sCVm1a1_t35zF9d4AaABAg,0,3 years ago,your are very nice,你很好
31417,UgzBk8GfA_HF_9J-tDB4AaABAg,0,3 years ago,nice,好的
31581,UgxovCcjBjCjQwUOJmd4AaABAg,0,3 years ago,"what was the bird saying/chirping at the end? some like ""nice nice nice""",最后的鸟在说什么？有些喜欢“很好的好”
34748,UgxVb5F31AUVLpq17Jp4AaABAg,0,3 years ago,nice vido.,不错的vido。
31636,UgwqI47hhZNA2n9kYV94AaABAg,0,3 years ago,long life and happy for your family. nice video,长寿，为您的家人感到高兴。不错的视频
34832,UgzSvjDO0PjaZGHEQCZ4AaABAg,0,3 years ago,its so nice. i love this video.,挺好的。我喜欢这个视频。
30027,UgzLwzHtzrVkM2FQjEB4AaABAg.8yVqoJo7C7f8yjujgfVBif,0,3 years ago,oh hell no yuh i thought so yuh have a nice rasict life,哦，我以为，你想，你有一个美好的rasict life
29976,Ugy0r3xWMhuEZhoD15t4AaABAg,0,3 years ago,"nice video
i wish you would make videos daily and longer","不错的视频
我希望您每天都会制作视频"
29536,Ugw7pdGvQF_fd0s96zJ4AaABAg.8yWiBLps9B58yeAuFlZ74o,0,3 years ago,ofc no offence to the europeans. i know most of you guys are great and all but i'm targeting racist baskets not the nice peeps!,OFC对欧洲人没有冒犯。我知道你们大多数人都很棒，但我都以种族主义篮子而不是窥视的目标！
29213,UgyfkiBMlXxxD_GYhDZ4AaABAg,0,3 years ago,nice video,不错的视频
29259,UgzZ_AtGs8NkXPHxnZ54AaABAg,0,3 years ago,its really very nice,它真的很好
29296,UgxHJMjw0z9SddNe6Nt4AaABAg,0,3 years ago,so nice.ahaha,太好了。哈哈
29387,UgxtJwnYIB1ipq1uRll4AaABAg,0,3 years ago,very nice video you still look gorgeous as always,非常好的视频，您仍然一如既往地看起来很漂亮
29403,UgxYyiyth6S9NVIFmOB4AaABAg,0,3 years ago,nice,好的
29431,UgwqtBl6eoHeXE61S0V4AaABAg,0,3 years ago,truly organic and nicely cooked food,真正有机的食物
29565,UgwchLBbW9Dzw2QwtJd4AaABAg,0,3 years ago,wow nice i never miss all your video,哇，我永远不会错过你所有的视频
29899,UgwTbB_Fo22uCdTzPEJ4AaABAg,0,3 years ago,wow sis bembo tarkari... very nice trik i like it...,哇，sis bembo tarkari ...非常好，我喜欢...
29658,Ugx6X6S7kIaR211zMV14AaABAg,0,3 years ago,she very nice.,她很好。
29703,UgzpH3BE2koNS4RrEgp4AaABAg.8yWSez1D5Ga8yZUd7OELN2,0,3 years ago,"anne godwin 
ive just subscribed to your channel
happy day's anne! 
i agree, with your comment wonderful that she provides english subtitles isn't.
i just love this channel! 
and all the people, who take the time to give a comment, l just enjoy reading them all. 
have a nice day! everybody.♥
moira 
from england.","安妮·戈德温
我刚刚订阅了您的频道
快乐的一天的安妮！
我同意，您的评论很棒，她提供的英语字幕不是。
我只是喜欢这个频道！
所有的人都花时间发表评论，我只是喜欢阅读所有内容。
祝你今天过得愉快！大家。♥
莫伊拉
来自英国。"
29754,UgxloZMckPPu5mSY2b94AaABAg,0,3 years ago,nice to that you can walk through a beautiful yard and pick out anything you see and eat it. amazing,很高兴，您可以穿过美丽的院子，挑选出您看到的任何东西。惊人的
29813,Ugx-BqCs_yZXCz97QAB4AaABAg,0,3 years ago,ooh... those are awfully nice large bamboo shoots.,哦...那些非常漂亮的大竹芽。
29818,UgxRKBAeVIT3ah03sIR4AaABAg,0,3 years ago,"your work is very challenging, but you do well... you can support me by following my youtube channel. have a nice day",您的工作非常具有挑战性，但是您做得很好...您可以通过遵循我的YouTube频道来支持我。祝您有美好的一天
29889,Ugy5oJpU0SHqKj4hQax4AaABAg,0,3 years ago,"thanks for your nice images......
can you hold the english info a little bit longer on the screen.....
to fast for my age.......","感谢您的漂亮图像……
您可以在屏幕上保存更长的英语信息吗？
为了我的年龄快速........"
31682,UgxoZscyRD5FDO7R8bR4AaABAg,0,3 years ago,the bamboo shoots smells good while theyre cooking a bit bitter in a nice way. they also have a mushroomy taste and they're crispy and juicy.,竹芽以一种很好的方式烹饪时闻起来很香。他们也有蘑菇的味道，它们酥脆又多汁。
31698,UgzpZD9RP12Pa9FW_Wt4AaABAg,0,3 years ago,nice,很好
31782,UgwU4pkcLEeX9EK9uyN4AaABAg,0,3 years ago (edited),very nice... i love the vegetables... i love to watch ur videos very relaxing easy cooking... easy picking veg. and fruits.. i love it i love u... i feel hungry always u watching u❤️❤️❤️❤️,非常好...我爱蔬菜...我喜欢看您的视频非常轻松的烹饪...轻松挑选蔬菜。和水果..我爱它，我爱你...我总是饿了，你总是看着u❤️❤️❤️❤️
34626,UgzFQZlSWftmOy8qROx4AaABAg,0,3 years ago,nice,好的
33161,UgyrH7NVEpHzwCiGFet4AaABAg,0,3 years ago,very nice.,很不错。
33202,UgykjQSv-gM89zpOeux4AaABAg,0,3 years ago,nice,好的
33217,UgyhCmDazwpUjiFxf3R4AaABAg,0,3 years ago,wow nice,喔不错哟
33506,UgwMk0J_yUmHAk9YoCN4AaABAg,0,3 years ago,very nice sister,非常好的姐姐
33528,Ugw30jk7iKe7Lddhu-94AaABAg,0,3 years ago,vl lagise....nice video...,vl lagise ....好视频...
34696,UgzA9Zm3wGTILHG1O9B4AaABAg,0,3 years ago,nice video,不错的视频
33896,UgywJFjB7QSfXsqUFbl4AaABAg,0,3 years ago,nice video ☺☺☺,不错的视频☺☺☺
33102,UgxFM5p0bMGNhl3N-zN4AaABAg,0,3 years ago,nice,好的
33924,Ugw2mADFme6-jX6vPw54AaABAg,0,3 years ago (edited),so nice to hear granny laugh to her heart's content ☺️,很高兴听到奶奶对她内心的内容笑☺️
33943,UgwWO_45MZgwGfIwos14AaABAg,0,3 years ago,it’s nice to watch these at 3am sometimes,很高兴有时凌晨3点看
34067,Ugy2zoAGT2Ad9sqV-154AaABAg,0,3 years ago,nice! new video again! she’s the only one i don’t ignore. as soon as i see a new video watch it right away.,好的！再次新视频！她是我唯一不忽视的人。我一看到新视频立即观看。
34180,Ugw89_Rx7r6EvszCRhd4AaABAg,0,3 years ago,i am weating for your new video.. very nice video..i love it liziqi,我正在为您的新视频而奋斗..非常好的视频..我喜欢IT Liziqi
34244,Ugw-dG4MOL1xREcT3bx4AaABAg,0,3 years ago,nice,好的
34313,UgzbZ_6efSLnJ6VfaM14AaABAg,0,3 years ago,nice video liziqi. n,Nice video liziqi.
33149,UgzXCadyd2V9MID5nON4AaABAg,0,3 years ago,wow very nice,哇，很棒
33024,Ugzj3t-waWHVbUXjsvV4AaABAg,0,3 years ago,nice all kuken free you not gooto shoping,不错的所有Kuken免费
32031,UgxiVUC-gkHZsAE65Gh4AaABAg,0,3 years ago,"soo young and beautiful, and soo skilled! your videos are a breeze of fresh hair in this hot summer! eng. sub would be very nice! thanks!",SOO年轻而美丽，Soo熟练！在这个炎热的夏天，您的视频轻而易举！工程。 sub会非常好！谢谢！
34747,UgyW8wQu3BfZ7L7rftF4AaABAg,0,3 years ago,nice,好的
32216,Ugzd9emFMbtKr7Fv29p4AaABAg,0,3 years ago,nice video mam,漂亮的视频妈妈
32235,Ugyl9hnNcy_d0V_NfgZ4AaABAg,0,3 years ago,very nice and interesting to watch! thank you ! joy and happiness to you!,非常好看，很有趣！谢谢 ！欢乐和幸福给你！
32245,UgwItWSY6KhcFXCoCZh4AaABAg,0,3 years ago,where is this place? can we visit? so nice !,这个地方在哪里？我们可以去吗？太赞了 ！
32423,Ugz_KPxbwmmnjdmqYSh4AaABAg,0,3 years ago,nice,好的
32547,UgyyJWg3fyXhdipXtQN4AaABAg,0,3 years ago,nice video,不错的视频
32593,UgzSB40vcKQMxarAVRB4AaABAg,0,3 years ago,nice sir and liziqi iam pakistan iam big fane for you ... hasnain shah,尼斯先生和liziqi iam巴基斯坦IAM Big Fane ... Hasnain Shah
34697,Ugxi7Glre0XGTtAM03V4AaABAg,0,3 years ago,berry nice,贝里很好
32954,UgxmwDjRR_CFEfjN3ax4AaABAg,0,3 years ago,"can someone tell me what is in those pots with the water seal? is it vinegar or oil or something that pickles the vegetable?


one of these days i hope to see her sharpen her magic cleaver. i've never doubted that she cleans the magic cauldron, but it was nice to see that included this time because i've wondered how she does it. if it is cast iron then just with water and a cloth i guess.","有人可以告诉我那些带有水封的锅里有什么？是醋还是油，还是腌植物的东西？


这些日子之一，我希望看到她锐化了她的魔力。我从来没有怀疑过她清洁了魔术大锅，但是很高兴看到这次包括，因为我想知道她是怎么做到的。如果是铸铁，我想只是用水和一块布。"
32664,UgzqnGc0VH1N2-0Lzot4AaABAg,0,3 years ago,so nice,太赞了
32847,UgzTTitMmPbrRXSvtQp4AaABAg,0,3 years ago,very nice ❤️,非常好❤️
32867,UgyKwrfVXCXuG2JrOY54AaABAg,0,3 years ago,nice video,不错的视频
32900,UgwTk3gfA-0G0dEtlad4AaABAg,0,3 years ago,very nice cooking sis,很好的烹饪姐妹
32912,Ugw-jz5H7LEhGn1IDTd4AaABAg,0,3 years ago,you nice and your video natural,你很好，你的视频很自然
32937,UgyO_hP2ijpyQGfbJfp4AaABAg,0,3 years ago,so nice video,太好了视频
29151,UgyLMxxbBnVTKIkhKZd4AaABAg,0,3 years ago,very nice everything ♥ ️,非常好的一切♥谢
29040,UgzVX1s3HdmhWmmILgN4AaABAg.8yXyAuH9Z1Y8yh7t2X7F8t,0,3 years ago,"@user-dw6rn9zh6c! very nice) i also have a cat-“pick” murchik). hit the wall fainted, came to his senses, now he is manual. you're well done! our little animals are smaller brothers)",@user-dw6rn9zh6c！非常好）我也有一只猫“ pick” Murchik。
25063,Ugytvmc3UbnvGly8w114AaABAg.8z8TZEwBEei8zIv6KUsflR,0,3 years ago,very nice,很不错
28953,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g9CXJR8f5LAw,0,2 years ago,nice video,不错的视频
25838,UgwzXbFJnWRkvmoEOJB4AaABAg,0,3 years ago,"everything is fresh picked, beautiful presentation, lovely animals too! nice to see your grandma enjoying your cooking, wish her well and happy day ❤️",一切都是新鲜的，美丽的演讲，也是可爱的动物！很高兴看到您的奶奶喜欢做饭，祝她一切顺利，快乐的一天❤️
25892,UgxKceET6bzBwCs7-rl4AaABAg,0,3 years ago,wa ! she can do anything and we can see anything she was doing .nice.,哇！她可以做任何事情，我们可以看到她正在做的任何事情。
25914,Ugy0_BQ7ONn6T-E7JBJ4AaABAg,0,3 years ago,it's rrally nice cooking. and i like har,烹饪真是太好了。我喜欢har
34443,Ugwn-eHzWw_msSbNUD54AaABAg,0,3 years ago,nice,很好
26023,UgyyK86aAC05CRB-Pqx4AaABAg,0,3 years ago,"she is surrounded by a massive garden with a nice variety of fruits and vegetables, very organic.",她被一个庞大的花园包围，有各种各样的水果和蔬菜，非常有机。
26063,UgzY64VyRYjxIjfu-hB4AaABAg,0,3 years ago,"i really like your videos, i am a kitchen fan and i enjoy you prepare the dishes. that you also do with much love and with a wonderful cleaning and perfection. but regardless of food, their videos convey a lot of peace and positive energy. and you seem to me a very nice and beautiful girl. very good person. thanks for your videos.",我真的很喜欢您的视频，我是厨房迷，我很喜欢您准备菜肴。您也充满爱心，清洁和完美。但是，无论食物如何，他们的视频都传达了很多和平与积极的能量。在我看来，你似乎是一个非常漂亮和美丽的女孩。很好的人。感谢您的视频。
26144,Ugz16CAYxmD6X4_riZx4AaABAg,0,3 years ago,so nice #thailand,真好#Thailand
26182,UgxYRdUK27MDO0cl-CB4AaABAg,0,3 years ago,very nice cooking i like it. and u r so cleaver.,我喜欢的烹饪非常好。和你是切肉刀。
