,cid,votes,time,含nice,含nice中文翻译
52101,UgweZ7nGrG_cN0YAUDF4AaABAg,0,4 years ago,"your video so nice and amazing. i saw about 20 videos or more within 2 days. 
you are so cute, beautiful, creative, strong girl and i love the way you take care of your grandmother.
love and respect you from vietnam.","您的视频真是太好了。我在2天内看到了大约20个视频或更多视频。
你是如此可爱，美丽，富有创造力，坚强的女孩，我喜欢你照顾祖母的方式。
爱和尊重你的越南。"
52037,UgxUvi0Hx_DiDOCzaeF4AaABAg,0,4 years ago,very nice,非常好
37795,UgzjEbmU0cyJhAmxRcN4AaABAg,0,4 years ago,nice,好的
38123,UgxvIpSvFhQZ9owd01B4AaABAg,0,4 years ago,nice work girl and lovely gorgeous beautiful girl great job,好工作的女孩和可爱的华丽美丽的女孩出色的工作
37847,Ugw9kz3QQcHKggafwWN4AaABAg,0,4 years ago,love all the snacks she made. looks so simple... must be nice.,爱她做的所有小吃。看起来很简单...一定很好。
43476,Ugzhk06knzma3krlN8B4AaABAg,0,4 years ago,"everything is so nice - lambs, nature and girl needlewoman",一切都很好 - 羔羊，大自然和女孩针女
43060,UgwngDXztySmQVPgbDt4AaABAg,0,4 years ago,such a nice place to stay,这么好的住宿地点
43083,UgzdO5xMT3auE0U6M354AaABAg,0,4 years ago,natural food & nice girl.,天然食物和好女孩。
47664,UgyVJooPsE1KfOVo13N4AaABAg,0,4 years ago,nice,好的
43146,Ugy2HugnOawbaHe2nzR4AaABAg,0,4 years ago,nice,好的
43158,Ugx8zZd6T8jNjyK2QLV4AaABAg,0,4 years ago,background music is amazing...........its soothing... keep on doing hard work plus keep on choosing nice music too,背景音乐很棒...........................................................................................................................................................................................................................................................................................................................................................................
43258,UgzDtjtWb8Ut3yaR0D54AaABAg,0,4 years ago,what a nice asmr it is. do enjoy it,真是个不错的ASMR。喜欢它
47586,UgzxSjuLrxkdtsx2NQ94AaABAg,0,4 years ago,nice video,不错的视频
43325,UgwZro5iTFNuPjeAml94AaABAg,0,4 years ago,nice good,很好
43336,UgxQMti6IDosL-DoE594AaABAg,0,4 years ago (edited),'allah she is as nice and very calm as allah gives me a pious woman!,她像真主给我一个虔诚的女人一样友善，非常镇定！
43510,UgxFINPuo7OcyHwxH8F4AaABAg,0,4 years ago,there is cool puppies and so nice lambs,有很酷的幼犬和好羔羊
47739,UgyDh5kK2m4uIkfhSW54AaABAg,0,4 years ago,healthy food supper nice,健康食品晚餐很好
43563,UgzWmHRqxgzqWTqXrCZ4AaABAg,0,4 years ago,"very nice girl, i looked with great pleasure",非常好的女孩，我很高兴地看着
43580,Ugw8-d-2Wgi2DnShZLh4AaABAg,0,4 years ago,very nice from malaysia..,来自马来西亚的很好。
43669,UgyO9p0hvPNbbuG9O-B4AaABAg,0,4 years ago,that nice,那很好
47553,UgyaHXz_8zhKk6iZUsV4AaABAg,0,4 years ago,nice video good job,不错的视频好工作
43701,UgxjNxbyLrtpm0zoOt94AaABAg,0,4 years ago,how nice! unbelievable :),多好！难以置信 ：）
43809,Ugxy5Df0uKa0pAA0Ifl4AaABAg,0,4 years ago,"i like your puppies, they are nice",我喜欢你的小狗，它们很好
43896,UgxIqZ_yghBozpxGQy94AaABAg,0,4 years ago,"nice,,,",好的，，，
43984,UgxIRBRDHp9sCvkUYtt4AaABAg,0,4 years ago,how nice you do your things,你多么好事做你的事情
44002,Ugx_Rfg8pBX-UQMUa254AaABAg,0,4 years ago,very beautiful what a nice video,非常漂亮的视频真漂亮
43018,Ugx0Z7qb5ZkqzfZvsCl4AaABAg,0,4 years ago,nice,好的
42974,UgwAj8uciEHxoCx5Afd4AaABAg.8rTSJlySc2P8reJ4wrp9cY,0,4 years ago,géssica rocha it looks very nice,géssicarocha看起来非常好
44020,Ugw9setsNESKasy_UrB4AaABAg,0,4 years ago,wow vere nice and vere good i like,哇，韦尔很好，我喜欢
42560,UgxsboD4rBxbDgyFG0x4AaABAg,0,4 years ago,very very nice but good amazing,非常非常好，但很棒
47888,UgwsFt9Fnna6lKWrUDd4AaABAg,0,4 years ago,"uhh so nice 
i like you vidio","嗯，好吧
我喜欢你vidio"
42173,UgzzIahUtVmRl366FVB4AaABAg,0,4 years ago,nice foods,不错的食物
42199,UgzLN4E1gCfFiaN6cwt4AaABAg,0,4 years ago,very nice,很不错
42220,UgybBiO9Jhm4gCTPFsl4AaABAg,0,4 years ago,i love ur video is nice video,我爱你的视频不错的视频
47851,UgydLyw44u7IGDj13BB4AaABAg,0,4 years ago,nice video,不错的视频
42314,UgyH0nK7aSU2mRWUamx4AaABAg,0,4 years ago,"i am in love with this woman so pretty and cooks so well, and the oven with ears haha ​​very nice, very nice culture, here women are complicated all to prepare simple things and if they do not have comforts just do not prepare anything, the culture is so pretty oriental greetings from chile",我爱上了这个女人如此漂亮，做饭很好，耳朵的烤箱哈哈非常好，非常好的文化，在这里，女人都很复杂，可以准备简单的东西，如果他们没有舒适感， ，这种文化是智利如此漂亮的东方问候
42413,Ugya8JoFP8Zp9Ou2yAN4AaABAg,0,4 years ago,nice,好的
42534,Ugx_4mq1uMLCAEsoe6d4AaABAg,0,4 years ago,wow so nice,哇好吧
42544,UgxMCUnloLjy0_qwt_54AaABAg,0,4 years ago,nice video thanks,不错的视频谢谢
42573,UgzyQoZPuFULusJhHCd4AaABAg,0,4 years ago,nice video,不错的视频
47760,Ugx1N7GRFHLw52MUHzR4AaABAg,0,4 years ago,nice,好的
42623,UgyNCR8H_zssNfjiDyJ4AaABAg,0,4 years ago,very nice,真好
47765,UgzRoIFbZ_C6Wag8owV4AaABAg,0,4 years ago,nice video,不错的视频
42739,UgwVSBz5FYi2WkafJnJ4AaABAg,0,4 years ago,so nice,太赞了
42742,UgzvfAoTQg0YS9BFrKt4AaABAg,0,4 years ago,nice,好的
42818,UgyU3w9TdK6qvUmpqZV4AaABAg,0,4 years ago,wow nice,喔不错哟
42887,UgzyGKorRlqXBTa1E2V4AaABAg,0,4 years ago,very nice,很不错
42926,UgzKen2Bg-YKAVYUFzx4AaABAg,0,4 years ago,wow nice video,哇，不错的视频
42935,Ugyw1pos0UCMdXHAZJt4AaABAg,0,4 years ago,very nice video....and the sweet looks yummy....,非常好的视频....而且甜美看起来好吃...。
42962,UgwOP5uITb6TMEapg2x4AaABAg,0,4 years ago,"great quality , like how its made. 
greets from a half chinese half thai woman 
who lives in germany, im not often in asia 
to visit family so this is nice to see.","质量很高，就像它的制作方式一样。
问候一半中国半女人
住在德国的人，我不经常在亚洲
拜访家人，所以很高兴看到。"
44008,Ugz22SAlsUauu00lLEd4AaABAg,0,4 years ago,very nice food,非常好的食物
44035,UgzhOqAr-KtwvWQ9Z6x4AaABAg,0,4 years ago,"i don't know how i came to stop here, but what a nice video to watch, wow ..",我不知道我是怎么来这里停在这里的，但是观看的视频真是太好了，哇。
37969,UgyvMLtENPwHu9udvV94AaABAg,0,4 years ago,"it's nice video...๐‘๐‘๐‘
i'm so happy by this ๐น๐น๐น๐น๐น","这是一个不错的视频...
我很高兴这个"
45716,UgzyEsbEYuvZJSSaHZt4AaABAg,0,4 years ago,"happy chinese new year... i from chile
nice video","农历新年快乐...我来自智利
不错的视频"
45167,UgxsxD13jLquP9l1moZ4AaABAg,0,4 years ago,"wow, nice video! thanks for sharing! i am looking forward your next video!!! thumbs up!",哇，不错的视频！感谢分享！我期待您的下一个视频！！！竖起大拇指！
46636,UgxHr5eZ41Gqz26E9bd4AaABAg,0,4 years ago,your videos are beauiful and you are a very beautiful lady .i love the way you take good care of your animals very healthy i can not wach videos when the animals are skinny you can see they are not well care for ..your music is very nice ..,您的视频是美好的，您是一个非常漂亮的女士。我喜欢您很好地照顾动物非常健康的方式，当动物很瘦时，我无法播放视频，您可以看到它们不太照顾好..您的音乐非常非常好的 ..
45259,UgwfejYFlXEOx_MCs714AaABAg,0,4 years ago (edited),woww very nice,哇非常好
46520,Ugzz268xbyk_Lsbmh7Z4AaABAg,0,4 years ago,"great video as always. that's a nice way of living.
food is a great journey and amazing to taste new things in live. my kids are the same, watching my channel and telling me daddy cook that tomorrow.","一如既往的精彩视频。那是一种很好的生活方式。
食物是一次很棒的旅程，可以在现场品尝新事物。我的孩子是一样的，看着我的频道，告诉我爸爸明天做饭。"
45349,UgyjQpgrkgwMXqTAOal4AaABAg,0,4 years ago,very nice,很不错
45395,Ugwj7PVs_QzgYgitj-h4AaABAg,0,4 years ago,nice,好的
45567,UgyPKqrFkwfk2zVZ4AB4AaABAg,0,4 years ago,very nice,很不错
46477,UgxjKxFW2MxwbLK2T2B4AaABAg,0,4 years ago,beautiful village very nice weather i'm a srilankan,美丽的村庄非常好，我是斯里兰卡人
45713,UgxUWc0suu3Wz6eQDI54AaABAg,0,4 years ago,nice videos,不错的视频
45775,Ugy0ohkVjk2Rajxls9h4AaABAg,0,4 years ago,wwwwwwwwaaaaaaa nice place,wwwwwwwwwaaaaaaa nice Place
45087,UgyL8jGwFOCZQhdALpl4AaABAg,0,4 years ago,who says girls need to wear nice clothes to look pretty? shes already pretty with that cooking skills and kind heart.,谁说女孩需要穿漂亮的衣服看起来漂亮？她的烹饪技巧和善良的心已经很漂亮。
45820,UgzPx79AbbvXM6ydHQd4AaABAg,0,4 years ago,"simple, nice & brilliant...gong xi fa chai...(:- remember my childhood...*skr#",简单，漂亮且出色...锣Xi fa chai ...（： - 记住我的童年...*SKR＃
46468,Ugwoj2mz2njKuPqKuyZ4AaABAg,0,4 years ago,"really nice video and such a calming song, could somebody tell me the name or link it. thanks in advance and happy chinese new year :d",真的很不错的视频和如此平静的歌曲，有人可以告诉我这个名字或链接它。预先感谢和春节快乐：D
46427,UgwhXHwGaa0ZRue9XO94AaABAg,0,4 years ago,nice dear,亲爱的不错
45915,UgymUUR6Ocqg741QtG94AaABAg,0,4 years ago,nice,好的
45999,UgzknUCy4nQEV-L5COp4AaABAg.8qyuPZ-KDt68r-Qc_IeA0p,0,4 years ago,@almalee5476 thank you very much! you are very nice person. have a good day and happy new year:),@almalee5476非常感谢！你是一个很好的人。祝您有美好的一天和新年快乐:)
46073,UgwAy6vRE_mN2X3Nz514AaABAg,0,4 years ago,nice recipe,不错的食谱
46222,UgztVfZusqjpsUGBFaB4AaABAg,0,4 years ago,nice.,好的。
46082,UgzpDp5okKtRHDLu3HJ4AaABAg,0,4 years ago,nice,好的
46084,UgzNMJ_UlAZKbjY1rv94AaABAg,0,4 years ago,nice,好的
45105,Ugw2URfjzXfTe23WCAF4AaABAg,0,4 years ago,very nice,很不错
46702,Ugw4M2CwwIJOnk_gWVB4AaABAg,0,4 years ago (edited),wow nice do you know how to make those stuff no way omg you are really good at this and you have a good skill its that a popcorn,哇，你知道如何做这些东西，不要让你真的很擅长，而且你拥有一项富有爆米花的技能
44099,UgztOEYyUecU5Yo8TGt4AaABAg,0,4 years ago,very nice video every things is perfect,非常好的视频，每件事都是完美的
44511,UgwYeZXb0FCIkqvbJeZ4AaABAg,0,4 years ago,good.nice,好
47463,UgzfaGijE2NHaKPOWFd4AaABAg,0,4 years ago,"i'm a new subscriber and i'm from india 
i'm enjoying your vedio and all are peaceful and nice ur so beautifully mam ....and uploade 1 vedios daily plzz i'm waiting for ur vedio","我是一个新的订户，我来自印度
我很喜欢你的吠陀，所有人都和平又友善，你真是太漂亮了。"
44100,UgzPWWR3CzpgRtMOTKR4AaABAg,0,4 years ago,wow so nice i liked,哇，我很喜欢
44239,UgyW2Ly8q59ZyeP1H3l4AaABAg,0,4 years ago,very nice,很不错
44270,UgzQHJa8c03MRxfyfAF4AaABAg,0,4 years ago,nice,好的
44386,UgwTspyZdP-f75fu7oV4AaABAg,0,4 years ago,nice,好的
44402,UgzsjXBXWYPSJy04ajh4AaABAg,0,4 years ago,nice,好的
44434,Ugya7HSnnYZMM7ggzP14AaABAg,0,4 years ago,nice,好的
44491,UgyXyMxXXOEy2QD9kmt4AaABAg,0,4 years ago,wow very nice & i appreciate your hard work keep it up & and chinese people,哇，非常好
47408,Ugw57GoZRubi0gXBthJ4AaABAg,0,4 years ago,very hsrd working girl nice video,非常hsrd工作女孩漂亮的视频
47386,UgxeDu9RgeSGP1UGSPV4AaABAg,0,4 years ago,very nice soo beautiful,非常漂亮的美丽
46756,Ugyfz_xo0VkbYqgPY1x4AaABAg,0,4 years ago,very nice,很不错
44629,Ugx7QMIX_wmJr1cKL0R4AaABAg,0,4 years ago,what a pretty what a nice video,多么漂亮的视频
44651,UgwFyefn9DHM-boqHqd4AaABAg,0,4 years ago,it’s nice to watch but nothing is clear. can the recipes in russian?,很高兴观看，但没有什么清楚的。俄罗斯的食谱可以吗？
46996,UgzocsT01KvdxwTcsBB4AaABAg,0,4 years ago,very nice!,真好!
44664,UgzrfVwosif7A5KYwi94AaABAg,0,4 years ago,nice!,好的！
46853,Ugwu2ZnmuDGqBbJWi8p4AaABAg,0,4 years ago,nice,好的
44732,UgydZ8w9wzWo_Cprpnd4AaABAg,0,4 years ago,super very nice ur video,超级非常好的视频
44737,UgxFIiA8aPi_WC5FRvp4AaABAg,0,4 years ago,nice place,好地方
44765,UgwbEHHcPosMBdCmWgd4AaABAg,0,4 years ago,wow that's really nice and you're so cute's make me want to live with you in your village ❤,哇，真是太好了，你真可爱了，这让我想和你一起住在你的村庄❤
44823,UgwyNGuCsML7Fv3-C754AaABAg,0,4 years ago,very nice sister,非常好姐姐
48014,UgzDFB2ECHQ8SKcw7YZ4AaABAg,0,4 years ago,very nice....,很不错....
42056,Ugw6X-Y1KNcGgrnARYt4AaABAg,0,4 years ago,nice i love ur vedios,很好，我爱你的韦迪奥斯
48128,UgzOZeKeIoymPSBk78R4AaABAg,0,4 years ago,"beautiful. seeing that you have some english speaking fans, it would be nice to know the name of the fruits you used.",美丽的。看到您有一些说英语的粉丝，很高兴知道您使用的水果的名称。
49296,UgwL3iAA3s5UTgVNi_N4AaABAg.8qm8_CFNxiT9GyQ3Al0niG,0,2 years ago,nice,来自印度的好。
49618,Ugzq_eeHVayiD-cjjih4AaABAg,0,4 years ago,"unreasonable
very nice","不合理
非常好"
38607,UgxRuUGgr22dVRjpCPV4AaABAg,0,4 years ago,nice but tell or subtitles in english,很好，但用英语讲述或字幕
49603,UgxKaLc3AjL-9GRYzyV4AaABAg,0,4 years ago,makes a nice winter treat,做一个不错的冬季享受
49552,Ugxc-HG4YPS0sfdBK4x4AaABAg,0,4 years ago,nice,很好
38617,UgyOfCYad9Kr8-un9vx4AaABAg,0,4 years ago,wooooooow so nice๐๐๐๐,woooooow太好了
49424,Ugwc2G9zgVIeMLRaiRB4AaABAg.8qm7ZLnWwLu8v-MTaD-b2R,0,4 years ago,everything looks too perfect!!! sorry if i'm an ass... she is a nice girl but the chinese propaganda is sometimes annoying,一切看起来都太完美了！！！对不起，如果我是个屁股...她是个好女孩，但中国宣传有时很烦人
38658,UgywdkmXo2rVI-Go91d4AaABAg,0,4 years ago,nice to see the lamb and the puppies make an appearance! xx,很高兴看到羔羊和小狗露面！ xx
38698,Ugwuz23yBP4eSSZLhBp4AaABAg,0,4 years ago,nice noodles,很好的面条
49334,UgwL3iAA3s5UTgVNi_N4AaABAg.8qm8_CFNxiT9ImNs8PIXuu,0,2 years ago,"i’m sure she never made even one whole food in this channel’s movies. this channel is by chinese government with professional cuisiniers, culturists, especially pro-level audiovisual producer to advertise communism and china. we know even youtube is banned in china.(so they use bilibili) but they need a promotion channel to advertise nice images of china to the world.",我敢肯定，她在这个频道的电影中也从来没有做过全部食物。该渠道由中国政府与专业的美食，文化家，尤其是在广告中宣传共产主义和中国的支持级别的视听生产商。我们知道甚至在中国禁止YouTube。
38758,UgzG8sz7qVRnsB6Bn-J4AaABAg,0,4 years ago,nice stove :),好火炉:)
38573,Ugya9QSdPTJopD1iw7B4AaABAg,0,4 years ago,wow very nice,哇，很棒
38787,UgwEFrb_krNKNT7V_TF4AaABAg,0,4 years ago,niceeee,好
49200,UgxggflVHv5UJdjxgvZ4AaABAg,0,4 years ago,nice video,不错的视频
38870,UgwhRYtOU3OA_O_wUUV4AaABAg,0,4 years ago,niceg,尼斯
38927,UgxrjWJtHDlm9UhQ4CV4AaABAg,0,4 years ago,a very nice example. amazing video and job.,一个很好的例子。惊人的视频和工作。
38941,UgxR8q-d5naoImRss-14AaABAg,0,4 years ago (edited),"wow very nice and the girl is so cute
love from india","哇非常好，女孩真可爱
来自印度的爱"
49140,Ugw_b7OeeCBoHX4Ymq14AaABAg,0,4 years ago,ur way of making video is very nice...i love nature,您制作视频的方式非常好...我爱大自然
39021,UgyFDPJ_RfsrsBLjFEt4AaABAg,0,4 years ago,nice video so peaceful,不错的视频如此和平
49063,UgwHGg2O7T-BOgvxV9h4AaABAg,0,4 years ago,nice video,不错的视频
39217,Ugwy0GjjJ_AsgZQCaLZ4AaABAg,0,4 years ago,nice work is a great work,不错的工作是一件很棒的工作
49753,Ugy5gfWn2vpgoDatkzd4AaABAg,0,4 years ago,niceg,尼斯
49790,UgxYLjNZHC2ZCH5UdHt4AaABAg.8qlxceUHjsP8qmWLRTu6Tc,0,4 years ago,red fish nice!,红鱼很好！
41958,UgwYEc-qDfM-oIl2WNh4AaABAg,0,4 years ago (edited),"roasted melon seeds, nice...",烤瓜子，很好...
38197,Ugw_vchnVzpWhfsnAX94AaABAg,0,4 years ago,i like your food so nice,我喜欢你的食物真好
38008,UgwymeBmPkTYeRw6Oid4AaABAg,0,4 years ago,"everything looks so good.i want to live a nice, quite village life you do.everyone in your village seems to be so humble and lead a simple life.it's a very peaceful environment.thanks for the video.",一切看起来都很好。我想过上一个美好的乡村生活。您村里的每个人似乎都很谦虚，过着简单的生活。这是一个非常宁静的环境。感谢视频。
38029,Ugyb8hEFMyO0RbrIXA14AaABAg,0,4 years ago,so nice ๐’•,很好
50107,Ugz08Y_ddr_KNA3SNbR4AaABAg,0,4 years ago,she really manages to show the beauty of rural chinese lifestyle. i know it is not 100% realistic but the essence is there. really nice work refining chinese culture in these high quality videos!,她确实设法展示了中国农村生活方式的美丽。我知道这不是100％现实的，但本质在那里。在这些高质量的视频中，非常出色的工作精炼中国文化！
38065,UgxgInp4FHlW3HPKAKF4AaABAg,0,4 years ago,very nice. hard work is always fun if you love what you do,很不错。如果您喜欢自己的工作，努力总是很有趣
50094,UgyrnTrLvdII0IR7xkl4AaABAg,0,4 years ago,nice video,不错的视频
50069,UgwxhzdglHWqUKvKDmh4AaABAg.8qlqEUv124L8qlrb6Y0QRt,0,4 years ago,thank you miss pretty women li ziqi very very nice village as well as your house too,谢谢你想念漂亮的女人李Ziqi，也非常漂亮的村庄以及你的房子
46105,Ugxstood0XwT2qIsDFp4AaABAg,0,4 years ago,so nice dog n sheep,好狗N绵羊
38134,UgxuMq8Bhk-uWVqfosp4AaABAg,0,4 years ago,nice to watch! very beautiful! :),很高兴看！非常漂亮！:)
38145,Ugzg8QFE5-tUtA0Q-XB4AaABAg,0,4 years ago,niceee,好
50010,Ugxz59qlygn_r5gIJfd4AaABAg,0,4 years ago (edited),"nice video, i'm from indonesia",不错的视频，我来自印度尼西亚
49798,UgwGvAalO1hetxkQtWR4AaABAg,0,4 years ago,nice you are very perfect,很好，你很完美
49961,UgxxT0tHnB-TItxP1gp4AaABAg,0,4 years ago,very nice yaaaa,很好的yaaaa
38223,Ugy4OWl6OHWB6jBpEvF4AaABAg,0,4 years ago,"nice video,,, i'm so happy looking your videos,,, great,,,,,,",不错的视频，我很高兴查看您的视频，
38254,UgyfhkvVXv4JfvG6Z5Z4AaABAg,0,4 years ago,nice i love it โคโคโค,很好，我喜欢它❤❤❤
38394,UgwX-hZHioRqPwO-iUF4AaABAg,0,4 years ago,nice๐๐,很好
38439,UgzVyuMQmyFkOJobL_p4AaABAg,0,4 years ago,very nice,很不错
38497,Ugz9CgMQsOv3I4gJCoZ4AaABAg,0,4 years ago,what plant is at the fruit table..soo nice,水果桌上的植物是什么。
38561,UgwUh8kvUuryiVnS4ex4AaABAg,0,4 years ago,very nice video,非常好的视频
49868,UgyZZB3PBVsrkkkmVvl4AaABAg,0,4 years ago,good super nice,很好的超级好
49831,Ugwh_d2k2UhM9XxFLEB4AaABAg,0,4 years ago (edited),nice job mito san. gon will love it when he is back.,好工作mito san。 Gon回来时会喜欢它。
49050,UgzK0A-NgOCuZ9a1RaV4AaABAg,0,4 years ago,your video is very nice,您的视频非常好
49023,UgzsThLvmzJe9PNRc-d4AaABAg,0,4 years ago,nice,好的
39222,Ugxs_1caoSs_OXfRpCt4AaABAg,0,4 years ago,nice and reflective video. congratulations and thanks,不错的反射视频。恭喜，谢谢
48181,UgyUfJtxSqUv7YOVWYN4AaABAg,0,4 years ago,nice video blessings beautiful,漂亮的视频祝福美丽
48319,UgxvItc-w_GG4c6CNOd4AaABAg,0,4 years ago,"very nice video there is nothing better than the field 

happy new year","非常好的视频没有什么比字段更好的

新年快乐"
48297,UgxRnRN3xpz6t5ztfZR4AaABAg,0,4 years ago,have a nice year,祝你愉快
40854,UgwmzKiKzLOvz7b-Zb94AaABAg,0,4 years ago,nice video for watch!,不错的观看视频！
41001,UgwhOoDOx2ofXA04CNd4AaABAg,0,4 years ago,sooo nice she is so beautifull and hard working..,太好了，她是如此美丽，努力工作。
41019,UgyEIbYjI9UABsjuo7F4AaABAg,0,4 years ago,"nice fruit, nice color, beautiful....",不错的水果，颜色漂亮，美丽。
41072,UgwWlz7JOyqLszNxbCJ4AaABAg,0,4 years ago,"i quit eating meat, probably before you were born, but this was still so nice to watch. and i love that your oven looks like a cat! :¬)",我可能在你出生之前就戒掉吃肉，但这仍然很高兴。我喜欢你的烤箱看起来像猫！ ：¬）
41181,Ugz5Ea33blHfYLJMVg54AaABAg,0,4 years ago,she living with natural.so nice,她和天然一起生活。
41371,UgwI0i_lnldx_24SMzZ4AaABAg,0,4 years ago,very nice parthyle nakku uruthu super,很好的parthyle nakku uruthu超级
41376,Ugzl6KjMAWRi8E8d3Ol4AaABAg,0,4 years ago,how nice it would be if you didn't leave the dogs hungry,如果您不让狗饿了，那会真是太好了
48155,UgwuvWe7NEYxhH46Wg94AaABAg,0,4 years ago,"video nice, my friends watching video:
learn color with tom and friends, fun animals for children, video education color bilingual 2019-english","视频不错，我的朋友看视频：
与汤姆和朋友一起学习颜色，儿童有趣的动物，视频教育颜色双语2019-英语"
48943,Ugy7wCyCJT8V8Su3a494AaABAg,0,4 years ago,very nice vid.......... but those 2 puppies really caught my attention.....,非常不错的vid ..........但是那两只幼犬真的引起了我的注意.....
41421,Ugx2Sv3bTld_Rp-tIkR4AaABAg,0,4 years ago,thank you sharing ! nice video and good work.,谢谢分享！不错的视频和良好的工作。
41434,UgxluQWjcL0BHMAa1zR4AaABAg,0,4 years ago,nice,很好
41551,Ugz_NA97VnrBhWtfMEd4AaABAg,0,4 years ago,just nice. lazy fat boy would be very happy to take her as a wife. :))),刚好。懒惰的胖男孩很高兴带她作为妻子。 :)）））
48142,Ugwpt9dahyXvf48qz654AaABAg,0,4 years ago,nice,很好
48136,UgxVdqnbX3p98DSEdDh4AaABAg,0,4 years ago,nice saw,锯
41679,Ugz7dcdcrH2zqLdP9_Z4AaABAg,0,4 years ago,nice,好的
41749,Ugx89kv4T9lWXNFNYLJ4AaABAg,0,4 years ago,nice very nice manja,很好，非常好
41832,UgyFUmE642iW9nBHo_94AaABAg,0,4 years ago,"beautiful good :))) nice girl
from vietnam with love","美丽的好:)））好女孩
来自越南的爱"
41851,UgxXgUkhuov2sassO614AaABAg,0,4 years ago,iloveyou your so beautiful and nice girl good job,iloveyou you your you so Kiptirot Girl的好工作
40760,UgwembpGaT46kiinq4J4AaABAg,0,4 years ago,it looks very nice,看起来很漂亮
48393,UgxJohiYPDchpCTZY4B4AaABAg,0,4 years ago,"it is a real show to see the videos of this channel, they are very nice",这是一个真正的节目，可以看到此频道的视频，它们非常好
40509,UgxhI3eeerN-hRoABrx4AaABAg,0,4 years ago,very nice,真好
40446,UgxzFBeZZvRYnu-BO414AaABAg,0,4 years ago,which camera does she use?itss sooo nice,她使用哪个相机？它太好了
39402,UgyzlrRPoPj4LFiJFrF4AaABAg,0,4 years ago,nice.vvv nice,很好
39403,UgxAiN61t_6_k_JoRCV4AaABAg,0,4 years ago,hello. i. am. swati. what. is. your. name. nice. vlog,你好。我是。斯瓦蒂。什么。是。你的。姓名。好的。 vlog
39428,UgzW2p_uO7cFatOcCvZ4AaABAg,0,4 years ago,"i have followed for a while there is a beautiful chef, the place where it lives is very nice. maybe it is the culture, i do not like it why i do not like how the animals are treated. you think",我跟随一段时间有一个美丽的厨师，它的住所非常好。也许是文化，我不喜欢它为什么我不喜欢对动物的治疗方式。您认为
39495,Ugwqi3Ed5Ojk5zdpFCl4AaABAg,0,4 years ago,that looks wonderful. thank you so much for sharing. so delicious. nice! โค๏ธ jen,看起来很棒。非常感谢你的分享。太好吃了。好的！ ❤️Jen
48858,Ugx8VQ3Aas5lAphQFGl4AaABAg,0,4 years ago,nice video i like it next video am waiting long video,不错的视频，我喜欢下一个视频正在等待长视频
48811,Ugzi9eicOj8BH_q8EcJ4AaABAg,0,4 years ago,"happy new year from the u.s. thank you for making such nice videos.
also, why are your dogs always puppies? i never see them get bigger.","来自美国的新年快乐感谢您制作了如此出色的视频。
另外，为什么您的狗总是幼犬？我从未看到他们变得更大。"
39720,UgzR3G0pqpjPSbzg5h54AaABAg,0,4 years ago,"verry nice
https://www.youtube.com/channel/ucvholimnu5ae1g2ig5pjjlg","经历很好
https://www.youtube.com/channel/ucvholimnu5ae1g2ig5pjjlg"
39740,Ugw_gVzMwAOo2HldyrB4AaABAg,0,4 years ago,nice your love,好你的爱
48786,UgzBFEb6QhizQeSnbVV4AaABAg,0,4 years ago (edited),i live in city of town. i miss my home. your video remind of my memories but i like that my memories because that is important to me. that made by live to my life. i make a food by myself and i hope i wonder meet you someday. i wish to meet you. have a nice day and to be health.,我住在镇上。我想念我的家。您的视频让人想起了我的记忆，但我喜欢我的记忆，因为这对我很重要。这是由我的生活实现的。我自己做食物，希望有一天我想知道见你。我想见你。祝你有美好的一天，要健康。
48735,Ugx_3SHrzaWtEaLnSL54AaABAg,0,4 years ago,nice,不错的
39808,UgwEnvuaB4JFU8lT-_94AaABAg,0,4 years ago,how nicely she chopped the mango,她切碎了芒果
39840,Ugzi5xYWzLn3FtDysF14AaABAg,0,4 years ago,nice shot luv it,好射击爱它
48688,UgwIoanaWsNkyKj0-4R4AaABAg,0,4 years ago,nice,好的
48687,Ugwa-YuGTB01LcCDBeF4AaABAg,0,4 years ago,nice video nice place,不错的视频好地方
40045,Ugzi_d-o-9h2DWu2BKF4AaABAg,0,4 years ago,this is nice..i enjoy watching this show . i also recommend you watch this: https://www.youtube.com/watch?v=qr_l9buhveq..it will move your heart. you can help their charity work by subscribing to their channel.,这很好..我喜欢看这个节目。我还建议您观看以下内容：https：//www.youtube.com/watch?v=qr_l9buhveq ..它将动弹。您可以通过订阅他们的渠道来帮助他们的慈善工作。
48580,UgxIOi6umCU-wGPXDo14AaABAg,0,4 years ago,"nice video, thanks",不错的视频，谢谢
40058,Ugx99mfNHo3-0x1rrxx4AaABAg,0,4 years ago,"this is like watching a movie, her acting is really good, also the camera angles and setup. really nice production overall",这就像看电影一样，她的表演真的很好，也是相机角度和设置。总体而言真的很好
48469,UgzIatkGzEo_C0JCdwR4AaABAg,0,4 years ago,"that's really so nice to watch your videos. everything looks perfect. i enjoy it to watch you. i think it smells so good in your house. it seems it is a nice place there. 
greetings from germany 
chris","观看视频真是太好了。一切看起来都很完美。我很喜欢看你。我认为您家闻起来很香。看来那里是一个不错的地方。
来自德国的问候
克里斯"
40340,UgxOJTgs1VWEjFBbZEd4AaABAg,0,4 years ago,"nice lamb, its a baby not meat !!! #goveganfuckinghumans",漂亮的羔羊，它是婴儿不是肉！！！ #goveganfuckinghumans
