,cid,votes,time,含lovely,含lovely中文翻译
48919,UgxFNvPsbj8yUcmiOB94AaABAg,0,4 years ago,"does anyone know what is going on? like, why are these videos so well produced? who produces them? where on earth are they filmed? these videos baffle me so much i wish i could read chinese so i could understand. it's like a cooking show/lifestyle vlog/also making furniture and stuff, but it's also obviously scripted and produced? i'm so confused. anyway the videos are lovely they're like live action studio ghibli",有人知道发生了什么吗？就像，为什么这些视频如此精心制作？谁生产它们？他们在哪里拍摄？这些视频使我感到困惑，我希望我能阅读中文，以便我能理解。这就像烹饪表演/生活方式视频博客/也制作家具和东西，但显然也是脚本和生产的？我很困惑。无论如何，这些视频很可爱
48966,UgxSYCe7wt6gb4cQ8SN4AaABAg,0,4 years ago,those lovely little animals hanging out with you. so sweet. :3,那些可爱的小动物和你一起出去玩。如此甜蜜。 ：3
49388,UgxQAg7zCPVROXMvYll4AaABAg,0,4 years ago,in the world beautiful girl and verry good jab realy lovely ummmm ma love you god bless you,在世界上美丽的女孩和经历的好戳刺真的可爱的ummmm ma爱你上帝保佑你
49433,Ugxw9ZjbJyOIzRt5FcF4AaABAg,0,4 years ago (edited),"0:24 three lovely classes
10:05 hahaha","0:24 可爱的三个跟班
10:05 哈哈哈"
49511,UgzhkzdxoQsc84yXsCF4AaABAg,0,4 years ago,happy new chinese year lovely girl,新中国新年快乐的女孩
49772,UgyPFMgXuVoClYcLnVh4AaABAg,0,4 years ago,lovely bonding between you and your pets,您和您的宠物之间的可爱纽带
49962,Ugw2hV8wT65mR66mAfR4AaABAg,0,4 years ago,lovely,迷人的
49978,UgwBAorVTw8bHUPgA1J4AaABAg,0,4 years ago,who's the luckiest gay???? you are a lovely and such a wonder women i never seen before!!!!!,谁是最幸运的同性恋？？？你是一个我以前从未见过的可爱和如此的神奇女人！
49992,UgyFLGSucp5uyFqPYdl4AaABAg,0,4 years ago,you great and lovely,你很棒可爱
50299,Ugz4NzxzuW7YsyZVU7N4AaABAg,0,4 years ago,mmm! that's lovely. what patience to cook.,嗯！这是可爱的。做饭的耐心。
50501,Ugw_bWBZl7HFbhcgUlF4AaABAg,0,4 years ago,all these things are preparing for enjoying our lovely stomach,所有这些事情都在准备享受我们可爱的胃
50704,UgwEH468DVaKbT6giO14AaABAg,0,4 years ago,so lovely to watch your video,很高兴观看您的视频
50868,Ugzyml7ghMU4N6Nrv_54AaABAg,0,4 years ago,this looks lovely!,这看起来很可爱！
50960,Ugx8LqIjkHMJ8OgHIbZ4AaABAg,0,4 years ago,wow..u r all videos are lovely..,哇..所有视频都很可爱..
51433,UgwjMAZwYYJq1eWBy8x4AaABAg,0,4 years ago,i wish i understand what you said. so lovely...,我希望我明白你说的话。好可爱...
51597,Ugz-6nEZ3OmVIbUTw4d4AaABAg,0,4 years ago,"enjoyed fully, lovely",享受完全可爱的
52367,UgxP9JB78awEXkz7VHR4AaABAg,0,4 years ago,lovely inspiration.... beauty and fresh food... your amazing and great job!!,可爱的灵感....美丽和新鲜食物...您的出色工作！
52554,UgxkFubg5tyTHDpY9ep4AaABAg,0,4 years ago,always in a expectation ..... to ur video.... u and those lovely kids .... awesome...love you from india. ❤❤❤❤❤❤❤❤❤,总是期望.....您的视频....你和那些可爱的孩子....很棒...来自印度的爱你。 ❤❤❤❤❤❤❤❤❤
47368,UgxajZVU-ArZ2lS1phh4AaABAg,0,4 years ago,it's lovely,很可爱
47229,Ugzdom7pI9I_Z2EvbDB4AaABAg,0,4 years ago,lovely,可爱
46999,UgxmS7a5D-2yZg8KtC94AaABAg,0,4 years ago,"what a lovely girl with attitude and so many talent you have, salute.. btw.. happy chinese new year from indonesia",多么可爱的女孩，有着态度和如此多的才华，致敬..顺便说一句。
45251,UgyT0510OezDunqReO94AaABAg,0,4 years ago,it's lovely!,很可爱！
42894,Ugx_SVc6lqJJAIUFTj14AaABAg,0,4 years ago,may god alway's bless you..tq for give me one lovely joy..tq again..,愿上帝一直祝福你..
42916,UgyjINGkat6CQfhuTX54AaABAg,0,4 years ago,hi lovely sister. i m a big fan of urs.,嗨，可爱的姐姐。我是URS的忠实粉丝。
43233,UgwtAT4tjD9833uYG1V4AaABAg,0,4 years ago (edited),"the sound effects... the clanking, the chopping, the knocking, the pouring, the frying, the stirring, the popping, the crispy, the paper folding.. except for human and lovely little animals sounds
by the way, did anyone notice that her outdoor oven is a doggie face","声音效果...弯曲，切碎，敲门，倒倒，煎炸，搅拌，弹出，脆皮，纸张折叠..除了人和可爱的小动物听起来
顺便说一句，有人注意到她的户外烤箱是狗狗的脸"
43307,UgwdKdJXoekQtDB3KZ14AaABAg,0,4 years ago,i cried because she’s so lovely and it’s a blessing to see this.. i’m pregnant might explain why i cried,我哭了，因为她是如此可爱，很高兴看到这个..我怀孕了可能解释为什么我哭了
44188,Ugz-lVq1J0dX6Ki5odZ4AaABAg,0,4 years ago,"wow, you can cook. i love your setup too, with the lovely old-fashioned stoves with logs and wood pieces/sticks burning below. relaxing and cheerful and cozy and uplifting and inviting.",哇，你可以做饭。我也喜欢您的设置，带有可爱的老式炉子，下面有原木和木材/木棍。放松，开朗，舒适，令人振奋和诱人。
44234,Ugz4o6Cha8c9tr9QSh54AaABAg,0,4 years ago,"lovely cooking
lovely cook
love from iran","可爱的烹饪
可爱的厨师
来自伊朗的爱"
44280,Ugx8D6r0Sc-iBea5h-V4AaABAg,0,4 years ago,it's lovely,很可爱
44529,Ugy1XVIxWd60hSnWa7p4AaABAg,0,4 years ago,so lovely,好可爱
44633,UgwEiXzPW0TLi0_aaCx4AaABAg,0,4 years ago,so beautiful to watch. how confident is she with all that cooking. it's so lovely how all the pets are following her around. she's also so sweet to her grandma. it reminds me of how i was with my grandma when i was little.,如此美丽。她对所有烹饪有多自信。所有的宠物都在跟着她周围跟随她真是太可爱了。她对奶奶也很甜蜜。这让我想起了我小时候和奶奶的样子。
44962,UgzMK1S-PxpjCzJ9RVx4AaABAg,0,4 years ago,lovely video!!,可爱的视频!!
38261,UgztUIjhG7MaHMK6XYl4AaABAg,0,4 years ago,"lovely, made me wanna live there too:''",可爱，让我也想住在那里：''
46918,UgySra2ETu3FgbgoeZV4AaABAg,0,4 years ago,it's so lovely.... i would like to have a life like that too.. natural !,太可爱了。...我也想拥有这样的生活..很自然！
45355,Ugxc9MfMbD59FTS-QZV4AaABAg,0,4 years ago,lovely.please add english subtitles,可爱。请添加英文字幕
45478,UgxVamKc-6ESm8Nk3vt4AaABAg,0,4 years ago,lovely family and animals,可爱的家庭和动物
45563,UgyUGgX7DHR3QEBks1J4AaABAg,0,4 years ago,the two puppies and the sheep ... lovely companions,两只小狗和绵羊...可爱的同伴
45608,Ugw_i9LW4F40IIFXHcV4AaABAg,0,4 years ago,happy chinese new year! lovely video.,农历新年快乐！可爱的视频。
46115,UgwkpFGa9X1sd68Gkzd4AaABAg,0,4 years ago,how is everything so perfect? and i love your house and farms! also those baskets and utensils you use...i'm dreaming of those lovely baskets. also...consider an extra like from me for those cute little furbabies following you around!,一切如何如此完美？我爱你的房子和农场！还有您使用的那些篮子和餐具...我梦想着那些可爱的篮子。另外...考虑一下那些可爱的小furbabies跟随您的额外的东西！
46158,UgxFAo6Q0Y3UfY9uCYd4AaABAg,0,4 years ago,lovely,可爱的
46209,UgzttEaJGoUgxky4gIR4AaABAg,0,4 years ago,this is so soothing and lovely to see all the items prepared from scratch,看到所有从头开始准备的物品，这真是太舒缓了
46261,UgypaO7MojCcr5BE0Yt4AaABAg,0,4 years ago,lovely,迷人的
46311,Ugy7JSRP0-FiAoih3gl4AaABAg,0,4 years ago,so lovely..,太可爱了
46789,Ugz6Yl070G25UL9Unmp4AaABAg,0,4 years ago,lovely video i watch all ur videos n ur all videos are perfect n this one is awesome bcz u hav shown all those things which we see in the markets only thnx alot...but still waiting for the methods in english,可爱的视频，我观看了所有视频n ur your所有视频都是完美的，这是很棒的bcz u hav显示了我们在市场上看到的所有这些东西，但仍在等待英语的方法
38333,Ugx6qaYihEZ-iTkBKKp4AaABAg,0,4 years ago,lovely girl beautiful girl ๐‘ง perfect,可爱的女孩美丽的女孩
387,UgwpkPWpRX1ahqZTR_t4AaABAg,0,2 months ago,lovely ❤,可爱❤
38222,UgyHgA4TlTGIJhaeo7V4AaABAg,0,4 years ago,how lovely :),多么可爱 ：）
15692,UgwJJyB7wBzWxz744uZ4AaABAg,0,3 years ago,"one correction the seeds fried in salt r sunflower seeds
lovely vdo as always","一种纠正在盐r葵花籽中油炸的种子，而不是瓜子，！
一如既往可爱的VDO"
12354,UgwkRQ1-eGzVXx66KTZ4AaABAg,0,2 years ago,very lovely ❤️❤️,非常可爱的❤️❤️
13142,UgybBUX-OZiEl7z2DMd4AaABAg,0,2 years ago,"where she is from, she is rich but by western standards, she is not. i'd rather be rich in skill, fresh produce, and care, then have a chef cook for me, it looks like her and her family help the village a lot, lovely video.",她来自哪里，她很富有，但按照西方标准，她不是。我宁愿富有技巧，新鲜的农产品和关怀，然后为我提供厨师厨师，看起来她和她的家人对村庄有很多帮助，可爱的视频。
13215,Ugx3e6ElVt6RyFfC1214AaABAg,0,2 years ago,"it’s so nice, lovely, and relaxing to live in a countryside",住在乡村真是太好了，可爱和放松
13314,UgzXbB_ocYvBTb2d02x4AaABAg,0,2 years ago,lovely.....,迷人的.....
13475,Ugyldax9kkrTro0zJnZ4AaABAg,0,2 years ago,"this lovely girl is just an encyclopaedia of foods. 
so far, i have seen she almost covered all kind of major vegetables and fruits, which appeared in her videos. 
it’s seem that every kind of foods, she will find a way to cook it at a professional level.","这个可爱的女孩只是食物的百科全书。
到目前为止，我已经看到她几乎涵盖了各种主要的蔬菜和水果，这些蔬菜和水果出现在她的视频中。
似乎各种食物，她都会找到一种在专业水平上烹饪的方法。"
13480,UgzVS2hajQhVqjzMyeN4AaABAg,0,2 years ago,this is happiness. ..lovely,这是幸福。 ..迷人的
13682,UgyvXj7Tc4kBh_P8YLZ4AaABAg,0,2 years ago,she is my lovely wife from china☺️☺️,她是我可爱的妻子来自中国☺️☺️
14261,UgzRs8cXLmx-H4tz5bp4AaABAg,0,2 years ago,"this video is meaningful, both love and value
that sister is so gentle and lovely
extremely support","该视频有意义，爱与价值
那个姐姐是如此温柔可爱
非常支持"
14420,UgwBp30UfPCARFWGA094AaABAg,0,2 years ago,lovely,迷人的
14748,UgwFJd3wVpAPDdqEHAR4AaABAg,0,2 years ago,that's lovely,这是可爱的
15708,Ugx6pauJvoKq72W9W2F4AaABAg,0,3 years ago,lovely video ❤ but how mango has no seeds?!!,可爱的视频❤但是芒果如何没有种子？
11293,Ugxqaxaeg6VEteVW9hZ4AaABAg,0,2 years ago,lovely!,迷人的！
16210,Ugz15Q1LGrCJcZWz7G54AaABAg,0,3 years ago,the sheep is so lovely,绵羊是如此可爱
17217,Ugwwmo-HqseFylnUJFh4AaABAg,0,3 years ago,how lovely !,多么可爱 ！
17775,Ugw5utCcfQ1FRVVk9wp4AaABAg,0,3 years ago,lovely day.,美好的一天。
18167,UgzSO8yxox53Rx2Um394AaABAg,0,3 years ago,how lovely,多么可爱
18700,UgxTIb93H24pSIte_LR4AaABAg,0,3 years ago,that's lovely,这是可爱的
19206,Ugy3FtR7iepFwDDYqJV4AaABAg,0,3 years ago,lovely,可爱
19223,UgzsdY3HsTemgb0YPkl4AaABAg,0,3 years ago,very good luck ilikes lovely coko good luck,祝你好运ilikes可爱的柯科祝你好运
19496,UgxaX26DZfCl1Y9-fZJ4AaABAg,0,3 years ago,what a lovely woman.,多么可爱的女人。
20443,UgxmNm11CxeRBTDJ43V4AaABAg,0,3 years ago,lovely,迷人的
20615,Ugyb2krzv0yRVwOKgP14AaABAg,0,3 years ago,lovely girl,可爱的女孩
12068,Ugyvh5ORo05ZMgokgb14AaABAg,0,2 years ago,you are so beautiful and lovely . i love you ♥️,你是如此美丽和可爱。我爱你♥谢
9799,Ugy00YXHC9zdeOvEDal4AaABAg,0,2 years ago,my lovely and favroute girl liziqi,我可爱而狂热的女孩liziqi
20636,UgxQAzQvWDwLlEvOeOJ4AaABAg,0,3 years ago,i'm so good. the dogs with lovely sheep,我很好。狗有可爱的绵羊
4682,Ugyr0UZDz3MOXiPV95p4AaABAg,0,1 year ago,ohhhh so amazing .....so lovely♥️❤️❤️♥️i like your vedio......more,哦，太神奇了.....如此可爱♥️❤️❤️
1897,UgwQbFLz-1-KfsJLKnh4AaABAg,0,1 year ago,im in india lovely for cooking,我在印度的烹饪可爱
2056,Ugxl6Hu3zrH0Ptbnt5R4AaABAg,0,1 year ago,"lovely videos... i know its 3 years ago but have to mention , the cloth strips or collars around the puppies necks look tight..",可爱的视频...我知道它是3年前的，但不得不提到，小狗脖子上的布条或项圈看起来很紧。
2379,UgyzfzB0Neo_w7JYwIN4AaABAg,0,1 year ago,"so beautiful, amazing, lovely, and wonderful.",如此美丽，惊人，可爱和美妙。
2835,Ugyd_9qHQtL-4NLEmuN4AaABAg,0,1 year ago (edited),"so beautiful, amazing, lovely, and wonderful. ❤️ much blessings to you. ✝thanks for sharing, lord-jesus-christ com",如此美丽，惊人，可爱和美妙。 ❤️祝您很多祝福。 ✝感谢分享，耶和华 - 基督的com
2840,Ugy--6gL00XR1cKrsYR4AaABAg,0,1 year ago,lovely video,可爱的视频
3093,UgwXHr10cFfXCYe7shZ4AaABAg,0,1 year ago,"lovely, look at her friendly. i think. thanks",可爱，看看她的友好。我认为。谢谢
3153,UgyTH5djRCCPEkwrPAF4AaABAg,0,1 year ago (edited),"i understand the appeal of her videos because they portray an idealized version of a life that stopped existing for most of us generations ago. especially in china where so many have moved from these settings to cities where the jobs are. i can appreciate it while also realizing she is a multimillionaire with a production team behind her to make these things. they are far too professional for a rural woman with an iphone. just because she isn't some simple country girl and this is all staged doesn't mean it isn't wonderful to watch as long as you can separate the fantasy from the reality. the reality of rural life isn't a lovely dream; it's a hard life that most of us wouldn't prefer if we had to live it on a daily basis. she shows an idealized version of the good parts, which is fine for what it is: a fantasy for the cameras. american media does this, too. we elected a fool for president because of a reality show that portrayed him as something he is not.",我了解她的视频的吸引力，因为他们描绘了一种理想化的生活，这在我们大多数人几代之前都停止了。特别是在中国，许多人已经从这些环境转移到工作所在的城市。我可以欣赏它，同时也意识到她是一名千万富翁，在她身后有一个制作团队来制作这些东西。对于拥有iPhone的农村妇女来说，他们太专业了。仅仅因为她不是一个简单的乡村女孩，这一切都在上演并不意味着只要您可以将幻想与现实区分开来，这并不是一件好事。乡村生活的现实不是一个可爱的梦。如果我们每天必须过上它，这是我们大多数人不喜欢的艰难生活。她展示了优质零件的理想化版本，这对它的本质很好：摄像机的幻想。美国媒体也这样做。我们当选为总统的傻瓜，因为真人秀将他描绘成他不是的东西。
3566,UgzUVoIYFyCoODi94kx4AaABAg,0,1 year ago,"very lovely, very nice",非常可爱，非常好
4484,Ugxqiy0vUmUJ0LwtXwJ4AaABAg,0,1 year ago,so lovely puppy,如此可爱的小狗
4675,Ugz_g9VrOfqzmN-sYx54AaABAg,0,1 year ago,3 lovely mass actors,3个可爱的群众演员
5153,UgzqlAoi7wpICJbDLL94AaABAg,0,1 year ago,yr grandmother is so lucky like u child so lovely,年祖母真是太幸运了，就像你的孩子一样可爱
9702,Ugz7M-Q0x4_SiI8d-Mx4AaABAg,0,2 years ago,what a lovely video. you certainly have a eye for making food look good! love from southampton uk,多么可爱的视频。您当然有使食物看起来不错的目光！来自英国南安普敦的爱
6159,Ugz3lsYOfTizdClW6zx4AaABAg,0,2 years ago,lovely,迷人的
6160,Ugw5CIjkiWIqEYQ-T_R4AaABAg,0,2 years ago,lovely,迷人的
6177,UgxnFioBMytP0gvEhA54AaABAg,0,2 years ago,lovely,迷人的
6341,Ugy3u6rrFBJ-w-tYs_t4AaABAg,0,2 years ago,"liziqi u r so ....lovely ,love from india",liziqi u r so ....可爱，来自印度的爱
7594,UgxNC8es4ivE5wM0Hip4AaABAg,0,2 years ago,lovely,迷人的
8077,UgzQ2tfU8CsxEsJxrRN4AaABAg,0,2 years ago (edited),"
i really love this vlog...
so lovely....
i always use this sounds to relax when i sleep at night...
bcoz all what she doing its perfect! 
sounds really natural","
我真的很喜欢这个视频博客...
好可爱....
晚上睡觉时，我总是用这种声音放松...
BCOZ她所做的一切完美！ 
听起来很自然"
8868,Ugw_DCrDXwKxuIzzRRV4AaABAg,0,2 years ago,"i can't figure out how to edit the translation to english, so i assume that these are custom transcript, but at 06:49 , it is salted and roasted sunflower seeds. they are not melon seeds. fyi <3<3 thanks for this lovely amazing channel.",我不知道如何编辑翻译为英语，所以我认为这些是自定义的成绩单，但是在06:49，它被腌制和烤葵花籽。他们不是瓜子。仅供参考<3 <3感谢您的惊人频道。
9291,Ugx_ecPSXWdWYQGAtTF4AaABAg,0,2 years ago,i want to visit you in your lovely village,我想在你可爱的村庄拜访你
9296,Ugy5WpQ8hQ0ymZ6MWfN4AaABAg,0,2 years ago,i watch every such video and they are like a delicious fairy tale for me !!! the girl is lovely! delight! the present is all natural and beautiful!,我观看了每个这样的视频，它们对我来说就像一个美味的童话！！！女孩很可爱！喜！现在是自然而美丽的！
9404,UgwJhY9294W4RJY-0854AaABAg,0,2 years ago,sooooo cute and lovely,太可爱可爱
20626,Ugz2mee2nfBwk73snTB4AaABAg,0,3 years ago,lovely life..,可爱的生活..
21742,UgxPkTKkzWHD6V2Iizd4AaABAg.93MeJ4vjDrb93Q78FUvrzH,0,3 years ago,@user-zm4qp5ik7n thank you. now i know the media lies. i really like china and the people. i would love to visit one day. i especially love your beautiful video's they are so lovely.,@user-zm4qp5ik7n谢谢。现在我知道媒体谎言。我真的很喜欢中国和人民。我很想有一天去。我特别喜欢您美丽的视频，它们是如此可爱。
38202,UgwGB7aNnSInJ3NiIzx4AaABAg,0,4 years ago,for me this woman is a true treasure so lovely and joyful with legendary knowledge of healthy foods and life style just love what she does,对我来说，这个女人是一个真正的宝藏，如此可爱而快乐，对健康食品和生活方式的传奇知识只喜欢她的所作所为
34133,Ugx247col2MoHOB0Qeh4AaABAg.8vA3n2VQ0cm8vv1Ky1sGv_,0,4 years ago,"lovely m, you roll it, it is not easy to improve the overall quality of china. there are always unwilling to learn who is not easy to learn chinese aunt. defined by your comments is really bitten by a dog, considering unlucky, people can't learn to bark as you bark. you are happy, you are random",Lovely M 你滚吧，不容易中国整体素质提高点，总有不长心的学谁不好学中国大妈，把蛮狠不讲理嫉妒嚼舌根的习惯学的淋漓精致。被你的评论玷污真是算被狗咬了，自认倒霉，人总不能也学你一样吠。你开心你随意
33192,Ugxuxau-6vCXEzcNK_x4AaABAg,0,4 years ago,lovely,迷人的
33722,UgzdMYBGdTF1tyMjJV14AaABAg,0,4 years ago,"lovely, lovely, lovely โฅโฅโฅ",可爱，可爱，可爱♥♥♥
34118,Ugx247col2MoHOB0Qeh4AaABAg.8vA3n2VQ0cm8vr8JO6GRgd,0,4 years ago,"lovely m, you can learn, you are afraid of finding ten eight teams and no one will use it",Lovely M 你可以学学，就怕找十个八个团队也没人中用
34122,Ugx247col2MoHOB0Qeh4AaABAg.8vA3n2VQ0cm8vsLU-n_M7b,0,4 years ago,what is lovely m squartine? i'm sorry northerners can't understand,Lovely M 水军是什么？不好意思北方人看不懂
34124,Ugx247col2MoHOB0Qeh4AaABAg.8vA3n2VQ0cm8vtHqbCIP-p,0,4 years ago,lovely m people who always exist in yin and yang strange in this world,Lovely M 这世上总有阴阳怪气的人存在
34125,Ugx247col2MoHOB0Qeh4AaABAg.8vA3n2VQ0cm8vtI4hwi75G,0,4 years ago,"lovely m, you are the shepherd there again ~ it's amazing, you are the spokesperson of justice and iq",Lovely M 你又是那里的牧羊犬呀～不得了了，你是正义颜值智商的代言人
34126,Ugx247col2MoHOB0Qeh4AaABAg.8vA3n2VQ0cm8vtITu4TZEf,0,4 years ago,"lovely m, you don't like li ziqian, a team also promoted chinese culture, and asked you to be a dull brain. if you can do better than her, i don't need to bark, i will shut up. the problem is that you only have the ability to press the keyboard.",Lovely M 你们不喜欢李子柒滚就是了，有团队也宣传了中国文化，要你个呆逼玩意装的脑壳子不好使出来丢人现眼？你要是能比她做得好，不用你吠，我也会闭嘴，问题是你也只有按键盘的本事啊
34130,Ugx247col2MoHOB0Qeh4AaABAg.8vA3n2VQ0cm8vtJ_J3k-Zl,0,4 years ago,"lovely m hum, you go to leave a message to exaggerate, no more silent, your worship is the message saying: everyone see, this person has a team?",Lovely M 哼，你去留言夸就是了，再不沉默，你的崇拜就是留言说：大家快看，这个人有团队？
34131,Ugx247col2MoHOB0Qeh4AaABAg.8vA3n2VQ0cm8vtJjJqUeXt,0,4 years ago,"lovely m labor and capital, you will understand if you meet you like this? if you want to be free, you must be prepared to be stunned.",Lovely M 劳资遇到你这种呆逼装的就烦懂？你想言论自由就要有被怼的准备，不要当了婊子还想立牌坊
34132,Ugx247col2MoHOB0Qeh4AaABAg.8vA3n2VQ0cm8vtKAfKFcxN,0,4 years ago,"lovely m over the wall out of the wall ok? when you meet someone who can understand the message, pretend to be forced?",Lovely M 翻墙出来老实点OK？遇到个看得懂留言的就装个逼？
34201,Ugycmv-ZeR4qEofKQRZ4AaABAg,0,4 years ago,"all i see is love,peace, calm and the lovely village life.. love it.. oh and nice foodddds",我所看到的是爱，和平，平静和可爱的乡村生活..爱它..哦，不错的食物
32240,UgwZRJdzWhFFaDRasUp4AaABAg,0,4 years ago,"so sweet & sleepy lovely video 
love this girl","如此甜美而困倦的可爱视频
爱这个女孩"
34245,Ugycj5CLTnhkF0ENwu94AaABAg,0,4 years ago,i somehow feel like reviewbrah would be an ideal partner for this lovely lady. they both are such old souls.,我不知何故觉得评论将是这位可爱女士的理想伴侣。他们俩都是如此古老的灵魂。
34536,UgysxVBB15vy7Vz-C-54AaABAg,0,4 years ago,even the heads that have been busy moving are lovely and pretty.,即使是忙于移动的头部也很漂亮。
35967,UgxKgDl0f5ZzsKFVj6Z4AaABAg,0,4 years ago,lovely.,迷人的。
36105,UgxHbkoz2Sd38HXTDRp4AaABAg,0,4 years ago,"there are no words, only admiration and positive emotions, all the same, they say correctly ""the east is subtle."" such a video is unusual. so much calm. interesting solutions. and most importantly, what a lovely dog โ€โ€and a kid. thanks a lot.",他们没有言语，只有钦佩和积极的情绪，都是一样的，他们正确地说：“东方是微妙的”。这样的视频很不寻常。如此平静。有趣的解决方案。最重要的是，多么可爱的狗和孩子。多谢。
36198,UgwN9C1OJERjeySf2Bh4AaABAg,0,4 years ago,ly tieu that lovely pretended to ignore,Ly Tieu那可爱的假装忽略
36403,UgxxaW0vliSMNIqjV-R4AaABAg,0,4 years ago,just found your videos today. first one for me was the wool one. lovely videos!,今天刚刚找到了您的视频。对我来说，第一个是羊毛。可爱的视频！
37347,Ugyjs0wVRARUN3Z-jop4AaABAg,0,4 years ago,"t
that video was lovely","t
那个视频很可爱"
37566,UgyhHhTHdM3M2MBGGCt4AaABAg,0,4 years ago,"it recalls all my memory about my grandma & my lovely doggy. it's too real to be true. i wish i can make the same move like her, went back to home stay with my grandma. let time freeze please.",它让我想起了我关于奶奶和可爱的狗的所有记忆。这太真实了。我希望我能像她一样采取同样的举动，回到家里和我的祖母在一起。让时间冻结。
37859,Ugyyin5zeBRvz3uma9B4AaABAg,0,4 years ago,"lovely women, she's one of a dying breed nowdays ..",可爱的女人，她是如今垂死的品种之一。
38123,UgxvIpSvFhQZ9owd01B4AaABAg,0,4 years ago,nice work girl and lovely gorgeous beautiful girl great job,好工作的女孩和可爱的华丽美丽的女孩出色的工作
32992,UgziLD1HsWMr08ccar54AaABAg,0,4 years ago,"lovely video, nice snacks she made :) although error in labelling i guess, those were not melon seeds but sunflower seeds",可爱的视频，她制作的漂亮零食:)尽管我想标签错误，但这些不是瓜子，而是葵花籽
32221,Ugw98zMUT5-2W4KP6xF4AaABAg.8vxydkDtngx9GtGBLEIYBt,0,2 years ago,"never has binging youtube been so good for my mental health, i have been going outside and baking and i didn't want to go back to bed this morning, it's lovely",YouTube从来没有对我的心理健康如此好，我一直在外面烘烤，我不想今天早上再上床睡觉，很可爱
21903,Ugz7FNSNgejhRKM4m2h4AaABAg,0,3 years ago,the two dogs are so lovely!,两只狗是如此可爱！
27080,Ugzk0a332gnRjqelYwJ4AaABAg,0,3 years ago,sooooooo lovelyyyyyyyyy,太可爱的Yyyyyyyy
22579,UgxyOd09F_BL2Ewc2Gx4AaABAg,0,3 years ago,two grandchildren and two lovely puppies,两个孙子和两只可爱的小狗
23407,Ugzxar34sVLEiauA70Z4AaABAg,0,3 years ago,"0:24 so lovely so cute, dog 1. 2 and a sheep",0:24如此可爱，狗1. 2和一只羊
24067,Ugyt16k3XIA9lZnLHMd4AaABAg,0,3 years ago,why are you don't touch this lovely pup?,你为什么不碰这个可爱的小狗？
24372,Ugw6InGnH3hZA18K5Ad4AaABAg,0,3 years ago,does anyone know how i can send this lovely woman gloves or mittens or even just pot holders???? iโ€m sure sheโ€s built up enough callouses as well as sustained any number of burns and can handle it but iโ€m always cringing when i see her trying to pull a tray out the oven. i donโ€t want to see her get hurt.,有人知道我如何送这个可爱的女人手套或手套，甚至只是锅架？？？？我敢肯定，她已经建立了足够的老号，并且可以忍受任何数量的燃烧，但是当我看到她试图将托盘拉出烤箱时，我总是很畏缩。我不想看到她受伤。
24905,UgwV8diyZ7uTn1kmPUd4AaABAg,0,3 years ago,loo so yummy so delicious mouth watering keep up the lovely work.,厕所好吃的东西如此美味，可让您保持可爱的作品。
24912,UgzF1PG0cMx7jEefy1B4AaABAg,0,3 years ago (edited),the pets were lovely ! 'liziqi had a little lamb' ๐คช,宠物很可爱！ 'liziqi有一点羔羊'
25169,UgzgRvLahR5tFRnOxC14AaABAg,0,3 years ago,as always being lovely,一如既往的可爱
25893,UgzjUlaNZT7LSFRPkBB4AaABAg,0,3 years ago,"i have only watched a couple of this lady's videos, she appears to be non stop until well after dark. her skills are amazing seeing her plow the field grow the corn, collect and carry the sheaves then treat the kernels also the same with the peaches before cooking some lovely looking dishes was so fantastic to watch and she is such a small petite pretty lady i just don't know where she gets her energy from.",我只看了这位女士的几个视频，直到天黑后直到井井有条。她的技能令人惊讶地看到她的耕地种植玉米，收集和携带带束带，然后在桃子烹饪一些可爱的菜肴之前，也可以用桃子对待玉米，这真是太棒了，她真是个小小的漂亮女士，我只是不知道她从哪里获得精力。
26568,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy9CzyhlNaLYw,0,2 years ago,beautiful video and beautiful my all lovely people ruqst for all brothers and sisters please visit to my chanal and support me ..,美丽的视频和美丽的我所有可爱的人为所有兄弟姐妹鲁克斯特，请参观我的chanal并支持我。
26927,UgzthZLs9adsWZLmHLV4AaABAg,0,3 years ago,lovely....โฅ,可爱....♥
27804,UgyCQQFBTepCbWzmzQp4AaABAg,0,3 years ago,she is soooo lovely n i wish i could live her life,她真可爱，我希望我能过上她的生活
32126,UgxtLJOX0OBlh_otqNh4AaABAg,0,4 years ago,"i'm just going to go out and say it just give her the prize for amazing woman of the year, screw it century. oh my goodness she's like phenomenal. as a woman i've never wanted to be any other woman till i met this lovely soul. if i ever felt like aspiring to any other woman it be her without a doubt. ๐’๐’–๐’—โค๏ธ๐’—โค๏ธ๐’–๐’๐’—โค๏ธ๐’—๐’๐’–",我只是出去说这给她带来了年度惊人的女人的奖项，即Century It Century。哦，天哪，她就像惊人的。作为一个女人，直到我遇到这个可爱的灵魂之前，我再也不想成为其他女人。如果我觉得自己想渴望任何其他女人，那毫无疑问是她。
27947,UgxE8GMWmRQ0pNuBUe54AaABAg.8yxVfjb9y3A8z50X_NhVsh,0,3 years ago,hello fellow lovely :d,你好可爱的人：D
27960,Ugywg1vkbdo02ucloAp4AaABAg,0,3 years ago,lovely girl :),可爱的女孩:)
