,cid,votes,time,含super,含super中文翻译
29488,UgwBJL_9kO2KOXB6ZKt4AaABAg,1,3 years ago (edited),"i just don’t get the people...more like trolls that comes in here and say liziqi is an actress, her channel is chinese propaganda, etc.

i don’t believe liziqi is an actress or that her channel is chinese propaganda. but even if liziqi is an actress or her channel is chinese propaganda, so what? that does not change the fact that liziqi is an amazing woman and her show is a super top quality show that’s informative, educational, mesmerizing, interesting, and highly entertaining.","我只是没有吸引人们...更像是在这里进来的巨魔，说Liziqi是一名女演员，她的频道是中国的宣传，等等。

我不认为利兹奇是一名女演员，也不认为她的频道是中国宣传。但是，即使利兹奇是女演员，还是她的频道是中国的宣传，那又如何呢？这并没有改变Liziqi是一位了不起的女人，她的表演是一场超级质量的表演，内容丰富，教育意义，令人着迷，有趣且非常有趣。"
14307,Ugzt0UVbnKHGj9pgXS54AaABAg,1,3 years ago,what a super girl,多么的超级女孩
23286,Ugxe5e3fIautK1xmID14AaABAg.8zmp2MZnUA68zt2CGRKATa,1,3 years ago,@mj-dh6pu wow. what a lady☺☺. superb.,@mj-dh6pu哇。真是个女士。高超。
20034,UgwiMcIzBnJ1xRFEe3h4AaABAg,1,3 years ago,"take a min and showing respect to the camera man it's was peaks and editor with nature's pleasent music 's beautiful 
and her skills awesome 
literally i don't know what is she cooking but i love it it's finnaly superb","花一分钟，表现出对摄影师的尊重，这是高峰和编辑，大自然的音乐愉快的音乐
她的技能很棒
从字面上看，我不知道她在做什么，但我喜欢它，这是芬纳利的精湛"
896,UgzjWKRKPqyzBmQ4nDp4AaABAg,1,11 months ago,"super, my sister must love me very much, even my favorite snail powder did, moved! (*๓`♡) ๓´╰╯",超，姐姐一定很爱我，就连我最喜欢的螺蛳粉也做了，感动！(*๓´╰╯`๓)♡
31287,UgzKbjbciWq_U6Pq7yF4AaABAg.8yVH9NJyD1g8yVvxVLcU-9,1,3 years ago,xiangying qin polite! the large asian chain supermarkets in germany are only sold. i did not see selling supermarkets from vietnamese and thais.,Xiangying Qin 客气！德国的大型亚洲连锁超市才有卖，越南人和泰国人开的超市我没有看到有卖，大型亚洲连锁超市的名字叫（东方行超市），在德国的很多城市都有店
7459,UgwC3Y05ezDKAaXop0h4AaABAg,1,2 years ago,super super ma ๐’๐‘๐‘๐‘๐‘๐–ค๐–ค ๐–ค๐–ค๐–ค,超级MA
7517,UgyWqIGLhS738TX35nJ4AaABAg,1,2 years ago,super beauty face me,超级美丽面对我
22346,UgxOJ9uVgWtkBtovvjh4AaABAg,1,3 years ago,super,超级
6855,Ugy7ms3TymxqJG4IZgJ4AaABAg,1,2 years ago,alema recipe super ayitind,Alema食谱超级Ayitind
34344,Ugzp480ngxB5lnR9uxR4AaABAg.8yUUoJ1xwjn8yUd7xA_iuc,1,3 years ago,exactly. i have eaten them while i was holidaying in malaysia. it was super delicious!!,确切地。我在马来西亚度假时吃了它们。太好了！
22941,Ugy-FVgEG_pXKaIFgCF4AaABAg.8ztge_-SHfA8zzEVwxXmLq,1,3 years ago,"it's super yummy, french love it too.",超级美味，法国也喜欢它。
21202,UgxkmrADsfjrzD2Ay7B4AaABAg,1,3 years ago,i bought snail powder is super delicious! intersection intersection intersection,买了螺蛳粉超级好吃！！！！
32060,UgxdEhj-cZs-wEm9c4x4AaABAg.8yV0EYhRV0B8yWAQ6S0Crm,1,3 years ago,"pysvtfa4 this is the first comment i have ever gotten a reply to haha! i totally get what you mean, she’s an amazing hardworking goddess. even though she wasn’t super rich, i’m pretty sure that she was decently well off in terms of finance in order to even own this much land anyways. thanks for educating me more about her!",pysvtfa4这是我对哈哈的回复的第一条评论！我完全明白你的意思，她是一个了不起的勤奋女神。即使她不是超级富裕，我也很确定她在金融方面表现不错，以便无论如何都拥有这么多土地。感谢您对我进行更多有关她的教育！
8214,Ugy41zkNYu0P5pyhZ-J4AaABAg,1,2 years ago,superhttps://www.youtube.com/channel/ucugwuriwozxqywxknvtvxfg,superhttps：//www.youtube.com/channel/ucugwuriwozxqywxknvtvxfg
31179,Ugy3AjXDJOM5_Yxy7z94AaABAg,1,3 years ago,how she carry that heavy bamboo shooooooot wooooow she's wonder woman or wife of superman (lol),她如何携带那个沉重的竹子shoooooot wooooow，她是《神奇女侠》或《超人的妻子》（大声笑）
22815,UgxJkuFvQ6eCrz_byB94AaABAg,0,3 years ago,"i come for the amazing skills, but stay to see the super cute grandma",我来争取出色的技能，但请留下来看看超级可爱的奶奶
24568,UgxrZUCIlmJnWlHxKEp4AaABAg,0,3 years ago,super delicious recipe ma'am,超级美味的食谱女士
22838,Ugxh11Uk8BujULfVSh14AaABAg,0,3 years ago,really bad! make a super luxurious snail powder! how can we buy a bag?,真坏！做了一份超豪华螺蛳粉!让我们买袋装的情何以堪
24770,UgyCkbVp9QDecTyY-4x4AaABAg,0,3 years ago,rose super,玫瑰超级
23418,Ugxhr-uUcTO6pOJeZxJ4AaABAg,0,3 years ago,"have you ever been to supermarket???...
everything is available in your yard, in your doorstep","你去过超市吗？？ ...
一切都在您的院子里，您的家门口"
34678,UgwCXB7IeRaVuWmJiPV4AaABAg.8yUTO2laqA88yUVsWv87rG,0,3 years ago,"there are tea eggs and mustard, so i have to! one of them is a rich man, and the two are super rich! the people of the bay bay said that this is similar to the living standards of the republic of the bay bay ...",有茶叶蛋和榨菜吃，了不得！二者有其一者乃大富豪，二者具有者为超级大富豪！呆湾人说这才和我呆湾共和国的生活水平差不多…
22752,Ugz92FUEIFQoJ8fjAJ54AaABAg,0,3 years ago,"i must say the superlative house. mk seeing that everywhere has any, the garden fields of the hill ponds all the genres.",我必须说最高级的房子。 MK看到到处都有山丘的花园田地，所有流派。
33661,UgyzJKqMDPhmBs1Rimh4AaABAg,0,3 years ago,"super, liziqi","Super,liziqi"
22714,Ugz7xy1MN9Ki8CTg9MR4AaABAg,0,3 years ago,"for all you people watching... this is a dream world!!!! food is all around in their backyard, garden.... etc... you dont get this in america... if you want it, its in your freaking neighborhood money hungry supermarket.",对于所有人看着的人...这是一个梦想的世界！！！！食物在他们的后院，花园....等...您在美国不会得到食物...如果您愿意，它在您怪异的邻居饥饿的超市中。
24563,UgyshRR30Lqm2zyYEt94AaABAg,0,3 years ago,video taking super very nice,视频拍摄超级很好
25067,UgwITELQlqhdy6IjRzJ4AaABAg,0,3 years ago,it's full of life..... superb,充满生命.....很棒
25189,UgzEcCvphmD3WqnWIHB4AaABAg,0,3 years ago,"xd how rich everything and fucking nature, not like here we have a supermarket and we don't know what to do for dinner",XD多么富有一切和他妈的性质，不像在这里我们有一家超市，我们不知道该怎么做晚餐。
22504,Ugy0WQkEIHK5mUGqBs14AaABAg,0,3 years ago,the bamboo must be super delicious,竹子必须超级美味
25293,UgxQNey2y-U19AD7WDl4AaABAg,0,3 years ago,superb,超强的
25375,UgzB-4Bop3kJP7vkqVl4AaABAg,0,3 years ago,this is the way of living in humans. modern is poisoned by commercialism. it's boring to procure ingredients at supermarkets.,这是生活在人类中的方式。现代被商业主义中毒。在超市购买食材是无聊的。
25554,UgwTFAvI-wzhpU5sZw14AaABAg,0,3 years ago,eww shit you eat snails super grose,eww狗屎你吃蜗牛超级grose
22839,UgyXKy7GG_CRDQsUZjd4AaABAg,0,3 years ago,super,极好的
24077,UgyVSK3O7WoygAFv1Ul4AaABAg,0,3 years ago,what a life... super...,多么的生活...超级...
24490,Ugy85Qc0kRmY92s91rN4AaABAg,0,3 years ago,super. https://www.youtube.com/channel/ucxgbyevpahnxzrugvu-rkia,极好的。 https://www.youtube.com/channel/ucxgbyevpahnxzrugvu-rkia
33893,UgyWech6wLBJ2tC9DlZ4AaABAg,0,3 years ago,super!,极好的！
34258,UgxqQOQA3g6Bx50_XR14AaABAg,0,3 years ago,your hands are doing magic. super dear. we love your videos.,你的手在做魔术。超级亲爱的。我们喜欢您的视频。
23542,UgwU-bpSYbiO0cUin714AaABAg,0,3 years ago,i never thought i would want river snail soup looks super yummy,我从没想过我想要河蜗牛汤看起来超级美味
23591,UgySUzkVmicCRKj5Tjl4AaABAg,0,3 years ago,"i like the choreography,......! simply superb",我喜欢编舞，......！简直就是一流
23373,UgyCBlPGeBrVIIXxSlR4AaABAg.8zkaGHF8EmC9-8iEekmE9R,0,3 years ago,there are bags for sale of snails in china super league,中超有袋装螺蛳粉卖哦
23746,UgwiEVOueyr-YZEff4V4AaABAg,0,3 years ago,superbbbbb sis veryyyy superb ur thinking,Superbbbbbb sis esuleyyy ur思维
33645,UgykTf_l7AnRkgGOdjp4AaABAg,0,3 years ago,super darling..,超级亲爱的..
34049,UgzMyL0UzaOjA7ejzkp4AaABAg,0,3 years ago,"so i am a huge fan of super-woman li ziqi, i've managed to get my parents addicted, also. this episode, again so beautiful, and i'm watching as i'm eating a slightly burned hotdog that started a small fire in my toaster oven tonight. so. that. every episode i am so fixated on the pummelo tree right by the house. where i live these are imported and was only get them in the winter, only a couple stores carry them, do it's just hard to find them, and often they are old, and dried out, or they were picked too soon and just don't ripen the way i like best. at best i might get 6 or so in a year. and they are no where near as big as the ones growing outside the front door. i hope no one is standing there if one falls, it looks like it would knock you out, cold. are there others that like this fruit and have a hard time finding them?",因此，我是超级女性Li Ziqi的忠实拥护者，我也设法使我的父母上瘾了。这一集又是如此美丽，我正在看着我吃了一个有点燃烧的热狗，今晚在我的烤箱里开始了小火。所以。那。我的每一集都被固定在房子的Pummelo树上。我住的地方是进口的，只有在冬天才能将它们拿到，只有几家商店携带它们，很难找到它们，而且常常是老的，又干了，或者被挑选得太早了，只是不穿' T以我最喜欢的方式成熟。充其量我可能会在一年内得到6个左右。而且，它们的大小不像前门外面的那样大。我希望没有人站在那儿，如果一个人跌倒，看起来它会把你撞倒，冷。还有其他喜欢这种水果并且很难找到它们吗？
23268,UgyXJbWoHMLWWFf5JOl4AaABAg,0,3 years ago,could i visit you? that looks super delicious. my favorite is lou si fun (old friend noodles) nanning specialty.,我可以拜访你吗？看起来超级美味。我最喜欢的是Lou Si Fun（老朋友面条）Nanning Specialty。
34297,UgxVROnMqhkcyD4pC-x4AaABAg,0,3 years ago,superb,超级
23921,UgyTYTiQ_9w46NMVZj94AaABAg.8zZwiZjkDDK8zhN_v3nmAT,0,3 years ago,"@angieee1165 ​ emmm it tastes like a mixture of sour and spicy noodle. if you have any chinese supermarket nearby, go ask them for ready-to-cook liuzhou luosifen. it is packed like an instant noodles but has maybe 10 types of side foods in the pack.",@angieee1165 emmm的味道就像酸和辣面条的混合物。如果您附近有任何中国超市，请去询问他们现成的liuzhou luosifen。它像瞬间一样包装，但包装中可能有10种类型的配菜。
22883,UgymxalCiD4Huii3wIl4AaABAg.8zuNQpbMst59-DhT5v7I0k,0,3 years ago,she also help us to relize that nothing is impossible ......super girl,她还帮助我们确保没有什么是不可能的……超级女孩
24015,UgzKKOlEuNXFmPrScPt4AaABAg,0,3 years ago,super recipes,超级食谱
24053,Ugwp2IiO7IlKt-ft9UJ4AaABAg,0,3 years ago,so good... good soul... really great... u r cooking is so super... and also u r village...,太好了...好灵魂...真的很棒... U R烹饪是如此超级……还有U R Village ...
33885,UgwZtZ7WdXNT-lyjC654AaABAg,0,3 years ago,you're super women,你是超级女人
34541,UgzOqoiJm1PjMV6XT8J4AaABAg,0,3 years ago,lizi you are super strong,lizi你是超强的
33698,Ugz-2t0sAGOU0F2b1zJ4AaABAg,0,3 years ago,"you are not a human being ,you just a super power ,i can't imagine your works ,good",你不是人，你只是一个超级力量，我无法想象你的作品，好
23176,Ugz4qyqG9b3FS90BY694AaABAg,0,3 years ago,super,极好的
23421,UgxSCaQHtNiwXdprOat4AaABAg,0,3 years ago,super girl,超女
24182,Ugy2WIzrD214eOJekmZ4AaABAg,0,3 years ago,super yummy yummy food,超级美味美食
22889,UgymxalCiD4Huii3wIl4AaABAg.8zuNQpbMst59-M13wJMHZn,0,3 years ago,"@boomsuper9251 just because she has had this experience doesn't mean that her real life is like this, half acting half real.",@boomsuper9251仅仅因为她拥有这种经历并不意味着她的现实生活就是这样，一半的真实表现。
23755,UgzbLseZTb73IupMfQV4AaABAg,0,3 years ago,superb!!!,高超！！！
32532,UgzuO5h7mT1EkioLiJR4AaABAg,0,3 years ago,super,极好的
25586,UgylIYTQkEAd6mfq0bd4AaABAg,0,3 years ago,except snail and nonveg everything else is super,除了蜗牛和nonveg，其他一切都是超级
30165,Ugw2ToRXtvnsazIO6Ih4AaABAg,0,3 years ago,"super iam india people

.","超级IAM印度人民

。"
29694,UgxhTPBJ4QklzhUqI7x4AaABAg,0,3 years ago,"this is actually the everyday life of people living in rural areas in asia. my grandparents who live in a rural town have rarely been to supermarket. they cultivate the land and grow their own food. they drink rain water. go to bed at 7 pm and wake up at 4 am everyday. no tv. no social media. they have been strong and rarely got sick. sometimes, i just can’t help thinking if that is what life supposed to be. you live close to nature and eats what mother earth feeds you.",这实际上是居住在亚洲农村地区的人们的日常生活。我住在乡村小镇的祖父母很少去超市。他们耕种土地并种植自己的食物。他们喝雨水。晚上7点上床睡觉，每天凌晨4点醒来。没有电视。没有社交媒体。他们很坚强，很少生病。有时，我只是不禁要思考这是否应该是生活。您生活在大自然附近，吃了大地母亲养活的东西。
33247,UgwFhcYxHB91iWYl_kZ4AaABAg,0,3 years ago,super sister,超级姐姐
29718,UgyTJTN9sAltU91vfwl4AaABAg,0,3 years ago,delightful and beautiful subject matter. cinematography and editing are superb.,令人愉悦而美丽的主题。摄影和编辑非常出色。
29837,Ugxh3ITAoMSsDMX6swN4AaABAg,0,3 years ago,super... superwoman.... congratulations,超级...超人....恭喜
32994,UgzpvPISJLVCvkhB1GZ4AaABAg,0,3 years ago,"forgive my superficial goddess, goddess",原谅我的肤浅 子柒女神
29905,UgyJYMep5J9siSUT-_l4AaABAg,0,3 years ago,china is super!,中国是超级！
29925,UgxUc9oHdbPqXEshrdB4AaABAg,0,3 years ago,"maybe there is no one to speak spanish but it does not matter what i want to say, i will say this woman makes my eyes close and do me to that magical place where she is. that place where through the screen one feels that peace breathes just by seeing those panoramas that nature that is wonderful and we do not talk about their dishes that look super appetizing, it had to be said and said!.",也许没有人会说西班牙语，但我想说的没关系，我会说这个女人让我的眼睛闭上，把我带到她所在的那个神奇的地方。那个地方通过屏幕，人们感觉到和平只是看到那些大自然很棒的全景，而我们不谈论他们看起来超级开胃的菜肴，必须说和说！
29966,UgzseQQMoMBwXErHSdd4AaABAg,0,3 years ago,"super girl! lizgi, do you have a love? in what a country you would want to win? what is the dream? sprash and ponumable, what's my questions on the replacement ...
超级 女孩! 丽兹, 你 有 有 有 国家? 你 在 做 什么 梦想? 我 问 并 理解 我 的 问题 仍然 没有 答案 ......","超女！利兹吉，你有爱吗？您想在哪个国家 /地区赢得胜利？梦是什么？ Sprash and ponumable，我对替代者有什么疑问...
超级！丽兹，你？有？你？你？什么？我？"
30003,UgyHg-v9DQPpW81jbDR4AaABAg,0,3 years ago,"super, interesting! and the slavs are watching or are i alone? where? vietnam, china ... ???",超级，有趣！斯拉夫人在看着还是我一个人？越南，中国... ???
30080,UgwINw6KYxDKK3r5fxB4AaABAg,0,3 years ago,snail powder is super super superb. big love! intersection,螺蛳粉超级超级超级好吃。大爱！！
30083,UgwivSCT39DRy_TD2ZJ4AaABAg,0,3 years ago,super dear. you are like an angel of nature.,超级亲爱的。你就像大自然的天使。
30501,UgxiNQsgiG3qbq1HIMt4AaABAg,0,3 years ago,super,极好的
25762,UgzS1MU49YHTD8bKO114AaABAg,0,3 years ago,im chennai you food very super i love so macha,我是钦奈，你的食物非常超级我爱，所以马赫
31042,UgzbB0MHw1yhh198Xrt4AaABAg,0,3 years ago,"thank you cinderella, your video is super!",谢谢灰姑娘，您的视频超级！
31285,UgzKbjbciWq_U6Pq7yF4AaABAg.8yVH9NJyD1g8yVtChpqQBP,0,3 years ago,"there are snail powder sold in germany and asia supermarkets in germany and italy. if you do n’t have denmark asia supermarkets, if you live in denmark, you can buy it as close to germany. friends, i use the sour bamboo shoots in the snail powder and dry the old friend powder to cook the old friend powder. the snail powder is cooked for friends in germany and italy. don't feel stinky, you can eat the whole bag of spicy oil after finishing the spicy oil.",在德国和意大利的亚洲超市都有螺蛳粉卖的，丹麦亚洲超市没有的话，如果你住丹麦是距离德国近的话可以开车去买的，我对螺蛳粉一般，更爱生榨，其次桂林和老友，我每次都是用螺蛳粉里的酸笋料和温州粉干来煮老友粉，螺蛳粉煮给德国和意大利的朋友吃，就算我放酸笋德国和意大利的朋友也能接受并不觉得臭，把整包辣油放完还能吃完粉连汤也喝完
31286,UgzKbjbciWq_U6Pq7yF4AaABAg.8yVH9NJyD1g8yVtzG6BvN0,0,3 years ago,"thank you for your suggestion, i will wait for the holiday to find a chance to go to the asian supermarket in germany ❤️",谢谢你的建议，我会等放假找机会去德国的亚洲超市看看的❤️
31322,UgzaaGlaTeEd9uunD0p4AaABAg,0,3 years ago,super love snail lion powder,超爱螺狮粉
32934,UgxUc-s8U3e16el5Cbl4AaABAg,0,3 years ago,superb...,高超...
32837,UgxGteX-HpMkt_Tjv3l4AaABAg,0,3 years ago,super,极好的
31667,UgwtDStVnxaSgXSX4S14AaABAg,0,3 years ago,super huge bamboo shoots,超大的竹芽
31831,UgyA5UzRiHPiMlrPFmp4AaABAg,0,3 years ago,my language tamil... this is looking very colour ful super using the methods capture tha cooling style,我的语言泰米尔语...使用这些方法捕获冷却方式，这看起来非常颜色。
31912,UgywdSBb3kXrxa1Kk3F4AaABAg,0,3 years ago,.. ..super..,.. ..极好的..
32000,UgwbsgK_d4hYx5JG9p14AaABAg,0,3 years ago,i wonder if there is somewhere online i could buy baskets similar to the ones she uses for cooking? they would be super useful on a homestead.,我想知道我是否可以购买类似于她用烹饪的篮子的篮子？它们在宅基地上将非常有用。
32048,UgwHb1a6SIVM946wM0x4AaABAg,0,3 years ago,i am coming madam your home. super coking,我要来你家。超级焦化
29639,UgzpCxv4cdo4HksaKEJ4AaABAg,0,3 years ago,i wish i can do many thing like her....super women,我希望我能像她一样做很多事情。
29362,UgxWXp-WkoykOFADoUV4AaABAg,0,3 years ago,"i eat every week, the snail powder is really super delicious",我每周都吃，螺蛳粉真的超级好吃
29282,Ugz8t2kULNy_PYZZgO54AaABAg,0,3 years ago,"is this winter bamboo shoot? i remember that the bamboo shoots in my hometown must grow delicious in front of the ground. it is usually very old. the variety is estimated to be different, haha. not to mention, silently shed tears and took out the bag of snails bought by the chinese supermarket. essence essence essence",这是冬笋吗。我记得我家乡的笋必须长出地面前的才好吃，长这么大一般都很老了。品种估计不一样吧哈哈。不说了，默默的流着眼泪拿出华人超市买的袋装螺狮粉。。。。
29278,Ugx9BAXaF7UdIh2zSI94AaABAg,0,3 years ago,got a natural supermarket right there.,那里有一个自然的超市。
33550,UgyUSJC0q9HZKnTR-gJ4AaABAg,0,3 years ago,"recently, i have been in the film, super happy",最近一直出片，超高兴的
26193,UgxGlLmQefMiZM5AB_N4AaABAg,0,3 years ago,ziyi is superb ~,子柒超棒啊～
26300,UgwL_HOpCHht9o07u_B4AaABAg,0,3 years ago,your garden is supermarket,你的花园是超市
26365,UgyuncZLwhtWRjE8XaF4AaABAg,0,3 years ago,the dog is super cute to keep up with the bottom down,狗超可爱跟上跟下的
33307,Ugx5gjMlXyAci7wZBmR4AaABAg.8yUctLSaRRC8yUs5xoBGYy,0,3 years ago,@superpayaseeria is sister xianxian?,@superpayaseria 是柒仙姐?
26635,UgyZnZbnuE1-MMwoWtd4AaABAg,0,3 years ago,this girl is super powerful 超,这位女生超厉害欸
26636,Ugw0nPWFiCV780GSHFN4AaABAg,0,3 years ago,hello! is there any of the cis countries? it is interesting to know very much about this channel and super needlewoman,你好！有任何顺式国家吗？非常了解这个频道和超级针女的人很有趣
26995,UgyR5JeCwfky17Tgzpx4AaABAg,0,3 years ago,super modem wonderful videos,超级调制解调器精彩视频
27182,Ugxd5UIeUnoodxPtGYB4AaABAg,0,3 years ago,"lunch at noon is liuzhou snail powder, which is super delicious.做 做",中午得午餐就是柳州螺蛳粉，超级美味。
27249,UgxaYvJPrnt_uYZ2eId4AaABAg,0,3 years ago (edited),"superb cooking skill
devi from south india","出色的烹饪技巧
来自印度南部的Devi"
27570,Ugwcie1uCiIFNS0TF0R4AaABAg,0,3 years ago,"in fact they do not suffer from constipation !!! super healthy, and that worker is young, congratulations !!! bellaaaaa",实际上，他们没有便秘！！！超级健康，那个工人很年轻，恭喜！！！ Bellaaaaa
27587,UgzyKkfrWwY_pBOTzUx4AaABAg,0,3 years ago,even the animals look super happy there!!!,甚至动物在那里看起来都很快乐！！！
27688,Ugx7vb4z8XgwC9QHCPJ4AaABAg,0,3 years ago,her garden/farm and her kitchen are far more complete compared to your supermarket,与您的超市相比，她的花园/农场和厨房要完整得多。
27708,UgxbqNBG8nyKRlle0Vp4AaABAg,0,3 years ago,you are super.,你很棒。
33267,UgxSk06uEbF44JZpy5x4AaABAg,0,3 years ago,i dare not eat it when i see -.- must be super spicy,看到都不敢吃了-.- 一定超辣
28046,Ugxr4YwRnpYQRMvlUUl4AaABAg,0,3 years ago,"0:55 bamboo shoots are super heavy. i came in in order to see the son -in -law.
at 4:45, the moss of tianluo is so much that it is impossible to clean it at all. fortunately, it's not the group of little guys in tianzhong.
7:58 a weeds can be eaten. this is the most surprising that the whole video .....

the video was taken very beautifully like li yingai in da changjin, let me smell the fragrance of vegetables through the screen.","0：55 的笋子超级重 我为了看子柒背笋子进来 却没有看到近的镜头拍摄
4：45 的田螺 那个青苔多到 根本不可能刷洗干净。还好 真的煮下锅的 不是田埂中的那一群小家伙
7：58 的杂草 居然能吃 这是整个视频最让我惊讶的.....

视频拍摄的很美 子柒像大长今中的李英爱作菜 让我透过画面都闻到菜香♥"
28148,UgyR-JRN1QhmOHpcSCt4AaABAg.8y_EJw7w6TO8ybbCsHzjg_,0,3 years ago,super i want bamboo soup,超级我想要竹汤
28184,Ugw7jTnha6hrAHHm8WZ4AaABAg,0,3 years ago,quite a delicacy...superb skill,非常美味...精湛的技能
22480,UgzcxR3LzMvYGxVNmY54AaABAg,0,3 years ago,your a super woman i ever see love to watch your video so much,你是一个超级女人，我见过喜欢看你的视频的爱
29038,UgzVX1s3HdmhWmmILgN4AaABAg.8yXyAuH9Z1Y8yf0AXGMkPq,0,3 years ago,"@user-dw6rn9zh6c pay attention, there are always a lot of both may 2018 and there are still 3 videos there, and for the last month there are. one that the np is growing)? or she loves the pappis so that she constantly selects them, and how she grows up in forest))!? just their culture is like this. t.b.do, see on liz: it also squeezes calories, carbohydrates, vitamins and fats for all that is around and gives nature: vegetable and animal, it is simply apparently popular in european countries, in the usa, with us, and not just in asia. and apparently she realizes that it will be living for us, and this is so: it is full of varieties! but the puppy, for them, like borsuk- superproof, even capable of treating tuberculosis with its fat. turn to me: such a ""practical"" korean, japanese woman, legged, chinese)) whoever she is, will not miss this product !! (therefore, the little puppies are always disturbed in the video. i can’t judge: such as a culture, for muslims shock and fu, that we eat pigs, i just think not to show, not to tell about it. if she prepares and uses everything that is in her household! and this is not honest according to her relations towards us. haith, i would have respected her more for honesty. i didn’t hide it particularly. imea is a little knowledge about their culture, seeing her video and a little in my head. it’s hard to understand. calm. by the way) by the way) by the way) i have today d.r. !!) and they gave me a puppy !! dobermanchik)",@user-dw6rn9zh6c注意，2018年5月总是有很多两者，那里仍然有3个视频，在上个月。他们，以及她在森林中长大的方式）！！！！！！！！！！！！！！！！！！它显然在欧洲国家，在美国，与我们一起在亚洲而受欢迎。显然，她意识到它将为我们生活，这就是如此：它充满了品种！但是小狗，因为那只小狗，因为他们像Borsuk-Supphrove，甚至能够用脂肪治疗结核病。转向我：这样的“实用”韩国，日本女性，腿，中文））无论她是谁，都不会错过此产品！小幼犬总是在视频中被打扰。我无法判断：例如一种文化，对于穆斯林震惊和fu，我们吃猪，我只是认为不要表现出来，不要说出它。如果她准备并使用一切那是在她的家中！根据她与我们的关系，这是不诚实的。海斯，我会以诚实的态度更尊重她。我并没有特别掩饰。我的脑海里有点。很难理解。顺便说一句），顺便说一句），我今天拥有的），他们给了我一只小狗！dobermanchik） 。
29056,UgxoxDXbV23fMqUVosB4AaABAg,0,3 years ago,liuzhou snail powder is really super delicious!,柳州螺蛳粉真的超级美味！
29057,UgzCCSNYSiP8_Y8RbDF4AaABAg,0,3 years ago,liuzhou snail powder is really super delicious!,柳州螺蛳粉真的超级美味！
29058,UgzdtGDl_612PmzRR-N4AaABAg,0,3 years ago,liuzhou snail powder is really super delicious!,柳州螺蛳粉真的超级美味！
26798,UgwK6ueE6Kg4M_CiI-t4AaABAg,0,3 years ago,i have eaten very hard soup and the soup is super failed.,吃过 非常难吃 汤头超失败没味道
67,UgwpDHp_7uHja1O8TuB4AaABAg,0,2 weeks ago,super,超级
22378,UgxaXoIjMSDQCz_ZH2d4AaABAg,0,3 years ago,this beautiful girl could be super heroine had she been in bollyhood.,如果她经历过，这个美丽的女孩可能是超级女主角。
6541,UgylHm3MXDaXc39ctDF4AaABAg,0,2 years ago,superb,高超
7210,Ugzo-azAhJEcN4Msh5h4AaABAg,0,2 years ago,superb relaxing beautiful nature loving video ๐ from pakistan dye heart fan of you,优秀的轻松美丽的自然爱情视频
6717,Ugz_5JYzUJ4qj_1AL7h4AaABAg,0,2 years ago,super love to eat,超级爱吃
6614,Ugy3xkTYxlTAID94IdJ4AaABAg.9EeYlTw0XI49GTxYFHC4eO,0,2 years ago,"@enochsuperstar572 then don't you speak chinese, why don't you speak english so proudly, cerebral palsy, international students see you like a fool, phenylite urine dead mother's stuff is really funny,",@enochsuperstar572 那你别说汉语啊，这么骄傲的你干嘛不说英语呢，脑瘫玩意，留学生看你像看傻子，苯丙酮尿症死妈玩意真好笑，
6609,Ugy3xkTYxlTAID94IdJ4AaABAg.9EeYlTw0XI49G7l4LYXY-O,0,2 years ago,@enochsuperstar572 it seems that your mother is a chinese pastoral dog. no wonder chinese characters are so slippery and dare not admit that they are chinese.,@enochsuperstar572 看来您的母亲是中华田园犬，怪不得汉字打这么溜还不敢承认自己是中国人，原来是不配啊hhh
6608,Ugy3xkTYxlTAID94IdJ4AaABAg.9EeYlTw0XI49G5mVuKd-E5,0,2 years ago,@enochsuperstar572 can be pulled everything. i think you are the real inferiority.,@enochsuperstar572 什么都能扯，我看你才是真正的自卑，别跪了，当人不好吗
6581,UgxHPRBZbPwOL3U00Q94AaABAg,0,2 years ago,"your snail powder is super unpalatable, and the taste of snail powder, please ask you to find a factory and find a more reliable one! intersection intersection intersection intersection intersection intersection intersection intersection intersection intersection intersection intersection",你的螺蛳粉超级难吃 超级没有螺蛳粉的味道 拜托你找代工厂也找个靠谱一点的！！！！！！！！！！！！！
6516,Ugyo-Ls_gqi89ylgvGB4AaABAg,0,2 years ago,super ๐,超级
5518,UgyFQnj2WtaZhPB_Tb94AaABAg,0,2 years ago,i bought li ziyi's snail powder in the supermarket. essence the taste is okay. essence the peanuts inside are not delicious. others are similar to similar products. the amount of rot more likes more likes is twice as many as similar products.,在超市买了李子柒的螺蛳粉。。味道还行吧。。里面花生实在是不好吃。其他都和同类产品比差不多。比较喜欢的一点腐竹的量大概比同类产品多一倍。
6442,UgxjT8VH-eDMAUCKfQN4AaABAg,0,2 years ago,super great days.,超级棒的日子。
6316,UgyfT3MvDCRzrYhzwXR4AaABAg,0,2 years ago,"your screw powder is super difficult to eat, the fundamental tragedy",你那螺丝粉超难吃，根本悲剧
6116,UgzG6roHH3qAxIrrAyV4AaABAg,0,2 years ago,"mv activated cam dong will cry https://youtu.be/-zpdigufglc
animation mv super hungry or /https://youtu.be/ryiqgl3q-ac","MV激活的Cam Dong会哭泣https://youtu.be/-zpdigufglc
动画MV超级饥饿或/https://youtu.be/ryiqgl3q-ac"
