,cid,votes,time,含girl,含girl中文翻译
22055,Ugxlko-aCv8bm3F_QJp4AaABAg,5,3 years ago,"recently, li ziyi has been the ""ambassador to the promotional ambassador of the rural rural rural rural rich"", which has triggered a new round of comment boom. after seeing some, i couldn't help but feel like i could provide different perspectives.

the point is, i hope that everyone is calm, discuss things, and try to listen to it as much as possible.

don't bully a diligent, brave and intelligent girl.

according to the good cat catching the mouse, li ziyi is not an outstanding good cat. not to mention the renminbi income, she made a lot of money on the international stage, about tens of thousands of dollars a day, envy everyone, realize her dream of serving her grandmother's life, and obtaining the harvest of no dare to expect. impressive.

nearly 8 million foreign fans, everyone shows the truth, kindness showing the video. unconvinced? if you try it, you will know. jiang feng, the most popular self -media chinese, has subscribed for 280,000, is already an example for many people. it's just 3%of this little girl.

the videos of overseas cattle guo wengui are only watched tens of thousands of people every time. li ziyi's video is five or six million. the best 30 million. the video three years ago was searched every day, and the number of clicks continued to skyrocket.

this is not a general miracle.

i spent the strength of nine niu and tiger to make a video. so far, i only have 160 subscriptions, and the best video is watching more than 1,000 people.

i know li ziyi's weight. everyone also weighs.

everyone has the most discussions. the most misunderstanding of li ziyi is that she is just an actor, and her work is made by a huge team.

please understand her development history a little.

li ziyi had a childhood young man who had been unable to look back, had various workers, and had a long period of time for a person's exploration of experiments. he finally rely on his talents, hard work, hard work, and succeed.

the current situation, i am afraid that zhang yimou is likely to be a director. of course, li ziyi does not need zhang yimou. i have an analogy. li ziyi has no self -learning talent, and the artistic talent shown is no worse than zhang yimou.

li ziyi rely on his own efforts to come to this day. you open your eyes and talk nonsense, and you are unwilling to do basic investigations and research. he maliciously pour dirty girls to a hard -working girl.

really blushing for you. be kind. do nโ€t be so rude and hateful.

true: li ziyi's true, not that she is too beautiful, not what kind of shoes are wearing in the farmland. in my eyes, li zizhen's true, manifested in her hard work, hard work, and manifested in her soul. nothing will do.

of course, she will not seriously and deliberately express the hardships of the peasants in sichuan and the sufferings of rural poor today. li ziyi is pursuing the amount of subscriptions and click volume. her performance is basically impeccable.

li ziyi truly shows her own pursuit of life and her own state of life.

of course, try your best to beautify. otherwise, where can i subscribe?

good: see her depending on the grandmother's life, and take care of each other. thinking that grandma finally got a good life, she was really happy.

thinking of my work hard for a whole life. li ziyi's kindness is one of the biggest highlights of the video.

beauty: needless to say. i admire me and admire from the bottom of my heart. some people will say, team teams, foreign announcements and so on.

you just need to see li ziyi's earliest video to feel her artistic talent.

besides: with the current situation of li ziyi's current daily gold, let alone the government, any of the people with funds will not hesitate to make a behind -the -scenes team.

dawai xuan:

where is this? what big publicity? what a crime is to have no words. a girl mixed with meals, accidentally red and purple, do nโ€t tm โ€s blind eyes?

but here to tell the government and the communist youth league, do not speculate. stir good things. what is the blind ginseng?

the government was not stupid, and i saw li ziyi's success and wanted to use it. in fact, maybe good intentions have become bad things. with my concept, the government, the communist youth league, the best leave her alone. it is not as good as the last four, truth, goodness and beauty.

ziyi, please be careful. no need to cooperate too deeply with the government. tell them to let you develop freely in accordance with their greatest interests. otherwise, the end may not be good for anyone.

cut!

during the seven years of labor in rural areas during the revolution, the hardships of the rural areas of china's rural areas know a little.

the reason why li ziyi feels is because most of the farm work that li ziyi has done has done it, and i will even accept the soles of the shoe. i rushed the cow to rake the ground in the paddy field, and i tried it. if you can't try it, you have to give it to the poor farmers around him. very difficult work. i did not dry the back of the mountain from the mountain. there are no bamboo or mountains there. almost all of the others can't be familiar. rice, wheat, corn, sweet potatoes, pigs and sheep beef, planting vegetables. we do not plant fruit trees. moving the bricks by myself and moving the bricks. at the age of seventeen, he was cooking for fifteen students.

li ziyi used bamboo to make a sofa for me too much. too admire!

ziyi, refueling ๅฟ…๏ธ do not worry about it. take your own way and let others have a way. don't ignore some people's words of talking nonsense.

ps

ziyi does not necessarily know the history of 12 million people starved in sichuan during the great famine. mianyang is the hardest hit area. please know. it is important to your future development.","最近李子柒担任“中国农村青年致富带头人推广大使”，引发新一轮评论热潮。看了一些，忍俊不禁，有感而发，希望能够提供不同视角。

关键是，希望大家平心静气，就事论事，尽量做到兼听则明。

不要语言欺凌一个勤劳勇敢聪慧的女孩子。

按照逮着老鼠就是好猫的说法，李子柒不啻是一只杰出的极其优秀的好猫。不说人民币收入，她大把大把的在国际舞台上赚美元，大概每天几万美元吧，羡煞众人，实现自己养家糊口侍奉奶奶的人生梦想，获得原本不敢奢望的收获，可喜可贺令人钦佩。

将近800万外国粉丝，大家是冲着视频展现的真善美来的。不服气？你试试就知道了。海外最红的自媒体华人江峰，28万订阅，已经是很多人崇拜的榜样。仅仅是这小姑娘的3%。

海外牛人郭文贵每次的视频也只是几万人看。李子柒的视频动辄五六百万。最好的3千万。三年前的视频还在被人每天搜索，点击量继续暴涨。

这可不是一般的奇迹。

我费了九牛二虎之力做视频，至今只有160订阅量，最好的一个视频1000多人观看。

我知道李子柒的分量。大家也掂量掂量。

大家议论最多，对李子柒误解最大的是，她不过是个演员，工作都是一个庞大的团队做的。

请稍微了解一下她的发展史。

李子柒有过不堪回首的童年少年，有过各种打工经验，有过很长时间一个人摸索实验失败，最后靠自己的才华，勤奋，努力，获得了成功。

现在状况，恐怕邀请张艺谋来做导演都有可能。当然李子柒不需要张艺谋我是打个比方。李子柒无师自通自学成才，表现出来的艺术天分，不比张艺谋差一丝一毫。

李子柒完全靠自己的努力走到今天。你们睁着眼睛瞎说八道，连基本的调查研究都不愿意做，恶意向一个勤劳致富的女孩子泼脏水。

真替你们脸红。Be kind. Don’t be so rude and hateful.

真：李子柒的真，不是表现在她穿着过于漂亮，不是表演在穿着什么样的鞋子在农田里劳作。在我的目光里，李子柒的真，表现在她的勤劳，吃苦耐劳，表现在她的心灵手巧。啥都会干。

她当然不会去认真刻意的表现四川绵阳农民的辛苦和今日农村贫困人群的苦难。李子柒追求的是订阅量，点击量。她的表现基本无懈可击。

李子柒真实的表现了她自己对生活的追求，她自己的生活状态。

当然要尽力美化。不然哪里来订阅量？

善：看她和奶奶相依为命，互相关照。想到奶奶终于过上好日子真为子柒高兴。

想起自己姥姥勤劳一生。李子柒的善良，是视频最大亮点之一。

美：毋庸赘言。令我感佩，从心底里佩服。有人又会说了，团队团队，大外宣等等。

你只需要去看看李子柒最早的视频就能感觉到她的艺术天分。

再说一遍：以李子柒目前日进斗金的状况，别说政府，任何一个有资金的人都会毫不犹豫甘作幕后团队。

大外宣：

这哪儿跟哪儿啊？什么大外宣？真是欲加之罪 何患无辞。一个女孩子混口饭吃，不小心大红大紫，别TM的瞎着眼胡说八道好不好？

但是此处敬告政府和共青团，别投机不成舍把米。把好事搅合了。瞎参和什么呢？

政府不傻，看到李子柒的成功趁机想利用起来。其实也许好心办成坏事儿。以我的观念，政府啊共青团啊什么的最好leave her alone. 免得最后四不像，真善美不在。

子柒也请慎重。不必和政府合作太深。告诉他们让你自由发展符合他们的最大利益。不然最后也许结局对谁都不好。

切切！

在下文革时期在农村劳动七年多，对中国农村的苦难农民的艰辛略知一二。

之所以感觉李子柒的真实，就是因为李子柒干过的农活儿大部分我都干过，我甚至会纳鞋底。赶着牛在水田里耙地，我试过。怎么试都不行只好交给身边的贫农代表。很不容易的活计。从山上砍竹子背下山没有干过。我们那里没有竹子也没有山。其它几乎都再熟悉不过。水稻，小麦，玉米，红薯，养猪羊牛，种菜。我们没有种水果树。自己盖房子搬砖头用手推车运转头。十七岁当炊事员专职为十五个同学做饭。

李子柒用竹子做沙发让我太佩服了。太佩服！

子柒，加油

PS

子柒不一定知道大饥荒时期四川饿死1200万人的历史。绵阳是重灾区。请一定了解一下。对你今后发展至关重要。"
17624,UgzNv4azBWM4KY1hR414AaABAg.97m90yxmeTh984ALJlxKMs,5,3 years ago,"@yao zuo really envious of your english and german. in fact, there is no need to argue with foreigners. after all, it is not compatriots. there are more people who look down on us, not to him. i hope all the people can be as comfortable as the girl in the video. there are beautiful scenery in front of you, there are foods on the table, and there are loved ones around you. there are both cooking smoke and poetry and far away. he is in this situation and disdains people.",@Yao Zuo 真羡慕你英语和德语都那么棒。其实没必要和外国人争论什么，毕竟不是同胞，多说无益。看不上咱们的人多了，不差他一个。希望所有的老百姓都能像视频里的姑娘那样自在快活。眼前有美景，桌上有美食，身边有亲人，心里既有生活的炊烟也有诗和远方，身处此境，不屑与人争。
46243,UgyX6oof-f8TGw2tR1x4AaABAg,5,4 years ago,"such a girl with lanxin is so comfortable to look at it. good years, happy new year!",这么一个兰心蕙质的女生，看着好舒服。岁月静好，新年快乐！
25966,Ugyl0Bv2igcOJkptWxx4AaABAg,5,3 years ago,this girl is every manโ€s dream to marry to.,这个女孩是每个男人结婚的梦想。
46572,UgyZKLANMDq2uctGTll4AaABAg,5,4 years ago (edited),"how can there be such a virtuous woman, looking at her figure with one hand, there is a sense of happiness and the atmosphere of the chinese new year. ... is it most of the girls in the country? i want to go to the end such a wife, if, everything in front of me is true ... a inexplicable movement",怎么会有如此贤慧的女人，看着她一手一作的身形，就很有种幸福感与过年的气氛了，…乡间的女孩，大多是这样吗？这样的老婆，打死我也要到底，如果，眼前所看一切都是真的……一种莫名的感动
43706,UgxNzJ6PZiQymaiNV3R4AaABAg.8rIvoP8deLE8rNwSxpMOn0,5,4 years ago,@xiuxiuhachoi9100 sichuan girls are so pretty in a natural way.,@xiuxiuhachoi9100四川女孩自然而然地是如此漂亮。
51234,UgwjZ1JkNulZFHS2BTd4AaABAg,5,4 years ago,"on earth, a person cannot be more perfect than life and activity in it !!!! a glorious girl, there is no limit to the knowledge of a person, if you really want it, to comprehend tirelessly !!! with a deep sense of respect and gratitude with chechnya.",在地球上，一个人不能比其中的生活和活动更完美！！！！一个光荣的女孩，如果您真的想要一个人的知识没有限制，那么不懈地理解！！！对车臣有深切的尊重和感激之情。
52325,UgwF_OhAlqOhAshnSc14AaABAg,5,4 years ago,china is no more a developing country if girls with divine qualities like you still exists. you are masterpiece for china. agree or not ?,如果像您这样的神圣品质的女孩仍然存在，中国将不再是发展中国家。您是中国的杰作。是否同意？
36238,Ugw3qr-9--BZV3PyiBJ4AaABAg.8uWwTpNqXib8uhnbJrE-A4,5,4 years ago,this girls is a millionaire in china my friend . she earn >usd 200.000 per month. by making video and selling goods online!,我的朋友在中国是百万富翁。她每月赚取> 200.000美元。通过在线制作视频和销售商品！
51527,UgyeZrfYwla8G8_PZjR4AaABAg,5,4 years ago,"a miracle girl, everything knows how and is good for himself! directly relaxation of her releases.",一个奇迹女孩，一切都知道如何和对自己有益！直接放松了她的发行版。
35044,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8vHbsA732E4,5,4 years ago,"@therewasnochill8997 i'm from china and i can't agree with you at all.liziqi did not receive any higher education, but that was because of her family when she was a child.china's higher education is perfect and universal, and men and women are equal. no girl or poor person will be unable to complete higher education because of poverty, unless they are not good enough or unwilling to go.you also can't think that this is the only way they grow up, it's full of prejudice and ignorance.i used the translation software, but i'm sure you can understand what i'm saying",@thenwasnochill8997我来自中国，我根本不同意你的看法。Liziqi没有接受任何高等教育，但这是因为她小时候的家人。妇女是平等的。除非他们不够好或不愿意去，否则任何女孩或穷人都不会因为贫穷而无法完成高等教育。我使用了翻译软件，但我确定您可以理解我的意思
5368,UgxvvNvzHEFfHr50n5h4AaABAg,5,1 year ago,"mashaallah, to see such a beautiful girl is as beautiful as it is, an impossible talent,",马沙阿拉（Mashaallah
34669,Ugz1ByJ0UmSRK08Wz7t4AaABAg,5,4 years ago,"this girl is awesome, skilled, kind, beautiful and adorable.",这个女孩很棒，熟练，善良，美丽且可爱。
30132,UgwuZpYWUJmsZqmhdLh4AaABAg.8xJbLxxntd79N0qrVRd5wA,5,2 years ago,the people who want to comment about her eating her pets because she's chinese. life must suck for you. this girl is making tons of money off these videos and here you are getting drowned in spit from her fans.,想评论她吃宠物的人，因为她是中国人。生活必须为你吮吸。这个女孩从这些视频中赚了很多钱，在这里，您的粉丝被吐口水淹没了。
23087,UgyEGffCSCapYWhPlt14AaABAg.92ZOfZospFJ92j-NkdgFBj,4,3 years ago,reshma sonavale she looks like an ordinary girl living perfectly,Reshma Sonavale她看起来像一个普通的女孩
37662,Ugy41r-0Mf0VInCkb-V4AaABAg,4,4 years ago,love from canada. she is amazing girl in china.,来自加拿大的爱。她在中国是个了不起的女孩。
45930,Ugx51w_Fs1sJFjBV5FF4AaABAg,4,4 years ago,"smart girl, someone will get such a mistress and the content is suitable!)",聪明的女孩，有人会得到这样的情妇，并且内容合适！）
45758,Ugw99ATdOTpfSLjz_BB4AaABAg.8r0DpRagQy88r2wengZKx3,4,4 years ago,"@legoflamp488 you don't understand scarcasm ? 
so what if there is a crew working with her ? you can leave the hell alone with this channel and do your own thing, why bother yourself ?
let me give you the breakdown, she doesn't give a shit about youtube, her fans posting her videos here to share with oversea chinese. her main platform is on weibo. where she post videos and share with her followers ! and moreover, not everything is political, don't blame this girl, she does not force you to watch.
your comment “propaganda”, is simply ignorant, skeptical, shameless, selfish, and pathetic.whatever the problem you have with the chinese government, don't bring those issues onto this girl. she made millions by shooting videos and clearly doesn't give a ** about it.","@legoflamp488您不了解疤痕吗？
那么，如果有船员和她一起工作怎么办？您可以在这个频道上独自一人，做自己的事情，为什么要打扰自己呢？
让我给您分解，她没有对YouTube的烦恼，她的粉丝在这里发布了她的视频，以与海外中文分享。她的主要平台在微博上。她在哪里发布视频并与她的追随者分享！而且，并非一切都是政治性的，不要怪这个女孩，她不会强迫您观看。
您的评论“宣传”简直是无知，持怀疑态度，无耻，自私和可悲。无论您在中国政府面临什么问题，都不要将这些问题带入这个女孩。她通过拍摄视频制作了数百万美元，显然没有给它**。"
35110,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8yivhxXbeTY,4,3 years ago,"@therewasnochill8997 you think some girl with no education could craft such beautiful videos?? china is a communist country and even though i do not like communism, it is a fact that women are often very well educated in communist countries",@thenwasnochill8997您认为有些没有教育的女孩可以制作如此美丽的视频？中国是一个共产主义国家，即使我不喜欢共产主义，这是一个事实，妇女在共产主义国家经常受过良好的教育
38728,Ugy3qNm-Sc3wyE5FbbV4AaABAg,4,4 years ago,"as soon as i heard the sound, i felt like our person. searching is really a pretty girl in mianyang. appreciate such videos very much!",一听口音就觉得像我们那的人。搜了搜真是绵阳的俏妹子。很欣赏这样的视频！
21575,Ugy61tivkCjWJbXuoHt4AaABAg,4,3 years ago,such a wonderful girl we all have admire her work.,如此出色的女孩，我们都欣赏她的工作。
23420,UgyrvX-qF2ENzZLc8t94AaABAg,4,3 years ago,"if someone uses li ziyi as the protagonist of the animation, whether it is gong riding jun style or disney style, it feels very loving, telling a girl's growth story.",如果有人用李子柒做动画主角，无论是宫骑骏风格还是迪士尼风格，感觉都是十分有爱，就讲一个女孩成长故事。
35073,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8vwIHWYQdsZ,4,4 years ago,"@therewasnochill8997 well i m chinese, i have to say in our tradition girls will be considered as no need to go to school, the family will leave the opportunity to go to school to the boys in the family. but since 1910/1920s, chinese are fighting for women's right for education and working. nowadays, there is absolutely no limit and no problems for girls to go to school and to get higher education in normal city families. the whole society do not has any unequal signs for girls to get education, actually in current education structure, girls usually can get better scores and go to better universities in china as our tests in school is more focused on memorizing the answers or most of the tests have standard answers to the questions and girls usually more good at these tests then boys. but it is also true that in some of village families, especially in poor and small villages, they can't afford to go to bigger city and live there to study, or they have boys in the family also need to go to university, then they probably will choose to give the opportunity to the boys not the girls. but it really is a family problem not a general social problem. and i think there are similar family problems in every country (probably not to do with gender but with all other issues, eg can't afford to go big city/family number get ill and people choose to stay with families all these problems ). again there's absolutely no issue for girls to get education at all if they are willing to. china has the best equal opportunity rate for weman among all far asia countries regarding working opportunities and salary rate. my grand mum graduated from one of the best universities in china ๏ผzhejiang university ) in 1940s. my mum graduated from one of the best financial universities in shanghai (shanghai university of finance and economics)in 1980s, myself finished high school in shanghai and get in best art school in uk and own a master degree in arts. and non of my friends or heard any one lose their opportunity to go to school because they are girls.",@thenwasnochill8997我是中国人，我不得不说，在我们的传统中，女孩将被认为是不需要上学的，一家人将留下机会去上学。但是自1910年1920年代以来，中国人正在争取妇女的教育和工作权。如今，女孩绝对没有限制，女孩上学并在普通城市家庭中接受高等教育。整个社会没有任何不平等的迹象让女孩接受教育，实际上在当前的教育结构中，女孩通常可以获得更好的成绩，并且在中国的大学中获得更好的大学，因为我们在学校的考验更加专注于记住答案或大部分的答案测试对问题有标准答案，而女孩通常比男孩更擅长这些测试。但是，确实，在某些乡村家庭，尤其是在贫穷和小村庄中，他们负担不起去更大的城市去那里学习，或者家庭中的男孩也需要上大学，然后他们可能会选择给男孩而不是女孩提供机会。但这确实是一个家庭问题，而不是一个普遍的社会问题。而且我认为每个国家都有类似的家庭问题（可能与性别无关，但与所有其他问题有关，例如，大城市/家庭人数无法生病，人们选择与家人在一起所有这些问题）。同样，如果女孩愿意，女孩根本没有任何问题。在所有远亚洲国家，中国在工作机会和工资率方面拥有韦曼的最佳机会率。我的大妈妈于1940年代毕业于中国最好的大学之一。我的妈妈毕业于1980年代上海（上海金融与经济学大学）最好的金融大学之一，我本人在上海完成了高中，并在英国获得了最佳艺术学校，并拥有艺术硕士学位。而我的朋友或听说任何人都因为是女孩而失去了上学的机会。
23437,UgyvehVl1Bz7FmJSUGR4AaABAg,4,3 years ago,"i eventually know why american families like to adopt chinese girls ,who will become angels when you get old",我最终知道为什么美国家庭喜欢收养中国女孩，他们变老会成为天使
42338,UgwObPwQmu1LJv-8qYt4AaABAg,4,4 years ago,"so satisfying video,no one like her she is extra ordinary girl..lol",如此令人满意的视频，没有人像她一样，她是一个超级普通的女孩。
51773,UgwcbjBSIcrxac0FQwh4AaABAg,4,4 years ago,"i swear to god, you feel a psychological comfort, and you see this girl and see the creativity that is settled",我向上帝发誓，你感到心理安慰，你看到这个女孩，看到了定居的创造力
33585,Ugwi6MPmUUHVJiZrO-V4AaABAg.8vCZsi2p9r28z9bhhugmgC,4,3 years ago,such a talent girl!!,这样的才华横溢的女孩！
17570,UgxI4FmEKWAXcZVLmKJ4AaABAg,4,3 years ago,she is so beautifull &good girl.. she does everythings..,她是如此美丽和好女孩..她做所有的事情。
36687,UgylTM1tk7rRFvWtYkJ4AaABAg.8uRIOVFo2EQ8uiTY9UDgwG,4,4 years ago,she is the most beautiful girl chine i see in my life,她是我一生中看到的最美丽的女孩Chine
12110,UgyuCFLkLKEyMG43bUF4AaABAg,4,2 years ago,"i do not get tired of admiring this girl and this family. if there is paradise on earth, then he is here! all year round, complete abundance, fruits and vegetables grow in excess, but what beautiful! it is a pity that there are no russian credits. i would really like to know where this paradise is located. i would like to come and shake the hand with this needlewoman, and give a bow to this grandmother-assistant. i teach great pleasure from watching these videos. here it blows warm and family comfort.",我不厌倦欣赏这个女孩和这个家庭。如果地球上有天堂，那他就在这里！全年，完全丰富的水果和蔬菜长量生长，但是真漂亮！遗憾的是没有俄罗斯的信用。我真的很想知道这个天堂的位置。我想和这个针女的女性来握手，并向这个祖母助手鞠躬。观看这些视频，我教会了很高兴。在这里，它吹动温暖和家庭的舒适感。
6824,UgwDItcHWnVi2BPcOE94AaABAg,4,2 years ago,greetings to this girl from turkey,来自土耳其这个女孩的问候
6152,UgwtH3eEGXHMFukHEfx4AaABAg,4,2 years ago,"the reaction when i opened the guy who put the popcorn was cute ❤
i'm a girl, but i've been kyun w","当我打开那个放爆米花的家伙时的反应很可爱❤
我是一个女孩，但我一直是Kyun W"
14867,UgzMK-PFulRvNYVliOR4AaABAg,4,2 years ago,"im huge fan of this girl!!
i've learned a lotta things that i feel awesome","我是这个女孩的忠实粉丝！
我学到了我觉得很棒的洛塔（Lotta）"
31895,UgzTiWvMlVR0XN99SZ54AaABAg,4,4 years ago,"i love this girl too, everyone comes to my house and drinks tea",我也爱这个女孩，每个人都来我家喝茶
25592,UgxHntkBWOx5RviR26V4AaABAg,4,3 years ago,"i'm falling in love with this girl .. โฅโฅโฅ i fell in love with this girl
wว’ ร i shร ngle zhรจge nวhรกi","i'm falling in love with this girl.. ♥♥♥ 我爱上了这个女孩 
Wǒ ài shàngle zhège nǚhái"
31764,UgxHnhw1abtxyVhxe594AaABAg,4,4 years ago,i wish we had this type of girls in america./:,我希望我们在美国有这种类型的女孩。/：
32539,Ugzyq0Ab3XJ4b-wSXYZ4AaABAg,4,4 years ago,amazing this girl very creative lots of hard work done by herself,这个女孩很有创造力，她自己做了很多艰苦的工作
4378,Ugx53zPD1R8JLjKQ0eF4AaABAg,4,1 year ago,i relly love this girl and her production team.,我很喜欢这个女孩和她的制作团队。
36452,UgzQGNFN_T8OJMM6khl4AaABAg,4,4 years ago,"the most lucky girl of the world ๐๐’–๐‘ง 
you are so inspirational person!","世界上最幸运的女孩
你是如此鼓舞人心的人！"
11769,Ugw7RZqG7Noxu6iR83J4AaABAg,4,2 years ago,i live in russia. and so like to look at a beautiful and hardworking girl !! the beauty of places does not cease to surprise.,我住在俄罗斯。所以喜欢看一个美丽而勤奋的女孩！地方的美丽并没有停止惊讶。
31769,UgxIf4eZQ_55vKZBKyV4AaABAg,4,4 years ago,bro omg i need to marry a girl like this shes amazing !,兄弟，我需要嫁给一个这样的女孩，她很棒！
27261,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB923MODAUZhN,3,3 years ago,i also grew up with evil stepmom and run away from being slave. can't understand how fathers aloud such harsh treatment of their own children because of some women. this girl have done great revenge on evil stepmom by getting such success ๐,我还与邪恶的继母一起长大，逃避了奴隶。无法理解由于某些妇女而言，父亲如何对自己的孩子进行如此严厉的待遇。这个女孩通过获得如此成功的邪恶继母进行了大量报仇
35928,UgxbRBmV3x_QkbeQ_BZ4AaABAg,3,4 years ago,this is nature. this is paradise. girl sweet beautiful smart girl ๐—,这是自然。这是天堂。女孩甜美美丽的聪明女孩
50533,Ugy97wmfNQ6qcGlXh0R4AaABAg,3,4 years ago,"wish you happy new year 
to lovely girl","祝你新年快乐
对可爱的女孩"
35477,UgwJcmYEuXgeJXIoE-t4AaABAg,3,4 years ago,"if love was a person, i feel like it would be this girl.",如果爱是一个人，我觉得那是这个女孩。
32451,UgyX1udEsbOGstSL1LV4AaABAg,3,4 years ago,multitalented girl...i don't kw how she is cooking these items bt it's making me hungry....i would like to come that place bt there is no chance fa me really feeling sad while seeing that place.....,多元化的女孩...我不kw她如何烹饪这些物品，这让我饿了。...我想来的那个地方Bt没有机会在看到那个地方时感到非常难过。 。
3281,UgzEdqP2Aqbk-t_9rGV4AaABAg,3,1 year ago,i can't ignore this girl's hard working...huge applause for making feel us so easy to do everything. it was so satisfying,我不能忽略这个女孩的努力工作……让我们感到非常容易做所有事情的掌声。太满意了
27760,UgwgXinspMyNYXTPz0t4AaABAg,3,3 years ago,good job girlsโฅโจ,好的女孩♥✨
22375,UgxeFpyrL7XWhqRU1PN4AaABAg.92xnq6f9oza93Ide2Yzjyr,3,3 years ago,@rookieassassin not hating or anything but everyone says girls looks up to the the kardashians but i have never met a girl who sees them as their idol or wants to be like them. only some girl think that their are funny but that's it,@RookieAssassin不讨厌或其他任何东西，但每个人都说女孩仰望Kardashians，但我从未遇到过一个将他们视为偶像或想像他们的女孩。只有一些女孩认为自己很有趣，但仅此而已
38057,UgxL4hTmU2NMRZIe_O54AaABAg,3,4 years ago,"omg this girl lives with nature, she does not know all the stress from cities.",天哪，这个女孩与自然生活在一起，她不知道城市的所有压力。
21884,UgxHIkwhM0A3xgG1McF4AaABAg,3,3 years ago,iโ€ll never understand why thereโ€s so many dislikes. so many haters. this girl is amazing.,我永远不会理解为什么有这么多的不喜欢。这么多仇恨者。这个女孩很棒。
22827,UgxzBg5_i7J53yMiMo54AaABAg,3,3 years ago,she is a very beautiful girl but her hands is not. it's ugly because she has to do alot of things like this ๐‘๐ปthat's the true girl,她是一个非常漂亮的女孩，但她的手不是。这很丑陋，因为她必须做很多这样的事情
26921,Ugz8Z8xxVAdXFmj9yAB4AaABAg,3,3 years ago,this girl is the real life version of a disney princess,这个女孩是迪士尼公主的现实生活版本
26786,UgzvYOt0H_2OgL8sLth4AaABAg,3,3 years ago (edited),"liziqi you are a very special girl, i wish i was as talented as you are hopefully you will find your prince one day. god bless you and lots of love to granny ๐’–๐’–๐๐ฌ๐ง",Liziqi您是一个非常特别的女孩，我希望我像您希望有一天能找到您的王子一样有才华。上帝保佑你，对奶奶的爱心很多
23130,UgzjEliq5BAjaGR8Ujh4AaABAg,3,3 years ago,"u r a great girl who livining with u r grand ma .god bless u dear sis in our malayalam ""devam annugrahikatte pegalle"" & u r grand ma",一个伟大的女孩，他和你一起居住的大玛利亚。
13903,UgxXs47Ye4n7-nr2D2V4AaABAg,3,2 years ago,"hard working, adorable, beautiful girl",努力工作，可爱，美丽的女孩
5129,Ugw9zY_rn7gqC-jQ-e94AaABAg,3,1 year ago,"thank you very much to the author for these films! amazing !!! .. all !!! what a beautiful girl, and what a clever man-master !!! i am delighted !!! .. i subscribe and watch all your films ... i get great pleasure from views and, of course, i discovered a lot for myself, spied on .. and this girl of happiness, a good husband and children ... my respect ...",非常感谢作者的这些电影！太棒了！！！！！电影...我从景色中得到了极大的荣幸，当然，我为自己发现了很多，窥视了。
38918,UgzaXiSdXlj-zXxpMEV4AaABAg,3,4 years ago,"i love how she does all the gathering, cleaning, cooking, tending, creating, all the while looking perfectly dainty as a princess and cute as a pea, with her beautiful hair and face, and nimble hands! watching this girl go about her day is almost therapeutic! โค๏ธ",我喜欢她如何完成所有聚会，清洁，烹饪，养育，创造，同时看起来像公主一样精致，像豌豆一样可爱，拥有美丽的头发和脸，还有敏捷的手！看着这个女孩去看她的一天几乎是治疗性的！ ❤️
4837,UgyLJhjWJOhBN1rnREZ4AaABAg,3,1 year ago,girl you're awesome you did a great work keep going on may your get a wonderful success,你真棒的女孩，你做了一件很棒的工作，继续进行，愿你取得奇妙的成功
39969,UgzD9S0IGyFR-7JPOLZ4AaABAg,3,4 years ago,all that place you do and that girl seems unreal all the work that everything does.,您所做的所有这些地方和那个女孩似乎都不实现所有工作。
23952,Ugx6EdmLrAIGuChhnQh4AaABAg,3,3 years ago,i think this girl mentally and physically so healthy. great video,我认为这个女孩在精神上和身体健康。很棒的视频
39075,UgyWSEmpgzGGO50J3i54AaABAg,3,4 years ago,"this girl of my dreams, and it is a pity that i will never see her๐”",我梦dream以求的女孩，这是我永远不会见到her
24531,UgzHrwIExaLDVhu4nMl4AaABAg,3,3 years ago,"it is a pity that there is no translation into russian, it is interesting to know about the girl.",遗憾的是，没有转化为俄罗斯人，这很有趣。
26121,UgwQdehRp_7a7Gz3Xz94AaABAg.8zoNNAQmde-8zxxvfAs33O,3,3 years ago,"this is not real chinese country life, or not real life at all. apart from advertising income from rating she is making millions from selling personal brand food, very fancy and pricey . there is a whole team involved free hundreds people working behind her. that is her real life and business not the simple county girl at all.",这不是真正的中国乡村生活，也不是现实生活。除了获得评级收入外，她还通过出售个人品牌食品而赚了数百万美元，这非常奇特和昂贵。整个团队涉及在她身后免费工作的人。那是她的现实生活和生意，根本不是一个简单的县女孩。
24547,UgwNLUOiDIxsEtId4CZ4AaABAg,3,3 years ago,"1st time while i am watching this video i hope thereโ€s some ads then i can contribute a little bit to this beautiful girl, you make me feel peaceful",第一次我观看此视频时，我希望有一些广告，然后我可以为这个美丽的女孩做出一些贡献，你让我感到和平
30970,Ugw0R6L1mFd5QTmRuxZ4AaABAg,3,3 years ago (edited),"there are 2 things i noticed in this video
the girl is lucky that she has a beautiful granny
the granny is lucky that she has a beautiful and hard working girl
love this family and that place ๐๐๐๐๐๐๐๐๐๐","我在此视频中注意到了两件事
这个女孩很幸运，她有一个美丽的奶奶
奶奶很幸运，她有一个美丽而努力的女孩
爱这个家庭和那个地方"
