,cid,votes,time,含kind,含kind中文翻译
17634,UgzNv4azBWM4KY1hR414AaABAg.97m90yxmeTh98RpLOPrgDw,2,3 years ago,"even if it's not 100% real as it is in rural areas (i mean, i think we all kind of know that living on the countryside and on a farm is a lot of work, come on guys), but people on the internet constantly show only the good side, show things that are aesthetically pleasing, etc. even cooking videos do that, it's always a mess in the kitchen when you cook but not in their videos, doesn't mean it's wrong and you should bash them. sometimes people want to show things in a good light, show their hard work as something beautiful. i don't really seem a problem with it being ""too perfect"", it's just a video on youtube",即使不是在农村地区不是100％真实的（我的意思是，我都知道我们都知道住在乡村和农场上是很多工作，而是互联网上的人们仅显示好的一面，显示出美学上令人愉悦的事物，等等。即使是烹饪视频也可以做到这一点，当您做饭但不在他们的视频中时，这总是一团糟，并不意味着这是错误的，您应该抨击他们。有时人们想以良好的光线展示事物，将辛勤的工作视为美丽的东西。我似乎并不是一个“太完美”，这只是YouTube上的视频
11219,UgyTy85kslhi_31MEnV4AaABAg,2,2 years ago,where are the ants in your area? no any kind of ants? i can't believe.,您所在地区的蚂蚁在哪里？没有任何蚂蚁？我不敢相信。
33870,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd4935tJbdEtlt,2,3 years ago,"imagine living like this with a community of people who all value each other, nature, and this kind of lifestyle? it would be amazing!",想象一下，与一个彼此珍视的人，自然和这种生活方式的社区生活在一起？这将是惊人的！
19170,Ugz7GfDlR4YeU4t_6r14AaABAg.967vXqxs2yP96pPnrVcQxR,2,3 years ago,@alialsibaie could you kindly shut the fuck up,@alialsibaie你能闭嘴
5867,UgyUHVC0rtxBPaf64TV4AaABAg,2,2 years ago,"dearest liziqi......really do enjoyed your u tube videos ....the recipes look so yummy, please is there any chance to translated the information from chinese into english-language, greatly appreciated your kindness....",亲爱的liziqi ......真的很喜欢您的U管视频。...食谱看起来很美味，请有机会将信息从中文翻译成英语，非常感谢您的好意。
11788,Ugzg5mflolxGnKyJjQt4AaABAg,2,2 years ago,"you are a legend liziqi 
i miss this kind of life. 
your place is a paradise, surrounded by flowers and vegetables, and your cute friends. i like your puppy and the lamb. 
your popo is so lucky to have you with her, a very loving grand daughter. 
i love all your videos. i will try your recipes from scratch. 
also, i love your oven. its unique. ๐๐ฅฐ
love from houston, texas
๐’mimi โจ","你是一个传奇的liziqi
我想念这种生活。
您的住所是一个天堂，周围是鲜花和蔬菜，还有您可爱的朋友。我喜欢你的小狗和羔羊。
您的Popo很幸运能和您在一起，一个非常有爱心的大女儿。
我喜欢你所有的视频。我会从头开始尝试您的食谱。
另外，我爱你的烤箱。它的独特。 
来自德克萨斯州休斯顿的爱
"
30280,UgwDPkGQd0OEgrZTeih4AaABAg,2,3 years ago,i admire this kind of village.. everything u want is just available at ur home or garden.. no need to go fresh market or fruits stalls..aside from china where we will find this kind of place?,我欣赏这种村庄。.您想要的一切都可以在您的家中或花园里买到。.不需要去新的市场或水果摊位。在中国，我们会找到这样的地方吗？
33793,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48wzrikiHyMc,2,3 years ago,"""mankind "" told us to work hard 9to5 to make money for living and spend all in a week to buy something we don't need",“人类”告诉我们要努力工作9to5，以赚钱，以在一周内花钱购买我们不需要的东西
30207,UgxAbO9DNwt5ABSZxoZ4AaABAg,2,3 years ago,what is she cooking on at 2:29 ? what kind of portable stove is that? is looks like a pottery device. does anyone know? (side note: liziqi videos are incredible),她在2:29做什么？那是什么样的便携式炉子？看起来像陶器装置。有人知道吗？ （旁注：Liziqi视频令人难以置信）
12545,UgxdqJGV-Pp5mmIIcI94AaABAg,2,2 years ago,every kind of food made is good. i want to eat it when i look at it,做的每一种食物都好看.看着就想吃
35292,UgzR9shg188GePmMLE94AaABAg,2,4 years ago,these are the kinds of videos youโ€d never get tired of watching,这些是您永远不会厌倦观看的视频
45754,Ugw99ATdOTpfSLjz_BB4AaABAg.8r0DpRagQy88r2FfiAHZC9,2,4 years ago,"fyi she’s selling snacks on taobao and these vids are kinds of advertisement. if these are the so called propaganda videos.....at least she’d put on english subtitles at the beginning, or else what’s the point？sometimes i just don’t get the ideas from you guys٩(๑´0`๑) is it possible that you’ve been propaganda by western press in a wrong way?",仅供参考，她在淘宝上出售小吃，这些视频是广告。如果这些是所谓的宣传视频.....至少她一开始就戴上英语字幕，否则有什么意义？有时我只是不从你们那里得到想法（๑ ๑ ๑ ๑ ๑´0`๑ ）是否有可能以错误的方式受到西方媒体的宣传？
45390,UgyTOwr4Q45r45UaXDB4AaABAg,2,4 years ago,"wow, you can still find this kind of popcorn master too much, look and cry, thank you ziyi",哇 现在还能找到这种爆米花师傅 太怀念了 看哭了 谢谢子柒
7773,Ugzs4WXXc8sdSl0gsHp4AaABAg,2,2 years ago,"what kind of person would click on thumb down? it's an amazing, beautiful, heart-warming, calming video.",什么样的人会点击拇指？这是一个了不起，美丽，令人心动的，平静的视频。
26295,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy9-jZzfb59Q6,2,3 years ago,thats kinda gross but goo for u,多数民众赞成，有点糟糕，但对你来说很糟糕
40445,Ugz7z6jPUmpDFcpNtft4AaABAg,2,4 years ago,i love her character so kind and take care her grandma,我非常爱她的角色，照顾她的祖母
32751,UgyXwsAeYegCw1UAMqd4AaABAg,2,4 years ago (edited),"la, and to eat the sabachki? she herself only dates to throw everything into his mouth, poor dogs. only tears! i look there a closet clogged with food to the ceiling. here you have japan, people are of course insanely smart. even the girl is able to collect a bed of non -hijah! and what i like they live with nature, some kind of roots, bast shoes are edible. i watch a few videos, the first thing that she cares about her mother or grandmother is not important. it is just what kind of upbringing! and the second, how hardworking they are, now i understand why they are in such a small country, an order of magnitude higher than other countries live, their head works like a good swiss watch. surprised their work, and especially the mind",洛杉矶，吃萨巴奇（Sabachki）吗？我看着一个壁橱，上面堵塞了天花板上的食物。在这里，您有日本，人们当然是疯狂的。我喜欢他们与大自然生活在一起，根源，冰棍可以食用。我看了一些视频，她关心的母亲或祖母的第一件事并不重要。这就是什么样的成长！第二，他们的勤奋程度，现在我明白了为什么他们在如此小的国家，比其他国家生活高的数量级，他们的头部像一只好瑞士手表一样工作。使他们的工作感到惊讶，尤其是头脑
50581,UgyIf9B7LC3o_ShFBdJ4AaABAg.8qlh0C1jtGZ8qm0qgJ2hZ6,1,4 years ago,thanks so much for the recipe. your kindness is greatly appreciated! happy lunar new year!,非常感谢您的食谱。非常感谢您的好意！农历新年快乐！
51198,UgwUp1TGihrnwx93kbp4AaABAg,1,4 years ago,wow superb i wish if i had this life..... plucking whatever necessary from my garden.... a care free life ..... with all those animals grandma..... it's one of a kind...... also i do have a request may i visit your place the very next time pls consider this,哇，我希望如果我有这个生命..... ....我也有一个请求
19560,Ugw2Vyzz9vu--_fzqQZ4AaABAg,1,3 years ago,watching his video is a kind of enjoyment!,看他的视频是一种享受！
19761,UgyEl4tF-F8_4eyFqRF4AaABAg.95LRY3_p1EK96JEYsIOt7u,1,3 years ago (edited),"i don't know what kind of comment you have,",我不知道你有什么样的评论，
21368,UgzUGC_CTl1yXYODrxN4AaABAg,1,3 years ago,the hard -working and kind woman is the most beautiful! guiqiu: please be my wife!,勤劳善良的女人最美！跪求：请你成为我的妻子！
19763,UgyEl4tF-F8_4eyFqRF4AaABAg.95LRY3_p1EK96TLjovnRrl,1,3 years ago,"kimber lee oh! are you trying to solve the meaning of my comment! thank you for your kindness ☺️
these videos are surely healed and attractive.","金伯·李（Kimber Lee）哦！您是否想解决我的评论的含义？谢谢你的好意☺️
这些视频肯定可以治愈且吸引人。"
21057,Ugz5P4xPsdR6Z9czEyd4AaABAg.941vCdSLPgO9KQQq866yrk,1,2 years ago,"@idontcarei '' this much makup''?? i' m sorry but i think that we don't have the same definition of what is a lot of makup. of course she is a video maker, so she tries to create some kind of mood and i think everybody knows that she don't represent poor farmers. she used to work in the city, but she came back to help her grand parents on they farm. compare what is comparable",@idontcarei''这个多大的货物'？很抱歉，但我认为我们对什么是很多的定义没有相同的定义。当然，她是一个视频制作者，所以她试图创造某种心情，我想每个人都知道她不代表贫穷的农民。她曾经在这座城市工作，但她回来帮助她的大父母在他们的农场上。比较可比的
21284,Ugy3XCUgVit2hL0_J394AaABAg,1,3 years ago,"i really don't know what to say.

i saw almost all your movies.
when you work with a knife or a dangerous tool you always worry about hurting your hand, or when i see you doing hard work i tell myself i wish i was there and doing the hard work for you.

you are very diligent and hard working and i think you are very kind just like your grandmother.

may god bless you all the best.๐โค๐ท","我真的不知道该说些什么。

我看了几乎所有的电影。
当您使用刀子或危险工具工作时，您总是担心会伤害您的手，或者当我看到您做辛勤工作时，我告诉自己我希望我在那里并为您做艰苦的工作。

您非常勤奋和努力工作，我认为您就像您的祖母一样善良。

愿上帝保佑你们一切顺利。"
51725,UgxYasu9FDqzWgUHqsl4AaABAg.8qlSxysCabu8qljY6yVsa5,1,4 years ago (edited),"dexter morgan oh, i was bored and your comments were so utterly ridiculous and you believed them with true conviction - it was amazing so i wanted to see how deep you would dig. i was formerly a historian, kiddo (i specialised in pre-pie cultures in europe). i can tell you’ve been reading nationalist propaganda as i see this kind of trash spewed all the time. the typical “chinese stole everything from the baiyue and the vietnamese are the only baiyue people left!” nonsense, it’s second only to “the cantonese language is older than mandarin and mandarin was corrupted by manchu barbarians!” (both languages are equally old and erhua is not a “manchu accent” at all, the trait developed during the ming which was before the manchu invasion) or the equally ridiculous “us japanese may have copied the chinese but the modern chinese should not be proud as they are so mixed and there are no real chinese left!” (ignoring the fact that chinese have always been “mixed” since their origin as the huaxia confederation and the modern northern han are actually quite genetically homogenous as the population has coalesced but japanese nationalists are always dumbasses). like i said, you thinking wikipedia is a credible source is hilarious and if you’re reading vietnamese wikipedia then that whole thing is a joke, stick to the english editions as they have more contributions. 
good riddance.","德克斯特·摩根（Dexter Morgan）哦，我很无聊，您的评论非常荒谬，您以真正的信念相信他们 - 真是太神奇了，所以我想看看您会深入挖掘。我以前曾是历史学家Kiddo（我专门从事欧洲的预科文化）。我可以告诉您，您一直在阅读民族主义者的宣传，因为我一直看到这种垃圾一直在喷出。典型的“中国人偷走了拜纽（Baiyue）和越南人（越南人）是唯一剩下的巴伊耶（Baiyue）！”胡说八道，第二次是“粤语比普通话年龄大，而普通话被曼彻·野蛮人（Manchu Barbarians）腐败了！” （两种语言都同样古老，Erhua根本不是“ Manchu的口音”，在Manchu入侵之前的Ming期间发展的特质）或同样荒谬他们是如此混杂，没有真正的中国人感到骄傲！” （忽略了以来中国人一直“混合”以来的事实，因为他们作为Huaxia联邦和现代北部汉族实际上在遗传上是同质的，因为人口融合在一起，但日本民族主义者总是愚蠢的）。就像我说的那样，您认为Wikipedia是一个可靠的消息来源很有趣，如果您正在阅读越南Wikipedia，那么整个事情都是个玩笑，请坚持英语版，因为它们有更多的贡献。
甩掉包袱。"
37864,UgwTWRrJuZOWCAKDBFp4AaABAg,1,4 years ago,"holy shittttt, what kind of a charmed life does this woman lead and how do i join in",神圣的shitttt，这个女人带领什么样的迷人生活以及我如何加入
20656,Ugw1mq8uoLkqbHMDPW14AaABAg,1,3 years ago,i am in search of this kind of life,我正在寻找这种生活
25668,UgzsuyYqpWh-NROlzkF4AaABAg.9-6D8C6Q_lL9-zOBqn_K0T,1,3 years ago,"@phosphophyllitecheemy5055 leave this kind of guys, they lost their mind totally, a nice zombie made by their government.",@Phophophyllitecheemy5055离开这种人，他们完全失去了理智，这是政府制造的不错的僵尸。
22189,Ugyehpm6WYaRRaPthnp4AaABAg.932TFd4Bma793EqNubbiN2,1,3 years ago,its called apple mango. its another variety of mango which is larger than any other kind of mangoes.,它称为苹果芒果。它的另一种芒果比任何其他类型的芒果都要大。
29466,UgzZzJbuNnUNCMBVlIR4AaABAg.8xjFGku-_Z_8yojVT_eoiA,1,3 years ago,"@paulchen1067 i don't know if it is your understanding of your understanding or not to see it carefully. what i said is ""actually protecting taiwanese netizens and beneficial to taiwan"", not ""to protect taiwan"". although the research and development of firewalls, although it is not subjective to protect taiwan, it objectively protects taiwan and protects taiwan. as for the reasons for the research and development of firewalls, many domestic forums have discussions, which are mainly summarized as:
first, because there are many yellow adult websites outside the wall, these pornographic websites do not have any protection, and children can open it at will. these primary school students who are still studying are not seen. the two children should see these pornographic adult websites when they should not see these things, so it protects my children at least. i am very grateful;
second, many fake news of rumoring and discredited chinese demons outside the wall flies. some people who are not mature are not enough to distinguish. it is easy to be misleading. it is the same as the brainwashing sun flowers in taiwan. the united states. the country is very good at using tools such as the internet and traditional media to combine the right to speak and subvert other countries in combination with the right to speak in the hand. the spring of arabia, which occurred in a series of countries in a series of countries in the middle east, is the united states and other use of the internet hegemony to incite and subvert other countries. the big ""masterpiece"", the current violent turmoil that occurs in hong kong is the same. as long as those who have a little mind and a little international insight can see clearly. assuming that the middle east countries also had comprehensive internet protection measures at that time, they would not be by the united states. using social media such as the internet to easily incite their domestic fighting and turmoil, it ultimately leads to the tragic situation of war, the people's non -talk, refugee flowing, and economic collapse. the history of traditional colonial countries such as the united states and britain used the internet to infiltrate and subvert the country in one day or two. the intelligence department uses the internet and other tools to conduct as many as 39 countries that have infiltrated and subverted other countries. this is what the united states is said in hillary's mouth. china's firewall to a certain extent has a certain blocking effect on this intelligence agency using the internet to incite public opinion and cause social turmoil to ultimately achieve the ""ingenious strength"" of subverting the country's regime. the entire exposure of the eyelids of the anti -chinese countries will be manipulated by the information departments such as the united states, which leads to the chaos in hong kong today. the purpose of trump is to use hong kong as a bargaining chip to the extreme of china to pressure china. in order to eventually occupy more cheap china in the trade war negotiations.
third, in fact, for the consideration of national security, many countries have walls, south korea, and germany, usa, and germany. india envy china to have bat, and it is ready to engage in the wall. after all foreigners, snowden exposed the prism door, especially after the german chancellor merkel's mobile phone was listened to the cia, germany was also building a wall. it seems that this is a trend. the internet has now become a new battlefield. the major countries are developing network troops and building walls crazy, but the forms are different. the united states has long been set off the world in the world. in addition to prism doors, there are also five -eye alliances. the internet world has long been reduced to the colonies in the united states without knowing it. the ability to be capable of capable of has a wall. only those who are unable to build it are going. the american wall is much more advanced than the chinese wall technology. it is difficult to find that this is really a bit embarrassing. in fact, the background is also recording cross -border traffic and even secretly analyzing the content of the mail package. similar words such as ""production"" and ""buying suicide bombs"", and soon, fbi agents came to your house to search. these are keywords and sensitive words monitoring techniques. obviously haha, the chinese wall is a pediatric department compared to the american wall. chinese technology can only monitor itself, and even the technology can not completely make it unable to turn the wall. however, lao and american technology can monitor the world. the gap is really not a little or two, but a generation and two generations.
some people say that china is engaged in net walls to be afraid that domestic people will know what the so -called truth, and the actual situation is exactly the opposite. if you are really afraid of people in the country to know what the so -called ""truth"" and why do you put so more than 100 million domestic in china a year people go out to see ""truth""? can you stop it? are you afraid that more than 100 million people will go out to see the ""truth""? obviously this is conflict. china has more than 150 million people every year, and 130 million foreigners entering china have become the world's largest in the world. one of the tourist destinations, as many as 10 million foreigners living in china, as many as 60 million chinese people living abroad, hundreds of foreign embassies and consulates in china, more than 100,000 foreign media resident reporters, there are more than 10 million international multinational companies and foreign trade companies are held in hundreds of international conferences and large -scale activities in china each year. after 40 years of opening up, china has already been integrated into the world in all aspects. in the era of information such in information, everyone can spread through the global era when everyone picks up a mobile phone, saying that the idea of โ€โ€being afraid of people know what ""truth"" is really naive, and it also proves how ridiculous the guessing people who want to eat melon for granted. essence
the fourth is to protect the growth and growth of its own internet industry. do not want to be occupied by american companies like the same domestic internet as the world. the top ten important network industries in the world are either the united states or in mainland china, and they have begun to enter the global market. the top ten internet companies in the world, each of which each country and the united states are half. other countries are zero. some people once said that there are only two world internet countries. the united states and china (this is permanently set in wuzhen, zhejiang, zhejiang, china. to. mainland china โ€s internet strength is second in the world. although the overall strength is still far behind the united states, it is the only country that is comparable to the united states in the internet field. the european union, india, russia, canada, japan, australia cannot do it, because of the degree of pain, the market, the market, the population, the population, the funds, the language, the policy, the technology, culture, etc. when we laughed at this firewall, we did not know that only from politics, the vision of thinking was so narrow, and the sour people's vision was like a rat, foolish. the internet achievement of the walls of the wall in china is: we have created a set of our own network industry chain, the second largest in the world. and when netizens all over the world brush fb and yt every day, when google's hou, they did not realize that their countries, including some european countries, have become ""colonies"" in the united states of the united states, not only the online market and public opinion were facebook, but they were facebook. foreign network power control dominates other foreign network power control, and the people of their domestic companies must also pay expensive advertising fees and usage fees. and all the personal data of their national and enterprises, all of which are stored in the server of the us internet company giants, have long been safe. in the past two years, fackbook has repeatedly gone out the incidents of leakage of their personal information information and selling. it is one of the proof.
the fifth is to facilitate the management of the network and crack down on cyber crimes. the internet is the same as a real society. every day, a lot of criminal activities are filled with criminal activities. some of them have subverted the country, illegal operations, and criminal criminals, such as online fraud, money laundering, online gambling, mlm, cult transmission ... and police officers in a country it can only be enforced in its own country because of the multinational nature of the internet. if criminals set up the server abroad, and criminal activities such as fraud on ordinary people in the country, the police can only watch them implement criminal crimes against domestic abroad. there is no way to manage it. this is not a good thing for the interests of ordinary people. this wall can filter most of this kind of overseas fraud, gambling, money laundering, etc. most filtering can increase the difficulty of crime of overseas criminal criminals, which is valuable. ordinary people do nโ€t care about turning over the wall, and they do nโ€t touch the law. for example, college students write papers to check foreign language information, etc., and 99%of chinese resources are on the internet in the country. the chinese content outside the wall is added. there are more than 1%. compared to those who do not understand foreign languages, the wall is the real sea. it is just a small puddle on the wall. i am not proficient in foreign languages. individuals are proficient in a foreign language, so there is no great impact on the wall. besides, this firewall does not block all foreign websites outside, but just block part of the content of the country and the people. many foreign websites can be accessed directly. domestic ipv6 users, and some campus networks. education network can directly access foreign websites. many domestic websites, including apps, can also be accessed directly from abroad, such as weibo, douyin, and douyin, douyin, douyin, and douyin, douyin, and douyin, douyin, and douyin, and douyin, and douyin, and douyin, and douyin, and douyin, and douyin, and douyin, and douyin, and douyin, and douyin, and douyin, and douyin, and douyin, and douyin, and douyin, and douyin, and douyin. douban ... you can access it directly from abroad, and the firewall is not intercepted by a knife. there are so many embassies, multinational companies, foreign trade companies, foreign -related institutions, universities, and research institutions. this number is an astronomical figure. so many people are legally used to use external networks for daily work and business. even the official cctv in china is on yt. with the official channel, it can be seen that the role of the firewall is not to block the network and outside the network. the function is obviously filtering, filtering out those things that are harmful to national security and the interests of the people, and retaining beneficial things. a person is sick alone. everyone knows to go to the hospital to see a doctor. when you take medicine and take medicine, you have to remove the germs that endanger your body to keep your body healthy. why can't the internet be filtered out of those bad things and keep the internet be healthy. in short, weighing the advantages and disadvantages and comprehensive considerations, li yuan is more than disadvantaged.
the above just means that i am not ""refuted for refutation."" everyoneโ€s iq, eq, experience, observation, and international vision are different. the depth and breadth of thinking are different, but one thing must be remembered. that is, don't float in the appearance, don't want to be cloudy, but get rid of prejudice and settings, think independently, and approach the essence and truth. in this way, you can truly achieve ""not confused"" without being stupid. break and use.","@paulchen1067 不知道是你的理解力问题还是看得不仔细，我说的是“实际上保护了台湾网民，对台湾有利”，不是说“为了保护台湾”。研发防火墙，主观上虽然不是为了保护台湾，但客观上保护了台湾，既“实际上”保护了台湾。 至于研发防火墙的原因，国内很多论坛上都有讨论，主要归纳为几点： 
一是因为墙外很多黄色成人网站，这些色情网站没有任何防护，小朋友都可以随意点开，这些总不能让那些还在念书的小学生初中生等小朋友看到才对吧，反正我是不希望我家的两个小朋友在不该看到这些东西的年龄看到这些色情成人网站的，所以它至少保护了我家的小孩，我是很感激的； 
第二，墙外很多造谣抹黑妖魔化中国的假新闻满天飞，有些年纪不大还不成熟的人思考力分辨力还不够，很容易被误导就跟台湾那些被洗脑的太阳花觉青一样，美国等国家非常擅长利用互联网和传统媒体等工具结合手中控制的舆论话语权对他国进行意识形态的渗透和颠覆，发生在中东一系列国家的阿拉伯之春就是美国等利用互联网霸权煽动颠覆它国的一大“杰作”，目前发生在香港的暴力动乱也是如此，只要稍微有点脑子有点国际洞察力的人都看得一清二楚，假设当时中东国家也拥有完善的互联网保护措施，也就不会被美国等利用互联网等社交媒体轻易就煽动其国内的内斗和动乱，最终导致如今这些国家战火纷飞、民不聊生、难民流离、经济崩溃的惨状。美英等传统殖民国家利用互联网对它国进行渗透颠覆的历史可不是一天两天了，从乌克兰到摩洛哥，从利比亚到叙利亚，从埃及再到委内瑞拉，据维基解密统计，冷战结束后，美国CIA等情报部门利用互联网等工具对它国进行渗透颠覆搞掉的国家多达39个，这就是希拉里口中所说的美国的“巧实力""吧，毕竟美国掌握着全球互联网霸权和舆论话语权，而中国的防火墙在一定程度上对这种情报机关利用网络进行舆论煽动和造成社会动荡最终达到颠覆别国政权的“巧实力”有一定的阻挡作用，而香港正是因为互联网过于开放，毫不设防，整个暴露在反中国家的眼皮底下，才会被美国等情报部门随意操弄，导致今日香港乱局，而特朗普的目的正是要将香港搞乱作为向中国极限施压的一个筹码，以便于最终在贸易战谈判中占到中国更多便宜。 
第三，实际上出于国家安全的考虑，很多国家都有墻，韩国有，美国俄国德国都有，印度羡慕中国有BAT，也准备要搞墙了，泰国防部建立“天网” 追踪境内全部外国人，斯诺登曝光棱镜门后，尤其是德国总理默克尔的手机被美国中情局监听后，德国也在筑墙，看来这是趋势，网路现在已经成了一个全新的战场，各大国都在发展网络部队，疯狂筑墙，只是形式不一样而已，而美国，早就在全世界布下了天罗地网，除了棱镜门，还有五眼联盟，监视全世界，完全没设防的国家，网络世界早就沦为了美国的殖民地而不自知，有能力的国家基本都有墻，没能力建设的就只有随它去了，而美国的墻比中国的墻技术先进多了，一般人都很难发现，这个确实有点屌，其实后台一样在记录跨境流量甚至暗中抓取邮件包内容自动分析，发邮件人一点感觉都没有，在美国境内上网发表“刺杀特朗普”""轰炸白宫""或“制作”“购买自杀式炸弹”等类似字眼，很快就有FBI的探员来你家敲门搜查了，这些都是关键词、敏感词的监听技术，不像中国的墙简单粗暴，太明显了哈哈，中国墻跟美国墻相比就是小儿科，中国的技术只能监控自己，甚至技术还达不到完全让网民无法翻墙哈，但老美的技术却能监控全世界，中美的技术水平差距真的不是一点两点，而是一代两代。 
有人说中国搞网墙是为了怕国内的人知道什么所谓的真相，实际情况正好相反，如果真是怕国内的人知道什么所谓的“真相”，那干嘛每年还放那么多一亿多国内的人出去看“真相""？挡得住么？不怕这一亿多人出去看到“真相”么，显然这是自相矛盾的，中国每年出国人数一亿五千多万人次，入境中国的外国人1.2亿人次，中国已成为全球最大的旅游目的国之一，在中国生活的外国人高达一千多万，居住在国外的华人高达六千多万，中国常驻有数百个外国使领馆，十多万国外媒体常驻记者，有一千多万家国际跨国公司和外贸公司，每年在中国有数百场国际会议和大型活动召开，历经40年的开放，中国早已全方位深度融入了全球，每年这么多与世界的联系与互动，在资讯这么发达，人人拿起手机随手一拍就能传遍全球的时代，说怕人知道什么“真相”的想法真的极其幼稚，也证明国内那些想当然的吃瓜群众的猜测显得多么荒谬。 
第四，是为了保护国内自己的互联网產业的成长壮大，不希望跟全世界一样国内的互联网全被美国公司佔领。全世界排名前十的重要网络产业，不是美国的就是中国大陆的，而且开始进军全球市场。全球十大互联网公司，中美各占一半，其它国家为零，有人曾言，世界互联网大国只有两个，美国和中国（这点从世界互联网大会会址永久定在中国浙江乌镇就不难看出）。中国大陆互联网实力全球第二，虽然整体实力仍远远落后于美国，却是唯一在互联网领域有机会媲美美国的国家。欧盟，印度，俄罗斯，加拿大，日本，澳大利亚都做不到，因为痛合度，市场，幅员，人口，资金，语言，政策，技术，文化，等等各种因素。当我们在嘲笑这个防火墙的时候，殊不知，只从政治看问题，眼界思维如此之狭隘，酸民眼光如鼠、愚不可及。在中国这设墙的二十多年的互联网成果是：我们打造了一套属于自己的网络产业链，全球第二大。而当全世界的网民每天在刷着FB、YT，谷歌的时侯，他们完全没有意识到自己国家包括一些欧洲国家已经沦为网络经济强国美国的“殖民地”，不仅网络市场和舆论被Facebook、Yahoo、Google等外来网络强权控制主导，其本国企业要接触自己的民众还必须支付昂贵的广告费和使用费等等费用。而把自己国家国民和企业的个人资料，隐私等全部储存在美国互联网公司巨头的服务器里，早已毫无安全可言，过去两年Fackbook公司多次暴出将其用户个人信息资料泄漏出卖的事件便是明证之一。 
第五，是为了便于网络的管理，打击网络犯罪。网络和现实社会一样，每天充斥着大量的犯罪活动，有颠覆国家的，非法营运的，还有刑事犯罪的，比如网络诈骗，洗钱，网络赌博，传销，邪教传播这些……而一个国家的警察只能在其本国境内执法，因为网络的跨国性，如果刑事犯罪分子把服务器架设在国外，而对国内的普通民众进行诈骗等犯罪活动，警察只能眼睁睁看着他们在境外实施对国内的犯罪，却没办法管得到，这对普通百姓的利益绝非好事，而这堵墙能过滤掉大部分这种境外诈骗、赌博、洗钱等针对国内民众的犯罪，虽然不能完全百分百过滤，但过滤大部分，能增加境外跨境刑事犯罪分子的犯罪难度，已经难能可贵了。普通人没事翻翻墙不会管，而且也不触法，比如 大学生写论文翻墙查外文资料等，而99%的中文资源都在境内的互联网上，墻外的中文內容加起來也沒有墻內的1%多，相對于不懂外语的人來說，墻內才是真正的大海，墻上只是一個小水坑而已，不熟练掌握外语，你翻出來也是來到了一片沙漠，因为并不是每个人都精通一门外语的，所以翻不了墙并没有什么太大的影响，况且这个防火墙并不是把所有外国网站全部挡在外面，而只是把一部分的对国家和百姓利益有害的内容拦在外面，国外很多网站是可以直接访问的，国内IPV6用户，还有一些校园网，教育网都是可以直接访问国外网站的，国内很多网站包括APP也可以从国外直接访问，比如微博、抖音、豆瓣......等都可以从国外直接访问，防火墙并没有一刀切地拦截。国内那么多大使馆、跨国公司、外贸公司，涉外机构、高校、研究机构，这数字是个天文数字，这么多人都在合法地使用外网进行日常工作和业务，连国内官方的央视都在YT上开了官方频道，可见防火墙的作用并不是要阻断网内和网外，其功能显然在于过滤，过滤掉了那些对国家安全和百姓利益有害的东西，保留了有益的东西，一个人生病了都知道去医院看医生，打针吃药甚至做手术都要除掉危害身体的病菌让身体保持健康，为什么互联网就不能过滤掉那些坏的东西让网络保持良性健康呢。 总之，权衡利弊，综合考虑的话，利远大于弊。 
以上，只是说明我并不是“为反驳而反驳”，每个人的智商、情商、阅历、观察力、国际视野都不一样，思维的深度、广度也不一样，但有一点是必须记住的，即不要浮于表象，不要人云亦云，而是摆脱成见和定势，独立思考，接近本质与真相，这样，才能真正达到“不惑”，且不会被愚蠢的自以为是绑架，更不会被他人的言辞蛊惑和利用。"
42294,UgwSfk1Ky3mI1OjlNJx4AaABAg,1,4 years ago,relief frm tension if i watch dis ....i want to spend my rst of life in dis kind of place so peace.......,如果我观看迪斯（Dis），请缓解紧张局势。
30254,UgwgMRAEauBOnPziCpp4AaABAg,1,3 years ago,it seems to be watching what kind of drama!,似乎正在看什么样的戏剧！
47451,UgwCYcXVZ6foHoO7x6F4AaABAg,1,4 years ago,what kind of dog is the little white one with short hair?,短发的白色小狗是哪种狗？
30461,UgwZyDYqLWXmA8QU1L54AaABAg,1,3 years ago,i love this kind of oven... ๐๐๐,我喜欢这种烤箱...
31207,UgxBPmGw0xIG1aIl6ZF4AaABAg.8wR1zKZ8whC8x-n2JNz4PK,1,3 years ago,"what? chinese? what kind of chinese? hong kong, korean penisula, or the one who had ever attacked by atomic bomb?",什么？中国人？什么样的中国人？香港，韩国阴茎还是曾经被原子弹袭击的人？
31697,Ugydy5rMmseEImdwUO14AaABAg,1,4 years ago,i wish i had that kind of life .,我希望我有这样的生活。
32044,Ugypj7RPWtt2ITzMR-x4AaABAg,1,4 years ago,i want this kind of life simple and contented๐–ค๐ป,我希望这种生活简单而满足
