,cid,votes,time,含perfect,含perfect中文翻译
4117,UgxhHMoLgaUZXNlN6eB4AaABAg,1,1 year ago,"this great video! but sorry i have to say this, i got distracted to the bgm, it was used in digimon adventure ost omggg my childhood, the bgm fit perfectly x""))))",这个很棒的视频！但是很抱歉，我不得不这么说，我分心于BGM，它用于Digimon Adventure Ost Omggg我的童年时代，BGM拟合完美x”）））））））））））））））
4083,Ugw3GFi8tnJDEtnSS4V4AaABAg,1,1 year ago,"everything is perfect view ,music ,food",一切都是完美的视野，音乐，食物
25944,Ugw93U0P1lvpwS5HmYp4AaABAg,1,3 years ago,wow ๐ฎi have to say sheโ€s so perfect talented girl. i love how she prepares her food looks so delicious yummy ๐ if i had a wish i would like that kind of simple life and be living in that time of era were no interference from the outside world. thank you for sharing your life with us che che ๐โ๏ธ๐,哇，我不得不说她是如此完美的才华横溢的女孩。我喜欢她准备食物的样子看起来如此美味的美味
22631,Ugweig8_k2S-08tdDAV4AaABAg,1,3 years ago,"what an incredible thing, simplicity and perfection of the hand
greetings from chile ๐จ๐ฑ","多么令人难以置信的事情，简单性和手的完美
智利的问候"
3832,UgxyWtHFOiz_77zWyuJ4AaABAg,1,1 year ago,"the governance country is like cooking xiaoxian, which is clear and the human feelings; you are not the most perfect, you are constantly good, you are continuously beautifying! admire","治大国如烹小鲜, 事理通明, 人情练达;你不是最完美, 你是不断善化, 你是不断美化! 佩服"
44147,UgymUsyD_tmXlhnalMl4AaABAg,1,4 years ago (edited),"gotta love how they got the great camera and lighting setup and it's a professionally produced video. perfect hair, clothing and makeup for a video like this. the small animals, the road full of fruit on the ground perfectly arranged, everything looks fake and staged. i bet they eat mcdonald's all the time and they don't even eat the stuff on these videos, it's just for the money. the only things they probably eat from this video are the puppies and baby sheep once they grow up and are no longer cute enough for the videos. i hope they upload the video when they eat those dogs.",要喜欢他们如何获得出色的相机和照明设置，这是一个专业制作的视频。完美的头发，衣服和化妆，用于这样的视频。小动物，地面上充满水果的道路完美排列，一切看起来都是假的和上演的。我敢打赌他们一直都在吃麦当劳，甚至都不在这些视频上吃东西，而是为了钱。他们可能会从这个视频中吃的唯一东西是一旦它们长大后，它们就不再足够可爱，无法使用这些视频。我希望他们在吃那些狗时上传视频。
23576,UgwsVMoex4LzbMI0Gmd4AaABAg,1,3 years ago,perfection ... not to mention the wealth of details ... ๐‘๐‘๐‘,完美...更不用说细节的财富...
31308,Ugz_vgKRyIsJ0MaF1Wx4AaABAg,1,3 years ago,perfect๐,完美
42128,UgxO4xaelBjGPU3hLON4AaABAg,1,4 years ago,everything with this video was perfect❤,此视频的一切都很完美❤
33934,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd499HRheuluf1,1,3 years ago,"jad jad - hi, i fell in love with it too. it is from โ€thomas kincaidโ€s disney themesโ€ and this is one is peter panโ€s lithograph/calendar. you just take a screen shot. the art information shows when you look at the details, so that you show that you are not trying to claim the art. my copy came from a calendar i bought several years ago, but the online version is available .
i hope this helps, btw there are several disney themes available. just put in โ€thomas kincaid disney collectionsโ€. i hope you find the perfect one. bye. : )","贾德·贾德（Jad Jad） - 嗨，我也爱上了它。它来自“托马斯·金凯德（Thomas Kincaid）的迪斯尼主题”，这是彼得·潘（Peter Pan）的石版画/日历。您只需屏幕截图即可。艺术信息显示了您何时查看细节，因此您表明您没有试图要求艺术。我的副本来自几年前购买的日历，但在线版本可用。
我希望这有帮助，顺便说一句，有几个迪士尼主题。只是放入“托马斯·金凯德（Thomas Kincaid）迪斯尼收藏”。希望您能找到完美的一个。再见。 ：））"
38161,Ugyy3dyAkZD2HUHwyHh4AaABAg,1,4 years ago,the perfect woman does not exis... wait.,完美的女人不易于体现...等等。
37253,UgyzQ8fBZdwhMo8uvd54AaABAg,1,4 years ago,the perfect tet,完美的tet
39440,Ugw8buQBWkcLozU9nnx4AaABAg,1,4 years ago,perfect wife for every man ๐๐๐,每个男人的完美妻子
35652,UgyQDtuoq3N9RQ1FGBh4AaABAg,1,4 years ago (edited),"how did i even got here, and why is this woman living the perfect life?",我什至是怎么来到这里的，为什么这个女人过着完美的生活？
39979,UgwCFeM2MsCn5i6lOLp4AaABAg,1,4 years ago,the editing is perfect,编辑很完美
35342,UgwddHgk02je44_cOUF4AaABAg.8ugExB_K6bh8uk_AiHYrVO,1,4 years ago,helga tsu doesnโ€t eat doesnโ€t drink even cleaning only doesnโ€t make food and everywhere perfectly clean .... this is an advertisement for the campaign of some semi -finished products,Helga TSU不喝酒，甚至不只能清洁都不会制作食物，到处都可以完美干净。...这是一些半生产产品的广告
40064,Ugyf0FPRx1d65EAZxwN4AaABAg,1,4 years ago,"everything she does it just goes perfect
if i am going this for sure i will miss up everything thing","她所做的一切都变得完美
如果我肯定要这么做，我会错过所有事情"
34930,Ugwq_tzdgvEpeVw9OiF4AaABAg,1,4 years ago,"i was shocked when i saw the comment in english,the foreigners are too simple,sometimes naive.
obviously a big and professional team behind her and help she prepare anything.i have to say this is a fabulous video,close to perfect,but the real live in the place which is far away from the city must be very tough and is hard to be accepted.
anywhere i feel happy that so many people enjoy the video.","当我看到英语评论时，我感到震惊，外国人太简单了，有时是天真的。
显然，她背后的一支大型专业团队，并帮助她准备任何事情。被接受。
在我感到很多人都喜欢的视频中，我感到很高兴。"
40299,UgxA81q9A-xoPLS9uWt4AaABAg,1,4 years ago,"love you <3! 
perfect girl ❤️❤️❤️","爱你<3！
完美的女孩❤️❤️❤️"
40794,UgxnWXTMbt-nMGitBpB4AaABAg,1,4 years ago,everything here is just perfect,这里的一切都是完美的
34543,Ugw5s9z3MVHWUuAa_XR4AaABAg.8uztCsvLOer8vU8s6pSoWb,1,4 years ago,"i was thinking the same thing how could you capture that on camera this channel obviously has a talented and creative camera man director and editor

the music and audio that's also perfectly tailored to the scene","我在想同样的事情，你怎么能在相机上捕捉到这个频道显然有才华横溢且创意的摄影师导演和编辑

音乐和音频也非常适合现场"
33888,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd4953JKoo1CJq,1,3 years ago,yep perfect definition of life,是的生活的完美定义
30773,UgyX0hs4aYr6HAVyggl4AaABAg,1,3 years ago,this is very perfect at work,这是非常完美的工作
33557,Ugxc-bPT7NxqdtV3T8Z4AaABAg,1,4 years ago,"the only thing keeping me from intense envy is the peaceful realization that a lot of time went into making this video. nobody's life is that perfect 24-7. still magnificent to watch, though. thank you for sharing this jewel with the world.",让我不受激烈嫉妒的唯一一件事是和平意识到制作这部视频花了很多时间。没有人的生活就是那个完美的24-7。不过，仍然很宏伟。感谢您与世界分享这款珠宝。
33249,Ugys1d2elCxYTxQ4RDB4AaABAg,1,4 years ago,she is living perfectly with natural stuff... no chemicals no plastic no pollution..... that's why they live longer.... her hair.. skin.... looks perfect it's all because of mother nature....... she don't have time to think about it her life if it's bad or not....... she is doing everything from heart and soul....... lambs and puppies.... landscape allll perfection,她与自然的东西完美地生活...没有化学物质没有塑料没有污染.....这就是为什么他们寿命更长的头发..她的头发..皮肤。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。 ....她没有时间考虑自己的生活，如果这是不好的.......她正在从内心和灵魂中做一切……羔羊和小狗....景观完美
33102,UgxOD-yjCIMI2BN4tf14AaABAg,1,4 years ago,how did that mango get pealed so perfectly tho,那个芒果如何如此完美
33044,UgwHaQlp8KVn8CiyQSJ4AaABAg,1,4 years ago,this is perfection the wild the nature the food the colors the hard work and all that deliciousness while being so neat ad clean is just everything i could ever desire in this life...,这是完美的野外大自然，食物的颜色是艰苦的工作和所有美味，而如此整洁的广告清洁只是我一生中想要的一切...
2182,Ugygdbc_ly0N4UJSV2F4AaABAg,1,1 year ago,i loved the videos. perfect.,我喜欢视频。完美
41656,UgxP_Cj06aZmLa2bSqp4AaABAg.8ruzrnHtE3L8s3Xyp7GVFX,1,4 years ago,@manjitrai1567 but anyway she does a lot of hard work to make it look this perfect and beautiful.,@manjitrai1567，但无论如何，她做了很多艰苦的工作，使它看起来如此完美而美丽。
31499,UgwnghauZc0vcMyTYQF4AaABAg,1,4 years ago,wooooow......im loving her videos.....this is the perfect life......its like a fairytale....๐๐คฉ,woooow ......我爱她的视频.....这是完美的生活……就像童话一样....
31425,UgwZOMedlDXgud6W8KV4AaABAg,1,4 years ago,"people canโ€t even say anything bad about her, sheโ€s literally just that perfect",人们甚至不能对她说什么，她实际上就是那个完美的
20796,UgzrNO-8WFaJ-Jsspih4AaABAg,1,3 years ago,how perfect it is. this is a perfect model of perfectionism. thank you for this beauty.,它多么完美。这是完美主义的完美模式。谢谢你的美丽。
30939,Ugz2bzy44jcjc_hskJR4AaABAg,1,3 years ago,i love how she takes her time for everything. it inspires me to take my time for every little thing that you do if you want to make it perfect.,我喜欢她如何花时间为一切。如果您想使它变得完美，这激发了我花点时间为您做的每一件事。
50839,Ugwf5Y25_xks2XDFTP54AaABAg,1,4 years ago,video as always made perfectly,视频一如既往地使人完美和和平。那些小狗呢，每次我看到它们时，他们都会感动我的心。
5083,Ugw5vU7ADrfvvd4awnl4AaABAg,1,1 year ago,"it's so beautiful, each picture is so perfect, and it is so harmonious and quiet when man and nature are blended together. maybe this is the natural life i should pursue",太美了，每个画面都那么完美，人和大自然融合在一起时那么的和谐恬静。也许这才是我可应该追求的自然生活
25265,UgxCw52iF4VEX9mpd4Z4AaABAg,1,3 years ago (edited),"i love your crew!!! hanging with lambies, puppies and grannies! best of the best xoxoxo
also, you are the perfect combination of adorable and kick-a__!!! soooo amazing","我爱你的船员！！！与兰比斯，小狗和奶奶一起悬挂！最好的最好的xoxoxo
另外，您是可爱和踢脚的完美组合！！！太神奇了"
5126,UgytiP5gBZ8xuhA-tEB4AaABAg,1,1 year ago,"restaurants of the party are resting 
how much i watch her videos, as a documentary 8, and i think this is the real woman, well, just perfect .... everything can or almost everything","聚会的餐馆休息
我看着她的视频有多少，作为纪录片8，我认为这是真正的女人，好吧，完美。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。 ♥这是应该给予奥斯卡的人。"
46615,UgxMQVn7rPKaIWlwUrx4AaABAg,1,4 years ago,"oh my god. another great video. i loved to watch. it seems that you can so everything so perfect. crafting furniture, crafting cloth and great cooking. i could eat you up honey",我的天啊。另一个很棒的视频。我喜欢看。看来您可以如此完美的一切。制作家具，制作布和精美的烹饪。我可以吃你的蜂蜜。请征服
18138,UgyKM3U0u1XGiTGefNd4AaABAg.97Hqv7SaFeC97sMzyI7WcE,1,3 years ago,"@user-fl3iu9vl8p directing, cameras, light. everything is perfect. as in studio and not in a real village; )",@user-fl3iu9vl8p指导，摄像机，灯。一切都是完美的。就像在工作室一样，而不是在一个真正的村庄中； ）
17635,UgzNv4azBWM4KY1hR414AaABAg.97m90yxmeTh98Srm_rsorB,1,3 years ago (edited),"@heardistance like yao tried to tell you, rural life similar to this does exist in china currently. an ""asphalt road"" doesn't mean where she lives is less rural or it is fake. what is presented in this channel is no doubt ""too perfect,"" but a good presentation doesn't mean the reality has to be significantly more lackluster. i've witnessed that by travel and having lived in my parents' hometowns in remote areas. poverty exists, but her way of living in rural china is becoming not only a plausible option to choose but one that has been chosen. you would see the genuineness in the videos if you understand the conversations and the cultural mannerism. anyways, i doubt you would take my words - you seem to believe you have a better grasp of reality even when the others are the ones who have seen it firsthand. what's sadder than being realistic is refusing to believe in the beauty of the world even though it exists.",@heardistance像Yao一样试图告诉您，目前中国确实存在类似的农村生活。 “沥青路”并不意味着她的住所不那么乡村，或者是假的。毫无疑问，该渠道中提出的内容“太完美”了，但是一个好的演讲并不意味着现实必须更加平淡。我亲眼目睹了旅行，并住在我父母在偏远地区的家乡。存在贫困，但是她在中国农村生活的生活方式不仅成为一个合理的选择，而且是被选择的选择。如果您了解对话和文化举止主义，您会看到视频中的真实性。无论如何，我怀疑您会接受我的话 - 即使其他人是亲眼目睹的人，您似乎也相信自己对现实有更好的了解。令人难过的比现实的是拒绝相信世界的美丽，即使存在。
17607,UgzNv4azBWM4KY1hR414AaABAg.97m90yxmeTh982ABPEq00G,1,3 years ago,"lily huynh hm, you see just a little about what should be done. till a field, wash everything, keep clean, clean clothes, etc. all of this takes a lot more time than is shown. in addition, the whole thing does not look like a rural life anywhere in china. just try to search videos how rural life in china looks like. you will be surprised. in addition, there were several treads on reddit that had clearly found the photoshop in their videos, the funniest was in one case, you saw very briefly, a modern asphalt road behind the fence: d if i am not mistaken, this video was deleted, it is no longer on the channel. 

no, it's nice to look at. it relaxes. it's interesting too. but i can’t believe it’s her real life. too perfect.","莉莉·惠（Lily Huynh HM），您只能看到应该做什么。直到田野，洗碗，保持清洁，干净的衣服等。所有这些都比显示的时间要多得多。此外，整个事情看起来都不像中国任何地方的乡村生活。只需尝试搜索视频中国的农村生活。您会感到惊讶。此外，Reddit上还有几个胎面，在他们的视频中清楚地发现了Photoshop，最有趣的是，您很简单地看到了栅栏后面的一条现代沥青路：D如果我没错，则该视频已被删除。 ，它不再在频道上。

不，很高兴看。它放松。这也很有趣。但是我不敢相信这是她的现实生活。太完美了。"
17026,UgyDrNdT0NanNE0cWTR4AaABAg,1,3 years ago,"i salute your struggle, hard work and perfection liziqi 
you're incredibly awesome ❤","我向您的挣扎，辛勤工作和完美liziqi致敬
你真是太棒了❤"
16519,Ugx2bf9xj1BPm4jwaxZ4AaABAg,1,3 years ago,perfect,完美的
7232,UgwtOO1wnkVwZk3lZOx4AaABAg,1,2 years ago,perfect! miss those good times when you were young! intersection intersection,完美！想念那些小时候的美好时光！！！
15805,UgwgOcWN8agPdd7diAJ4AaABAg,1,3 years ago,the perfect woman doesnt exis...,完美的女人没有exis ...
8176,UgxxIBBQURdHrFxwcjB4AaABAg,1,2 years ago,perfect women for my wife,我妻子的完美女人
14974,UgwNoWhvO5cOgS7sial4AaABAg,1,2 years ago,her video quality and editing is just as perfect as her life. big respect and much,她的视频质量和编辑与她的生活一样完美。大尊重和很多
48086,UgwW-H5HIU1agEdAJUh4AaABAg,1,4 years ago,this woman is perfect,这个女人很完美
49406,Ugwc2G9zgVIeMLRaiRB4AaABAg.8qm7ZLnWwLu8qztjdJq1aL,1,4 years ago,srećko delibašić at times toooooo perfect. but i like it,SrećkoDelibašić有时太完美了。但我喜欢它
13567,UgyUnXPswwKR06vO_Zx4AaABAg,1,2 years ago,idk why but liziq and this video is perfect for a anime scene or movie right??,idk为什么但是Liziq和此视频非常适合动漫场景或电影？
49404,Ugwc2G9zgVIeMLRaiRB4AaABAg.8qm7ZLnWwLu8qyV3R19UaM,1,4 years ago,"allisgoodallisbad ..chinese and japanese people have an organized , perfect life anywhere they live.",Allisgoodallisbad ..中国人和日本人在他们居住的任何地方都有一个有组织的完美生活。
11488,UgymQFHrNoF3VDyvCh54AaABAg,1,2 years ago,all this treats looks so delicious! perfect for halloween party ๐ and they look very healthy! ๐ค—๐’•,所有这些零食看起来都很美味！非常适合万圣节派对
9373,UgzGJsuIqmhg1eiuj_t4AaABAg,1,2 years ago,perfect..,完美的..
10569,Ugxw6PFRMfWnNhAzGmh4AaABAg,1,2 years ago,"why are looking for the perfect thing if the simple one can make us happy by fnt fams channel ""beauty of bromo mountain of east java"" history of the sea of โ€โ€mount bromo sand, help like, share and subscribe yes friends, greetings fnt fams kapuas central borneo, thank you have stopped by our channel itself

https://youtu.be/3hxoozic3w4","如果简单的人可以通过FNT FAMS频道“ East Java的Beauty Of Bromo Mountain”的历史，为什么要寻找完美的事情Fams Kapuas Central Borneo，谢谢您在我们的频道本身停下来

https://youtu.be/3hxoozic3w4"
9567,UgxmBIW4ny7XOMobT1J4AaABAg,1,2 years ago (edited),"she's very helpful hand ☺️to her grandy

also you are very scary while popcorn man pulluped the bucket 
also without death how someone can reach in heaven like this,and shes work perfectly doing like i want like she girl for whole life","她很有帮助

另外，当爆米花男子推着水桶时，您非常可怕
同样没有死，有人可以这样在天堂到达，她的工作正常像我想要的那样，就像她一生一样，她想要像她一样"
18139,UgyKM3U0u1XGiTGefNd4AaABAg.97Hqv7SaFeC981jTqTumVB,1,3 years ago,some perfect woman! it happens?,一些完美的女人！它发生了吗？
20847,UgzeKSTt5w-4ez7Udr94AaABAg,1,3 years ago,"your video are so beautiful! they are so full of color, details, love. the photography, is simply fantastic. perfect light, timing. precise gesture, that tell stories of the chinese countryside culture so interesting for me that i live in italy and that would be almost impossible to discover. thank you for sharing, you are great",您的视频真漂亮！他们充满了色彩，细节，爱。摄影简直太棒了。完美的光线，时机。精确的手势，讲述了中国乡村文化的故事，这对我来说是如此有趣，以至于我住在意大利，这几乎是不可能发现的。谢谢你的分享，你很棒
6173,UgxI4JVB4ntRBzze03t4AaABAg,1,2 years ago,i don't understand anything but i'm here following this perfection of video,我什么都不了解，但是我在这里遵循视频的完美
20025,Ugzf9pAbD75Y-_LlGbB4AaABAg,1,3 years ago,is this real? is toooo perfect.,这是真的吗？太完美了。
45764,Ugw99ATdOTpfSLjz_BB4AaABAg.8r0DpRagQy88r702GDSpLV,1,4 years ago (edited),"this is the most family family society poem that perfectly illustrates what chinese are inspired for life (there are ton of them). if you undertong this poem you units why ziqi's video looks the way it looks. the poet lifed design 365-427ad, and let me remind you agan, that is before carl marx was born.
planting dounan mountain, cao sheng dou seedlings are sparse.
chenxing was deserted and returned with yuehe.
the road is narrow, and xilu is covered with my clothes.
the clothes are not hesitant, and there is no violation of the wishes.

the knot is in the people's realm without the noise.
ask jun he nenger? the heart is far away.
under the east fence of cai ju, see nanshan leisurely.
the mountains and winds are good, and the birds are paid back.
there is a true meaning, and you have forgotten the words.","This is the most famous Chinese poem that perfectly illustrates what Chinese are inspired for life ( there are ton of them). If you understand this poem you understand why Ziqi’s video looks the way it looks. The poet lived around 365-427AD , and let me remind you again, that is before Carl Marx was born. 
种豆南山下，草盛豆苗稀。
晨兴理荒秽，带月荷锄归。
道狭草木长，夕露沾我衣。
衣沾不足惜，但使愿无违。

结庐在人境，而无车马喧。
问君何能尔？心远地自偏。
采菊东篱下，悠然见南山。
山气日夕佳，飞鸟相与还。
此中有真意，欲辨已忘言。"
19864,UgxICVsl4E8EH3UDyAJ4AaABAg,1,3 years ago,everything is so perfect and beautiful,一切都是如此完美和美丽
44433,UgxppsQH8M5Yy2VBO-J4AaABAg,0,4 years ago,"all is just perfect: wonderful nature, beauuuutiful girl, but hard worker and she know how to love her homeland! chapeau!!!! my respect!!! ❤️ geeetings from belgade, serbia",一切都是完美的：美好的天性，美丽的女孩，但是勤奋的人，她知道如何爱她的家园！ Chapeau !!!!我的尊敬！！！ selbia Belgade的Geeetings
44964,UgwxwFUrFw_zK3KFGLF4AaABAg,0,4 years ago,"i luv this life, owesome perfect.",我爱今生，完美。
44919,Ugzq5PRuTnhDr4yd2Rl4AaABAg,0,4 years ago,"pretty, shiny, perfect. hm. like hollywood, isn't it?",漂亮，闪亮，完美。嗯。像好莱坞，不是吗？
51129,UgyJ2vpaJAAItgUCKVx4AaABAg,0,4 years ago,you are awesome!!!!! no words to explain about your talent and perfection..,你太棒了！！！！！没有言语可以解释您的才能和完美。
51042,UgwdPVRKf53QShya4KZ4AaABAg,0,4 years ago,i'm brazil all very perfect,我巴西都很完美
48334,UgzCTqVUi1odELEXTdh4AaABAg,0,4 years ago,you're too perfect,你太完美了
48276,UgxU0b8vmZi62pKDvSx4AaABAg,0,4 years ago,"beautiful video, you are perfect",美丽的视频，你是完美的
40364,Ugz7xVGBcXy-H4-WE894AaABAg,0,4 years ago,perfect,完美
40391,Ugx9sXJ_wNuQVs5KZoB4AaABAg,0,4 years ago,all around beautiful video. perfect.,到处都是美丽的视频。完美的。
44770,UgywKpFMFNfJK8fLuEZ4AaABAg,0,4 years ago,just perfect!,刚刚好！
47951,UgyWW_r8ROa0FeY0CUB4AaABAg,0,4 years ago,perfect as always,一如既往的完美
41366,UgwmWo1JYZNIpKZm7IZ4AaABAg,0,4 years ago,could you be anymore perfect...wow..(sigh)..too bad u can like only one time..,你能再变得完美了吗...哇..（叹气）..太糟糕了，你只喜欢一次。
40943,UgwWz3k-Kms97swzpPN4AaABAg,0,4 years ago,it seems like she can do anything and she is perfect,看来她可以做任何事情，她很完美
47703,UgzKeV9ZNi-JD5YFzrV4AaABAg,0,4 years ago,perfect,完美
47559,Ugynu78WxSKpOwTzEOh4AaABAg,0,4 years ago,my idol! a perfect talented girl,我的偶像！一个完美的才华横溢的女孩
40989,UgzBDr7-Hs15wNz-S3x4AaABAg,0,4 years ago,the shooting style is perfect and unique. the craftsmanship is in place. i feel watching the promotional video,拍摄风格完美，眼光独到。手艺利落到位。 感觉在看宣传片
47525,Ugy0F5p-eDNPhNlYg8N4AaABAg,0,4 years ago,"perfect, happy new lunar new year same as vietnam",与越南相同的完美，快乐的新月新年
41028,UgyqoIZ4xCNTBkJY0t54AaABAg,0,4 years ago,"omg she's sooo beautiful, her beauty contrasts perfectly with the nature",天哪，她真漂亮，她的美丽与大自然形成鲜明对比
41062,UgzZ5jVTc6QfqKz-OyF4AaABAg,0,4 years ago,the fruits look too perfect for me .__.,果实对我来说看起来太完美了。
41179,UgwnbNIpgEQWjO-loVh4AaABAg,0,4 years ago,"this is a china production very well done, kind of reminds me of potemkin village just to perfect to be true...
btw the grand ma in her day was more beautiful than granddaughter.","这是一部非常出色的中国作品，让我想起了波姆金村，只是完美地成为真实的...
顺便说一句，她那个时代的大妈比孙女更美丽。"
49412,Ugwc2G9zgVIeMLRaiRB4AaABAg.8qm7ZLnWwLu8r_1zDqG9eu,0,4 years ago,@sreckodelibasic i have never said that she didn´t have a talent. but the good edit make it look perfect and nothing in this world is perfect !,@sreckodelibasic我从未说过她没有才华。但是，良好的编辑使它看起来完美，而这个世界上没有什么是完美的！
44289,UgzibZh3ksfA_KK0Pfx4AaABAg,0,4 years ago,"wow! the quality is super! everything's perfect. 
new subscriber here.","哇！质量是超级！一切都是完美的。
这里的新订户。"
49424,Ugwc2G9zgVIeMLRaiRB4AaABAg.8qm7ZLnWwLu8v-MTaD-b2R,0,4 years ago,everything looks too perfect!!! sorry if i'm an ass... she is a nice girl but the chinese propaganda is sometimes annoying,一切看起来都太完美了！！！对不起，如果我是个屁股...她是个好女孩，但中国宣传有时很烦人
48469,UgzIatkGzEo_C0JCdwR4AaABAg,0,4 years ago,"that's really so nice to watch your videos. everything looks perfect. i enjoy it to watch you. i think it smells so good in your house. it seems it is a nice place there. 
greetings from germany 
chris","观看视频真是太好了。一切看起来都很完美。我很喜欢看你。我认为您家闻起来很香。看来那里是一个不错的地方。
来自德国的问候
克里斯"
45935,UgwomKC8OrTpeZf1o4V4AaABAg,0,4 years ago,love this channel she is amazing every thing so perfect,爱这个频道，她真是太完美了
39753,UgzhT5Z9bK0GEgCFuW94AaABAg,0,4 years ago,marry this girl and your life will be perfect!,嫁给这个女孩，你的生活将是完美的！
51137,UgygDa6eoekspulgsmp4AaABAg,0,4 years ago,perfect girl,完美女孩
38111,Ugy2vCws8fhE2UW9u2x4AaABAg,0,4 years ago,perfect!,完美的！
45689,UgzIupn2Zmp4mjd5BPh4AaABAg,0,4 years ago,watching like an hollywood movie.. perfect...,像好莱坞电影一样看..完美...
52373,Ugzlv8rU-Zh4aoY6bGR4AaABAg,0,4 years ago,perfect,完美的
45375,UgxAufcNvSo0blxiYMt4AaABAg,0,4 years ago,perfect,完美的
38333,Ugx6qaYihEZ-iTkBKKp4AaABAg,0,4 years ago,lovely girl beautiful girl ๐‘ง perfect,可爱的女孩美丽的女孩
51950,Ugz0EskFd3clDPgws9V4AaABAg,0,4 years ago,"you videos is perfect, i'm from turkey.",您的视频很完美，我来自土耳其。
51816,UgzAkGp8pG68jKyXmP14AaABAg,0,4 years ago,"no, well, video class. everything is perfectly done, and she herself is a good person",不，嗯，视频课。一切都完美地完成了，她本人是一个好人
38641,UgwQoNX2thl6BoiWAUh4AaABAg,0,4 years ago,"powerful production team, powerful procurement and marketing team, very good! if the heroine is more respectful to the ingredients, it will be more perfect ... i wish the business prosperous ...",强大的制作团队，强大的采购营销团队，非常好
38869,UgygWTW4sQl_LN60qAl4AaABAg,0,4 years ago,"natural, simple and perfect as i like the kitchen๐”๐”๐”",自然，简单而完美，就像我喜欢厨房
51205,UgwXzLPUclBW7Zb6JPh4AaABAg,0,4 years ago,wow perfectly amazing,哇，真是太神奇了
48546,UgwqJ1aT27Uh0_LXVuR4AaABAg,0,4 years ago,your house perfect and you so cute,你的房子很完美，你真可爱
38979,UgyV_tFUtl-uw2l7v4p4AaABAg,0,4 years ago,"is there the recipe available for popcorn made in the video? i feel like all this lady does is perfect, so that's why i'm asking.",是否有用于视频中爆米花的食谱？我觉得这位女士的一切都是完美的，所以这就是我要问的原因。
39725,UgzYXs3FcXEyewx87At4AaABAg,0,4 years ago,is this her real daily live? also the video quality is perfect who films this?,这是她真正的日常现场直播吗？另外，视频质量是完美的电影？
39039,UgyKYHsD72PdtRu5C0d4AaABAg,0,4 years ago,"sacrifice the video a.the 2.38 to say that it is perfect ... it causes a sense of beautiful peace ... and the music ... the work of the lady, the movements.
everything is perfect","牺牲视频A. 2.38说它是完美的……它会引起美丽的和平感...和音乐……女士的作品，动作。
一切都是完美的"
39175,UgwkdITjU3RKFISatqp4AaABAg,0,4 years ago,"loved it, everything perfect. congratulations ๐ป",喜欢它，一切完美。恭喜
45369,UgxlhimWspu85X5_hcR4AaABAg,0,4 years ago,"those are sunflower seeds not melon seeds, right? i truly love the peacefulness to the cinematic video editing and soothing background music! esp when she picked that pomelo with the perfect shaped basket fruit picker lol it was so calming to watch",那些是葵花籽而不是瓜子，对吗？我真的很喜欢电影视频编辑和舒缓背景音乐的和平！特别是当她用完美形状的篮子拾取器大声笑挑选pomelo时，这真是太平静了
39329,Ugxru1yrTa03j3cNCdR4AaABAg,0,4 years ago,these videos are perfect!,这些视频非常完美！
48501,UgxWbf1CG6kzCzX_BxF4AaABAg,0,4 years ago,perfect,完美的
39388,Ugz_wz_uJeg9MTSwS594AaABAg,0,4 years ago,perfect life.,完美生活。
45335,UgwcPKuFld1Oy_jd35Z4AaABAg,0,4 years ago (edited),why is everything so perfect now im wondering why is the world not anymore like this,为什么一切都这么完美，现在我想知道为什么世界不再像这样了，而食物看起来很不错。
39579,UgzyAMPtZQG5LtpIzvZ4AaABAg,0,4 years ago,everything's perfect. i hope your family would enjoy the food too. seeing then with you while you all enjoy it. :),一切都是完美的。我希望您的家人也会喜欢食物。当你们都喜欢它的同时，与您一起看。 :)
39596,Ugy2Nh0WtNg4eVicFj94AaABAg,0,4 years ago,these videos are almost too perfect. they must be to be actors.,这些视频几乎太完美了。他们必须成为演员。
39637,UgyJb9RT9adLQ91CrqV4AaABAg,0,4 years ago,everything perfect!,一切完美！
48484,UgyHMf1WTLz2LceKmQJ4AaABAg,0,4 years ago,"perfect .another amazing heart work.'s longer 't understand your language but i enjoyed it,love from",完美。另一个令人惊叹的心脏工作。
44261,UgzvceUjAdTV0N0Tes54AaABAg,0,4 years ago,"insanely talented,a perfectionist, cleanliness is in her blood ,doesn't waste any thing ,everything she makes is so admirable.she stole the heart of millions and will so on...she will be a very kind hearted down to earth person ,so visible.the guy she marry will be happy (life changer)",疯狂才华横溢，一个完美主义者，清洁，没有浪费任何东西，她所做的一切都令人钦佩。 ，如此可见。她嫁给的那个家伙会很高兴（改变生活）
41577,UgzO12lmsNs22E5Uzih4AaABAg,0,4 years ago,perfect girl,完美女孩
41435,UgyGAms7vGR5vTtjAVV4AaABAg,0,4 years ago,there is not a single object in her environment that isn't perfect,她的环境中没有一个物体并不完美
46066,UgwF-lAztwjOb5acbYR4AaABAg,0,4 years ago,perfect girl !,完美女孩 ！
