,cid,votes,time,含perfect,含perfect中文翻译
24759,UgwosKJ3aSX7dNlrDXx4AaABAg,0,3 years ago,a beautiful girl and does everything perfectly!,一个美丽的女孩，完美地做了一切！
24513,UgywWW2QX2TwdzTVpGV4AaABAg,0,3 years ago,"clever, beauty, economic, with many useful skills in everyday life. perfect wife. it is a pity that not mine.",聪明，美丽，经济，在日常生活中具有许多有用的技能。完美的妻子。可惜不是我的。
24312,UgxCDMudPcZ7_NklijV4AaABAg,0,3 years ago,perfect,完美的
1066,UgyrybVQbKssN2IcMux4AaABAg.9bpJQ_Rqdlo9qIGnm91hN9,0,2 weeks ago,"the @sais55 channel is her own, and she also recaptured 99 % of the company's equity a while ago, looking forward to her return perfectly",​ @SAiS55 这个频道是她本人的，而且她前阵子也夺回了公司99％的股权，期待她完美归来
24282,UgzuKHt-K7NCfRz4zZt4AaABAg,0,3 years ago,the only thing missing in this garden is the weed. then it's perfect!,这个花园中唯一缺少的是杂草。那是完美的！
24125,UgyjLWU0YaCLY1tojjd4AaABAg,0,3 years ago,this so perfect,这是如此完美
33800,Ugy34iQ9TgSilgtu5mJ4AaABAg,0,3 years ago,this is what we call perfect girl,这就是我们所说的完美女孩
23685,UgwcyST_6lOgM4PZoQl4AaABAg,0,3 years ago,this perfect person is a girl,这个完美的人是一个女孩
23442,UgzHPGgBCO4iIpF2gY14AaABAg,0,3 years ago,she is perfect....she is good.,她是完美的...。她很好。
23231,UgxqaTogvet-fBuamYR4AaABAg,0,3 years ago,"these are so gorgeous, wowwww <3 can you please upload versions of these videos without music? the sounds are so soothing and it would be perfect to watch without the music :3 <3",这些是如此华丽，WOWWWW <3您能否请您上传这些视频的版本，而没有音乐？声音是如此舒缓，没有音乐的观看非常完美：3 <3
23018,UgzXp2stT58NtRg_iS94AaABAg,0,3 years ago,this type of cooking is so tedious! a lot of little things have to be done just so to get it perfect and honestly i respect you for it. i have no clue how you find time to cook these meals completely from scratch and get other things done!,这种烹饪是如此乏味！为了使它变得完美，我为此尊重您。我不知道您如何从头开始完全烹饪这些饭菜并完成其他事情！
34008,UgwT0ma26x_EMeIVYyl4AaABAg,0,3 years ago,"the idea, sealing food off from the air around using water at the edge of the pot, is scientifically the perfect solution.. chinese were always good at thinking ""best and fast way to solve a problem"" . combined with a beautyful women cooking the most delicious food.. awesome.. so . stay awesome !",这个想法是，在锅边缘的水上用水将食物从空中关闭，这是科学的解决方案。中国人总是擅长思考“解决问题的最佳和快速方法”。再加上一个美丽的女人烹饪最美味的食物..太棒了..所以。保持好状况 ！
22756,UgyfEcue4FuHoqUP1vd4AaABAg,0,3 years ago,shes just perfect..,她只是完美的..
22659,Ugx6kKmE7hy-DPt0fip4AaABAg,0,3 years ago,if angus macgyver was a real person...they would be a perfect match...could you imagine what would be possible,如果安格斯·麦吉弗（Angus MacGyver）是一个真实的人...他们将是一个完美的匹配...您能想象这是可能的
34039,UgzmOqPb76UhGnHQavZ4AaABAg,0,3 years ago (edited),"perfect !!! i love u so much, love from indonesia",完美的 ！！！我非常爱你，印度尼西亚的爱
22461,Ugxv0yggQ7Z2U4AiNIl4AaABAg,0,3 years ago,everything about this girl n vidio is perfect. ...wish l cud meet you in dream. ...thousands love likes from northeast lndia...we are very much lik you,关于这个女孩的一切都是完美的。 ...希望我在梦中见你。 ...成千上万的爱来自东北lndia ...我们非常喜欢你
26166,Ugye4kVoWAHei7NtqTt4AaABAg,0,3 years ago (edited),"i'm curious on how these shots are established and edited. do you have someone helping you out? because if you're doing it all alone, wow. you must be a perfect woman to me. jk very delicate and nature centered. beating food network and other food channels i know which wastes their food sometimes. hope you continue to make videos like this til you have kids or special someone, ziqi. hi to your grandmom too.",我很好奇这些镜头是如何建立和编辑的。你有有人帮助你吗？因为如果您一个人这样做，哇。对我来说，你一定是一个完美的女人。 JK非常细腻，自然集中。我知道有时会浪费食物网络和其他食物频道。希望您继续制作这样的视频，直到您有孩子或特别的人，Ziqi。嗨，你的祖母。
26812,Ugy4vdRN3ADtUOOmem94AaABAg,0,3 years ago,"i always wonder she use so much of oil and eats spicy food, how she manage to look glossy skin and perfect body???",我总是想知道她使用了这么多的油，吃辛辣的食物，她如何设法看起来光滑的皮肤和完美的身体？？？
4694,Ugx8bcLHiX8K5qnlA-d4AaABAg,0,2 years ago,wow this woman is perfect in what makes my god very beautiful and this whole food should be a delight,哇，这个女人是完美的，使我的上帝非常美丽，整个食物应该很高兴
27753,UgzlE-V96KSkPVBUP8d4AaABAg,0,3 years ago,"really, girls like this are almost great, why are there 1 zone, only 2 perfect words",真的，像这样的女孩几乎很棒，为什么有1个区域，只有2个完美的单词
29988,UgxO9d9sI1DMQDVr_iN4AaABAg,0,3 years ago,how it’s possible to keep in mind all those recipes...perfect little movie again,如何记住所有这些食谱...再次完美的小电影
29187,Ugy_F_6Eq79sybjkaiV4AaABAg,0,3 years ago,you are avery beautiful girl and work perfectly,你是艾利美丽的女孩，工作完美
29180,UgwIzVJSom9JCdft2d94AaABAg,0,3 years ago,this girl is soo perfect.,这个女孩太完美了。
2410,UgzhqsXCkxufnAw-iRJ4AaABAg,0,1 year ago,perfect,完美的
2408,Ugzdn0pz4aPGMb9SlkB4AaABAg,0,1 year ago,"i like it , perfect liziqi",我喜欢它，完美的liziqi
29004,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g9Jd9LuKCnlX,0,2 years ago,@franzpeters3824 excuse me!! who are you to judge someone....what is your talent?? she can't speak english properly right? can you speak chinese?? no one is perfect in this world... it's easy to judge someone but it's harder to understand....if you don't like her video than please don't watch but at least don't spread hate to her here....,@franzpeters3824对不起！你是谁评判某人。...你的才华是什么？她说英语不能正确吗？你能说中文吗？在这个世界上，没有人是完美的...判断某人很容易，但是很难理解。...如果您不喜欢她的视频，请不要看，但至少不要在这里向她传播仇恨。 ...
28904,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g9B-odASNP9f,0,2 years ago,@perfectstudents8361 yep,@PerfectStudents8361是的
28895,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g9Aialw5yMkL,0,2 years ago,@perfectstudents8361 i'm an indian & i can speak 4 language,@PerfectStudents8361我是印度人，我可以说4个语言
2805,UgyjokKB5kT-vLggUk54AaABAg.9RPpxXlXsf_9W2ZkK1xPEr,0,1 year ago,"@edwardwongliupepelutivrusk1262 hey boy, there are ugly and beautiful sides to everything in the world. people show you a beautiful place to have your holidays doesn't mean that the place is all perfect. there is nothing which is perfect in the world and everyone knows about without the need to mention it because it is something called common sense which obviously you lack. if you can't see how her nails are damaged and ugly from all the work that's your own problem. if you can't see that standing in front of a stove to cook is hot and labouring that's your own problem. do we need to tell you every single thing in life to show that life is hard? get a brain and stop being so sour.",@Edwardwongliupepelutivrusk1262嘿，男孩，世界上一切都有丑陋而美丽的方面。人们向您展示一个美丽的假期的地方，并不意味着这个地方都是完美的。世界上没有什么是完美的，每个人都不需要提及它，因为这是所谓的常识，显然您缺乏。如果您看不到她的指甲如何受到您自己问题的所有工作的损坏和丑陋。如果您看不到站在炉子前的厨师面前是很热的，那是您自己的问题。我们是否需要告诉您生活中的每一件事，以表明生活很艰难？大脑，不要再变得如此酸。
2893,UgzMFOLp63hPn2gp9_p4AaABAg,0,1 year ago,"i have to pause... your [amazing] videos every litlle time...trying to read,the short translation....you give...cause letters running fast....it's a pitty...!cause everything.. else is just perfect..!!!thank you..greetings from greece.",我必须暂停...您的[惊人的]视频每一个时间...试图阅读，简短的翻译....您给...导致字母快速运行。一切..其他是完美的..！
32632,UgxP3tgtBESW3xon7IV4AaABAg,0,3 years ago,perfect.................,完美的.................
30506,Ugwds5_DVvKxuoP0aCV4AaABAg,0,3 years ago,u are great!!! genious!!! incredible!!!! perfect!!!!!!!,你很棒！！！天才！！！极好的！！！！完美的！！！！！！！
32637,Ugy5j0GNNxijYqzjy9p4AaABAg,0,3 years ago,"i really want to eat oh oh woohoo, snail powder and oil and fruit perfection ~",好想吃呜呜呜呜螺蛳粉 加上油果完美～
5261,UgzOkMUQn6ML8siXEZh4AaABAg,0,2 years ago,i'm wondering how staged this is. it just seems...too perfect. none the less it's beautiful and peaceful,我想知道这是多么上演。似乎...太完美了。尽管如此，它是美丽与和平的
27562,Ugx6HZhF47mUgtuHywN4AaABAg,0,3 years ago,she's perfect,她很完美
2290,UgwkokJL_XnIeLrP-Wd4AaABAg,0,1 year ago (edited),"for those who wish to live with her to share her idealistic life there, you would see the camera crew, the make-up artists, the production team, which tidies up her mock home, position her urns, bottles on the shelves perfectly in the kitchen, sweeps the ash on the floor around her wood-burning stove…. all these are not visible in the camera. you may even find out her production team consists of 7 members with the names doc, happy, grumpy, bashful… and they sing high-ho as they go to work on the film set.",对于那些希望与她共同生活的人，您会看到摄制组，化妆师，制作团队，这些团队整理了她的模拟房屋，将她的ur骨，瓶子放在架子上，厨房，扫过她燃木炉周围地板上的灰烬……。所有这些都不可见。您甚至可能会发现她的制作团队由7名成员组成，名字是Doc，Happy，Grumpy，bashful的名字……他们在电影拍摄时唱着高声。
27349,UgwO9SBNHR14UkLuicB4AaABAg,0,3 years ago,"everything is perfect, as always, full of grace... because you have a pure heart, for sure!",一切都像往常一样完美，充满恩典……因为您肯定有纯洁的心！
27321,UgzQHaA2kg7fmt7X9id4AaABAg,0,3 years ago,how can somebody put a dislike on liziqi's perfectly amazing videos? like seriously?,有人如何不喜欢Liziqi的绝妙视频？喜欢认真吗？
2282,UgzrEsqzKEhTistLW5x4AaABAg,0,1 year ago,"talking that china is not enough of the land as it lives perfectly, such villages are few there",说中国还不够，因为它的生活完美，这样的村庄很少
27225,UgxBsCcPsB_TA7EMF8l4AaABAg,0,3 years ago,she is a perfect girl,她是一个完美的女孩
1548,Ugy7s3Tu0umAl4_v7i54AaABAg,0,1 year ago,"amazingly beautifuly done and edited.
the perfect woman doesn't exis.. ow..wait.","精美的精美完成和编辑。
完美的女人不exis .. ow ..等待。"
26868,UgzYJWMTKxakdB1iHrV4AaABAg,0,3 years ago,the perfect woman !!!,完美的女人！！！
22393,Ugy4J0AeRnmkQnvphy54AaABAg,0,3 years ago,perfect,完美的
12000,Ugz0mFC-Ay6si-uU1pZ4AaABAg,0,3 years ago,wow that very impressive everything is perfectly done very nice video good job chinese girl you and your team are very talented,哇，令人印象深刻的一切都完美地完成了非常好的视频，你和你的团队都很有才华
22244,Ugz4LC23PwoUJuNlMHR4AaABAg,0,3 years ago (edited),"wow fresh ingredients alongwith that countryside is a picture perfect (video perfect) 
such a joy to watch the days' proceedings go by.
i wish i could still find such simple days","哇，新鲜食材与乡村是一幅完美的图片（视频完美）
观看日子的诉讼经历的乐趣。
我希望我仍然可以找到如此简单的日子"
14613,Ugy5OFdMFCDnNZCzM3d4AaABAg,0,3 years ago,perfect : nothin more,完美：不多
9606,UgwPlR_XmXhIkovFuHJ4AaABAg,0,3 years ago,perfect moment with uu ๐๐,与uu
16616,UgwG6EGI9KhD1FkfuKZ4AaABAg.92t3bTvXZ7H933ZbPe_YTb,0,3 years ago,"this too perfectly edited and focus, 100% he has team or company to produce this video.",这太完美地编辑和专注了，他有100％拥有团队或公司来制作此视频。
16373,UgyFkl8_pswFSzfRsNJ4AaABAg,0,3 years ago,the perfect wife doesnt exi.....,完美的妻子没有exi .....
16182,UgyRMqoKmULIFpoZ7qp4AaABAg,0,3 years ago,fly with me in the perfectworld,在完美世界中和我一起飞行
9670,UgxnGngZ3PJBoSvQAFZ4AaABAg,0,3 years ago,"this girl is perfect, i love her, she makes us want to do good things like her too",这个女孩是完美的，我爱她，她让我们也想做一些像她一样的好事
9730,UgxNDFBWmMov3MkMfSB4AaABAg,0,3 years ago,perfect,完美的
10031,Ugz18eXSwJGgwpTW3Bd4AaABAg,0,3 years ago,perfectly #zerowaste life,完美的#zerowasteLife
15742,Ugx5_s9UIuVgEbTqNrp4AaABAg,0,3 years ago,perfect world,完美世界
15727,UgwKmvCYgvIwZBiZ-_Z4AaABAg.936K9pwta5L9qCeSfpJLmH,0,2 weeks ago,@recyclespacejunknow.aliens888 it's a noble rule to live by. it's a tough rule to follow for most. striving for this path should be the way to go but whether i can attain to such perfection will be hard for my rebellious nature.,@recyclespacejunknow.aliens888这是一个崇高的规则。对于大多数人来说，这是一个艰难的规则。努力追求这条路应该是要走的路，但是我能否实现这种完美对我的叛逆本质很难。
15686,Ugxw4xyuB21W4RuNOIJ4AaABAg,0,3 years ago (edited),"i was enjoying the video and her stressfree, simple but life-fulfilling moments and activities, perfect/amazing skills/talents in any/every activity, warm auras, aesthetics of the camera angles and moments taken, when all of a sudden im interrupted by an ad. a pizza delivering, dominos ad.
when that car pulled up from the ad, reality hits me like a car accident, making me realize the life, society, environment, and most of all, the s t r e s s that i have and live in. im in an urban area, near an iconic city you could see in postcards. that ad, reminded of how every second counts as a huge factor in my life that could mess it up. that ad, brought back the stress, the feeling of every opportunity good or bad at every corner of my brain. that ad, brought back the weight, suffocation, and reminders that my life is in a city and not as stressfree and life-fulfilling such as her. 
now, i have to watch another video to bring down this stress.","我喜欢视频以及她的无压力，简单但充实的时刻和活动，任何/每项活动的完美/惊人技能/才华，温暖的光环，相机角度的美学和时刻，当时突然被我突然被我打断了一个广告。 Dominos广告的披萨交付。
当那辆车从广告中撤出时，现实像车祸一样袭击了我，使我意识到了生活，社会，环境，最重要的是我所拥有和居住的S t r s s。您可以在明信片中看到的城市。那个广告让人想起了每一秒如何算作我一生中可能会弄乱它的重要因素。那个广告带回了压力，每个机会在我大脑的每个角落都好坏。那个广告使重量，窒息和提醒我的生活在一个城市中，而不是像她这样的无压力和生活充实。
现在，我必须观看另一个视频以减轻这种压力。"
15173,Ugz-v-TV0pUOr1y0z5l4AaABAg.93UWNVMNPio93ZotLsJfFI,0,3 years ago,she's too perfect for you i guess,我猜她太完美了
11120,UgxmhngNl88AnT23JBd4AaABAg,0,3 years ago,the images are superb and the editing perfect! thanks,图像很棒，编辑完美！谢谢
15000,UgzjkXoITAqOSRBIdwR4AaABAg,0,3 years ago,she is perfect.,她是完美的。
14591,UgxXAM70JJ02rs17e9F4AaABAg,0,3 years ago,"the video is good. cooking first -class 't want to say more. two words.
perfect. bless. grandma is healthy. bleak","视频不错。做菜一流
完美。祝福。奶奶健健康康的。"
17086,Ugz9y5friEaSfX5iZ2R4AaABAg,0,3 years ago (edited),"organic is an understatement here. took her lots of work but very healthy and interesting! 

edit: remove the background music and i'll be perfect","有机是在这里轻描淡写。带她很多工作，但非常健康和有趣！

编辑：删除背景音乐，我将是完美的"
11268,UgzOsIJCW81gI2TTUnp4AaABAg,0,3 years ago,perfect wife.,完美的妻子。
14388,UgwMYK2v1DG9CDRCMTp4AaABAg,0,3 years ago,"perfect beauty, harmony in everything, amazing !!!",完美的美丽，和谐，令人惊叹！！！
14367,Ugx4bsEVwF5FBzZLFTl4AaABAg,0,3 years ago,a busy life of her own making everything from scratch and that keeps her in shape. no gym needed. with perfect surroundings. no pollution. just the nature and her. such a survival skills that i didn't have.,她忙碌的生活使自己从头开始，使她保持健康。不需要健身房。完美的环境。没有污染。只是大自然和她。我没有的生存技巧。
14247,Ugxf3Bllnprq6QxVspl4AaABAg,0,3 years ago,there's no such thing as the perfect wom...... i stand corrected.,没有完美的妇女……我站起来。
11443,UgyOglWdIpenSuFme9d4AaABAg,0,3 years ago,"in my country bamboo shoots called ""rebung"" the taste is good usually we cooked it with coconut oil and perfectly eat it with ""lontong"" (rice cake). it's really good ☺",在我的国家 /地区，称为“ rebung”的竹芽味是很好的，通常我们用椰子油将其煮熟，然后用“ lontong”（米饭）完美食用。真的很好☺
13467,UgxNdg58HEeOzoK-U8R4AaABAg,0,3 years ago,"ibwanted to marry an asian girl once; ahe's the perfect example of thebone i had in mind:

strong, beautiful, intelligent, self sufficient and a great cook that also loyal","ibwant曾嫁给一个亚洲女孩；啊，是我想到的骨的完美例子：

坚强，美丽，聪明，自给自足和伟大的厨师也很忠诚"
13464,UgwteKO-n59ek-2RiDN4AaABAg,0,3 years ago,"hayst ,, this girl is just perfect",Hayst，这个女孩只是完美的
13451,UgxMZAdJBilAb86yWjB4AaABAg,0,3 years ago,she is beautiful and perfect in every way,她在各个方面都很美丽而完美
11898,UgzdwsbqB4XHvb42Qlh4AaABAg,0,3 years ago,eyaeslamujer perfecta paracasarce,Eyaeslamujer Perfecta Paracasarce
13307,UgzzYWuJ1gjWPBZIgnF4AaABAg,0,3 years ago,perfection in all,完美
12726,Ugw7L7OAg0o7u_uK0tJ4AaABAg,0,3 years ago,"it's beautiful!
wish it was vegan though.
the flesh of a pig is similar to human.
pig is one of the smartest animals on earth.
soy beans has the same or more healthy source of protein that is perfect for human consumption.
love nature this is beautiful place you have there.","很美丽！
希望它是素食主义者。
猪的肉类似于人类。
猪是地球上最聪明的动物之一。
大豆具有相同或更健康的蛋白质来源，非常适合人类食用。
爱大自然这是你在那里的美丽地方。"
12633,UgxGKfgjWfZDMeafmc54AaABAg,0,3 years ago,her world is so perfect,她的世界是如此完美
12338,UgzJzbxvrqIsMJqcMdp4AaABAg,0,3 years ago,"for a man, you are a perfect wife",对于一个男人，你是一个完美的妻子
17024,Ugy2iwgKA6QLUrxWW194AaABAg,0,3 years ago,is everything really that clean ? there’s no grime nor dust nor soil on her legs as she prances about bare feet .. there’s no bugs and field mice.. and did she really pick up 100+ snails from that pond creek thing? or did the camera crew supply half the stuff to make everything look so perfect and effortless,一切真的很干净吗？她的腿上没有污垢，灰尘，腿上没有土壤。或相机船员提供了一半的东西，以使一切看起来如此完美，轻松
17167,UgwuWNMwgW3GPNBr9wp4AaABAg,0,3 years ago,"i have to say .... the rural girls in the post -90s and post -00s are no different from urban girls, and they will not do housework, let alone farm work .... so li ziyi is a perfect wife. elastic",我必须要说....90后和00后的农村女孩跟城市女孩毫无差别，都是不会做家务的，更别说农活了....所以李子柒这种简直就是完美老婆....
21946,UgwxJg-FzybMpbt1XdN4AaABAg,0,3 years ago,perfect live,完美的现场
6189,UgzhLyXUOPLAWLF8TYF4AaABAg,0,2 years ago,the perfect woman doesn't exi........,完美的女人不接受........
21619,UgwAVqv32PDtaEZntSx4AaABAg,0,3 years ago,"it should be made by rice noodles, it is even more perfect",应该米粉都自己做，就更完美了
5515,UgxOOfiewOGP5KuI2CJ4AaABAg,0,2 years ago,"so basically, she does hard bodywork all day while looking like a model and having perfect makeup while doing it? yeah sure",因此，基本上，她整天都在看起来像模特一样艰苦的身体工作，并且在做到这一点时具有完美的化妆？好，当然
21465,Ugy0S34jLmrktCOairp4AaABAg,0,3 years ago,"i fell in love with your videos, perfect in all that hace",我爱上了你的视频，完美无缺
12265,UgzpJ_5dTHgcJxVyufN4AaABAg,0,3 years ago,"if i were her i would end up hoarding all of the baby bamboo shoots, bug she know perfectly well that she must only take what she will use, and that if she takes all of the baby bamboo shoot there will be no newer trees and that it could be really bad. take that into consideration as how she is so in sync with her surroundings.",如果我是她，我最终会ho积了所有的婴儿竹芽，她非常清楚她必须只接受自己的用品，如果她拿起所有的婴儿竹芽，就不会有新的树木可能真的很糟糕。考虑到她与周围环境的同步。
21235,UgzC79Z78jTaX5GO11t4AaABAg,0,3 years ago (edited),very beautiful this place because it was our god who created and everything he does is perfect jesus christ is coming back he loves you and calls you ... to all who is reading at this moment and you also liziqi is all your family ..,这个地方非常美丽，因为是我们的上帝创造的，而他所做的一切都是完美的耶稣基督回来了，他爱你，给你打电话给你……目前正在阅读的所有人，你也是你的家人。
21180,UgwJfhXNs0u2mBd9yvx4AaABAg,0,3 years ago,perfect wife...i can only dream of a girl like her,完美的妻子...我只能梦见像她这样的女孩
20963,UgwbmADScm-cY19NVX94AaABAg,0,3 years ago,perfecting,完美
20935,Ugy4bQQd6lPNZ3L3DXV4AaABAg,0,3 years ago,"she is strong, natural, smart. a perfect woman.",她坚强，自然，聪明。一个完美的女人。
20816,UgxOnir3k5WxE_vKZvN4AaABAg,0,3 years ago,special thanks to camera man..tht the video comes very perfect.. all credit goes to him,特别感谢Camera Man。
5943,Ugwruoo5kyusmhmTD_p4AaABAg,0,2 years ago,"some are complaining about their own lives and how cities are bad and so on and on. but you can also live at least a bit like that. maybe you can stile your room differently, buy new kitchen pottery similar to the one she uses (of course do not throw away the old stuf, but give it to someone that needs it or sell it or...) you can also learn how to cook and sew (there are plenty tutorials on youtube and i believe that if you set your mind to it, you can learn. maybe not as fast as some, but practise makes perfect and besides, even she had to learn things. no one is born with skills, some are just a bit more talented, but that does not mean that you can not learn it.) and do it in your free time instead of watching tv and youtube. you can also try and plant some vegetables in your apartment, at least some herbs. there is a thousant things you can do to live a bit more like her and reduce stress. it is true that she inspires people, but if they do nothing but watch her videos, then what purpose does it have? yes, even watching her videos calms you and makes you feel beter, but imagine how much better you would feel if you lived a bit differently? or at least if you try to make your home look better, so that you would be able to admire it every day you return exsausted from work/school. (believe me, even the dullest room can look perfect with a bit of imagination and/or some tips/diys from internet.) but the most important thing is that you try to admire your own soroundings. follow her lead, she admires every flower and raindrop. so can you. at first it will be hard, but in time, you will notice small, but precious pearls even in the busiest city and this little surprises will make you smile.",有些人抱怨自己的生活以及城市如何不好等等。但是您也至少可以这样生活。也许您可以以不同的方式静止，购买类似于她使用的厨房陶器（当然不要扔掉旧的STUF，而要丢给需要它或出售的人或...）您也可以学习如何学习要烹饪和缝制（YouTube上有很多教程，我相信，如果您确定它，就可以学习。也许不像某些人那样快，但是练习是完美的，而且她不得不学习东西。没有人天生具有技能，有些人的才华更加有才华，但这并不意味着您无法学习。）在业余时间进行，而不是看电视和YouTube。您也可以尝试在您的公寓中种植一些蔬菜，至少一些草药。您可以做一些事情要做的事情可以像她一样生活并减轻压力。的确，她启发了人们，但是如果他们除了观看视频外什么都不做，那么它有什么目的？是的，即使看着她的视频使您平静下来，让您感到沮丧，但是想象一下，如果您的生活有所不同，您会感觉好多？或至少如果您试图使房屋看起来更好，以便您每天都可以欣赏它在工作/学校中遭到屠杀。 （相信我，即使是最沉闷的房间也可以通过一些想象力和/或互联网上的一些提示/Diys看起来很完美。）但是最重要的是，您尝试欣赏自己的sor脚。跟随她的领导，她欣赏每朵花和雨滴。你可以。起初很难，但是随着时间的流逝，您会注意到很小的，但是即使在最繁忙的城市中，珍贵的珍珠也会让您微笑。
20510,UgyqL04wUTqLywqredJ4AaABAg,0,3 years ago,hardly 1 perfect girl,几乎没有一个完美的女孩
6014,UgxJT6TxzsEACJqGwkh4AaABAg.9F7w3rQ4gFg9FBTz1CEXkV,0,2 years ago,creep she's perfect for herself. single women and mothers rise,爬行，她非常适合自己。单身女性和母亲崛起
6018,Ugz1ds4UxTR8jiOsKLd4AaABAg,0,2 years ago,"look, everything was perfect, why did you do those slimy insects or here is chinese.",看，一切都是完美的，为什么您要做那些黏糊糊的昆虫或这里是中国人。
8728,UgxogdUr10MWfJqyEot4AaABAg,0,2 years ago,"she is very perfect and hard work, smart work",她是非常完美而辛勤的工作，聪明的工作
17205,UgwQtCTANVHaum3r28J4AaABAg,0,3 years ago,she is my dream wife … perfect and multi talented,她是我梦dream以求的妻子……完美而多才华
19659,UgwSrbJdlZKbwiA0LUx4AaABAg,0,3 years ago,she is the perfect wife. hope someday i can find my own ziqi.,她是完美的妻子。希望有一天我能找到自己的Ziqi。
19633,Ugz1NTHt5ptYT3HLzmJ4AaABAg,0,3 years ago,"ideal life, perfect food.",理想的生活，完美的食物。
19565,UgwWWMB39Cw9O-eCNYt4AaABAg.91p8KnF9nnr91q-FiIN4Cg,0,3 years ago,"what's wrong with you, mate? chinese government does have some issues, but which government is perfect? please do not say that, we are open like you today.",你怎么了，伴侣？中国政府确实有一些问题，但是哪个政府是完美的？请不要说，我们像今天一样开放。
19385,UgwNGXbugtY3DGMFlW54AaABAg,0,3 years ago (edited),the beauty that is put into the filming of this is amazing. been vegan for 55 years everything is perfect but the animal that's not alive in here. but if somebody chose and had the land they could live this way without the animal added. there could be videos of how to make tofu or eat beans. she certainly has a large enough garden to create any version of this that anybody would love. this still has less dead animals in a burger king commercial. i'll focus on the garden in the bamboo forest and hope that all that waste gets composted.,拍摄中的美丽是惊人的。素食主义者已有55年了，一切都是完美的，但是这里没有活着的动物。但是，如果有人选择并拥有土地，他们可以这样生活，而没有添加动物。可能会有有关如何制作豆腐或吃豆类的视频。她当然有一个足够大的花园来创建任何人都会喜欢的任何版本。在汉堡王广告中，这仍然具有较少的死动物。我将专注于竹林的花园，并希望所有废物都堆肥。
19228,Ugx4en9tHEBhCuuVnH94AaABAg,0,3 years ago,everything is natural and perfect,一切都是自然而完美的。
19157,UgwLpS5K1yUIWfideHd4AaABAg,0,3 years ago,perfect,完美的
989,UgxvWOxYIHKtE5fIZkN4AaABAg,0,1 year ago,perfect,完美
18539,Ugz7vX27tY0R8YBBwyB4AaABAg.92TOl30agtK92gFF0CqMiM,0,3 years ago,it reminded me of those perfect world international days.,它使我想起了那些完美的世界国际时代。
9206,Ugztg3AWD6dCH_KutUp4AaABAg.9AMNSj7YvIf9BclBxozh37,0,2 years ago,"@user-rw2vi3ev6q i am a christian is not a member of falun gong. and i have also been in contact with people who have learned falun gong. it doesn't seem to be as you said. but i have a lot of understanding of the ccp. i don't need my father to tell me that i have eyes and ears and will listen to it. you have already said such words when you have reached malaysia. it shows that you don't want to see or listen to the truth. but li ziyi's video is very disgusted. if she is making myths or movies, i have nothing to say. since it is a realistic life, you should not deceive the audience. doing anything is perfect. the so -called uh uh poetic and painting is just an illusion. let you go to the old forest for a month to try? this is the cult of the cults who mislead the people.",@user-rw2vi3ev6q 我是一个基督徒不是你说的法轮功成员。而且我也接触过学法轮功的人。貌似并不像你说的那样。但是我对中共的了解还是很多的。不需要父辈告诉我，我有眼睛和耳朵会听会看。你已经到了马来西亚还会说这种话。说明你是不想看也不想听真相。但是李子柒的视频我是很反感的。如果她拍的是神话故事或者电影我没话说。既然是生活写实，就不该欺骗观众。做任何事情都是完美从没失败。所谓呃呃诗情画意也只是假象。放你去深山老林过一个月试试?这才是邪教误导民众。
17417,UgwV-uzw6206Qx2IoKZ4AaABAg.92kaKG0I8dO92prFA4oTNz,0,3 years ago,"this is a perfect and beautiful life style,many people in china also aspire living like her,especially those people living in big city.",这是一种完美而美丽的生活方式，中国的许多人也渴望像她一样生活，尤其是那些居住在大城市的人。
9470,UgyscX8HNAyE5uDtx6Z4AaABAg,0,2 years ago,perfect cooking girl.,完美的烹饪女孩。
17362,UgyBVZ2G7buTweGxE0p4AaABAg,0,3 years ago,she is perfect girl,她是完美的女孩
17262,UgyyRRFupU3GOIbp9Gx4AaABAg,0,3 years ago,ziqi is a perfect qizi,ZiQi is a perfect QiZi
21294,UgzlEKbedIKPKDuHRVd4AaABAg,0,3 years ago,wow perfect for lunch.,哇，非常适合午餐。
