,cid,votes,time,含talent,含talent中文翻译
5943,Ugwruoo5kyusmhmTD_p4AaABAg,0,2 years ago,"some are complaining about their own lives and how cities are bad and so on and on. but you can also live at least a bit like that. maybe you can stile your room differently, buy new kitchen pottery similar to the one she uses (of course do not throw away the old stuf, but give it to someone that needs it or sell it or...) you can also learn how to cook and sew (there are plenty tutorials on youtube and i believe that if you set your mind to it, you can learn. maybe not as fast as some, but practise makes perfect and besides, even she had to learn things. no one is born with skills, some are just a bit more talented, but that does not mean that you can not learn it.) and do it in your free time instead of watching tv and youtube. you can also try and plant some vegetables in your apartment, at least some herbs. there is a thousant things you can do to live a bit more like her and reduce stress. it is true that she inspires people, but if they do nothing but watch her videos, then what purpose does it have? yes, even watching her videos calms you and makes you feel beter, but imagine how much better you would feel if you lived a bit differently? or at least if you try to make your home look better, so that you would be able to admire it every day you return exsausted from work/school. (believe me, even the dullest room can look perfect with a bit of imagination and/or some tips/diys from internet.) but the most important thing is that you try to admire your own soroundings. follow her lead, she admires every flower and raindrop. so can you. at first it will be hard, but in time, you will notice small, but precious pearls even in the busiest city and this little surprises will make you smile.",有些人抱怨自己的生活以及城市如何不好等等。但是您也至少可以这样生活。也许您可以以不同的方式静止，购买类似于她使用的厨房陶器（当然不要扔掉旧的STUF，而要丢给需要它或出售的人或...）您也可以学习如何学习要烹饪和缝制（YouTube上有很多教程，我相信，如果您确定它，就可以学习。也许不像某些人那样快，但是练习是完美的，而且她不得不学习东西。没有人天生具有技能，有些人的才华更加有才华，但这并不意味着您无法学习。）在业余时间进行，而不是看电视和YouTube。您也可以尝试在您的公寓中种植一些蔬菜，至少一些草药。您可以做一些事情要做的事情可以像她一样生活并减轻压力。的确，她启发了人们，但是如果他们除了观看视频外什么都不做，那么它有什么目的？是的，即使看着她的视频使您平静下来，让您感到沮丧，但是想象一下，如果您的生活有所不同，您会感觉好多？或至少如果您试图使房屋看起来更好，以便您每天都可以欣赏它在工作/学校中遭到屠杀。 （相信我，即使是最沉闷的房间也可以通过一些想象力和/或互联网上的一些提示/Diys看起来很完美。）但是最重要的是，您尝试欣赏自己的sor脚。跟随她的领导，她欣赏每朵花和雨滴。你可以。起初很难，但是随着时间的流逝，您会注意到很小的，但是即使在最繁忙的城市中，珍贵的珍珠也会让您微笑。
25737,Ugz2aOtXKALSOAOvfwN4AaABAg,0,3 years ago,i love you .you have an amazing talent,我爱你。你有一个很棒的才华
28443,Ugy7zT9fwzLOtgsMRsh4AaABAg,0,3 years ago,"inspirational to my daughter and myself.she is twelve and probably a lot taller than you.felt so connected when we finally see you're amazing talent- the silk threads! then i prefer the tree ear fresh myself...°×° our thanks for introduction to your cultural cuisine, as well as some beauty of your country. her name is beth so we feel so connected .much love to grandma! ps!!! so happy that you keep your videos so natural and use so little technology that is not hand made! very very cool...and the food really entices inspires. fell in love with steamed buns!!!!!!",她和我自己的鼓舞人心。她十二岁，可能比你高很多。当我们终于看到你很棒的才华时，他们的联系如此紧密 - 丝绸线！然后，我更喜欢自己新鲜的树耳朵...°×°我们感谢您介绍您的文化美食以及您所在国家的一些美丽。她的名字叫贝丝（Beth），所以我们感到如此联系。与奶奶相爱！ PS ！！！很高兴您保持视频如此自然，并使用不手工制作的技术很少！非常非常酷...食物确实引起了启发。爱上了蒸的面包！
28353,UgwZMq02PEnCycxDAP54AaABAg,0,3 years ago,she is really talented and beautiful.,她真的很有才华和美丽。
25794,UgxQcqHfXvK3O3lV6VF4AaABAg,0,3 years ago,"i like it very much. you are a woman, both talented and strong, beautiful. i like it very well.",我非常喜欢它。你是一个才华横溢，坚强，美丽的女人。我非常喜欢它。
6540,UgwRQfIQRx-3YbVlQlp4AaABAg,0,2 years ago,wow you are a very talented amazing lady you van do everything by the way where are your parents and dont yo have a boyfriend i just browse your channel accidentally ang i love it so much wow what a gifted lady you are,哇，你是一个非常有才华的女士，你货车做了一切，然后你父母在哪里，你没有男朋友，我只是意外地浏览你的频道，我非常喜欢它
31165,Ugxw2oVeJUskGrjWksZ4AaABAg,0,3 years ago,"everything she's cooks always looks tasty. i know her grandma thinks in her her mind, wow i have a really talented granddaughter.",她厨师的一切总是看起来很美味。我知道她的祖母在她的脑海中思考，哇，我有一个很有才华的孙女。
6825,Ugx1aSS8A2lqVHtswY54AaABAg,0,2 years ago,she has amazing talent ๐‘๐‘,她的才华很棒
25864,UgyNKj-3ZOTibwS_v9h4AaABAg,0,3 years ago (edited),"multi talented. and shes so pretty too. most women as pretty as she is, wouldn't come close to getting their hands dirty like her. whoever her husband is, hes a very lucky guy. cherish her.",多才华。她也很漂亮。大多数女人都像她一样漂亮，不会像她一样肮脏。无论她的丈夫是谁，他是一个非常幸运的人。珍惜她。
27544,UgzAZjJKw_o8AI7YzX94AaABAg.8ydt4Y210zF8ypddu4AAB1,0,3 years ago (edited),"please tell me. i didn't think chinese could own enough land to live this lifestyle. her place is so clean, pretty and fresh. how can she live this way? she has resources all around her. is she working for the chinese elite at some grand resort? do such expansive places and people with so much domestic talent and beauty (all-in-one) exist on their own in china?",请告诉我。我认为中国人没有足够的土地来过这种生活方式。她的地方是如此干净，漂亮和新鲜。她怎么能这样生活？她周围有资源。她在一些大度假胜地为中国精英工作吗？如此广阔的地方和拥有如此多的国内人才和美丽（多合一）的人们在中国是否存在？
7674,UgzQBHPUWoTP6bJS3JR4AaABAg,0,2 years ago,beautiful and talented,美丽而有才华
27179,Ugxd1AgwU7wLI2KCPqx4AaABAg,0,3 years ago,"how much talent do you wanna put in li ziqi?

god : yes!!!!","您想投入多少才能？

上帝：是的！"
26872,UgyWgog1d9uwPt8CEqN4AaABAg,0,3 years ago,the most talented woman on earth,地球上最有才华的女人
7787,UgztrdQuNHSdncr093p4AaABAg,0,2 years ago,"hi i really love your talent,
who are you?","嗨，我真的很喜欢你的才华，
你是谁？"
8010,UgwXdrxNwMS5SpTfG9h4AaABAg,0,2 years ago,very talented girl. india me hoti to sab khate jis ghar me jayegi us ghar ko swarg bana degi.,非常有才华的女孩。印度Me Hoti to sab khate jis ghar me jayegi我们ghar ko swarg bana degi。
26820,Ugx23kDxRz9dH9JeLmN4AaABAg,0,3 years ago,both beautiful and talented!,既美丽又有才华！
26727,UgyoRMW1Pa4O68IsejV4AaABAg,0,3 years ago,chinese people are so talented,中国人是如此有才华
8065,UgyYnHcqclTybt7VVDZ4AaABAg,0,2 years ago,"very talented girl..
.","非常有才华的女孩..
。"
5818,UgxTd16sGdFobhqPc6Z4AaABAg,0,2 years ago,u use more water in cooking food than oil i like and love u talent,您在烹饪食物中使用的水比我喜欢的油多，爱你的才华
12632,UgyFl1sYk45wpc7Ik014AaABAg,0,3 years ago,i'm still wondering how talented she is 'm speechless,我仍然想知道她有多才华
4952,UgwNTJyW9ww-q2XVvtJ4AaABAg,0,2 years ago,i really admire you.1 the girl is both beautiful and talented,我真的很佩服你。1这个女孩既美丽又有才华
34457,Ugz9sAYJrf57sju7s5Z4AaABAg,0,3 years ago,"very admiring a talented young girl who is very good at taking care of her grandmother well, loves liziqi!",非常欣赏一个才华横溢的年轻女孩，她非常擅长照顾祖母，喜欢Liziqi！
33676,UgypqGGwUmFcKar1XQ54AaABAg,0,3 years ago,"i love the videos of this beautiful girl, she is so talented and skilled",我喜欢这个美丽的女孩的视频，她是如此才华横溢，熟练
33902,UgwuqHml_0hKRLbSGDB4AaABAg,0,3 years ago (edited),"hi beautrful,, not only god given you beauty and talent has also blessed your serrounding with goodness of nature wich you use....lots of love & xxx",嗨，美丽，不仅上帝赐给您的美丽和才华，还以自然的善良祝福您的曲折。
33920,Ugzu-8lLeVZqIBUTzzl4AaABAg,0,3 years ago,"you have chosen a beautiful life ~
you are full of special talents that make your life worth it, and god has given you a great blessing ♡","你选择了美好的生活〜
您充满了使您的生活值得的特殊才能，上帝给了您一个巨大的祝福♡♡"
3119,UgxK7tTx9vC9pt59mmJ4AaABAg.9Pk50gyAGkX9dedMZvZ4eo,0,10 months ago,"@seleniumsel hello guys, hope you all doing good. after a pandamic, many of us struggling to earn for our basic needs. intelligent people making money online by using their own talent and knowledge. if the people have their own website or a youtube channel, they earn money. but some of us don't know that skill, even if v have also, v don't bother. there is a chance to earn money online by doing affiliate marketing. i started earning recently. i wish to share the link with u guys. try to make money to fulfill our least desires. get registered free and start earning.thank you. aff.dhgate.com/#/?invitationcode=ptukga3gti",@Seleniumsel你好，希望大家都做得好。经过狂热之后，我们中的许多人都在努力为我们的基本需求赚钱。聪明的人通过使用自己的才能和知识在线赚钱。如果人们拥有自己的网站或YouTube频道，他们会赚钱。但是我们当中有些人不知道该技能，即使V也没有，V也不打扰。有机会通过进行会员营销来在线赚钱。我最近开始赚钱。我想和你们分享链接。尝试赚钱来满足我们最小的欲望。免费注册并开始赚钱。谢谢。 aff.dhgate.com/#/?invitationcode=ptukga3gti
2769,UgxG91aUIiE--3RCoVN4AaABAg,0,1 year ago,u r so talented m from india,来自印度的才华横溢
34407,UgzATR-l-lgUJ1UWUVB4AaABAg,0,3 years ago,"i like it, a tough woman who is extraordinary and has a myriad of talents.",我喜欢它，一个坚强的女人，她很不一样，拥有无数的才华。
34501,UgzhgWkKaHjrrrLQiud4AaABAg,0,3 years ago,i am so good. talented integrity,我真好。才华横溢的诚信
31375,Ugz1I8IVDaSZ28ZBANJ4AaABAg.8yVFWEkdlqa8yWCGB_gG09,0,3 years ago,"the ""brick home"" in taiwan was wrong. chinese talents abroad can't afford tea eggs and mustard. a pack of mustard 6 yuan rmb, a pack of snail lion powder 50 yuan rmb, can’t afford it,",台湾“砖家”说错了，在国外的中国人才是穷的吃不起茶叶蛋和榨菜了，一包榨菜6元RMB，一包螺狮粉50元RMB，吃不起啊
2480,Ugw8BayPyJlJumc0W7J4AaABAg,0,1 year ago,you are such so beautiful hot looking woman and high talent in culinary cooking chef.,您是如此美丽的热女人，在烹饪烹饪厨师中才华横溢。
2060,UgxmL-mhoFNQmkN1W6x4AaABAg,0,1 year ago,"i love your beautiful videos,your talent cooking.thank your director and brillant camera mann. all amazing!!!",我喜欢您美丽的视频，您的才华烹饪。谢谢您的导演和光彩照人Mann。一切都很棒！！！
34756,Ugwwc3Cl2OU1d-52fCl4AaABAg,0,3 years ago,you are so talented!,你是如此有才华！
1964,UgwtBG7PvroWQqVxk6d4AaABAg,0,1 year ago (edited),totally satisfied multi talented girl,完全满意的多才华女孩
1904,UgyzZOtw8wgTo-nXsid4AaABAg,0,1 year ago,"disciples regulations (3)
❤ panai
everyone. all must be love. god overwhelmed.
together.

[easy to solve] as long as it is a person, it is similar, regardless of ethnic, human, gender, and religious beliefs, they should love each other. it is also the transformation of the heavens and the earth, and it should not be distinguished by you and me, and cooperate with each other to maintain this symbiotic and prosperous life community.
❤
those who are tall. the name is high. people are emphasized.
non -appearance. great person. look at it.
people are convinced. nothing.
❤
[easy to solve] the nobility of virtue is naturally high. everyone respects his virtue, not appearance. those who have talented people have excellent ability to deal with things, and their reputation is naturally extraordinary. however, what people admire and admire are his ability to do things, not because he is good at boasting.
❤
i have the ability. don't be selfish. people can.
don't be light. don't be rich. don't be proud.
don't hate it. don't like new. people are not idle.
don't stir. people are uneasy. don't disturb.

[easy to solve] when you have the ability to serve everyone, don't be selfish, just consider yourself, reluctant to pay. for the talents of others, you should learn, appreciate, and admire, not criticism, jealousy, and slander. don't please be rich, and don't be proud of themselves in front of the poor, or despise them. you should not like the new and hate the old. you must cherish old friends or old things, and do not be greedy for new friends or new things. when others are busy, don't disturb him. when others are in a bad mood or are physically and mentally arbitrary, don't gossip to interfere with him and increase his troubles and anxiety.
❤
people have short. don't unveil it. people have private.
don't say. taoist is good. that is good.
people know it. the more thoughtful. promote evil.
that is evil. different. mainly.
good persuasion. germany is built. out of irregularity.
two losses.

[easy to solve] don't expose the shortcomings of others. the privacy of others should not be publicized. the advantages or good deeds of praise of others are good deeds. when the other party hears your praise, it will definitely encourage good deeds. zhang yang's faults or disadvantages of others are to do evil. if criticism is too much, it will also recruit themselves. friends should have persuaded each other and build good moral cultivation together. if there are mistakes, you can't persuade each other, both of them will have defects.
❤
whenever. it is expensive. there are many.
take less. will add people. ask yourself first.
i don't want to. that is, ourselves. encounter.
forgotten. short resentment. the reward is long.

[easy to solve] the acquisition or granted of property must be clearly understood. it is better to give others more people. before you add things to others, or ask others to do things, you must ask yourself: ""if you change it to me, would i like it?"" if you do n’t even want to do it, you must stop immediately. remember to repay. others are sorry for themselves, and they should forget it. don't remember the resentment for too long in your heart, even if you're in the past. other people have to remember to be in mind, grateful, and often repay.
❤
wait for the servant. you are expensive. although expensive.
mercy and wide. attocked. no heart.
take care of people. fang wuyan.

[easy to solve] to treat the maids and servants in the home, we must pay attention to the righteousness and lead by example. although it is important, it is more valuable. if the battle is forced to obey, the other party will inevitably be convinced. only by serving people can others not complain.

the same person. elastic category. vulgar.
benevolence. relief. how fearful people are.
unexpectedly. the color is not charming. can kiss.
infinite. germany and japan advance. live days.
not kiss. infinite harm. villain enter.
bailing bad.

[easy to solve] it is also human, good, evil and evil, and mental heights are uneven. there are many people affected by the vulgarity, and there are few people with kindness and generosity. if they are really benevolent, everyone naturally fears him, because he speaks fair and selflessly without concealment, and does not please others, so everyone will naturally be awesome. those who can get close to rende and learn from him are very lucky, because he will make our virtue progress every day, and the fault will decrease one day. if you are not willing to get close to the gentlemen of the people, there will be endless scourge, because the unscrupulous villain will approach us while it is false, and our words and deeds will be affected by bad words, and even the whole life will enter the wrong direction.

文 ❤ 
do not work. but learn text. long flashy.
whoever. but do it. don't learn text.
let's see it. amazing.

[easy to solve] can't do filial piety, 悌, jin, faith, pan -loving, and relatives, and blindly study. even if there are some knowledge, it is just a habit that has increased its fascinating and unrealistic. what is the use? if you just keep your teachings and refuse to study, it is easy to do it because of unknown things and cause mistakes according to your own prejudice. this is also wrong.

reading. three arrives. eye.
believe. read this. don't admire.
this is not the end. don't get up. width is limited.
tightly use it. worked. stady.
suspicious. sui notes. just ask.
seeking meaning.

[easy to solve] the method of reading should be focused on three arrival: eye, mouth, and heart, the three are indispensable, so that the effect of getting more effort can be received. study science must be dedicated to deepen, and you ca n’t start reading this book before it can be read. he also enviouss other books and wants to read other books. this will never be able to read a book in depth. you must read this book to read another one. when setting a reading plan, you may wish to relax. in actual implementation, you must step up hard work and strictly implement it. you must not be lazy. the daily accumulation of the month was deeply worked, and the original unreasonable and doubtful doubts were naturally solved. when you have any questions in your heart, you should take notes at any time. as soon as you have a chance, you should ask the good teacher yiyou. be sure to understand its true meaning.

the room is clear. the wall is clean. several cases are clean.
the pen is zheng. ink grind. both heart.
the word is disrespectful. heart disease. list of classics.
there is a fixed. after reading. restore.
although there is anxiety. crushed. there is a shortage.
just make up. non -holy books. don't look at the screen.
well. bad heart. don't violently.
don't give up. holy and xian. tame.

[easy to solve] the study should be sorted and cleaned, and the walls should be kept clean. when reading, stationery such as pen and ink, paper, and other stationery should be neat and messy, and all of them are in order to calm down to read. the ancients should use a brush to write ink first. if they were absent, the ink would be missed. if the words written are crooked, it means that you are impetuous and your heart cannot be determined. books should be divided into different categories, arranged neatly, placed in a fixed position, and they must be returned to the restore place after reading. although there is an urgent matter to leave, take the book and leave it before leaving. the book is the crystallization of wisdom. if there is a defect, it must be repaired and keeps complete. it is not a book that preach the words and deeds of sages and bad books that are harmful to physical and mental health. they should abandon and not read, so as not to be polluted, wisdom, and ambitions to become unhealthy. when you encounter difficulties or setbacks, don't abandon yourself, don't have to be cynical, complain about the world, you should be angry and study hard. although the realm of sages is high, it can be achieved in order. ❤

disciples are easy to solve (end)
title: disciples three -character sutra
filial scriptures are easy to solve. welcome to print.
❤ minglun teach filial piety
read thousands of times. it is self -explanatory.
implement life. it really does.

the disciples' name is ""xunmengwen"", which was made by li yuxiu, a talented talent in the kangxi period of the qing dynasty. its content adopts the sixth articles of ""the analects of confucius"": ""the disciples enter the filial piety, and they are brothers, and they believe in the people, and they love the public, and they have the power to learn."" sentence yiyun compilation is divided into five parts to perform; specifically listed on the etiquette and norms that the children are at home, out of the country, taking care of people, studying, and studying. later, after the revision of jia cunren in the qing dynasty, it was renamed ""disciples regulations"". it was the best reading of enlightenment and educating children dunlun to prevent evil and consciousness, and develop a loyal family style.
title: changli
1. family affairs, do not say to outsiders.
for example, if you talk about the economic situation at home, the place where your family usually goes out, or when the family is expected to go, in case of the thief or someone who is interested, they will break through the empty door and do bad things.
in addition, the ancients said that the family was ugly. if complains and accusing their families of listening to outsiders, others could not help you solve the problem. it would not only hurt the dignity of the family, but also made outsiders impress your family. or outsiders pass the housework you said as a gossip. if the sky is chaotic and then spread back to your ears, it will not only be unable to argue, but also increase the family's heart.

2. buddhism: knowing that more methods are actually giving.
❤ faiba: wisdom and wisdom.
i often read the ancient sage books and do their best. let the general public pay attention to moral cultivation and distinguish between right and wrong, so that they will not argue with others or sin.
❤ 富。。.
foreign wealth is something outside of the body, money, clothes, food, etc., provided to those in need.
inner wealth is his own body. at home, we help our family to do housework, serve our family with our bodies, and help the poor to help the poor disadvantage. this is all fortune. only can it be available.
❤ the fearless giving is the reason, the obtained fruit is healthy and longevity.
everything is terrifying, fearful, and threatened by life. you help him leave all horror and let him be physically and mentally stable. this is called fearless giving.

3. see the person who is lost, don't say proud.
(those who understand the feelings of others can always think about others.)
when he encounters frustrated, sad, and lost people, he has been hit in all aspects and is very unhappy. it should be said that he can comfort him, instead of saying how much he is.
when others break their fortunes and lose their jobs, you say that you are promoted to get rich, which will make the other party even more unbearable. pride and pride itself is evil, let alone hurt people?
on the contrary, the mood that can be eliminated by others' nervousness or anxiety is good. even if you ca n’t help you, do n’t go down. don't do it because of goodness, don't do it because of evil.
it is not only violence and crime called evil deeds. the evil thoughts that people often can't stop are the source of disaster.
welcome to print. bleak","弟子规（3）
❤泛爱众
凡是人。皆须爱。天同覆。
地同载。

【易解】 只要是人，就是同类，不分族群、人种、性别、宗教信仰，皆应相亲相爱。同是天地所化育覆载的，应该不分你我，互助合作，才能维持这个共生共荣的生命共同体。
❤
行高者。名自高。人所重。
非貌高。才大者。望自大。
人所服。非言大。
❤
【易解】 德行高尚者，名望自然高显，大家所敬重的是他的德行，不是外表容貌。有才能的人，处理事情的能力卓越，声望自然不凡，然而人们所欣赏佩服的，是他的处事能力，而不是因为他擅于夸耀。
❤
己有能。勿自私。人所能。
勿轻訾。勿谄富。勿骄贫。
勿厌故。勿喜新。人不闲。
勿事搅。人不安。勿话扰。

【易解】 当你有能力可以为众人服务的时候，不要自私自利，只考虑到自己，舍不得付出。对于他人的才华，应当学习、欣赏、赞叹，而不是批评、嫉妒、毁谤。不要去讨好巴结富有的人，也不要在穷人面前骄傲自大，或者轻视他们。更不可以喜新厌旧，对于老朋友或旧事物要珍惜，对于新朋友或新事物不要贪恋。当别人正在忙碌的时候，不要去打扰他，当别人心情不好或身心欠安的时候，不要闲言闲语去干扰他，增加他的烦恼与不安。
❤
人有短。切莫揭。人有私。
切莫说。道人善。即是善。
人知之。愈思勉。扬人恶。
即是恶。疾之甚。祸且作。
善相劝。德皆建。过不规。
道两亏。

【易解】 别人的缺点，不要去揭穿。别人的隐私，切忌去张扬。赞美他人的优点或善行，就是行善。当对方听到你的称赞之后，必定会更加勉励行善。张扬他人的过失或缺点，就是行恶，如果指责批评太过分了，还会给自己招来灾祸。朋友之间应该互相规过劝善，共同建立良好的品德修养。如果有错不能互相规劝，两个人的品德都会有缺陷。
❤
凡取与。贵分晓。与宜多。
取宜少。将加人。先问己。
己不欲。即速己。恩欲报。
怨欲忘。报怨短。报恩长。

【易解】 财物的取得或给予，一定要分办清楚明白，宁可多给别人，自己少拿一些，才能广结善缘，与人和睦相处。要将事物加到别人身上，或要托别人做事之前，先要反问自己：「如果换成是我，我愿意吗？」如果连自己都不愿意，就要立刻停止。受人恩惠要记得报答。别人有对不起自己的事，应该宽大为怀把它忘掉。怨恨不平的事不要记在心中太久，过去就算了。别人对我们的恩德，则要铭记在心，感恩不忘，常思报答。
❤
待婢仆。身贵端。虽贵端。
慈而宽。势服人。心不然。
理服人。方无言。

【易解】 对待家中的婢女与仆人，要注重自己的品行端正并以身作则。虽然品行端正很重要，但是仁慈宽大更可贵。如果仗势强逼别人服从，对方难免口服心不服。唯有以理服人，别人才会心悦诚服没有怨言。

同是人。类不齐。流俗众。
仁者希。果仁者。人多畏。
言不讳。色不媚。能亲仁。
无限好。德日进。过日少。
不亲仁。无限害。小人进。
百事坏。

【易解】 同样是人，善恶邪正、心智高低却是良莠不齐。受风气流俗影响的人多，仁慈宽厚的人少。如果是真正有仁德的人，大家自然敬畏他，因为他说话公正无私没有隐瞒，又不讨好他人，所以大家自然会起敬畏之心。能够亲近仁德的人，向他学习，是很幸运的事，因为他会使我们的德行一天比一天进步，过错也跟着一天天减少。如果不肯亲近仁人君子，就会有无穷的祸害，因为不肖的小人会趁虚来接近我们，日积月累，我们的言行思想都会受到不良的影响，甚至使整个人生走入错误的方向。


不力行。但学文。长浮华。
成何人。但力行。不学文。
任己见。昧理真。

【易解】 不能身体力行孝、悌、谨、信、泛爱众、亲仁这些本分，一味死读书，纵然有些知识，也只是增长自己浮华不实的习气，变成一个不切实际的人，如此读书又有何用？如果只是谨守教诲，却不肯读书学习，就容易因不明事理，而依自己的偏见行事，造成错误而不自知，这也是不对的。

读书法。有三到。心眼口。
信皆要。方读此。勿慕彼。
此未终。彼勿起。宽为限。
紧用功。工夫到。滞塞通。
心有疑。随札记。就人问。
求确义。

【易解】 读书的方法要注重三到：眼到、口到、心到，三者缺一不可，如此方能收到事半功倍的效果。研究学问要专一、专精才能深入，不能这本书才开始读没多久，又欣羡其他的书，想看其他的书，这样永远也定不下心把一本书好好深入读通。必须把这本书读完，才能再读另外一本。在订定读书计画的时候，不妨宽松一些，实际执行时，就要加紧用功，严格执行，不可以懈怠偷懒。日积月累功夫深了，原先窒碍不通、困顿疑惑之处，自然而然都迎刃而解了。求学当中，心里有疑问时，应随时笔记，一有机会，就向良师益友请教，务必确实明白它的真义。

房室清。墙壁净。几案洁。
笔砚正。墨磨偏。心不端。
字不敬。心先病。列典籍。
有定处。读看毕。还原处。
虽有急。卷束齐。有缺坏。
就补之。非圣书。屏勿视。
蔽聪明。坏心志。勿自暴。
勿自弃。圣与贤。可驯致。

【易解】 书房要整理清洁，墙壁要保持干净。读书时，书桌上笔墨纸砚等文具要摆放整齐不凌乱，触目所及皆是井然有条，才能静下心来读书。古人写字使用毛笔先要磨墨，如果心不在焉，墨就会磨偏了。写出来的字如果歪歪斜斜，就表示你浮躁不安，心定不下来。书本应该分门别类，排列整齐，放在固定的位置，阅读完毕须归还原处。虽有急事要离开，也要把书本收好再离开。书本是智慧的结晶，有缺损就要修补，保持完整。不是传述圣贤言行的著作，以及有害身心健康的不良书刊，都应该摒弃不看，以免身心受到污染、智慧遭受蒙蔽、心志变得不健康。遇到困难或挫折的时候，不要自暴自弃，也不必愤世嫉俗、怨天尤人，应该发愤向上努力学习。圣贤境界虽高，循序渐进，也是可以达到的。 ❤

弟子规易解（终）
书名：弟子规 三字经 
孝经 易解。欢迎翻印。
❤明伦教孝
读书千遍。其意自现。
落实生活。确实做到。

弟子规原名＜训蒙文＞，为清朝康熙年间秀才李毓秀所作。其内容采用《论语》学而篇第六条：「弟子入则孝，出则弟，谨而信，泛爱众，而亲仁，行有余力，则以学文。」的文义以三字一句，两句一韵编纂而成，分为五个部份加以演述；具体列举出为人子弟在家、出外、待人接物、求学应有的礼仪与规范，特别讲求家庭教育与生活教育。后经清朝贾存仁修订改编，并改名为＜弟子规＞，是启蒙养正，教育子弟敦伦尽份防邪存诚，养成忠厚家风的最佳读物。
书名：常礼举要
1.家庭之事，不可向外人言。
举例来说，如果你讲到家里的经济状况、家人平常出入的地点，或是什么时间家人预计要去哪里，万一被小偷或是有心人士打听到了，他们会闯空门、做坏事。
另外，古人说家丑不可外扬，若是抱怨、指责家人给外人听，别人也不能帮你解决问题，不仅会伤害家人的尊严，也让让外人对你们一家印象不佳。又或者外人把你说的家务事都当成闲谈八卦传出去，若是说得天花乱坠再传回你耳中，不仅百口莫辩，也徒增一家人心里难受。

2.佛教：知道得到更多的方法其实是布施。
❤法布施：得聪明智慧。
常常读古圣贤书，并身体力行。让社会大众能够注重品德修养，能够分辨是非，才不会与人争执或是犯罪。
❤财布施得财富、功德。
外财就是身外之物，钱、衣服、食物等，提供给需要的人。
内财是自己身体。我们在家里面，帮助家人做家事，用我们的身体为家人服务，在外做义工帮助贫困弱势这都是财布施。能舍才有得。
❤无畏布施是因，得到的果报是健康长寿。
万物有恐怖、有畏惧、生命受到威胁，你帮助他离开一切恐怖，让他身心安稳，这叫无畏布施。

3.见失意人，不说得意语。
（明白别人感受的人总是能够多为别人着想呢。）
遇到失意、伤心、失落的人，他各方面都受到打击，很不得意，应该说点让他得到安慰的话，而不是说自己有多在行、多厉害。
当别人破了财，丢了工作，你却说自己升官发财，这会让对方更加不堪忍受。傲慢、骄傲本身即是恶，更何况用来伤人？
相反的，能够免除别人紧张恐惧或是忧虑的心情即是善，即便帮不上忙也千万不要落井下石。勿因善小而不为，勿因恶小而为之。
并非只有暴力、犯罪才叫恶行，人常常止不住的恶念也是灾难的源头。
欢迎翻印。"
1633,UgxfGV-VZpHBD_Bl2g14AaABAg,0,1 year ago,"and i miss the talent
i miss the creativity
i miss the simplicity 
i miss the hard work
i miss the newness
i miss the beauty
i miss the love
i miss the real life
i miss the simple cooking
i miss the weather 
i miss liziqui and grand mom","我想念才华
我想念创造力
我想念简单性
我想念辛勤的工作
我想念新的
我想念美丽
我想念爱
我想念现实生活
我想念简单的烹饪
我想念天气
我想念Liziqui和大妈妈"
33570,UgwpE5Mb3HKytAWGyLx4AaABAg,0,3 years ago,if you want to define the word beautiful...so talented..,如果您想定义“美丽”这个词，那么才华横溢。
3120,UgxK7tTx9vC9pt59mmJ4AaABAg.9Pk50gyAGkX9dedNT2p-WB,0,10 months ago,"hello guys, hope you all doing good. after a pandamic, many of us struggling to earn for our basic needs. intelligent people making money online by using their own talent and knowledge. if the people have their own website or a youtube channel, they earn money. but some of us don't know that skill, even if v have also, v don't bother. there is a chance to earn money online by doing affiliate marketing. i started earning recently. i wish to share the link with u guys. try to make money to fulfill our least desires. get registered free and start earning.thank you. aff.dhgate.com/#/?invitationcode=ptukga3gti",大家好，希望大家一切都好。经过狂热之后，我们中的许多人都在努力为我们的基本需求赚钱。聪明的人通过使用自己的才能和知识在线赚钱。如果人们拥有自己的网站或YouTube频道，他们会赚钱。但是我们当中有些人不知道该技能，即使V也没有，V也不打扰。有机会通过进行会员营销来在线赚钱。我最近开始赚钱。我想和你们分享链接。尝试赚钱来满足我们最小的欲望。免费注册并开始赚钱。谢谢。 aff.dhgate.com/#/?invitationcode=ptukga3gti
3315,Ugw8-VIcwBKYj05k_-l4AaABAg.9P87kN_usot9QclQFDO9Y7,0,1 year ago,"welcome to china, there are many more talents like this, or you can download an app called bilibili, there are many more chefs like her",欢迎来到中国，还有更多这样的才能，或者您可以下载一个名为Bilibili的应用程序，还有更多像她这样的厨师
3348,UgzOEQtg9csE7G-W_p54AaABAg,0,1 year ago,equally talented is the cameraman,同样有才华的是摄影师
32965,UgyEZ9WSwZA4UOJkU3N4AaABAg,0,3 years ago,i have to like because i am a chinese and i am talentless,我必须喜欢，因为我是中国人，而且我没有才华
3911,UgzL8KrmMeCjSXHsCs54AaABAg,0,2 years ago,"the video occasionally talks with her mother -in -law, without subtitles, only sichuan talents can understand, haha. (this bamboo shoot is bigger than my brain. my mother -in -law said, what are you doing, the bamboo shoots we have dug in previous years ...)",视频里面跟婆婆偶尔的对话，没有字幕，只有四川人才能秒懂，哈哈。（这个笋子比我脑壳还大，婆婆说，你这算啥子哦，我们往年挖的笋子……）
