,cid,votes,time,含talent,含talent中文翻译
8000,Ugwd01ekQMLZfW73-Bp4AaABAg,2,2 years ago,"amazing, how much hotness. what a wonderful place, how much abundance.
you are special and very talented and beautiful.","令人惊讶，多少热。多么美好的地方，多少丰富。
你很特别，很有才华和美丽。"
25543,Ugz-VvtvGJWZUTGH8RF4AaABAg,2,3 years ago,"she is the most talented woman ๐‘ฉ 
i respect you and i hope you would be happy forever!!
sorry for my easy english because i am japanese","她是最有才华的女人
我尊重你，希望你永远幸福！
对不起，我的英语简单，因为我是日本人"
32043,UgzyQaxzcsLtC0nOQSt4AaABAg,2,4 years ago,multitalented girl!and super lucky grandma!,多元女孩！超级幸运的祖母！
28857,UgwOq7hvfbFrgTmapN94AaABAg,2,3 years ago (edited),you are blessed with talent and nature .heavenly place .serene,您拥有才华和自然的祝福。
4362,UgzPCvdsu1UhTgu6wwR4AaABAg,2,1 year ago,"liziqi, you are a great and talented woman ✨✨✨",利兹奇，你是一个伟大而有才华的女人✨✨✨
5914,UgzoP0fUKeCAoKotCwN4AaABAg,2,2 years ago,"beautiful, great, talented, success",美丽，伟大，才华横溢，成功
23283,UgzGuUcmX_5jYe1jO_B4AaABAg,1,3 years ago,she is veryyyyy talented๐๐๐,她很有才华
28125,Ugz-ZscxmQPaxcOZJAp4AaABAg,1,3 years ago,so talented,好有才华
20404,UgzLryGhVnC5-IOg1GV4AaABAg,1,3 years ago,she is soooo talented. hit the like button if u agree,她很有才华。如果您同意，点击按钮
20843,UgyUA__CNsF7NEvf89p4AaABAg,1,3 years ago,it will be talented like that in china.,在中国，它将很有才华。
41007,Ugx4LuoHmubeWZt8qjp4AaABAg,1,4 years ago (edited),who's recording this? it's awesome. food is everywhere. so creative and talented,谁在录制这个？这很棒。食物无处不在。如此有创造力和才华
19465,Ugw-_VWea6iW3r_Jpp54AaABAg,1,3 years ago,"well done, you are a real talent !!! beautiful and you can do everything",做得好，你是一个真正的才华！！！美丽，你可以做一切
31532,UgzwTAGOl24iYbFswEV4AaABAg,1,4 years ago,the girl use her talent to make the village life so interesting,这个女孩用她的才华使乡村生活变得如此有趣
19904,UgxKWo9y-gDSqQnDPct4AaABAg,1,3 years ago,she is so talented she doesn't miss a step. i wish i could meet her or come to where she lives.,她是如此有才华，她不会错过一步。我希望我能见到她或来她的住所。
41605,UgzkoiR7mdKgNvapDxJ4AaABAg,1,4 years ago (edited),life's not like this for everyone in china. i'm worried about that dude who makes iphones in a sweatshop.hope he gets some rest.no offence to this video person. she looks calm and serene and multi talented as well.,对于中国的每个人来说，生活不是这样。我担心那个在汗衫中制作iPhone的家伙。希望他会休息一下。她看起来很镇定，宁静，多才华。
38828,UgwCoP-JcjTGcMwQ-Kd4AaABAg,1,4 years ago,"i love watching her videos, it shows power and strength along with talent of old culture. i know one thing though. her grandma is cute",我喜欢观看她的视频，它表现出力量和力量以及旧文化的才华。我知道一件事。她的祖母很可爱
21047,Ugz5P4xPsdR6Z9czEyd4AaABAg.941vCdSLPgO9H5Qfz9TsOK,1,2 years ago,support this humble family have talent! https://www.youtube.com/watch?v=e19lg2cwmts&t=484s greetings from peru,支持这个谦虚的家庭有才华！ https://www.youtube.com/watch?v=e19lg2cwmts&t=484s问候
21270,UgwDi1myNVrqah7f8tp4AaABAg,1,3 years ago (edited),a video โ€the story behind her sucessโ€ is with fair comments about this talented girl li ziqi. https://youtu.be/xxp1-u0psio,视频“她成功背后的故事”对这个才华横溢的女孩李齐（Li Ziqi）进行了公正的评论。 https://youtu.be/xxp1-u0psio
30498,UgwdoTcwi3-XRsZg1V94AaABAg,1,3 years ago,"such a hardworking, talented, energetic, beautiful, dog lover...mum i have found your future daughter in law...๐๐",如此勤奋，才华横溢，充满活力，美丽，狗爱好者...妈妈，我找到了您未来的女儿...
25339,UgwFCC_5McPd1SQh-_d4AaABAg,1,3 years ago,i love the videos of liziqi. she is very cute and adorable and so talented. she does anything.๐๐๐,我喜欢Liziqi的视频。她非常可爱，可爱，很有才华。她做了任何事情
28326,UgzrP8aTQz-1z9745Ip4AaABAg,1,3 years ago,"she is the best of the best lady i ever seen, multitalent wife to be, that's incredible! ๐’",她是我见过的最好的女士中最好的女士，是多元妻子，这真是令人难以置信！
28389,UgwAmh9mwbsNn2MrK6F4AaABAg.8y_gWQmCqaX9H5QdepekWT,1,2 years ago,support this humble family have talent! https://www.youtube.com/watch?v=e19lg2cwmts&t=484s greetings from peru,支持这个谦虚的家庭有才华！ https://www.youtube.com/watch?v=e19lg2cwmts&t=484s问候
30386,Ugy_T_drEMsl7vk1hcx4AaABAg,1,3 years ago,love people because of too talented. ๐โ€โ๏ธ๐’—๐’“๐’๐’–โค,爱别人，因为太有才华了。
39971,UgyquGPJlcp831En0KZ4AaABAg,1,4 years ago,"yeah she's talented, hardworking, and her videos are ๐‘๐‘ but yall are missing the point here....were those lemons๐๐๐ฒ??",是的，她很有才华，勤奋，她的视频是
39855,UgxJCCO2ZuHYuOJdZQ14AaABAg,1,4 years ago,"such a talented and hard working woman, i hope your passion for all that you do never fades",如此有才华和努力的女人，我希望您对自己永远不会消失的一切热情
25944,Ugw93U0P1lvpwS5HmYp4AaABAg,1,3 years ago,wow ๐ฎi have to say sheโ€s so perfect talented girl. i love how she prepares her food looks so delicious yummy ๐ if i had a wish i would like that kind of simple life and be living in that time of era were no interference from the outside world. thank you for sharing your life with us che che ๐โ๏ธ๐,哇，我不得不说她是如此完美的才华横溢的女孩。我喜欢她准备食物的样子看起来如此美味的美味
21712,UgwIjVPayugE7lKyjyp4AaABAg.93PPx-Ulr3i93QrLdTh_1c,1,3 years ago,you are also a personal talent.,你也是个人才，翻墙做喷子
27676,UgyNeC0ONzBg7RfTqfB4AaABAg,1,3 years ago,she is soo talented..๐,她很有才华。
14144,Ugy2ofgxSzM1iBf-fAR4AaABAg,1,2 years ago,u r v talented. a girl must have the guts like you,U R V才华横溢。一个女孩必须有像你这样的胆量
11294,UgxWHCHMraFSsndhmqp4AaABAg,1,2 years ago,lovely scenes about mother nature and a talented diligent girl......https://youtu.be/1hznsbjczc0,关于大自然母亲和一个有才华的勤奋女孩的可爱场景……https：//youtu.be/1hznsbjczc0
8087,Ugykmd54_jyV8lACcQd4AaABAg,1,2 years ago,"hi lizigi ,love your chanel and everything you do .so simple but very good,very talent and delicate love it",嗨，利兹吉，爱你的香奈儿和你所做的一切。这么简单，但非常好，才华横溢和精致的爱
32698,Ugy800mmFiW5Y1YrP-N4AaABAg.8vhRnJy5uF092PSFzgRuyF,1,3 years ago,"it's not only her talent,more are chinese people's talent!this is china-----an old and beautiful country. the traditional chinese culture is rich, extensive and profound.i love her.",不仅是她的才华，还有中国人民的才华！这是中国-----一个古老而美丽的国家。中国传统的文化丰富，广泛而深刻。我爱她。
34543,Ugw5s9z3MVHWUuAa_XR4AaABAg.8uztCsvLOer8vU8s6pSoWb,1,4 years ago,"i was thinking the same thing how could you capture that on camera this channel obviously has a talented and creative camera man director and editor

the music and audio that's also perfectly tailored to the scene","我在想同样的事情，你怎么能在相机上捕捉到这个频道显然有才华横溢且创意的摄影师导演和编辑

音乐和音频也非常适合现场"
12553,UgxbJrFuwaP2tO5kmLJ4AaABAg,1,2 years ago,"someone please tell her, i love her so much.... you're my new inspiration sis. you're so precious talented.",有人请告诉她，我非常爱她。...您是我的新灵感。你是如此珍贵。
5713,UgwaSIPBSowu6oVFjop4AaABAg,1,2 years ago,what an artist she is....amazed to see her talent.....really mesmarising....love from india...,她真是一位艺术家。...看到自己的才华惊讶.....真的是杂马。...来自印度的爱...
5750,Ugw6ak1sHcuNrPvk_Bp4AaABAg,1,2 years ago,"u are such a talented girl, love from pakistan",你是一个才华横溢的女孩，巴基斯坦的爱情很开心
11303,UgyX0_IPXV6mazfra8N4AaABAg,1,2 years ago,filmed with heart. super women. so talented. this snacks makes me drooling.. ๐,用内心拍摄。女超人。如此有才华。这种小吃让我流口水..
18408,UgyE2_iqMFw_-BfpoBN4AaABAg,1,3 years ago,"at the beginning of the picture, two puppies around the little girl were accompanied by the lambs, and tightly guarded them. i also wished the son -in -law such a filial and talented girl.",画面一开始，小姑娘身边就有两只小狗狗跟小羊相伴，紧紧的守护，也祝福子柒这么孝顺有才华的女孩能遇到有缘人相伴
36493,UgyvmxmPJmXATBXTYnV4AaABAg.8uUOtMcYkny8ubIQjqry_S,1,4 years ago,chihuahuas didnโ€t you just see what puppies4life22 wrote? also she is talented and hardworking.,奇瓦瓦人，你不只是看到什么puppies4life22写了什么？她也很有才华和勤奋。
33398,UgwW89UWpHZoS3A26qJ4AaABAg,1,4 years ago,i would really love if this women really lived like this and was this talented n resourceful. but iโ€m betting she not.,如果这个女人真的这样生活，我真的很喜欢这个才华横溢的足智多谋。但是我敢打赌她不是。
10021,Ugz63MewcKqG3ELJQYJ4AaABAg,1,2 years ago,i really appreciate your talent,我真的很感谢您的才华
35981,UgxGaJcVnLQqhTj9w7Z4AaABAg,1,4 years ago,she is beautiful cute talented and very amazing i like her video very much and i used to watch her video and like every time ....,她很漂亮，很有才华，我非常喜欢她的视频，我曾经看过她的视频，就像每次。
9921,Ugy36Y1rjDLA3qm5Jjx4AaABAg,1,2 years ago,besides being very beautiful is still super talented .parabens,除了非常漂亮的外，仍然是超级才华的。
50349,UgxuKKEj7soYi8AbCnt4AaABAg,1,4 years ago,"this is amazing, talented, and so on the present！",这是惊人的，才华横溢的，等等
7884,Ugw1TZW-s8jgOQWNj854AaABAg,1,2 years ago,"li ziyi is a lucky person. fortunately, it encountered the protection of strong political forces. that is to be discovered by bole. otherwise, li ziyi has genius acting skills, and it is impossible for a long time to show his personal talent as a documentary. li ziyi has actually become a hard work that has finally become the protagonist who belongs to a company's performance team. you can position li ziyi as a branch owner or a member of the branches under the strong political umbrella or a member of the strong political forces behind it. therefore, the local bully hooligan did not dare to bully her. as soon as the chinese state policy is now like a social custom environment, once it is aimed at by the bad guys and gangsters, it will have been difficult to be plundered and destroyed until they die until they die. li ziyi was not guilty, and many democratic movements overseas scolded li ziyi to be fair. which star must not be obedient after a cannon to keep his life be obedient? are you talented? it is the boss or the director, and the investment boss by your stage! otherwise, your shit is not! after you occasionally appealing in the water margin society, you are a little bit ignorant, and you wo n’t go to the dock to invest in the bully hooligan and corrupt officials in various industries in various regions of various classes. one thousand -child wife ion sanbilin is still miserable! it's lucky to live in china. the bad guys are painful without doing bad things. but the bad guys are happy to do bad things. this is china's folk customs and folk customs, and people who are simple in china are painful. the person who saw the unharmed helping hands belonged to the government's severe blow. a good man who cares about it is the target of destroying social stability. therefore, people who are simple and kind have to do bad things and have to lack virtue, so they blame their regrets daily and suffer from endocrine disorders to die early. after the death of chinese mao, the winner of the cultural revolution incidentiality determined the theory of destiny. you are killed by the revolutionary people, and you have a bad personality. your family is beaten as an anti -revolution. you are hateful. you can not be used by me. if you have money without giving me a little money, i will make trouble. this is china's national conditions, and it is also the revolutionary strategic deployment of china ’s triad to spread the world. li ziyi is just a strange product that was excavated by the big boss. the warring states ceremony lu buwei was a model and learning in the bones of the chinese. this also belongs to the use of chinese characteristics. the chinese have not invented and created since ancient times. there are always shortcuts speculative. stealing and imitation of turmoil is used. it is found that talent is the first object to get rich. lu bowei found that it was not what ordinary people could do. the people who found that li ziyi could not protect li ziyi. a rich boss holds a red actor, finds a good script, screenwriter, and the director organizes an excellent team. the official pen and pen of the people who buy the water and margin society are all capable. ordinary people live in china, you put a small stall on the street, and you must also be very knowledgeable. buy the street bully and local industrial and commercial tax urban management underworld. if you miss a link, you ca n’t make it! don't bully li ziqi overseas. there is a ability to go with the chinese government to ask an official hat. the june 4th riots were a group of red guards yu ni, who failed to speculate in the cultural revolution. this is the characteristic of chinese culture. no rescue. li ziyi, the social system of the communist wife, is very lucky.

before the reform and opening up after the cultural revolution, the urban and rural areas of china always retained the buildings and production and living models and status left by manqing. deng xiaoping sent water ghosts to taiwan's lianlian lin yifu from golden gate, and lin yifu broke the trick to subvert the world. since then, the chinese government has printed banknotes to exchange banknotes day and night. foreign trade subsidies are lower than cost -effective global economic aggression to destroy the european and american family industry light industry and become the world's richest ruling group. the dictatorship of 1.4 billion people has become the world hegemon. europe has been controlled by china today. the united states has died. china has been allowed to enter the city for a meager income forty years ago from forty years ago. the government ’s intentional day and night tofu residue project has accumulated the original agricultural workers’ blood -sweat. by now, the stock market housing market controlled by zhu rongji ’s son has repeatedly absorbed the hard -sweat of the national slave! high -speed transportation throughout the high -speed building everywhere, flicker inexplicable high -end consumption! excuse me, which brick tile belongs to you? you are just alive!

li ziyi is a lucky person. fortunately, it encountered the protection of strong political forces. that is to be discovered by bole. otherwise, li ziyi has genius acting skills, and it is impossible for a long time to play the personal talent as freely as a documentary. li ziyi has actually become a hard work that has finally become the protagonist who belongs to a company's performance team. you can position li ziyi to become a branch owner of the branch under the strong political umbrella or a member of the strong political forces behind it. it is really fate. therefore, the local bully hooligan did not dare to bully her. as soon as the chinese state policy is now like a social custom environment, once it is aimed at by the bad guys and gangsters, it will have been difficult to be plundered and destroyed until they die until they die. li ziyi was not guilty, and many democratic movements overseas scolded li ziyi to be fair. which star must not be obedient after a cannon to keep his life be obedient? are you talented? it is the boss or the director, and the investment boss by your stage! otherwise, your shit is not! after you occasionally appealing in the water margin society, you are a little bit ignorant, and you wo n’t go to the dock to invest in the bully hooligan and corrupt officials in various industries in various regions of various classes. one thousand -child wife ion sanbilin is still miserable! it's lucky to live in china. the bad guys are painful without doing bad things. but the bad guys are happy to do bad things. this is china's folk customs and folk customs, and people who are simple in china are painful. the person who saw the unharmed helping hands belonged to the government's severe blow. a good man who cares about it is the target of destroying social stability. therefore, people who are simple and kind have to do bad things and have to lack virtue, so they blame their regrets daily and suffer from endocrine disorders to die early. after the death of chinese mao, the winner of the cultural revolution incidentiality determined the theory of destiny. you are killed by the revolutionary people, and you have a bad personality. your family is beaten as an anti -revolution. you are hateful. you can not be used by me. if you have money without giving me a little money, i will make trouble. this is china's national conditions, and it is also the revolutionary strategic deployment of china ’s triad to spread the world. li ziyi is just a strange product that was excavated by the big boss. the warring states ceremony lu buwei was a model and learning in the bones of the chinese. this also belongs to the use of chinese characteristics. the chinese have not invented and created since ancient times. there are always shortcuts speculative. stealing and imitation of turmoil is used. it is found that talent is the first object to get rich. lu bowei found that it was not what ordinary people could do. the people who found that li ziyi could not protect li ziyi. a rich boss holds a red actor, finds a good script, screenwriter, and the director's excellent team, and officials who buy all aspects of the society of the water and margin are all the skills. ordinary people, you have a small stall on the street, and you must also be very conscious. buy the street bully and local industrial and commercial tax urban management underworld. if you miss a link, you ca n’t make it! don't bully li ziqi overseas. there is a ability to go with the chinese government to ask an official hat. the june 4th riots were a group of red guards yu ni, who failed to speculate in the cultural revolution. this is the characteristic of chinese culture. no rescue.","李子柒是很幸运的人。很幸运的遇到了强大的政治势力的保护。也就是被伯乐发现。不然，李子柒天具有天才演技，也不可能长久地这样如纪录片展示自由自在的发挥个人的天分。李子柒实际已经被成为一个辛勤努力终于强大到了属于某企业演出团队的主角。可以定位李子柒成为一个在强大政治保护伞之下的分公司老板或者是背后强大政治势力的一员真的是命运使然。因此当地恶霸流氓也不敢欺负她。在中国国策现在那样的水浒一摸一样社会风俗的环境，一旦被坏人歹徒瞄准，那就被掠夺被摧残早就寸步难行，直至死亡。李子柒无罪，海外许多民运分子骂李子柒实在有失公允。试问哪一个明星不是在一炮打响之后必须乖乖依靠贿赂保住性命的呢？你有天份？是老板是导演，是投资老大被你的舞台！不然，你狗屁不是！你在水浒社会偶然机会暂露头角之后，稍微不懂事，不会拜码头投靠各个阶层的各个地区的各个行业的恶霸流氓以及贪官污吏，分分钟把你弄进监狱害死你。一落千丈妻离子散比林冲还要凄惨！在中国能活下去已经很幸运。坏人不做坏事心里很痛苦。但是坏人干坏事才快乐。这是中国的民风民俗，在中国单纯心善的人很痛苦。路见不平施予援手的人属于政府严厉打击对象。好管闲事的人属于破坏社会稳定的打击对象。因此单纯心善的人不得不干坏事不得不缺德，因此每日自责悔恨而罹患内分泌失调得怪病早死。中国毛死以后，文革利益获得者发明性格决定命运理论。你被革命群众弄死，是你性格不好。你全家被打成反革命是你有可恨之处。你有才能不被我所用，你有钱不给我一点钱，我就给你捣乱。这是中国国情，也是中国千方百计传播世界的革命战略部署。李子柒不过是一个被大老板挖掘囤积培育的奇货而已。战国策吕不韦是中国人骨头里的楷模和学问。这也属于中国特色的拿来主义。中国人自古不发明创造。投机取巧总有捷径。偷窃仿造捣乱为己所用。发现人才是第一可以拿来发财的物件。吕不韦发现嬴政那可不是一般人能做到的。发现李子柒的人非大鳄也做不到保护李子柒。一个有钱老板捧红一个演员，找好的剧本，编剧，导演组织优秀的团队，恰到好处的买通水浒社会各环节的官吏笔笔都是大本领。普通人活在中国，你就在街边摆一个小摊子，也必须很识相，买通街道恶霸，当地工商税务城管黑社会。缺一个环节就搞不成器！海外民运不要欺负李子柒了。有本事去和中国政府要官帽去。六四暴动就是文革余孽投机中国政治要官失败的一群红卫兵余孽。这是中国文化的特色。没救。共产共妻的社会制度李子柒是很幸运的。

文革后改革开放之前，中国城乡始终保留停留在满清留下来的建筑以及生产生活模式以及状态。邓小平派水鬼从金门接来台湾连长林毅夫，林毅夫一语道破颠覆世界的诀窍。从此中国政府日夜印刷钞票兑换欧元美金。外贸补贴低于成本全球经济侵略摧毁欧美家族工业轻工业从而成为世界最富有的统治集团。独裁集中十四亿人的血汗成为世界霸主。如今欧洲早已经被中国控制。美国已经亡国。中国遍地从四十年前开始，许可农奴进城用命换取微薄的收入。政府故意日夜豆腐渣工程积累最初的农工血汗，到如今朱镕基儿子管控的股市房市，反复猛烈吸纳国奴的血汗！遍地高楼大厦高速交通，忽悠莫名其妙的各类高端消费！试问，哪一块砖瓦属于你的呢？你仅仅是苟活而已！

李子柒是很幸运的人。很幸运的遇到了强大的政治势力的保护。也就是被伯乐发现。不然，李子柒具有天才演技，也不可能长久地这样如纪录片展示的那样自由自在的发挥个人的天分。李子柒实际已经被成为一个辛勤努力终于强大到了属于某企业演出团队的主角。可以定位李子柒成为一个在强大政治保护伞之下的分公司老板或者是背后强大政治势力的一员，真的是命运使然。因此当地恶霸流氓也不敢欺负她。在中国国策现在那样的水浒一摸一样社会风俗的环境，一旦被坏人歹徒瞄准，那就被掠夺被摧残早就寸步难行，直至死亡。李子柒无罪，海外许多民运分子骂李子柒实在有失公允。试问哪一个明星不是在一炮打响之后必须乖乖依靠贿赂保住性命的呢？你有天份？是老板是导演，是投资老大被你的舞台！不然，你狗屁不是！你在水浒社会偶然机会暂露头角之后，稍微不懂事，不会拜码头投靠各个阶层的各个地区的各个行业的恶霸流氓以及贪官污吏，分分钟把你弄进监狱害死你。一落千丈妻离子散比林冲还要凄惨！在中国能活下去已经很幸运。坏人不做坏事心里很痛苦。但是坏人干坏事才快乐。这是中国的民风民俗，在中国单纯心善的人很痛苦。路见不平施予援手的人属于政府严厉打击对象。好管闲事的人属于破坏社会稳定的打击对象。因此单纯心善的人不得不干坏事不得不缺德，因此每日自责悔恨而罹患内分泌失调得怪病早死。中国毛死以后，文革利益获得者发明性格决定命运理论。你被革命群众弄死，是你性格不好。你全家被打成反革命是你有可恨之处。你有才能不被我所用，你有钱不给我一点钱，我就给你捣乱。这是中国国情，也是中国千方百计传播世界的革命战略部署。李子柒不过是一个被大老板挖掘囤积培育的奇货而已。战国策吕不韦是中国人骨头里的楷模和学问。这也属于中国特色的拿来主义。中国人自古不发明创造。投机取巧总有捷径。偷窃仿造捣乱为己所用。发现人才是第一可以拿来发财的物件。吕不韦发现嬴政那可不是一般人能做到的。发现李子柒的人非大鳄也做不到保护李子柒。一个有钱老板捧红一个演员，找好的剧本，编剧，导演优秀的团队，买通水浒社会各环节的官吏都是大本领。普通人，你就在街边摆一个小摊子，也必须很识相，买通街道恶霸，当地工商税务城管黑社会。缺一个环节就搞不成器！海外民运不要欺负李子柒了。有本事去和中国政府要官帽去。六四暴动就是文革余孽投机中国政治要官失败的一群红卫兵余孽。这是中国文化的特色。没救。"
8592,Ugx4hRno9RKdpmZWo-x4AaABAg,1,2 years ago (edited),she's so pretty! ...and talented! <3 your place is beautiful!,她很漂亮！ ...才华横溢！ <3您的位置很美！
14151,Ugx3qBABVgN73wLxwNt4AaABAg,1,2 years ago,"unexpectedly, the all -round talent is a woman ... in a picture -like landscape ... cute dogs ...",在不切实际的情况下，全能的天才是一个女人...在图片中 - 像景观一样...可爱的狗...
50861,Ugy8ps3yYM_3K2NI7_V4AaABAg,1,4 years ago,i am always soo hungry after watchng your video. you really talented. my respect from indonesia,观看您的视频后，我总是很饿。你真的很有才华。我对印度尼西亚的尊重
14846,UgxsQC0dUh-8H6c5-iR4AaABAg,1,2 years ago,"beautiful, talented and hard working lady",美丽，才华横溢且努力工作的女士
31851,Ugx_q7yOr-W6S30E7bl4AaABAg,1,4 years ago,u r too much brave and talented. ๐๐,你太勇敢而有才华。
31729,UgzUhdPYCdd6xPbPV0F4AaABAg,1,4 years ago,she is so talented....her pets are so cute...following her everywhere ๐,她是如此才华横溢。...她的宠物是如此可爱...在任何地方都跟随她
3667,Ugwt08_tbXDCRViGI0N4AaABAg,1,1 year ago,"the snack looks so tasty
the video is so wonderful
smart and talented lady
like the life style of countryside and the video","小吃看起来很美味
视频太棒了
聪明而才华横溢的女士
像乡村和视频的生活方式"
484,UgwMN9LZHstPmnLcLIF4AaABAg,1,3 months ago,i am the one who never tired to watch your video because of your talent your love for grandma but nowadays you makes us worried about late post videos.pls keep continued your job we love you so much,我是那个从不疲倦观看您的视频的人，因为您的才华您对奶奶的热爱，但是您使我们担心后期的帖子视频。
2978,Ugx6QpU6FgugI3EB9j54AaABAg,1,1 year ago,you are so talented ans cute,你是如此才华横溢的ans可爱
2687,UgwRRZIzdugiUXNN2pN4AaABAg,1,1 year ago,"you are the most talented that i have met, apart from beautiful you are very intelligent and hardworking, god always takes care of you, you are a love.",您是我遇到的最有才华的人，除了美丽，您非常聪明和勤奋，上帝总是照顾您，您是爱。
35533,Ugxzbxmy5h3xC_6EoVF4AaABAg,1,4 years ago (edited),"you are very talented and beautiful. cannot stop watching your videos.







think am in love ๐’","你很有才华和美丽。无法停止观看视频。







认为我恋爱了"
702,UgxzrwaRUxXgX-OZICF4AaABAg,1,5 months ago,you are very talented i love you,你很有才华，我爱你
17123,UgxSdgj23uu2hlLcsoF4AaABAg,1,3 years ago,very active and talented chinese girl,非常活跃和才华横溢的中国女孩
45899,Ugzwdeqs57AzTAoMvY14AaABAg.8qzhwIaYWAb8r96fynHPrY,1,4 years ago,she was an ex dj as well. talking about being beautiful and multi talented.,她也是前DJ。谈论美丽而多才华。
37050,UgyEGa7S8OEs6vHDGF14AaABAg.8uKAG1ThWGP8v81oRAqBh6,1,4 years ago,i think she does everything by herself. she is very smart and talented,我认为她自己做了一切。她非常聪明和有才华
37995,UgwVuW23bBBktjofBzh4AaABAg,0,4 years ago,the talented sister is also beautiful ๐๐๐,才华横溢的姐姐也很漂亮
35381,UgxE46Ylfsg-ypS5LeR4AaABAg,0,4 years ago,"china. got talent . 
her husband must be the luckiest guy , to have a wonderful wife like her . this is what i call family .","中国。有才能 。
她的丈夫必须是最幸运的人，要有一个像她这样的好妻子。这就是我所说的家庭。"
35421,UgyIlNkDFoFy949wgSV4AaABAg.8uf_EUKhc8j9H5QXYa3Gpw,0,2 years ago,support this humble family have talent! https://www.youtube.com/watch?v=e19lg2cwmts&t=484s greetings from peru,支持这个谦虚的家庭有才华！ https://www.youtube.com/watch?v=e19lg2cwmts&t=484s问候
35839,UgzNutAjSHmr-AFBTM54AaABAg,0,4 years ago,"she has everything she needs and she has so much talent to use it, she doesn't need money. and i want live of life like this",她拥有所需的一切，并且拥有如此多的才能，她不需要钱。我想要这样的生活
38100,UgwbSaDDgxO-4wSc78F4AaABAg,0,4 years ago,"so pretty and talented.
love this woman๐๐๐","如此漂亮和有才华。
爱这个女人"
35657,UgwRC4ADJQaSLbJMNVl4AaABAg,0,4 years ago,"the girl is very talented, i bet there is nothing she canโ€t do. but the vids are a little bit unrealistic . no one lives like that at a farm. everything is too clean, too tidy. besides there is no actual need to use fire every time you cook. wood-fired oven is better than electric one in many cases, but for frying and boiling you need to be super-expert to use open fire. thus for me it just seems like intentionally making your life harder while not adding any extra-value to the final result. and she never uses neither water lines nor washing machine in the video. this is just absurd: you just can not keep the house as clean without water lines. and animals are so tidy, i bet they are washed and brushed everyday. the vids are very good just as fairytales, but those comments saying about the ยซ real life ยป the girl lives are just killing me",这个女孩很有才华，我敢打赌，她无能为力。但是视频有点不现实。没有人像这样的农场生活。一切都太干净了，太整洁了。此外，每次您做饭时都无需使用火。在许多情况下，燃木烤箱比电动烤箱要好，但是要煎炸和煮沸，您需要超级专家才能使用开火。因此，对我来说，似乎有意使您的生活更加艰难，同时又不为最终结果添加任何额外价值。而且她从未在视频中使用水管也不使用洗衣机。这只是荒谬的：如果没有水管，您就无法保持房屋的干净。动物是如此整洁，我敢打赌它们每天都洗和刷。视频和童话一样很好，但是那些关于“现实生活”的评论是女孩的生活只是在杀死我
35453,UgzjYmuYrur-uwUBvcl4AaABAg,0,4 years ago,what a good content! in my country they should change soap operas for videos like this. what a working and talented girl.,多么好的内容！在我的国家，他们应该为这样的视频更改肥皂剧。真是个工作和才华横溢的女孩。
38326,UgzZm7-chN-czyPrVE14AaABAg,0,4 years ago,"you know so many things that i havenโ€t heard and heard.
your hardwork have made you into multi talented","您知道很多我没听到和听到的事情。
您的努力使您成为了多才华"
38479,Ugx5v8sRL4gPWGuzs6l4AaABAg,0,4 years ago,most ofd channels they are showing talents but here she is showing traditional chinese lifestyle... i love it from tamil nadu,他们表现出才华的大多数频道，但在这里她展示了中国传统的生活方式...我喜欢泰米尔纳德邦
35833,UgxA7fqSFSw88yd25Ql4AaABAg.8u_JCCrPamT9H5Um33eFJa,0,2 years ago,support this humble family have talent! https://www.youtube.com/watch?v=e19lg2cwmts&t=484s greetings from peru,支持这个谦虚的家庭有才华！ https://www.youtube.com/watch?v=e19lg2cwmts&t=484s问候
35616,UgweHSASkhsbdbbec8h4AaABAg,0,4 years ago,she is a very hard working talented young lady. love her videos.,她是一位非常努力的才华横溢的小姐。爱她的视频。
37130,UgwA-4glOyOblf3Vlat4AaABAg.8uJNdG3PRmb9H5UdEFLzrn,0,2 years ago,support this humble family have talent! https://www.youtube.com/watch?v=e19lg2cwmts&t=484s greetings from peru,支持这个谦虚的家庭有才华！ https://www.youtube.com/watch?v=e19lg2cwmts&t=484s问候
36246,Ugw3qr-9--BZV3PyiBJ4AaABAg.8uWwTpNqXib9H5QuEg9XqS,0,2 years ago,support this humble family have talent! https://www.youtube.com/watch?v=e19lg2cwmts&t=484s greetings from peru,支持这个谦虚的家庭有才华！ https://www.youtube.com/watch?v=e19lg2cwmts&t=484s问候
36010,UgyhyXflybsr2hUCb_B4AaABAg.8uYsqKM0ju79H5QoXYsptX,0,2 years ago,support this humble family have talent! https://www.youtube.com/watch?v=e19lg2cwmts&t=484s greetings from peru,支持这个谦虚的家庭有才华！ https://www.youtube.com/watch?v=e19lg2cwmts&t=484s问候
36694,UgylTM1tk7rRFvWtYkJ4AaABAg.8uRIOVFo2EQ9H5QjZVXd1k,0,2 years ago,support this humble family have talent! https://www.youtube.com/watch?v=e19lg2cwmts&t=484s greetings from peru,支持这个谦虚的家庭有才华！ https://www.youtube.com/watch?v=e19lg2cwmts&t=484s问候
37280,UgzsOJw5oLPhjWGBUuR4AaABAg.8uCns5ObPCa9H5Qiguvbfs,0,2 years ago,support this humble family have talent! https://www.youtube.com/watch?v=e19lg2cwmts&t=484s greetings from peru,支持这个谦虚的家庭有才华！ https://www.youtube.com/watch?v=e19lg2cwmts&t=484s问候
