,cid,votes,含respect,含respect中文翻译
38905,UgxOqWcCP9ANHogw_eF4AaABAg,0,"what is islam?
can we find an explanation of the great universe? is there any convincing interpretation of the secret of existence? we realize that no family can function properly without a responsible head, that no city can prosperously exist without sound administration, and that no state can survive without a leader of some kind. we also realize that nothing comes into being on its own. moreover, we observe that the universe exists and functions in the most orderly manner, and that it has survived for hundreds of thousand of years. can we then say that all this is accidental and haphazard? can we attribute the existence of man and the whole world to mere chance. โ€ man represents only a very small portion of the great universe. and if he can make plans and appreciate the merits of planning, then his own existence and the survival of the universe must also be a planned policy. this means that there is an extraordinary power to bring things into being and keep them moving in order.in the world then must be a great force in action to keep everything in order. in the beautiful nature there must be a great creator who creates the most charming pieces of art produces every thing for a special purpose in life. the deeply enlightened people recognize this creator and call him allah ""god"". he is not a man because no man can create or make another man. he is not an animal, nor he is a plant. he is neither an idol nor is he a statue of any kind because non of these things can make itself or create anything else. he is different from all these things because he is the maker and keeper of them all. the maker of anything must be different from and greater than things which he makes.โ€ there are various ways to know god ""allah'' and there are many things to tell about him. the great wonders and impressive marvels of the world are like open books in which we can read about god. besides, god himself comes to our aid through the many messengers and revelations he has sent down to man. these messengers and revelations tell us everything we need to know about god. โ€ the complete acceptance of the teachings and guidance of god 'allah' as revealed to his messengers muhammad is the religion of islam. islam enjoins faith in the oneness and sovereignty of allah, which makes man aware of meaningfulness of the universe and of his place in it. this belief frees him from all fears and superstitions by making him conscious of the presence of the almighty allah and of man's obligations towards him. this faith must be expressed and tested in actions, faith alone is not enough. belief in one god requires that we look upon all humanity as one family under the universal omnipotence of god the creator and nourisher of all. islam rejects the idea of chosen people, making belief in god and good actions the only way to heaven. thus, a direct relationship in established with god, without any intercessor.โ€ islam is not a new religion. it is, in essence, the same message and guidance which allah revealed to all prophets. adam, noah, abraham, ismael, david, moses and jesus (pbut). but the message which was revealed to prophet mohammed (pbut) is islam in its comprehensive, complete and final form.the quran is the last revealed word of allah and the basic source of islamic teachings and laws. the quran deals with the basis of creeds, morality, history of humanity, worship, knowledge, wisdom, god-man relationship, and human relationship in all aspects. comprehensive teaching on which, can be built sound systems of social justice, economics, politics, legislation, jurisprudence, law and international relations, are important contents of the quran. hadith, the teachings, sayings and actions of prophet mohammed (pbut), meticulously reported and collected by his devoted companions. explained and elaborated the quranic verses.โ€ the fundamental articles of faith in islam the true faithful muslim believes in the following principal articles of faith:- โ€ he believes in one god 'allah', supreme and eternal, infinite and mighty, merciful and compassionate, creator and provider. he believes in all messengers of god without any discrimination among them. every known nation had a warner or messenger from god. they were chosen by god to teach mankind and deliver his divine message. the quran mentions the name of twenty five of them. among them mohammad stands as the last messenger and the crowning glory of the foundation of prophethood. muslin believes in all scriptures and revelations of god. they were the guiding light which the messengers received to show their respected peoples the right path of god. in the quran a special reference is made to the books of abraham, moses, david and jesus. but long before the revelations has been lost or corrupted. the only authentic and complete book of god in existence in the quran. the true muslim believes in the angels of allah. they are purely spiritual and splendid beings whose nature requires on food, drink or sleep. they spend their days and nights in the worship of god. muslim believes in the last day of judgement. this world will come to an end someday, and the dead will rise to stand for their final and fair trial. people with good records will be generously, rewarded and warmly welcomed to the heaven of allah, and those with bad records will be punished and cast into hell. muslim believes in the timeless knowledge of god and his power to plan and execute his planes and nothing could happen in his kingdom against his will. his knowledge and power are in action at all times and command over his creation. he is wise and merciful, and whatever he does must have a meaningful purpose. if this is established in our mind and hearts, we should accept with good faith all that he does, although we may fail to under stand it fully, or think it is bad. the five pillars of islamโ€ faith without actions arid practice is a dead end, as far as islam is concerned. faith by nature is very sensitive and can be most effective. when it is not out of practice or out of use, it quickly loses its liveliness and motivation power. there are five pillars of islam:โ€ the declaration of faith: to bear witness that there is none worthy of worship except allah, and that mohammad (pbuh) is his messenger to all human beings till the day of judgment. the prophethood of mohammad obliges the muslims to follow, his exemplary life as a model. prayers: daily, prayers are offered five times a day as a duty towards allah. they strengthen and enliven the belief in allah and inspire man to a higher morality. they purify the heart and prevent temptation towards wrong - doings and evil. fasting the month of ramadan. the muslims during the month of ramadan not only abstain from food, drink and sexual intercourse from dawn to sunset but also sincerity and devotion. it develops a sound social conscience, patience, unselfishness and will - power. zakkah: the literal and simple meaning of zakkah is purity. the technical meaning of this word designates the annual amount in kind or coin which a muslim with means must distribute among the rightful beneficiaries. but the religious and spiritual significance of zakkah is much deeper and more lively. so it has humanitarian and sociopolitical values. hajj (pilgrimage to makkah): it is to be performed once in a lifetime, if one can afford it financially and physically","什么是伊斯兰教？
我们可以找到大宇宙的解释吗？对存在秘密有令人信服的解释吗？我们意识到，没有负责任的头脑，没有一个家庭可以正常运作，没有任何城市就可以在没有合理的管理的情况下繁荣，没有某种领导者就无法生存。我们还意识到，没有任何东西可以自己。此外，我们观察到宇宙以最有序的方式存在和功能，并且它已经幸存了数十万年。然后，我们可以说所有这些都是偶然而偶然的吗？我们可以将人和整个世界的存在归因于机会吗？人只代表大宇宙的一小部分。而且，如果他可以制定计划并欣赏计划的优点，那么他自己的存在和宇宙的生存也必须是计划的政策。这意味着有非凡的力量将事物带入生存并保持它们的秩序。在世界上，必须是使一切保持秩序的重要力量。在美丽的大自然中，必须有一个伟大的创造者，他创造了最迷人的艺术作品，为人生的特殊目的而产生了所有东西。深深的人认识到这个创造者，并将他称为“上帝”。他不是一个男人，因为没有人可以创造或创造另一个男人。他不是动物，也不是植物。他既不是偶像，也不是任何形式的雕像，因为这些事情中的任何东西都能使自己造就或创造其他任何东西。他与所有这些事情有所不同，因为他是所有人的制造商和守护者。任何事物的创造者都必须与他所做的事情不同。有多种认识上帝的方式“真主”，还有很多关于他的事情要说的事情。世界上的奇迹和令人印象深刻的奇迹就像开放我们可以阅读关于上帝的书籍。此外，上帝本人通过他寄给人的许多使者和启示来援助我们的援助。这些使者和启示告诉我们我们需要了解的关于上帝的一切。完全接受向他的使者穆罕默德揭示的上帝“真主”的教义和指导是伊斯兰教的宗教。伊斯兰教禁止对真主的统一和主权信仰，这使得人意识到宇宙的有意义和他在其中的意义。这种信仰自由。他从所有的恐惧和迷信中意识到全能真主的存在以及人对他的义务的存在。人类是一个家庭，在上帝的普遍无所不能下，都是所有人的创造者和滋养者。伊斯兰教拒绝选择人民的想法，使对上帝的信仰和善行的信仰成为通往天堂的唯一途径。因此，在没有任何代祷者的情况下与上帝建立的直接关系。伊斯兰教不是一种新宗教。从本质上讲，这是真主向所有先知透露的相同的信息和指导。亚当，诺亚，亚伯拉罕，伊斯梅尔，大卫，摩西和耶稣（pbut）。但是向先知穆罕默德（PBUT）揭示的信息是伊斯兰教的全面，完整和最终的形式。《古兰经》是安拉的最后一个揭示的话，也是伊斯兰教义和法律的基本来源。古兰经涉及信条，道德，人类历史，崇拜，知识，智慧，神人的关系和人类关系的基础。可以在其中构建社会正义，经济学，政治，法学，法律和国际关系的全面教学，这是古兰经的重要内容。圣训，先知穆罕默德（PBUT）的教义，俗语和行为，由他的虔诚同伴精心报告和收集。解释并阐述了古兰经诗句。伊斯兰教信仰的基本文章真正忠实的穆斯林相信以下主要的信仰文章： - 他相信一个神的“阿拉”，至高无上，永恒，无限，无限，强大，仁慈，慈悲，富有同情心，创建者和提供商。他相信上帝的所有使者，而没有任何歧视。每个已知的国家都有来自上帝的华纳或信使。上帝被上帝选中教人类并传达他的神圣信息。古兰经提到了其中25个名称。其中，穆罕默德（Mohammad）站在了最后一个使者和预言基础的荣耀。平纹细布相信上帝的所有经文和启示。他们是使者收到的指导光，向他们尊敬的民族展示了上帝的正确道路。在古兰经中，特别提到了亚伯拉罕，摩西，大卫和耶稣的书。但是很久以前，启示已经丢失或腐败。古兰经中唯一的真实而完整的上帝。真正的穆斯林相信真主的天使。它们纯粹是精神和灿烂的生物，其性质需要食物，饮料或睡眠。他们白天和黑夜都在敬拜上帝上。穆斯林相信审判的最后一天。这个世界将有一天结束，死者将为他们的最后和公正的审判而崛起。拥有良好记录的人将受到慷慨，回报和热烈欢迎真主的天堂，那些记录不良的人将受到惩罚并陷入地狱。穆斯林相信对上帝的永恒知识以及他计划和执行他的飞机的能力，他的王国在他的意愿中没有任何事情发生。他的知识和力量在任何时候都在行动，并为他的创造而指挥。他是明智而仁慈的，他所做的一切都必须具有有意义的目的。如果在我们的思想和心灵中建立这一点，我们应该真诚地接受他所做的一切，尽管我们可能无法完全站立，或者认为这是不好的。就伊斯兰教而言，伊斯兰信仰的五个支柱无需采取行动。信仰天生非常敏感，可以最有效。当它不执行或无法使用时，它很快就会失去活力和动力。伊斯兰教有五个支柱：信仰宣言：见证，除了阿拉以外，没有什么值得敬拜的，而穆罕默德（pbuh）是他在审判日之前向所有人传播的使者。穆罕默德（Mohammad）的预言使穆斯林不得不遵循他的模范生活。祈祷：每天，每天祈祷五次作为对真主的责任。他们加强并充实了对真主的信仰，并激发了人类更高的道德。他们净化心脏并防止对错误的诱惑 - 行为和邪恶。禁食斋月月。在斋月月，穆斯林不仅避免了从黎明到日落的食物，饮料和性交，而且还要诚意和奉献。它发展出合理的社会良心，耐心，无私和意志 - 力量。 Zakkah：Zakkah的文字和简单含义是纯度。这个词的技术含义指定了穆斯林必须在应有的受益人中分配的年度金额或硬币。但是Zakkah的宗教和精神意义更加深入，更加生动。因此，它具有人道主义和社会政治价值观。朝j（前往麦加朝圣）：一生将进行一次，如果可以在财务上和身体上负担得起"
11082,UgwSIOIIMrQW7vFw3N54AaABAg,0,my respects,我的尊敬
38680,UgzqTTnzNFhvTEDVRN14AaABAg,0,"omg guys do you know that she make videos by herself? 
check this out https://youtu.be/3rgkrjkrhto
she is so incredibly amazing, i salute u li ziqi, you are amazing ๐’–๐
my respect for you raised more. love ya","天哪，你知道她自己制作视频吗？
查看此内容https://youtu.be/3rgkrjkrhto
她真是太神奇了，我向你致敬，你很棒，你真了不起。
我对你的尊重更多。爱你"
38641,UgwQoNX2thl6BoiWAUh4AaABAg,0,"powerful production team, powerful procurement and marketing team, very good! if the heroine is more respectful to the ingredients, it will be more perfect ... i wish the business prosperous ...",强大的制作团队，强大的采购营销团队，非常好
11688,Ugx4k6TRKI9Lx9UDh-94AaABAg,0,"wow, incredible, i really enjoy ts videos and your passion to cook and respect a lot of the hard work that involves living in the field!",哇，令人难以置信，我真的很喜欢TS视频和您对烹饪和尊重许多涉及生活的辛勤工作的热情！
38587,UgxiRNumLwX8CgN4JpN4AaABAg,0,my respect for you woman ...,我对你的女人的尊重...
37873,Ugx96nmEjMuRBOZJfKF4AaABAg.8tlyuvqiSVV8uCDaiLDHMU,0,"this is part of chinese culture. respect the elder, take care of them when they get old.",这是中国文化的一部分。尊重长者，当他们变老时照顾好他们。
46335,UgzlK4FQmIyfmacXZe14AaABAg.8qvCvfDz1418rLHoZejC7P,0,"@user-hj7dn5sz7i can not give the chinese benefits, and it cannot allow foreigners to be in chinese high schools. in foreign countries, if the bridge and road only collect the chinese fees, and the other races are free, it is discrimination against chinese races. why can the chinese government discriminate against the chinese so vividly? why should foreigners take high schools in the land of china? you are willing to endure it is your choice. but whether china or abroad, such a boldness to be unfair to the chinese should resist to the end. the chinese government does not take the chinese seriously, and foreign countries will not take the chinese seriously. it doesn't matter if you choose as long as you choose to be economical, when slavery is disrespectful, it is your choice. as a chinese, i can work hard, but it is absolutely not allowed to put me in a place below foreigners. when in france, the flight attendants and me and two of the other two koreans got off the plane, and we were resolute. in china, the aircraft is also chinese, and i will first ask why they are not foreigners. this is the dignity of living. the chinese government suppresss the rights of the chinese, and you can tolerate it, which does not mean that we have to endure",@user-hj7dn5sz7i 可以不给中国人福利，那也不能让外国人在中国高中国人一头。在国外，如果桥和道路只收中国人的费，而对其他种族免费，那就是对中国人种的歧视。凭什么中国政府能这么明目张胆的歧视中国人？凭什么在中国的土地上，外国人要高中国人一等？你们愿意忍受是你们的选择。但是无论中国还是国外，如此明目张胆的对中国人不公平，就应该反抗到底。中国人的政府都不把中国人当回事，外国更不会把中国人当回事。如果说你们选择只要经济好，当奴隶被不尊重都无所谓，那是你们的选择。我做为中国人，我可以努力工作，但是绝对不允许任何国家地区，把我放在低于外国人一等的地位上。在法国的时候，乘务员撵我和另外两个韩国人下飞机，我们也坚决不下。在中国，飞机同样撵中国人，我首先就会质问为何不撵外国人，这就是自己要活得有尊严。中国政府打压中国人的权利，你们能忍受，不代表我们也得忍受
22921,Ugy4QKtD9cbzrOoUVFd4AaABAg.92dymxS8pg1930w5CO9w7U,0,"@wyattjia3202 dogs, like other animals eaten in the west by people, are considered as one of the meat sources in east asia. do respect other peoples habits and tradition! there are many rules in this world; none of it is right for all peoples.",@wyattjia3202狗和西方在西部食用的其他动物一样，被认为是东亚的肉类来源之一。尊重其他民族的习惯和传统！这个世界上有很多规则。所有这些都不适合所有民族。
46486,UgyHFVmuwi4hwsEnC314AaABAg,0,absolutely with respect,绝对尊重
50050,UgwskEGidU9luvrNW3d4AaABAg,0,very talented young lady! it is wonderful how she cares and respects grandmother!,非常有才华的小姐！她如何关心和尊重祖母真是太好了！
52585,Ugwakm4vb5YaoJsIl2Z4AaABAg,0,respect from egypt beautiful girl,尊重埃及美丽的女孩
52101,UgweZ7nGrG_cN0YAUDF4AaABAg,0,"your video so nice and amazing. i saw about 20 videos or more within 2 days. 
you are so cute, beautiful, creative, strong girl and i love the way you take care of your grandmother.
love and respect you from vietnam.","您的视频真是太好了。我在2天内看到了大约20个视频或更多视频。
你是如此可爱，美丽，富有创造力，坚强的女孩，我喜欢你照顾祖母的方式。
爱和尊重你的越南。"
1370,Ugxw5KoP02R-NCgXAJx4AaABAg,0,"these are very rare kind of women ,, respect ,๐๐๐๐๐",这些是非常罕见的女性，尊重，
1584,UgxwscC10HT4BYh4tsl4AaABAg,0,"hello, i present the general director of the humanoid family of native americans in all parts of the
world 
we are advanced ...
these religious laughed, mocked laughter of how the natives die for doing all of them happily ... we give our life and never respect us or listen to us 
it is the time of world -world native students and we will be paid to study 

to the natives we become more money than you use owes to china","您好，我介绍了美洲原住民的人类家族的总董事
世界
我们先进...
这些虔诚的笑声，嘲笑的笑声，对当地人为了幸福地做所有人而死……我们付出了生命，永远不要尊重我们或听我们的话
这是世界上的时代 - 世界本地学生，我们将获得付费学习

对于当地人来说，我们比您使用的欠中国更多的钱"
1585,Ugwzh5OpkMKZCL_lJaB4AaABAg,0,"hello, i present the general director of the humanoid family of native americans in all parts of the
world 
we are advanced ...
these religious laughed, mocked laughter of how the natives die for doing all of them happily ... we give our life and never respect us or listen to us 
it is the time of world -world native students and we will be paid to study 

to the natives we become more money than you use owes to china","您好，我介绍了美洲原住民的人类家族的总董事
世界
我们先进...
这些虔诚的笑声，嘲笑的笑声，对当地人为了幸福地做所有人而死……我们付出了生命，永远不要尊重我们或听我们的话
这是世界上的时代 - 世界本地学生，我们将获得付费学习

对于当地人来说，我们比您使用的欠中国更多的钱"
51607,UgxcIBPRFBde4DspmW54AaABAg,0,i can't understand your language but i still love you bcz you respect and obey your parents allah bless you friend do yor best,我听不懂你的语言，但我仍然爱你bcz你尊重你，服从你的父母阿拉祝福你的朋友你最好
50967,UgwSiBhXSB7Zx14kH4t4AaABAg,0,"admittedly, she has my respect and admiration",诚然，她受到我的尊重和钦佩
2831,Ugwv9x_ZFvKCIWUavIl4AaABAg,0,"my respect and admiration, young, beautiful and very hardworking and loving with their mother or grandmother i don't know, but everything is very nice",我的尊重和钦佩，年轻，美丽，非常勤奋，我不知道的母亲或祖母，但一切都很好
50825,UgwdLVx_bOeWhbHnmYR4AaABAg.8qlcoNRWidL8qlnVHWkkJD,0,"@unicornrose2600 bravo on you understand me --- accept all love, greeting and respect",@unicornrose2600 bravo on你了解我---接受所有的爱，问候和尊重
50806,Ugy93437Iiwwo5e6Thh4AaABAg,0,you deserved so much love and respect ♥️ god blessed to you and your family #sunshine #keepdoingthework,你应该得到如此多的爱与尊重♥♥上帝祝福你和你的家人#sunshine＃
50677,UgxZO1GIspzFljujB2d4AaABAg,0,"simply fantastic as always! unbelievably great. but why this distracting not fitting music? your wonderful videos with pure working/cooking sounds are much better in my opinion respectively for my kind of taste. nevertheless: thanks a lot for making, taping, editing, uploading and sharing.",一如既往的奇妙！令人难以置信的很棒。但是为什么这种分散注意力不适合音乐呢？在我看来，您对我的品味分别使用纯净的工作/烹饪声音的视频分别更好。但是：非常感谢您的制作，录音，编辑，上传和共享。
50070,UgyqlJDuUAgSQvviiaN4AaABAg.8qlq2wk98Uh8qmFiods2iu,0,"you must be high, and you must know that the man who pays respect, care, filial piety, and cherish this woman can do it. on the contrary, there are many examples that men do not practice.",必须才高八斗，懂付出尊重、关心、孝心、惜缘此女子的男子得之，反之，男子无修为即得而后离的例子多的是。
6530,UgyJyyKcgJp_QHpdfxx4AaABAg.9LnI29BEJ9n9LnriKtmJ2x,0,discrimination against others does not be more respected.,对他人的歧视并没有得到更尊重。
8498,Ugx8nDbIRWVQw5hU3ht4AaABAg,0,"please respect that china itself has a kimchi culture. if you don't want to see his video, leave right now.
narrow democracy only makes koreans hate from other countries.
there are 18 million koreans in china, and do you admit that chinese koreans share the same traditional culture as koreans? .
in china, there are dozens of kimchi soaked in china.
we are not worth lying to you, and narrow nationalism makes you unable to see this.","请尊重中国本身具有泡菜文化。如果您不想看他的视频，请立即离开。
狭窄的民主只会使韩国人仇恨其他国家。
中国有1800万韩国人，您是否承认中国韩国人与韩国人有着相同的传统文化？
在中国，中国浸泡了数十个泡菜。
我们不值得向您撒谎，狭窄的民族主义使您无法看到这一点。"
6792,UgwIPfgma3YyYddxXul4AaABAg,0,the most beautiful place of china your home ...i enjoy your ability to make delicious food...whit all my respect i love you liziqi ...from los angeles ca.,中国最美丽的地方您的家...我很喜欢您制作美味的食物的能力...我的尊重，我爱你Liziqi ...来自洛杉矶CA。
49016,UgwU1jti9D4aqimFkc14AaABAg,0,much respect for the hard work. loved the puppies.,非常尊重辛勤工作。爱小狗。您的视频非常放松。感谢你！）
48726,Ugy2U8ary2__maB0fk94AaABAg,0,"real great .... very all i respect for you and funny is 2 puppy with 1 shelves baby that you don't always go with you because you are family everything is dear, u grandma really funny woman and dear grandma, gbu.",真是太好了。...我非常尊重你，有趣的是2个小狗，有1个货架宝贝，你并不总是和你一起去的，因为你是家人，你是亲爱的，你奶奶真的很有趣的女人和亲爱的奶奶，gbu。
48448,UgxUawoD5AbWGup7kph4AaABAg,0,it is beautiful to see the form in which nature respects,看到大自然尊重的形式很美
7867,UgwzC9fNLZTznyaSAf14AaABAg,0,greetings you are a great woman i admire and respect you,问候你是一个伟大的女人，我敬佩并尊重你
48283,UgwBblU4QoNakBytV7p4AaABAg.8qnEvWoqSAp8qpmqIGz7eE,0,"i enjoy her vids as much as the next. but to say that she brings hope to peace on earth is just plain stupid. she is human. i don't know her as a person and i don't need to. she makes awesome vids and i respect her for that. whatever she does besides this, is her choice and her life. you want the world to be better? start with yourself.",我和下一个一样喜欢她的视频。但是要说她给地球上的和平带来了希望，这简直是愚蠢的。她是人类。我不认识她，我不需要。她做了很棒的视频，我为此尊重她。除此之外，她的选择是她的选择和生活。您希望世界变得更好吗？从自己开始。
48168,UgwN-AnPAyD7T3K7vCl4AaABAg,0,i respect you so much,我非常尊重你
47576,UgyEX3cU-VvRjJertpZ4AaABAg,0,i've so much respect for this kind of life. hard but heavenly,我非常尊重这种生活。艰难但天堂
47126,UgxNPoBgxGN-AkRZtLh4AaABAg,0,respect ... pavelia salut,尊重... Pavelia Salut
46872,Ugzy9Ytt29Kbh9V16id4AaABAg.8qr3JM5GtN28u2-2zNhsVb,0,"if the eyes have no tears, the soul will have no rainbow. we all need to protect and respect our nature. all the hard work of maintaining intact is to thank others for enjoying the priceless gifts for the free gift to everyone. if we learn to love each other, let us see and breathe happier",如果眼睛没有眼泪，灵魂将没有彩虹。我们都需要保护和尊重我们来自的本性。保持完好无损的一切努力都是为了感谢别人享受免费赠送给所有人的无价礼物。如果我们学会彼此相爱，让我们看到并呼吸更快乐
37638,UgxqT94CR2Af1u0I0RZ4AaABAg,0,this is what we call food respect .,这就是我们所说的食物尊重。
8364,UgzXCNyyV1ePMjwxzqJ4AaABAg,0,a cook. housekeeper. farmer. fluent in carpentry and furniture making. these qualities do not meet in one person except rarely. all the love and respect for you,一名厨师。管家。农民。流利的木工和家具。这些素质除了很少的人以外，没有一个人会遇到。对你的爱和尊重
37791,UgyQ1z1W-O1j3Amvzd94AaABAg,0,"i really love and respect ur liziqi, i am much impressed to see the spirit of ur work...you are too much found of ur work... you are too much much more hardworking girl... i hope my daughter will same like that you in home works and also perfect mangable like that you... we love you and inspired all of urs works.. ๐ ๐ ๐",我真的很喜欢和尊重ur liziqi，看到你的工作精神给我留下了深刻的印象...你对你的工作太多了...你太勤奋的女孩了...我希望我的女儿能一样像您一样，您在家中的作品，也像您一样完美的可操作...我们爱您，并启发了所有Urs的作品。
13792,Ugz3VE9XKSoKGQ0e8Mt4AaABAg,0,hello friend greetings and thanks for sharing your respect,你好朋友问候，感谢您分享您的尊重
37548,UgxIyStOXkHvnACcGbJ4AaABAg,0,"wow!! such a beautiful lifeโฅ๏ธ
respect๐‘๐ป","哇！！如此美好的生活♥谢
尊重"
13617,UgzaW0f772Fpf0dVGZl4AaABAg,0,"yes, of course you can so !!! well damn guys 10 million subscribers !!! you can work. and cook and paint linen, but generally smart, found a gold mine ... respect ... china steers ...",是的，当然可以！！！该死的家伙1000万订户！！！你可以工作。烹饪和油漆亚麻，但通常很聪明，找到了一个金矿...尊重...中国转向...
30202,Ugwq1Z6Tc3KKy85dhVl4AaABAg,0,"very relaxing video... 
respect the girl... bravo๐‘","非常轻松的视频...
尊重女孩...勇敢"
29860,UgzwLAANTk5m3qE9Vcp4AaABAg.8xSycDswmB_8xc5ndyfy85,0,"@ahmedyahya414 cool place 
respect your people and the history","@ahmedyahya414很酷的地方
尊重你的人民和历史"
20035,UgzbFiamheQ9fPpKahR4AaABAg,0,she respect love care nature .... nature gives back evrything to her ...happy valentine's princess liqizi ๐’,她尊重爱心自然。
29388,Ugwnr8vJygE3ZNzd92t4AaABAg,0,vietnamese you have a great wife ..... please respect,越南人你有一个很棒的妻子.....请尊重
28744,UgxJ4HFEJRd5JAreoFt4AaABAg.8yK5WwEWiTZ8yQRskJjtVt,0,respect from poland,来自波兰的尊重
28303,UgwVYwI8Xgj0-5HKCUR4AaABAg,0,i respect your life. beautiful,我尊重你的生活。美丽的
20366,UgyYLOxRcDpUjCv7GQl4AaABAg,0,"this place is my fantasy world. every fruit, veggies and livestock is around her. more over it seems quite, peaceful, and amazingly beautiful. who ever married this woman and living with her in this place already claimed heaven. 
liz is one of a kind. much respect! blessings!","这个地方是我的幻想世界。她周围的每个水果，蔬菜和牲畜都在她身边。更加超越，看起来很宁静，令人惊讶。曾经与这个女人结婚并与她一起住在这个地方的人已经宣称天堂。
丽兹是一种。非常尊重！祝福！"
20889,UgwuJ_YW2yLFybvZ1E54AaABAg,0,"you are so young and so wise and manual that you get really embarrassed that we live in the same world and most of us do nothing, but nothing at all! respect for your work and good luck! greetings from hamburg!",您是如此的年轻，如此明智，手动，以至于您真的很尴尬，我们生活在同一个世界中，我们大多数人什么也不做，但根本什么也没做！尊重您的工作和祝您好运！汉堡的问候！
27575,UgzrdQAr7Sycw4y-zVJ4AaABAg,0,"very respectable, a girl is too talented..โค๏ธ๐’๐’",非常受人尊敬，一个女孩太有才华了。
21412,Ugx-KnYYPoQ1XL7PNlJ4AaABAg,0,"your videos, the production, your spirit, your lifestyle, the way you love your elders and animals, and the way you respect the earth, it gives me great peace, serenity, and i feel nothing but love from watching your videos. thank you for sharing, my friend! sending great love from dallas, texas, usa. ๐’",您的视频，制作，精神，生活方式，您爱长者和动物的方式以及您尊重地球的方式，它给了我极大的和平，宁静，我除了观看视频而没有爱。谢谢您的分享，我的朋友！从美国德克萨斯州达拉斯发出伟大的爱。
21615,Ugxl04psn6EJIlonuWN4AaABAg.93Turk74VEU93Ve6Q5QGnw,0,"@sofiamidkiff7644 www.ncbi.nlm.nih.gov/pmc/articles/pmc4808959 then search popcorn on that article. it says as traditional popcorn machines in china are made from lead alloy and high temperatures cab release lead vapors, the lead levels in chinese traditionally made popcorn can be elevated. meant no disrespect as i have eaten it too until i got a closer look at the machine and learned more",@sofiamidkiff7644 www.ncbi.nlm.nih.gov/pmc/articles/pmc4808959，然后在该文章中搜索爆米花。它说，由于中国的传统爆米花机是由铅合金制成的，驾驶室释放铅蒸气，因此中国传统上制造的爆米花的铅含量可以提升。在我仔细观察机器并学到更多之前，我也没有尊重它，因为我也吃了它
22202,UgwN9GRKo8WjncOXJhh4AaABAg,0,"the heart is clever, deserves respect",心灵手巧 ，值得尊敬
26537,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy9BXPTpO0VWc,0,god is love just love yourself and others. everyone needs love. love is the creation. love is everything. do every little good things. all big things are made by little things. respect good little things and little hopeful thoughts.,上帝是爱只是爱自己和他人。每个人都需要爱。爱是创造。爱是所有。做所有的好事。所有大事都是由小事做的。尊重好的小事和几乎没有希望的想法。
22912,Ugy4QKtD9cbzrOoUVFd4AaABAg.92dymxS8pg192tZHP9AiQM,0,"@priscillayang499 why you so care about the other's mind, so scared of the attacker? you couldn't get any respect if don't have strong self-confidence. i never eat dogs, but i admit that eating dogs is also part of our chinese traditional culture, especially very popular in the yulin city of guangxi province, i respect their culture. if others don't respect our culture and attack us with this culture, of course, i will defend my honor.",@priscillayang499为什么您如此关心对方的想法，如此害怕攻击者？如果没有强大的自信心，您将无法得到任何尊重。我从来没有吃过狗，但我承认吃狗也是我们中国传统文化的一部分，尤其是在尤林市广西省非常受欢迎，我尊重他们的文化。当然，如果其他人不尊重我们的文化并用这种文化攻击我们，我将捍卫自己的荣誉。
26157,UgwQdehRp_7a7Gz3Xz94AaABAg.8zoNNAQmde-9-Ufq9EG2Qc,0,"because of there have so many people who can not see the kindness, pure and beauty, instead of darkness, evil, calumniate & disrespect. they can not even appriciate the life, full with the hatred. not a normal human being, we can not understand at all. just ingoring them. ๐",因为有很多人看不到善良，纯洁和美丽，而不是黑暗，邪恶，沮丧和不尊重。他们甚至无法充满仇恨的生活。不是一个普通的人，我们根本无法理解。只是收集它们。
26149,UgwQdehRp_7a7Gz3Xz94AaABAg.8zoNNAQmde-9-TOMF7SYno,0,"่ฐขๆ— ่จ€ i've subscribed to this channel two months ago, and i was randomly scrolling through my feed and decided to rewatch couple of her videos in her channel.
before this, i watched two long video documentaries about how chinese life in rural areas are. most of them are about children living alone, taking care of their siblings and managing livestock/farm while parents work in the city to earn money since opportunities are not enough in the countryside.
i do get your point about the whole production/business part and that there's a so-called ugliness behind the camera. though i admit, her videos about cooking inspire me and gives me comfort.
i grew up and live alone in an apartment in the city, i have always desired to live someplace like what she's showing us in her videos. i guess my whole point is yes, it may be ugly as you say behind the scenes, (hardships and all) but then again, living is full of challenges. still, i respect your opinion.","谢无言我两个月前订阅了此频道，我正在随机滚动我的供稿，并决定在她的频道中重新观看她的视频。
在此之前，我观看了两张有关中国在农村地区生活的漫长视频纪录片。他们中的大多数是关于一个独自生活的孩子，照顾兄弟姐妹和管理牲畜/农场，而父母在城市工作以赚钱，因为在农村的机会还不够。
我确实明白了您对整个生产/业务部分的观点，并且相机背后有一个所谓的丑陋。尽管我承认，她的烹饪视频激发了我的灵感，并给了我安慰。
我长大，独自生活在城市的公寓里，我一直希望住在某个地方，就像她在视频中向我们展示的那样。我想我的全部要点是，正如您在幕后所说的那样，这可能很丑陋（艰辛和所有），但再说一次，生活充满了挑战。不过，我尊重您的意见。"
25933,UgwdqNG_AbOyxRhKPyZ4AaABAg,0,i think that its awesome how she does so much for her grandmother. you can see how much she loves and respects her. i wish more people would treat their elders so kindly.,我认为她如何为祖母做很多事情。您可以看到她有多爱和尊重她。我希望更多的人能如此友善地对待他们的长者。
