,cid,votes,time,含great,含great中文翻译
18233,UgzsHZsR0J2sPs3rcJV4AaABAg.92Z2Qf802hp92iKsl8hxIr,2,3 years ago,"@lucychan2822 if you do not like spicy food, i suggest you to try the food of guangdong or shanghai. china has so many great food, but as a chinese, i cant get used to some of them too. you need to find your love one.",@lucychan2822如果您不喜欢辛辣食物，我建议您尝试广东或上海的食物。中国有很多美味的食物，但作为中国人，我也不能习惯其中一些食物。您需要找到自己的爱。
827,UgxTmj_ofeSXahyJ8RF4AaABAg,2,10 months ago,"i am very happy for the enthusiastic audience of this channel. i'm watching this li ziyi channel, from 5 million subscribers to 17 million now .. it's great

i am your fan five years ago","我为这个频道的热情观众感到非常高兴。我在看这个李子柒频道，从订阅人数还是500万到现在1700万..太棒了 

我是你五年前的粉丝"
25662,Ugx31-YFSs1KmSZ6Uyl4AaABAg,2,3 years ago,"nobody;
youtube; recommend this on my youtube 

but its a great video♥️♥️","没有人;
YouTube;在我的YouTube上推荐这个

但是它的一个很棒的视频♥谢♥♥"
18611,Ugw-4ZcCGQMb7Of6XvF4AaABAg.92QSySm3B1D92cbocOpMqD,2,3 years ago,"nationalism always finds its place and pride in patriotism, i may love china, but never because of communism or some certain regime, and the so-called great political leaders only exist in highlighted profile on tv or in books with perfect iamges, while in fact most chinese even don't know who are in charger as their local chief government ofiicers, let alone meeting them face to face, and everything about great leaders are from the elaborated official publicity, since no one is allowed to comment on them in a negative tone in china publicly. anyway, it's my personal experience, observation and perspectives based on my current decades of life in china. the point is that you can love or be in favor of some politicians or political ideology, but you can't represent all the population or force others to believe in only one political doctrine, for you can only stand for your ownself, while other people should have their rights to have their own sayings and stances at their free will.",民族主义总是找到自己对爱国主义的地位和自豪感，我可能爱中国，但从来没有因为共产主义或某些政权，而所谓的伟大的政治领导人只有在电视上或具有完美iamges的书籍中存在于强调的个人资料中，而实际上大多数中国人甚至都不知道谁是当地的首席政府，更不用说面对面与他们会面，而关于伟大领导人的一切都来自详细的官方宣传公开中国的语气。无论如何，这是我的个人经验，观察和观点，基于我目前在中国的生命。关键是您可以爱或赞成某些政治家或政治意识形态，但是您不能代表所有人口，也不能强迫他人仅相信一种政治学说，因为您只能代表自己，而其他人应该有权自由意志拥有自己的言论和立场。
32821,Ugz3wSiuNu2iWAiw80B4AaABAg,2,3 years ago,"i bet her life is so peaceful... yet again she is a great role model for all of us in this materialistic world...
proud of her..... i thank youtube for recommending this channel to me..","我敢打赌，她的生活是如此和平...在这个唯物主义世界中，她对我们所有人都是一个很好的榜样...
为她感到骄傲.....我感谢YouTube向我推荐此频道。"
8513,UgzwW9uvzmLkAdY9m2F4AaABAg,1,2 years ago,"what joy, a great kiss friend who loved the video",多么喜悦，一个喜欢视频的伟大的亲吻朋友
9020,UgxioLYpoFsOoWdM1Vl4AaABAg,1,2 years ago,"everyone is envious of such a life that does not prove that the current life is increasingly unsatisfactory, and the pressure of life is getting greater and greater?",大家都羡慕这样的生活不就侧面证明现在生活的越来越不如意，生活的压力越来越大了吗？
29761,UgxTFqHrtkzdVBOu7At4AaABAg,1,3 years ago,she have phone and wifi in her house??? we see these videos but we forget about she care about the internet and the social media... it's great she can do both..,她家里有电话和wifi ？？？我们看到了这些视频，但我们忘记了她关心互联网和社交媒体...她可以做的很棒。
23665,UgzuK8p2uyWhMBSKJnd4AaABAg.8zeGo5ApctX948MSnDqpJI,1,3 years ago,there was aloevera in my yard. guess who made mud cake with aloe eggs lol. childhood was great.,我的院子里有阿罗拉。猜猜谁用芦荟鸡蛋做泥蛋糕。童年很棒。
9116,Ugy5NlJebTYB-gXw_rR4AaABAg,1,2 years ago,"she is so nice, so great...amazing ladyโค",她真好，真是太好了...神奇的女士❤
8661,UgyZaVjIShGlz9qws7t4AaABAg,1,2 years ago,"excellent , living in natural resources the greatest.i loved it ๐ฆ๐’•",优秀，最大的自然资源生活。我喜欢它
17,UgzeP0aIVcC-j2fTdxh4AaABAg,1,8 days ago,too great ❤,太棒了
9464,UgwVthmqOSHZqtB5m314AaABAg,1,2 years ago,"wow you are very great and amazing, you can make very delicious food, you eat with your parents, in my place young bamboo is called rebung, on the second day you also make food that is no less delicious and you serve it to your parents, me really really like your video, greetings from indonesia, i like 477, i pray that your mother is always healthy",哇，你很棒和很棒，你可以做非常美味的食物，你和父母一起吃饭，在我的家中，年轻的竹子叫雷恩，第二天你也做的食物也很美味，我真的很喜欢你的视频，印度尼西亚的问候，我喜欢477，我祈祷你的母亲总是健康的
26686,UgzHNeoELiiX5FJkY0F4AaABAg,1,3 years ago,great,太好了
13410,UgxMXkuBablEccMaNR54AaABAg,1,3 years ago,"now, i want to live with her on that farm..al veggies are organic . shes not only a farm girl but a great cook to teach me how it's done very easily.",现在，我想和她一起生活在那个农场上。.蔬菜是有机的。她不仅是一个农场女孩，而且是一个很棒的厨师，可以教我如何很容易做到这一点。
14337,UgweI4lENirYu5USYYJ4AaABAg.94G4Lji73LH94k6MovH9pg,1,3 years ago,"even with someone helping, the camera work is great! i could have people helping me film stuff and i am 100% sure it wouldn't look this good. having help doesn't undermine the skill she has.",即使有帮助的人，相机的工作也很棒！我可以让人们帮助我拍摄东西，我100％确定它看起来不会很好。得到帮助不会破坏她的技能。
14834,Ugw5GElijm6bLOiQ8Nl4AaABAg,1,3 years ago,"how many people yearn for such a life, but how many people can really escape the impetuousness of this society, bloggers are great! admirable!",有多少人向往这样的生活，可又有多少人能够真的逃离这个社会的浮躁，博主很棒！令人敬佩！
25587,UgzRgyFw1c6nwDljsM54AaABAg,1,3 years ago,it looks great ~ but willn't my grandmother eat these too much taste?,看起来都超棒~但外婆吃这些不会太重口味吗
25942,UgxBsztybtV9hwif3Jh4AaABAg.8yws93FKWqS8z1H6OYomsS,1,3 years ago,it's always great when a respected content creator turns you on to something new and unique. i loved this video and i can't wait to watch more.,当受人尊敬的内容创建者将您转向新颖独特的东西时，这总是很棒的。我喜欢这个视频，我迫不及待想看更多。
12943,UgytWROnurt7fOcPZJp4AaABAg.968AXRHyf1Z97ALLXP33MX,1,3 years ago,@usheffi great now i'm fighting an angry vegan,@usheffi很棒，现在我要与一个愤怒的素食主义者作战
14949,UgwUBeJ3P0hhDcsr2El4AaABAg,1,3 years ago,three moments. first. the sorroundings that she's in. second. the food she is cooking. third and the greatest is the way she care of her granny. that was great. really great.,三个时刻。第一的。她所在的欲望。第二。她正在烹饪的食物。第三，最大的是她照顾奶奶的方式。那很棒。非常好。
14988,UgzreL_CFNmIjvF4gzp4AaABAg,1,3 years ago,the camera angles are really nice. great cinematography!,相机角度真的很好。很棒的摄影！
26429,Ugw8_ceOoRNCqr7sRwB4AaABAg,1,3 years ago,it's too great,太好了
24717,UgyqMBguct1-7tqi0XB4AaABAg,1,3 years ago,"the feeling of excitement in learning traditional chinese cuisine every time i watch her videos is greatly influenced by this young and talented lady. 
i wonder if you could finish eating that big bowl of noodles though? :)
naguumipaw sa sahog! oh my i can barely count how many ingredients she put in just one dish. amazing! keep up posting please :)","每次我观看她的视频时，都会在学习传统的中国美食中的兴奋感受到这位年轻而才华横溢的女士的极大影响。
我想知道您是否可以吃那大碗面条？ :)
Naguumipaw Sa Sahog！哦，我几乎不能数她只放一道菜的成分。惊人的！请继续发布:)"
12161,UgxOjkuJh0-ldMMrG694AaABAg,1,3 years ago,"this girl is so good, whoever takes a great wife or knows how much, likes this girl, she talks to her, i don't understand, i love you",这个女孩是如此的好，谁拿着一个伟大的妻子或知道多少，喜欢这个女孩，她和她说话，我不明白，我爱你
24651,Ugxefl6y80aBZcnhgAl4AaABAg,1,3 years ago,a great healing,一个很好的康复
26693,UgzHNeoELiiX5FJkY0F4AaABAg.8ymEuLmKFY08ymFA1uYux4,1,3 years ago,"that's right, so great",没错，太好了
23890,UgzwiKgqT6NjzvMvrCR4AaABAg,1,3 years ago,li ziyi is really great!,李子柒真的很棒！
11384,UgzxhelBcS-gyX1WV294AaABAg,1,3 years ago,"beauty is really great, very resourceful",美丽真的很棒，非常足智多谋
24352,UgxQnsfnJ51lRDjdifF4AaABAg,1,3 years ago (edited),"you know what im thinking watching her. how great my life would be if i find someone like her as my wife. beautiful and can cook well, my heart is mealting just as watching her",你知道我在想着她的想法。如果我找到像她这样的妻子的人，我的生活会多么美好。美丽，可以做得很好，我的心在饭菜，就像看着她
27335,Ugx271Jg2Au4PhRR5Vl4AaABAg,1,3 years ago,"i like eating liuzhou ""luosifen"" very much. it tastes great.",我非常喜欢吃liuzhou“ luosifen”。味道很好。
15989,UgwY4Tf3HMpCAwdU4rd4AaABAg,1,3 years ago,great american china,大美中国
27661,UgzIiFrv0EtJbXUgxnt4AaABAg,1,3 years ago,"i like it. it's great to do dexterity, and it's really cool to cook and harvest ingredients.
natural sounds and music are also hearted. make it comfortable ...
everything is a meaningful process. i always see it well","我喜欢。敏捷非常好，烹饪和收获成分真的很酷​​。
自然的声音和音乐也令人心动。让它舒适...
一切都是有意义的过程。我总是看得很好"
27697,Ugz-6a4GDSoAkUPujYF4AaABAg,1,3 years ago,"great fan of yours , i love all your videos give us more videos like these love from usa",您的出色粉丝，我喜欢您的所有视频，给我们更多的视频，例如美国的爱
10401,UgyEs1o7148wB15m5eF4AaABAg,1,3 years ago,you have great ideas to make anything you want out in the forest n that's awesome work you do honey as a friend,您有很棒的主意可以在森林中做任何您想要的东西，这是很棒的工作，您作为朋友做亲爱的
28187,Ugxw3ynt6mKMp5H8jRx4AaABAg,1,3 years ago,god bless the great creator,上帝保佑伟大的创造者
16770,UgypmmL7CaS2ADbPvW14AaABAg,1,3 years ago,"you are so well mannered, i believe your grandmother taught you everything it's just great",你真举着好举足轻重的，我相信你的祖母教你一切都很棒
23945,UgyikCbz13Nshurxr894AaABAg.8zZrNPIOFjv8zlh3TqVJOm,1,3 years ago,"@oriolhrnandezor1kh this is what she deserves after paying, and this kind of subtle cultural output is great.",@OriolHernandezor1kh 这是她付出后应得的，况且这种潜移默化的文化输出觉得很棒。
29024,UgyidJSyg7FIQD25n8F4AaABAg,1,3 years ago,liziqi ... i really like your post ... i think you are also a great artist ... alias ​​i live in brazil ...,liziqi ...我真的很喜欢你的帖子......我觉得你也是一位伟大的艺术家...别名我住在巴西......
9532,UgwzyOlCNXXWXcM8VBt4AaABAg,1,3 years ago,"her contents, background music, beautiful nature, the camera man capturing perfect angles all are doing great job!",她的内容，背景音乐，美丽的大自然，捕捉完美角度的相机人都做得很好！
10942,Ugx0axY58ya_hzRbCgx4AaABAg,1,3 years ago,great euy bamboo shoots :),伟大的Euy竹芽:)
31136,Ugw2WElkzBoP_jXGvpJ4AaABAg.8yVLRYLxVO89-5dnyLO9Fx,1,3 years ago,"pamela bellesen's chinese cuisine is very profound. the most difficult ""boiling water cabbage"" is chinese cabbage and water. only the national leaders of the great hall of the people are eaten, because it is sold for 150,000 yuan. the buddha jumped the wall of more than 20 spectacles, stewed for 49 hours, and boiled a bowl of soup, which was even more legendary. the recipes for the ""manhan full said"" recipes ranked 108 dishes, and the top ten of the above two dishes were top.",Pamela Bellesen 中国料理博大精深，最难做的“开水白菜”就是大白菜加水，只提供人民大会堂国家领导们吃，因为售价15万人民币一碗据说非常好吃我到现在都吃不起，“佛跳墙”二十多种野味用缸，文火炖四十九个小时，熬出一碗汤，更是传说级别。摘自“满汉全席”食谱排名108道菜，以上两道菜TOP前十。
20070,UgyoDg-bqje9ONumD_54AaABAg,1,3 years ago,"liziqi, i love your channel, and all the knowledge that you share with all of us.
one day i hope to find a woman like you to marry 
keep all the great content coming!","Liziqi，我喜欢您的频道，以及您与我们所有人分享的所有知识。
有一天，我希望找到一个像你这样的女人嫁给
保持所有伟大的内容！"
3238,UgyxHGBCp4yF3lb2glB4AaABAg,1,1 year ago,give a great boiled!,煮得很好！
5460,Ugwr9DNMjh4Gs9IWJYN4AaABAg,1,2 years ago,wish you have a great day btw i'm new ahhahaha but i like your skills of cooking and harvesting so goodluck on yt,祝您有美好的一天顺便说一句，我是新的Ahhahaha，但我喜欢您在yt上做饭和收获的技巧
5446,Ugx4Ao2n0p7gIm25IFd4AaABAg.9GQ1Enmc0Ys9GgPdVQrMit,1,2 years ago,great wish !!! healthy to you and long years !!!! and the girl is in truth fellow !!!!!!!!,伟大的希望！！！对您健康，长时间！！！这个女孩实际上是研究员!!!!!!!!
19764,UgzmQpv5b8hMsrQ6Wqh4AaABAg,1,3 years ago,"by god, it settles 100 times arabic. a great people",借助上帝，它定居100倍阿拉伯语。一个伟大的人
5101,UgxioKVH7IfKiVB82mp4AaABAg,1,2 years ago,you are very great girl๐ค—๐,你是很棒的女孩
35104,UgwPtAXmqIr9ZzbM-NF4AaABAg.8yUS2-MVzry8yUVoAKngrN,1,3 years ago,@jacquirb great,@Jacquirb很棒
20197,UgwSRCt7SIMPK_GrSNZ4AaABAg,1,3 years ago,you cook like a great artician. wow. i can learn alot of recipe where no oil is used on your channel.,你像一个伟大的艺术家一样做饭。哇。我可以学习很多食谱，其中您的频道上不使用油。
556,UgzCn7OFggjbCzGe0dF4AaABAg,1,7 months ago,"wow, this is great",哇，这太好了
3393,Ugx8TQz7JETnCOhDJJp4AaABAg,1,2 years ago,great lí os. ooooooo. ##############,伟大的丽信。哦。 ###############
728,UgylxZ1gn9s4Jbm3DcN4AaABAg,1,10 months ago,great woman ... always healthy ..,伟大的女人...总是健康..
752,UgzEmbGreqBw1Sc7hFx4AaABAg,1,10 months ago,this is the greatest channel on all of youtube,这是所有YouTube上最伟大的频道
1038,UgyrybVQbKssN2IcMux4AaABAg.9bpJQ_Rqdlo9kE5OIT1m3q,1,5 months ago,@ericlao1935 is great,@ericlao1935 太好了
1144,Ugx9jl0Ewgb4nOBSP4J4AaABAg,1,1 year ago,great greetings to meet me from indonesia,从印度尼西亚见我的好问候
4802,UgydTrO69445nXnxoZZ4AaABAg,1,2 years ago,"great video, girl is just an angel.",很棒的视频，女孩只是一个天使。
18803,UgxGp5atHVYyk4KE1l14AaABAg,1,3 years ago,our sister in sichuan! great!,我们四川的妹儿！棒！
1149,UgzqIP9u-OEXCgd_rWV4AaABAg,1,1 year ago,great,伟大的
4151,Ugz06hQA6aUEJPKDbl94AaABAg,1,2 years ago,"it's great to need vegetables just picking up ...
live in the village with simplicity more peaceful ..","很高兴需要蔬菜，只是捡起...
生活在村庄里，更简单。"
21779,UgwHHw9NsEGyLXeYM3F4AaABAg.9-WlF9BrJ_t979-q-V5BKG,1,3 years ago,"my mom died too, in the usa. he also loves to bake pastries and cakes.

ziqi's great, what? and it's still nice!","我妈妈在美国也死了。他还喜欢烤糕点和蛋糕。

Ziqi很棒，什么？而且还不错！"
21802,Ugy9dqXp8LnX4nH-tM94AaABAg.9-WHSV2cBSL9-l6KoqHSMq,1,3 years ago,"china is horrible, reform the government there and it would be great, as of right now japan has china beat for the coolest asian country",中国是可怕的，改革那里的政府，这将是很棒的，截至目前，日本在亚洲最酷的亚洲国家中击败了中国
1332,Ugwlinm_E_BXD2BOVxh4AaABAg,1,1 year ago,"i don't know if it's okay, be harvested by capital. while the video itlet is really great. i like the way.",不知道是否还好，被资本收割掠夺。While the video itself is really great. I like the way.
19204,UgxDSKeVTAUlWltvJYh4AaABAg,1,3 years ago,have no idea why youtube suggested this video. but i am glad it did. great video,不知道为什么YouTube建议此视频。但是我很高兴做到了。很棒的视频
34642,Ugxzy6MAl-butT40_ix4AaABAg.8yUTUIyLaPC8yUVGOlUHhg,1,3 years ago,i too love to watch their vedios so much ... they are great. camera and editing is awesome. and as well she is so cute too ...,我也很喜欢看他们的vedios ...他们很棒。相机和编辑很棒。而且她也很可爱...
5909,UgxSyRdk9kjSTDhIzqR4AaABAg,1,2 years ago,"i am from india ,tamilnadu.i am a great great crazy fan of u, i mostly seen all u r videos and daily searching for more and more .please upload more videos .love and u r grandma. take care of her. u r garden and mainly u r roses made me fresh. great work. always praying for u r great future. don ""t feel ,we r so many for u-,u r well wishers .love u .waiting for ur new videos",我来自印度，泰米尔纳德邦。照顾她。花园和主要的玫瑰使我新鲜。做得好。一直为您的美好未来祈祷。 “感觉，我们为U-，u r w and whorders rove u。
31611,UgwXcDyacnoVwyUcMid4AaABAg.8yVAfDgpCIP8yVsjgBqcHh,1,3 years ago,"@windaadiffa7626 thanks for the like of my comments for this wonderful lady and her videos. i wish you and your family a great day , your friend from canada!!!!!!!!!!!!!!!!!!!!!!",@windaadiffa7626感谢您对这位出色的女士和她的视频的评论。祝您和您的家人美好的一天，您来自加拿大的朋友！！！！！！！！！！！！！！！！
18558,Ugw3afG7V_9_vrnglMl4AaABAg,1,3 years ago,sister is great!,姐姐好棒呀！
380,UgzGYVrZ1Z_OCen7iIB4AaABAg,1,4 months ago,"it is great. the cooking is really good, i really grave her.",太好了。我的烹饪对她真的很好。
23350,Ugys3fVw99zvv6ThBfV4AaABAg,1,3 years ago,respect to this great chief.. natural cooking!,尊重这个伟大的酋长..自然烹饪！
2277,UgwWCiTDwfrQDH_6qQd4AaABAg.9UgdwryDU5w9V9AP0-eAEJ,1,1 year ago,"@user-qo7yv1ls5q this is not a casual dish. this is all specifically planted on the side of the road. her video is a well-known chinese dish, snail powder people are great. the chinese nation has a history of 5,000 years and a vast area. fifty -six ethnic groups (even more). each nation has a variety of foods in each place. if you are interested, you can watch a documentary, china on the tip of the tongue.",@user-qo7yv1ls5q 这不算随便路边采的菜，这都是他专门种在路边的，她这个视频做的是一道很有名的中国菜，螺蛳粉，但是味道特别大，对那些口味重的人来说很棒。中华民族五千年历史，地域辽阔，五十六个民族（甚至更多），每个民族，每个地方都有各式各样的美食。你感兴趣可以看看一部纪录片，舌尖上的中国。
23311,Ugxg2LnTL7GJW_6Gzp54AaABAg.8zmGxNJR1f88zuAnF7jnuc,1,3 years ago,northeast india is very beautiful. i saw a series on northeast india on tv a few months ago. they have great food there.,印度东北部非常美丽。几个月前，我在电视上看到了印度东北部的一系列。他们那里有很棒的食物。
30646,UgzOqw4BuuW3agmuD8B4AaABAg,1,3 years ago,great video!,很棒的视频！
30801,UgwDVTXYsWe6xG0NRJp4AaABAg.8yVScw5ONUj8yWPiu4xrjh,1,3 years ago,great words..so true,很棒的话..真是
7511,UgzeJ1SS72zYuDuMSC54AaABAg,1,2 years ago,from india great,来自印度伟大的
152,UgxBQhKS4ujR5smNuvN4AaABAg,1,1 month ago,爱! mother is so great! is grandma okay?,柒爱的！母亲真伟大！奶奶还好吗？
20021,UgxeFMOmg2T6KuklFzh4AaABAg.91EbCEYuZc691EbiCxh54P,1,3 years ago,great,伟大的
6812,UgwsFsyLn9C0rx_rRwV4AaABAg,1,2 years ago,"indeed a great video
it's cool ~ ^^ ๐‘๐’•","确实是一个很棒的视频
很酷〜^^"
6888,UgzPPVRsURp_TKXDRg14AaABAg,1,2 years ago (edited),"the food looks great. she and her grandmother seem to have a beautiful life.
just remember, no criticizing the government, and don't be a uyghur, or it all goes away, and so do you.","食物看起来很棒。她和她的祖母似乎过着美好的生活。
请记住，没有批评政府，也不要成为一个Uyghur，否则一切都消失了，您也是如此。"
35276,Ugz1saQYG9C0SUUi5BZ4AaABAg.8yURoPrINdo8yUWL9mtn4D,1,3 years ago,great inspire of me;,我的启发；
33219,UgwPZ0yt6zqMWhnn7hd4AaABAg,1,3 years ago,"your videos make me want to move to the mountains, to have a simpler, more meaningful and fulfilled life. i hate the city. thank you for the few minutes of peace. 

ps. it would be great to have the english subtitles again. but i’ll take what i can get.","您的视频使我想搬到山上，拥有更简单，更有意义和充实的生活。我讨厌这座城市。谢谢您的和平几分钟。

PS。再次拥有英文字幕将是很棒的。但是我会拿走我能得到的。"
18179,UgwOstIFAW54bNTZSMh4AaABAg,1,3 years ago,"great, very beautiful your village.",太好了，非常美丽的村庄。
20400,UgyVvu1IfnmD683RmIx4AaABAg,1,3 years ago,great soul,伟大的灵魂
6633,UgxHbloe9COPqheHdot4AaABAg,1,2 years ago,"one of the greatest religious duties is to enjoin good and forbidding what is evil.
it was narrated on the authority of the prophet (may god bless him and his family) that he said: (how is you if your women are corrupted, and your youth are immoral, and you did not order the good and you did not forbid evil) and he was told: and that is, o messenger of god? he, may godโ€s prayers and peace be upon him, said: (yes). he said: (how is you if you are commanded by evil, and you are forbidden for the known) and he was told: o messenger of god and that is that? he said: (yes, and the evil of that, how is you if you see the well -known and denial is known?)
it was narrated from them (peace be upon them): that it is known that the obligatory prayers are established and the doctrines are safe al -barakat and put each other on each other, and they had no nasser in the earth or in the sky ..","最大的宗教职责之一是禁止善，并禁止什么是邪恶。
他说的是关于先知的权威（愿上帝保佑他和他的家人）的叙述：（如果您的妇女腐败，您的青春是不道德的，您没有命令好事，而您也没有禁止邪恶）被告知：那就是上帝的使者吗？他，愿上帝的祈祷与和平在他身上，说：（是的）。他说：（如果您被邪恶指挥，而您被禁止以众所周知被禁止），他被告知：上​​帝的使者，那就是呢？他说：（是的，这是邪恶的，如果您看到众所周知的否认和否认是什么？）
这是从他们那里叙述的（愿他们安息）：众所周知，必须建立强制性的祈祷，而这些教义是安全的 - 巴拉卡特，彼此彼此相处，他们在地球或天空中没有纳赛尔.."
22675,Ugwguk6hsFZDXqlgDyF4AaABAg,1,3 years ago,she has a huge garden and so many ingredients to use. her cooking looks great and she barley even makes a mess! i'm jealous,她有一个巨大的花园和许多食材。她的烹饪看起来很棒，她的大麦甚至一团糟！我嫉妒
447,Ugx4nfNOUM9sNODnzb14AaABAg,1,5 months ago,"wow, a great video, i am an indian, but i like china, i want to go to china, this is my dream",哇，多棒的视频啊，我是印度人，但我喜欢中国，我想去中国，这是我的梦想
1660,Ugxgcm2Z1Z0cZ_JP1mF4AaABAg,1,1 year ago,"great, creative, and look good, thank you mother",伟大，富有创造力，看起来不错，谢谢妈妈
22633,UgynPYf6MxTIe-Fx_w94AaABAg,1,3 years ago,if she's single i'm willing to move there to marry her spend my retirement all on living and eating great,如果她单身，我愿意搬到那里嫁给她的退休时间
19370,Ugwft_uJNxwGwSQ-GQR4AaABAg.91x3zt49ZdK92Te2JN3Ix7,1,3 years ago,"everything starts from raw materials, it's too great",做啥都是从原材料开始，太厉害了
21907,Ugxaq7S6hbWgKIVNWzR4AaABAg,0,3 years ago,"the marigold, the smell of the soil, the sky is the rain. very beautiful, environmental resources, leaves blooming, grass roots are lush fragrant, gaysorn, beautiful, beautiful girl come to the way of happiness, pay in installments, similar to the cost of the wings to the wings beautiful, rumored, good fertilizer, very diligent formula life must be struggling, dancing, achieving the function, laying the foundation. kick is far away. the three castles are alive. oh, whoever they are good. everyone is good. the scope of greatness will know how to know. life is to learn by yourself. people with disabilities are people who reconcile their feet, not knowing the story, creating a burden of parents. the pair should be ashamed, with energy, instead, the parents create their identity easily. the path must be invaded, even if the placenta is not able to win our hearts. do not be weak and the parable may lose our own heart. the diligent formula only has the production of harvesting all year. can be extended far, but easily. parents are proud. children know the job, know how to create their own status, worthwhile. good formula, good lack of good life, allergic life is not a full produce. sweat and force, worth the price, lose the position, can fly far the brave wing is strong, strong, never retreating the turbo heart. m, a hundred and fifty hearts, over a hundred, not boundary, there is a victory class. try to see and know the variety of flavors, three castles, second to none. life must be confident.",万寿菊，土壤的气味，天空就是雨。非常美丽，环境资源，叶子盛开，基层郁郁葱葱香，盖龙，美丽，美丽的女孩走上幸福的方式，分期付款，类似于机翼的翅膀成本美丽，传闻，良好的肥料，非常勤奋的配方生活必须挣扎，跳舞，实现功能，奠定基础。踢很远。三个城堡还活着。哦，无论他们很好。每个人都很好。伟大的范围将知道如何知道。生活是自己学习。残疾人是调和脚，不知道故事，造成父母负担的人。这对夫妇应该以精力感到羞耻，而是父母很容易地创造出自己的身份。即使胎盘无法赢得我们的心，也必须入侵道路。不要虚弱，寓言可能会失去我们自己的心。勤奋的公式只能全年进行收获。孩子们知道这项工作，知道如何创造自己的身份，值得。良好的配方，良好的生活，过敏性生活并不是一个充分的农产品。汗水和武力，值得付出代价，失去位置，可以飞得很远勇敢的翅膀坚固，坚固，从不撤退涡轮心。 M，一百五十心，一百多，而不是边界，有一个胜利班。尝试查看并了解各种口味，三个城堡，脱颖而出。生活必须充满信心。
21988,UgwQ3qEuRpi794NLlAh4AaABAg,0,3 years ago,great job,出色的工作
21933,Ugy1Eoy3zRmxo-UhRjZ4AaABAg,0,3 years ago,great ... i want to make my wife ...,太好了...我想让我的妻子...
22073,UgzcZvYJmDpSxuUcDfp4AaABAg.9-Fe5Kk-yfW9-VjznTkwBt,0,3 years ago,"wow same here, i also use my right hand to eat and the left to wipe my ass! thats great!",哇，这里一样，我也用右手吃饭，左手擦屁股！那太棒了！
24713,UgzHGUEIQSajfK6209F4AaABAg,0,3 years ago,a great place,一个好地方
23359,UgyCZHOjOe8eSlEydrF4AaABAg,0,3 years ago,she's so pretty...her cutting style is very nice..bamboo shoot looks crunchy..all are great recipe,她真漂亮...她的剪裁风格非常好.. bamboo拍摄看起来松脆..所有的食谱都很棒
21824,UgzacBYSKMGIS-StBGF4AaABAg,0,3 years ago,very good and beautiful and great cooking,非常好，美丽，美味烹饪
24735,Ugxi56lUKDOPaxPIij14AaABAg,0,3 years ago,"greetings from chile, your video is great",来自智利的问候，你的视频很棒
21676,UgxD3mkuUabsxgsScWJ4AaABAg,0,3 years ago,great (your video is amazing),太棒了 (Your video is amazing)
21617,UgzkjNe26Mo_0IHU0mV4AaABAg,0,3 years ago,i don’t have her great garden with everything in the world in it. but i do have 8 eggs to collect everyday and some asian vegetables with herbs need my watering,我没有她的大花园，其中有世界上的所有东西。但是我每天都有8个鸡蛋可以收集，一些用草药的亚洲蔬菜需要我的浇水
21602,UgzUtpvTjmAUlIkvgJZ4AaABAg,0,3 years ago,you are great. liziki. pakistan's good wishes.,你很棒 Liziki. 巴基斯坦的良好祝愿.
24804,UgwtMaJYWgH8Fwh6ecd4AaABAg,0,3 years ago,great girl. beautiful picture. the story is very good. thanks.,太棒了，小女孩。美丽的图画。故事很好。谢谢。
21571,UgxwARv75sA8ImMPhMV4AaABAg,0,3 years ago,it's great!,拍得好棒！
24810,UgwKIPXQROU0pjvVKBJ4AaABAg,0,3 years ago,"what great dishes, what a wonderful girl. it is a pity it is not clear that you are using what vegetables you use. in estonia, many of them do not grow. but it would be interesting to know the exact recipes. i enjoy the video. great content. and the girl is beautiful. many russian -speaking viewers would be interested in translation. thank you and good luck in everything.",多么美好的菜，多么美好的女孩。遗憾的是，您正在使用使用的蔬菜。在爱沙尼亚，其中许多人没有增长。但是知道确切的食谱将很有趣。我喜欢视频。很棒的内容。女孩很漂亮。许多讲俄语的观众会对翻译感兴趣。谢谢你，祝一切顺利。
24837,Ugwo1qWAvnaiIPyswaV4AaABAg,0,3 years ago,"oh great, now you look more like a down-to-earth farm girl than an other-worldly fairy. now you're more reachable.",哦，太好了，现在您看起来更像是一个脚踏实地的农场女孩，而不是一个超凡脱俗的童话。现在，您更可以接触。
24939,UgyVQpBfByZnqVTFz6l4AaABAg.8zAredNcoy28zIZw1w-CQz,0,3 years ago,@user-xh5fj6vk5q thank you...i find it odd cuz i never knew its edible and also because we use it as pig food here.great to know its good for human too,@user-xh5fj6vk5q谢谢...我觉得它很奇怪，因为我从来不知道它的可食用，也因为我们在这里用作猪食品。
24961,UgzVZGA6VezLDFI4RU54AaABAg,0,3 years ago,what a great girl 的,好厉害的姑娘
25034,UgxYFnCboMG2zMWNVnt4AaABAg,0,3 years ago,the same is the same. it is very beautiful and great.,还是一样，拍得很美感，超棒的。
24799,UgzIO6n35HSiwHTBbVh4AaABAg,0,3 years ago,great 与 vision and natural life feast,很棒ㄉ视觉与自然生活飨宴
22202,UgyxnWllx02PKF1bXO14AaABAg,0,3 years ago,great video!,很棒的视频！
24612,Ugw6UZciwN4DCPhyK9t4AaABAg,0,3 years ago,wow you are great cook i love your cooking.,哇，你是很棒的厨师，我喜欢你的烹饪。
