,cid,votes,time,含great,含great中文翻译
44050,UgycNSkJt1wQbPlIH414AaABAg.8rGHT9GJz-M8rM9-wvm8YK,2,4 years ago,@marcellistar also i want to know. let's find out. i'm great for that,@marcellistar我也想知道。让我们找出答案。我很棒
17085,UgxjhKv1Ndw-3dM2B6d4AaABAg,2,3 years ago (edited),wonderful. are you a professional cook? and it's a great worker. such a woman is probably not in the current japanese. i want to see you once.,精彩的。您是专业厨师吗？这是一个很棒的工人。这样的女人可能不在目前的日本人中。我想见一次。
26735,UgwnG5Y55SEadOR6uIN4AaABAg,2,3 years ago,"a huge subscriber. youtube, like watching a movie or drama on the other hand ... it's great !!!",一个巨大的订户。 YouTube，就像看电影或戏剧一样……太好了！！！
12413,UgzeVWXc6X_p5kJ3b1h4AaABAg,2,2 years ago,such a great girl,我一生中有一个伟大的女孩。
48596,UgyVoyyRzEI2RcjarJF4AaABAg,2,4 years ago (edited),ahhhh ziqi is so cute when she popped on the door with snacks for her grandma. i hope she can have a great chinese new year!,当她为祖母带零食的零食时，啊，Ziqi真可爱。我希望她能度过一个很棒的农历新年！
14147,UgzYKGjspqaeFdVHiAB4AaABAg,2,2 years ago,it looks great.,看起来不错。
40699,UgyTV3dpGxKQ08_3gaF4AaABAg.8sBWDKtOJAm8sMgXvJTsYL,2,4 years ago,"that is a grain amplifier, the greatest invention of china, must not let foreigners learn from",那个是粮食放大器，中国最伟大的发明，千万不能让老外偷学到
24022,UgxjRChl8LVq-LnTV994AaABAg,2,3 years ago,"the beauty of nature, elegance, and arrangement for the girl
a great psychological comfort","大自然，优雅和安排的美丽
极大的心理舒适"
39475,Ugz1vRXg0apmKyIgi8V4AaABAg,2,4 years ago,"finally, a much better aesthetic then those odd primitive survival channels. i love the framing, the soft music, a great channel overall~!",最后，一个比那些奇怪的原始生存通道更好的美学。我喜欢框架，柔和的音乐，整体上的频道〜！
39623,UgzWpA8DQp31ay3CjnB4AaABAg,2,4 years ago,the food at 4:50 looks great. would love to try this!,4:50的食物看起来很棒。很想尝试这个！
21267,UgxlpPpZHhad9z0wpiR4AaABAg,2,3 years ago,great cook .. delicious ๐๐,很棒的厨师..美味
5914,UgzoP0fUKeCAoKotCwN4AaABAg,2,2 years ago,"beautiful, great, talented, success",美丽，伟大，才华横溢，成功
20930,UgwmqIE3kaq4n8V-E-x4AaABAg,2,3 years ago,i wonder if she's the only one filming herself and editing and such. ๐ค” she's definitely great!,我想知道她是否是唯一一个拍摄自己和编辑之类的人。
36520,UgyfmxUqcg2NALkaT9Z4AaABAg,2,4 years ago,great content! so satisfying to watch โคโค can anyone tell me her channel name english romanised? sorry i can't read chinese,很棒的内容！如此满意的观看❤❤有人能告诉我她的频道名称英语罗马人吗？对不起，我看不到中文
8710,UgxTrdQpB5pxOySrAHt4AaABAg.9IK5l71vneV9JagvlxrjZc,2,2 years ago,"@windychung can't have a great impact on the chinese cultural circle. moreover, china's volume is so large, and other small countries similar to chinese culture will naturally want to preach their cultural independence, otherwise it is easy to be annexed by culture. but i just can't see that the whole world is the people of their family ...",@WINDYCHUNG 没办法中华文化圈的影响太大了。而且中国体量那么大，其他和中国文化相似的小国家自然会想要宣扬自己的文化独立性，不然很容易就被文化吞并。但是我就是看不惯说全世界都是他们家的人…
5867,UgyUHVC0rtxBPaf64TV4AaABAg,2,2 years ago,"dearest liziqi......really do enjoyed your u tube videos ....the recipes look so yummy, please is there any chance to translated the information from chinese into english-language, greatly appreciated your kindness....",亲爱的liziqi ......真的很喜欢您的U管视频。...食谱看起来很美味，请有机会将信息从中文翻译成英语，非常感谢您的好意。
22023,UgxKEdXS2MZ-23Qdu7l4AaABAg,2,3 years ago,i love love those innocent puppies... need more attention and cuddles i feel... nice vdo. great team work. good luck. keep the kindness and dont let normal world make you tough n rough. lots of kisses ๐ฅฐโค,我爱那些无辜的小狗...需要更多的关注和拥抱，我感到...不错。出色的团队合作。祝你好运。保持友善，不要让正常的世界使您变得艰难。很多吻
30876,Ugy3YolHHrz6BAq-1VV4AaABAg,2,3 years ago,"glory be to god, a paradise on the ground in which all fruits, vegetables, and girl are creative, and life is great in this spot of the earth.",荣耀归于上帝，在所有水果，蔬菜和女孩都有创造力的地面上的天堂，在地球这个地方的生活很棒。
43619,UgzOF4gYHFtmtI6wHQR4AaABAg,2,4 years ago,"there is such a pretty person in the world ... ❤❤❤
it looks really pretty and great ~~ ^^","世界上有一个漂亮的人...❤❤❤
它看起来真的很漂亮~~ ^^"
5541,Ugzxanv4CRDOpBlSB0N4AaABAg,2,2 years ago,great video,很棒的视频
17922,UgzDvK01DKLdUHKPc-54AaABAg.97SFFb4Mpvv97uU6zBOi0n,2,3 years ago,https://youtu.be/1dfifxo4ndm watch this link guy's pres bell icon great ideas https://youtu.be/1dfifxo4ndm,https://youtu.be/1dfifxo4ndm观看此链接的人的贝尔图标很棒的想法https://youtu.be/1dfifxo4ndm
49269,UgwL3iAA3s5UTgVNi_N4AaABAg.8qm8_CFNxiT9DmEtK2MHJe,2,2 years ago,"@allisgoodallisbad why not. the european luxury products prices are so exorbitant. the mjr costs derived from astronomical pay to media ads, super models & celebs endorsements. while the products made in bangladesh, india, cambodia ...
her products, design, ingredients are made in china. she's a super model & celeb herself, trained & paid by herself. let say how much some pr companies would pay her to influence voters with chinese heritage in australia, america, canada, uk, ... election campaigns. in fact, the conservative parties deployed chinese speakers to carry the battle on tweeter, fb, instagram, wechat social media in recent australian federal election late last yr. she may wield tremendous power to boycott certain product sales in china & perhaps beyond china. 
what would louis vuiton share price would be if she wears its product while cooking & caring her nana. china is the greatest nation as louis vuiton. asia excluding japan account for 29% louis vuiton market & growing fast.
somebody pls advice liziqi do not wear or show any brand lightly. tiger wood could earn billion usd just for endorsement on nike.","@allisgoodallisbad为什么不。欧洲奢侈品价格如此高昂。 MJR成本来自天文工资，媒体广告，超级模特和名人代言。虽然产品在印度孟加拉国生产的柬埔寨...
她的产品，设计，成分是在中国生产的。她自己是一个超级模特与名人，自己受过训练和付款。假设有多少公关公司会付钱给她，以在澳大利亚，美国，加拿大，英国，...竞选活动中使用中国遗产来影响选民。实际上，保守党部署了中国发言人，在最近一年后期最近的澳大利亚联邦大选中，在高音扬声器，FB，Instagram，微信社交媒体上进行战斗。她可能会发挥巨大的权力来抵制中国乃至中国以外的某些产品销售。
如果路易斯·维顿（Louis Vuiton）的股价在烹饪和关心娜娜（Nana）时享用其产品。中国是路易·维顿（Louis Vuiton）的最伟大国家。亚洲不包括日本的路易·维顿市场29％，并迅速增长。
有人建议Liziqi不会佩戴或轻轻地显示任何品牌。老虎伍德可能会赚取10亿美元，仅仅是为了认可耐克。"
30971,UgwC52AJ_5TuHvAUaqt4AaABAg,2,3 years ago,this woman would be a great mom,这个女人会是一个很棒的妈妈
10086,Ugwu4RsC5V9MJj9G--J4AaABAg,2,2 years ago,"the video is very good! my psychological video is also great, friends who are interested in psychology are welcome to subscribe to my channel. thank you",视频很好！我的心理学视频也很棒，对心理学有兴趣的朋友欢迎订阅我的频道谢谢
3186,UgzXmeQ8i554i1o0WLV4AaABAg.9UW7fZgS7dQ9XXQt9jU239,2,1 year ago,@yamunahv9182 your video information is greater. i like,@yamunahv9182 您的视频信息量更大。我喜欢
28358,UgzKhC45H4weq5MwpKR4AaABAg,2,3 years ago,"great cameraman, great sound technicien, great video editor technicien, good video storyline writters, amazing team behind the beautiful recepies, amazing new traditional tools in every video, and good beautiful actress lisiqi mastering her angles. huge production. hat off to using vlogging to promote chinese culture.",Great Cameraman，Great Sound Technicien，出色的视频编辑Technicien，出色的视频故事情节编写者，美丽的Recepies背后的出色团队，每个视频中令人惊叹的新传统工具以及优秀的漂亮女演员Lisiqi掌握了她的角度。巨大的生产。使用视频博物馆来促进中国文化。
3185,UgzXmeQ8i554i1o0WLV4AaABAg.9UW7fZgS7dQ9XXQqt5n15_,2,1 year ago,your video information is greater. i like,您的视频信息量更大。我喜欢
20543,UgxSq_OPRDrzJwov8xt4AaABAg,1,3 years ago,"strong, my greater china rural dog haha",壮哉 我大中华田园犬 哈哈
46623,UgwHRigm5VdrVWbyDXN4AaABAg,1,4 years ago,"i absolutely adore and appreciate the content you bring to youtube. i am not sure how hard it is to bring one of these vids together, but i am so very impressed and grateful for the energies spent doing so. please please keep up the great work and content.",我绝对喜欢并欣赏您带给YouTube的内容。我不确定将这些视频之一聚集在一起是多么困难，但是我对花费的能量的印象和感激。请保持出色的工作和内容。
20847,UgzeKSTt5w-4ez7Udr94AaABAg,1,3 years ago,"your video are so beautiful! they are so full of color, details, love. the photography, is simply fantastic. perfect light, timing. precise gesture, that tell stories of the chinese countryside culture so interesting for me that i live in italy and that would be almost impossible to discover. thank you for sharing, you are great",您的视频真漂亮！他们充满了色彩，细节，爱。摄影简直太棒了。完美的光线，时机。精确的手势，讲述了中国乡村文化的故事，这对我来说是如此有趣，以至于我住在意大利，这几乎是不可能发现的。谢谢你的分享，你很棒
28484,UgzoB1i476TPeqoZuzF4AaABAg,1,3 years ago,chestnuts and hawthorn.... great for health,栗子和山楂....非常适合健康
22039,UgzI6H6Mg3cr305lsGx4AaABAg,1,3 years ago,people should come and learn more about china. start with the greater bay areas. it would give you a true taste of china life and people will be surprised with the warmth they feel living here.,人们应该来进一步了解中国。从大湾地区开始。这将使您对中国生活有真正的味道，人们会对自己生活在这里的温暖感到惊讶。
28511,UgxEBqAUhW6bZomuXu94AaABAg,1,3 years ago,you're great ๐’,你很棒
22196,UgwxmE_brbMJ0CFaVe14AaABAg,1,3 years ago,"yeeey great 
she feeling me happy","是的
她感到我开心"
46615,UgxMQVn7rPKaIWlwUrx4AaABAg,1,4 years ago,"oh my god. another great video. i loved to watch. it seems that you can so everything so perfect. crafting furniture, crafting cloth and great cooking. i could eat you up honey",我的天啊。另一个很棒的视频。我喜欢看。看来您可以如此完美的一切。制作家具，制作布和精美的烹饪。我可以吃你的蜂蜜。请征服
46787,UgzGnqnLBmDj6FsqNtB4AaABAg,1,4 years ago,"man she could start a business... or is she already in business? well she should, if she already is then that's great",男人，她可以开展业务...还是她已经从事业务？好吧，她应该，如果她已经是太好了，那太好了
21898,Ugyoi9FjY3RI450GB0J4AaABAg,1,3 years ago,"nature is also beautiful
the cooking skill is great
beauty is ฯ (^_^;)? โค
i want to live in nature
even if you look at the e -mail, it is new
i love music too
ฮฃ (^_^;)? โค","大自然也很漂亮
烹饪技巧很棒
美是σ（^_^;）？❤
我想生活在大自然中
即使您查看e -mail，也是新的
我也喜欢音乐
σ（^_^;）？❤"
38520,UgyAP2SL1FwjgXSJyWV4AaABAg,1,4 years ago,"i want to live with her,,,everything looks peaceful the food looks good and life would be great!!",我想和她一起生活，一切看起来和平，食物看起来不错，生活会很棒！
26453,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy98JvHxb8gEq,1,3 years ago,great job. one step at a time.,做得好。一步一步来。
16543,UgwnN-2s5Mzp3c9-2bl4AaABAg,1,3 years ago,i want her in my house during quarantine doing me these snacks and food haha such a great girl i want to learn how to do this too,我要她在隔离期间在我家里做这些小吃和食物哈哈，一个好女孩，我也想学习如何做
26412,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy96q7RluDpDH,1,3 years ago,you have akind heart and agreat soul because you had depressed but u thanked her and gived her agreat positve enargy so all of us thank u alot and hope u happy all the time๐,您有Akind的心脏和顽强的灵魂，因为您沮丧，但您感谢她，并为她的镇定态度刺激了，所以我们所有人都非常感谢您，并希望您一直快乐
18072,UgxxYxFXR0NCm0Qjigx4AaABAg,1,3 years ago,wow is great,哇很棒
27608,UgyVHv2smosW9J2OMYB4AaABAg,1,3 years ago,i love k cook always and eat with that great lady k it will be your mother i guess well,我一直爱k厨师，和那个伟大的女士一起吃饭，这将是你的母亲，我猜很好
26385,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy95EBE5dKDGs,1,3 years ago (edited),great... sometimes everything is so overwhelming and you my friend took a step to make it a better day for you. be well๐’๐’,太好了...有时候一切都是如此的压倒性，我的朋友迈出了一步，使您变得更好。做得好
18391,Ugzxg57lk20DjupJDwJ4AaABAg,1,3 years ago,1 great life,1个美好的生活
26392,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy95XnlzvrqN3,1,3 years ago,you are great! never give up,你很棒！永不放弃
22599,UgzvMw8oHviheTkqdZR4AaABAg,1,3 years ago,hi i. gerasimenko lydia from. russia. the good mistress is so skillfully prepared just a super cook. what a beautiful video. i have a great respect for your nation. you and happiness in the new year.,嗨，我Gerasimenko Lydia来自。俄罗斯。好情妇是如此巧妙地准备了一个超级厨师。多么美丽的视频。我非常尊重你的国家。你和新年的幸福。
44981,UgxF6fHp5nG5Nh5CLnp4AaABAg.8r9-keU1qqd8rDnDbkAN5i,1,4 years ago,@ve9698 not gonna like french pastries (and lamb and wine) is great,@ve9698不喜欢法国糕点（还有羊肉和葡萄酒）很棒
45525,UgwC6Mln4JgxntFi7014AaABAg,1,4 years ago,epic food ... like it greathing from indonesia,史诗般的食物...像印度尼西亚的人一样
19493,UgzspuSdpbpHglQXstB4AaABAg,1,3 years ago,wow so great i like it.02-03-2020,哇，太棒了，我喜欢它。02-03-2020
27239,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB9-2r6A-REKi,1,3 years ago,hung is great!,悬挂很棒！
26552,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy9CSdXCf9NCB,1,2 years ago,great man๐‘,伟人
18823,UgxdfhIBHtcMprsHF294AaABAg.96U_wjWL5Lw97cE5f_hGdQ,1,3 years ago,https://youtu.be/d8jrr-e5xw4 great ideas watch this video https://youtu.be/d8jrr-e5xw4,https://youtu.be/d8jrr-e5xw4好主意观看此视频https://youtu.be/d8jrr-e5xw4
26449,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy98DoUXDzQM3,1,3 years ago,reading this made me feel uncomfortable... but you did a great job! personal hygiene is a must.. ๐,读这本书让我感到不舒服...但是你做得很好！个人卫生是必须的。
22468,Ugzk2hZzSJPMNCq5HPR4AaABAg.92v_huHNonN97cESpiTR6o,1,3 years ago,https://youtu.be/d8jrr-e5xw4 great ideas watch this video guys https://youtu.be/d8jrr-e5xw4,https://youtu.be/d8jrr-e5xw4很棒的想法观看此视频伙计https://youtu.be/d8jrr-e5xw4
18030,Ugy3LMgRRuVFh81SUkR4AaABAg.97OctMRyFnB97cE1yCgHeo,1,3 years ago,https://youtu.be/d8jrr-e5xw4 great ideas watch this video https://youtu.be/d8jrr-e5xw4,https://youtu.be/d8jrr-e5xw4好主意观看此视频https://youtu.be/d8jrr-e5xw4
22947,UgymQYnm9CyzJwzP-op4AaABAg,1,3 years ago,"this is really great!!! hope you always stay health and can make many video like this. salute for you. 

fans from indonesia๐","这真的很棒！！！希望您始终保持健康，可以制作许多这样的视频。向你致敬。

来自印度尼西亚的粉丝"
16996,UgzYhvc74x3XJt53CXh4AaABAg.98G84ksbSto98RkzehoReV,1,3 years ago,"it's not easy, it can have such a great influence on the oil pipe",太不容易了，能在油管上有这么大的影响力
23123,Ugw1brlDnQlQ_X3v-Dh4AaABAg,1,3 years ago,it's great,太棒了吧
44147,UgymUsyD_tmXlhnalMl4AaABAg,1,4 years ago (edited),"gotta love how they got the great camera and lighting setup and it's a professionally produced video. perfect hair, clothing and makeup for a video like this. the small animals, the road full of fruit on the ground perfectly arranged, everything looks fake and staged. i bet they eat mcdonald's all the time and they don't even eat the stuff on these videos, it's just for the money. the only things they probably eat from this video are the puppies and baby sheep once they grow up and are no longer cute enough for the videos. i hope they upload the video when they eat those dogs.",要喜欢他们如何获得出色的相机和照明设置，这是一个专业制作的视频。完美的头发，衣服和化妆，用于这样的视频。小动物，地面上充满水果的道路完美排列，一切看起来都是假的和上演的。我敢打赌他们一直都在吃麦当劳，甚至都不在这些视频上吃东西，而是为了钱。他们可能会从这个视频中吃的唯一东西是一旦它们长大后，它们就不再足够可爱，无法使用这些视频。我希望他们在吃那些狗时上传视频。
17149,UgzPpNULJ3ZtgYT1XAF4AaABAg,1,3 years ago (edited),"the puppies and the lamb love li ziqi as if she were their mom...maybe adopted mom...i would follow her around if i could, chestnuts roasting on a kitty fire....:) wow, so many healthy snacks..amazing princess! god bless you and your grandmom...from texas ...usa.ni shi hen hao...:) in 14 years in china, i never trust those popping machines...dangerous...for ears...best spring festival food in the world...done by li ziqi....so great!",小狗和羔羊爱李齐qi好像她是他们的妈妈...也许是收养的妈妈...如果可以的话，我会跟着她，栗子在小猫的火上烤... :)哇，哇，很多健康的零食..杰出的公主！上帝保佑你和你的祖母...来自德克萨斯州...美国。世界上春节的食物...由李Ziqi完成。。。太棒了！
40014,Ugyem2HQdFMOTqaxn-54AaABAg,1,4 years ago (edited),"be great. i eat the whole thing, then i can die afterwards.",做得很好。我吃了整个东西，然后我可以死。
39962,UgwiyqTLxehZOIWieNZ4AaABAg,1,4 years ago,zi yan understands everything. essence essence great ๐‘๐‘๐‘,子柒什么都懂。。。非常棒
26518,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy9AZAEsuz2Ik,1,2 years ago,thatโ€s great!!! you will find the light of your lifeโค๏ธ,那太棒了！！！您会发现自己的生命之光❤️
26478,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy98w5OzPO6wg,1,3 years ago,"thatโ€s great! 
you should do it daily and never give up even when itโ€s the hardest times in life <:","那太棒了！
您应该每天做，即使这是人生中最困难的时期<："
23098,UgyEGffCSCapYWhPlt14AaABAg.92ZOfZospFJ92ueN9WdkkE,1,3 years ago (edited),"@gtp1542 so do you know that a great number of hate-filled young men in balaclavas attack police, some of them were armed with sharp objects and stabbed the officer in the neck, some bullied the old and an 57-years-old man was sprayed with flammable liquid and burned, some hit their parents because of different positions, some blocked the subway doors which made the hongkong society disordered...so many crimes they've done and some people died in this case, those young are not fight for democracy, they are terrorists in the masks, but it can be hard for people all around the world to know the truth because western journalists' camera were always pointed at hongkong police to let people believe that policemen are cruel when they hold their guns, but no one knows those crimes done by people in masks.",@gtp1542所以你知道有大量仇恨的年轻人在巴拉克拉夫袭击警察中，其中一些人武装着锋利的物体，并刺伤了脖子的军官，一些人欺负了那个古老的，一个57岁的男人喷洒了易燃液体并被烧毁，有些人因不同的位置而袭击了父母，有些人阻止了地铁的门，这使香港社会混乱无序……他们犯了很多罪行，有些人在这种情况下死亡，那些年轻的人没有战斗对于民主来说，他们是面具中的恐怖分子，但世界各地的人们可能很难知道真相，因为西方记者的摄像机总是指向香港警察，让人们相信警察在握着枪支时是残酷的但是没有人知道那些用面具的人犯下的罪行。
17856,UgyDYicyOgZ72IrJ3s94AaABAg,1,3 years ago (edited),"please create separate playlists for veg & non-veg videos, kind of grouping. it will be great.",请为Veg＆Non-Veg视频创建单独的播放列表，这是一种分组。这将会非常棒。
26364,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy94HjiJ9AOME,1,3 years ago,great job,做得好
44380,UgwZcXgucNuey5M5jGB4AaABAg,1,4 years ago,you are great,你很棒
17571,UgxHn-p8kVfqe1Yo7wR4AaABAg,1,3 years ago,great.,伟大的。
42569,Ugxg1yr_mB9FkEVO4154AaABAg,1,4 years ago,"dear ms. anastacia fang, i wrote all the spring festival foods down i love different cultures . here in the states we do have some of the ingredients.. love when ms li ziqi jump when the popcorn got done. take me back when i was young and my mom made me popcorn... thank you, great video email me paulblevins1989@yahoo.com",亲爱的Anastacia Fang女士，我写了所有春节食品，我喜欢不同的文化。在美国这里，我们确实有一些成分。.当爆米花完成后，李Ziqi女士跳跃时，爱。我年轻的时候带我回来，妈妈让我爆米花...谢谢你，很棒的视频给我发电子邮件paulblevins1989@yahoo.com
27680,UgzS0thCEwODQLqMxmB4AaABAg,1,3 years ago,it will take whole day for me to cook all those items.. really she is great,我要花一整天的时间来煮所有这些物品。
22360,Ugyi44X0Ga156AvxdOB4AaABAg,1,3 years ago,"it's great, so there is a taste of life.",好棒耶，好有生活品味。
26442,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy981-EALt3tb,1,3 years ago,"am i very proud! i know how hard that can be, but you did great!",我很骄傲吗？我知道那有多难，但是你做得很好！
25344,Ugzc_uQVqv7wIi5JcJV4AaABAg,1,3 years ago,great mistress! well done!,伟大的情妇！做得好！
26357,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy9470laBjdL3,1,3 years ago,great job ๐‘๐‘,出色的工作
35793,UgwSDbzoduI5_ylyTkt4AaABAg,1,4 years ago,such a nice video with little effort done so beautiful and great things. respect,如此漂亮的录像带，很少努力如此美丽而伟大的事情。尊重
4063,UgwsZRHp94sn1KN5k3l4AaABAg,1,1 year ago,"so great.
from afghanistan.","很好。
来自阿富汗。"
4117,UgxhHMoLgaUZXNlN6eB4AaABAg,1,1 year ago,"this great video! but sorry i have to say this, i got distracted to the bgm, it was used in digimon adventure ost omggg my childhood, the bgm fit perfectly x""))))",这个很棒的视频！但是很抱歉，我不得不这么说，我分心于BGM，它用于Digimon Adventure Ost Omggg我的童年时代，BGM拟合完美x”）））））））））））））））
