,cid,votes,time,含channel,含channel中文翻译
25536,UgxesxIVwWdQfCDoyed4AaABAg,2,3 years ago,one of my favorite channels. beautifully majestic! ๐,我最喜欢的频道之一。雄伟壮观！
25583,UgzB-txb2XBhyckLNWd4AaABAg,2,3 years ago,"liziqi, your channel is just wonderful i truly love it the way you work and create such beauty with food and all almighty gods abundance just in awe of you praying blessings upon you n your family and animals so happy i found your channel",liziqi，您的频道真是太好了，我真的很喜欢您的工作方式，并用食物和所有全能的众神创造如此美丽的方式，只是您敬畏您向您的家人和动物祈祷祝福，所以我很高兴我找到了您的频道
34876,UgxmogW8Fj20BhHkT_V4AaABAg,2,4 years ago,in mi opinion the most brave and smart girl who knows how to use a youtube channel,在MI的意见中，最勇敢，最聪明的女孩知道如何使用YouTube频道
50901,UgwgdxkzLocvnrsCmMF4AaABAg.8qlbwQdOZYk8qnKmCCvEsN,2,4 years ago,@user-bb2pc3ri3k welcome. will keep watching ur channel for new feeds,@user-bb2pc3ri3k欢迎。将继续观看您的频道以获取新供稿
5039,UgyJHE1mR7yRY3ImQVR4AaABAg.9PdUm0-QPS99PoMl7FqlHI,2,1 year ago,state owned channel ofc,国有渠道
35911,UgzDURaPev_XPeSK0JN4AaABAg,2,4 years ago,i never knew a channel like this existed... wow i thought it was a scene from a movie. so well done,我从来不知道这样的频道……哇，我以为这是电影中的场景。做得很好
41301,UgyusMMdx-c9XjC23rp4AaABAg,2,4 years ago,"this is so amazing... i am speechless... i just recently discovered this channel and have fallen in love with it! keep up with your amazing, creative work! 
much love from germany ♡","这真是太神奇了...我无语...我最近发现了这个频道，并爱上了它！跟上您惊人的创意工作！
来自德国的很多爱"
43632,Ugw0bxR-gtT0nFXC2Nd4AaABAg,2,4 years ago (edited),"i subscribe to a channel that even i can't read the channel name, but i like it",我订阅了一个频道，即使我也无法阅读频道名称，但我喜欢它
45254,UgwSmhixtbmWusmaFWV4AaABAg.8r6oeZAmFa-8rDj0w8H1pF,2,4 years ago,finding forest you are watching one! this is a very sweet channel but it's not real.,找到森林，你在看一个！这是一个非常甜蜜的频道，但不是真实的。
7111,UgyaEU3osNM9en3_4OF4AaABAg.9KJdQgqPOWt9KfBrjIPm77,2,2 years ago,"this is not animal planet channel, she was busy filming video and prepare food, she only fed and play with pets off the screen,",这不是动物星球频道，她正忙于拍摄视频并准备食物，她只喂宠物，在屏幕上玩宠物，
6781,UgwMn9j2DmEbNjzOSCZ4AaABAg,2,2 years ago,i don't know what to say i am speechless 's like heaven on earth thanks god for youtube and your channel ❤️,我不知道该说些什么，我是无语的
10086,Ugwu4RsC5V9MJj9G--J4AaABAg,2,2 years ago,"the video is very good! my psychological video is also great, friends who are interested in psychology are welcome to subscribe to my channel. thank you",视频很好！我的心理学视频也很棒，对心理学有兴趣的朋友欢迎订阅我的频道谢谢
32593,UgzhhmbYnWtuEZXBEEN4AaABAg,2,4 years ago,"ok but like what is this channel, where is this, who is she, why is this so aesthetically pleasing and somewhat calming.. ๐",好的，但是像这个频道是什么，这在哪里，她是谁，为什么这在美学上是如此令人愉悦且有些平静。
30833,UgyEoA5KDhAxqBjR7dN4AaABAg,2,3 years ago,"i just love this channel, it makes me feel so peaceful, thank you",我只是喜欢这个频道，这让我感到很宁静，谢谢
19677,UgwiUfkLkz-Onomd8-14AaABAg,2,3 years ago,occasionally i saw your channel. the content feels comfortable and very much. i like three puppies and one sheep.,偶然看到了你的频道，内容感觉好舒服又实在十分喜欢，三只小狗和一只绵羊也是我喜爱的，可以的话给它门拍摄多一些镜头
20674,UgyYK6ga599N2L7bDth4AaABAg,2,3 years ago,"the traditional method is full of interesting videos that like your channel, i hope you can see more movies i have subscribed to you",传统的作法还满有趣的 喜欢你频道的影片希望可以看到更多这种影片 我已经订阅妳了
5464,UgzHuZ9s-uecL_Ua46p4AaABAg,2,2 years ago,inspirational channel?,鼓舞人心的频道？
42854,UgwaSKh__E2tnVJzfPx4AaABAg,1,4 years ago,"i'm really happy you have a youtube channel, i first followed you on weibo and then i discovered you had this channel, which is amazing!",我真的很高兴您有一个YouTube频道，我首先在微博上关注您，然后我发现您有这个频道，这真是太神奇了！
11909,UgwTzzHTCfbw0F_Rhg14AaABAg,1,2 years ago,plz support my channel name krishna raj gaming plz friends make 1k,请支持我的频道名称Krishna Raj Gaming Plz朋友使1K
11579,UgwIUB1dMhomwlM5dKt4AaABAg.9EPh4bm-9QR9F7ELpV_NUT,1,2 years ago,#gurukriparasoino1 ๐‘please subscribe my channel for delicious food recipe...please support my channel ......,＃Gurukriparasoino1
42973,UgwAj8uciEHxoCx5Afd4AaABAg.8rTSJlySc2P8rdEcyuTXjt,1,4 years ago,"kristal colector same here, my dear... this channel is amazing! ❤️",克里斯塔尔·柯克特（Kristal Colector）在这里，亲爱的...这个频道很棒！ ❤️
43587,UgzVv2H4wMGhFY1vTdR4AaABAg,1,4 years ago,"it turned out to be a sichuan girl. no wonder you have such a good look. do you have a channel on bilibili? the rural areas are so good now, letting us cities envy to death. it costs 15 yuan a pound to buy sugar oranges in the new year.",原来是四川妹子，难怪这么好看，你是在bilibili有频道吗？农村现在真好，让我们这些城市人羡慕死了，过年买点沙糖桔居然要15块钱一斤。
11711,UgzEkJsoQd5Xczy3RF14AaABAg.9EB9gY3QZw19F7Enjp9zSw,1,2 years ago,#gurukriparasoino1 ๐‘ please subscribe my channel for delicious food recipe...please support my channel,＃gurukriparasoino1
39906,UgxBu1Dv0u61NXAppA94AaABAg,1,4 years ago,"oops, i found that ziyi questioned in china, so don't even get more domestic channels. wow. come to youtube wow. there are not so much spray here. the advertising income here is also very high. after watching a video, are you the second in the chinese up main ranking?",哎呀呀，发现子柒在国内造质疑了耶，别更国内频道就好了哇。来YouTube哇。这里喷子没那么多啦。这里的广告收入也很高嘛。看了个视频，你是中文up主排行第二嘛
43287,Ugwjp6mD_8QH3_IJ_mp4AaABAg.8rO5ZohD1up8riBjHljrlB,1,4 years ago,'m korean. my boyfriend is arab. we make videos in vienna. could u come to my channel?,我是韩国人。我的男朋友是阿拉伯人。我们在维也纳制作视频。你能来我的频道吗？
13753,UgzenQxAYonbQK66oSZ4AaABAg,1,2 years ago,this channel is great,这个频道很棒
12049,UgynhcWwI_aSMAqgEN14AaABAg.9Dk_hYV3Ro39Drplao5LQU,1,2 years ago,support my youtube channel,支持我的YouTube频道
14396,UgyebiSzSRzWTRoGhgN4AaABAg,1,2 years ago,"just found this channel. then, i really gain peacefulness. this content cool off my mind and soul. thank you",刚刚找到了这个频道。然后，我真的得到了和平。这个内容使我的思想和灵魂凉爽。谢谢
42595,UgwY-_aUkBBFTsLQgCJ4AaABAg.8raD4B3DMMq8riBoVcFo9y,1,4 years ago,'m korean. my boyfriend is arab. we make videos in vienna. could u come to my channel?,我是韩国人。我的男朋友是阿拉伯人。我们在维也纳制作视频。你能来我的频道吗？
12443,UgzFEBwLw5Mnhq4wWO94AaABAg,1,2 years ago,"her way of life and cooking is the international language which brought all of us from around the world to this channel, no translation is necessary.",她的生活方式和烹饪方式是将我们所有人从世界各地带到这个频道的国际语言，无需翻译。
12752,UgzTZSDg0MOdLiC9bGh4AaABAg,1,2 years ago,this is my most favourite video from liziqiii channel,这是我最喜欢的Liziqiii Channel
40402,UgydeOYX1Xd5wejEntd4AaABAg.8sMEIDfoSkB8sNDH5SbjUR,1,4 years ago,"this channel is focus on food. watch her other video, she did show her grandma's face.",该渠道专注于食物。观看她的另一个视频，她确实展示了奶奶的脸。
39687,Ugxlh_NSY9XALCTfnT14AaABAg,1,4 years ago,i love this channel very much. but i ask you to translate into arabic,我非常喜欢这个频道。但是我要求你翻译成阿拉伯语
42197,UgynEZZy7wsuJv7LLUt4AaABAg,1,4 years ago,"i hope you can read my cmt, admire and love you very much! wish your channel always develops ♥♥♥",希望您能阅读我的CMT，非常欣赏和爱您！希望您的频道始终开发♥♥♥
42030,UgwYJHmnPrYDPCEv2rt4AaABAg,1,4 years ago,love this channel sooo much,非常喜欢这个频道太多了
13943,Ugws8OCYLfXe-ytDW3R4AaABAg,1,2 years ago,today i first time joined your channel nice work and strong woman,今天，我第一次加入您的频道出色的工作和坚强的女人
13053,UgxDlf67GoKF71-J-vx4AaABAg,1,2 years ago,hello subcribe to my channel,你好施加我的频道
13346,UgziWlCvyqxZC6Nv_HN4AaABAg,1,2 years ago,what an amazing channel i love this!! i wish i had discovered this earlier,我喜欢这个频道多么了不起！我希望我早点发现了
13609,Ugyc1tU6CoOydH9NoN54AaABAg,1,2 years ago,very good your content @adef bs channel,非常好您的内容@adef BS频道
53066,UgzCYv3uV1QiKO9IXxZ4AaABAg,1,4 years ago (edited),"i instantly clicked when i got the notification, yet there's always 54 likes. wow. on my channel, it takes months to get even half of the amount of likes she gets in less than 1 min haha",收到通知时，我立即单击，但总有54个喜欢。哇。在我的频道上，甚至要花几个月的时间才能得到她不到1分钟的喜欢的一半。
36145,UgzNrRFf3VzthhtF9Dp4AaABAg,1,4 years ago,wow yammy best channel ever i love it keep it up your grand mother is very lovely too๐.,哇，Yammy最好的频道，我喜欢它，请继续保持您的大母亲也很可爱。
15084,UgzQP__jIbd9L0C78SJ4AaABAg,1,3 years ago,"i thought this channel is about cooking, but all i see is love and care. 
love grandma’s hat","我以为这个渠道是关于烹饪的，但我所看到的只是爱与关心。
爱奶奶的帽子"
34739,Ugy2u-UV4OMqdopWUVd4AaABAg,1,4 years ago (edited),i love this channel๐ so much๐’— . i will never get tired of watching every videos of this channel,我非常喜欢这个频道。我永远不会厌倦观看此频道的所有视频
31929,UgyifUpotcy8X329t7t4AaABAg,1,4 years ago,this channel is straight out of a monster hunter game minus the hunting.,这个频道直接来自怪物猎人游戏，减去狩猎。
32159,UgztKYfuTOtLAbpdp154AaABAg,1,4 years ago,iยดm obsessed with this channel! โค๏ธ๐,我对这个频道着迷！ ❤️
26480,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy98zhQKEZs6i,1,3 years ago,guys if you like me to shout out your chanel ..in my channel coment,伙计们，如果你喜欢我大喊你的香奈儿..在我的频道上
26179,UgwQdehRp_7a7Gz3Xz94AaABAg.8zoNNAQmde-90-uB4gTyHL,1,3 years ago,@user-sc8cy5qc6e now a days... many people have their own youtube channel. and among those some of them really don't deserve it... they make unnecessary/useless or fake stuffs. so maybe you are right she is making million. but that's not a crime...and also...her videos are not unnecessary or useless.... many people loved her because she is prioritizing village lifestyle and cooking and all the village activities... that's what's people love...it's also meditative to watch her videos. so i hope you won't get offended by her.... cause we are not...๐๐๐’—๐’—,@user-sc8cy5qc6e现在是几天...许多人都有自己的YouTube频道。其中有些确实不值得……他们制作了不必要的/无用或假的东西。所以也许你是对的，她正在赚百万。但这不是犯罪……而且...她的视频不是不必要的或没有用的。...许多人爱她，因为她优先考虑乡村生活方式和烹饪以及所有乡村活动...这就是人们喜欢的。 。观看她的视频也是冥想的。所以我希望你不会被她生气。...因为我们不是...
25744,UgwVvi6VMvloIniszht4AaABAg,1,3 years ago,"wow! your awesome, all of your videos i watching because your so beautiful and i like you. i am beginner vlogger her in the philippines, i have 2 subscriber only for 1month but i still fighting and i always filming my videos to upload in my youtube channel.
good job li ziqi your the best cooking master woman..i love you ๐","哇！您很棒的所有视频，我看的所有视频是如此美丽，我喜欢您。我是菲律宾的初学者vlogger，我只有2个订户，但我仍然战斗，我总是在拍摄视频以在我的YouTube频道上载。
好工作李Ziqi你最好的烹饪大师女人..我爱你"
25477,UgztdOY45fymLMcZZTp4AaABAg,1,3 years ago,assalyamu alaikum! my dear brothers and sisters. please support my young islamic channel. subscribe and click on the bell. jazakum allahu hairan!,Assalyamu Alaikum！我亲爱的兄弟姐妹。请支持我年轻的伊斯兰频道。订阅并单击铃铛。 Jazakum Allahu Hairan！
25001,UgxfmkvHg4wXeF4qJ514AaABAg,1,3 years ago,"in the past, this channel did not have subtitles, thoroughly developing on youtube",过去，此频道没有字幕，在YouTube上彻底发展
24633,UgwRQ3K5XxNW3yI2d3Z4AaABAg,1,3 years ago,is anyone in vietnam ๐ป๐ณ or see the channel of the small house,是越南的任何人还是看到小房子的渠道
24147,Ugx_TZ7L9ZSeJcBAbId4AaABAg.91U9KIRGN8y92S76Ui3eEF,1,3 years ago,"i am not doing anything about the irritable pink. if you want to scold the central government or the chinese, please scold under the china news channel. at that time, there will be a bunch of chinese people to teach you what is the solidarity of a chinese. don't think that you can see a sense of superiority all day long, the more you say that, the more you look ignorant.",暴躁小粉红diss 宁没事吧，在这里都是喜欢子柒的人，你居然来这种视频底下吵架，宁是没什么可以杠了就到处骂人吧。你要是想骂中央或者中国人请到中国新闻频道下面骂，到时候会有一堆国人教你到底什么才是一个中国人的团结。别一整天以为自己看个外网还看出优越感了，越是说这种话，越显得你无知可笑。
23599,UgytvqcR4To2ute270N4AaABAg,1,3 years ago,this is my dream channel,这是我的梦想频道
23395,UgwDT1gE-boAZT2ZhJx4AaABAg,1,3 years ago,"i adore this channel, everything is so cute and very tasty, and the girl is just on all hands, and builds and cooks, and bakes, now there are no such girls, everyone is only waiting for a freebie, smart and big well done๐ค—๐ค—๐ค—๐ค—",我喜欢这个频道，一切都很可爱又非常美味，这个女孩只是在所有人的手上，建造和厨师和烤肉，现在没有这样的女孩
22824,Ugwgz5LtJq_HMIU8g_d4AaABAg,1,3 years ago,this is the most view from her channel??,这是她频道的最大景色？
22584,UgwyA2rlviTQ1WUL1Lx4AaABAg,1,3 years ago,come my channel ๐ค—๐ค—๐ค—๐ค๐ค๐ค๐ค๐‘๐‘,来我的频道
34543,Ugw5s9z3MVHWUuAa_XR4AaABAg.8uztCsvLOer8vU8s6pSoWb,1,4 years ago,"i was thinking the same thing how could you capture that on camera this channel obviously has a talented and creative camera man director and editor

the music and audio that's also perfectly tailored to the scene","我在想同样的事情，你怎么能在相机上捕捉到这个频道显然有才华横溢且创意的摄影师导演和编辑

音乐和音频也非常适合现场"
22052,UgyBVZ1NwsDFb_WHiLh4AaABAg,1,3 years ago,this channel cures depression tbh,此通道治愈抑郁症TBH
31874,UgwzD1Xja9JigZ4vv0F4AaABAg,1,4 years ago,glad i found this channel,很高兴我找到了这个频道
31857,UgwSerpg9bl2tpLTr9V4AaABAg,1,4 years ago,was this music from digimon adventure? whoah the memories :p this was just so pleasing to watch like every video iโ€ve been watching in your channel!,这是Digimon冒险的音乐吗？哇，回忆：P，就像我在您的频道中观看的每个视频一样，观看真是太高兴了！
27118,UgwHw3wHOdIRaD8fMHd4AaABAg,1,3 years ago,what a wonderful channel,多么美好的频道
30629,UgzMmRk6M7zCwSyObEF4AaABAg,1,3 years ago,hi im new to your channel and i like what you do and how your so creative of what you do and the things you make and how they turn out very lovely at what you do keep it up,嗨，我是您的频道新手，我喜欢您的工作，以及您如何创造自己的工作以及您所做的事情以及它们如何非常可爱的事情，
