,cid,votes,含channel,含channel中文翻译
4113,Ugy5wQ4O8YHBZ1x3_IN4AaABAg,1,"it's good to kc long nya, he was worried, there is a ntn channel we love it?",对KC Long Nya来说是一件好事，他担心，有一个我们喜欢的NTN频道吗？
4429,UgyIrHASz9E8JvFIgw14AaABAg,1,please subscribe and like after watchingy channel. thanks!,请在观看频道之后订阅并喜欢。谢谢！
4716,UgxgkIUq7AboA6LZOut4AaABAg,1,"my dear guests. i'm waiting for you on my game channel ,",我亲爱的客人。我在我的游戏频道上等你，
31656,UgyU8lQ3_HWOAi9OAyd4AaABAg,1,"can i give you a suggestion to you a little sub? thank you for the sub, but can you only sub the words or dialogue in the video? sub is sometimes too personal and inserted with unnecessary words. liziqi's video is very peaceful and peaceful to see the scene mainly, sometimes curious liziqi and what she says to each other, the conversations are not sub. sometimes there are sub friends also insert sub ads for her channel, so it is very difficult to understand and uncomfortable. i said frankly, i hope you are sympathetic.",我可以向您提供一些建议吗？谢谢您的潜艇，但是您只能在视频中删除单词或对话吗？ Sub有时太个人化，并用不必要的单词插入。 Liziqi的录像带非常和平，很安静地看到现场，有时是好奇的Liziqi以及她彼此所说的话，对话不是sub。有时，有子朋友还为她的频道插入子广告，因此很难理解和不舒服。坦率地说，我希望你很同情。
4946,Ugz0ZPwa4hFhNAqlhWl4AaABAg,1,https://www.youtube.com/channel/ucjt5bvmut7txwilbovtweqg,https://www.youtube.com/channel/ucjt5bvmut7txwilbovtweqg
5028,UgzNqvBWu6LgE9rq6Rp4AaABAg.9HwTh4DjVZe9I0hTyGxQsF,1,"encourage me for more nature videos like, share, subscribe to my channel friends .. natural bird sounds https://youtu.be/ezfmbkjcevy",鼓励我制作更多自然视频，例如，分享，订阅我的频道朋友。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。
31433,Ugxy1xBlyl-Zdfxh0xV4AaABAg,1,"i saw this video in other chanel 2 days ago, is that your channel too?",我2天前在其他香奈儿（Chanel）看了这段视频，那是您的频道吗？
5260,UgywrYEbifBNxf3QiCd4AaABAg,1,i love your channel itโ€s amazing it actually puts in perspective of how people actually used to live love u from michigan,我喜欢您的频道，这真是太神奇了，它实际上使人们真正地从密歇根州生活过Love U
31339,Ugyh-M8i-cQ29Fx8FIx4AaABAg,1,"i once lived in guangxi & ate luosifen alot, very delicious
liziqi cooks luosifen in sichuan style, look more reddish & with much more ingredients
definitely love this channel
greetings from indonesia","我曾经住在广西和吃饭，非常美味
liziqi以四川风格的luosifen厨师，看起来更红色，更重要的成分
绝对喜欢这个频道
来自印度尼西亚的问候"
31172,Ugy1nADOy5ZnzbFb7rh4AaABAg.8yVKCqZJTAJ8yVM3Aejnqg,1,"i've followed this channel since 2017, at that time it was hold by a fan. then in 2018 this channel got her authority and became the official one on youtube. however i guess she does not earn money from youtube, but her online shop selling those food products in china is quite popular, that she can make a living.",自2017年以来，我一直关注过此频道，当时它被粉丝持有。然后在2018年，该频道获得了她的权威，并成为YouTube上的官方渠道。但是，我想她不会从YouTube赚钱，但是她在中国出售这些食品的在线商店很受欢迎，她可以谋生。
5671,UgwpUI0m8Mk-QT1ICNl4AaABAg.9G4tMmRfxew9JeFfwdXoiG,1,"@tomrauhe don't think you are right and the rest of the world is wrong. tried to be nice with you, but you showed you are narrow-minded paranoid. just leave the channel.",@Tomrauhe认为您是对的，世界其他地方是错误的。试图和你在一起，但你表明你是狭narrow的偏执狂。只需离开频道即可。
5726,UgypqkG4l6jFfpfID1t4AaABAg,1,i like the channel. best,我喜欢频道。最好的
30808,Ugwl4Ay93xXqb6h2UOR4AaABAg,1,"ya elah 7:55 7:58 kangkung and krokot. makan krokot jg toh disana. hem... popular enaugh.
that's snail river rice noodle looks yummy. we also had that kind of dish to in indonesia. 
love your channel.","Ya Elah 7:55 7:58 Kangkung和Krokot。 Makan Krokot JG Toh Disana。下摆...流行的恩。
那是蜗牛河稻面看起来很好吃。我们在印度尼西亚也有这样的菜。
爱你的频道。"
30754,Ugz-t7X20T_3fi6G9v14AaABAg,1,"hello, i am a vietnamese, thank you for translation into vietnam, your youtube channel is very easy to use
i register and like it","你好，我是越南人，谢谢你翻译成越南语，你的youtube频道非常好用 
我注册并喜欢"
30586,Ugx0QYxH7qRBCOG7xXl4AaABAg,1,subscribe to the channel of the billion from the time when the billion has 300k sub until now without giving up a video. i just hope the facebook and group on facebook to support the billion -qaq,从十亿美元的渠道订阅十亿美元的渠道，直到现在到目前为止没有放弃视频。我只是希望Facebook和Facebook上的小组支持十亿-QAQ
5936,UgyFvC2cMhcyighhtvx4AaABAg,1,"watch this channel for the whole period. after that, don't forget to comment according to the content and carefully sound the bell. beginners of youtube, leave trails without using strange words. may you be blessed by god.",在整个时期观看此频道。之后，不要忘记根据内容发表评论，并仔细地铃响。 YouTube的初学者，不使用奇怪的单词离开小径。愿你得到上帝的祝福。
30536,Ugxgxj6JDR4rMS4jA6l4AaABAg,1,many foreign languages ​​seem to be on the english channel ......,好多外国语 仿佛我在英文频道.....
6149,Ugy4X_D0xB1UTqSb3b54AaABAg,1,"i also do youtube about music invites everyone to see
https://m.youtube.com/channel/unbdvjaacp_9dlit2r1xszg","我也对音乐进行YouTube邀请大家看
https://m.youtube.com/channel/unbdvjaacp_9dlit2r1xszg"
6412,UgzFisYmnZUAV3e7BaZ4AaABAg,1,"i welcome all to my dubai travel and food channel ๐‘๐๐’
https://m.youtube.com/channel/uck32f2xtg61xrkk4rn42u6q/featured","我欢迎所有的迪拜旅行和美食频道
https://m.youtube.com/channel/uck32f2xtg61xrkk4rn42u6q/featured"
3847,UgwwqU9uHGsoITN3VH94AaABAg.9M4BKuHcPWE9M7Af7iqT7m,1,"@broyee5981 jii looking for what you're in this channel

fasting lah","@broyee5981 jii在此频道中寻找您的内容

禁食拉赫"
31945,Ugz5SQzSVIB9U4-q1np4AaABAg.8yV2HUWJ-2e9-M7m8LVa_X,1,this channel should not belong to him! i will reply if i am what i am,这个频道应该不属于他本人的吧！是本人的话就会回复的
3568,UgzNGcYq4M6nHenkh8x4AaABAg,1,i like to watch this channel very much.,我喜欢看这个频道。
802,UgwE8HrrR6u46VVrhVh4AaABAg,1,1 years channel of,1年频道
276,UgxuWbTm2T-v2hlNjQF4AaABAg,1,i really miss this channel,我真的很想念这个频道
35198,Ugw841UJ83pw3SFTpgd4AaABAg,1,"im your number 1 fan❤️

i hope my channel grow as yours","我是你的数字1粉丝❤️

我希望我的频道随着你的频道而增长"
398,UgxIAGnT2twGK2N0eLx4AaABAg.9knK_g6GSvZ9l69RaJd2cl,1,she and her grani lives in rural area of szechwan (si chuan) province. and she will soon to post new vids now on her channel.,她和她的格兰尼居住在西奇万（Si Chuan）省的农村地区。她很快将在她的频道上发布新的视频。
35099,UgwPtAXmqIr9ZzbM-NF4AaABAg.8yUS2-MVzry8yUVNV5sZvs,1,i am a big fan of this channel too .. her way of cooking is really awesome .. loving this channel very much ... very satisfying .. ❤❤❤,我也是这个频道的忠实粉丝。她的烹饪方式真的很棒。非常喜欢这个频道...非常令人满意。
501,Ugy0tffCWRnA0naCJAp4AaABAg,1,"this is what i call the different way to enjoy cooking program,the one of my favourite channel",这就是我所说的享受烹饪计划的不同方式，这是我最喜欢的频道之一
521,UgyWiSbY1uezdUiFzsp4AaABAg,1,"unfortunately why liziqi does not produce youtube content in 2022, although everything she does is very inspiring and highly creative. hopefully liziqi can recreate content on her youtube channel. amen",不幸的是，为什么Liziqi在2022年不生产YouTube内容，尽管她所做的一切都非常鼓舞人心且具有很高的创造力。希望Liziqi可以在她的YouTube频道上重新创建内容。阿门
34445,UgzJtbKqrW6y5ln2dwt4AaABAg,1,this beauty and creativity deserve a billion subscribers very cool. greetings channel world agriculture,这种美丽和创造力值得十亿个订户非常酷。问候频道世界农业
752,UgzEmbGreqBw1Sc7hFx4AaABAg,1,this is the greatest channel on all of youtube,这是所有YouTube上最伟大的频道
980,UgwlCaUn0GUK9CSYNS54AaABAg,1,it's been 10 months since your last upload. waiting for your new videos. or do you have a new channel?,自您上次上传以来已经有10个月了。等待您的新视频。还是您有新频道？
3172,UgxbGcS0na6rBTmIoD54AaABAg,1,i really like this channel. happy every time i watched always follow from thailand fans,我真的很喜欢这个频道。每次我看着总是跟随来自泰国球迷
34007,UgxN4xMoPhDEzraXLX94AaABAg,1,"receiving a notification coming from her channel makes me happy. finishing a new video with her never-ending skills just made my day so good!!! kudos to you, girl!",收到她的频道的通知使我感到高兴。用她的永无止境的技能完成了新视频，这使我的一天变得如此美好！！！对你的敬意，女孩！
33942,UgwbZgQN2Yw75TyVeod4AaABAg,1,yay! i am early for the first time ever!!!! love your channel liziqi! your videos are always entertaining!,耶！我是第一次早些时候！！！爱你的频道liziqi！您的视频总是很有趣！
33346,UgyGNSFC7e1SF0qJWBF4AaABAg.8yUcZkJ2iTC90jLsxsS3wL,1,"don't think about it, li ziyi does not intend to maintain this video program in future plans, let alone expand overseas. perhaps in a few years, li ziyi stopped the update of this channel.",你们别想了，李子柒在以后的规划里，并不打算维持这个视频节目，更不会扩展到海外。也许过几年，李子柒就停止这个频道的更新了。
33018,Ugzfi1oK85FDwiUjp7Z4AaABAg,1,your channel is so efficency with your cooking we can love vegetables,您的频道对您的烹饪非常有效，我们可以爱蔬菜
32902,UgyCmizRb4bOTTx4oLV4AaABAg,1,really love this channel the dishes and food ingredients are amazing x,真的很喜欢这个频道的菜肴和食物成分很棒x
2376,UgypUuyK7unT7_SWGVp4AaABAg,1,"by god, i love her and i love her channel and his polytheism, despite what they do not know the most things",靠上帝，我爱她，我爱她的频道和他的多神论，尽管他们不知道大多数事情
2587,Ugw2BflNGRGx9vTnVrR4AaABAg,1,i love liziqi channel her cooking videos really amazing,我爱liziqi频道她的烹饪视频真的很棒
32602,UgzeG_DpaF61rjs_i7d4AaABAg,1,https://www.youtube.com/channel/uc9rgsau_tjcjnizk8v_sy7g,https://www.youtube.com/channel/uc9rgsau_tjcjnizk8v_sy7g
6511,UgwbF43C4rqnDHn0vK94AaABAg,1,good cooking liziqi channel,好烹饪liziqi频道
31688,Ugyxy57pToqZB_bQL-14AaABAg,1,please support my channel to thank you very much,请支持我的频道，非常感谢您
20070,UgyoDg-bqje9ONumD_54AaABAg,1,"liziqi, i love your channel, and all the knowledge that you share with all of us.
one day i hope to find a woman like you to marry 
keep all the great content coming!","Liziqi，我喜欢您的频道，以及您与我们所有人分享的所有知识。
有一天，我希望找到一个像你这样的女人嫁给
保持所有伟大的内容！"
29530,Ugw7pdGvQF_fd0s96zJ4AaABAg.8yWiBLps9B58yc-CLski1p,1,@xiaonianchannel hi sir don't be racist please,@xiaonianChannel嗨，先生，请不要成为种族主义者
29488,UgwBJL_9kO2KOXB6ZKt4AaABAg,1,"i just don’t get the people...more like trolls that comes in here and say liziqi is an actress, her channel is chinese propaganda, etc.

i don’t believe liziqi is an actress or that her channel is chinese propaganda. but even if liziqi is an actress or her channel is chinese propaganda, so what? that does not change the fact that liziqi is an amazing woman and her show is a super top quality show that’s informative, educational, mesmerizing, interesting, and highly entertaining.","我只是没有吸引人们...更像是在这里进来的巨魔，说Liziqi是一名女演员，她的频道是中国的宣传，等等。

我不认为利兹奇是一名女演员，也不认为她的频道是中国宣传。但是，即使利兹奇是女演员，还是她的频道是中国的宣传，那又如何呢？这并没有改变Liziqi是一位了不起的女人，她的表演是一场超级质量的表演，内容丰富，教育意义，令人着迷，有趣且非常有趣。"
6900,UgzRs-m2bcXe-F3OLbN4AaABAg,1,plz support my channel name krishna raj gaming plz friends,请支持我的频道名称Krishna Raj游戏PLZ朋友
6997,UgwkPndnIgCSwaPJ4KF4AaABAg,1,am new on your channel,在您的频道上是新的
7178,Ugz5vlhwQsUUC6rDa9Z4AaABAg,1,i really love this channel..... i watch it everytime,我真的很喜欢这个频道.....我每次都看着它
6690,UgyFtEOP207Xt_6tZwB4AaABAg,1,i found that the chinese are not much to see your channel.,我发现华人看你频道的反而不多欸
6921,UgzhLfv10DLOfN-W8Xl4AaABAg.9DrBV-z1UcC9F1w2wZvnGY,1,@milkknife i believe u messeged the wrong channel go back to facebook.,@milkknife我相信您将错误的频道汇总到了Facebook。
21550,UgwC5k9bX53-d9QYNdN4AaABAg,0,best channel aver,最佳频道平均
21873,UgxNp6xdgGWlXzzPfFl4AaABAg,0,hai..please my channel subscribe .. https://youtu.be/quc7_dtbla4,hai..please我的频道订阅.. https://youtu.be/quc7_dtbla4
21350,Ugw6bGalG6GxpFvlT0B4AaABAg.9-zPuOjOPAT90YH1YXRXjW,0,maybe my channel is cool,可能订阅我的频道很酷
21388,UgyIzZPvbhtoE0nKlYV4AaABAg,0,"thanks, your videos are great, please have a look on my channel too https://youtu.be/cisgvozhabe",谢谢，您的视频很棒，请在我的频道上查看https://youtu.be/cisgvozhabe
22364,UgyFpO_fSvqgClEc7ux4AaABAg,0,"hi beautiful sister, delicious cooking :)) i will support her channel",嗨，美丽的姐姐，美味的烹饪:)）我将支持她的频道
22362,Ugyp-ADCR8-qBp0Ac4l4AaABAg,0,"""a miniature world"" is channel about unexpected situations, random and extremely interesting for the children, as well as life around the world through the eyes of children. “ a miniature world ” channel is a real miniature foods cooking channel. tiny foods are being cooked in very tiny, mini earthen or aluminum pots and served for viewers. you can enjoy the real recipes as tiny foods or mini foods. we all love miniature things and we'll enjoy tiny stuffs, its miniature kitchen for cooking real foods in miniature pots.",“一个微型世界”是关于意外情况，随机且对孩子以及通过儿童眼中的生活非常有趣的渠道。 “微型世界”频道是一个真正的微型食品烹饪频道。小食物正在用非常微小，迷你泥土或铝制锅中烹制，并为观众服务。您可以享受真正的食谱，例如小食物或迷你食品。我们都喜欢微型的东西，我们将享受微小的东西，它的微型厨房，用于在微型锅中烹饪真正的食物。
28467,UgzDaG0XSTO0dDEQ1ut4AaABAg,0,it's just me!? who is addicted to this channel?,只有我！？谁沉迷于这个频道？
22349,UgxvKeQ_RhBT2JTG_St4AaABAg,0,"beef, it's what's for dinner, my first advertisement in 45 minute of viewing this awesome channel, come on youtube, pick up your game, give this lady some money.",牛肉，这是晚餐的东西，这是我在观看这个很棒的频道的45分钟内的第一份广告，来YouTube，拿起游戏，给这位女士一些钱。
33489,UgwBoDIfHDEyEWLnoYp4AaABAg,0,i really like your channel and will continue to support you,我真的很喜欢您的频道，并将继续支持您
22348,UgwYTm4e2Fzs1RNuNPB4AaABAg,0,this person can really say i worked really hard for my channel to grow. she deseves a 100 subs to!,这个人真的可以说我非常努力我的频道成长。她将100个潜艇分解为！
33085,Ugz3Do0MO1gxAcEbJfl4AaABAg,0,are i just indonesian people watching this channel?,我只是印尼人看这个频道吗？
21829,UgyX18MSyetktUnI7R94AaABAg,0,hey guys please also subscribe to my channel thank u,大家好，也请订阅我的频道，谢谢
33411,UgyNJh7u_ybnVY-9btB4AaABAg,0,i'm so in love with this channel...,我很喜欢这个频道...
21783,UgwHHw9NsEGyLXeYM3F4AaABAg.9-WlF9BrJ_t9WDjg4527va,0,"~* chinese vloggers similar to liziqi:
dianxi xiaoge little brother | anxiaolu an xiaolu | longmeimei longmei |
grandpa amu grandpa amu | laotai arui old tai arui | summer kitchen xia kitchen chen 20 |
ermichuiyan two -meter cooking smoke | ms miao office channel miaomei jiu yang official channel

~* liziqi's popular background music:
cloud blow | april sakura | sakura march | begonia sleep | august 23 | always with me |
lovesickness ocarina | accel world bye bye | lough leane | sudden
it's better not to read | cicada banxia | huai ancient legacy | hometown story | tao lin | new year's eve | in the past | mo yu","~* Chinese vloggers similar to Liziqi: 
Dianxi Xiaoge 滇西小哥 | AnXiaoLu 安小鹿 | LongMeiMei 龙梅梅 | 
Grandpa Amu 阿木爷爷 | Laotai Arui 老台阿瑞 | Summer Kitchen 夏厨陈二十 | 
ErmiChuiyan 二米炊烟 | Ms Miao Official Channel 苗妹九秧官方频道 

~* Liziqi's popular background music: 
云吹动 | 四月樱花 | 樱花三月 | 海棠未眠 | August 23 | Always with Me | 
Lovesickness Ocarina | Accel World Bye Bye | Lough Leane | 忽如一夜梨花开 | 
不如不念 | 蝉鸣半夏 | 淮古遗殇 | 故乡物语 | 桃林 | 除夕 | 昔年 | 墨雨"
21782,UgwHHw9NsEGyLXeYM3F4AaABAg.9-WlF9BrJ_t9W5iNY2Sj4v,0,you can check out gayyem benben channel. he is making contents like this too. he cooks filipino food too. i hope this helps.,您可以查看Gayyem Benben频道。他也是这样的内容。他也煮菲律宾食物。我希望这有帮助。
28404,UgwyTHfh_wYr0Wo8hJ14AaABAg,0,i was deeply impressed by your channel and i want to live like your country life. i love your life in your life.,您对您的频道印象深刻，我想像您的乡村生活一样生活。我爱你的生活。
33088,Ugx20X748Zi50PGeawp4AaABAg,0,an amazing sister of china.. i really like your channel.. lot of love.,一个了不起的中国姐姐..我真的很喜欢你的频道..很多爱。
33208,UgxB_u29noEsjMJj_Qt4AaABAg,0,"dear channel's owner. please tell to liziqi that her grandma is great woman. every time i see grandma - i'm happy she is in good health and mind. please, ask liziqi to keep adding her grandma to each video. thank you in advance!",亲爱的频道的所有者。请告诉Liziqi她的祖母是伟大的女人。每次我看到奶奶 - 我很高兴她身体健康和心灵。请让Liziqi继续将祖母添加到每个视频中。先感谢您！
21691,UgxAWYk7DJa6Hv8kFf94AaABAg,0,pls support my channel. still learning to edit my videos. your support will be much appreciated. thank you,请支持我的频道。仍在学习编辑我的视频。您的支持将不胜感激。谢谢
21402,UgyvpqcRkCOYbk3Q5tR4AaABAg,0,hi mam please visit may youtube channel inday visayan blog,嗨，妈妈，请访问May YouTube频道Inday Visayan博客
21596,UgwqrY9otjWLiIVgExB4AaABAg,0,"nice production, as far as chinese-trying-to-channel-japanese goes, but this is simply not the ""rural china"" is like. no one - and i mean, no one - in china keeps their place their rural kitchen and places this clean.",就中国的渠道 - 日本人而言，这是不错的制作，但这根本不是“中国农村”。没有人 - 我的意思是，没有人 - 在中国将他们的乡村厨房保留下来，并将其整洁。
32974,UgxZjDZeqbtUF1PXKgZ4AaABAg,0,this never happen before with this channel... i'm starting to escape most part of the video,这个频道以前从未发生过...我开始逃脱视频的大部分
22544,UgxzUzqAPT-5GnbPSJJ4AaABAg,0,i love this channel,我喜欢这个频道
32864,Ugw_KW2pdQjs1YDG7g54AaABAg,0,vietnam now has a channel like this,越南现在有这样的频道
22884,UgymxalCiD4Huii3wIl4AaABAg.8zuNQpbMst59-Dm3GVTcS_,0,"everything is shooting ...
she a youtuber and she did everyting with help of channel staff (helper)","一切都在射击...
她是YouTuber，她在频道工作人员（助手）的帮助下进行了一切"
23917,Ugzn8Xnndfc3MXVzaPF4AaABAg.8zZxqlZzdIZ8z_WfEKKcuG,0,"hello everyone, i am a food,
a short video of outdoor food, there are wine, meat, and story food blogger!
don't forget to subscribe to a food youtube channel ▶ https://www.youtube.com/channel/ucsqjxsatr77gha8s7dbiv7qq","大家好我是一条美食，
一个专注户外美食短视频，有酒有肉有故事美食博主！
喜欢的别忘了订阅一条美食YouTube频道▶https://www.youtube.com/channel/UCsQJxSatR77GHA8s7dbiv7Q"
23635,UgxZEWUjof4pRMb-Nw54AaABAg,0,"after i saw many videos of your channel, i realised one thing. all of the good or things was made from nature, even the clothes. but, i don't know and have not see, how make oil from nature? can you make video abt it? thankyou so much",在看到您的频道的许多视频后，我意识到了一件事。所有的好处或事物都是由大自然制成的，甚至是衣服。但是，我不知道，看不到，是如何从大自然中造出石油的？你可以做视频吗？太感谢了
23582,UgxyurD0SnYk-lOwmT54AaABAg,0,"dear liziqui.... m not sure if you know this but there are people who are stealing your videos and publishing as their own in their channel for subscribers..... you did the hard work and i want only you too benefit from it..... do you have a copy right policy... please look into this and stop these low lives from stealing your videos.
...a liziqui fan","亲爱的liziqui .... m不确定您是否知道这一点，但是有些人正在窃取您的视频并在其频道中出版作为订户的频道.....您做了艰苦的工作，我只希望您也从中受益它.....您是否有正确的副本政策...请探讨这一点，并阻止这些低生活窃取您的视频。
... liziqui迷"
23392,Ugy8NakTFx7bMlT_FKt4AaABAg,0,"amazing channel, professional video editing. best traditional food culture. if in indonesia the name is stir -fried bamboo shoots, many gluguts.",惊人的频道，专业视频编辑。最好的传统饮食文化。如果在印度尼西亚，该名称是搅动的，则有许多格鲁格特。
23331,Ugw6XDbdvcZclo2TpWh4AaABAg,0,"the channel where a chubby woman is food is eaten by the whole family
is this man mother? wow, i think you're living alone.
i also watched a video taken by thailand, but there were too many insects flies there.
but their dwellings seem to be really clean and healed because they can't see bugs
and that woman is pretty and pretty, but i think it's really in love to see that food and do it alone
and there are about 6 million subscribers
i think i've been doing it since ancient times and it has been upgraded.
whether you have a lot of income, it is why everyone is watching this video.
it's a filial piety
i can't believe it is really that i edit that video in that residence.
i want to go to experience there","全家人吃食物的胖女人的频道
这个男人妈妈吗？哇，我想你一个人住。
我还观看了泰国拍摄的视频，但是那里有太多的昆虫飞了。
但是他们的住宅似乎真的很干净和治愈，因为他们看不到虫子
那个女人漂亮又漂亮，但我认为看到那种食物并独自做到
大约有600万订户
我认为我从远古时代开始就这样做了，并且已经升级了。
无论您是否有很多收入，这就是每个人都在观看此视频的原因。
这是一个虔诚的虔诚
我不敢相信我真的在那个住所中编辑了该视频。
我想去那里体验"
32410,UgxhhFXgbT02MR4_vDB4AaABAg,0,i love this channel!,我喜欢这个频道！
32477,Ugza--bPwT2t89yX5Xl4AaABAg,0,"the first time i met this channel. 
there are vietnamese subtitles.","我第一次见到这个频道。 
有越南字幕。"
23131,UgyeWVu8KKG9dCT6c1t4AaABAg,0,hello! i have moroccon channel if any person wants to know about moroccon kitchen,你好！如果有人想知道摩洛哥厨房，我有摩洛哥频道
23044,Ugwp5srgK_AYO8G-mnR4AaABAg,0,the first time i saw your channel subscriber is amazing!,第一次看到你的频道 订阅人数很惊人!
23004,Ugwx5unlXYFfa7VWpZ14AaABAg,0,"wow so nice and beautiful 
watch my channel please","哇好漂亮
请观看我的频道"
22994,UgyMworsF-OdAClQg1x4AaABAg,0,this channel is soooo relaxing!!! can’t stop watching.,这个频道很放松！！！不能停止观看。
22837,UgxE8w91dXUpmG6Nz8N4AaABAg,0,"new fan here from saudi, glad i found your channel.. its so refreshing and it gives me new direction in life!! city is not for everybody and coutryside sometimes gives healing to a dying soul.. kudos!!",沙特的新粉丝，很高兴我找到了您的频道。它令人耳目一新，它给了我生活中的新指导！城市并不适合所有人，Cotryside有时会为垂死的灵魂提供康复。
21281,UgyzdS3AxwlIk5fH3vV4AaABAg,0,this channel it best in the world,这个频道在世界上最好
22827,UgwiRb3toVfHYyZ4YmN4AaABAg,0,found the channel last night and i love it. it's so relaxing. so beautiful. i want to live there.,昨晚找到了频道，我喜欢它。太放松了。如此美丽。我想住在那里。
22814,UgwiX6WIOuiiimowrOB4AaABAg,0,faking experts channel.,伪造专家频道。
32484,UgyVmkwi_eJZkIaTX694AaABAg,0,i think it's really cool to see your channel,我认为看你的频道真的很酷
28332,UgwXkaSIr1ZLrlonsZx4AaABAg,0,i love liziqi channel,我爱liziqi频道
22682,UgxWhjRerjYtIhg5Fmh4AaABAg,0,"wait in you live freely why you have youtube channel if no internet
ummmm","在没有互联网的情况下，请自由地等待您的生活
嗯"
22628,UgwX-WUFLi7r6mtYuUJ4AaABAg,0,what a beautiful channel. thank you,多么美丽的频道。谢谢
28359,UgxsePMSzEGaet4r-Z14AaABAg.8yZ5Z4PNxMt8yu_vHWoSLa,0,"penny jang is her own channel
there are video descriptions in the channel","Penny Jang 是她本人的频道
频道里有视频说明的"
32636,Ugy_qHAJtyR_ky1-aNJ4AaABAg,0,who needs a subscriber in their channel i am here but you can give me a subscribe too.,谁在他们的频道中需要订户，我在这里，但您也可以给我订阅。
22574,UgyQ0N9LJx9fk_naMMx4AaABAg,0,"your video is very calm, and your channel wishes you a happy life.
i made a video of my motherland like you and told me the peasant's father. i'm a vietnamese
bleak","您的视频一切都非常平静，您的频道祝您终身幸福。
我像你一样制作了我祖国的视频，告诉我农民的父亲。我是越南人
"
32645,Ugx6PtPClEggU81kIOx4AaABAg,0,just discovered copycat channels. i wish this girls could find their own original idea.,刚刚发现的模仿频道。我希望这个女孩能找到自己的原始想法。
29582,UgyIWxNAkcQQNefLcfJ4AaABAg,0,vietsub's channel is not the right content and is annoying for viewers. vietnamese subtitle content is very silly and not good at all. we look forward to reviewing the vietnamese subtitles. i love you and your youtube channel ❤️,Vietsub的频道不是正确的内容，也不对观众感到烦恼。越南字幕内容非常愚蠢，一点也不好。我们期待审查越南字幕。我爱你和你的YouTube频道❤️
21317,UgyzvBBi87RGUGAdnRd4AaABAg,0,"i've seen that a lot more channels have come up trying to replicate liziqi's videos and yeah those are good but honestly, no one can beat her. she's the best out here and whenever i want to relax myself, it's only liziqi's videos that give me peace. everyone else feels like a wannabe. people are trying to copy, sure, but she has a sort of authenticity that is unique to her videos only.",我已经看到，有很多渠道试图复制Liziqi的视频，是的，这些频道很好，但是说实话，没人能击败她。她是这里最好的，每当我想放松自己时，只有利兹奇的视频才能给我和平。其他所有人都像个想成为一个想成为一个。当然，人们正在尝试复制，但是她的真实性仅在她的视频中独有。
33789,UgzFoUh9sgoQ6X_UYnN4AaABAg,0,"am big fan of ur channel,god bless u",我是乌尔频道的忠实粉丝，上帝保佑你
33776,UgyR_UT4RvJAvpnPYqx4AaABAg,0,"best channel on utube, hands down",utube上的最佳频道，放下手
29053,UgyL7dd2_gRHj-mgyWV4AaABAg,0,is liziqi cuisine your channel too ?,Liziqi美食也是您的频道吗？
20595,Ugw14uTcQESiMzsNP3F4AaABAg,0,i saw this on the spot so i looked the channel,我当场看到了，所以我看了频道
34511,Ugx2PnLSiImq4N83K-94AaABAg,0,why is this girl channel so similar to north east india culture...but just better???love you liziqi,为什么这个女孩频道与印度东北部的文化如此相似...但是更好？
20572,UgyMRhSLj0Dn1wPeJPJ4AaABAg,0,https://www.youtube.com/channel/uciejqkjwfvjjrmhj7xiligw,https://www.youtube.com/channel/uciejqkjwfvjjjrmhj7xiligw
20506,UgxSM29xJjrrcG0q0et4AaABAg,0,i found a healing channel i didn't know,我找到了一个我不知道的康复渠道
20505,Ugy9oAP19RQH9Kfr_h14AaABAg,0,add subtitles in spanish please thank you (i like it your channel) kisess,用西班牙语添加字幕，请感谢您（我喜欢您的频道）Kisess
34772,UgzlMrENlHfu0jJ-Vt94AaABAg,0,i love this channel!,我喜欢这个频道！
20503,UgzTtBfM6oVeC6D3kwF4AaABAg,0,"vietsub does not seriously translate at all? for a big channel and serious video like v, vietsub kept joking in it, it was not good at all, joking 1 2 was fine and this sub -eyes, joking",Vietsub根本不会认真翻译？对于像V这样的大频道和严肃的视频，Vietsub一直在开玩笑，这根本不好
34917,Ugw3SPzzOdA15Wv9k1F4AaABAg,0,"her videos, her channel >>> pewdiepie",她的视频，频道>>> pewdiepie
20458,UgwEbxasE63kwFob-Gl4AaABAg,0,"check out this pasta recipes channel!! 
yummy italian pasta dishes!!!

https://www.youtube.com/channel/ucymsqemisz6zxuk8km_3jwa","查看此意大利面食谱频道！！
美味的意大利面食菜肴！！！

https://www.youtube.com/channel/ucymsqemisz6zxuk8km_3jwa"
35023,UgxsQPDDzOJX5-ZyEZt4AaABAg,0,love your channel,爱你的频道
35048,UgxeHXIuzDwBe-wekUt4AaABAg,0,"this's your main channel, isn'n it?",这是您的主要频道，不是吗？
29055,UgxH_njkOv4-ne-Dzix4AaABAg,0,probably the only channel i watch in hd.,可能是我在高清中观看的唯一频道。
