,cid,votes,time,含wonderful,含wonderful中文翻译
2415,UgyuLUKAN06GP4GbUhR4AaABAg,0,1 year ago,"great, excellent, wonderfull!",太好了，很棒，很棒！
18673,UgxjTjZRbY_wXKXlfxd4AaABAg,0,3 years ago,"can i come a live there? i grew up on a farm and can pull my weight, this is just such a wonderful place there and my dream to just live uncomplicated life.
lol i know it is far fetched but one can always dream","我可以在那里住吗？我在农场长大，可以拉大自己的体重，这真是一个很棒的地方，我的梦想只是过着简单的生活。
大声笑我知道这是遥不可及的，但是人们总是可以做梦"
18524,Ugytih4pf2HtPm8dH254AaABAg,0,3 years ago,she’s wonderful . love from uzbekistan,她很棒。来自乌兹别克斯坦的爱
18493,Ugzqf1hVJkfJYdVy9SB4AaABAg,0,3 years ago,what's thé wonderful life. i''innocent. heaven,美好的生活是什么。我以上的。天堂
14788,UgyjsHah5WbXbfbHBP94AaABAg,0,2 years ago,hello sister aim from indonesian .. iam fans you .you so cute and wonderful super women .i like you so much :-),你好印度尼西亚人的姐妹瞄准。
14318,UgwBEwOW8uvO7F-ksI54AaABAg,0,2 years ago,hi liziqi everything you do is wonderful.,嗨，liziqi，您所做的一切都很棒。
20778,UgxzZ7GWN9eXMYzE_kR4AaABAg.94COe8GfzpC94HWm2qdRot,0,3 years ago,"she used to do it herself , filming and editing. sometimes her grandma or uncle would help her hold camera. when she got popular lot ppl start to question her authenticity, wondering how could she produced such wonderful films herself. so some ppl even made up that she was a production of some pro entertainment company. these controversies have hit her hard. she stopped for a while, then restarted. this time she hired ppl to form her own team. she said since ppl always suspected there were other ppl filming for me, then i might as well do that, so i don't have to be so tired going back and forth many many times for 1 shot. she is truly a amazing lady, if you have time can probably read her story. :)",她曾经自己做，拍摄和编辑。有时她的祖母或叔叔会帮助她握住相机。当她受欢迎时，PPL开始质疑她的真实性，想知道她如何自己制作如此精彩的电影。因此，有些人甚至组成了她是一些职业娱乐公司的作品。这些争议使她震惊。她停了一会儿，然后重新开始。这次，她聘请了PPL组成自己的团队。她说，既然PPL一直怀疑我还有其他PPL拍摄给我，那么我也可以这样做，所以我不必那么累了很多次，而是一枪。她确实是一位了不起的女士，如果您有时间可以读她的故事。 :)
14285,Ugyu2QPNRfHScDcI9uZ4AaABAg,0,2 years ago,definitely wonderful !!!!!!,绝对很棒！
9245,UgzEFNFUQFWJXWBJmsB4AaABAg,0,2 years ago,living in nature ... and not the most wonderful,生活在自然界...不是最美好的
9056,UgxWXAI65cu3Spe_AY94AaABAg,0,2 years ago,you are very wonderful,你很棒
8341,UgxghmuPakkvp-uE15N4AaABAg,0,2 years ago,you are amazing and wonderful keep posting more ✌,您真是太神奇了，很棒继续发布更多✌
8330,Ugy5fYGj8vNQ-ThhEEl4AaABAg,0,2 years ago,"how wonderful it is, but you can also https://youtu.be/3k68blj61ro",它是多么美妙，但您也可以https://youtu.be/3k68blj61ro
8093,Ugy_KtB-R-5DsmNux9l4AaABAg,0,2 years ago,"hi lisiqui we are many your followers you should invite that wonderful place
and . spend a whole day with tigo
greetings","嗨，Lisiqui，我们是您的许多追随者，您应该邀请那个很棒的地方
和 。与Tigo一起度过一整天
问候"
7521,UgwLQPF3blMDlCWuBON4AaABAg,0,2 years ago,even chestnuts has nuts that wonderful girl would go with her and the peaches have a delicious yellow color. pipas peanuts by bayxxxxxxx,甚至栗子都有坚果，很棒的女孩会和她一起去，桃子有美味的黄色。
7366,Ugy8yceuCc1YLIL9hQ94AaABAg,0,2 years ago (edited),wow everywhere you can created the wonderful food .awesome!!,哇，您可以创建美妙的食物。
7013,UgyBFmnWL2yYfJFX-Od4AaABAg,0,2 years ago,it's a polite and beautiful life. this woman is a wonderful person.,这是一种礼貌而美好的生活。这个女人是一个很棒的人。
6743,UgzaH9S0UBm0aykgGRF4AaABAg,0,2 years ago,you are wonderful,你太棒了
6697,Ugzv5xsZ04THEiZtaRZ4AaABAg,0,2 years ago,"really, how beautiful and wonderful your work is perfect and skillful",真的，您的工作是多么美丽和精彩的完美和熟练
6428,Ugyo0TTj3NmJOlFArvd4AaABAg,0,2 years ago,"how wonderful it would be if there were subtitles in russian, at least sometimes ... such magic is very destroyed by our misunderstanding ...",如果俄语中有字幕，至少有时候……这种魔术被我们的误解摧毁了...
6252,UgzRmwTmnkd1p4kRxIJ4AaABAg,0,2 years ago,"hello, i love you, your cooks, greenery, and fruits that you use sweet and salary, and with a delicious way, and the implantation of your life is wonderful and balanced or hammam from iraq, thank you",您好，我爱您，您的厨师，绿色植物和您使用甜蜜和薪水的水果，并以美味的方式，植入您的生活的方式是美好而平衡的，或者来自伊拉克的Hammam，谢谢
6180,UgyFifN2-m27KgLdWUp4AaABAg,0,2 years ago,wonderful with your grandmother as happiness and love everything seems easy you are a joy of you watch a thousand thank you,与祖母在一起的幸福和爱，一切似乎都很容易，您的喜悦是您观看一千个感谢您的视频
6141,Ugw-IV4xCDgrLU3zMbp4AaABAg,0,2 years ago,great video my friend. thank you for sharing. have a wonderful day. i can’t wait to see your next video.,我的朋友很棒的视频。感谢你的分享。祝您有美好的一天。我等不及要看你的下一个视频。
6053,UgyhpekAp5DAFSLkoTJ4AaABAg,0,2 years ago,wonderful girl! from fairy tales ..,很棒的女孩！来自童话。
5909,Ugy46OeVUHOZIfRs64l4AaABAg,0,2 years ago,"wonderful life, i raised in village for 18 years before i went to the city for education, after graduation i worked in the city as well, i missed the countryside very much, i think i can find the meaning of life overthere.",美好的生活，我在村里长大了18年，然后才去这座城市接受教育，毕业后，我也在这座城市工作，我非常想念乡村，我想我可以找到生活的意义。
5532,Ugzkz69_Fl4iqchqN3R4AaABAg,0,2 years ago,you are wonderful!!,你太棒了！！
5461,UgzhY-b8FydlAzjl4B14AaABAg,0,2 years ago,"i like to watch. it is a very good woman, cooking food, making household work, etc. it is a wonderful woman.",我喜欢看。这是一个非常好的女人，烹饪食物，做家居工作等。这是一个很棒的女人。
5187,UgyRfbyn3hXxW3DO9pd4AaABAg,0,1 year ago,wonderful photography method,精彩的摄影方法
3397,UgxmXkuJ0vYAbt8gBst4AaABAg,0,1 year ago,you are a wonderful personality,你是一个很棒的个性
3387,UgyCPQl5ywUWjmL7YMV4AaABAg,0,1 year ago,wonderful,精彩的
3363,UgzEO7rrz0hpA_GdQbN4AaABAg,0,1 year ago,i like you and also your chanel . hope you have a wonderful day ❤️,我喜欢你和你的香奈儿。希望你有美好的一天❤️
3153,UgyTH5djRCCPEkwrPAF4AaABAg,0,1 year ago (edited),"i understand the appeal of her videos because they portray an idealized version of a life that stopped existing for most of us generations ago. especially in china where so many have moved from these settings to cities where the jobs are. i can appreciate it while also realizing she is a multimillionaire with a production team behind her to make these things. they are far too professional for a rural woman with an iphone. just because she isn't some simple country girl and this is all staged doesn't mean it isn't wonderful to watch as long as you can separate the fantasy from the reality. the reality of rural life isn't a lovely dream; it's a hard life that most of us wouldn't prefer if we had to live it on a daily basis. she shows an idealized version of the good parts, which is fine for what it is: a fantasy for the cameras. american media does this, too. we elected a fool for president because of a reality show that portrayed him as something he is not.",我了解她的视频的吸引力，因为他们描绘了一种理想化的生活，这在我们大多数人几代之前都停止了。特别是在中国，许多人已经从这些环境转移到工作所在的城市。我可以欣赏它，同时也意识到她是一名千万富翁，在她身后有一个制作团队来制作这些东西。对于拥有iPhone的农村妇女来说，他们太专业了。仅仅因为她不是一个简单的乡村女孩，这一切都在上演并不意味着只要您可以将幻想与现实区分开来，这并不是一件好事。乡村生活的现实不是一个可爱的梦。如果我们每天必须过上它，这是我们大多数人不喜欢的艰难生活。她展示了优质零件的理想化版本，这对它的本质很好：摄像机的幻想。美国媒体也这样做。我们当选为总统的傻瓜，因为真人秀将他描绘成他不是的东西。
9392,UgzVqdeK1MxfA_zUSTx4AaABAg,0,2 years ago,what a wonderful life!,多么美好的生活！
10268,UgyB5uhRw81Up75rMCJ4AaABAg,0,2 years ago,wonderfully very interesting,非常有趣
10287,UgwBmsgGkktvGLtWEix4AaABAg,0,2 years ago,"wonderful 
https://youtu.be/lwjftvymtdg","精彩的
https://youtu.be/lwjftvymtdg"
12466,Ugws3N66huVpHBtgi3p4AaABAg,0,2 years ago,congratulations li ziqui you're wonderful with your grandma... god see you and he's very happy with you!!!,恭喜李Ziqui，你和你的奶奶很棒...上帝见到你，他对你很高兴！！！
14263,UgyEdcn7lx6d7mV3PfB4AaABAg,0,2 years ago,"my god what a beautiful place, what a wonderful life",我的上帝多么美丽的地方，多么美好的生活
14080,Ugx4PyhqVpaCMANGOdN4AaABAg,0,2 years ago,thank you for the wonderful vacation.,谢谢您度过的愉快假期。
13955,UgxJ8UIIWG29ZLkKMad4AaABAg,0,2 years ago,"we take it to it
wonderful, you will be overwhelmed","我们接受它
太好了，你会不知所措"
13881,UgzYtOHVDn6gkiMeL3N4AaABAg,0,2 years ago,"what a beauty, and what a wonderful woman, you can marry easy",多么美好，多么美好的女人，你可以轻松地结婚
13709,UgzyqJJEat-gHBTXZRV4AaABAg,0,2 years ago,i love what you are doing it is wonderful ❤❤❤,我爱你在做的事很棒❤❤❤
13390,UgzC5LP8_HUMGzqz8Cx4AaABAg,0,2 years ago,"wonderful, i'm in admiration!",太好了，我很钦佩！
13363,UgxxcigF_m0Afias9o14AaABAg,0,2 years ago,wonderful!!!,精彩的！！！
13288,Ugzn9z4s79zT_kAyVs14AaABAg,0,2 years ago,"you need to be retarted to dislike this video , this video is wonderful",您需要重新选择不喜欢此视频，这段视频很棒
13256,UgxrlFfFM8f63rmeRaF4AaABAg,0,2 years ago,"i liked my hobby, a wonderful artistic, cuisine",我喜欢我的爱好，一种精彩的艺术，美食
2835,Ugyd_9qHQtL-4NLEmuN4AaABAg,0,1 year ago (edited),"so beautiful, amazing, lovely, and wonderful. ❤️ much blessings to you. ✝thanks for sharing, lord-jesus-christ com",如此美丽，惊人，可爱和美妙。 ❤️祝您很多祝福。 ✝感谢分享，耶和华 - 基督的com
12374,Ugz_K5y-n-EoDRqcFEd4AaABAg,0,2 years ago,"so many wonderful ( and new ideas for me) from you. you must be exhausted picking, cleaning, cooking. who will be eating all this food with you and your grandmother?",这么多的美妙（对我来说是新的想法）。您必须精疲力尽，清洁，烹饪。谁会和您和您的祖母一起吃所有这些食物？
11078,UgxaC7wCPqKuq8zX2Vx4AaABAg,0,2 years ago,wow best do the best be the beast wonderfull,哇，最好是最好的是野兽奇妙的
12297,UgwyzZGiwGRbWfWQcth4AaABAg,0,2 years ago,"you are very good, i follow your videos, you are a wonderful woman❤",你很好，我遵循你的视频，你是一个很棒的女人❤
11950,UgxROD5zgNWxJCBAJjl4AaABAg,0,2 years ago,"hi, the girl is wonderful",嗨，女孩很棒
11833,UgyrDiwKhp9OARxYJUF4AaABAg,0,2 years ago,that is so wholesome and wonderful,真是有益健康
11720,UgzAE2zcWPFeJXwrTNN4AaABAg,0,2 years ago,you are wonderful,你太棒了
11606,Ugw7fBmasmZS58Zzv1h4AaABAg,0,2 years ago,it's enough that she does all that wonderful cooking but the clean up would be so time consuming.,她做了所有精彩的烹饪已经足够了，但是清理会很耗时。
11378,UgzIBi-qg4ha1nWDTRV4AaABAg,0,2 years ago,what a wonderful,多么美好的
11359,Ugzmxra6gsWIbVw-KkB4AaABAg.9EiZGKpT2wf9GJBXs4XtWD,0,2 years ago,i would not refuse either if it was possible! to live at least a little in such a wonderful place and learn something new!,如果可能的话，我也不会拒绝！至少在如此美好的地方生活一点，并学习一些新知识！
11286,Ugx91JaBSi0Phq5I9G94AaABAg,0,2 years ago,the videos are wonderful,视频很棒
11253,UgzhRmfSdgpNsTv0w5J4AaABAg,0,2 years ago,"i loved you so much,you are wonderfulโคโคโค๐",我非常爱你，你很棒❤❤❤
11096,UgwQ_Ux1LczKLZ9KBP54AaABAg,0,2 years ago,thank you for showing me the wonderful things possible that we can do if we take the time. you work hard i know. but you live life fully. and appreciate all things. thank you.,感谢您向我展示，如果我们花时间，我们可以做的奇妙的事情。我知道你努力工作。但是你充实生活。并欣赏万物。谢谢。
20689,UgzSp3xhgF3eCl9pCdZ4AaABAg,0,3 years ago,"such a pure soul.. no english... no bad words...such a wonderful channel...
2020...","如此纯净的灵魂..没有英语...没有坏话...如此美妙的频道...
2020 ..."
20798,Ugw_RfwZJ2y6-nF1XRJ4AaABAg,0,3 years ago,"wow look at those beautiful natural grown marshmallows, they look wonderful compared to that store bought crap we normal humans consume :| wish i also had a marshmallow bush.",哇，看着那些美丽的天然成年棉花糖，与那家商店买的垃圾一样，它们看起来很棒：|希望我也有棉花糖灌木丛。
36818,UgwFObBMa6ZEwmTMt2p4AaABAg,0,4 years ago (edited),"wonderful videos, both the content and the director style. who is filming these videos has a great eye. also the sheep and the puppies melt my heart โค๏ธ plus the food is mouthwatering ๐",精彩的视频，内容和导演风格。谁在拍摄这些视频的眼睛。绵羊和小狗也融化了我的心❤️加上食物令人垂涎
29426,UgwSjTOXKUzaFxWjLzF4AaABAg,0,3 years ago,"wonderful, love her",很棒，爱她
33712,UgxjvMjoTb01sMR7e1t4AaABAg,0,4 years ago,wonderful creativity,奇妙的创造力
33402,UgxMq0ryVj1z2-vvsKh4AaABAg,0,4 years ago,"i like this woman very creative,,wonderful. watching from philippines",我喜欢这个女人非常有创造力，很棒。从菲律宾观看
33401,UgzSxAu7pVEHmkDkPdZ4AaABAg,0,4 years ago,wonderful nature,奇妙的天性
33288,Ugw_FdWdmzdP0Qe3V-V4AaABAg,0,4 years ago,"sooo wonderful, i want this kind of life",太好了，我想要这种生活
33266,Ugy87FrcpowKRZ1aZNZ4AaABAg,0,4 years ago,what a wonderful channel! each video has its own magic!,多么美妙的频道！每个视频都有自己的魔力！
1645,UgwTngo9A5r26ogGKZF4AaABAg,0,1 year ago,wonderful,精彩的
33111,UgxdJGf-hnGroD35eJl4AaABAg,0,4 years ago,what a wonderful life!,多么美好的生活！
32887,Ugyj6vtLOeqKsAgNE7d4AaABAg,0,4 years ago,your videos are wonderful. congratulations!,您的视频很棒。恭喜！
32880,Ugx0SgtZ70LMLw6wBHJ4AaABAg,0,4 years ago,"gabo and a precision in work, speed and hygiene, a wonderful video",GABO和工作，速度和卫生的精确度，一个精彩的视频
32754,Ugxuo_pMz92hj1RgPCF4AaABAg,0,4 years ago,"i love your videos and i love china as well.. i'm from kochi, india โค

thanks for this wonderful videos. .love and respect ๐’•โ","我爱你的视频，也爱中国..我来自印度高知❤

感谢您的精彩视频。 。爱与尊重"
32612,UgzB8g7xi9aMF1JVfs94AaABAg.8vj7Fl_oJ-U8wDqUiojK8y,0,4 years ago,"@egosirius no homie, it's not that wonderful as u think... city life is better!",@egosirius没有亲戚，这并不像你想的那样美好……城市生活更好！
32548,UgyUQZaf4PCJ2S5tcD54AaABAg,0,4 years ago,looks wonderful! but ainโ€t that sunflower seeds? not melon seeds?,看起来很棒！但是那不是葵花籽吗？不是瓜子吗？
32019,UgwVO1RiihiF_KB8a6h4AaABAg,0,4 years ago,she can do many wonderful things. who is this girl?,她可以做很多很棒的事情。这个女孩是谁？
31597,Ugxis3p-rBpKAU1_Blx4AaABAg,0,4 years ago,oriental tasha tuder. it's wonderful every time! !,东方Tasha Tuder。每次都很棒！呢
31553,Ugx_QktdyVFyArkDrdZ4AaABAg,0,4 years ago,she always keep me entertained wit her wonderful skills,她总是让我娱乐她的精彩技能
31359,UgwA6ZEV4KbGBFenK_d4AaABAg,0,3 years ago (edited),"i spend my time watching mostly gardening in youtibe but i this is the first time i watches this kind of life (with gardening & cooking).. it amazes me of all the things you do everyday... must be a wonderful life...may god bless you more and your grandma..


..and your little ones :)","我花时间观看YouTibe的主要观看园艺，但这是我第一次观看这种生活（带有园艺和烹饪）。这让我对您每天所做的所有事情感到惊讶...一定是美好的生活。愿上帝保佑你更多和你的祖母。


..和你的小孩子:)"
1708,UgzleFEQK-ml0usc5J94AaABAg,0,1 year ago,"god willing, wonderful",上帝愿意，美妙
1834,UgxBMPeNL3I5K5HYEZ94AaABAg,0,1 year ago,"adored be ... wonderful person, so skilful, skillful ❤",崇拜是...很棒的人，如此熟练，熟练❤
29952,Ugwdb9TCBw3VVifFe0t4AaABAg,0,3 years ago,"great, excellent, wonderfull",伟大，出色，很棒
1959,UgxF7Cc00_hKfJIP9Op4AaABAg,0,1 year ago,for you my dearest liziqi you are blessed sacred beings blessed you are blessed sacred beings blessed you are amazing wonderful adorable wonderful good afternoon to you that the light of god father illuminates you today and always congratulations on the beautiful videos and congratulations on the delicious recipes that the prosperities be multiplied many times in your life love and light kisses in the heart,我最亲爱的liziqi对你来说，你是有福的神圣生物，祝福你是有福的神圣生物。在您的生活中，繁荣在您的生活中多次倍增
29739,UgzdCuh7bXzlPOvh-u94AaABAg,0,3 years ago,wonderful,精彩的
29611,UgwHOkij3TUKtG6SRjN4AaABAg,0,3 years ago,"the joy you bring into my life is wonderful but to see the joy and love between you and your grandmother is the true beauty. 
thank you for this.","您带给我生活的快乐是很棒的，但是看到您和祖母之间的喜悦和爱是真正的美。
这次真是万分感谢。"
29574,UgzkmvZme1aykq5pGPt4AaABAg,0,3 years ago,that was the wonderful life .i want to be there it's amazing love that life.๐,那是美好的生活。我想在那里，这是一个惊人的爱。
34192,UgyuWgoG7qsfUPvNRLR4AaABAg,0,4 years ago,wonderful shoot movie of youtube best chanel,YouTube最佳香奈儿的精彩拍摄电影
34230,UgxxiaV5rMEEOcKPL4N4AaABAg,0,4 years ago,"so many people are lazy compared to her and others that do what she does. i have many items at home that are computer driven and need electricity. what she does looks wonderful and is made with love i""m sure.",与她和其他做她所做的事情相比，很多人很懒惰。我家里有很多计算机驱动的物品，需要电力。她看起来很棒，是用爱来制作的。
34331,UgwaXrrK8zgf6EEAcXN4AaABAg,0,4 years ago,what do you have near the ziyi family? why there are so many wonderful thing around your home.,子柒家附近咋啥都有？why there are so many wonderful things around your home.
35842,UgzI8dBOBiLL_JtAzaZ4AaABAg,0,4 years ago,wonderful! ๐,精彩的！
36741,UgyopMJBuu-4ViOSu3R4AaABAg,0,4 years ago,"it seems to live in a magical, wonderful world.",它似乎生活在一个神奇而美好的世界中。
36671,Ugxccfx6bWIRa-f3ibt4AaABAg,0,4 years ago,this is wonderful,这很棒
36632,Ugxgy-EhaBY-j_QBxIh4AaABAg,0,4 years ago,its wonderful to see how she cares for her granny,很高兴看到她如何照顾她的奶奶
36591,UgzR2pqrLSV8wDumk-l4AaABAg,0,4 years ago,"i really love this video and food, she lives in wonderful place",我真的很喜欢这个视频和食物，她住在很棒的地方
36565,Ugx8ZavCiPqNx1Dip_94AaABAg,0,4 years ago,"well this surprised because everything is beautiful and wonderful, it's like a fairy tale! i just subscribed xd! it's all so beautiful that i'm even commenting in spanish and not in english!",这很惊讶，因为一切都美丽而美妙，就像一个童话！我刚刚订阅了XD！一切都很漂亮，我什至用西班牙语而不是用英语发表评论！
36433,UgzNk2P7ygnAYm9fHs14AaABAg,0,4 years ago,"wow, what a wonderful life she is living! kudos to her, including the one whoever handles the camera and editing! it is amazing how she does all these things! i don't knnow if she does it all by herself, but all this preparation must take a long time! love the little animals that surround her, she is a real life princess living the simple life!",哇，她过着多么美好的生活！对她的敬意，包括处理相机和编辑的人！她如何做所有这些事情真是太神奇了！如果她自己做所有的事情，我不会知道她的一切，但是所有这些准备都必须花很长时间！爱她周围的小动物，她是一个现实生活中的公主，过着简单的生活！
36249,UgzZB9BdJSwjdXLfQrR4AaABAg,0,4 years ago,beautiful wonderful video,美丽的精彩视频
36018,UgwSNvQ_YwbPRQUzozd4AaABAg,0,4 years ago (edited),"instantly liked the video after seeing those little puppies there, nerveless this lady is wonderful!!!! ๐๐๐๐๐.

those tiny ones are following throughout her video๐’๐’๐’๐’๐’๐’๐’๐’๐’๐’๐’๐’๐’

omg, what a beautiful life she has.","看到那里那些小狗后，立即喜欢视频，这位女士很棒！！！ 

那些小小的视频都在关注她

天哪，她的生活是多么美好的生活。"
36013,UgxO83jpmdHYDLkf55p4AaABAg,0,4 years ago,the video is wonderful! but very sorry for the little dogs. they are always hungry ๐ถ๐•๐ฅ,视频很棒！但是对小狗感到非常抱歉。它们总是饿了
35909,UgyG7Z6sOBEP4gjQ0oZ4AaABAg,0,4 years ago,"wonderful place,wonderful life it seems",美好的地方，美好的生活似乎
35803,UgxIZ7WBX57crNsSux14AaABAg,0,4 years ago,wonderful ๐ฑ๐ณ,很棒
34332,UgwyzJpDwaWr5GEOmHF4AaABAg,0,4 years ago,.very nice.a wonderful life with a beautiful person,非常美好。与一个美丽的人一起美好的生活
35747,UgzSbODbP4W2ZdYhxOp4AaABAg,0,4 years ago,very wonderful,非常好
35662,UgxnXW5PQrl4Uk-exnh4AaABAg,0,4 years ago,"wonderful, how many things you do ... i love the place, your animals.",很棒，你做多少事情……我爱这个地方，你的动物。
35544,UgwQqfa2zTxCK2a11sN4AaABAg,0,4 years ago,what a pretty girl and what a wonderful life !,多么漂亮的女孩，多么美好的生活！
35499,UgzRf9H_wbQjv8wEP1J4AaABAg,0,4 years ago,"very wonderful, i transmitted a wonderful peace",非常棒，我传播了一个美好的和平
35498,UgwsgpR93KrHlExTu4F4AaABAg,0,4 years ago,"very wonderful, i transmitted a wonderful peace",非常棒，我传播了一个美好的和平
35381,UgxE46Ylfsg-ypS5LeR4AaABAg,0,4 years ago,"china. got talent . 
her husband must be the luckiest guy , to have a wonderful wife like her . this is what i call family .","中国。有才能 。
她的丈夫必须是最幸运的人，要有一个像她这样的好妻子。这就是我所说的家庭。"
35318,UgwZWar9XV9P7a_kYWt4AaABAg,0,4 years ago,wonderful art โค๏ธ,美妙的艺术❤️
34663,UgwjY7sYr71iLTzWgSx4AaABAg,0,4 years ago,i dunno where they found her.. or she's just a wonderful actress,我不知道他们在哪里找到她..或者她只是一个出色的女演员
34470,UgwvEcQ_7691beoui2V4AaABAg,0,4 years ago,"a very beautiful, kind girl, and as a reverent and with love, she treats her grandmother. itโ€s just wonderful, it will make all hands on all hands, my grandmother has a worthy old age. with the current granddaughter you can live forever!. iry # # #",一个非常美丽，善良的女孩，作为一个崇高的爱心，她对待祖母。真是太好了，它将全力以赴，我的祖母有一个值得的老年。有了当前的孙女，您可以永远生活！ iry＃＃＃
34417,Ugz_j4Lms7U2NWUQG6Z4AaABAg,0,4 years ago,wonderful girl !!!,很棒的女孩！！！
29563,Ugxd89e-VrPX69Jm3KR4AaABAg,0,3 years ago,i never see this sight.so wonderful,我从来没有看到这个景象。太好了
29395,Ugz1tjRa-rvp4hakMqZ4AaABAg,0,3 years ago,so clam she is wonderful,所以蛤lam她很棒
20840,UgxNzwu2ejuMN8PCv494AaABAg,0,3 years ago,"you are so wonderful to your grandma , love your videos โฅ๏ธโฅ๏ธ",你对祖母真是太好了，爱你的视频♥谢♥♥
29355,UgxlzJBUhtlMpakIBSl4AaABAg,0,3 years ago,wow she's wonderful,哇，她很棒
25216,UgxS0GiHcl1ZnE9CW5N4AaABAg,0,3 years ago,"cool ... which part of this is china?

wonderful ..","酷...哪一部分是中国？

精彩的 .."
25045,Ugz9WTuJrJ6zhWBKKT94AaABAg,0,3 years ago,"you are wonderful,",你太棒了，
24881,UgwRBkEMf9SxhKxYgEB4AaABAg,0,3 years ago,"i love this old man, who makes it happy with the presence of this wonderful girl. thank you, may god reward you with all your care for this old man and your beautiful work.",我爱这个老人，让你对这个很棒的女孩的同在。
24767,UgwVZ6reu2WJuR6gPzZ4AaABAg,0,3 years ago,"great, excellent, wonderfull!",太好了，很棒，很棒！
24719,UgzC7n0_nPVBjZG3Z7F4AaABAg,0,3 years ago,wonderful ๐,很棒
24570,Ugw0kyzT9yVOhqQPowt4AaABAg,0,3 years ago,natural life is wonderful,自然生活很棒
24546,Ugyk61i5L6FdZVI2E9d4AaABAg,0,3 years ago,a wonderful life full of running activity ๐๐,充满跑步活动的美好生活
24503,Ugy87yDL8Jh2W-7vXAp4AaABAg,0,3 years ago,what a wonderful place!,多么美好的地方！
23987,Ugw9wjZmeO678YEoQYR4AaABAg,0,3 years ago,"with no e.electricity, what a wonderfullife !",没有电源，真是太好了！
23950,Ugwu9FXDNAAaRNIcsGt4AaABAg,0,3 years ago,wow wonderful cooking and preserving....,哇，很棒的烹饪和保存...
23905,Ugxa-erwau-e3QdyPbV4AaABAg,0,3 years ago,"this person has wonderful and funny videos subscribe to his channel to support him and reward you god reward you
https://www.youtube.com/channel/uc1isgpcqzqcwief_hj10p1g","这个人有精彩而有趣的视频赞成他的频道来支持他并奖励你上帝奖励你
https://www.youtube.com/channel/uc1isgpcqzqccwief_hj10p1g"
23885,Ugx6OsO7criCUcuzdnN4AaABAg,0,3 years ago,wonderful,精彩的
23857,UgyyDub3EqlNeBKLubZ4AaABAg,0,3 years ago,a wonderful and hardworking woman.!,一个奇妙而勤奋的女人。
23830,UgxzZXEX-CDenvgPK-t4AaABAg,0,3 years ago,in what wonderful place do you live! i want to live in the same!,你住在什么美好的地方！我想住同样！
22926,UgxGP4aiw2r9i2ZF5hd4AaABAg,0,3 years ago,it's just wonderful)),太好了））
22894,UgxLAxeHllbax44ApkF4AaABAg,0,3 years ago,"a wonderful country, china ... ใ€",一个美好的国家，中国... 。
2388,Ugw6aWqg8Uj_lzOSldZ4AaABAg,0,1 year ago,incurely wonderful,怪异的
22079,UgyiZsh-cC8h48MVsRd4AaABAg,0,3 years ago,a more beautiful life than a wonderful,比美好的生活更美好
21721,UgyVQbKtsE7iTRI3lEl4AaABAg,0,3 years ago,beautiful life and wonderful nature with two dogs and a little sheep oh i wish i lived there ๐’“๐น๐,美丽的生活和美好的天性，有两只狗和一只小绵羊哦，我希望我住在那里
21617,UgxiFIINm97jsoBdhQl4AaABAg,0,3 years ago,"god willing, wonderful",上帝愿意，美好
21172,Ugwi0gWD4ZQyxzAl81h4AaABAg,0,3 years ago,what a wonderful country lady ๐,多么美好的乡村女士
20878,UgwsyT7IdzSEwXBU09h4AaABAg,0,3 years ago,wonderful life. i adore the way of life,精彩生活。我崇拜生活方式
20862,UgyCtYMlnrhbgAVYs914AaABAg,0,3 years ago,"i know that you, the owner of the channel, will not read my comment and you will not understand it, but i wanted to say you are wonderful",我知道您是频道的所有者，不会阅读我的评论，您将不理解，但我想说您很棒
25331,Ugz9qGRXD-4v_qpRQ6B4AaABAg,0,3 years ago,an other wonderful video !! i love everything you made ๐‘๐‘,另一个很棒的视频！我爱你所做的一切
25456,UgymvjWhT3-wZRMWjT14AaABAg,0,3 years ago,i just love watching you make all that wonderful food how it looks you are such an inspiration you take care of your grandmother and i am so amazed of all the different things that you make and also do love love watching your videos๐ธ,我只是喜欢看着你做所有这些美妙的食物，你真是一个灵感，你照顾你的祖母，我对你所做的所有不同事物感到非常惊讶，也喜欢喜欢看你的视频
25480,UgzXLpT3Wq5gdYN0xd14AaABAg,0,3 years ago,"i want to share this with as many people as i can so maybe some of the naysayers can understand better who she is. you'll gain even more respect for who li ziqi is by watching this wonderful interview!
https://youtu.be/yvggquw0g7w","我想与尽可能多的人分享这一点，因此也许有些反对者可以更好地理解她的身份。通过观看这次出色的采访，您将更加尊重李Ziqi是谁！
https://youtu.be/yvggquw0g7w"
27546,UgzNJFC5fzo85zldV8h4AaABAg,0,3 years ago,"this what i call a wonderful life. hard work but fruitful and much happiness to those family members who receives this bounty. how lucky my ancestors had it . looking back.i bet they dreamed of a life like mine. we came,we saw and cried with happiness.",这就是我所说的美好生活。辛勤工作，但对那些接受这种赏金的家庭成员来说，富有成果和幸福。我的祖先有多幸运。回头看。我敢打赌，他们梦到了像我这样的生活。我们来了，我们看到了幸福并哭了。
