,cid,votes,time,含traditional,含traditional中文翻译
11058,UgxXFZ-jwymPMtvu2qp4AaABAg.983LDEPShIm989M2pacEG9,0,3 years ago,not chef...every female in china can cook.she like a traditional woman in china past few years.,不是厨师...中国的每个女性都可以做饭。她像过去几年中的中国传统女性一样。
18016,Ugz7EFvJXqp9NCPKmYN4AaABAg,0,3 years ago,"although they are all acting, it is also a traditional chinese culture",虽然都是演的，但好歹也是中国传统文化
12319,UgyZFhXWEa2NSkHUw6p4AaABAg,0,3 years ago,like traditional foods really delicious and economical .....,像传统食物真的很美味和经济.....
17995,UgziSIJgp6HT6DBI_ZN4AaABAg,0,3 years ago,"it is tao yuanming's pastoral life in my heart. this is the traditional romantic it is the rural life of tao yuanming that i yearn for in my heart, which times to the track of chinese peand.","是我心中向往的陶渊明式的田园生活阿，这是属于中国人的传统浪漫It is the rural life of tao yuanming that I yearn for in my heart, which belongs to the traditional romance of Chinese people"
17665,UgzqeaWWiN0bztBSpo94AaABAg,0,3 years ago,"dear compatriots, li ziyi's content in terms of traditional culture, farming+confucianism, but these two have been contradictory since ancient times. it is really inappropriate to say that she represents chinese traditional culture. in fact, it is more biased, chinese myth.",各位同胞，李子柒的内容从传统文化来说，农耕+孔儒，然而这两者自古是矛盾的。说她代表中华传统文化真的不合适。实际上更偏向，中国神话。
17530,Ugwo9Nzu7LuYcxkyl3h4AaABAg,0,3 years ago,"the pot of cooking vegetables is getting bigger and bigger, and grandma is getting bigger and bigger, but i find it from nan huaijin's ""the analects of confucius"" to the soul-this is the other half of the traditional and gentleman's virtue",煮菜的锅越来越大，奶奶越来越大，唯从南怀瑾《论语别裁》中寻到直入心灵-这是另外一半传统与君子美德
17519,UgzB7n11n0RaK0DujjN4AaABAg.92jafgxMBzk92yBEcwN94o,0,3 years ago,"@shawnmz maybe she used to like the positon of dj in night club, nowadays, she have been conveyed the authentic chinese traditional cultures to publicity.",@shawnmz，也许她曾经喜欢夜总会中DJ的正面，如今，她被传达了地道的中国传统文化进行宣传。
17479,UgyfjdYFc48YPdO2Jvp4AaABAg,0,3 years ago,"beautiful, traditional chinese food culture.来 we also bring food to africa",好好吃，中国传统美食文化。
17478,UgxkBIZ8Afp87zw8XLJ4AaABAg,0,3 years ago,"rice noodles is a kind of traditional food in southern china, it's really tasty!!! missing ""luosifen"" in my hometown so much !!!",米粉是一种在中国南部的一种传统食物，真的很美味！！！在我的家乡里错过了“ Luosifen” ！！！
17435,Ugysg4khewZJu6-aKwJ4AaABAg,0,3 years ago,amazing existing asian channels focused on a very traditional cuisine,惊人的现有亚洲频道集中在非常传统的美食上
2120,Ugxr6dql483TLEVQL7V4AaABAg,0,1 year ago,"i am surprised, becoz pickle made of bamboo shoots is an assamese traditional cuisine (indian) . we call it 'gaaz khorisa ' in assamese",我很惊讶，由竹芽制成的泡菜是阿萨姆传统美食（印度）。我们将其称为“ Assamese”中的“ Gaaz Khorisa”
16941,UgxL-WXue1vTq3hQRdl4AaABAg,0,3 years ago,"great way of cooking in a traditional manner known by this channel, silence and peace great channel, great chef",以这种频道，寂静与和平的传统方式烹饪的好方法，伟大的厨师，来自印度伟大文化
16504,Ugwy-HkS9v_WKJvNOhp4AaABAg,0,3 years ago,the way she preserve her traditional way of living and culture is amazing. 100000graduate,她保留传统的生活和文化方式的方式令人惊叹。 100000级
16321,Ugy3_NC5BHdvi--yTEB4AaABAg.92wSGEE7rcY92wZzQ3MaDL,0,3 years ago (edited),"this is absolutely not traditional farmer's life in china, nobody said it is. why not focus on the food, the lifestyle, the sense of aesthetic in it? that's all this video about. if you expect to see poor people and miserable life in china, you are at wrong place.
btw, she gets rich by hardworking as a video content maker. watch more, and you'll see why","没人说，这绝对不是传统农民的生活。为什么不专注于食物，生活方式，美学感？这就是所有有关的视频。如果您期望在中国看到穷人和悲惨的生活，那您就在错误的地方。
顺便说一句，她作为视频内容制造商的努力工作变得富有。观看更多，你会明白为什么"
16284,UgzGD2WPOjsgtWwEoFt4AaABAg,0,3 years ago,i want to taste the traditional foods she made...,我想品尝她制作的传统食物...
15762,UgxK49VoMs3PrmNW7MN4AaABAg.935LFNJXJmY936mPtbJ7XN,0,3 years ago,she is extending her videos to cover not only her hometown but all traditional chinese culture. very well done. much respect !,她正在扩展视频，不仅涵盖了她的家乡，而且涵盖所有传统的中国文化。做得太好了。非常尊重！
15321,UgxLRT13FAl-Tf2lVNV4AaABAg,0,3 years ago,"this is the traditional food and food cooking culture of chinese people, what 5 -star restaurants and michelin. this is an authentic people in the world!",这就是中国老百姓的传统美食和饮食烹饪文化，什么5星餐厅，什么米其林。这才是地道的人间美味！
14374,UgzVh55b0jWR8yR5g7l4AaABAg,0,3 years ago (edited),meal cooked in traditional stove with firewood must be tastier compared to modern day gas or electric i bet.,与我敢打赌的现代气或电动相比，用柴火在传统炉子中烹制的餐必须更美味。
14198,Ugx1kFRYu_JM92lGXc14AaABAg.94OrmTj7uxK94QlYx-XRnV,0,3 years ago,"i don't know how to do it, because this is not a traditional sichuan cuisine, it is guangxi cuisine. i haven't been idle, i have helped a lot in the video before",姥姥很可能不会做，因为这不是传统的四川菜，是广西菜。姥姥没闲着啊，之前视频里帮过很多忙
14088,UgzMh_tFTbDSt3MzvCZ4AaABAg,0,3 years ago,like most traditional asian food that would definitely make me ill ....but id still love to try it.,像大多数传统的亚洲食物一样，这些食物肯定会让我生病....但是我仍然喜欢尝试。
13954,Ugw3tDRqWI2M4USYA994AaABAg.94ibEnkH5qk94lY4Uv87fh,0,3 years ago,"naw, salt and sugar were used. that’s a staple in this food. salt was used on snails, and in a couple of other things. traditionally any where you find mushrooms, you will find salt. fermented side dishes may have had sugar in them as well.",使用naw，盐和糖。这是这种食物的主食。盐是在蜗牛和其他几件事上使用的。传统上，您发现蘑菇的任何地方，您都会发现盐。发酵的配菜也可能含有糖。
13298,UgxbPGBo4qM-xDyel794AaABAg,0,3 years ago,"bamboo shoot is also a traditional food in my hometown, bamboo shoot can make many dishes, my parents used to wander the forest to find bamboo shoots to sell and raise my brothers and sisters.",竹芽也是我家乡的传统食物，竹芽可以做很多菜，我的父母曾经在森林里徘徊，寻找竹芽，以卖出和抚养我的兄弟姐妹。
12747,UgyBOCq8IpT-Wov0awZ4AaABAg,0,3 years ago,"the secret of traditional chinese people to living younger is eating a healthy food fresh from nature not filled with pesticides, the secret modern chinese people die so fast is eating snakes, bat and mouse... and got infected by corona virus",中国传统人民年轻的秘密是吃一种健康食品，这些食物是从大自然中不富含农药的新鲜食物，现代中国人死得如此之快，就是吃蛇，蝙蝠和鼠标……被电晕病毒感染
12335,UgxIR4KL4cbFgrQcrRR4AaABAg,0,3 years ago,like her kitchen...very traditional but completly...,像她的厨房...非常传统，但完全...
17004,UgwIp4T4-ebDEBxeGd54AaABAg,0,3 years ago,"that s a tv show, a project developed to make money on youtube, selling lonely poor men a fairytail about traditional women in china...not more, not less.",这是一场电视节目，这是一个项目，旨在在YouTube上赚钱，向中国传统女性出售孤独的穷人……而不是更少。
