,cid,votes,time,含traditional,含traditional中文翻译
30470,UgyXNQPk6xTUEdX74uB4AaABAg,2,3 years ago,"seeing that your work has a feeling of seeing each other and hate, it is really as treasured! in the influence of the philosophical thoughts of yin and yang five elements in traditional chinese culture education, confucian ethical and moral concepts, traditional chinese medicine nutritional photography, and cultural and artistic achievements, diet aesthetic style, and many factors of national characteristics, they created the chinese cooking skills of the book of history. form a broad and profound chinese food culture. your profound understanding of the traditional chinese diet and culture is perfectly presented with the beautiful chinese style that is so beautiful! as a native of china, the chinese are also amazing, and they are intoxicated! under the influence of the world's multiculturalism, many excellent cultures have been forgotten, the outlook on life, and values โ€โ€have also changed in the long -term subtle way. whether it is chinese or the people of the world, there are always things in common in the hearts of human beings. they all advocate true, good, and beautiful. they like tranquility and peace, and they are eager to happiness and happiness. the environment of your life is like a paradise, the mountains and rivers are beautiful, and the ecological environment that people and nature live in harmony are enviable. your work can help us calm down the impetuous heart, re -think about life, and find the most precious beauty in the original memory of human beings!",看到您的作品有种相见恨晚的感觉，真的如获至宝！在中国传统文化教育中的阴阳五行哲学思想，儒家伦理道德观念，中医营养摄生学说，还有文化艺术成就，饮食审美风尚，民族性格特征诸多因素的影响下，创造出彪炳史册的中国烹饪技艺，形成博大精深的中国饮食文化。您对中华传统饮食和文化的深刻理解并用美到令人窒息的唯美中国风完美呈现出来！作为土生土长的中国人也都叹为观止，如痴如醉！在世界多元文化的影响下，好多优秀的曾经引以为荣的文化已经被淡忘，人生观，价值观也在长久的潜移默化中改变。无论是中国人还是世界人民，在人类心灵深处，总有一些东西是共通的，都崇尚真善美，都喜欢宁静与祥和，都渴望幸福与快乐。您生活的环境犹如世外桃源，山青水秀，人与自然和谐相处的生态环境让人羡慕不已。您的作品能帮助我们静下浮躁不安的心，重新思考人生，找寻人类最初的记忆中最珍贵的美好！
49261,UgwL3iAA3s5UTgVNi_N4AaABAg.8qm8_CFNxiT8tz0cRDH6No,2,4 years ago,they are traditional chinese snack. easy to get it in china. my mom can made then too.,他们是传统的中国小吃。容易在中国获得它。那时我妈妈也可以做。
28525,UgwBR8h7mrjZgoKD_PV4AaABAg,2,3 years ago,"this rural girl is beautiful, hard -working, and the ""craftsmanship"" of the chinese traditional gourmet cooking ""craftsmanship"".","这个农村姑娘样貌漂亮， 克苦耐劳，还有一手中国传统已绝迹的美食烹调""手艺"" 已时下 年青新一代已绝无仅有""加油""漂亮的姑娘继续 将中国传统美食一直延续下去喔"
47514,UgwMHlc_RSCeUpwsFwp4AaABAg.8qo_Wnb9HLm8qtRqeXa9Y5,2,4 years ago,"my hometown~ mianyang city,sichuan province, located in the southwest of china. but if you wanted to visit the places which are showed in the video, you need to go to the area of mountains. and most villages in mountains still keep the traditional rural lifestyle. but it seems very hard for foreigners to go to these places because people there almost can't speak english ,even mandarin, most people speak another tones of chinese with accent. so you can go to the same places not in the deep mountain areas like emei mountain, siguniang mountain,etc. and you can taste the food in chengdu city which is the capital of sichuan province, most food that liziqi made are sichuan food. it would be helpful to find the traditional sichuan food if you found a local guider. hope my suggestions would be useful to you.",我的家乡〜Mianyang City，四川省，位于中国西南部。但是，如果您想访问视频中显示的地方，则需要去山区。而且，山区的大多数村庄仍然保持传统的乡村生活方式。但是，外国人似乎很难去这些地方，因为那里的人们几乎不会说英语，即使是普通话，大多数人都会说中文的另一种色调。因此，您可以去Emei Mountain，Siguniang Mountain等深山地区的相同地方。您可以品尝到成都城的食物，这是四川省的首都，Liziqi制作的大多数食物都是四川食品。如果您找到当地的指导者，找到传统的四川食品将很有帮助。希望我的建议对您有用。
47841,Ugz-qTDudSTk-llgq4B4AaABAg.8qnplYnHq-T8qnqtReuMXk,2,4 years ago,"she is not ancient,she is just live a traditional life in modern social",她不古老，她只是现代社会中的传统生活
12473,Ugxrp_aE34V42I7bpE94AaABAg,2,2 years ago,"this video reminded me the time when i was smaller and lived on the border with china, we used to go to china sometimes on the weekends in winter and have these traditional sweets, sold on the streets - fruits in caramel on a stick, and when i licked it in -30 degrees my tong glued to caramel...",这段视频让我想起了我小规模并住在中国边界的时间，我们曾经在冬天的周末去中国，并在街上卖出这些传统糖果 - 焦糖的水果在木棍上，以及我用-30度舔了它，我的钳子粘在焦糖上...
20674,UgyYK6ga599N2L7bDth4AaABAg,2,3 years ago,"the traditional method is full of interesting videos that like your channel, i hope you can see more movies i have subscribed to you",传统的作法还满有趣的 喜欢你频道的影片希望可以看到更多这种影片 我已经订阅妳了
46579,UgyZKLANMDq2uctGTll4AaABAg.8qt6fMEP0wz8qvBZB_ZYee,2,4 years ago,sichuan girl is a model of hard work of traditional chinese children,四川姑娘是传统中华儿女的勤劳典范
36685,UgylTM1tk7rRFvWtYkJ4AaABAg.8uRIOVFo2EQ8ucLHxBdAji,2,4 years ago,tianxing yuan she is just take more cares about hers skin and good culture๏ผactually she shows how a perfect traditional chinese girl should be,天王者她只是对她的皮肤和良好的文化更加关心，实际上她展示了一个完美的传统中国女孩应该是什么
8590,UgwYqCD2LygGCILClo14AaABAg,2,2 years ago,"kimchi is a traditional korean food.
kimchi is the traditional food of korea.
ム 韓 韓 韓 の 伝 伝。。。

the chinese have long been calling arirang (korean traditional music) and hanbok (korean traditional clothing) as china.
the chinese has long inseded that arirang (traditional korean music) and hanbok (traditional korean clothes) belong to china.
「中国 人 ン ン ン ン ン ン ン 韓 韓 韓 韓 韓 韓 韓 ン ン ン ン ン ン ン の の の 中 中 中 の の の の の だ の の の の の の て。。。

kimchi is already certified in 2001 in the international standardization organization (iso) and is different from recently registered pao chai (pickled food in sichuan).
kimchi is alredy certified by the international organization for standardization (iso) in 2001 and is different from the recently registered paochai (celebrated food in in sichuan).
ム 2001 年 証 証 証 録 録。。。。。","泡菜是传统的韩国食品。
泡菜是韩国的传统食物。
ムム韩韩伝伝伝

长期以来，中国人一直将Arirang（韩国传统音乐）和汉堡（韩国传统服装）称为中国。
长期以来，中国人一直认为阿里兰（传统的韩国音乐）和汉伯克（传统的韩国服装）属于中国。
「ンンンンンン韩韩韩韩韩韩ンンンンンンンンンンンンンののののの中中中中中中の

Kimchi已经在2001年获得国际标准化组织（ISO）的认证，与最近注册的Pao Chai（Sichuan的腌制食物）不同。
Kimchi在2001年获得国际标准化组织（ISO）认证的Alredy认证，与最近注册的Paochai（Sichuan的著名食品）不同。
2001年年年证录录录录"
37923,Ugz4J84OBqwxJuH93hB4AaABAg.8tkNoWBxn9R8uQDNIx6t-4,2,4 years ago,"@sumichan7901 i find it important to note that although she does a lot of things according to traditions, chinese women before the industrial revolution definitely didn't have as much freedom to walk around and do the chores as she does. they stayed in house and most of the stuff he does would be done by servants. or maybe there would be some very poor households where the parents weren't able to footbind their daughters, where a girl would even be able to walk around and would have to do these chores on her own. so her lifestyle is not as traditional.",@sumichan7901我发现重要的是要注意，尽管她按照传统做了很多事情，但工业革命之前的中国妇女绝对没有那么多自由地走动，做家务。他们呆在家里，他所做的大多数事情都是由仆人做的。或者，也许会有一些非常贫穷的家庭，父母无法脚步，一个女孩甚至能够四处走走，不得不自己做这些琐事。因此，她的生活方式并不那么传统。
24962,Ugx44ywEgAzTJEmlJgt4AaABAg,1,3 years ago,"so, i've been wondering about that 3:48 portable traditional stove thingy, like what is that and how does that work? anyone knows?",因此，我一直想知道3:48便携式传统炉子Thingy，例如那是什么，它如何工作？有谁知道？
28061,UgxRCqNyAugB1eul1Np4AaABAg,1,3 years ago,"i envy ziqian's pastoral life is not only foreign friends, but i am also very envious of sichuan people like her. i also grew up in rural sichuan. she is mianyang, northeast of sichuan, and i am in southwestern sichuan. the green mountains and green water scenery are very good. although she is not as delicate and her lifestyle is not as traditional, it is naturally real. vegetables and some fruits (strawberries, apples, pears, plums ...) are really self -sufficient. essence nothing to live in my childhood life ~",羡慕子柒田园生活的不仅是各位外国朋友，和她一样同是四川人的我也非常羡慕。我也在四川农村长大，她是川东北绵阳，而我在川西南。青山绿水风景非常好，虽然吃的没有她精致，生活方式也没有她那么传统，但亲近自然是真的，蔬菜和部分水果（草莓、苹果、梨、李子...）真的能自给自足。怀恋一去不复返的童年生活了～
27287,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB92YVedp62k3,1,3 years ago,"@oshadiamarak0on237 of course ,what she presented was real,the food ,the culture is real,but the lifestyle is not real.we don't work in traditional clothes.",@oshadiamarak0on237当然，她所呈现的是真实的，食物，文化是真实的，但生活方式不是真实的。我们不穿传统衣服。
25813,Ugz5KqagszfLO-ea5wB4AaABAg.8zzBDVvxLn39-0m87nwUgf,1,3 years ago,it's a traditional way to roast peanut with sand. it's even used to roast coffee :),这是一种用沙子烤花生的传统方式。它甚至用来烤咖啡:)
24555,UgwkfZqiAUxOl5Yl5Qh4AaABAg,1,3 years ago,i have seen many kinds of traditional cooking videos but this is pure 'divine' !!!,我看过许多传统的烹饪视频，但这是纯粹的“神” ！！！
28622,UgwdQhKOr8qCHW3rYHJ4AaABAg,1,3 years ago (edited),"cute sheep ๐๐๐
very traditional ๐ i love nature โค๐","可爱的绵羊
非常传统的"
32698,Ugy800mmFiW5Y1YrP-N4AaABAg.8vhRnJy5uF092PSFzgRuyF,1,3 years ago,"it's not only her talent,more are chinese people's talent!this is china-----an old and beautiful country. the traditional chinese culture is rich, extensive and profound.i love her.",不仅是她的才华，还有中国人民的才华！这是中国-----一个古老而美丽的国家。中国传统的文化丰富，广泛而深刻。我爱她。
28686,UgwzR9_oR6ednis7wKV4AaABAg,1,3 years ago,i started watching this because it was chinese to traditional cooking and utensils. now chinese propaganda. i show this to the people i work with that grew up in china and they get upset and say this is fantasy land like television. another pretty face exploited by the chinese government to show the 1% as the norm in china. i grew up with parents that said eat everything on your plate because there are people starving in china. i hope she is using her money to help the poor and less fortunate but i saw she now has a refrigerator a laptop a cell phone a motor scooter. she should be ashamed to portray chinese tradition and simplisticality as makes people think.,我之所以开始观看，是因为它是中国人的传统烹饪和餐具。现在中国宣传。我向与我合作的人展示了这一点，他们在中国长大，他们感到沮丧，并说这是电视这样的幻想之地。中国政府利用另一个漂亮的面孔，将1％的面孔显示为中国的规范。我和父母一起长大，父母说吃了你盘子上的所有东西，因为中国有些人饿了。我希望她正在利用自己的钱来帮助穷人和不幸的人，但我看到她现在有一台冰箱的笔记本电脑手机是一辆机动踏板车。她应该为描绘中国人的传统和简单性而感到羞耻。
39120,Ugz9piOGZmmRZcHLX0l4AaABAg.8sxN1T5P8tC8sypbwhIZ1s,1,4 years ago,"i know this popcorn machine but really do not know exactly the name, it is a traditional tool and really like a cannon.",我知道这台爆米花机器，但真的不知道该名称，它是一种传统工具，真的很像大炮。
48287,Ugxbl2UPx_ZiN2OWCcZ4AaABAg.8qnDrN6F51O8qoHO57BKRE,1,4 years ago,this kind of popcorn in southern taiwan is very common. there are common popcorn stalls on many traditional markets or streets and have nothing to change with popcorn machines that i saw more than 20 years ago.,在台湾南部这种爆米花很常见喔 在很多传统市场或街道边都很常见到爆米花的摊子 而且跟20多年前见到的爆米花机器依样都没啥变
46258,UgzIPVLe_-TegushP9R4AaABAg,1,4 years ago,"the baby is so cute. i first went to incheon car or town for the first time and tasted it for the first time. it was so delicious and my favorite snack. i only saw what was made with strawberries, but i first knew that i had a big apology. in the video, she shows a simple life of making, chopped, fried, and stirring. however, with her background of her nature, she is as impressed as watching a beautiful poem with her eyes. this is because she reproduces the beautiful traditional way of life that is no longer found in korea, which is used to smartphones and the internet and lost the beauty of tradition. seeing the process of making something that she can't guess at all, she gets peace and rest of her mind. i love this china.",婴儿是如此可爱。我第一次第一次去仁川汽车或小镇，第一次品尝了它。它是如此美味，我最喜欢的小吃。我只看到了草莓制成的东西，但我首先知道我道歉。在视频中，她展示了制作，切碎，炸和搅拌的简单生活。然而，凭借她的天性背景，她印象深刻，就像用眼睛看一首美丽的诗一样。这是因为她重现了韩国不再发现的美丽传统生活方式，该方式习惯于智能手机和互联网，并失去了传统之美。看到做一些她根本无法猜到的过程，她得到了安宁和安息。我喜欢这个中国。
43801,UgyyBm-8_ZYK8anhOLN4AaABAg.8rIMvIWiIC08rSlzULFBpV,1,4 years ago,"jon ridgeon all the vedio content are normal in china. she also has lots of fans in china. we call them wanghong, different with traditional pop star.",乔恩·里奇恩（Jon Ridgeon）所有的吠陀含量在中国正常。她在中国也有很多粉丝。我们称他们为Wanghong，与传统流行歌星不同。
42389,Ugzetow0qm5x0gD9Z9d4AaABAg,1,4 years ago (edited),"a variety of traditional snacks, unparalleled craftsmanship deserves fine -tasting recommendation.

as this is the bomb of the popcorn and the blast valley, it reminds me of the good memories of my childhood. i only need to take out rice, bud valleys, and bean foods at home. if your parents are more beautiful, cook a nest of maltose paddle to make various cakes, delicious and delicious!","多款多样的传统小吃，无与伦比的手艺值得细味品尝推荐。

由其是这个爆米花与爆谷的炸弹売，使我想起童年时美好的回忆，只需要在家中拿出米、苞谷、豆类食品来，另给予加工费即完成物美价廉的儿时小食，如父母亲有空更美，煮上一窝麦芽糖桨做出各款饼食，美味可口极了！"
42354,UgwW_85Amf1bjHtcgkN4AaABAg.8rgNNKcUd478rgR2uuq7YR,1,4 years ago,german anthony china has lots of megacities . this girl just shows traditional chinese culture . my mom and grandma could do these work too . it is my period of childhood .,德国安东尼中国有很多大城市。这个女孩只是展示了中国传统的文化。我妈妈和奶奶也可以做这些工作。这是我的童年。
41937,UgxO-UhKf3qORMqtzOh4AaABAg,1,4 years ago,wow i really loved all yours style of cooking in traditional way,哇，我真的很喜欢您以传统方式做饭的所有风格
41792,UgyBOnv7w4yG5KkwWdd4AaABAg.8rsX4nA_kX78rurXGckZg2,1,4 years ago,that is a traditional way of frying peanuts.,那是炸花生的传统方式。
37511,Ugy-Cll7nOHP9j65Ult4AaABAg,1,4 years ago,"i am so good scared by the video... when i saw it in recommendations, i was just expecting some of those clichรฉ things made for european youngers (haha), but in fact it is simple, and even holding this nostalgic feeling of do the things in a traditional way, it is still looking like something that we, me, could do once. it's inspirational because everything seems to be done in the correct time, the way she broke the wood stick, the candies package...",我对视频感到非常害怕...当我在建议中看到它时，我只是期待一些陈词滥调的东西是为欧洲少年制造的（哈哈），但实际上很简单，甚至保持这种怀旧的感觉以传统方式的事情，它仍然看起来像我们一次可以做的事情。这是鼓舞人心的，因为一切似乎都在正确的时间完成，就像她打破木棍的方式，糖果包装...
28729,UgxJ4HFEJRd5JAreoFt4AaABAg,1,3 years ago,"this is the traditional chinese way of life, every frame is a beautiful picture, really beautiful! thank you for letting more people know about china.",这是中国传统的生活方式，每个框架都是美丽的图画，真的很漂亮！感谢您让更多的人了解中国。
37007,UgyzryEZ2_1DANgs-J94AaABAg,1,4 years ago,"traditional cooking.... awesome, fabulous.... mind-blowing",传统烹饪....很棒，很棒。
33232,UgxZz1pTb3rcCQJ7AA54AaABAg.8vOil57dxRE8vRb3JPRmmV,1,4 years ago,"she is chinese, her home is in sichuan, china, and it is also the hometown of giant pandas. the girlโ€s childhood was very unfortunate, and the teenager left the school to work in a foreign land. after her father died, she returned to the beautiful and poor countryside to accompany her grandmother. her grandfather was a country banquet chef who inherited her grandfather's traditional cooking techniques and learned her grandmother's sewing and fabric skills. 
filming helped her financial situation, and now she has a great team. 
we wish this beautiful girl and wish her grandmother health.","她是中国人，她的家在中国四川，也是巨型熊猫的家乡。女孩的童年很不幸，这名少年离开学校在异国工作。父亲去世后，她回到美丽而贫穷的乡村陪伴祖母。她的祖父是一位乡村宴会厨师，她继承了祖父的传统烹饪技巧，并了解了祖母的缝纫和面料技巧。
拍摄有助于她的财务状况，现在她拥有一支出色的团队。
我们希望这个美丽的女孩并祝她祖母健康。"
32699,Ugy800mmFiW5Y1YrP-N4AaABAg.8vhRnJy5uF092QKL44pChA,1,3 years ago,"yeah... 200% of chinese propaganda! just look how wonderful, beatiful, natural and real the simple life of chinese traditional values is.
kill me right now!","是的...中国宣传中有200％！只要看看中国传统价值观的简单生活是多么美妙，美丽，自然和真实。
立即杀了我！"
22985,UgxsdVLdbVYEPdXqgbl4AaABAg,1,3 years ago,"regardless of whether these videos are suspected of hype, the video does spread traditional chinese culture. the chinese do not need to admire yangmei. a country's own culture is the root. for a chestnut, taekwondo can become olympic sports. why can't chinese kung fu, why did china have only bruce lee and jackie chan, no succession? because the flow star vase is full of the current entertainment industry, is it that the inheritance has a fault in the inheritance? first of all, if you like the culture of others, you must first love your own culture. if a country ignores its own culture and vigorously promote foreign culture. this country, this nation will lose the soul, and will not get it in the future. the respect of others, too many excellent culture in china for 5,000 years is worthy of promoting. the thoughts in guang confucianism and taoism are enough for you to dig. china is actually unique.",不管这些视频是否有炒作嫌疑，但视频确确实实在传播中国传统文化，中国人不需要崇洋媚外，一个国家自己的文化才是根，邻国日本韩国确实比我们做的好，而且做到了文化输出，举个栗子，跆拳道可以成为奥运体育项目，为什么中国功夫不可以，为什么中国只出了李小龙和成龙，后继无人？因为流量明星花瓶充斥着现在的娱乐圈，是不是功夫在传承方面有迹象已经出现断层了？国内首先你喜欢别人的文化，你就要先爱自己的文化，一个国家如果连自己的文化都忽视，去大力弘扬外来的文化，这个国家，这个民族是失了魂的，将来也不会得到别人的尊重，中华上下五千年太多优秀的文化值得弘扬了，光儒释道里的思想就够你挖掘的了，中国其实是独一无二的.
32537,Ugya9XBNCAfuPwCSNWp4AaABAg.8vnsTedfwp88vo1quKEXQW,1,4 years ago,that is a traditional way to make popcorn in china. the popper was popular 20 years ago. now you can only buy popcorn at the cinema and the popper could not be seen on the street. the difference is that the chinese make popcorn with sugar while the american make popcorn with salt&cheese.,这是在中国制作爆米花的传统方式。 Popper 20年前很受欢迎。现在，您只能在电影院购买爆米花，在街上看不到Popper。不同之处在于，中国人用糖制成爆米花，而美国人则用盐和奶酪制作爆米花。
32012,UgyXCSJmdAaQglPAYbR4AaABAg,1,4 years ago,"where did she get the marshmallow?? i mean, this is traditional/natural sources right?",她从哪里得到棉花糖？我的意思是，这是传统/天然来源吗？
31991,Ugzbd3D6wL_W71Phk614AaABAg,1,4 years ago,"very well made, it's nice to see all the steps that go into making these things the traditional way. 
i find the puppy and lamb combo a little staged, essentially i'm afraid it could be all staged. my paranoid butt is acting up. but nevertheless, 10/10 educational video. old grandma is very cute, i hope she knows she is.","做得很好，很高兴看到使这些事情以传统方式制造的所有步骤。
我发现小狗和羊肉组合有点上演，从本质上讲，我恐怕会上演。我的偏执屁股正在行动。但是，10/10教育视频。老祖母很可爱，我希望她知道自己是。"
23220,Ugzj3Q3vLq1MNTow2n94AaABAg.92UUWGW2EPv92ZYbnwZFAo,1,3 years ago,it's chinese traditional way to make popcorns.,这是制作爆米花的中国传统方式。
