,cid,votes,time,含village,含village中文翻译
34188,UgysSQ43ZOAPGxXhzQN4AaABAg.8v99s_EOMMw8vA-1hHlQBJ,2,4 years ago,"china has never killed muslims. china has gathered uyghurs from remote rural areas to schools to teach them how to read and write, to learn some skills and to pay them monthly wages. these have spread to the west and become prisons, saying that china imprisons uyghurs. china kills uyghurs. it's ridiculous. why does the chinese government do this because many people in remote villages are illiterate all their lives? having never been out of their villages, brainwashed and blindly hated by extremist terrorists crossing the border, attacking local police stations and governments. although i don't agree with this compulsory learning practice, ordinary chinese people can't help it. i just tell you the truth is not the western media, falungong propaganda is just that. as a chinese in the west, i can only say about china reported by the western media. news, three points are true, seven points are rumors and slander",中国从未杀死穆斯林。中国将Uyghurs从偏远的农村地区聚集到学校，教他们如何读写，学习一些技能并每月支付工资。这些已经蔓延到西方并成为监狱，说中国被抹去了乌格尔人。中国杀死了乌格尔人。这太荒谬了。中国政府为什么这样做是因为偏远村庄的许多人都是文盲的一生？从来没有离开过村庄，被极端恐怖分子越过边界，攻击当地警察局和政府的极端恐怖分子。尽管我不同意这种强制性学习实践，但普通的中国人却无济于事。我只是告诉你，事实不是西方媒体，法伦隆宣传就是这样。作为西方的中国人，我只能说西方媒体报道中国。新闻，三分是真的，七分是谣言和诽谤
42280,Ugz1IYrjJR8HlFCquwJ4AaABAg.8rhy45SStsD8ri9PbPXTiS,2,4 years ago,"geisteswissenschaft 
no, her parents passed away. she was raised by her grandparents in rural china. she went to work in cities but returned to the village to take care of her grandma after her grandpa passed away.","Geisteswissenschaft
不，她的父母去世了。她的祖父母在中国农村抚养长大。她在城市上班，但在爷爷去世后回到村庄照顾祖母。"
6516,UgwIL4qmh9iK_JPuDGB4AaABAg,2,2 years ago,"my friend momo sent me link of this video. 

this video is really nostalgic. it reminds me of my grandma! these old tactics should be preserved; some are efficient and healthier. i never knew that nuts can be fried and eaten well. we have a big home in the village. sometimes i saw lots of nuts falling from trees but never ate because it has thorns. i never ate that big and yellow fruit. my grandma used to make something similar here, a bit dry mango jam.","我的朋友莫莫（Momo）向我发送了此视频的链接。

该视频确实是怀旧的。这让我想起了我的祖母！这些古老的策略应保留；有些是有效且更健康的。我从来不知道坚果会被炸和吃得好。我们在村里有一个大房子。有时我看到很多坚果从树上掉下来，但从未吃过，因为它有刺。我从来没有吃过那种大黄色的水果。我的祖母曾经在这里做类似的东西，有点干芒果果酱。"
33060,UgyTWmyBvRkc3cSrLPF4AaABAg.8vVYJy8QOaA8wbuMpibDLS,2,3 years ago,"rat people do not really hunt these days since wild animals are rare and most of them are protected. very likely she buys the meat from the farmers in her village who keeps the livestocks like cows and pigs; usually in rural china, farmers will kill some livestocks they have been raising the whole year just before chinese new year, keep the meat and maybe sell them if there is extra.",如今，老鼠人并不是真正的狩猎，因为野生动物很少见，大多数人都受到保护。她很可能从村庄的农民那里购买肉，这些农民保留了牛和猪等牲畜。通常在中国农村地区，农民会杀死他们在农历新年之前养育整整一年的一些牲畜，保留肉，如果有额外的话，也许会出售它们。
24212,Ugyfp-OANSszCqro3EB4AaABAg.91Mhp1jxeGF92CimAW3JZm,2,3 years ago,"this is real, i wish one day i could visit her village",这是真的，我希望有一天能参观她的村庄
17336,UgwS10nlCzbym5SOUax4AaABAg,2,3 years ago,"the girl is such a clever man, i wonder how old she is and where she lives, in the sense of those places where we see on the video? i myself lived in the village and i know what rural labor is where there is practically nothing that we see now in modern form. so much works, and even tidy and cheerful owing owing ours, and by the way, i would like to know who removes and mounts her work, thanks to this person. the video is just incomparable!",这个女孩真是个聪明的男人，我想知道她几岁和她的住所，从我们在视频中看到的那些地方？我本人住在村庄，我知道什么是乡村劳动，现在几乎没有现代形式看到的东西。由于我们的欠款，欠我们的欠款如此之多，甚至整洁而开朗，我想知道谁撤职并载入了她的工作，这要归功于这个人。该视频只是无与伦比的！
23058,Ugw1aTCq5J-VCzg6dBV4AaABAg,2,3 years ago,"i used to work in rural areas for seven and a half years, so i have a special understanding of rural areas and understanding the hard work of chinese farmers. some villages in china are still messy today, and the garbage has become angry.

these do not become a reason for the video of li ziyi. we all understand that living in the depths of sichuan in dashan is not a simple pastoral scenery and carefree.

li ziyi is not doing great announcements.

she just wants to earn a family -to -family income through her labor creation. i don't believe that she would expect to be popular in the world because of this. return to doujin.

a little exaggerated here [smiling]

li ziyi has experienced a few years of hard work and tried various tasks. her success is by no means accidental.

ten thousand people watch her videos with 10,000 different feelings.

i read that the most direct help to me was that i suddenly realized that the level of cooking was too far away. need to work harder and learn carefully.

of course, as countless fans say, watching li ziyi's video can make people's hearts calm down.

many foreigners leave a message saying that it is hypnosis, treating insomnia [crazy] [crazy] [crazy]

more people admire her omnipipary.

the most exaggerated statement is that ziyi can create a earth [crazy] [crazy] [crazy]","曾经在农村劳动七年半，所以特别了解农村，了解中国农民的勤劳俭朴，贫穷苦难。今日中国有些村庄依然脏乱不堪，垃圾成堆令人愤怒。

这些不成为否定李子柒视频的理由。我们都明白生活在大山深处四川农村不是简单的田园风光，无忧无虑。

李子柒不是在做大外宣。

她只是想通过自己的劳动创作，挣一份养家糊口的收入而已。我不相信她当初会料到因此大红大紫名扬世界。日进斗金。

有点夸张啊此处[偷笑]

李子柒经历了个人苦苦奋斗若干年，尝试过各种不同工作。她的成功，绝非偶然。

一万个人看她的视频会有一万个不同感受。

我看了，对我最直接的帮助就是突然意识到，自己做菜的水平差的太远。需要更加努力，用心学习。

当然，如同无数粉丝所言，看李子柒的视频，能让人的心，静下来。

很多老外留言说是催眠，治疗失眠症[抓狂][抓狂][抓狂]

更多人赞叹她无所不能。

最夸张的说法是，子柒可以再造一个地球[抓狂][抓狂][抓狂]"
24943,UgwDEi4vqeiDnxtbjwV4AaABAg,2,3 years ago,"anyone know a simple but romantic kdrama or cdrama just like this? historical, minimum palace hierarchy and just average villagerโ€s life?",有人知道一个简单但浪漫的kdrama还是这样的cdrama？历史，最低宫殿的等级结构和普通的村民的生活？
25696,Ugy6RKxBfIBxOuWcg9B4AaABAg.9-5cTrMPiM29-ALhslcmCV,2,3 years ago,"ms. liziqi is wonderful. lin jing invites you to sichuan cuisine to enjoy the natural scenery of the countryside. a small village in dazhou sichuan is fun and optimistic. proactive, easy going, bold and independent. i grew up in quxian county, sichuan province, known as the homeland of the han dynasty, the home of chinese bamboo art, the home of yellow flowers and the intangible cultural heritage of china.",利兹奇女士很棒。林吉（Lin Jing）邀请您去四川美食欣赏乡村的自然风光。 Dazhou Sichuan的一个小村庄很有趣和乐观。主动，随和，大胆而独立。我在四川省的Quxian县长大，被称为汉朝的家园，中国竹艺术的家园，黄花的家园和中国无形的文化遗产。
3495,UgwjNX4wtoMjYbHYAxF4AaABAg,2,1 year ago,she is so cute and her living village is awesome,她是如此可爱，她的生活村很棒
30280,UgwDPkGQd0OEgrZTeih4AaABAg,2,3 years ago,i admire this kind of village.. everything u want is just available at ur home or garden.. no need to go fresh market or fruits stalls..aside from china where we will find this kind of place?,我欣赏这种村庄。.您想要的一切都可以在您的家中或花园里买到。.不需要去新的市场或水果摊位。在中国，我们会找到这样的地方吗？
26013,UgwHc9XE_F_lukY4B894AaABAg,2,3 years ago,"missing my village home and grandma..
love to watch your videos","想念我的村庄和祖母。
喜欢看你的视频"
26167,UgwQdehRp_7a7Gz3Xz94AaABAg.8zoNNAQmde-9-qCmxcQqcN,2,3 years ago,"่ฐขๆ— ่จ€ so๏ผyour point is she doesnโ€t live in the life showed in the video? the truth is she experienced the village life in china and she is showing a positive living attitude, that what made she popular, she started from nowhere, no team, no company.
it is undeniable that the real rural life is rough and there are many disappointing problems as well, but there are many people live with positivity in face of difficulties. 
the farmers in china now living in a life much better than the past thousands year, no tax, no worries about war and starving, free education, medical insurance, encouraging well-educated students to develop the deprived areas, funds for the poverty, internet, electricity and signal almost everywhere, paved roads to every villages, most of farmers are able to build a house if they work hard.","谢无言那么，您的意思是她不生活在视频中的生活中吗？事实是，她在中国经历了乡村生活，并且表现出积极的生活态度，使她受欢迎的是从无处开始，没有团队，没有陪伴的原因。
不可否认的是，真正的乡村生活是艰难的，也有许多令人失望的问题，但是面对困难，有很多人生活在积极上。
中国的农民现在生活在生活中的生活要比过去一千年好得多，没有税收，不用担心战争和饥饿，免费教育，医疗保险，鼓励受过良好教育的学生发展贫困地区，贫困的资金，互联网，几乎到处都是电力和信号，通往每个村庄的道路，大多数农民都可以在努力工作的情况下建造房屋。"
21040,Ugz5P4xPsdR6Z9czEyd4AaABAg.941vCdSLPgO95-aZjyr-fK,2,3 years ago,@yngblkqn we dont buy chinese stuff ...our clothes come from bangladesh srilanka india and other south eastern countries ...and btw there is no village girl who can do such back breaking work and still look like she is out of beauty parlour ..its all set up ..i like it but its not how true village ppl live,@yngblkqn我们不买中国东西...我们的衣服来自孟加拉国斯里兰卡印度和其他东南部国家……而且顺便说一句，没有乡村女孩可以做这样的背部折磨，而且看起来仍然像她没有美容院。它所有人都设置了..我喜欢它，但不是真正的村庄Ppl Live
1985,UgwqjUk5rmpkC7rc6YV4AaABAg,2,1 year ago,in the village of liziqi there is no sunlight i love it,在利兹奇村，没有阳光我喜欢它
47514,UgwMHlc_RSCeUpwsFwp4AaABAg.8qo_Wnb9HLm8qtRqeXa9Y5,2,4 years ago,"my hometown~ mianyang city,sichuan province, located in the southwest of china. but if you wanted to visit the places which are showed in the video, you need to go to the area of mountains. and most villages in mountains still keep the traditional rural lifestyle. but it seems very hard for foreigners to go to these places because people there almost can't speak english ,even mandarin, most people speak another tones of chinese with accent. so you can go to the same places not in the deep mountain areas like emei mountain, siguniang mountain,etc. and you can taste the food in chengdu city which is the capital of sichuan province, most food that liziqi made are sichuan food. it would be helpful to find the traditional sichuan food if you found a local guider. hope my suggestions would be useful to you.",我的家乡〜Mianyang City，四川省，位于中国西南部。但是，如果您想访问视频中显示的地方，则需要去山区。而且，山区的大多数村庄仍然保持传统的乡村生活方式。但是，外国人似乎很难去这些地方，因为那里的人们几乎不会说英语，即使是普通话，大多数人都会说中文的另一种色调。因此，您可以去Emei Mountain，Siguniang Mountain等深山地区的相同地方。您可以品尝到成都城的食物，这是四川省的首都，Liziqi制作的大多数食物都是四川食品。如果您找到当地的指导者，找到传统的四川食品将很有帮助。希望我的建议对您有用。
17676,UgzYIiodQyHTPuLLnat4AaABAg,2,3 years ago,"the way she cooks i love it and i remembered my past used to cut grass, picked rhododendron from the forest of my village and picked vegetables with my relatives❤❤",她做饭的方式，我喜欢它，我想起了我过去曾经割草，从村庄的森林中摘下杜鹃花，与亲戚一起挑选蔬菜❤❤
28378,UgwJE7dHd7dr8ZYIgrZ4AaABAg.8y_gdl3onWb8yeHJNRqzG_,1,3 years ago,"the place where she lives is a village in mianyang , sichuan province, in china. currently she lives with her grandmother and puppies, the nature as well.",她居住的地方是中国四川省米扬的一个村庄。目前，她还与祖母和幼犬住在一起。
21525,Ugy_rDs8BM0sdE53Xk54AaABAg.93Zm-mIdXXA95dLHMeRNpI,1,3 years ago,"@msgerberra she's working in a village, and those are village pets, not some pets you buy to play in the house with.",@Msgerberra她在一个村庄工作，那些是村庄宠物，而不是您买的一些宠物。
33972,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd49CtOhaWtzFS,1,2 years ago,"we still living like this at village,watching her video remind me of my grandma",我们仍然生活在村里，看着她的视频让我想起了我的祖母
22222,Ugz2SEc757W6E4P-MIx4AaABAg,1,3 years ago,"wow always making food or forging for food,do you feed a whole village of people?i feel really odd now eating once a day when i see how much food you produce,i donโ€t know how you do it but your food looks over the top delicious,you need a vacation itโ€s seems you never stop working to gather food and such!!!you make amazing videos,i love your puppies as well they are super cute and the background music was very tranquil and soothing to listen to as wellโ๐ป&โค๏ธ from me and my wife in ๐จ๐ฆ canada!!!",哇，总是在做食物或锻造食物，你喂整个人吗？现在每天吃一次食物，我真的很奇怪，我不知道你怎么做最美味，您需要度假，看来您永远不会停止工作来收集食物等等！！您制作了令人惊叹的视频，我也爱您的小狗，它们非常可爱，背景音乐非常宁静，舒缓地听了well✌
34516,UgxsCrKY-bITTsQbzeh4AaABAg,1,4 years ago,village like our northeast,像我们东北的村庄
20914,UgxbKRpBovS4jA6rNqJ4AaABAg.946AnDac2eu95Az35X9lJp,1,3 years ago (edited),"i hate living in the cities. both my parents grew up on the countryside and got to grown their own food. i'm tired of this fake, ultra-processed food and the constant noise and pollution (light pollution too). from the summers i spent in my grandmother's village, life was so simple and calm. we got to eat real food and spend time in nature. i wish i could move out to the countryside. i want to have my own garden and maybe some chickens. i'm too young and don't have much money now, but one day in the future i will. i've noticed many people my age wanting to reconnect with nature again. i hope this becomes a revolution for our generation",我讨厌住在城市。我的父母都在乡村长大，并自己种植了自己的食物。我厌倦了这种假的，超级加工的食物以及持续的噪音和污染（也是光污染）。从我在祖母的村庄度过的夏天，生活是如此简单和平静。我们必须吃真正的食物，并花时间在大自然中。我希望我可以搬到乡村。我想拥有自己的花园，也许还有一些鸡。我太年轻，现在没有太多钱，但是将来有一天我会。我注意到许多我这个年龄的人都想再次与自然重新建立联系。我希望这成为我们这一代的革命
32984,UgxxOUkIOi6ps9xpIfB4AaABAg,1,4 years ago,"i wanna introduce some background of ziqi for people to know better about her. she was born in sichuan province in china. she actually suffered a lot of difficulties while she was a child, her father died early and her mother left her, she was raised up by her grandma. since her family was pretty poor, she dropped off from school since she can't afford the money. she went to cities and did a lot of hard jobs but when her grandma's health went bad, she quit the jobs and decided to move back to the village her grandma. she started to do self-online business to make money but it was not successful at first, but while chinese short-video industry developing, she started to make the first chinese ancient food cuisine and that video attracted a lot of people to watch. while she got more successful, it appeared a lot of against voices online, they assumed she used different people to act and she had a huge team to edit these videos. the worst thing is that some people even set up cameras in her house to see the shooting process whether it is fake or not.


under so many pressure, she had to move with her grandma to a much more remote place so that people can not find them. she suffered so many difficulties and finally achieved success but she still continues living and surviving, try to express the most beautiful scenery for us to watch. i really wanna appreciate all the hard work you did and every updated video represents an increasing quality. 


don't get injured, take care of yourself, you already did good enough, your videos motivated so many people all around the world, you overcome the language barrier and show the world the best of your life and china. as a chinese person, i really wanna say thank you.","我想介绍Ziqi的一些背景，让人们对她的了解得更好。她出生于中国四川省。实际上，她小时候遇到了很多困难，父亲早就死了，母亲离开了她，她的祖母长大了。由于她的家人非常贫穷，因此由于她负担不起钱，因此她离开了学校。她去了城市，做了很多艰苦的工作，但是当奶奶的健康状况不佳时，她辞去了工作，决定搬回祖母的村庄。她开始从事自我键盘的业务来赚钱，但起初这并没有成功，但是当中国短视频行业发展时，她开始制作第一家中国古老的食品美食，该视频吸引了很多人值得关注。尽管她取得了更大的成功，但似乎在网上反对声音，但他们认为她用不同的人表演，并且有一支庞大的团队来编辑这些视频。最糟糕的是，有些人甚至在她的房子里设置了相机，以查看射击过程是否是假的。


在这么多的压力下，她不得不和祖母一起搬到一个更偏远的地方，以便人们找不到它们。她遇到了很多困难，并最终取得了成功，但她仍然继续生活和生存，试图表达我们最美丽的风景。我真的很想欣赏您所做的所有辛勤工作，每个更新的视频都代表着质量的提高。


不要受伤，照顾好自己，您已经做得足够好了，您的视频激发了世界各地的许多人，您克服了语言障碍，并向世界展示了您的生活和中国。作为一个中国人，我真的想说谢谢。"
37059,UgyEGa7S8OEs6vHDGF14AaABAg.8uKAG1ThWGP8vMns7LHrx4,1,4 years ago (edited),this is suppose to show the simple and beautiful also hardworking lifestyle of a village life,这应该表明乡村生活的简单而美丽的生活方式
32817,UgxdTWXq3OBazhmVI9J4AaABAg,1,4 years ago,"all the supplications in the qurโ€an are also salary according to the arrangement of the honorable press. make it ongoing charity*

1- our lord accepts us that you are the hearing of the knowledge, and we have the right to the mercy.

2- our lord came to us in the world, and in the other, we are good, and we were tormented by the fire.

3- our lord, we have been patient, and we have proven to us and supported us on the infidels.

4- our lord, do not take us if we forget or sin, our lord, and do not carry us as an insignificant as you carried it over those before us.

5- our lord, and do not carry what we have no energy, and forgive us, and we forgive us, and may you be our money, and we will be pleased with the infidels.

6- our lord, we do not have our hearts after our gossip, and we are gave to us, with the mercy of you, you are the ghosts.

7- our lord, you are the people of the people for a day that there is no doubt that god does not leave the good.

8- our lord, we believed, so we forgive us, our sins, and we are the torment of the light.

9- rabbi, i have a good atmosphere, you will hear the supplication.

10- our lord, we believed in what i went down and followed the messenger, so we wrote with the two testimonies.

11- our lord forgive us, our sins, and our secrets in our matter, and we have proven our feet and supported us on the infidels.

12- our lord, as long as you created this, we have lost the torment of the fire.

13- our lord, you are the one who entered the fire, as you have been treacherous, and for those who are supporters.

14- our lord, that we have heard a call that calls for the days that they believe in your lord, our lord, our lord, forgive us, our sins, and disbelieve us, our misfortunes, and we will fulfill the righteous.

15- our lord has come to us and our promises to your messenger and do not store the day of the resurrection. you do not leave the customer.

16- our lord was brought out of this free village.

17- our lord, our souls, we have not forgiven us, and we have mercy on us.

18- our lord opens between us and our people in truth and you are the best of the sides

19- our lord, we have been patient, and we have fulfilled muslims.

20- our lord does not make us a fatwa for the people of the people, and we escaped from the infidels.

21- rabbi, i will seek you to ask you for what i do not have knowledge, and only forgive me, and may god bless me.

22- rabbi, you are the first of me in the world, and the other one will give me a muslim and my injecting is good.

23- our lord, you know what we hide, and what we declare, and what is hidden from god in the land, or in the heavens.

24- rabbi make me the place of prayer and from my atom, our lord, and accept a supplication, our lord, forgive me and the parent

25- rabbi enter me with a honesty, and i will be shocked by a shock, and make me from you.

26- our lord came to you from your soul, and we have a gift from us.

27- rabbi explain to me my chest, and i am pleased with my matter, and i will analyze a contract from sani who understand my saying, lord of my knowledge.

28- there is only god, but you are your grace that i was one of the oppressors.

29- rabbi, do not infer me, and you are the best of the two.

30- i am the harmful one and you are the most merciful.

31- the lord of mubbar, you are the best of the home.

32- rabbi, i will see you from the thunderbolts, and i will seek your lord to attend.

33- our lord, our safe, forgive us, and may you be merciful.

34- our lord, we have been tormented by the torment of its torture, that it was overwhelmed, as it was stable and stable.

35- our lord, we gave us from our grooves and our warnings, and we made us to the righteous in front.

2- others and make me from the heirs of the inauguration of the soul, and do not store me a day they send a day that does not benefit the money, and if only the one who will come to god with a sound heart.

37- lord of najji and my family from what they are doing.

38- rabbi, give me to thank you, which i have been blessed with my parents, and that i work as good as you satisfy it, and enter me with your mercy in your good worship.

39- lord, i wronged myself, forgive me, lord, i will support me, the people.

40- our lord expanded everything, and when he was forgiven to those who repented, they followed your way and their torture of hell

41- our lord and entered them with the ages of the one who are their promises and who reconciled their fathers and their grooves and their warning his merciful, and this is the greatest.

42- our lord revealed the torment that i am believers.

43.

44- our lord forgive us and our brothers who preceded us with faith and do not make in our hearts to the one who are in.

45- our lord, you see a mercy, may god bless you, and you, our prophet, and you, the destiny, our lord does not make us a girl to those who disbelieved, and forgive us, our lord, you are the dear, the government.

46- our lord, we are blessed with us, and we forgive us, that you are very rare.

47- rabbi, do not be at the ground from the infidels, you will be attempted to mislead your worship, and they will only be born with disbelief.

48- the lord of my father, and whoever enters our believer and the believers and the believers and does not increase the oppressors except to be confused.

the one who will know the supplications is because of you, ""you will be surprised, god willing, on the day of the mountains of good deeds ... and the world in the waterfall of the values โ€โ€that are fulfilled ... god willing.
.
and call on god, god bless you","《古兰经》中的所有恳求也根据荣誉新闻的安排而薪水。使其持续慈善机构*

1-我们的主接受您是您的知识听证会，我们有权享有怜悯。

2-我们的主来到世界上，另一方面，我们很好，我们被大火折磨。

3-我们的主，我们一直耐心，我们已经证明了我们并支持我们的异教徒。

4-我们的主，如果我们忘记或犯罪，我们的主，不要带我们去，不要像您将其携带到我们面前的那些人一样无关紧要。

5-我们的主，不要携带我们没有精力的东西，原谅我们，我们原谅我们，也许您是我们的钱，我们会对异教徒感到满意。

6-我们的主，我们在八卦之后没有我们的心，而我们被您的怜悯赐给了我们，您就是鬼魂。

7-我们的主，你是人民的人民，毫无疑问，上帝不会留下善。

8-我们的主，我们相信，所以我们原谅了我们，我们的罪，我们是光的折磨。

9-拉比，我的气氛很好，您会听到恳求。

10-我们的主，我们相信我走了下来并跟随Messenger，所以我们写了两个证词。

11-我们的主原谅我们，我们的罪过和我们的秘密，我们证明了我们的脚，并在异教徒身上支持我们。

12-我们的主，只要您创造了这一点，我们就失去了火灾的折磨。

13-我们的主，您是您一直在危险的人，也是那些是支持者的人。

14-我们的主，我们听到了一个呼吁，呼吁他们相信您的主，我们的主，我们的主，原谅我们，我们的罪过，不相信我们，我们的不幸，我们将实现义人。

15-我们的主来找我们和我们的信使的承诺，不存储复活的日子。您不会离开客户。

16-我们的主被带出这个自由的村庄。

17-我们的主，我们的灵魂，我们没有原谅我们，我们对我们有怜悯。

18-我们的主在我们和我们的人民之间以真理开放，而您是最好的一方

19-我们的主，我们已经耐心了，我们已经实现了穆斯林。

20-我们的主不会使我们成为人民的胖子，我们从异教徒逃脱了。

21-拉比，我会寻求您向您询问我没有知识，只原谅我，愿上帝保佑我。

22-拉比，你是我第一个世界上的第一个，另一个人会给我一个穆斯林，我的注射很好。

23-我们的主，你知道我们隐藏了什么，我们宣告了什么，以及在土地上或天堂中隐藏的是什么。

24-拉比使我成为祈祷的地方，并从我的原子，我们的主那里接受恳求，我们的主，原谅我和父母

25-拉比诚实地进入我，我会震惊的是，让我感到震惊。

26-我们的主从你的灵魂来到你身边，我们得到了我们的礼物。

27-拉比向我解释了我的胸部，我对我的事情感到满意，我将分析萨尼的合同，他理解我的意思，我的知识。

28-只有上帝，但是你是你的恩典，我是压迫者之一。

29-拉比，不要推断我，你是两者中最好的。

30-我是有害的人，你是最仁慈的。

31-穆巴尔之王，你是家中最好的。

32-拉比，我会从雷电上见到你，我会寻求你的主参加。

33-我们的主，我们的安全，原谅我们，愿你仁慈。

34-我们的主，我们因其酷刑的折磨而遭受了折磨，因为它是稳定且稳定的，因为它不知所措。

35-我们的主，我们从凹槽和警告中给了我们，我们把我们带到了前面的义人。

2-其他人，让我从灵魂就职典礼的继承人中学到我，不要将我存放一天，他们寄来的一天，这不会使金钱受益，如果只有那些愿意以声音的心来到上帝的人。

37-纳吉勋爵和我的家人从他们的工作中。

38-拉比，请感谢我，我对父母很幸运，我的工作和您满意的一样好，并在您的良好崇拜中怜悯我。

39-主，我委屈自己，原谅我，主，我会支持我，人民。

40-我们的主扩大了一切，当他被宽恕的人宽恕那些悔改的人时，他们跟随你的路和对地狱的折磨

41-我们的主与他们的年龄成为他们的诺言，和解父亲，凹槽和警告他仁慈的人的年龄，这是最伟大的。

42-我们的主透露了我信徒的折磨。

43。

44-我们的主原谅了我们和我们的兄弟，他们以信仰为先于我们的兄弟，并不是在我们的心中向所在的人做。

45-我们的主，你看到怜悯，愿上帝保佑你，你，我们，我们的先知，你，命运，我们的主不让我们成为那些不相信的人，原谅我们，我们的主，你是亲爱的，政府。

46-我们的主，我们很幸运，我们原谅您，您非常罕见。

47-拉比，不要从异教徒那里站在地面上，您将试图误导您的崇拜，而它们只会出生于怀疑。

48-我父亲的主，以及谁进入我们的信徒，信徒和信徒，除了感到困惑之外，没有增加压迫者。

一个会知道恳求的人是因为你，“在善行的山上，你会感到惊讶，上帝愿意……以及所实现的价值观的瀑布中的世界...天意。
。
并呼唤上帝，上帝保佑你"
22641,UgxK3r_oT2VQLdcCHFZ4AaABAg.92pimCBlCp892prhSmR-rZ,1,3 years ago,"people really do these farm work, including a bamboo chair, not performed by light performances. of course, the video is artistic processing. it is said that the performance is not advisable. villages in various places are not exactly the same.",人家是真的会做这些农活，包括做了竹椅的，不是光表演就能表演出来的，视频当然是有艺术加工处理的，说是表演不可取。各个地方的乡村也并不是完全一样。
29351,UgyqdC6MV3vBSyDi4d14AaABAg,1,3 years ago,"very beautiful! puppies, lambs, pretty girl, amazing nature, cute old people and delicious food. it is a pity that 90% of the chinese in the village do not live like that. but i liked it!",很漂亮！幼犬，羔羊，漂亮的女孩，惊人的大自然，可爱的老人和美味的食物。遗憾的是，村里有90％的中国人不会那样生活。但是我喜欢它！
23725,Ugx2rXchKmf-f5rsxqx4AaABAg,1,3 years ago,she's making sweets for her entire village!,她正在为整个村庄做甜点！
31532,UgzwTAGOl24iYbFswEV4AaABAg,1,4 years ago,the girl use her talent to make the village life so interesting,这个女孩用她的才华使乡村生活变得如此有趣
37088,UgyEGa7S8OEs6vHDGF14AaABAg.8uKAG1ThWGP989mUT0ONk6,1,3 years ago,"actually in china village they grow their own food, rear animals, and have honey bees in backyard to produce honey. i went there last year and got to see it for myself. it's cool they can really do a lot of things by themselves",实际上，在中国村庄，他们种植了自己的食物，后方动物，并在后院有蜂蜜蜜蜂生产蜂蜜。去年我去了那里，自己去看了。很酷，他们真的可以自己做很多事情
30920,Ugx-l36A9lsK2EeDxAt4AaABAg,1,3 years ago,i want to live your village.amazing,我想住你的村庄。
37181,UgxF79NYtvLnIHAUZGV4AaABAg.8uHPImsQNCn8uMBQnlkbBS,1,4 years ago,witty l village entou uncle's 15 yuan a dollar,Witty L 村口大爷打的 15块钱一把
30800,UgxeqIcbo9_LKZ-4-5V4AaABAg.8wkHiHftbbh8wqd3fhR_Kd,1,3 years ago,"ulufah syair sulaiman village in mianyang city, sichuan province.",Ulufah Syair Sulaiman 四川省绵阳市的一个村庄。
30568,UgydjrWnsxCj1osCGwl4AaABAg,1,3 years ago,"wowww village also makes such beautiful desserts! intersection
correct. essence essence how did the younger sister shoot, someone can help you","Wowww 村子里也做这么好看的甜品啊
对了。。。小姐姐是怎么拍的啊，有人帮你吧"
38922,Ugw8eIf88gpXQfbT9tJ4AaABAg,1,4 years ago,"this is a fake house, everything is spanking new. real village houses arent like this . she seems to be an amazing cook though.",这是一个假的房子，一切都在打屁股。真正的村庄像这样住了。她似乎是一位了不起的厨师。
26171,UgwQdehRp_7a7Gz3Xz94AaABAg.8zoNNAQmde-9-qRx2lskwY,1,3 years ago,"@user-sc8cy5qc6e thought that understanding is more clear before making such extreme evaluations. i did not expect that i would never live in china at all. it seems that i do nโ€t know how miss zi has developed in the past four years. it seems to see it. it seems to see it. the video is too good to be different from the imagination of the countryside. it must be sour and sour. this kind of ""although china has nothing to do with me, but seeing a good video about it must scold a few words"", it is also a god. for this kind of negativeness that ""everything is false"" life attitude is sad. you probably can't understand that ziyi's rural people live in china and youtube, because the villagers/home and foundation memories are beautiful, and it is also because of the hard life in the difficult life. chicken soup for people who can see this comment: it is easy to have life without life, but a positive attitude and a serious sense of life to make life feel happy and meaningful in their spare time",@user-sc8cy5qc6e 还以为了解比较清楚才能做出这么极端的评价，没想到其实根本就不住中国，看来也其实并不了解子柒小姐姐这四年来是怎么发展起来的，看来是看到视频太好看了和想象的农村不一样啊就一定要酸里酸气地黑。 这种“虽然中国和我没太大关系了但是看到有关于它的好的视频一定要骂几句的心理”，也是神了， 为这种认为“一切的美好一定是虚假的”的消极人生态度感到悲哀。您大概不能理解，子柒的农村生活在中国和Youtube能火，是因为村落/家和根基的回忆的美好，也是因为在艰难生活中也会认真把生活过得有滋有味的美好。鸡汤一下给能看到这条评论的人：没有生活是容易的，但是积极的态度和认真把生活过好的仪式感让生活在闲暇时候变得愉悦和有意义
30173,UgwctPrU8l622pQG0MF4AaABAg,1,3 years ago,maybe she made the whole village eat,也许她让整个村庄吃饭
29958,UgynXuCTg2bikr-lDbp4AaABAg,1,3 years ago,all these things we do in india inside village,我们在村内在印度做的所有这些事情
