,cid,votes,time,含village,含village中文翻译
5156,UgxRdJ8xS5IE6XmaguR4AaABAg,1,2 years ago,if in my village it's called bong,如果在我的村庄叫邦
5723,UgxwnPjgNo_i1g2fDhF4AaABAg,1,2 years ago,"nature tourism of the swift currents of pariangan village, loksaso, upstream of the southern river of south kalimantan, visiting cousins โ€โ€in the upstream of the central river, we are served. fire wood, it feels maknyoooss๐ and this only exists in the village, let's watch out the excitement of the latest fnt fams video, don't forget to like, share, comment and subscribe, free, free

https://youtu.be/13zzieywmsk","Loksaso帕里安根村（Pariangan Village）的迅速潮流的自然旅游，让我们注意最新的FNT FAMS视频的兴奋，别忘了喜欢，分享，评论和订阅，免费，免费

https://youtu.be/13zzieywmsk"
4151,Ugz06hQA6aUEJPKDbl94AaABAg,1,2 years ago,"it's great to need vegetables just picking up ...
live in the village with simplicity more peaceful ..","很高兴需要蔬菜，只是捡起...
生活在村庄里，更简单。"
26895,UgzQ4OBGGGIyUq7xGMV4AaABAg.8ykJlulry208ytCd7bAAHS,1,3 years ago,"@chevvy427 it is just a small village in china. in the countryside, most people in the countryside go to work in the city. they only go home when the spring festival is over. as you can see in the video, there are organic vegetables and melons grown everywhere. fruit",@Chevvy427它只是中国的一个小村庄。在乡村，乡村的大多数人都在城市工作。他们只有在春节结束后才回家。正如您在视频中看到的那样，到处都有有机蔬菜和瓜。水果
3590,UgwiLrJExv_bkVH4ggN4AaABAg,1,2 years ago,support fellow villagers! intersection intersection intersection,支持老乡！！！！
3105,UgxK7tTx9vC9pt59mmJ4AaABAg.9Pk50gyAGkX9_g1yqlHbnX,1,1 year ago,cannot agree more. i read the whole comment line by line and i can honestly say that this person knows what he is commenting about since i also have my fair share of village life during my kid days . and this is my mom s phone so it might sound awkward .,不能同意更多。我逐行阅读了整个评论，我可以诚实地说，这个人知道他在评论什么，因为我在小时候也有自己的乡村生活。这是我妈妈的电话，所以听起来很尴尬。
6805,Ugx3-0hbt0QZY10n_G14AaABAg,1,2 years ago,"very beautiful ๐
so miss the village atmosphere. pandemic period makes it difficult for me to go home.
gbu","非常漂亮
所以想念乡村气氛。大流行时期使我很难回家。
gbu"
8250,UgwTeygZiJSuR5CcPAR4AaABAg,1,2 years ago,she is really a beautiful village girl๐๐๐...nd love u grandma,她真的是一个美丽的乡村女孩
22785,UgzN4986sghqxeoJ91V4AaABAg,1,3 years ago,it is admirable everything that is girl does. i arrived by chance and it has amazed me. it's nice to see how everything collects in your own village. congratulations from colombia lo ziqi,这是女孩所做的一切令人钦佩。我偶然到达了，这让我惊讶。很高兴看到您自己村庄的所有内容如何收集。来自哥伦比亚的恭喜
2875,UgwsUKXGMLds70oFd5d4AaABAg,1,1 year ago,this is the rural life of the water village that people yearn for ...,这才是人们向往的水乡农村生活吧……
19270,UgxS2VZg5TEcH2H8R-d4AaABAg,0,3 years ago,"no way it's one person shooting it. must be a whole movie crew. i bet they have a producer, budget and all other stuff like in a movie. too pretty for a farm girl. deceiving people. that's why so many dislikes. it's hidden propaganda. only a blind person would believe how good of life in a village in china. there are a bunch of documentaries showing otherwise.",这是一个人射击它。一定是整个电影团队。我敢打赌，他们有制片人，预算以及电影中的所有其他内容。对于一个农场女孩来说太漂亮了。欺骗人们。这就是为什么这么多不喜欢的原因。这是隐藏的宣传。只有一个盲人会相信中国一个村庄的生活良好。有很多纪录片显示。
18903,UgyRQYzjL4sMOUIlKQ94AaABAg.92DFFAhaLDZ92GNxjkJq-q,0,3 years ago,"sara usmani i am a chines girl, in my house have a same giant pans, in my village in every house have the same one",萨拉·乌斯曼尼（Sara Usmani
17538,UgxM78bP3-zAgnwfrPR4AaABAg,0,3 years ago (edited),"ziqi is making great videos. she spreads to the world a great way of living. but there are dislikes. some ask why. i’ll tell you why: the video seems untrue for a real villager. in china, it is almost impossible to live delicately like this if you live in suburbs. people struggle for a living: they do very hard physical works, to plow the soil, spread seeds and water on several acres of land almost totally physically and individually every day, in order to earn no more than $10,000 every year. every year! and also subject to uncertain climate conditions. some can only get half of that. farmers are playing hard mode in china. most of them need to feed themselves, their parents and their children attending school. so for them, the video may make them uncomfortable because they are not authorized by the world to live like this. and since the video does not reflect so much reality of suburban china, some people may feel that inconsistency and express it. of course there are also haters without reason. that’s it. there are different people in the world, and they cannot be all satisfied, which is also unnecessary. i like her video because the food seems so good. however i lived in village when i was a child, so i know to some extent her video differs from what i see there. i also sometimes think things like “well if she has expensive professional photography device like that, maybe she needs not walk without shoes in her video to pretend to be indigenous.” but those are only thoughts, i still love her videos.","Ziqi正在制作出色的视频。她传播到世界的好方法。但是有不喜欢的人。有人问为什么。我会告诉你原因：这段视频对于真正的村民来说似乎是不正确的。在中国，如果您住在郊区，几乎不可能像这样巧妙地生活。人们为谋生而挣扎：他们做非常艰苦的体力劳动，几乎每天几乎完全是身体和单独的几英亩土地上撒上种子和水，以每年的赚取不超过10,000美元。每年！并遇到不确定的气候条件。有些只能得到一半。农民在中国玩艰难的模式。他们中的大多数人需要养活自己，父母和孩子上学。因此，对于他们来说，视频可能会使他们感到不舒服，因为世界没有这样的生活授权。而且，由于该视频并不能反映中国郊区的太多现实，因此有些人可能会觉得这是不一致的并表达了它。当然，也没有理由的仇恨者。就是这样。世界上有不同的人，他们都不能满足，这也是不必要的。我喜欢她的视频，因为食物似乎很好。但是，我小时候住在村里，所以我在某种程度上知道她的视频与我看到的视频有所不同。我有时也会认为“好吧，如果她拥有这样的昂贵的专业摄影设备，也许她在视频中不需要走路就可以假装是土著的。”但是这些只是想法，我仍然喜欢她的视频。"
19098,Ugxx0C0wczLWx2DIaoJ4AaABAg.928Ic4g69m392Y3PgKjGuT,0,3 years ago,"welcome to china! i don’t know how to visit chinese little villages without knowing speaking mandarin( even so , a lot small villages can’t even speak mandarin) but still, it is muuuuch more interesting to visit small villages than big citys. i really hope to accompany you as i see you are such a lovely and positive lady",欢迎来到中国！我不知道如何在不知道讲普通话的情况下访问中国小村庄（即使如此，小村庄甚至无法说普通话），但是，访问小村庄比大城市更有趣。我真的希望陪着你，因为我看到你是一个如此可爱而积极的女士。
21736,Ugz7omM8bTknqGLUQKd4AaABAg,0,3 years ago,such professional recording in a remote village showing simplicity of chinese village ... looks like a beautiful advertisement. people in marketing know what i am talking about!,这种在一个偏远村庄的专业录音显示了中国村庄的简单性...看起来像是一个美丽的广告。市场营销人员知道我在说什么！
19683,UgzO_WGl1UvOTQle80d4AaABAg,0,3 years ago (edited),"zhi chi, a young woman who is kind, cooks, telling recipes and methods. for the general public good luck and happiness. today, stir -fried bamboo shoots, long beans, donated with the remaining grandmother to eat the next day or sell to earn money. the future is hoping to be rich, the little girl this is a genuine chinese, fruit plant. dry, pickled, pickled, branches, weeds, as fuel, raising animals for self -use, self -use, sell, sell, make it to see as well. do only do not talk people in and abroad like therefore have ten million fans to follow really awesome, the little and pathetic little girl her history is very attractive. right now, the little girl beside the bridge that she used to be famous is her life. history is in the clip that she spoke alone, answering with the fan club who was with two grandmother. near the bridge there are village headmen to help parents and grandfather at a young age. looks very difficult. wish you good health and good luck, both grandchildren, talented people 写给 泰国 看 看",智奇（Zhi Chi）是一个善良的年轻女子，烹饪，讲食谱和方法。对于公众祝你好运和幸福。今天，搅拌竹芽，长豆，与剩下的祖母捐赠第二天或卖钱。未来希望有钱，小女孩这是一个真正的中国水果植物。干燥，腌制，腌制，树枝，杂草作为燃料，饲养动物以自我使用，自我使用，出售，出售，也可以看到。只能不说话国外的人喜欢因此有一千万的粉丝要跟随真的很棒，小而可悲的小女孩她的历史非常吸引人。现在，她曾经出名的桥旁边的小女孩是她的生活。她独自讲话的历史是在剪辑中，与两个祖母的粉丝俱乐部回答。在桥附近有村长在很小的时候帮助父母和祖父。看起来很困难。祝您身体健康，祝您好运，两个孙子，才华横溢的人写写看看
19865,UgwdlIjifZ-jCl0RKRR4AaABAg,0,3 years ago,"hello from what i know, life propagated by this charming woman does not look so cute in the chinese countryside. the expansion of cities makes beautiful and peaceful villages turn into stinking and complained gutters, with highly processed food, and people eat it. and about such food that this beautiful lady presents, they can only dream about ... and this is sad. fate has prepared",您好，据我所知，这个迷人的女人在中国乡村看起来并不那么可爱。城市的扩张使美丽且宁静的村庄变成了臭味，并抱怨沟槽，用高度加工的食物和人们食用。关于这位美丽的女士展示的这种食物，他们只能梦想……这很可悲。命运已经准备好了
20043,UgzYa4e8Engac6qdHgN4AaABAg,0,3 years ago,the whole process is falsified. i will see how you end it ?? ghost believes that this is really she really lives in this wilderness village ?? i really do everything ?? no liziqi,全程造假 等曝光了我看你们怎么收场??鬼才相信 这是真的 她真的住在这荒野山村??真的什么都会做??no liziqi
18933,UgxLNsP-0aqASJwOqrN4AaABAg.92Cl3k4IWNV92ZILZ_eRnH,0,3 years ago,"the current rural areas are not the past rural areas. highway villages, villages, networks, electricity, and water have returned to my hometown once or two now, and each time it has changed a lot.",现在的农村不是以前的农村了，公路村村通，网，电，水都有了现在一两年回老家一次，每次都变化很大
21832,UgybMBWOV4f-oJAmiYF4AaABAg,0,3 years ago,is this a village flower?,这是村花吗
22620,UgyzEaWVvttZFoIreKN4AaABAg,0,3 years ago,"the female village is so cute, beautiful scenery",女村是如此可爱，美丽的风景
18408,UgzCB_PORgzg3qapZMp4AaABAg.92VfxrpYhlk92mr7fDLz1q,0,3 years ago,"guy core you are wrong, she lives in a normal small village, the local people are very simple, except for the wild bamboo shoots and fungi on the mountain, many things are villagers'homes",盖伊核心你错了，她住在一个普通的小村庄里，当地人很简单，除了山上的野竹芽和真菌，许多东西都是村民
21680,UgxJUXvA-ekytnpKeAd4AaABAg,0,3 years ago,living in the village is more cool than in the city,住在村庄比城市更酷
18930,UgxLNsP-0aqASJwOqrN4AaABAg.92Cl3k4IWNV92Xntzr0Ixp,0,3 years ago,"@terrykong3366 hasn't deliberately paid attention to detail, but now i don't know if she is difficult, i know that i just looked at it later. then i watched it, i was also thinking, is it in the mountain village?",@terrykong3366 还没去刻意详细关注过，只是现在想不知道她都难了才知道后来随便看了下。然后看了我也在想，她家山村里也通自来水吗
20214,Ugw1lhjQVYZlWqZQvJN4AaABAg,0,3 years ago,ur soooo beautiful as like ur village,像你村一样美丽
18804,Ugx8kD8pyy6qsOq0-SZ4AaABAg,0,3 years ago,01.37 i'm still literate to watch this. how beautiful the grandmother's life is .... is he the grandchild? it would be wonderful when i lived quietly in the village with a blessing of a child or grandchild like this woman,01.37我仍在识字观看。祖母的生活有多美丽。...他是孙子吗？当我以像这个女人这样的孩子或孙子的祝福悄悄地住在村庄时，这将是很棒的。
21908,UgxUj8tOlrdFat5QQD94AaABAg,0,3 years ago,"i like eat this vgetable too ... yummiiii 
i miss my village","我也喜欢吃这个可捕捉的... yummiiii
我想念我的村庄"
21364,UgxqrG942_08QxyARhp4AaABAg.9-xcBfQI0jd9043acocw7z,0,3 years ago,"saw yeng chew is not. later i checked it, and i was the village with me, mianyang, sichuan","Saw Yeng Chew 不是,后来我查了,和我是老乡,四川绵阳的"
20636,UgxgQaoytko3uCx5CSx4AaABAg,0,3 years ago,"beautiful scenery, fresh village atmosphere",美丽的风景，新鲜的乡村气氛
22427,Ugxf0U_unXMMBm4_65F4AaABAg.9-44izPIuzi9UipWrQ5Bmt,0,1 year ago,@cassiahlly you don't know the update of the story..... and you don't know the real life of village people. we don't wear full white dance skirt to work...,@cassiahlly您不知道故事的更新.....您不知道乡村人的真实生活。我们不穿完整的白色舞蹈裙来工作...
20601,UgwN5zZk0eybzhqxrzd4AaABAg,0,3 years ago,very comfortable living in the village,住在村里很舒适
130,UgxtUcnQjYYceNRV5Jh4AaABAg,0,1 month ago,"he is thinking about the way he is thinking about your mother and the way you buy in a small trip. the place where the purchase needs and positions are more smooth and naturally saying that he also has more people who arrive at the place where the journal literature is directly. you can do the way you do n’t have an account here to delete the method of operation when you do n’t have an account.

❤ the place where the way to operate in the way of the ninety culture villages is more smooth. in the way everyone feels, more people use credit card online shopping consumption. big broadband","他在想什么样子的母亲和小旅行中购买的方式来进行中购买需求及立场的地方都更顺畅自然地说自己也都更多人

❤给大概就是要九族文化村庄严佛的方式运作的地方都更顺畅度也在大家的感觉上是为了取得的地方都更多人使用信用卡线上购物消费均源自日本人的身体不适症状出现在大宽频"
22831,UgwR_sKP28rQppEeUUJ4AaABAg,0,3 years ago,wish to come and visit your family and village,希望来拜访您的家人和村庄
22973,UgzHFh0jG-56jPmxpbt4AaABAg,0,3 years ago,"all theses seems familiar to me i grew up in a small village living a style like this one, very memorable",所有这些论文似乎对我来说很熟悉，我在一个像这样一种风格的小村庄里长大了，非常令人难忘
28478,UgxLK-ZmEkqkkWU8an54AaABAg,0,3 years ago,"looking at your video, i really want to go back to the countryside of china. there are also fields in the house, there are trees, there are flowers and old houses. i do n’t know why i abandoned such a simple and beautiful life at that time and ran to mei village ...",看着你的视频，我也好想回中国的乡下。刚好家里也有田也有树也有花也有老屋，都不知道为什么当时抛弃了那么淳朴致美的生活跑到了美村…………
28861,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g9A4LbIMHpBT,0,2 years ago,"https://youtu.be/p3r2vxpacti 
sri lankan village food ❤","https://youtu.be/p3r2vxpacti
斯里兰卡乡村食品❤"
28862,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g9A4Lcnl_E99,0,2 years ago,"@phieuluukhampha-amthuc4568 https://youtu.be/p3r2vxpacti 
sri lankan village food ❤","@phieuluukhampha-amthuc4568 https://youtu.be/p3r2vxpacti
斯里兰卡乡村食品❤"
29272,Ugyr5ge86P4OVuRSHl14AaABAg,0,3 years ago,this video made me missing my village,这段视频让我想念我的村庄
29443,UgxPJV5oD4VIaD37BXF4AaABAg,0,3 years ago,"i love to watch her as a strong, inspiring and intelligent woman and her village is very beautiful",我喜欢看着她是一个坚强，鼓舞人心和聪明的女人，她的村庄很漂亮
30123,Ugycs7oKrS2XghudCCF4AaABAg,0,3 years ago,plzzz village tour village house,Plzzz Village Tour Village House
30934,UgzwGoc9tWSZUi0myDV4AaABAg.8yVQSrHBeQZ9A4Lkd4BVxw,0,2 years ago,"https://youtu.be/p3r2vxpacti 
sri lankan village food ❤","https://youtu.be/p3r2vxpacti
斯里兰卡乡村食品❤"
30935,UgzwGoc9tWSZUi0myDV4AaABAg.8yVQSrHBeQZ9A4LlKrAxzv,0,2 years ago,"@popgas3821 https://youtu.be/p3r2vxpacti 
sri lankan village food ❤","@popgas3821 https://youtu.be/p3r2vxpacti
斯里兰卡乡村食品❤"
31188,UgyZrbzwzDi8ayrzF7Z4AaABAg,0,3 years ago,your home& village is beautiful,您的家和村庄很美
31256,UgwNGGsIB_A-T_H4p2d4AaABAg,0,3 years ago,"we love you liziqi 
bless form sri lanka
village kids make delicious star gooseberry dessert | village food

https://www.youtube.com/watch?v=x56pzw-azgo","我们爱你liziqi
保佑斯里兰卡
乡村孩子们制作美味的星醋栗甜点|乡村食物

https://www.youtube.com/watch?v=x56pzw-azgo"
31389,Ugwk0LALMSHart5hLhR4AaABAg,0,3 years ago,"...
remember the village of women picking bamboo shoots alone
...","...
记住一个妇女村独自挑选竹芽的村庄
..."
31648,UgxBi_V6lm8JKVUaes14AaABAg,0,3 years ago,"he is losing, staying in the village, the germs, lumpur ""an..tapi keep smooth ...",他正在失去，呆在村庄，细菌，lumpur“ an..tapi保持光滑...
31708,Ugw9xyyiL0MIK6bDb7h4AaABAg,0,3 years ago,the view is beautiful. like my village,景色很美。像我的村庄
32063,Ugz0CxDZDQSwjR3y8j94AaABAg.8yV05YDvGFb8yVMerCgC71,0,3 years ago,"eclecticlove 

she is in a village in sichuan province. her city name “mian yang”, which is 20 minutes away from my own hometown.","折衷的

她在四川省的一个村庄。她的城市名称“ Mian Yang”，距离我自己的家乡20分钟路程。"
32375,UgxHrpF8FQeeEcny9RZ4AaABAg.8yUvWVoA0jA91_Znw6iBwF,0,3 years ago,"hi w v, old as i am, brought up in a village in south china, i watch too. miss li's videos are common human joy all over the world.",嗨，我也很老，在中国南部的一个村庄里长大，我也看着。李小姐的视频是全世界普遍的人类欢乐。
33279,UgyvmqenmklRY8UA46Z4AaABAg,0,3 years ago,when i watched ur videos especially these natural scenes and ur way in village really even my bad period that related by sickness of mom i feel happy really ur life in village is all happiness congrats for u,当我观看您的视频时，尤其是这些自然的场景和在村里的方式，即使我的糟糕时期，妈妈的病时，我感到很幸福，您在村里真的很幸福
33705,Ugyh-R5rP8bIiKpgxXl4AaABAg,0,3 years ago,everything is there in my house and my village nt new ...,一切都在我的房子里，我的村庄nt new ...
34459,UgyRQbPxVgYxiVxWGqJ4AaABAg,0,3 years ago,bamboo shoots are delicious and delicious... has a distinctive taste and texture ... this processed bamboo shoot dish is very popular in my village in java indonesia ...,竹芽美味可口...具有独特的味道和质地...这种加工的竹芽盘在我位于印度尼西亚爪哇的村庄里非常受欢迎...
34471,UgwTnbDtbENt0856UQt4AaABAg.8yUU3i6haze8yUv0wmNAbY,0,3 years ago,asa nju in his village .. the atmosphere is delicious,阿萨·恩（Asa nju）在他的村庄里..气氛很美味
28459,UgyIxOebbO9A2KK3pBp4AaABAg,0,3 years ago,li ziqi i love your videos so much! how does she have time to plant and tend to so many plants? does all the village help out? i need to know! i would be amazed to think she plants and harvests so much all herself,Li Ziqi我非常喜欢您的视频！她如何有时间种植和倾向于这么多植物？所有村庄都有帮助吗？我需要知道！我会惊讶地认为她的植物和收获了很多
28050,UgwWVjB8-qTikhTJ30t4AaABAg,0,3 years ago,russia is watching your video. i like it very much video you do! thanks to you! a dream of visiting your beautiful village.,俄国在看你的视频。 非常喜欢都视频你做！ 要感恩你！ 有一个梦想在你的美丽的村庄参观。
27287,UgzBXk3Pnl-Ih04zqOx4AaABAg,0,3 years ago,very beautiful your village,非常美丽的村庄
24591,UgwXDKwVeUaER3laa2V4AaABAg,0,3 years ago,"honestly, as a chinese girl, i didn't even know what bamboo looked like in its original form. kudos to her and everyone who lives in a village back in china/asia. my mom tells me stories of village life before she came to the us and i didn't really understand it until watching these videos!",老实说，作为一个中国女孩，我什至不知道竹子的原始形式是什么样的。对她和住在中国/亚洲一个村庄的每个人都表示敬意。我妈妈在来美国之前告诉我乡村生活的故事，直到观看这些视频，我才真正理解它！
23050,UgzOoipm657aZ1x5atd4AaABAg,0,3 years ago,"granny is healthy despite a fat diet. it's good, there is no time to get sick in the village.",奶奶尽管饮食饮食很健康。很好，没有时间在村里生病。
23118,UgyZCSkbar15ro0H_CJ4AaABAg,0,3 years ago,i know it because i have been living in country side/villages too....i'm your new fans from indonesia....love you....,我之所以知道，是因为我也一直住在乡村/村庄。
23586,UgxjVTWks4qWIb-qBYx4AaABAg,0,3 years ago,the girl needs to our grandmother in the village,这个女孩需要在村里的祖母
24053,Ugwp2IiO7IlKt-ft9UJ4AaABAg,0,3 years ago,so good... good soul... really great... u r cooking is so super... and also u r village...,太好了...好灵魂...真的很棒... U R烹饪是如此超级……还有U R Village ...
24133,Ugx7ShhID6IWEDI9oE54AaABAg,0,3 years ago,"want to live in a village like this. take care of nature, don't hurt nature",想住在这样的村庄。照顾自然，不要伤害大自然
24218,UgxPJlgWlGg8aZjWqUp4AaABAg,0,3 years ago,i don know ur language but i like it ur videos dr ur cooking very nice one day i stay to ur village,我不知道你的语言，但我喜欢你的视频，有一天我待在你的村庄
24560,UgzuNZsblWwTMQBI1zd4AaABAg,0,3 years ago,"i'm so happy watching this video because this video make memorable in my village, so thankyou",我很高兴观看此视频，因为这段视频在我的村庄里令人难忘，所以谢谢
17450,UgwdmzuYe1o0LHgZ9Ed4AaABAg,0,3 years ago,"this village aunt, i can",这个村姑，我可以
24727,Ugyh2HXs9gQaHZ-NlZB4AaABAg.8zFKBfHSBsR8zHjZzlkJnX,0,3 years ago,pat cd chinese village,PAT CD中国村庄
26498,UgysWkElvTcla6EuKnp4AaABAg,0,3 years ago,liziqi can i spent holidays in your village,liziqi我可以在你的村庄度假吗
24970,Ugy56jwsROQQiA1JTYd4AaABAg,0,3 years ago,"seeing your video reminds me of my life in the village when i was a kid. after i was sick, i missed this life more and more",看到你的视频让我想起了小时候在村子的生活，生病后我越发的怀念这种生活
25478,Ugzsp_RsjpE3FoufmiB4AaABAg,0,3 years ago,"in fact, everyone likes beautiful women and food. people who really live in modern life wait for this kind of village without mobile phone computers who can have been able to pass three days.",其实大家喜欢的是美女和美食，真正过惯现代生活的人待这种乡村没手机电脑谁能挨过三天
25484,UgzvlnOnTYHy6_6V_VZ4AaABAg,0,3 years ago,"everything is so beautiful...the foods , the house...the land. is she real village girl ? i'm in lovee",一切都是如此美丽...食物，房子...土地。她是真正的乡村女孩吗？我在爱情
25548,UgypuQ1oTn6Bx5uEpFp4AaABAg,0,3 years ago,love your village,爱你的村庄
25649,UgylvMwBkuVLA7aY89h4AaABAg,0,3 years ago,i tell you what you should do is put you a country stile restaurant in that village people will pay good money to eat your meals your cooking eglant food and the setting of that property the scenery would be worth price of emission,我告诉你你应该做的是让你在那个乡村的乡村阶梯餐厅，人们会花钱吃饭你的烹饪食物，而餐厅的环境值得
25714,Ugw_A0LlYO1qO4d6sph4AaABAg,0,3 years ago,she's no.1 village life blogger in china.,她是中国的第一乡村生活博客。
26176,UgxwMB1vvIL-45k4EgZ4AaABAg.8ytS9yXHSrk8yuAJisYcp2,0,3 years ago,she's now got help by 3 other crews. previously she filmed everything by herself and some help from villagers.,她现在得到了其他3名工作人员的帮助。以前，她独自拍摄了一切，并得到了村民的帮助。
26250,UgyYxcg0YE0VDoQ5SCF4AaABAg,0,3 years ago,"honestly, how do the boys in her village not feel the slightest bit intimidated it's no wonder we don't see any around cause they probably would be standing around hoping there was a hole in the ground so they could crawl into it and cry with their ego's deflated to the point of unrecognisable shame
i know i would find it very hard keeping up with her , cause this lass she certainly does everything diy, cooking, cleaning, making her own clothes... etc
the true definition of what girl power should be.","老实说，她村里的男孩们如何觉得丝毫受到恐吓自我的屈曲到无法识别的耻辱点
我知道我会很难跟上她，因为她肯定会做所有DIY，烹饪，清洁，做自己的衣服的一切……等等
女孩力量应该是什么的真实定义。"
17505,UgxI3WdcYSohHc3vtRN4AaABAg,0,3 years ago,beautiful village ☺️,美丽的村庄☺️
13139,UgysYTNfXLWxfj3ss1F4AaABAg,0,3 years ago,"its so fascinating that life of poor people in small villages in youtube its paradise
this means most of us is living in an abnormal world
they are living which suppose to be the normal one


i salute village people, few needs, few wants big appreciation 
love from philippines","它是如此的迷人，以至于YouTube小村庄的穷人的生活它的天堂
这意味着我们大多数人都生活在一个异常世界中
他们活着，应该是正常的


我向乡村人民致敬，很少需要，很少有人想要大赞赏
来自菲律宾的爱"
17369,UgxIcLEJe93FJ6e-W1Z4AaABAg,0,3 years ago,"there is a comment that her videos are not real rural villagers. just like the wedding dresses placed on the table on the table, the original daily icon oil, salt sauce vinegar tea may not be so beautiful.",有句评论很中肯，她的视频不是真的农村乡野生活，就跟夫妻摆在台面上的婚纱一样，夫妻原本的日常柴米油盐酱醋茶可能并不那么美好
7015,UgwgF0s5YBUadaXn0pR4AaABAg,0,2 years ago,"liziqi, where you village?",利兹奇，你在哪里？
5178,UgwnrKWFuvAmNWGe_LJ4AaABAg,0,2 years ago,watch bangladeshi village life:https://youtu.be/dfsga6bn_n8,观看孟加拉国乡村生活：https：//youtu.be/dfsga6bn_n8
5459,UgzMDr7nYlpsI652cIp4AaABAg,0,2 years ago,"as a city girl, now i pay attention to nature and rural lifestyle by watching your youtube. thanks and send love to you and your grandmother. bleak
being city girl, now i value nature and village โ€s life style by watching your you tube.","作为城市女孩，现在我通过观看您的Youtube来重视自然和乡村生活方式。感谢并向您和您的祖母发送爱意。 
Being city girl, now I value nature and village’s life style by watching your You Tube. Thanks and sending love to you and your grandma."
5577,Ugxxk1M0Td6r9MJGSpl4AaABAg,0,2 years ago,my name is sweety your living place iam like this my village name suryapet telagana state,我的名字叫甜蜜的您的住所，就像我的村庄名字Suryapet Telagana State
5711,UgweLioNOSpB1iYeAMN4AaABAg,0,2 years ago,"cool see the village, see my own village puanassss pol,+ talk of neighbors who are always spicy again: v",酷见村庄，见我自己的村庄puanassss pol，+谈论邻居总是很辣：V
5731,Ugx4FJrMWFTL0zLyGGp4AaABAg,0,2 years ago (edited),"the same simple life in the village, the way to cook is also exactly the same, gardening, then the cooking tools are exactly the same as the indonesian state. maybe because i used to be colonized by japan, there was an influence of similarity. i like it japanese โฅ ๏ธ โฅ ๏ธ",在村庄的生活方式相同，烹饪方式也完全相同，园艺，然后烹饪工具与印度尼西亚国家完全相同。也许是因为我曾经被日本殖民，所以有相似之处。我喜欢日本♥️♥️
5958,UgwDG6MK2bDBTWRUJ5Z4AaABAg,0,2 years ago,"very beautiful this village, safe and peaceful, frestery",这个村庄非常美丽，安全，和平，狂热
6440,UgwWnOncZPDmjUDJmM94AaABAg,0,2 years ago,there are many vegetables in our village,我们村里有很多蔬菜
6772,UgxJFtYWbxwrO7-oIY54AaABAg,0,2 years ago,"awesome, inspiring will try in my mini village ๐ค—",很棒的，鼓舞人心的人会在我的迷你村庄尝试
6992,UgzX7tnNa7XQ5tfaIhJ4AaABAg,0,2 years ago,lately i feel pressured with my work seeing this video i feel the serenity of remembering my hometown it feels like living in a village,最近，我的作品感到压力很大
7791,UgwTbRE5_3epDjWwA5V4AaABAg,0,2 years ago,"https://riyad-services.com/ house cleaning company in riyadh
village cleaning company in riyadh
water leak detection company in riyadh
pest control company in riyadh
gas cleaning and maintenance company in riyadh","https://riyad-services.com/利雅得的房屋清洁公司
利雅得的乡村清洁公司
利雅得的漏水检测公司
利雅得的害虫控制公司
利雅得的汽油清洁和维护公司"
9477,UgyPyL9QsqU5Chd24tB4AaABAg,0,2 years ago,remember in the village of the waist,记住腰部的村庄
8109,UgxjvWyoeLdE_Y4sCpB4AaABAg,0,2 years ago,"geez, it turns out that in china there is a purslane vegetable, in the village of aq sk, it is made to ointment ...",geez，事实证明，在中国有一种植物，在AQ SK村，它是用于软膏的...
8149,Ugwb6CfuLRT-EY-8Lbh4AaABAg,0,2 years ago,home e ombo is very cuk..kugik this man..the village ommbo ..,家e ombo非常cuk .. kugik这个男人..村庄。
8168,Ugz47-tgja5FLhFq98d4AaABAg,0,2 years ago,"new village style cooking recipe... please watch...
https://youtu.be/x1nafl71yw0","新的乡村风格烹饪食谱...请注意...
https://youtu.be/x1nafl71yw0"
8326,UgwummLtO8ZsOziBO-V4AaABAg,0,2 years ago,"you remind me of a village that makes my soul happy. a year ago, i moved from banggoai to jakarta, where i lived there for about two weeks. but everything is salty. unlike my village, everything i arrived there is terrible and boring. i don't want to return to the city.",您使我想起了一个使我的灵魂快乐的村庄。一年前，我从Banggoai搬到了雅加达，在那里住了大约两个星期。但是所有的东西都是咸的，不同于我的村庄，我到达那里的一切都是可怕而无聊的。我不想回到城市。
8542,UgzbVQSgcQ1LNde3lN14AaABAg,0,2 years ago,i miss my grandma village,我想念我奶奶村
8632,Ugwjni_Dsu_2sy1rEkx4AaABAg,0,2 years ago,wow the view is very good in the village ...,哇，村里的景色非常好...
8699,UgwyWev60O0SIJzZgpd4AaABAg.9B0gsfx5iJg9BN7cjbsygz,0,2 years ago,"i am also from quanzhou, but i did nโ€t expect to see the fellow villagers when i came out of the wall.",我也是泉州的，没想到翻墙出来还能见到老乡
8710,UgxpbpBOa7Eqs3mwZuF4AaABAg,0,2 years ago,very enjoyable living in a village that is still a virgin forest,住在仍然是处女森林的村庄里非常愉快
8921,UgzABFORpZHS-Yz5Ht54AaABAg,0,2 years ago,in my village this is called 'ose' (bamboo shoot.) cooking pork with this bamboo shoot is a real delicacy.,在我的村庄里，这被称为“ ose”（竹芽）。
4930,UgzbP4WjRm0kCeBeHAV4AaABAg,0,2 years ago,the village is very nice,村庄非常好
