,cid,votes,含garden,含garden中文翻译
40069,UgzpQdNP_aRK7aBSkV54AaABAg,0,she amazes me ! she knows how to do everything! i wish schools would teach our kids survival skills ! we all depend on many other like her to do all the things we need! i know if i had my own house with a garden i could do so many things! all want is a small garden to plant herbs so far! i dont even have that!,她惊讶我！她知道如何做一切！我希望学校能教我们的孩子的生存能力！我们都依靠许多其他像她一样做我们需要的所有事情！我知道如果我有自己的房子和花园，我可以做很多事情！所有想要的都是一个小花园来种植草药！我什至没有那个！
40047,Ugy_SeVqC50gDO9iE794AaABAg,0,"the spicy boys and gardens are likely to go to the mat, no one",辛辣的男孩和花园可能会去垫子，没有人
38986,Ugzcubjg5vEt-ZjlTt54AaABAg,0,i wish she had a beautiful garden,我希望她有一个美丽的花园
38839,UgwUpm9P-adPU4aTPkJ4AaABAg,0,iโ€m in ah moment iโ€m always left speechless how does she know how to do all of that where and when did she gathered all that knowledge? not gonna lie wished i a peace of land so could grow a garden along with bamboo that furniture made from bamboo was amazing. saw it yesterday well do saying iโ€m speechless i sure did said to much ๐,我在啊，我总是无语，她怎么知道如何完成所有这些知识？不会撒谎，希望我的土地平静，所以可以和竹子一起种植花园，用竹子制成的家具很棒。昨天看到了，说我无言以对，我肯定对
37413,UgxitGSzrxqvzrwjQ6t4AaABAg,0,"https://www.youtube.com/watch?v=tcv7lvapzdi&feature=share
please visit your home vegetable garden in vietnam and support your channel. thank you m.n","https://www.youtube.com/watch?v=tcv7lvapzdi&feature=share
请访问您的越南家庭菜园，并支持您的频道。谢谢你"
37170,UgybvoT7T5o8DTELkOV4AaABAg,0,eve in godโ€s garden,夏娃在上帝的花园里
36397,UgzUQQqtvOQVu8LBphp4AaABAg,0,her food looks like a cover of a better home and gardens magazine.,她的食物看起来像是一本更好的家庭和花园杂志的封面。
36244,Ugw3qr-9--BZV3PyiBJ4AaABAg.8uWwTpNqXib988VxN4UkEf,0,rajnish thapliyal i am more jealous of her big garden. she did give a tour of it on an interview. she grows almost everything!,Rajnish Thapliyal，我更嫉妒她的大花园。她确实在采访中参观了它。她几乎长大了！
35209,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-9AKvx1DORXT,0,you can learn too....start by having s garden then progress from there....these things she didnt learn in 1 day...its yrs of knowledge that is required...and remember she does this everyday of her life. i'm sure you are good at things too. but if you want to make a change start now. no one is stopping you but yourself.,您也可以学习....从拥有S Garden然后从那里进步。...她在1天内没有学到的这些东西...这是所需的知识...并记住她每天都这样做生活。我确定你也很擅长。但是，如果您想立即开始更改。没有人会阻止你，而是你自己。
35118,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-9-2JTYQoonh,0,start gardening.,开始园艺。
34985,UgzPa9jH0nFHOPcEaV54AaABAg,0,what a beautiful place you live in...home and garden. love the lambs following her.,您住在……家园和花园里的美丽地方。爱她的羔羊。
30338,Ugy9lkIF3-XLlc1YHJR4AaABAg,0,your cooking style is very nice please see your home garden,您的烹饪风格非常好，请参观您的家庭花园
25296,UgzHHxCqHR6hvdAGZ6N4AaABAg,0,every time i see your videos you make me wish i had your garden.its so beautiful.โค๏ธ๐งก๐’๐’๐’๐’๐ฆ๐ป๐๐ฅฐ,每当我看到您的视频时，您都会让我希望我有您的花园。
30181,UgylMNewuTghbAVGcud4AaABAg,0,this woman lives in the garden of eden hahahah! she has everything ....everything she needs to eat.she doesn't need money at all.everything is around her lol! my eyes are rolling like a flashflood looking at her picking at anything she needs hahaha,这个女人住在伊甸园的花园里！她拥有一切……她需要吃的一切。她根本不需要钱。一切都在她的大声笑！我的眼睛像闪水一样滚动，看着她挑选她需要的任何东西哈哈哈
18080,UgySfa0ZyR0wS0yI7X54AaABAg,0,beautiful garden,美丽的花园
17241,UgxTttH8_DhF7EexGr14AaABAg,0,"li ziqi was born 6 july 1990. she is a chinese food and country-life blogger, entrepreneur, and internet celebrity. she is known for creating food and handicraft preparation videos in her hometown of rural pingwu, mianyang, sichuan, often from basic ingredients and tools using traditional chinese techniques. 
li lives with her grandmother, who occasionally appears in videos, in the countryside of mianyang in southwest china's sichuan. as a young adult, she lived in the city, working various jobs such as a waitress, a music dj, and a singer. when her grandfather died, she moved back to take care of her grandmother. initially doing all photography and editing by herself, as she gained popularity and experience, her recent online videos are produced using a personal assistant and a videographer.

li started posting her videos on meipai in 2015. as of 2020, she has over 9 million subscribers on youtube, over 22 million followers on sina weibo, over 3 million followers on facebook, and has inspired many bloggers to post similar content.

she was awarded the people's choice award by the people's daily newspaper in september 2019. cctv praised her and stated ""without a word commending china, li promotes chinese culture in a good way and tells a good china story"".

❤i was born in sri lanka and five years ago i migrated to australia. after very challenging years, i could buy my very first home last month, on the beautiful sunshine coast. now i can see a new cdb from my home and i have very limited space. however, i really want to be a minimalist and have a sustainable life.

i came across li's videos when i am trying to find videos of sustainable gardens. thank you very much, li for the inspiration ❤❤ ❤❤❤ ❤

i studied so many of her videos in the last couple of days. i could learn a lot from her. even though i was not very active in my channel last few months i will make new style videos using my sri lankan cultural background and my urben but sustainable life. i will make some videos about urben gardening, traditional sri lankan cooking and i will share how i saved for my first home. at the moment most of my videos in english but soon i will do the videos from englis

❤if you guys have any ideas to improve my channel please let me know. 
https://www.youtube.com/watch?v=mo8egbwhscc&t=64s","李Ziqi出生于1990年7月6日。她以在她的家乡Pingwu，Mianyang，Sichuan的乡村制作食物和手工艺品准备视频而闻名，通常是使用传统的中国技术的基本成分和工具。
李与她的祖母一起生活，祖母偶尔出现在中国西南四川山的乡村中。作为一个年轻的成年人，她住在这座城市，从事各种工作，例如女服务员，音乐DJ和歌手。当她的祖父去世时，她回去照顾祖母。最初，随着她的流行和经验，她的最新在线视频是用个人助理和摄像师制作的。

李从2015年开始在Meipai上发布她的视频。截至2020年，她在YouTube上拥有超过900万订阅者，在Sina Weibo上有超过2200万关注者，在Facebook上有超过300万关注者，并激发了许多博客作者发布类似内容。

她在2019年9月获得了《人民日报》的《人民选择奖》。CCTV称赞她，并表示：“李没有一个单词来宣传中国文化，并讲述了一个好的中国故事”。

我出生于斯里兰卡，五年前我移民到澳大利亚。经过非常挑战的岁月，我可以上个月在美丽的阳光海岸购买我的第一个房屋。现在，我可以从家里看到一个新的CDB，并且空间非常有限。但是，我真的很想成为极简主义者并拥有可持续的生活。

当我试图找到可持续花园的视频时，我遇到了李的视频。非常感谢您，李的灵感❤❤❤❤❤❤

在过去的几天里，我研究了她的许多视频。我可以从她那里学到很多东西。即使最近几个月我在频道上并不活跃，我还是会使用我的斯里兰卡文化背景和我的乌尔本，但可持续的生活来制作新的风格视频。我将制作一些有关Urben园艺，传统的斯里兰卡烹饪的视频，我将分享我为自己的第一个家节省的方式。目前，我的大多数英文视频

❤如果你们有任何改善我的频道的想法，请告诉我。
https://www.youtube.com/watch?v=mo8egbwhscc&t=64S"
17240,UgyQCfSHkZrhi_53ApR4AaABAg,0,"li ziqi was born 6 july 1990. she is a chinese food and country-life blogger, entrepreneur, and internet celebrity. she is known for creating food and handicraft preparation videos in her hometown of rural pingwu, mianyang, sichuan, often from basic ingredients and tools using traditional chinese techniques. 
li lives with her grandmother, who occasionally appears in videos, in the countryside of mianyang in southwest china's sichuan. as a young adult, she lived in the city, working various jobs such as a waitress, a music dj, and a singer. when her grandfather died, she moved back to take care of her grandmother. initially doing all photography and editing by herself, as she gained popularity and experience, her recent online videos are produced using a personal assistant and a videographer. 

li started posting her videos on meipai in 2015. as of 2020, she has over 9 million subscribers on youtube, over 22 million followers on sina weibo, over 3 million followers on facebook, and has inspired many bloggers to post similar content. 

she was awarded the people's choice award by the people's daily newspaper in september 2019. cctv praised her and stated ""without a word commending china, li promotes chinese culture in a good way and tells a good china story"". 

❤i was born in sri lanka and five years ago i migrated to australia. after very challenging years, i could buy my very first home last month, on the beautiful sunshine coast. now i can see a new cdb from my home and i have very limited space. however, i really want to be a minimalist and have a sustainable life. 

i came across li's videos when i am trying to find videos of sustainable gardens. thank you very much, li for the inspiration ❤❤ ❤❤❤ ❤ 

i studied so many of her videos in the last couple of days. i could learn a lot from her. even though i was not very active in my channel last few months i will make new style videos using my sri lankan cultural background and my urben but sustainable life. i will make some videos about urben gardening, traditional sri lankan cooking and i will share how i saved for my first home. at the moment most of my videos in english but soon i will do the videos from englis 

❤if you guys have any ideas to improve my channel please let me know. 
https://www.youtube.com/watch?v=mo8egbwhscc&t=64s","李Ziqi出生于1990年7月6日。她以在她的家乡Pingwu，Mianyang，Sichuan的乡村制作食物和手工艺品准备视频而闻名，通常是使用传统的中国技术的基本成分和工具。
李与她的祖母一起生活，祖母偶尔出现在中国西南四川山的乡村中。作为一个年轻的成年人，她住在这座城市，从事各种工作，例如女服务员，音乐DJ和歌手。当她的祖父去世时，她回去照顾祖母。最初，随着她的流行和经验，她的最新在线视频是用个人助理和摄像师制作的。

李从2015年开始在Meipai上发布她的视频。截至2020年，她在YouTube上拥有超过900万订阅者，在Sina Weibo上有超过2200万关注者，在Facebook上有超过300万关注者，并激发了许多博客作者发布类似内容。

她在2019年9月获得了《人民日报》的《人民选择奖》。CCTV称赞她，并表示：“李没有一个单词来宣传中国文化，并讲述了一个好的中国故事”。

我出生于斯里兰卡，五年前我移民到澳大利亚。经过非常挑战的岁月，我可以上个月在美丽的阳光海岸购买我的第一个房屋。现在，我可以从家里看到一个新的CDB，并且空间非常有限。但是，我真的很想成为极简主义者并拥有可持续的生活。

当我试图找到可持续花园的视频时，我遇到了李的视频。非常感谢您，李的灵感❤❤❤❤❤❤

在过去的几天里，我研究了她的许多视频。我可以从她那里学到很多东西。即使最近几个月我在频道上并不活跃，我还是会使用我的斯里兰卡文化背景和我的乌尔本，但可持续的生活来制作新的风格视频。我将制作一些有关Urben园艺，传统的斯里兰卡烹饪的视频，我将分享我为自己的第一个家节省的方式。目前，我的大多数英文视频

❤如果你们有任何改善我的频道的想法，请告诉我。
https://www.youtube.com/watch?v=mo8egbwhscc&t=64S"
17018,Ugz5wBF1j8ul5g2I9vF4AaABAg,0,i want to visit her garden.,我想去她的花园。
16785,Ugz7hd2XBr7eK4NcUTV4AaABAg,0,"realy i appreciate you what a garden beauty its so nice 
thn spicy food wow i really like youu","真的，我感谢您多么美好的花园美女
我真的很喜欢你"
16605,Ugx_T2cJ3T9NhXJKefZ4AaABAg,0,this is probably the garden in the clouds .. so wonderful,这可能是云中的花园..太好了
15508,Ugxk2LAm3th7llmen1F4AaABAg.99WYoclmxVE99WtIzerT9d,0,"awesome, she seems can do anything by her self , from cooking, gardening, farming, raising animal, makes handcraft, even editing video can be done by her self too. such a talented woman",太棒了，她似乎可以自己做任何事情，从烹饪，园艺，耕种，养育动物，制作手工艺，甚至编辑视频也可以由自己完成。如此才华横溢的女人
15494,UgwHbsPluGHGClZXt4p4AaABAg,0,planting my own little garden and watching your video are the only ways to make me feel inner peace during the pandemic and riots. thank you for those great videos. every shot is so delicately and beautifully made yet you live such a peaceful and natural life.,种植我自己的小花园和观看视频是使我在大流行期间感到内心和平的唯一方法。谢谢您的精彩视频。每次镜头都是如此精美，精美，但您过着如此宁静而自然的生活。
15429,Ugxks_G15JjYM4Lywal4AaABAg,0,"one of your fan since i watched your video about living inside the nature and things how to made food out your garden,how to prepare the combination very creative and so amazing and fun to watched...so healthy food every meal you prepared and i noticed how much you love your grandma...",自从我观看了您的视频以来，您的一位粉丝是生活在大自然中的视频以及如何使您的花园里食物的事物，如何准备组合非常有创造力，令人惊奇和有趣的观看...如此健康注意到你有多爱奶奶...
14642,Ugw662B2vV1wpVlTcup4AaABAg,0,"i like your video somuch
and your house and garden all","我喜欢你的视频
还有你的房子和花园"
14187,UgyzT_26Ds5H-I28hAl4AaABAg,0,"i have smaller gardens like that in my village, but i'm too lazy to make planting , so i guess this kind of lifestyle only suit for industrious and smart people…not for lazy girl like me…sad",我在村里有这样的较小的花园，但是我懒得种植，所以我想这种生活方式只适合勤奋和聪明的人……不适合像我这样的懒惰女孩……悲伤
13618,UgwPDwbCdDzUYLmVe9N4AaABAg,0,i want a food garden like u...with loads n loads of all all food,我想要一个像你这样的食品花园...所有食物的负载n
12989,UgxEwKJ50uXCNIpvC654AaABAg,0,wow nice garden.and amazing recipe's. grandma really very lucky.sister god bless you abundantly. love you sister from india,哇，不错的花园和惊人的食谱。奶奶真的很幸运。上帝上帝祝福你。爱你来自印度的妹妹
11861,Ugxr33pWVmr-urPzlbh4AaABAg,0,pls make a video on your garden tour,请在您的花园之旅中制作视频
11647,UgxkNzxX10w0r321aIB4AaABAg,0,"https://youtu.be/zvun3hegucs
my kitchen garden
cook with me","https://youtu.be/zvun3hegucs
我的厨房花园
和我一起做饭"
11528,UgxJCc74Z2ZxNBoZtDN4AaABAg,0,liqki u are such an inspiration for me...i really want to be in nature's shade ....direct me for an excellent gardening skills...plzz rply,liqki u对我来说是一个灵感...我真的很想成为大自然的阴影。
10944,Ugz-KGlOBFOCBRhJ1T94AaABAg,0,she lives in the garden of eden,她住在伊甸园
9905,UgzbQOeWfF5fI_G2gGR4AaABAg,0,really like. huge garden has all kinds and residues are a very skillful person ❤️,很喜欢。巨大的花园有各种各样的东西，残留物是一个非常熟练的人❤️
9641,UgwiUKs9CznPh4uh4AJ4AaABAg.9H1aNavRHpS9IlRsBAEExZ,0,"@deepakjoshi664 dogs can’t, he’s a garden dog, who looks after the home",@deepakjoshi664狗不能，他是一只花园狗，照顾家里
9538,UgymNsdYxi_4_o4hTtR4AaABAg,0,"coronavirus and announcing the miracle of healing without vaccine nor medicine.. 09 - 12 - 2020 / 09:01 am

in the name of allah the all merciful, the most merciful.
from allah’s servant and his khalifa nasser mohammad to the people altogether: o people, i am the imam mahdi nasser mohammad, i am not only khalifa of allah over yemen; in fact, allah’s khalifa over the whole world. indeed, by allah there is no difference to me between a yemeni and chinese.

o community of human leaders and decision makers among their people, and to all who reached their maturity among the humans; the arabs and non arabs, musilm and disbeliever, listen and rationalize what we will give you a fatwa with truth by the decisive word and it is not a jock: i swear by allah the one, the subduer, i do not know of a vaccine and healing to you for what is in the chests from allah’s chastisement until you beseech with this supplication without arrogance against allah’s khalifa al-mahdi nasser mohammad, and the words of chastisement removal of what in the chests are; is that you humble yourselves to allah and implore to allah by the following:

“our lord, we have wronged ourselves, if you do not forgive us and (not) have mercy on us we certainly would be of the losers”. and after repenting they should say: “oh allah, i am your servant, i ask you by the fact there is no god except you, and by the fact of your mercy that you ordained upon yourself, and by the fact of greatness of the bliss of yourself’s good-pleasure that is greater than the bliss of your heavenly-garden that you heal me from the chastisement of corona or remove it away from me surely i believe in the true caller from you. oh allah, remove your chastisement away from us and from every entrance so we would follow the path of truth from you, and to make us steadfast on fulfilling what we promised you — o who comes between man and his heart, surely we do not have except your mercy that you ordained upon yourself. indeed, if you do not forgive us and (not) have mercy on us we would surely be of the losers. oh our allah, you have said in your decisive book: {and your lord says: pray to me, i will answer you.}truthful allah the great [ghãfer] 40:60. supplication-prayer and turning (close to allah) is from me while responding is from you. indeed, you never violate your promise. our lord, glory be to you, surely your promise is ever true and you are the most merciful than all who have mercy. o our allah, make us steadfast upon fulfilling what we promised you to follow allah’s global caller khalifa of allah in the land; the imam mahdi nasser mohammad al-yemeni. o our allah, make sending him as favor upon us and not affliction against us because of our turn away from the true call of the imam mahdi nasser mohammad al-yemeni”.
{ وَقَالَ رَبُّكُمُ ادْعُونِي أَسْتَجِبْ لَكُمْ } صدق الله العظيم [غافر: من الآية ٦٠]
___________","冠状病毒并宣布没有疫苗和药物的治愈的奇迹。09-12-2020 / 09：01 AM

以真主的名义仁慈，最仁慈。
从真主的仆人和他的哈利法·纳赛尔·穆罕默德（Khalifa Nasser Mohammad）到人民：哦，我是伊玛目·马赫迪·纳赛尔·穆罕默德（Imam Mahdi Nasser Mohammad），我不仅是也门的真主的哈利法（Khalifa）；实际上，阿拉在全世界的哈利法。确实，阿拉对也门和中国人没有区别。

o人民中的人类领导人和决策者社区，以及所有在人类中成熟的人；阿拉伯人和非阿拉伯人，肌肉和不信任者，倾听和合理化我们将通过决定性的词给您的真理，这不是一个乔克：我对阿拉发誓，一个人，分子，我不知道疫苗并为您康复，以恢复真主的贞操，直到您恳求这种恳求，而不受对真主的哈利法（Khalifa al-Mahdi Nasser Mohammad）的傲慢，而审视胸口的审判措施的话是；是您谦卑自己对真主，并通过以下方式恳求真主：

“我们的主，我们委屈自己，如果您不原谅我们并且（不怜悯我们，我们肯定会成为失败者”。在悔改之后，他们应该说：“哦，真主，我是你的仆人，我问你，除了你外，没有上帝，以及你对自己的怜悯和事实的事实，以及伟大的事实您自己的好愉悦的幸福，它比您的天气园林的幸福更大，您可以从Corona的责备中治愈我，或者将其从我身上删除，肯定是我相信您的真正来电者。哦，真主，将您的罪恶从我们身上删除，从我们的每个入口中移开，这样我们就会遵循您的真理道路，使我们坚定地满足我们的答复 - o在人与他的心之间，我们当然没有除了您命令自己的怜悯。的确，如果您不原谅我们，并且（不）怜悯我们，我们肯定是失败者的。哦，我们的真主，您在决定性的书中说过：{您的主说：向我祈祷，我会回答您。}真实的真主[Ghãfer] 40:60。恳求者和转弯（靠近真主）来自我，而回应是您的。确实，您永远不会违反诺言。我们的主，荣耀归于您，您的诺言肯定是真实的，而您比所有怜悯的人都是最仁慈的。哦，我们的真主，让我们坚定地履行我们答应您在土地上跟随真主的阿拉的全球呼叫者哈利法（Khalifa）； Imam Mahdi Nasser Mohammad Al-Yemeni。哦，我们的真主，让他对我们的青睐，而不是对我们的痛苦，因为我们远离了Imam Mahdi Nasser Mohammad Al-Yemeni的真实呼吁。”
{{＃أُ ُأأأأأأجِ}ص}صolif [غ°غغغف已：它们小
___________"
7253,UgzXvJYzOsXlv9112hh4AaABAg,0,what a nice gardenjust beautiful,多么漂亮的园艺美女
6827,Ugy6AAwhSbXg26dqcwt4AaABAg,0,"all day cooking, gardening. thinking if i can not while cooking a lot of gardening, clean the house from front to back, wash clothes etc.
finished everything then take a shower, eeee out the bathroom is messy again","整天烹饪，园艺。想着我在烹饪大量园艺时不能，从前到后面清洁房屋，洗衣服等。
完成了一切，然后洗个澡，浴室又凌乱了"
6710,UgxJQKdY1vF9A9NB7qV4AaABAg,0,"i honestly love watching her utubes..
everything is from the garden..
it's best n taste good wen it's from ur own garden patch.","老实说，我喜欢看她的Utubes ..
一切都来自花园。
最好的n口味很好，是您自己的花园补丁。"
4036,Ugzo9CS1sJvACWNPlMB4AaABAg,0,i still love yr video garden and cooking,我仍然喜欢你的视频花园和烹饪
2154,UgyBVMnnf_-yX0G7Z2N4AaABAg,0,"i love there r no cockroaches, rats or even ants in ziqi’s house, even no snakes in her garden",我喜欢Ziqi家中没有蟑螂，老鼠甚至蚂蚁，甚至在她的花园里也没有蛇
1759,Ugxyqaw3Nv6vRDu44GZ4AaABAg,0,"liziqi is my favourite most girl my inspiration,. whenever i got tired i go to liziqi channel for meditation.... i also want to become like her want to grow a garden like her",liziqi是我最喜欢的女孩，我的灵感。每当我疲倦时，我都会去Liziqi频道进行冥想。...我也想成为她想像她一样的花园
17355,UgzrCeSGhC5SkfNr1dR4AaABAg,0,"for anyone who wants to have a tour around her garden, here it is: https://www.youtube.com/watch?v=yvggquw0g7w , also some insight on how she makes her videos.",对于想要在她的花园周围游览的任何人，这里是：https：//www.youtube.com/watch?v=yvgggququw0g7w，也有一些关于她如何制作视频的见解。
18546,Ugztws7pCgXZbC9CPDR4AaABAg,0,"there really is a right house ""like a fruit and vegetable garden",确实有一个正确的房子“像水果和菜园
29143,UgxUylDO7AGuYhNDTSZ4AaABAg,0,original 1 garden of vegetables and fruits like that feel peaceful when watching this girl's clip,原始的1种蔬菜和水果花园看着这个女孩的剪辑时会感到宁静
18695,UgziY5JEuW_yAjWVyD14AaABAg,0,"please do your house tour,garden tour",请进行房屋之旅，花园之旅
28759,UgwlkKW5bB_T5bHGN2V4AaABAg,0,her garden is like eden garden,她的花园就像伊甸园
28535,UgwCkSL_6_uh3fqVu0V4AaABAg,0,it looks like there is a garden,看起来有一个花园
28330,Ugwu174qXSYrUYCvhjR4AaABAg,0,dreams later have such a garden,梦后有这样的花园
28312,UgxnQ4kQujGmftq1fOp4AaABAg,0,"please keep doing what you do it brings back so many memories of my past as a young girl, the gathering of chestnuts and vegetables in our garden! your beautiful and you are blessed to be able to live your life! ๐’",请继续做您所做的事情，这使我过去的年轻女孩回想起了很多回忆，在我们的花园里聚集了栗子和蔬菜！您的美丽，您很幸运能够过自己的生活！
27162,UgysWq_zNOOcoIi-3Cl4AaABAg,0,man i wish i could live there. the food looks good but that garden is magical,我希望我能住在那儿。食物看起来不错，但是那个花园很神奇
27152,Ugy_ahs4wqqDriMYyLl4AaABAg,0,"cinderella. how much work is it necessary to create such a garden and garden, a beautiful and hardworking woman โฅ",灰姑娘。创建这样的花园和花园，一个美丽而勤奋的女人需要多少工作♥
25964,UgwxwBC9ckkGBzF-IPZ4AaABAg,0,"first of all she is naturally beautiful. she has a lot of skills. she is strong too lol she can carry heavy loads of fruits. she has two assistants yes but she directs most of her videos. i just love how she can just cook anything or do anything like make her dye her dress, embroided clothing or pillowcases. and how she handles things with care. people in her town said she is a very hardworking person. intelligent and has talent. she is just amazing. makes me wanna plant and make a beautiful garden. she inspires millions of people around the world. she is a real life amazing princess.",首先，她天生美丽。她有很多技能。她太坚强了，大声笑她可以携带大量的水果。她有两个助手是，但她指导了大多数视频。我只是喜欢她如何做任何东西或做任何事情，例如使她的衣服，绣花衣或枕套染色。以及她如何小心处理事情。她镇上的人说她是一个非常勤奋的人。聪明并且有才华。她真是太神奇了。让我想种植一个美丽的花园。她激发了世界各地数百万的人。她是一个现实生活中令人惊叹的公主。
25831,UgxdkiyW03s43QVcQBl4AaABAg,0,"if there was a green forest or garden in saudi arabia and the atmosphere is ready to go out, we would have to work like this, but the temperature in saudi arabia is 50 degrees celsius and desert ๐๐",如果沙特阿拉伯有一个绿色的森林或花园，并且大气已经准备就绪，我们将不得不这样工作，但是沙特阿拉伯的温度为50摄氏度和沙漠
25471,UgzfQMnai4bksJOGccF4AaABAg,0,nhini the garden of trees that love,恩尼（Nhini）的树木花园
270,UgwwDYkcfbdr_R6rQFV4AaABAg.9oididmI_Wt9qpKI_36eyW,0,https://youtube.com/@bgarden110,https://youtube.com/@bgarden110
25010,Ugw9uqxmJydPPxZltOp4AaABAg,0,i like your all videos........ and your garden super...... really,我喜欢你的所有视频........和你的花园超级......真的
24655,UgzBfL2XVeK7AXs-cMx4AaABAg,0,really wishing such a house and garden. thanh dam is peaceful. love you so much,真的希望这样的房子和花园。 thanh大坝是和平的。那么爱你
24353,UgyQAMmANW_77J2u1xt4AaABAg.91AgDmPxghl92eIotlF55M,0,"this garden is in southwest china๏ผthere lives liziqi, bamboo and giant panda, welcome๐",这个花园在中国西南部，在那里生活，竹子和巨大的熊猫，欢迎
23904,Ugy3SDVbRoQ6kPrcbO94AaABAg,0,"for all those people complaining in the comments that theyโ€ll never live a life like hers-whatโ€s stopping you? donโ€t say money, because she didnโ€t exactly start out with much, or any close family members to help out apart from her grandma, who canโ€t really do much of the heavy labour. donโ€t say location either-even if you only own a small flat or town house you can always find room for a small chilli pot plant or herb garden. donโ€t say you lack the skills-ziqi missed out on a large proportion of school to help out with family-it is never too late to start learning, and none of the things she does are unachievable (after all, plenty other chinese farmers, and farmers across the globe probably work in very similar fashion, perhaps just less aesthetically pleasing as ziqi makes it seem bless). if you want a life like hers, stop complaining that youโ€ll never be like her when the ability to do so is freely available to you. laziness is not an excuse on this world which we can only stay on for a temporary amount of time. talking never got anyone anywhere-itโ€s actually following through on what you say that matters.",对于所有这些人在评论中抱怨自己永远不会像她那样过的生活的人 - 什么阻止了您？不要说钱，因为她并没有完全从事太多或任何亲密的家庭成员来帮助她的祖母，他们实际上无法做很多沉重的劳动。不要说位置，即使您只有一个小型公寓或联排别墅，也总是可以为小辣椒锅或草药花园找到空间。不要说您缺乏Ziqi的技能 - 在很大一部分的学校里都缺席来帮助家庭 - 它永远不会太晚开始学习，而她所做的事情都不是无法实现的（毕竟，其他很多中国农民，全球的农民可能以非常相似的方式工作，也许就像Ziqi所说的那样，在美学上令人愉悦。如果您想要像她这样的生活，请停止抱怨，当您可以自由使用时，您将永远不会像她一样。懒惰不是这个世界上的借口，我们只能暂时待一段时间。说话从来没有让任何人在任何地方都可以遵循您所说的重要内容。
22777,Ugzv-jTRQ7Y7rNtRYMV4AaABAg,0,"for this i described paradise as gardens ๐ธ๐’•
oh god, make me from the people of paradise","为此，我将天堂描述为花园
哦，天哪，让我来自天堂的人民"
21719,UgyrFiyuwsznIYiW_kp4AaABAg,0,i really wana see a house/garden tour so bad everything is so pretty โค,我真的想看到房屋/花园之旅，所以一切都太漂亮了❤
21179,Ugy_Qp5TO1IJQNwt83p4AaABAg.93vTdKISQln94X69jILrSp,0,sunflower seeds - https://sea.banggood.com/egrow-30pcspack-giant-sunflower-seeds-home-garden-planting-ornamental-plants-p-1275296.html,向日葵种子-https：//sea.banggood.com/egrow-30pcpack-giant-sunflower-seeds-home-garden-planten-planting-namamental-plants-p-p-1275296.html
20293,UgxW0XrlPfWeljhjLdl4AaABAg,0,"come on people!!! this is staging for the video. i was born and raised in vietnam and i witnessed all of the hard work and it is not look like in her video. her video is a fairy tale life. do you think just happened to have mango tree, chest nut tree, apple tree, yam in the ground, pepper in the garden , corn in the field etc. for you to pick them no you have to work so harddddd. for it. i watch her video and it took about 3 to 4 hour to prepare for breakfast or dinner. where she could find time to work in the field?? to those who is living in us please appreciated your life is here. this kind of video is fun to watch and it cannot be a reality life.",来吧人！！！这是视频的演出。我在越南出生和长大，目睹了所有辛勤工作，但在她的视频中看起来并不像。她的视频是童话生活。您是否认为碰巧有芒果树，胸坚果树，苹果树，地面上的山药，花园里的胡椒粉，田野中的玉米等。要让您挑选它们，您必须这样做那么硬。为了它。我看了她的视频，大约花了3到4个小时的时间准备早餐或晚餐。她可以在哪里找到时间在田野上工作？对于那些生活在我们里面的人，请感谢您的生活。观看这种视频很有趣，这不可能是现实生活。
19988,UgyipU6pMxq6FF9Rjvd4AaABAg,0,"if i have a garden, i don't feel at home at home: v",如果我有一个花园，我就不会在家中感到宾至如归：V
19575,UgzzK6LLFQcE9gIHPVF4AaABAg,0,the garden looks so mesmerizing: 3,花园看起来很着迷：3
19241,UgwoBenzBfzUCEM5EFR4AaABAg,0,"very beautiful to see the way to get the fruit is so easy to cook it so well, may god bless his garden business amen",看到得到水果的方式非常漂亮，很容易做饭，愿上帝保佑他的花园业务阿们
19238,UgwbA1Ebq7gA1t_O9md4AaABAg,0,"i'm really loved your vdo, made all calm down and learning how to survive with all stuff around you. and i do like to grow herb, vegetables and build all things byself around our house and in the garden too, love closed with the nature. #fc thai living in netherland.",我真的很喜欢您的VDO，使所有人平静下来，学习如何与周围的所有东西一起生存。而且我确实喜欢种植草药，蔬菜，并在我们的房子和花园里也用自己建造万物，爱与大自然结束了。 #FC泰国居住在荷兰。
19050,UgyUvOyOo_MY2ntappp4AaABAg.96IH-CYsHlY978-YElAWrU,0,"ziqi has inspired me in the same way, so i'm starting small with gardening. good luck!",Ziqi以同样的方式启发了我，所以我从园艺开始很小。祝你好运！
19035,UgxOh5C9P3KwrRaJRFZ4AaABAg,0,i want this beautiful garden so bad,我想要这个美丽的花园太糟糕了
18889,UgwECP07wJwozCCvvq14AaABAg.96Rs9EcqtEg96YKRYQGscX,0,"i think maybe because her grandmother has been living in there for so long that's why she has most of things settle on like u can see she can pick the fruits on her garden, vegetables, etc. it's not something that u can do one night. you have to build it from small.",我想也许是因为她的祖母已经住了很长时间了，这就是为什么她能像看到她可以在花园，蔬菜等上挑选水果的原因。您必须从小构建它。
