,cid,votes,time,含garden,含garden中文翻译
17218,Ugwg82kUQipIpmMTD094AaABAg,1,3 years ago (edited),"i really like watching this video like this ... i think enal just wants to cook anything, just pick it in the garden ... so i want to garden",我真的很喜欢这样观看这样的视频...我认为Enal只是想烹饪任何东西，只是在花园里挑选它...所以我想花园
18381,UgyMqb7NW4U_JHkGVIp4AaABAg,1,3 years ago,"come back, the countryside will wuhu not return? not only for self -service, 心 而 而? enlightenment has been unhappy, and the person who knows can be chased. it is not far away, but i feel today and yesterday. zhou was far away with light, the wind fluttered and blowing clothes. ask the husband's road before, hating the morning light.
nai zhan hengyu, zai xinzai runs. children are welcomed, and the child is waiting for the door. three paths are deserted, and pine chrysanthemums still exist. enter the room with the young, there is a wine profit bottle. the leddy pot is used for self -discretion. leaning to the south window to make pride and tolerate the yi'an of the knee. the garden day is involved in fun, although the door is set and it is often closed. cereate the elderly to rest, and look at it from time to time. yun qinxin was in order to come out, and the birds were tired of flying. jing yan entered, stroking gu gan and pushed up.
come back, please make a trip. the world violates me, and repeats the words? the love of the relatives, le qin shu to eliminate worry. the farmers sued yu yichun, and there would be something in xichou. or a napkin car, or lonely boat. both are looking for gangsters, but also rugged and passing the hills. mu xinxin started flowing with glory, quanjuan. when the good things are good, feel the rest of my life.
already! what time does it take? ？？ 留 曷 任 任? what is hu wei? rich and wealthy is not my wish, emperor hometown is not available. huai liangchen was lonely, or he was soaring. ascending the east with shu xiao, lin qingliu and poetry. talking to the ride to return, lefu's destiny is doubtful!","归去来兮，田园将芜胡不归？既自以心为形役，奚惆怅而独悲？悟已往之不谏，知来者之可追。实迷途其未远，觉今是而昨非。舟遥遥以轻飏，风飘飘而吹衣。问征夫以前路，恨晨光之熹微。
乃瞻衡宇，载欣载奔。童仆欢迎，稚子候门。三径就荒，松菊犹存。携幼入室，有酒盈樽。引壶觞以自酌，眄庭柯以怡颜。倚南窗以寄傲，审容膝之易安。园日涉以成趣，门虽设而常关。策扶老以流憩，时矫首而遐观。云无心以出岫，鸟倦飞而知还。景翳翳以将入，抚孤松而盘桓。
归去来兮，请息交以绝游。世与我而相违，复驾言兮焉求？悦亲戚之情话，乐琴书以消忧。农人告余以春及，将有事于西畴。或命巾车，或棹孤舟。既窈窕以寻壑，亦崎岖而经丘。木欣欣以向荣，泉涓涓而始流。善万物之得时，感吾生之行休。
已矣乎！寓形宇内复几时？曷不委心任去留？胡为乎遑遑欲何之？富贵非吾愿，帝乡不可期。怀良辰以孤往，或植杖而耘耔。登东皋以舒啸，临清流而赋诗。聊乘化以归尽，乐夫天命复奚疑！"
25756,Ugwq64lLHPUfuYK8CPx4AaABAg,1,3 years ago,we.need a garden care tour and pet care video please li,我们需要一个花园护理之旅和宠物护理视频，请李
19912,Ugx3zuXyOf11s3dxiwp4AaABAg.91GSbollkUx91sD7GVnNbV,1,3 years ago,"becoz of the youtube subscribers, now she own a house with big garden haha",YouTube用户的Becoz，现在她拥有一所房子和大花园哈哈
21497,Ugxg8ejEllanC9NzZRx4AaABAg,1,3 years ago,"why is the garden weed, the chinese take all the weeds, insects, all",为什么花园杂草，中国人拿走所有的杂草，昆虫等
21618,UgwNYKWncE0UAAnbDt94AaABAg,1,3 years ago,"i like this way to show the cooking lessons : beautiful garden , beautiful vegetables, beautiful young (?) woman in a beautiful traditional old house of nowhere in china...
a lot of work for this inspiring videos- this is living museum !
how many gardeners,designers, and the film -team of the scenario are busy for one video?
but it doesn't matter, we love you, making us dreaming !
thank you","我喜欢这样展示烹饪课的方式：美丽的花园，美丽的蔬菜，美丽的年轻（？）在中国美丽的传统老房子里...
这部鼓舞人心的视频很多工作 - 这是活博物馆！
一段视频忙于有多少园丁，设计师和电影团体忙碌？
但这没关系，我们爱你，让我们做梦！
谢谢"
21723,UgyIb054OyEzSWVT2T54AaABAg,1,3 years ago,"is very a nice place, a big farm big garden, she has a different kind of vegetables. she cooks fresh from the garden. i like this place is such big space.",是一个非常好的地方，一个大型农场大花园，她有另一种蔬菜。她从花园里煮新鲜。我喜欢这个地方是如此大的空间。
23675,UgwUwpLFnyGeUSq_pjl4AaABAg.8zeB1KT7K148zeIPq6bZiL,1,3 years ago,i'm her neighbor our place is like garden of eden hope you can visit here someday so that you will see in that video clearly,我是她的邻居，我们的住所就像伊甸园一样，希望您有一天可以在这里访问，这样您就可以清楚地看到该视频
22160,UgwzfWJ0xK7sizxPnXB4AaABAg.9-BLqv3Q8Ei90ETVUoSPZx,1,3 years ago,"given the daily workout she does foraging for wild edibles, tending to her garden and building stuff, she doesn't have time to get fat... plus she eats organic and much more greens than obese people.",鉴于她每天锻炼野生食物，照她的花园并建造东西，她没有时间脂肪……再加上比肥胖者吃的有机和果岭更多。
11513,Ugx1rETbvpN5vnEwgul4AaABAg,1,3 years ago,i wish there was a garden like a billion,我希望有一个像十亿个花园
22675,Ugwguk6hsFZDXqlgDyF4AaABAg,1,3 years ago,she has a huge garden and so many ingredients to use. her cooking looks great and she barley even makes a mess! i'm jealous,她有一个巨大的花园和许多食材。她的烹饪看起来很棒，她的大麦甚至一团糟！我嫉妒
6399,UgzOccj6G8HDTl-MVut4AaABAg,1,2 years ago,"your videos are like artificial artwork.. it's manmade to attract fans.. it comes from life but not realistic for ordinary people to practice.. who the heck can work like this?? what you present is not your real life, if it's true, you must have owned the eden garden to grow all vegetables and fruits in the world.. how realistic that is???",您的视频就像人造艺术品一样。它是人为吸引粉丝的人为。它来自生活，但对于普通百姓而言，练习并不现实。.谁可以这样工作？您所面临的不是您的现实生活，如果是真的，那么您必须拥有伊甸园才能种植世界上所有的蔬菜和水果。这是多么现实？？？
34388,UgyKE4znH_a0HD8qERp4AaABAg,1,3 years ago,its look like the whole mountain is her garden.,看起来整个山是她的花园。
11299,UgxLV5tVWrtmLFEDU1R4AaABAg,1,3 years ago,wonderful garden with magic growing vegetables and amazing hardworking lady with wonderful talent!,奇妙的花园与魔术种植蔬菜和令人惊叹的勤奋女士，具有出色的才华！
6715,Ugyt7bQjILbSTnEwmTN4AaABAg,1,2 years ago,amazing garden i wonder what kind of climate there is and the type of soil. must be very productive. does she grow peanuts there?,令人惊叹的花园，我想知道有什么样的气候和土壤类型。必须非常有生产力。她在那里种植花生吗？
31206,UgwhtRLBotPiOTrfJRJ4AaABAg,1,3 years ago,"confused is the garden that he went to collect everything, including many clips, this is his own, right?
anyone know, please tell me // for thai people to meet","他去收集所有东西的花园感到困惑，包括许多剪辑，这是他自己的，对吗？
任何人都知道，请告诉我//泰国人见面"
31133,Ugw2WElkzBoP_jXGvpJ4AaABAg.8yVLRYLxVO88yWhz201M5n,1,3 years ago,"first.u should have a big garden, lol...",首先，应该有一个大花园，大声笑...
32728,Ugxe5mWOvV5i7jL2gD14AaABAg.8yUnqe6UC_Y8yVD4s6KaN0,1,3 years ago,asiaverity tv they say on the phase 3 of death you end up in a beautiful garden,他们在死亡的第三阶段说，亚洲电视你最终进入了一个美丽的花园
7463,Ugz2KDn80IJxa2np1HJ4AaABAg,1,2 years ago,"she: goes in the garden & find every single ingredient required
me: went to the market & forgot what i came for..","她：去花园里找到所需的每种成分
我：去市场，忘记了我的目的。"
32730,Ugxe5mWOvV5i7jL2gD14AaABAg.8yUnqe6UC_Y8yVE4nRjzLj,1,3 years ago,@ramenyummm that's that garden and wife iam imagining.,@ramenyummm是那个花园和妻子，我想像。
7499,UgwxxhGrWeZcSCZKPBd4AaABAg,1,2 years ago (edited),"i really like life like this, every time i watch the video of ly tu that, i wish i could grow a vegetable garden like that, hihi. thank you so much ๐ผโค๏ธ๐",我真的很喜欢这样的生活，每当我观看Ly Tu的视频时，我希望我能像这样种植菜园，Hihi。非常感谢您
7980,UgxrwShvNt5GhgvzX3t4AaABAg,1,2 years ago,"omg. all those poor garden gnomes. why would they bury them and then cut off their hats like that? it's so inhumane. i try not to judge other cultures, but this has gone to far. garden gnomes lives matter. ""gglm",我的天啊。所有那些可怜的花园侏儒。他们为什么要埋葬他们，然后切断他们的帽子？这是如此的不人道。我尽量不要判断其他文化，但这已经走了很远。花园侏儒生活很重要。 “ GGLM
32959,UgyTxOlBeKk2O7ZTumd4AaABAg,1,3 years ago,her garden is a perfect grocery store.,她的花园是一家完美的杂货店。
9033,UgzhzWVbJJOaHS4REKt4AaABAg.9AX5_LiL_FU9AkWQf2eQ3E,1,2 years ago,"in the west there is potager gardens that are the same concept. most people i know who garden grow a combination of food and flowers, however i think gardening is not as valued in the west perhaps",在西方，有同一概念的波塔格花园。我认识的大多数人花园种植食物和花朵的组合，但是我认为园艺在西方的价值不那么重视
9034,UgzhzWVbJJOaHS4REKt4AaABAg.9AX5_LiL_FU9Akd6Fd9s8I,1,2 years ago,"emily c 
yeah i guess itโ€s also different from place to place. i feel itโ€s not like gardening is not as valued in the west; it is more like people have different philosophy of life and it is reflected through different gardening styles. just personal views. appreciate different opinions.","艾米丽c
是的，我想在某个地方也有所不同。我觉得这并不像西方的园艺不那么重视。这更像是人们具有不同的生活哲学，它通过不同的园艺风格反映了。只是个人观点。感谢不同的意见。"
9701,UgxeDjXMOCo9vlzxzEZ4AaABAg.99hgqgWegqn9AJZoSjPple,1,2 years ago,ikr..i just love her garden and palace.,ikr ..我只是爱她的花园和宫殿。
5909,UgxSyRdk9kjSTDhIzqR4AaABAg,1,2 years ago,"i am from india ,tamilnadu.i am a great great crazy fan of u, i mostly seen all u r videos and daily searching for more and more .please upload more videos .love and u r grandma. take care of her. u r garden and mainly u r roses made me fresh. great work. always praying for u r great future. don ""t feel ,we r so many for u-,u r well wishers .love u .waiting for ur new videos",我来自印度，泰米尔纳德邦。照顾她。花园和主要的玫瑰使我新鲜。做得好。一直为您的美好未来祈祷。 “感觉，我们为U-，u r w and whorders rove u。
10976,UgysxbJY-Q5PSbEMk3x4AaABAg,1,3 years ago,i love your garden and the way you cook! you’re a gem,我爱你的花园和你做饭的方式！你是宝石
11062,UgxruKSHZaKy67OCvLJ4AaABAg,1,3 years ago,"i'm so speechless. she is so talented. she is a master of gardening, cooking, sewing, making furniture such as bamboo sofa's. superb..",我很无语。她是如此有才华。她是园艺，烹饪，缝纫，制作竹沙发等家具的大师。超级..
34455,Ugz5X4ynnENgkkQfiot4AaABAg,1,3 years ago,now i am remembering my granny's place..a home and small garden in the middle of tea garden.. me my brother used to go there every summer vacation... i miss that so badly..,现在我想起了我的奶奶的住所。
34963,Ugy0icpBFE6xcCd5UKd4AaABAg.8yUSThEJYE08yUY7xzAj5L,1,3 years ago (edited),"my wife often go back, i want to be a vegetable garden, rarely go back, hahaha",我老婆经常回去，我要頋菜园，很少跟回去，哈哈哈
34754,Ugyk5hiwJ2fqQH77pot4AaABAg,1,3 years ago,omg she has everything in her garden,天哪，她在花园里有一切
32748,UgziL9Huh-faRSRdfdV4AaABAg,0,3 years ago,"once he wanted to eat, went to the garden everything and cooked. this is a class and food is useful, tasty.",一旦他想吃饭，就去了花园里一切并煮熟。这是一堂课，食物很有用，美味。
25269,UgyFgYD6riQZje4YkOx4AaABAg,0,3 years ago,"i'm a new fan from indonesia 
every single video of yours reminds me of my childhood when we ate literally everything from our garden 'm from javanese ethnics.","我是印度尼西亚的新粉丝
当我们从花园里吃东西时，您的每一个视频都使我想起了我的童年时代，因为现在一切都不再与以前一样。在这里，我们也吃了那些年轻的竹子，尤其是我来自爪哇人的种族。"
23212,Ugxm0k3YFFIwYJHqSEx4AaABAg,0,3 years ago,"hello from texas in usa of north america, i want to say it’s great to see you cook for your elder and i find my self liking that she loves having you around to make many things from nature and your garden!",来自北美美国德克萨斯州的您好，我想说的是，很高兴看到您为您的长者做饭，我发现自己喜欢她喜欢您四处做很多大自然和花园的东西！
25330,UgywdiA_yA0AiMR4bv94AaABAg,0,3 years ago,can you do a house-garden tour? you are living in a very beautiful place.,你可以进行房屋之旅吗？你住在一个非常美丽的地方。
34967,UgzQRyrtj3k6JNPoLNN4AaABAg,0,3 years ago,i love the garden and the place where you live it is very beautiful,我爱花园和你住的地方很漂亮
25338,UgywdiA_yA0AiMR4bv94AaABAg.8z3nXJm-NQm8z4eba1msaj,0,3 years ago,"theres one video on her facebook,her garden tour",她的Facebook上有一个视频，她的花园之旅
34406,Ugxxg7KbMyvbI6s6NEd4AaABAg,0,3 years ago,"my favorite one young bamboo , big dream to having beautiful garden like yours. i love you liziqi !!!",我最喜欢的一个年轻的竹子，拥有像您这样美丽花园的大梦想。我爱你liziqi！
34838,UgwwS-Twtjx18fxI3jh4AaABAg,0,3 years ago (edited),"in my vegetable garden, a lot of portulaca grows but we do not have the habit of consuming it. those long green beans are amazing cmq",在我的菜园里，很多港口都在生长，但我们没有食用它的习惯。那些长绿豆很棒的CMQ
32430,UgyeIAHATmtDjaRkO2x4AaABAg,0,3 years ago,"from australia, videos i like ziran very much have not eaten pure snail powder for thirty years. sometimes they look at the picture. i hope to return to china to have the opportunity to visit the vegetable garden of ziran very much like that natural beauty",来自澳洲，很喜欢子染的视频三十年没有吃上纯正的螺蛳粉有时候会看图解馋。希望回国有机会到子染的菜园参观很喜欢那天然的美
22813,UgzQr_SrfHp13_9rvDx4AaABAg,0,3 years ago,"her garden, omg",她的花园，天哪
25553,UgynmLejO66wQJkQ_L54AaABAg,0,3 years ago,i would love for you to do a tour of your garden and everything that you grow in it.,我希望您能参观您的花园以及您在其中种植的一切。
22752,Ugz92FUEIFQoJ8fjAJ54AaABAg,0,3 years ago,"i must say the superlative house. mk seeing that everywhere has any, the garden fields of the hill ponds all the genres.",我必须说最高级的房子。 MK看到到处都有山丘的花园田地，所有流派。
22714,Ugz7xy1MN9Ki8CTg9MR4AaABAg,0,3 years ago,"for all you people watching... this is a dream world!!!! food is all around in their backyard, garden.... etc... you dont get this in america... if you want it, its in your freaking neighborhood money hungry supermarket.",对于所有人看着的人...这是一个梦想的世界！！！！食物在他们的后院，花园....等...您在美国不会得到食物...如果您愿意，它在您怪异的邻居饥饿的超市中。
25563,UgyyPyftsj8wEQx9fUx4AaABAg,0,3 years ago,i like your bamboo garden very shady and calm.,我喜欢你的竹制花园非常阴暗和镇定。
25574,UgxaH7Lvboa6TOyaptB4AaABAg,0,3 years ago,"which one from indonesia is ...?
look at the bamboo garden in this video beautiful ...
but when i saw the bamboo garden near my house, how come it's horror ...","来自印度尼西亚的哪一个是...？
看这个视频中的竹制花园美丽...
但是当我看到房子附近的竹制花园时，怎么会恐怖..."
25646,Ugyop0wLcQl7KrWuoGl4AaABAg,0,3 years ago,so nice your garden,你的花园很好
32290,Ugw2HubadSjHVIMlgvd4AaABAg.8yUwnI7dudb8yVPnKUsBU8,0,3 years ago,ya i agreed. wanna see the garden around.,我同意了。想看看周围的花园。
32713,UgwvkqBK7lTjE44NFlN4AaABAg,0,3 years ago,the garden is spectacular,花园很壮观
32781,Ugylt17bmWWlSWwYBI94AaABAg,0,3 years ago,bring too much is your garden,带来太多的是您的家园
25202,UgyYIUMm7wDCVbDcCwN4AaABAg,0,3 years ago,"awwwww so peaceful there, to live there until the end would be awesome, away from all the dramas. even the food is lovely. as for the hard working young lady she's beautiful, princess of the garden. thanks for sharing your paradise with us.",在那里如此宁静，到那里住在那里，直到最后会很棒，远离所有戏剧。甚至食物也很可爱。至于勤奋的小姐，她很漂亮，是花园的公主。感谢您与我们分享您的天堂。
24044,UgxG58v9EZs0pXbGrS54AaABAg,0,3 years ago,is she living in heaven garden....?where she can find all her cooking needs..... i jst luv.... and jst dream of living in that garden.... with fresh...... air...... food....,她住在天堂花园....？她在哪里可以找到她所有的烹饪需求.....我jst luv ....而JST梦想着住在那个花园里....新鲜.....空气...食物...
23768,Ugzxa_-0iNbsqGez3X14AaABAg,0,3 years ago,"it's really touched. when i was a kid, the living environment was just like this mold. when i took off the grain, the purslane growing in the garden was really like ❤",真的很有感触啊，小时候的生活环境简直和这一模一样
34308,UgzKpR3JCjGUIpr8pgl4AaABAg,0,3 years ago,does she live in a giant garden?,她住在巨大的花园里吗？
34146,Ugwq_VfPdewOTkD10mx4AaABAg,0,3 years ago,why is there no flys..?? really beautiful garden.,为什么没有苍蝇..？真的很漂亮的花园。
33811,UgxApkQNIDqvkdsVnZF4AaABAg,0,3 years ago,"after so many videos i have seen on her gathering and cooking, i am still impressed each time of her garden that grows so many kinds of vegetable, fruits, herbs and gather nearby so many other fresh produce. simply amazing.",在她的聚会和烹饪上看到了这么多视频之后，每次在她的花园里，我仍然给我留下了深刻的印象，它们种植了许多种类的蔬菜，水果，草药，并在附近收集了许多其他新鲜农产品。简直太神奇了。
23510,UgwWSOH0Y7Zyn1c12v14AaABAg,0,3 years ago,"whoever lives in these gardens, whoever harnesses the rivers, who made all these blessings in your hands ... do not think about the creation of god. in the name of god, god willing, and god is the greatest of my lord and your lord, who is good.",无论居住在这些花园中的人，无论谁利用河流，他们都掌握了所有这些祝福……不要考虑创造上帝的创造。以上帝的名义，上帝愿意，上帝是我的主和你的主，是善良的。
23937,UgxFyj4bH82SBDLovbt4AaABAg,0,3 years ago,what a beautiful garden,多么美丽的花园
33806,Ugz4XiDrkVj3T6tjJ3N4AaABAg,0,3 years ago,your garden is very beautiful,你的花园很漂亮
33721,UgyCaJwbDu-zbczfD5J4AaABAg,0,3 years ago,"i only watch to see her garden, her work",我只看着她的花园，她的工作
32897,Ugz9A4_9wXctRclNaL94AaABAg,0,3 years ago,why don't you show your garden in your next video;-),你为什么不在下一个视频中展示花园;-)
24123,Ugyie9oqt3E2-aChsnJ4AaABAg,0,3 years ago,the music reminds me of gardenscapes.,音乐让我想起了Gardenscapes。
24282,UgzuKHt-K7NCfRz4zZt4AaABAg,0,3 years ago,the only thing missing in this garden is the weed. then it's perfect!,这个花园中唯一缺少的是杂草。那是完美的！
32205,UgxCEgHQFwgBy6Wi65B4AaABAg,0,3 years ago,the garden she has is such a wonderful place.,她拥有的花园真是一个很棒的地方。
23509,Ugy8mir7kuHB4T7EUvd4AaABAg,0,3 years ago,garden of princess.....,公主花园.....
23439,Ugx3f9aHNABERPab9yd4AaABAg,0,3 years ago,she's pretty and talented. i wish i have a garden like her.,她很漂亮。我希望我有一个像她一样的花园。
24562,Ugwq7mT2Cby52-mW0oJ4AaABAg,0,3 years ago,i love your vlog ...ilove your garden,我爱你的视频博客...我的花园
33301,UgwPlk4lsg9HIaAKEsd4AaABAg,0,3 years ago,the garden is great with the same,花园很棒
24303,UgyiA-RQSgiIHF1or354AaABAg,0,3 years ago,i would have a altar in plaxce to give thanx to the garden which provides her with endless amount of ingredients. if not all of the ones that they use.,我会在plaxce中有一个祭坛，将thanx送给花园，这为她提供了无尽的成分。如果不是全部使用的人。
28722,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g94Rh70rNtWB,0,3 years ago,"ziyi entered the garden and picked up the treasures everywhere; when i went to the market, i looked blankly.",子柒入园，遍地珍宝任捡；我逛集市，一脸茫然无获。
25871,Ugx9tdqB4R5XMPPbYsB4AaABAg,0,3 years ago,oh mashaallah its beutiful garden,哦，马沙阿拉，它是美丽的花园
29197,UgxBfmblBWss8QiOnIt4AaABAg,0,3 years ago,please show your garden,请展示你的花园
27776,Ugw5J1vSnwC70CCDwD54AaABAg,0,3 years ago,"the place near your house, the garden, vegetable plants, fruits all are awesome .... feel like to visit the place....",您家附近的地方，花园，蔬菜植物，水果都很棒。
29616,UgztGthTyv69w1GN8tJ4AaABAg,0,3 years ago,"lovely video.
i love watching your videos to see what tools and techniques you use, as well as your magnificent garden. you grow and harvest so much food, while i only seem to kill any plant i grow except for herbs.
thank you for the awesome videos you create!","可爱的视频。
我喜欢观看您的视频，以查看您使用的工具和技术以及宏伟的花园。您生长并收获太多食物，而我似乎只杀死除草药以外的任何植物。
感谢您创建的很棒的视频！"
29479,UgxErbSf5qVI1sdNdu14AaABAg,0,3 years ago,so jealous of that garden!,如此嫉妒那个花园！
29385,Ugy1pTgeOBnmescz_2x4AaABAg,0,3 years ago,beautiful garden,美丽的花园
27873,Ugxfoa6DkOT4GuNTxaJ4AaABAg,0,3 years ago,m from india. i am not eating like your reciepe but i like to watch your channel it is beautiful your farm and your garden and the way you have to prepare food i like to watch,M来自印度。我不像您的收获那样吃饭，但我喜欢看您的频道，这是您的农场和花园的美丽，以及您想要观看的食物的方式
27925,UgzPyZokvFtm9vMByJZ4AaABAg,0,3 years ago,i love her garden she has a lot of veggies,我爱她的花园，她有很多蔬菜
28008,UgzBSHbIzlz_rvtZ4yd4AaABAg,0,3 years ago,the garden is too .. everything has .. i wish it was once there ❤❤,花园也是..一切都有..我希望它曾经在那里❤❤
28161,UgxSrGFIvy5niDZIhgB4AaABAg,0,3 years ago,like your garden a lot!! can people visit and take a look at it and may b pick few berries??,非常喜欢你的花园！人们可以参观并看一下它，并且可能会选择几个浆果吗？
28170,UgzkWYTecLz43jpYBmh4AaABAg,0,3 years ago,this white garden jumar,这个白色花园jumar
29130,UgzaesjeqeE9bSglm-14AaABAg,0,3 years ago,this is like garden goals! everything just grows so abundantly!!!,这就像花园目标！一切都变得如此丰富！！！
27596,UgwmPw5o-pxpZA_Ixa94AaABAg,0,3 years ago,"goddess, can you make a video of a garden? how to grow things, prevent insects, and prevent small animals?",女神，能不能做一个怎么打理花园的视频? 如何种东西，防虫，防小动物？
28901,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g9AvOas2hwMw,0,2 years ago,@farida yeasmin body present mind absent in garden # brainless,@farida Yeasmin身体在花园中缺少＃无脑的
28373,UgxNZMVNjDKDdcK_h2x4AaABAg,0,3 years ago,your garden is like a paradise all the fruits and vegetables are delicious,您的花园就像天堂一样，所有的水果和蔬菜都很美味
28737,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g95KgCAginYC,0,3 years ago,"5! handmade for the garden. https://youtu.be/hdwqe0bv3p8
out unnecessary bushes with your own hands.
if you write something on my channel-may you be happy!","5！花园手工制作。 https://youtu.be/hdwqe0bv3p8
用自己的手弄出不必要的灌木丛。
如果您在我的频道上写东西，您会很高兴！"
22696,UgwcajtoDMpROjIF1Jh4AaABAg,0,3 years ago (edited),"thats a lot of food fir an tiny gurl and grandma
god bless their garden!! they have all kind of vegetables and fruits there","多数民众赞成在很多食物中，小家伙和奶奶...
上帝保佑他们的花园！他们那里有各种蔬菜和水果"
28415,UgykHOn9GG9afuylb9x4AaABAg,0,3 years ago,"accidentally found her introduction to her garden, but it is in chinese without any subtitles https://www.bilibili.com/video/av26785686?from=search&seid=5255710379688991713",意外地找到了她对花园的介绍，但它是中文没有任何字幕https://www.bilibili.com/video/av26785686?from = search＆seid = 52579966899991713
28434,UgwG7Dn9W9JLhCX-ddp4AaABAg.8yYYJScyg3c8yeVshiLRaA,0,3 years ago,"yeah i love what she's doing , i love her garden .i want to live my life like her",是的，我爱她在做什么，我爱她的花园。我想像她一样生活
28498,UgwlJoiFaTyQk5BE9AR4AaABAg,0,3 years ago (edited),"there should be a disclaimer here, not all garden/wild snails are edible!!! some are poisonous!!!!!!!",这里应该有免责声明，并非所有的花园/野蜗牛都是可食用的！！！有些有毒!!!!!!!
28735,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g95A9P0R6R8E,0,3 years ago,"original: she goes to the garden and finds every single ingredient she wants i went forgot what i came for

translation: she went to the garden and found that every kind of ingredient she wanted to go to the market. i forgot what i bought","原文:She goes to the garden and finds every single ingredient she wants i went to the market forgot what i came for

译文:她去了花园，发现她想要的每一种配料我去了市场，忘记了我来买什么"
28697,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g93G_ngIpb25,0,3 years ago,"its not the ingredients she wants, it's the one she needs and receives by nature and her own garden that was planted by her and other people",这不是她想要的成分，而是她和她自己的花园所需要的，是她和其他人种植的
27688,Ugx7vb4z8XgwC9QHCPJ4AaABAg,0,3 years ago,her garden/farm and her kitchen are far more complete compared to your supermarket,与您的超市相比，她的花园/农场和厨房要完整得多。
29672,UgwJBY5DOaN3mMygykh4AaABAg,0,3 years ago,"well, what is the immortal day? there is my own small garden to make my favorite meal!",天哪这是什么神仙日子呀 有自己的小园子 做自己喜欢吃的饭 简直太棒了！
26023,UgyyK86aAC05CRB-Pqx4AaABAg,0,3 years ago,"she is surrounded by a massive garden with a nice variety of fruits and vegetables, very organic.",她被一个庞大的花园包围，有各种各样的水果和蔬菜，非常有机。
30730,Ugx4fDX9sQs5BG7wCeJ4AaABAg,0,3 years ago,"i've always wondered this but what is the layout of your garden? it always looks so magical and just, entirely beautiful. how do you do it?",我一直想知道这一点，但是您的花园的布局是什么？它总是看起来如此神奇，公正，完全美丽。你怎么做呢？
26052,UgxmpoQMTbeLLfFRLO54AaABAg,0,3 years ago,if i wasn't soo darn scared of caterpillars i would make a garden,如果我不那么害怕毛毛虫，我会做一个花园
26170,UgzBZNUMG5xU1_KepNx4AaABAg,0,3 years ago,love the garden.,爱花园。
26300,UgwL_HOpCHht9o07u_B4AaABAg,0,3 years ago,your garden is supermarket,你的花园是超市
31521,UgzlPh5CAt4iOnpePyp4AaABAg,0,3 years ago,her garden seems to go on forever.,她的花园似乎永远持续下去。
31271,UgyEdoz273awfyrbekd4AaABAg,0,3 years ago,i wonder how many veggie and fruits you plant in your garden?,我想知道您在花园里种了多少种蔬菜和水果？
26404,UgzbrFyAnfKPd2LBgeN4AaABAg,0,3 years ago,liziqi don't need to go out to buy vegetables in such a big garden.,Liziqi不需要出去在这么大的花园里购买蔬菜。
31166,Ugxnlbc-S3QutGX1InV4AaABAg,0,3 years ago,the small green leafy plant that you ripped from your garden seems to me that it is greenish here in mexico and we eat it with jitomate and chile and pork caldillo and pork,您从花园里撕下的小绿叶植物在我看来，它在墨西哥是绿色的，我们与辣椒和智利以及猪肉caldillo和猪肉一起食用
26483,UgwG314prkEN-MepKuN4AaABAg.8yp2ZULDzCG8yp56BPyvyz,0,3 years ago,"when i grow up, i eat vegetables and flowers in the yard, the quilt is closed, and the garden corner of da yangfang lol",长大了，满院子乱吃菜和花，被子柒关起来了，花园角落大羊坊 LOL
26515,UgzBhDsr9C6d3noe7gB4AaABAg,0,3 years ago,how i wish i have garden like this.,我希望我有这样的花园。
30178,Ugx7lMqOF0yjHstA9dF4AaABAg,0,3 years ago,please show us ur garden,请告诉我们你的花园
29803,UgxnQPSfYx18pmAtzIF4AaABAg,0,3 years ago,she never weeds her garden!!!!! she eats and cooks everything,她从不淘汰她的花园！她吃着一切
26650,UgzJtR70iflXo4CgEfx4AaABAg,0,3 years ago,i wish i hv a garden lyk u,我希望我有一个花园lyk u
30159,UgyPRXFwtaFKUX2zovl4AaABAg.8yVhkW6_tj48yViGSVNPCm,0,3 years ago,"all the plants do by her. she only hires some people to help her do the camera work(even she clip these video sources by herself), she always post weibo(like twitter) in china to show how she plants and take care of the garden. :)",所有植物都做的。她只雇用一些人来帮助她进行相机工作（即使她自己剪辑了这些视频来源），她总是在中国发布微博（如Twitter），以展示她如何植物和照顾花园。 :)
30142,UgyPRXFwtaFKUX2zovl4AaABAg,0,3 years ago,"i love liziqi's videos!!! but i have so many questions......like is the garden a communal one for a group of people or relatives? who plants, weeds and waters the garden? who owns the land where she gathers other foods from? looking forward to the next video!",我喜欢Liziqi的视频！！！但是我有很多问题……就像花园是一群人或亲戚的公共问题吗？谁的植物，杂草和水在花园里？谁拥有她从那里收集其他食物的土地？期待下一个视频！
27076,UgxcMWphGp_AxLAvbed4AaABAg,0,3 years ago,enjoy while eating food in a lush garden and heaven,在郁郁葱葱的花园和天堂吃食物时享受
27322,UgwAWjq1RADaKs3lF8V4AaABAg,0,3 years ago,i absolutely love your garden! it's so beautiful!,我绝对爱你的花园！这个很漂亮！
29891,UgwLV3qzY8-sClL-Lp54AaABAg,0,3 years ago,wanted to know your home gardening secrets how the plants are so healthy,想知道您的家庭园艺秘密，这些植物如何健康
