,cid,votes,含Chinese,含Chinese中文翻译
38525,UgzKPMNVYi8ix6x8wrF4AaABAg,5,I m from India!! I just love Chinese culture!!,我来自印度！！我只是喜欢中国文化！
45205,UgzTCXyKQeyX7chJclt4AaABAg.8r79rCByiEq8r7dSnSTKuq,5,m c r u serious？This is China.Her name is 李子柒.She is from Sichuan province. This video is preparing for the Chinese New Year.,M c r u严重？这是中国。她的名字是李子柒。她来自四川省。该视频正在为农历新年做准备。
51456,UgwyObTkaw7Yw7sk4Rd4AaABAg,5,Happy Chinese New Year Everyone! (・ Ω ・) ノ,春节快乐大家！ （・ω・）ノ
23461,UgwJt5W2j5q1D2nLUbd4AaABAg.92Ld0RvqjFc92W8I_MqF25,5,"HimaWari Nohara I have a spray below. I can't see others show some good things in China, and I can't see others studying abroad. I donโ€t understand, this is the quality of those Chinese people, shameing to China",Himawari Nohara 我下面就有一个喷子，看不得别人展示中国一些好的东西，也看不得别人出国读书，自己不行就仇富。搞不明白，这就是那些中国人的素质，给中国丢脸
14638,UgyL8ZC4sr-CLXxfCap4AaABAg.9AVBpd2l1cF9BIWHATZKOU,5,"@simonvan wow, Chinese Plus English is about to become a world language, you are even niubility!",@simonvan 哇凹，中国语plus英语，都快成世界语啦，你更niubility！
22055,Ugxlko-aCv8bm3F_QJp4AaABAg,5,"Recently, Li Ziyi has been the ""Ambassador to the Promotional Ambassador of the Rural Rural Rural Rural Rich"", which has triggered a new round of comment boom. After seeing some, I couldn't help but feel like I could provide different perspectives.

The point is, I hope that everyone is calm, discuss things, and try to listen to it as much as possible.

Don't bully a diligent, brave and intelligent girl.

According to the good cat catching the mouse, Li Ziyi is not an outstanding good cat. Not to mention the renminbi income, she made a lot of money on the international stage, about tens of thousands of dollars a day, envy everyone, realize her dream of serving her grandmother's life, and obtaining the harvest of no dare to expect. impressive.

Nearly 8 million foreign fans, everyone shows the truth, kindness showing the video. Unconvinced? If you try it, you will know. Jiang Feng, the most popular self -media Chinese, has subscribed for 280,000, is already an example for many people. It's just 3%of this little girl.

The videos of overseas cattle Guo Wengui are only watched tens of thousands of people every time. Li Ziyi's video is five or six million. The best 30 million. The video three years ago was searched every day, and the number of clicks continued to skyrocket.

This is not a general miracle.

I spent the strength of Nine Niu and Tiger to make a video. So far, I only have 160 subscriptions, and the best video is watching more than 1,000 people.

I know Li Ziyi's weight. Everyone also weighs.

Everyone has the most discussions. The most misunderstanding of Li Ziyi is that she is just an actor, and her work is made by a huge team.

Please understand her development history a little.

Li Ziyi had a childhood young man who had been unable to look back, had various workers, and had a long period of time for a person's exploration of experiments. He finally rely on his talents, hard work, hard work, and succeed.

The current situation, I am afraid that Zhang Yimou is likely to be a director. Of course, Li Ziyi does not need Zhang Yimou. I have an analogy. Li Ziyi has no self -learning talent, and the artistic talent shown is no worse than Zhang Yimou.

Li Ziyi rely on his own efforts to come to this day. You open your eyes and talk nonsense, and you are unwilling to do basic investigations and research. He maliciously pour dirty girls to a hard -working girl.

Really blushing for you. Be kind. Do nโ€t be so rude and hateful.

True: Li Ziyi's true, not that she is too beautiful, not what kind of shoes are wearing in the farmland. In my eyes, Li Zizhen's true, manifested in her hard work, hard work, and manifested in her soul. Nothing will do.

Of course, she will not seriously and deliberately express the hardships of the peasants in Sichuan and the sufferings of rural poor today. Li Ziyi is pursuing the amount of subscriptions and click volume. Her performance is basically impeccable.

Li Ziyi truly shows her own pursuit of life and her own state of life.

Of course, try your best to beautify. Otherwise, where can I subscribe?

Good: See her depending on the grandmother's life, and take care of each other. Thinking that grandma finally got a good life, she was really happy.

Thinking of my work hard for a whole life. Li Ziyi's kindness is one of the biggest highlights of the video.

Beauty: Needless to say. I admire me and admire from the bottom of my heart. Some people will say, team teams, foreign announcements and so on.

You just need to see Li Ziyi's earliest video to feel her artistic talent.

Besides: With the current situation of Li Ziyi's current daily gold, let alone the government, any of the people with funds will not hesitate to make a behind -the -scenes team.

Dawai Xuan:

Where is this? What big publicity? What a crime is to have no words. A girl mixed with meals, accidentally red and purple, do nโ€t TM โ€s blind eyes?

But here to tell the government and the Communist Youth League, do not speculate. Stir good things. What is the blind ginseng?

The government was not stupid, and I saw Li Ziyi's success and wanted to use it. In fact, maybe good intentions have become bad things. With my concept, the government, the Communist Youth League, the best leave her alone. It is not as good as the last four, truth, goodness and beauty.

Ziyi, please be careful. No need to cooperate too deeply with the government. Tell them to let you develop freely in accordance with their greatest interests. Otherwise, the end may not be good for anyone.

Cut!

During the seven years of labor in rural areas during the revolution, the hardships of the rural areas of China's rural areas know a little.

The reason why Li Ziyi feels is because most of the farm work that Li Ziyi has done has done it, and I will even accept the soles of the shoe. I rushed the cow to rake the ground in the paddy field, and I tried it. If you can't try it, you have to give it to the poor farmers around him. Very difficult work. I did not dry the back of the mountain from the mountain. There are no bamboo or mountains there. Almost all of the others can't be familiar. Rice, wheat, corn, sweet potatoes, pigs and sheep beef, planting vegetables. We do not plant fruit trees. Moving the bricks by myself and moving the bricks. At the age of seventeen, he was cooking for fifteen students.

Li Ziyi used bamboo to make a sofa for me too much. Too admire!

Ziyi, refueling ๅฟ…๏ธ Do not worry about it. Take your own way and let others have a way. Don't ignore some people's words of talking nonsense.

PS

Ziyi does not necessarily know the history of 12 million people starved in Sichuan during the Great Famine. Mianyang is the hardest hit area. Please know. It is important to your future development.","最近李子柒担任“中国农村青年致富带头人推广大使”，引发新一轮评论热潮。看了一些，忍俊不禁，有感而发，希望能够提供不同视角。

关键是，希望大家平心静气，就事论事，尽量做到兼听则明。

不要语言欺凌一个勤劳勇敢聪慧的女孩子。

按照逮着老鼠就是好猫的说法，李子柒不啻是一只杰出的极其优秀的好猫。不说人民币收入，她大把大把的在国际舞台上赚美元，大概每天几万美元吧，羡煞众人，实现自己养家糊口侍奉奶奶的人生梦想，获得原本不敢奢望的收获，可喜可贺令人钦佩。

将近800万外国粉丝，大家是冲着视频展现的真善美来的。不服气？你试试就知道了。海外最红的自媒体华人江峰，28万订阅，已经是很多人崇拜的榜样。仅仅是这小姑娘的3%。

海外牛人郭文贵每次的视频也只是几万人看。李子柒的视频动辄五六百万。最好的3千万。三年前的视频还在被人每天搜索，点击量继续暴涨。

这可不是一般的奇迹。

我费了九牛二虎之力做视频，至今只有160订阅量，最好的一个视频1000多人观看。

我知道李子柒的分量。大家也掂量掂量。

大家议论最多，对李子柒误解最大的是，她不过是个演员，工作都是一个庞大的团队做的。

请稍微了解一下她的发展史。

李子柒有过不堪回首的童年少年，有过各种打工经验，有过很长时间一个人摸索实验失败，最后靠自己的才华，勤奋，努力，获得了成功。

现在状况，恐怕邀请张艺谋来做导演都有可能。当然李子柒不需要张艺谋我是打个比方。李子柒无师自通自学成才，表现出来的艺术天分，不比张艺谋差一丝一毫。

李子柒完全靠自己的努力走到今天。你们睁着眼睛瞎说八道，连基本的调查研究都不愿意做，恶意向一个勤劳致富的女孩子泼脏水。

真替你们脸红。Be kind. Don’t be so rude and hateful.

真：李子柒的真，不是表现在她穿着过于漂亮，不是表演在穿着什么样的鞋子在农田里劳作。在我的目光里，李子柒的真，表现在她的勤劳，吃苦耐劳，表现在她的心灵手巧。啥都会干。

她当然不会去认真刻意的表现四川绵阳农民的辛苦和今日农村贫困人群的苦难。李子柒追求的是订阅量，点击量。她的表现基本无懈可击。

李子柒真实的表现了她自己对生活的追求，她自己的生活状态。

当然要尽力美化。不然哪里来订阅量？

善：看她和奶奶相依为命，互相关照。想到奶奶终于过上好日子真为子柒高兴。

想起自己姥姥勤劳一生。李子柒的善良，是视频最大亮点之一。

美：毋庸赘言。令我感佩，从心底里佩服。有人又会说了，团队团队，大外宣等等。

你只需要去看看李子柒最早的视频就能感觉到她的艺术天分。

再说一遍：以李子柒目前日进斗金的状况，别说政府，任何一个有资金的人都会毫不犹豫甘作幕后团队。

大外宣：

这哪儿跟哪儿啊？什么大外宣？真是欲加之罪 何患无辞。一个女孩子混口饭吃，不小心大红大紫，别TM的瞎着眼胡说八道好不好？

但是此处敬告政府和共青团，别投机不成舍把米。把好事搅合了。瞎参和什么呢？

政府不傻，看到李子柒的成功趁机想利用起来。其实也许好心办成坏事儿。以我的观念，政府啊共青团啊什么的最好leave her alone. 免得最后四不像，真善美不在。

子柒也请慎重。不必和政府合作太深。告诉他们让你自由发展符合他们的最大利益。不然最后也许结局对谁都不好。

切切！

在下文革时期在农村劳动七年多，对中国农村的苦难农民的艰辛略知一二。

之所以感觉李子柒的真实，就是因为李子柒干过的农活儿大部分我都干过，我甚至会纳鞋底。赶着牛在水田里耙地，我试过。怎么试都不行只好交给身边的贫农代表。很不容易的活计。从山上砍竹子背下山没有干过。我们那里没有竹子也没有山。其它几乎都再熟悉不过。水稻，小麦，玉米，红薯，养猪羊牛，种菜。我们没有种水果树。自己盖房子搬砖头用手推车运转头。十七岁当炊事员专职为十五个同学做饭。

李子柒用竹子做沙发让我太佩服了。太佩服！

子柒，加油

PS

子柒不一定知道大饥荒时期四川饿死1200万人的历史。绵阳是重灾区。请一定了解一下。对你今后发展至关重要。"
14637,UgyL8ZC4sr-CLXxfCap4AaABAg.9AVBpd2l1cF9BHILMc4Sj2,5,"Apply a sentence of Chinese English, niubility",套用一句中式英语，niubility
15796,UgwunGNXUy3YqX5DGb14AaABAg,5,"Hello, my name is Frank, I am not very good at learning Chinese. Hahaha! I am very happy to meet you. ✌️",你好
2985,UgxNvbg3jVHWU7L27AB4AaABAg.9VNt_6ullwN9a_u20k2hoV,5,Chinese people welcome Russian ❤️,中国人欢迎俄罗斯❤️
19191,Ugymg5O3FHlbYOgDaHx4AaABAg.966dRLsayD996Z4xbwP0Yk,5,Thats a 1990s Chinese way to make popcorn,多数民众赞成在1990年代制作爆米花的方式
17612,UgzNv4azBWM4KY1hR414AaABAg.97m90yxmeTh982OGgen76N,5,"@Heardistic can I ask you if you come from Germany? I think they are unfortunately not a German. ""Size is not everything"". I have no idea what it means is and what do you think for this video here. You may have so much desire for politician order so similarly. But that's just a video of a beautiful woman .... ""The Chinese should always consider"" what? I'm sorry, what?",@heardistic我可以问你是否来自德国？我认为他们不是德国人。 “大小不是一切”。我不知道这是什么意思，您在这里对此视频有何看法。您可能对政治家秩序有如此多的渴望。但这只是一个美丽的女人的视频。...“中国人应该总是考虑“什么？对不起，什么？
41963,UgxzGBqV8pKe8GctMKJ4AaABAg,5,This is making me feel like i go back to ancient Chinese history or smth,这让我觉得自己回到了古代中国历史或SMTH
17623,UgzNv4azBWM4KY1hR414AaABAg.97m90yxmeTh9848IskKRjd,4,"heardistance You have been mentioned so many times that “you should”, “you must”...hmm, why would I follow that? I feel offended by the unfriendly words and bad attitude you had before, if you wrote down comment like this and make it more clearly I may even not argue at all. In addition, German and English are also pretty hard for Chinese as they are completely different language system to us but many of us at least make it works. German is also not a global language but it does bring convenience to study, work and travel in German speaking area and help to understand Germans better. But of course, if your life has no any relations with China, that’s indeed not necessary to learn Chinese at all. But it would be also cool to be able to speak Chinese as nowadays so many Chinese are around. No matter you hate it or love it, they are there.",听到您已经被提到了很多次，以至于“你应该”，“你必须” ...嗯，我为什么要遵循呢？如果您写下这样的评论并使之更加清楚地说，我什至根本没有争论。此外，对于中文而言，德语和英语也很难，因为它们与我们完全不同，但我们中的许多人至少使它起作用。德语也不是一种全球语言，但它确实带来了在德语讲话地区学习，工作和旅行的便利，并帮助更好地了解德国人。但是，当然，如果您的生活与中国没有任何关系，那确实没有必要学习中文。但是，能够说中文会很酷，因为如今有很多中国人在周围。无论您讨厌或喜欢它，他们都在那里。
37056,UgyEGa7S8OEs6vHDGF14AaABAg.8uKAG1ThWGP8vJlbftqapW,4,"@Collinabroadcast, you should be able to understand Chinese! Do not have to rise to the national political level, and make money in ""self -media"" in China. Li Ziyi started the ""self -media"" in 16 years. At that time, she was alone, and the shooting and editing were alone.",@CollinAbroadcast 你应该能看懂中文！不要每件事都上升到国家政治层面，在中国做“自媒体”很挣钱。李子柒在16年就开始了“自媒体”，那时候她还是一个人做，拍摄跟剪辑都是一个人。
24981,UgzQHb8Vd1gmVltXuix4AaABAg,4,"In ancient Chinese traditional small snacks, after seeing that I think about it, the New Year's New Year's dumplings, dumplings, and fried soybeans",中国古代传统小零嘴，看的我回想小时后，过年的翻饺，馓子，炸黄豆
46225,UgxAKMgKyiOr8q7mxe54AaABAg,4,Happy Chinese New Year,农历新年快乐
12675,UgwT1gDAxj3u5Py3Xn14AaABAg.9Cu4gC8q40r9EHTIp9uRIe,4,Even tho i watch Chinese Drama I don't like China because they don't respect the muslims.,即使是我看中国戏剧，我也不喜欢中国，因为他们不尊重穆斯林。
45907,Ugw2VyZtqBYVldqYIuV4AaABAg,4,Happy Chinese New Year,农历新年快乐
35073,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8vwIHWYQdsZ,4,"@therewasnochill8997 well I m Chinese, I have to say in our tradition girls will be considered as no need to go to school, the family will leave the opportunity to go to school to the boys in the family. But since 1910/1920s, Chinese are fighting for women's right for education and working. Nowadays, there is absolutely no limit and no problems for girls to go to school and to get higher education in normal city families. The whole society do not has any unequal signs for girls to get education, actually in current education structure, girls usually can get better scores and go to better universities in China as our tests in school is more focused on memorizing the answers or most of the tests have standard answers to the questions and girls usually more good at these tests then boys. But it is also true that in some of village families, especially in poor and small villages, they can't afford to go to bigger city and live there to study, or they have boys in the family also need to go to university, then they probably will choose to give the opportunity to the boys not the girls. But it really is a family problem not a general social problem. And I think there are similar family problems in every country (probably not to do with gender but with all other issues, eg can't afford to go big city/family number get ill and people choose to stay with families all these problems ). Again there's absolutely no issue for girls to get education at all if they are willing to. China has the best equal opportunity rate for weman among all far Asia countries regarding working opportunities and salary rate. My grand mum graduated from one of the best universities in China ๏ผZhejiang University ) in 1940s. My mum graduated from one of the best financial universities in Shanghai (Shanghai University of Finance and Economics)in 1980s, Myself finished high school in Shanghai and get in best art school in UK and own a master degree in arts. And non of my friends or heard any one lose their opportunity to go to school because they are girls.",@thenwasnochill8997我是中国人，我不得不说，在我们的传统中，女孩将被认为是不需要上学的，一家人将留下机会去上学。但是自1910年1920年代以来，中国人正在争取妇女的教育和工作权。如今，女孩绝对没有限制，女孩上学并在普通城市家庭中接受高等教育。整个社会没有任何不平等的迹象让女孩接受教育，实际上在当前的教育结构中，女孩通常可以获得更好的成绩，并且在中国的大学中获得更好的大学，因为我们在学校的考验更加专注于记住答案或大部分的答案测试对问题有标准答案，而女孩通常比男孩更擅长这些测试。但是，确实，在某些乡村家庭，尤其是在贫穷和小村庄中，他们负担不起去更大的城市去那里学习，或者家庭中的男孩也需要上大学，然后他们可能会选择给男孩而不是女孩提供机会。但这确实是一个家庭问题，而不是一个普遍的社会问题。而且我认为每个国家都有类似的家庭问题（可能与性别无关，但与所有其他问题有关，例如，大城市/家庭人数无法生病，人们选择与家人在一起所有这些问题）。同样，如果女孩愿意，女孩根本没有任何问题。在所有远亚洲国家，中国在工作机会和工资率方面拥有韦曼的最佳机会率。我的大妈妈于1940年代毕业于中国最好的大学之一。我的妈妈毕业于1980年代上海（上海金融与经济学大学）最好的金融大学之一，我本人在上海完成了高中，并在英国获得了最佳艺术学校，并拥有艺术硕士学位。而我的朋友或听说任何人都因为是女孩而失去了上学的机会。
24558,Ugw4rDDKMbA16xkYbfJ4AaABAg,4,"I think you can serve as ""the art director of movies"", or ""gift box packaging designer"", because your videos and gift box packaging are very ""beautiful""!
You inject the elements of traditional Chinese culture into it! It is an alternative self -media performance!","我觉得妳可担任「电影的艺术指导」，或「礼盒包装设计师」，因为妳的视频及礼盒包装都很“唯美”!
妳将中国传统文化的元素，注入于其中!是另类的自媒体表现!"
19663,UgySx0Pfrkf7sB9k-914AaABAg.95SlwKCChPm95YM7B3Jndk,4,that thing is kind of popcorn machine that often used in traditional Chinese culture.,那东西是一种爆米花机，经常在中国传统文化中使用。
49115,Ugw6XAj85jmCblNqQyt4AaABAg,4,Happy Chinese New Year. Love from Bangladesh.,农历新年快乐。来自孟加拉国的爱。
23212,UgzFvxptKRucnF0Q3M54AaABAg,4,"Why Americans hate Chinese, I don't understand,she is Chinese and the place is also China",为什么美国人讨厌中文，我不明白，她是中国人，这个地方也是中国
31835,Ugw-EYxpgJ_A63R-De94AaABAg,4,You are so encouraging! My Chinese is not very good. But I am very happy to post videos! Thank you so much! I love you! you are cute!,你是如此鼓舞人心！我的中文不是很好。但我很高兴你发布视频！ 非常感谢！ 我爱你！ 你好可爱！
23844,Ugx0c1L9CyDS9_gJJYl4AaABAg.922WzcJG9aj92UeSjVmI85,4,The Chinese have special emotions for the land,中国人对土地有着特殊的情感
29150,Ugx5WSC5XCu2dUH3qWp4AaABAg,4,Really Chinese are the most talented and most hardworking people in the world....,真正的中国人是世界上最有才华，最勤奋的人。
30197,UgyI_ZUS1BzNdmSL_w14AaABAg,4,"The dreamed home of ancient Chinese, never hungry, never cold and never lonely.",梦dream以求的古代中国人的家，从不饿，从不冷，也从不孤独。
14626,UgyL8ZC4sr-CLXxfCap4AaABAg.9AVBpd2l1cF9AwWgkfnpT-,4,"VK Luo Bida haha, it is not easy to meet the Chinese here, shake hands!",VK骆必达 哈哈，在这里遇到中国人是不太容易，握手！
23437,UgyvehVl1Bz7FmJSUGR4AaABAg,4,"I eventually know why American families like to adopt Chinese girls ,who will become angels when you get old",我最终知道为什么美国家庭喜欢收养中国女孩，他们变老会成为天使
29441,UgzZzJbuNnUNCMBVlIR4AaABAg.8xjFGku-_Z_8y8Ma-xvU02,4,"Paddy Li Hhhhha is a real wheel video. In fact, it is actually ridiculed by Chinese people to laugh and die.",Paddy Li hhhhha 是真的 轮子视频下面其实也是国人嘲讽居多 笑死
49526,UgzNxqz0i6vfOVzXxT54AaABAg,4,I really want to return to China for Chinese New Year,好想回国过年呀
17618,UgzNv4azBWM4KY1hR414AaABAg.97m90yxmeTh984-NGomXZU,4,"Heardistance, you don't look like the Germans at all. You look like the Dutch OK. Maybe you are the Germans. Freeuden kann mich gut verstehen, das is isspenug für mich. Und. Since you are so interested in China, like to comment on why China does not learn Chinese? Otherwise, you really can't understand us. We also feel difficult to communicate with you blindly with your own values ​​and backgrounds to comment on others or even rise to the national level. Even if this is just a video, I think your behavior is really disgusted. When you come up, you will have an invincible educated in educating you to educate your educated world.","heardistance 你看起来根本就不像德国人 你看起来像荷兰人 ok 可能你就是德国人 毕竟这里是欧洲 还有 谢谢你对我德语的赞赏 我的德语不完美因为我是中国人 natürlich~aber meinen Deutschen Freuden kann mich gut verstehen, das ist genug für mich. Und 既然你对中国那么感兴趣 喜欢评论中国 为什么不学习中文呢？不然你真的理解不了我们 我们也感觉很难跟你沟通 一味的用自己的价值观和背景去对别人评头论足 甚至上升到国家水平 即便这只是一个视频而已 我觉得你这样的行为真的非常让人反感 上来就对别人以没受过教育来攻击别人 ok 就你受过教育 你受过的教育天下无敌"
53017,UgzwTG6LcIrab-_SP954AaABAg,4,Happy Chinese New Year! Love lots,农历新年快乐！爱很多来自菲律宾的
7470,Ugwc2EAmYRZhq2kUdLt4AaABAg,4,"Happy Chinese new year 
Xin nian kuai le

Gong xi fa cai ❤️❤️❤️ ❤️","Happy Chinese New Year 
Xin Nian Kuai Le

Gong Xi Fa Cai ❤️❤️❤️"
51188,UgzMAjAbeNrP7isNqRx4AaABAg,4,Happy Chinese New Year! For you and grandma.. ❤❤❤❤,农历新年快乐！为你和奶奶..❤❤❤❤
51239,UgxoV7vixv0xKr3FYpJ4AaABAg,4,Happy Chinese and Vietnam,快乐中国和越南
50845,UgxR1L5TXa47EtTWLlB4AaABAg,4,Happy New Chinese year dear Li Zi Qi,新中国新年快乐亲爱的李Zi qi
51759,UgzUb31BSa3TA-6p_TJ4AaABAg,4,Chinese fan report,中国粉丝报道
51391,Ugz4T9MJPXg4TiuE5o54AaABAg.8qlWUCBsGdF8qlnv-im8H0,4,"Oh my god, I used to take a screenshot of Li Ziyi's video to the WeChat circle of friends, saying that this is the cleanest place in YouTube. You can see the praise of many languages ​​in the world. In such a good place, it was finally polluted. It doesn't matter. A certain island, I have sent screenshots of the vicious comments under the Dai Ziying incident to Weibo/Post Bar/Friend's Circle, so that more kind Chinese people can see Hate, Visualize It, see what a treasure method is Alishan Sun Moon Lan Treasure Island in textbooks. Dai Ziying's incident has an islander commented: the woman is a bad kind and other races. The world only has confinement to stretch. If they do not sit, they will die. Japan and South Korea do not need to applaud the cow fork! Haha, in the past few years, I have worked hard to promote friendship between the two sides of the strait in my life and Youtube, and I have no longer worked hard since September 18. Now I often send a comment on a certain island in YouTube to the circle of friends. Hehe, and personally persuaded a few elderly relatives and friends who want to travel to a certain island, let them go to New Matthew, support our friendship And overseas Chinese, ha ha","我的天啊，我之前把李子柒视频下的评论截屏发到微信朋友圈，说这是YouTube里面最干净的地方，你可以看到全世界很多语言的赞美之词。这么好的地方，最终还是被污染了一下下，没关系啦，某岛，我已经把戴资颖事件下的恶毒评论截图发到微博/贴吧/朋友圈，让更多善良的中国人民看到仇恨，visualize it, 看看教科书里的阿里山日月潭宝岛是怎么个宝法。戴资颖事件有个岛民评论: 支那女人是劣等人种，全世界只有他们坐月子来苟延残喘，如果不坐，就会死，日韩就不需要坐 鼓掌"
50890,UgzQXZYZDt2_SE_NSUt4AaABAg,4,Hello ms. Lizi i love all of your videos. Hope to see you soon. Happy Chinese New year. Love from Philippines.,您好MS。 Lizi我喜欢您所有的视频。希望很快能见到你。农历新年快乐。来自菲律宾的爱。
12638,UgwT1gDAxj3u5Py3Xn14AaABAg.9Cu4gC8q40r9D4re0HK1O8,4,"@hayleyhyj525 didn't I tell you to shut the fuck up? First you assumed I was hating on Chinese people and being racist against them. And when I put you in your place for being a fucking racist to me who IS by the fucking way! Of Chinese descent you are now attacking someone else who is speaking the same message against the government. The Chinese government is suppressing it's people. Stop playing the fucking victim and shut the fuck up. You think I don't go through the same racist shit people are throwing at me for looking Asian in an American country? Sit the fuck down, cause YOU ARE THE PROBLEM.",@hayleyhyj525我不是告诉你闭嘴吗？首先，您认为我讨厌中国人，并对他们进行种族主义。当我把你放在你的位置时，你是个他妈的种族主义者，他是他妈的的方式！在中国血统中，您现在正在攻击其他人对政府发出相同信息的人。中国政府正在压制人民。停止玩他妈的受害者，闭嘴。您认为我不会因为在一个美国国家寻找亚洲人而扔给我的种族主义狗屎吗？坐下，因为你是问题所在。
1750,UgzCN108n6UDRKoGK8t4AaABAg,4,"My favorite Chinese Cinderella, everything continues to amaze what kind of hard worker she is and which lambs are cute",我最喜欢的中国灰姑娘，一切继续惊叹于她是什么样的努力工作，哪些羔羊很可爱
51761,UgybbNnVYyBiRxGjwDV4AaABAg,4,"They have been occupied by foreigners, and Chinese people leave a message",都被外国人占领啦，国人多留言啊
7468,Ugx7mEKfSmgc1eAzr-t4AaABAg,4,"Happy Chinese new year 
Xin nian kuai le

❤️ Gong xi Fa Cai ❤️","Happy Chinese New Year 
Xin Nian Kuai Le

❤️ Gong Xi Fa Cai ❤️"
50223,UgzC_AYMc9iKQDw54AR4AaABAg.8qlnUqpB5Ko8qyABjtoABf,4,"@MyLe-fo6pu The lunar calendar is only 354 days a year, which is 11 days less than the solar calendar. This means that every three years, the Lunar New Year and the solar calendar are one month apart, so the pure lunar new year will appear in various seasons, and the Chinese New Year always appears in In winter in China, this is because China uses a combination of lunar calendar and solar calendar, and uses solar terms（节气jieqi） to guide agricultural production.Chinese calendar is a mixed calendar.
google translate","@myle-fo6pu每年只有354天，比太阳日历少11天。这意味着每三年，农历新年和太阳日历相距一个月，因此纯净的农历新年将出现在各个季节中，而农历新年总是出现在中国冬季，这是因为中国使用LUNAR日历和太阳日历的组合，并使用太阳术语（Jieqi）指导农业生产。中国日历是混合日历。
谷歌翻译"
50327,UgxZqJRu9m9MizjmKhB4AaABAg,4,"i love you so much. Happy Chinese new year,",我真的很爱你。农历新年快乐，
50900,UgwgdxkzLocvnrsCmMF4AaABAg.8qlbwQdOZYk8qnIZPeck97,3,@echosu5793 There are some similar food. But most of Korean food are totally different from China's. I'm sure that I like Chinese food more than Korean. lol,@echosu5793有一些类似的食物。但是大多数韩国食品与中国完全不同。我敢肯定，我比韩国更喜欢中国菜。哈哈
18583,UgwC-ixwL8cDIh--eol4AaABAg,3,When the coronavirus ends I’m going to go to China and I want to eat some crabs Chinese cramps like those ones that was so yummy I am here on the sofa look in his videos on the Quarantine,当冠状病毒结束时，我要去中国，我想吃一些螃蟹中国抽筋，就像那些非常好吃的螃蟹，我在隔离的视频中在沙发上看着沙发上
50908,UgxmG2wdFYPjiTnHSth4AaABAg.8qlbtwK52oe8qtokmQHExe,3,@sparklelee4368 She prepared for traditional Chinese New Year. This is a festival that all Chinese people will celebrate.Chinese people usually prepare some traditional food and snacks at this festival.,@Sparklee4368她为传统的农历新年做准备。这是所有中国人都会庆祝的节日。中国人通常在这个节日上准备一些传统的食物和小吃。
8544,Ugx40GICVBVkwteYONV4AaABAg.9IRg90eEmpV9IRsOxoVBE8,3,"The Chinese and the Koreans are really relatives, and the cyber hooligans are so similar. I believe most Korean people are rational.",中国人和韩国人确实是亲戚，网络流氓是如此相似。我相信大多数韩国人都是理性的。
45720,UgxDoNYWfGb_JnABqfZ4AaABAg,3,I always wanted to grow up doing cool stuff like that! I love nature and whatnot. I hope you and your grandmother (and uncle) are blessed this year!!Happy Chinese New Year!!,我一直想长大，这样的很酷的事情！我爱大自然等。希望您和您的祖母（和叔叔）今年有福！
48835,Ugw2-Xp2ZfiQ9uX6m494AaABAg.8qmPugkUfoc8qmXHVQ4WwR,3,"She was making snacks for celebrating Chinese New Year, it's a tradition for every family to prepare different kind of snacks for the New Year",她正在为庆祝农历新年做零食，这是每个家庭为新年准备不同种类零食的传统
48505,Ugya1P70nRnkq5ecAJd4AaABAg,3,Chinese new year foodies love it,农历新年美食家喜欢它
45645,Ugxc116lv0oj8UGd_u14AaABAg.8r1_0tDXddZ8rASO6cG0RV,3,This video is about some snacks we will eat in Chinese New Year,该视频是关于我们在农历新年吃的一些小吃
3377,Ugz7IgBPpvOrv81Ksfl4AaABAg.9U0_xd609Tm9U7b3dnDWt_,3,"At the end of your hand, I can see the desire of the South Korean people to escape from the evil American colonial regime, and the Chinese people support your ""independence.""",在您手的最后，我可以看到韩国人民逃离邪恶的美国殖民政权的愿望，中国人民支持您的“独立”。
51930,UgyGgPTEn6ni6pQOjFJ4AaABAg,3,Happy Chinese New Year from Malaysia,马来西亚的农历新年快乐
17081,UgyzyjTe0wUmC5pDBX94AaABAg,3,Thanks Liziqi for bringing Chinese traditional nature to the world,感谢Liziqi将中国传统本性带到世界上
2459,UgxF-eebrw_qfc9lDTR4AaABAg,3,Wow... this video was posted 3 years ago... right around Chinese new year. I certainly miss the days when we can have festive celebration without worry and mask.,哇...这段视频是在3年前发布的...在农历新年附近。我当然会想念我们可以不用担心和面具的节日庆祝活动的日子。
31431,Ugzn2TvpqOiqIBoe2NJ4AaABAg,3,"I love Chinese food itโ€s the best. I have never gotten sick or ill whilst eating chinese unlike Indian, Mexican etc. ๐จ๐ณ ๐’“",我喜欢中国菜，这是最好的。与印度，墨西哥人不同，我从来没有生病或生病。
44048,UgycNSkJt1wQbPlIH414AaABAg.8rGHT9GJz-M8rLxK56fity,3,@ygfalcao2570 Poxa :( the deed must be in Japanese/Chinese ... which I give totally layman,@ygfalcao2570 poxa :(契据必须是日语/中文...我完全给外行
