,cid,votes,time,含fake,含fake中文翻译
1089,Ugzl4rYjPHgbBj8vkcp4AaABAg,0,1 year ago,"faced with this person's heart more and more corrupted. the world where natural disasters and people are constantly, people have more and more conflicts, and more and more illegal things are. it is mentioned: you will hear the sound of fighting and fighting, don't panic. these things must be available, but the last period has not yet arrived. the people want to attack the people, the country must attack the country; there must be earthquakes and famines in many places. this is the beginning of disaster ...

in the distant past, the world of noah's life was like such corruption today. at that time, god regretted making people (all people thought at that time were all evil), so god wiped out with the floods (only stayed in staying (only stayed in staying because of his ""fear of god""), human ancestor adam, adam, chose to accept the temptation and did not follow god. from then on, he entered the world. today, our world, enjoy the convenience brought by technology, the emergence of the internet , make the world a global village, but people's relationships have become more complicated, violent porn information, etc., constantly seduce the world to sin, we live in a world of deceit happy, no longer respect others. this lifestyle makes us more and more farther away from god. it is also unpleasant to god. many people do not know the god who creates the universe or does not want to know god, does not want to know the gospel. it is superstitious, but the bible tells us that god was the versatile god that was in the past and eternal in the past, and god hated ""sin"". no longer the same, we have lost eternal life, life is limited, and god has set a day to judge the world according to the people (jesus) set up by his (jesus). god loves the world. the only sons jesus became a flesh, nailed to ten, and the life of our sinful life with his innocent life was resurrected three days after his death. sitting on the right of god jehovah, so that we could pardon through jesus, repentance and was baptized. the holy spirit believes that jesus becomes a savior, so that we have a new style, and then live according to the inspiration of the bible. jesus said: you have a lot of love for people, and you have more forgiveness. ; what amount do you use to give you, and what amount to use will be used to give you .. similar teaching bibles are inspired. if we are willing to obey, we will have the opportunity to save.

we live in the scientific era, and people no longer believe in god, but we can't see that it does not mean nothing. the busy life makes us have no time to think. what will we face after death? since the outbreak of the new crown virus, we are becoming more and more feeling the impermanence and fragility of life, jesus told us in lujia gospel: a sinner repent, and he must also happy for him in the sky, and he is more happy than ninety -nine righteous people who do not have to repent. god loves us to be close to him. we are all created in the style of god. we must never be punished because of sin, so the last days have been extended for a long time. they are looking for those who belong to him.
the gospel of john mentioned: jesus said, ""i am the road, truth, and life, and no one can get to the father if she doesn't use me.
dear friend, jesus christ is the grace of god. god's mercy on the world allows us to receive this grace in vain without paying any cost. the choice, please study the bible (with app) to understand god's grace and jesus' teaching of sin, or go to the church to understand the gospel, (there is a fake blessing to confuse the world, we need to distinguish it) family, i wish you peace.","面对这个人心愈来愈败坏ˋ天灾人祸不断的世界,人们冲突愈来愈多,不法的事情也愈来愈多,许多人的爱心渐渐冷淡,这些世界的景况,耶稣在马太福音里就有提到:你们将听见打仗和打仗的风声，不要惊慌。这些事是必须有的，只是末期还没有到。民要攻打民，国要攻打国；多处必有地震、饥荒。这都是灾难的起头..

在遥远的过去,挪亚生活的年代世界就犹如今天这样的败坏,当时神后悔造人(那时的人所思所想尽都是恶),于是神就用大洪水灭绝所有人(只有留下挪亚因为他""敬畏神""),人类祖先亚当ˋ夏娃选择接受诱惑而不顺从上帝,从此罪就入了世界,时至今日我们的世界,享受科技带来的便利性,网路的出现,让世界成为一个地球村,但是人们的关系也变的复杂,暴力ˋ色情资讯等等,不断的在诱惑世人犯罪,我们就生活一个诡诈ˋ谎言ˋ贪婪ˋ欲望无止境的世界里,人们追求自我快乐,不再尊重其他人,这样的生活方式让我们离上帝愈来愈遥远,也是上帝不喜悦的,很多人不清楚创造宇宙的上帝或者不想了解上帝,不想知道福音,认为时代那么进步这都是迷信,但是圣经告诉我们上帝是昔在ˋ今在ˋ以后永在的全能神,并且上帝恨恶""罪"",在亚当ˋ夏娃选择不顺从神的结果,让我们因为罪和圣洁的神属性不再一样,我们也失去永生,生命受到限制,而神已经定了日子，要借着祂所设立的人(耶稣)按公义审判天下,神爱世人.上帝在二千年前差了祂的独生子耶稣道成肉身,钉上十架,以祂无罪的生命代替我们有罪的生命赎罪,死后三天复活,坐在上帝耶和华神的右边,让我们可以借着耶稣罪得赦免,悔改ˋ受洗ˋ领受圣灵ˋ相信耶稣成为救主,让我们有新生的样式,之后按照圣经的启示来生活,耶稣说:您对人付出的爱多,您的赦免就多,你们怎样论断人，也必怎样被论断；你们用什么量器量给人，也必用什么量器量给你们..类似的教导圣经都有启示,如果我们愿意顺服,都有机会得救.

我们活在科学时代,人不再相信有神,,不过看不到不代表没有,忙碌的生活让我们没有时间思考,人死后接下要面对什么?自从新冠病毒爆发以来,我们愈来愈感到生命的无常以及脆弱,耶稣在路加福音告诉我们:一个罪人悔改，在天上也要这样为他欢喜，较比为九十九个不用悔改的义人欢喜更大。神是喜爱我们亲近祂的,我们都是按着神的样式造的,绝对不要我们因为罪而受罚,所以末后的日子延长了很久,(耶稣离开2千年了)神要世人悔改归向祂,天天都在寻找归向祂的人.
约翰福音提到:耶稣说“我就是道路、真理、生命若不借着我，没有人能到父那里。
亲爱的朋友,耶稣基督就是神的恩典,神怜悯世人让我们不用付出什么代价就可以白白的领受这个恩典,末世的征兆愈来愈显明,在有限的生命里尽快的接受福音绝对是您最好的选择,恳请您研读圣经(有app)来了解神的恩典以及耶稣对罪的教导,或是到教会了解福音,(有假福音在迷惑世人,需要明辨)让我们一同进入神国的大家庭,祝平安ˋ喜乐."
16366,Ugw3DsYsuC9QVxeIo2B4AaABAg,0,3 years ago,"stupid regardless of nationality, americans believe in these fake videos………",不论国籍如何，美国人都相信这些虚假视频…………
16346,Ugzazl5yt1jvfafBbhV4AaABAg.92wKrwOh9Mm92wb5_CT4n6,0,3 years ago,"i'm a normal person in china, there are many ways to access youtube.
youtube is forbidden in china, the same way huawei is banned in the us. huawei is accused for no evident reasons, however, there are indeed many political forces on ytb expressing biased/fake news about china.
politics are everywhere, i don't like any of them. in politics, nobody represent justice, they only represent interests of respective forces. my choice is to ignore them, searching for happiness and good wills. i found them in li's videos, and dislike those relate them to politics.","我是中国的普通人，有很多访问YouTube的方法。
YouTube在中国被禁止，与美国禁止华为一样。华为被指控没有明显的原因，但是，YTB上确实有许多政治力量对中国表示有偏见/假新闻。
政治无处不在，我不喜欢他们中的任何一个。在政治上，没有人代表正义，他们仅代表各自力量的利益。我的选择是忽略他们，寻找幸福和善意。我在李的视频中找到了它们，并且不喜欢那些将它们与政治联系起来。"
16312,Ugy3_NC5BHdvi--yTEB4AaABAg,0,3 years ago,"fake chinese farmer life in china, life is hard for chinese farmers！she is a rich woman who plays a farmer in a poor village.",中国假的中国农民生活，中国农民的生活很难。
15446,UgxM6M0zpu3k7SD32RR4AaABAg.93FjALA-hss9I6d332xAqB,0,2 years ago,"@straitarrow5784 lol. have you watched chinese government propaganda lately? it's not as slick as this. 
if li ziqi is just a paid ""actress"" as you claimed her to be, at least she's got actual consummate cooking skills. also, she's actually farming & chopping stuff. good luck seeing fan bingbing ""acting"" like this. 
don't be that petty betch jealous of whoever's playing her fake grandma cashing in those government cheques lawl.","@straitarrow5784大声笑。您最近看过中国政府的宣传吗？它并不像这样光滑。
如果李齐（Li Ziqi）只是您声称自己的付费“女演员”，至少她拥有真正的烹饪技巧。另外，她实际上是在耕种和切碎的东西。祝您好运，看到粉丝bingbing这样的“表演”。
不要那个小的贝奇嫉妒谁在那些政府支票劳尔（Lawl）弹伪装的人。"
15124,UgzYaG8q1xN2uXktZBp4AaABAg.93XMX1w-pmD94V5SdyKXuP,0,3 years ago,"some (who claim to be her classmates in highschool or so) say that this girl doesn't really live this lifestyle, it is all fake, and that she is actually pretty rich.

but i wouldn't really care, whether it's real or fake. her videos calm me before sleep and i enjoy it. that's all. even if it's a show, it is certainly a great show.","有些人（自称是高中生的同学）说，这个女孩并没有真正过这种生活方式，这都是假的，她实际上很富有。

但是我真的不在乎，无论是真实的还是假的。她的视频在睡觉前让我平静下来，我喜欢它。就这样。即使这是一场演出，这肯定是一个很棒的表演。"
15077,UgztKB925ZOFbV5CrUl4AaABAg,0,3 years ago,"this is chinese communist government’s propaganda video, all subs are fake. why youtube still allows this happening?",这是中国共产党政府的宣传视频，所有潜艇都是假的。为什么YouTube仍然允许这种情况发生？
14969,UgxxwUwqiZPjjPVdOZh4AaABAg,0,3 years ago,"i just said, there are screws of snail powder, and the snail powder that was eaten before is fake!",我就说嘛，螺蛳粉是有螺丝的，以前吃的螺蛳粉都是假的！
14808,UgyAYD8p2flGorIuWqV4AaABAg,0,3 years ago,"this kind of life is too fake, in the chinese dream, isn't guizhou just died of college students, 2020 ah",太假了这种生活，是在中国梦里的，贵州不是刚刚去世了大学生吗，2020啊
14792,UgyFsGA-8sk0qg3dqhV4AaABAg.93x2w4qvmA1940leB7lMND,0,3 years ago,"strait arrow those english speaker in comment section said this is all fake chinese propaganda ect, only make me hate them more, ugly ppl with ugly mind, started their history with slavery & rob & river of blood, no wonder they won't believe chinese is out of their aggressive world, pathetic",海峡箭头在评论部分中说这都是假的中国宣传，只会让我更讨厌他们，丑陋的头脑丑陋的ppl，从奴隶制和罗布和河上开始了他们的历史，难怪他们不会相信中国人不在他们侵略性世界中，可悲
14779,Ugw9YaonbZGYWyS2Eox4AaABAg,0,3 years ago,how much is it fake?,伪造多少？
14336,UgweI4lENirYu5USYYJ4AaABAg.94G4Lji73LH94_KKx3Qw-0,0,3 years ago,"she used to do the filming all by herself until people saying she was fake , and it really hurted her even made her stop filming for awhile. 
but it also let her made the decision to get herself a team.","她曾经自己做所有拍摄，直到人们说她是假的，这确实损害了她，甚至使她停止拍摄了一段时间。
但这也让她决定让自己成为一个团队。"
14158,UgyzEXyf1Yda3vKkgOR4AaABAg,0,3 years ago,fakeeeeeeeeeeeeeeeeeeeeeeeeee ohh yes im a chef.,fackeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee哦，是的，我是厨师。
13652,UgxKjqiSJpU7t_RvYKJ4AaABAg,0,3 years ago (edited),"have any americans tired gardening for at least two months...before dreaming about life like that...you work all day long...so many naive female comments...you can't even eat a garlic...not adding you would smell all day long from sweating and smoke...etc...plus..to all naive...it is impossible to take care of, or to have a garden like that by one person...every gardener knows this..who has a first job.etc.. not to mention the smell of the poo of the animals that are there..but the manure is not recorded..
but the other girl who records this fake life is a very good editor..
not to mention flying insects and flys..but the fermenting idea is wonderful..ps..there is no a/c there...but cooking still alive snails...i wouldn't do even i am a man...","有任何美国人疲倦的园艺至少两个月...在梦想着这样的生活之前……你整天都在工作...这么多天真的女性评论...你甚至不能吃大蒜...补充说，您会整天从出汗和烟雾中闻起来...等...知道这一点..谁有第一份工作。
但是，记录这种虚假生活的另一个女孩是一位非常好的编辑。
更不用说飞行的昆虫和飞蝇了..但是发酵的想法很棒。 。"
13184,UgzOpEhj1IUqoEbggNF4AaABAg,0,3 years ago,"ống kính tây bắc subscribers
guys, i hope that you can see my comment. i'm here to tell you something about her childhood and now. as far as i'm concerned, her mother passed away when she was little. soon after, her father married another woman. her stepmother was mean, she was like every stepmother you've read about in the fairy tales. ziqi was forced to do all the housework, she didn't even get to go to school usually. her grandparents were very supportive to her and protected her, they are the most important people to her. her father passed away then, and idk what happened to her stepmother after that. she then quit school and came to the cities to work as much as she could to help her grandparents. she has been a waitress, a dj and all the other stuffs. but then, her granddad passed away, and her grandmother as you all see in the videos was sick. so she quit everything and came back to her hometown to take care of her grandmother although she knew that the finance would be a burden. she then figured out how to make a video. she made the video how to dye cloth by grapes' skin and people love it. she did all the work by herself and try again countless times. one video that is making chinese noodles, everytime she has set the camera angle, the dough got dry and she cannot use it anymore. so she had to make the dough by scratch again and again to record. the dough that was dry, she then baked them into bread for her and her mother to eat. she then said that she was scared just looking at the bread for a while. when she had some money earned from the videos, she hired some camera men, just 2 or 3, to support her. but the fame and popularity have led to her lack of privacy. papparazi, fly cams are all over her house, she feels really sorry and somehow guilty to her grandmother because of that. she suggested moving to another house but her grandmother told that she had lived in the house for her entire life, so she wouldn't want to move. some people may say that the videos are fake, that she didn't actually do what was shown in the videos, she just shows her hardworking hands. she really has had an unfortunate childhood, so she deserves what she has today. please, if you find my comment interesting, leave a like. this is based on my own knowledge so if i'm wrong, let me know. you can support her by clicking the ads or watching it till the end. thank you ❤","ốngkínhtâybắc订户
伙计们，希望您能看到我的评论。我在这里告诉您有关她的童年和现在的信息。就我而言，她的母亲小时候去世了。不久之后，她的父亲嫁给了另一个女人。她的继母是卑鄙的，她就像您在童话故事中读过的每个继母一样。 Ziqi被迫进行所有家务劳动，她通常甚至都没有上学。她的祖父母对她非常支持并保护她，他们是她最重要的人。她父亲那时去世了，在那之后她的继母发生了什么事。然后，她退出学校，来到城市尽可能多地工作以帮助她的祖父母。她一直是女服务员，DJ和所有其他东西。但是随后，她的爷爷去世了，当你在视频中看到的那样，她的祖母病了。因此，她辞去一切，然后回到家乡照顾祖母，尽管她知道财务将是一个负担。然后，她想出了如何制作视频。她制作了视频如何用葡萄的皮肤染色布，人们喜欢它。她自己做所有的工作，然后无数次重试。一个正在制作中国面条的视频，每次设置相机角度时，面团都会干燥，她再也无法使用它了。因此，她不得不一次又一次地划痕才能记录下来。干燥的面团，然后将它们烤成面包供她和她的母亲吃。然后，她说她只是害怕看面包一段时间。当她从视频中赚钱时，她雇用了一些只有2或3个相机的人来支持她。但是，名望和受欢迎程度导致她缺乏隐私。帕帕拉西（Papparazi），苍蝇凸轮都在她的房子上，因此，她对祖母感到非常抱歉，并以某种方式感到内gui。她建议搬到另一所房子，但她的祖母告诉她一生都住在房子里，所以她不想搬家。有些人可能会说这些视频是假的，她实际上没有做视频中显示的事情，她只是展示了勤奋的手。她确实有一个不幸的童年，所以她应该得到今天的一切。请，如果您觉得我的评论很有趣，请留下类似。这是基于我自己的知识，所以如果我错了，请告诉我。您可以通过单击广告或观看直到最后来支持她。谢谢"
13085,Ugwzcax9fuVEX5xMgGF4AaABAg,0,3 years ago,fake video,假视频
34434,UgxN2vtOv4sdHzULsuh4AaABAg,0,3 years ago (edited),"every video and the more i watch her i fall in love with her, shes such woman goals and especially what this generation needs too see, this is real beauty not the fake plastic beauty thats huge these days.... real beauty over fake beauty any day, 100% real talk",每一个视频，我看着她越爱她，她是她的目标，尤其是这一代人也需要看到的，这是真正的美丽，而不是假塑料美，这是这些天的巨大每天，100％真实的谈话
